Time Remaining,HCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
12:34,"GOOD LAYUP by ZACHERY,CEAUNTE(fastbreak)(in the paint)",16,,24 (+8),,HCM 16-24 (+8),,"GOOD LAYUP by ZACHERY,CEAUNTE(fastbreak)(in the paint)",1
12:14,,,,,"MISS JUMPER by STEPHENS,TROY",,,"MISS JUMPER by STEPHENS,TROY",1
--,"REBOUND DEF by ZACHERY,CEAUNTE",,,,,,,"REBOUND DEF by ZACHERY,CEAUNTE",1
12:07,"GOOD LAYUP by ZACHERY,CEAUNTE(fastbreak)(in the paint)",18,,24 (+6),,HCM 18-24 (+6),,"GOOD LAYUP by ZACHERY,CEAUNTE(fastbreak)(in the paint)",1
11:55,,,,,"FOUL  by SPENCE,BEN",,,"FOUL  by SPENCE,BEN",1
11:55,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",1
11:55,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:55,,,,,"SUB IN by WALDRUM,AIDAN",,,"SUB IN by WALDRUM,AIDAN",1
11:55,,,,,"SUB IN by HOLLIFIELD,MALCOLM",,,"SUB IN by HOLLIFIELD,MALCOLM",1
11:55,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
11:55,,,,,"SUB IN by ALLISON,ZACHARY",,,"SUB IN by ALLISON,ZACHARY",1
11:55,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
11:55,,,,,"SUB OUT by STEPHENS,TROY",,,"SUB OUT by STEPHENS,TROY",1
11:55,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
11:55,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",1
11:36,"GOOD JUMPER by LIVINGSTON,TREY(in the paint)",20,,24 (+4),,HCM 20-24 (+4),,"GOOD JUMPER by LIVINGSTON,TREY(in the paint)",1
11:24,,,,,"MISS 3PTR by ALLISON,ZACHARY",,,"MISS 3PTR by ALLISON,ZACHARY",1
--,,,,,"REBOUND OFF by WALDRUM,AIDAN",,,"REBOUND OFF by WALDRUM,AIDAN",1
11:21,"FOUL  by LIVINGSTON,TREY",,,,,,,"FOUL  by LIVINGSTON,TREY",1
11:21,"SUB IN by WOODS,MYKEL",,,,,,,"SUB IN by WOODS,MYKEL",1
11:21,"SUB IN by KING,ISAIAH",,,,,,,"SUB IN by KING,ISAIAH",1
11:21,"SUB OUT by LIVINGSTON,TREY",,,,,,,"SUB OUT by LIVINGSTON,TREY",1
11:21,"SUB OUT by BARKER,BJ",,,,,,,"SUB OUT by BARKER,BJ",1
10:59,,20,,27 (+7),"GOOD 3PTR by HOLLIFIELD,MALCOLM",BSC-M 20-27 (+7),,"GOOD 3PTR by HOLLIFIELD,MALCOLM",1
--,,,,,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",1
10:33,"TURNOVER  by ZACHERY,CEAUNTE",,,,,,,"TURNOVER  by ZACHERY,CEAUNTE",1
10:30,,,,,"STEAL  by SPENCE,BEN",,,"STEAL  by SPENCE,BEN",1
10:20,,,,,"MISS 3PTR by SPENCE,BEN",,,"MISS 3PTR by SPENCE,BEN",1
--,"REBOUND DEF by WOODS,MYKEL",,,,,,,"REBOUND DEF by WOODS,MYKEL",1
10:13,"TURNOVER  by ZACHERY,CEAUNTE",,,,,,,"TURNOVER  by ZACHERY,CEAUNTE",1
10:12,,,,,"STEAL  by SPENCE,BEN",,,"STEAL  by SPENCE,BEN",1
10:09,"FOUL  by ZACHERY,CEAUNTE",,,,,,,"FOUL  by ZACHERY,CEAUNTE",1
10:09,,20,,28 (+8),"GOOD FT by SPENCE,BEN",BSC-M 20-28 (+8),,"GOOD FT by SPENCE,BEN",1
10:09,,20,,29 (+9),"GOOD FT by SPENCE,BEN",BSC-M 20-29 (+9),,"GOOD FT by SPENCE,BEN",1
10:09,"SUB IN by PINES,KYANTE",,,,,,,"SUB IN by PINES,KYANTE",1
10:09,"SUB IN by WASHINGTON,AARON",,,,,,,"SUB IN by WASHINGTON,AARON",1
10:09,"SUB OUT by ZACHERY,CEAUNTE",,,,,,,"SUB OUT by ZACHERY,CEAUNTE",1
10:09,"SUB OUT by BOYD,CAM",,,,,,,"SUB OUT by BOYD,CAM",1
10:09,,,,,"SUB IN by JR,BRUCE BRIGHT",,,"SUB IN by JR,BRUCE BRIGHT",1
10:09,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
10:00,"MISS JUMPER by KING,ISAIAH",,,,,,,"MISS JUMPER by KING,ISAIAH",1
--,,,,,"REBOUND DEF by HOLLIFIELD,MALCOLM",,,"REBOUND DEF by HOLLIFIELD,MALCOLM",1
09:53,,,,,"FOUL  by HOLLIFIELD,MALCOLM",,,"FOUL  by HOLLIFIELD,MALCOLM",1
09:53,,,,,"TURNOVER  by HOLLIFIELD,MALCOLM",,,"TURNOVER  by HOLLIFIELD,MALCOLM",1
09:45,,,,,"FOUL  by HOLLIFIELD,MALCOLM",,,"FOUL  by HOLLIFIELD,MALCOLM",1
09:35,"MISS JUMPER by KING,ISAIAH",,,,,,,"MISS JUMPER by KING,ISAIAH",1
--,,,,,"REBOUND DEF by JR,BRUCE BRIGHT",,,"REBOUND DEF by JR,BRUCE BRIGHT",1
09:24,,,,,"MISS LAYUP by HOLLIFIELD,MALCOLM",,,"MISS LAYUP by HOLLIFIELD,MALCOLM",1
09:24,"BLOCK  by WOODS,MYKEL",,,,,,,"BLOCK  by WOODS,MYKEL",1
--,,,,,"REBOUND OFF by JR,BRUCE BRIGHT",,,"REBOUND OFF by JR,BRUCE BRIGHT",1
09:18,,,,,"MISS 3PTR by ALLISON,ZACHARY",,,"MISS 3PTR by ALLISON,ZACHARY",1
--,,,,,"REBOUND OFF by WALDRUM,AIDAN",,,"REBOUND OFF by WALDRUM,AIDAN",1
09:16,"FOUL  by PINES,KYANTE",,,,,,,"FOUL  by PINES,KYANTE",1
09:16,,20,,30 (+10),"GOOD FT by WALDRUM,AIDAN",BSC-M 20-30 (+10),,"GOOD FT by WALDRUM,AIDAN",1
09:16,,,,,"MISS FT by WALDRUM,AIDAN",,,"MISS FT by WALDRUM,AIDAN",1
--,"REBOUND DEF by PINES,KYANTE",,,,,,,"REBOUND DEF by PINES,KYANTE",1
09:04,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",1
09:04,"MISS FT by WOODS,MYKEL",,,,,,,"MISS FT by WOODS,MYKEL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:04,"GOOD FT by WOODS,MYKEL",21,,30 (+9),,HCM 21-30 (+9),,"GOOD FT by WOODS,MYKEL",1
09:04,"SUB IN by HARRIS,JAMES",,,,,,,"SUB IN by HARRIS,JAMES",1
09:04,"SUB OUT by REID,BRYANT",,,,,,,"SUB OUT by REID,BRYANT",1
09:04,,,,,"SUB IN by ZHOU,ANDY",,,"SUB IN by ZHOU,ANDY",1
09:04,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
09:04,,,,,"SUB OUT by ALLISON,ZACHARY",,,"SUB OUT by ALLISON,ZACHARY",1
09:04,,,,,"SUB OUT by WALDRUM,AIDAN",,,"SUB OUT by WALDRUM,AIDAN",1
08:56,,,,,"MISS 3PTR by JR,BRUCE BRIGHT",,,"MISS 3PTR by JR,BRUCE BRIGHT",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
08:53,,,,,"FOUL  by ZHOU,ANDY",,,"FOUL  by ZHOU,ANDY",1
08:53,"MISS FT by PINES,KYANTE",,,,,,,"MISS FT by PINES,KYANTE",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
08:44,"FOUL  by PINES,KYANTE",,,,,,,"FOUL  by PINES,KYANTE",1
08:44,,,,,"MISS FT by ZHOU,ANDY",,,"MISS FT by ZHOU,ANDY",1
--,"REBOUND DEF by ZACHERY,CEAUNTE",,,,,,,"REBOUND DEF by ZACHERY,CEAUNTE",1
08:44,"SUB IN by ZACHERY,CEAUNTE",,,,,,,"SUB IN by ZACHERY,CEAUNTE",1
08:44,"SUB OUT by PINES,KYANTE",,,,,,,"SUB OUT by PINES,KYANTE",1
08:34,"TURNOVER  by HARRIS,JAMES",,,,,,,"TURNOVER  by HARRIS,JAMES",1
08:20,,21,,32 (+11),"GOOD LAYUP by ZHOU,ANDY(in the paint)",BSC-M 21-32 (+11),,"GOOD LAYUP by ZHOU,ANDY(in the paint)",1
08:09,"GOOD 3PTR by KING,ISAIAH",24,,32 (+8),,HCM 24-32 (+8),,"GOOD 3PTR by KING,ISAIAH",1
--,"ASSIST  by ZACHERY,CEAUNTE",,,,,,,"ASSIST  by ZACHERY,CEAUNTE",1
07:48,,,,,"MISS 3PTR by HOLLIFIELD,MALCOLM",,,"MISS 3PTR by HOLLIFIELD,MALCOLM",1
--,"REBOUND DEF by ZACHERY,CEAUNTE",,,,,,,"REBOUND DEF by ZACHERY,CEAUNTE",1
07:45,,,,,"FOUL  by STEWART,CHRISTIAN",,,"FOUL  by STEWART,CHRISTIAN",1
07:45,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:45,"MISS FT by ZACHERY,CEAUNTE",,,,,,,"MISS FT by ZACHERY,CEAUNTE",1
--,,,,,"REBOUND DEF by SIGLER,EVAN",,,"REBOUND DEF by SIGLER,EVAN",1
07:45,"SUB IN by CHADWICK,SCOTTY",,,,,,,"SUB IN by CHADWICK,SCOTTY",1
07:45,"SUB OUT by WOODS,MYKEL",,,,,,,"SUB OUT by WOODS,MYKEL",1
07:45,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
07:45,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
07:45,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
07:45,,,,,"SUB OUT by JR,BRUCE BRIGHT",,,"SUB OUT by JR,BRUCE BRIGHT",1
07:45,,,,,"SUB OUT by HOLLIFIELD,MALCOLM",,,"SUB OUT by HOLLIFIELD,MALCOLM",1
07:45,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
07:30,,,,,"MISS JUMPER by YANCEY,RICH",,,"MISS JUMPER by YANCEY,RICH",1
--,"REBOUND DEF by HARRIS,JAMES",,,,,,,"REBOUND DEF by HARRIS,JAMES",1
07:22,"TURNOVER  by HARRIS,JAMES",,,,,,,"TURNOVER  by HARRIS,JAMES",1
07:11,,,,,"MISS LAYUP by YANCEY,RICH",,,"MISS LAYUP by YANCEY,RICH",1
--,,,,,"REBOUND OFF by GONDA,MATT",,,"REBOUND OFF by GONDA,MATT",1
07:09,,,,,"MISS LAYUP by STEWART,CHRISTIAN",,,"MISS LAYUP by STEWART,CHRISTIAN",1
--,"REBOUND DEF by BOYD,CAM",,,,,,,"REBOUND DEF by BOYD,CAM",1
06:43,"GOOD 3PTR by WASHINGTON,AARON",27,,32 (+5),,HCM 27-32 (+5),,"GOOD 3PTR by WASHINGTON,AARON",1
--,"ASSIST  by CHADWICK,SCOTTY",,,,,,,"ASSIST  by CHADWICK,SCOTTY",1
06:20,"SUB IN by BARKER,BJ",,,,,,,"SUB IN by BARKER,BJ",1
06:20,"SUB IN by HOBSON,CHARVEZ'",,,,,,,"SUB IN by HOBSON,CHARVEZ'",1
06:20,"SUB OUT by ZACHERY,CEAUNTE",,,,,,,"SUB OUT by ZACHERY,CEAUNTE",1
06:20,"SUB OUT by KING,ISAIAH",,,,,,,"SUB OUT by KING,ISAIAH",1
06:20,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
06:20,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",1
06:20,,,,,"SUB IN by ALLISON,ZACHARY",,,"SUB IN by ALLISON,ZACHARY",1
06:20,,,,,"SUB OUT by ZHOU,ANDY",,,"SUB OUT by ZHOU,ANDY",1
06:20,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
06:20,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
06:08,,27,,34 (+7),"GOOD LAYUP by SPENCE,BEN(in the paint)",BSC-M 27-34 (+7),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1
--,,,,,"ASSIST  by GONDA,MATT",,,"ASSIST  by GONDA,MATT",1
05:38,"GOOD 3PTR by WASHINGTON,AARON",30,,34 (+4),,HCM 30-34 (+4),,"GOOD 3PTR by WASHINGTON,AARON",1
05:23,,30,,36 (+6),"GOOD LAYUP by MOORE,KADEN(in the paint)",BSC-M 30-36 (+6),,"GOOD LAYUP by MOORE,KADEN(in the paint)",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
05:06,,,,,"FOUL  by GONDA,MATT",,,"FOUL  by GONDA,MATT",1
05:06,"MISS FT by HOBSON,CHARVEZ'",,,,,,,"MISS FT by HOBSON,CHARVEZ'",1
--,,,,,"REBOUND DEF by MOORE,KADEN",,,"REBOUND DEF by MOORE,KADEN",1
05:06,,,,,"SUB IN by DENBESTEN,COLE",,,"SUB IN by DENBESTEN,COLE",1
05:06,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
04:57,,,,,"TURNOVER  by STEPHENS,TROY",,,"TURNOVER  by STEPHENS,TROY",1
04:53,"GOOD LAYUP by HOBSON,CHARVEZ'(fastbreak)(in the paint)",32,,36 (+4),,HCM 32-36 (+4),,"GOOD LAYUP by HOBSON,CHARVEZ'(fastbreak)(in the paint)",1
04:42,"FOUL  by CHADWICK,SCOTTY",,,,,,,"FOUL  by CHADWICK,SCOTTY",1
04:42,,32,,37 (+5),"GOOD FT by SPENCE,BEN",BSC-M 32-37 (+5),,"GOOD FT by SPENCE,BEN",1
04:42,,32,,38 (+6),"GOOD FT by SPENCE,BEN",BSC-M 32-38 (+6),,"GOOD FT by SPENCE,BEN",1
04:42,"MISS JUMPER by HOBSON,CHARVEZ'",,,,,,,"MISS JUMPER by HOBSON,CHARVEZ'",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:42,"SUB IN by WOODS,MYKEL",,,,,,,"SUB IN by WOODS,MYKEL",1
04:42,"SUB OUT by CHADWICK,SCOTTY",,,,,,,"SUB OUT by CHADWICK,SCOTTY",1
04:28,"FOUL  by HOBSON,CHARVEZ'",,,,,,,"FOUL  by HOBSON,CHARVEZ'",1
04:28,,32,,39 (+7),"GOOD FT by ALLISON,ZACHARY",BSC-M 32-39 (+7),,"GOOD FT by ALLISON,ZACHARY",1
04:28,,,,,"MISS FT by ALLISON,ZACHARY",,,"MISS FT by ALLISON,ZACHARY",1
--,,,,,"REBOUND OFF by STEPHENS,TROY",,,"REBOUND OFF by STEPHENS,TROY",1
04:28,"SUB IN by KING,ISAIAH",,,,,,,"SUB IN by KING,ISAIAH",1
04:28,"SUB OUT by WASHINGTON,AARON",,,,,,,"SUB OUT by WASHINGTON,AARON",1
04:24,,,,,"TURNOVER  by STEPHENS,TROY",,,"TURNOVER  by STEPHENS,TROY",1
04:24,"SUB IN by SCHMITT,LUCAS",,,,,,,"SUB IN by SCHMITT,LUCAS",1
04:24,"SUB OUT by HOBSON,CHARVEZ'",,,,,,,"SUB OUT by HOBSON,CHARVEZ'",1
04:09,"GOOD LAYUP by BARKER,BJ(in the paint)",34,,39 (+5),,HCM 34-39 (+5),,"GOOD LAYUP by BARKER,BJ(in the paint)",1
03:35,,,,,"MISS JUMPER by ALLISON,ZACHARY",,,"MISS JUMPER by ALLISON,ZACHARY",1
--,"REBOUND DEF by BARKER,BJ",,,,,,,"REBOUND DEF by BARKER,BJ",1
03:29,"MISS LAYUP by BARKER,BJ",,,,,,,"MISS LAYUP by BARKER,BJ",1
--,,,,,"REBOUND DEF by MOORE,KADEN",,,"REBOUND DEF by MOORE,KADEN",1
03:21,,,,,"MISS LAYUP by STEPHENS,TROY",,,"MISS LAYUP by STEPHENS,TROY",1
03:21,"BLOCK  by WOODS,MYKEL",,,,,,,"BLOCK  by WOODS,MYKEL",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:21,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:21,,,,,"SUB IN by STEPHENS,TROY",,,"SUB IN by STEPHENS,TROY",1
03:21,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
03:21,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
03:21,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",1
03:02,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
