Time Remaining,HCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
03:01,,82,,83 (+1),"GOOD FT by ALLISON,ZACHARY",BSC-M 82-83 (+1),,"GOOD FT by ALLISON,ZACHARY",2
03:01,"MISS 3PTR by KING,ISAIAH",,,,,,,"MISS 3PTR by KING,ISAIAH",2
--,,,,,"REBOUND DEF by ALLISON,ZACHARY",,,"REBOUND DEF by ALLISON,ZACHARY",2
03:01,"SUB IN by PINES,KYANTE",,,,,,,"SUB IN by PINES,KYANTE",2
03:01,"SUB IN by KING,ISAIAH",,,,,,,"SUB IN by KING,ISAIAH",2
03:01,"SUB OUT by SCHMITT,LUCAS",,,,,,,"SUB OUT by SCHMITT,LUCAS",2
03:01,"SUB OUT by CHAMPION,JACOB",,,,,,,"SUB OUT by CHAMPION,JACOB",2
02:16,,82,,85 (+3),"GOOD LAYUP by MOORE,KADEN(in the paint)",BSC-M 82-85 (+3),,"GOOD LAYUP by MOORE,KADEN(in the paint)",2
02:06,"GOOD 3PTR by BARKER,BJ",85,,85,,HCM 85-85 (0),,"GOOD 3PTR by BARKER,BJ",2
--,"ASSIST  by HARRIS,JAMES",,,,,,,"ASSIST  by HARRIS,JAMES",2
02:01,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
02:01,"SUB IN by WOODS,MYKEL",,,,,,,"SUB IN by WOODS,MYKEL",2
02:01,"SUB OUT by LIVINGSTON,TREY",,,,,,,"SUB OUT by LIVINGSTON,TREY",2
01:46,,,,,"MISS LAYUP by SPENCE,BEN",,,"MISS LAYUP by SPENCE,BEN",2
--,"REBOUND DEF by HARRIS,JAMES",,,,,,,"REBOUND DEF by HARRIS,JAMES",2
01:38,"MISS LAYUP by PINES,KYANTE",,,,,,,"MISS LAYUP by PINES,KYANTE",2
--,"REBOUND OFF by PINES,KYANTE",,,,,,,"REBOUND OFF by PINES,KYANTE",2
01:31,,,,,"FOUL  by MOORE,KADEN",,,"FOUL  by MOORE,KADEN",2
01:31,"GOOD FT by PINES,KYANTE",86 (+1),,85,,HCM 86-85 (-1),,"GOOD FT by PINES,KYANTE",2
01:31,"MISS FT by PINES,KYANTE",,,,,,,"MISS FT by PINES,KYANTE",2
--,"REBOUND OFF by PINES,KYANTE",,,,,,,"REBOUND OFF by PINES,KYANTE",2
01:27,"GOOD LAYUP by PINES,KYANTE(in the paint)",88 (+3),,85,,HCM 88-85 (-3),,"GOOD LAYUP by PINES,KYANTE(in the paint)",2
01:10,,88 (+1),,87,"GOOD JUMPER by DENBESTEN,COLE(in the paint)",BSC-M 88-87 (-1),,"GOOD JUMPER by DENBESTEN,COLE(in the paint)",2
00:39,,,,,"FOUL  by SPENCE,BEN",,,"FOUL  by SPENCE,BEN",2
00:39,"GOOD FT by PINES,KYANTE",89 (+2),,87,,HCM 89-87 (-2),,"GOOD FT by PINES,KYANTE",2
00:39,"GOOD FT by PINES,KYANTE",90 (+3),,87,,HCM 90-87 (-3),,"GOOD FT by PINES,KYANTE",2
00:39,"SUB IN by CHADWICK,SCOTTY",,,,,,,"SUB IN by CHADWICK,SCOTTY",2
00:39,"SUB OUT by WOODS,MYKEL",,,,,,,"SUB OUT by WOODS,MYKEL",2
00:18,,,,,"TURNOVER  by ALLISON,ZACHARY",,,"TURNOVER  by ALLISON,ZACHARY",2
00:18,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:18,"SUB IN by CHAMPION,JACOB",,,,,,,"SUB IN by CHAMPION,JACOB",2
00:18,"SUB OUT by BARKER,BJ",,,,,,,"SUB OUT by BARKER,BJ",2
00:18,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",2
00:18,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",2
00:18,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",2
00:18,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",2
00:15,,,,,"FOUL  by SPENCE,BEN",,,"FOUL  by SPENCE,BEN",2
00:15,"GOOD FT by PINES,KYANTE",91 (+4),,87,,HCM 91-87 (-4),,"GOOD FT by PINES,KYANTE",2
00:15,"GOOD FT by PINES,KYANTE",92 (+5),,87,,HCM 92-87 (-5),,"GOOD FT by PINES,KYANTE",2
00:15,"SUB IN by BARKER,BJ",,,,,,,"SUB IN by BARKER,BJ",2
00:15,"SUB OUT by CHAMPION,JACOB",,,,,,,"SUB OUT by CHAMPION,JACOB",2
00:15,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",2
00:15,,,,,"SUB IN by DENBESTEN,COLE",,,"SUB IN by DENBESTEN,COLE",2
00:15,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",2
00:15,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",2
00:09,,92 (+2),,90,"GOOD 3PTR by BAK,CALVIN",BSC-M 92-90 (-2),,"GOOD 3PTR by BAK,CALVIN",2
--,,,,,"ASSIST  by STEPHENS,TROY",,,"ASSIST  by STEPHENS,TROY",2
00:07,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:07,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",2
00:07,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",2
00:07,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",2
00:07,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",2
00:00,"GOOD DUNK by CHADWICK,SCOTTY(in the paint)",94 (+4),,90,,HCM 94-90 (-4),,"GOOD DUNK by CHADWICK,SCOTTY(in the paint)",2
--,"ASSIST  by CHAMPION,JACOB",,,,,,,"ASSIST  by CHAMPION,JACOB",2
