Time Remaining,ALTM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
17:25,,,,,"MISS 3PTR by ALLISON,ZACHARY",,,"MISS 3PTR by ALLISON,ZACHARY",1
--,"REBOUND DEF by ARCHIE-DAVIS,JALEN",,,,,,,"REBOUND DEF by ARCHIE-DAVIS,JALEN",1
17:20,"GOOD LAYUP by KRISE,AUSTIN(fastbreak)(in the paint)",9 (+5),,4,,ALTM 9-4 (-5),,"GOOD LAYUP by KRISE,AUSTIN(fastbreak)(in the paint)",1
--,"ASSIST  by ARCHIE-DAVIS,JALEN",,,,,,,"ASSIST  by ARCHIE-DAVIS,JALEN",1
17:12,,9 (+2),,7,"GOOD 3PTR by BAK,CALVIN",BSC-M 9-7 (-2),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",1
17:03,"GOOD 3PTR by BAILEY,SHEVELLE",12 (+5),,7,,ALTM 12-7 (-5),,"GOOD 3PTR by BAILEY,SHEVELLE",1
--,"ASSIST  by HIGLEY,MARSHALL",,,,,,,"ASSIST  by HIGLEY,MARSHALL",1
16:45,"FOUL  by BAILEY,SHEVELLE",,,,,,,"FOUL  by BAILEY,SHEVELLE",1
16:37,"SUB IN by KUSTERS,JACK",,,,,,,"SUB IN by KUSTERS,JACK",1
16:37,"SUB OUT by HIGLEY,MARSHALL",,,,,,,"SUB OUT by HIGLEY,MARSHALL",1
16:37,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",1
16:37,,,,,"SUB IN by HOLLIFIELD,MALCOLM",,,"SUB IN by HOLLIFIELD,MALCOLM",1
16:37,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
16:37,,,,,"SUB OUT by STEPHENS,TROY",,,"SUB OUT by STEPHENS,TROY",1
16:36,,12 (+3),,9,"GOOD LAYUP by MOORE,KADEN(in the paint)",BSC-M 12-9 (-3),,"GOOD LAYUP by MOORE,KADEN(in the paint)",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
16:24,"MISS LAYUP by KRISE,AUSTIN",,,,,,,"MISS LAYUP by KRISE,AUSTIN",1
--,"REBOUND OFF by GARDNER-NICHOLSON,C",,,,,,,"REBOUND OFF by GARDNER-NICHOLSON,C",1
16:19,"GOOD 3PTR by BAILEY,SHEVELLE",15 (+6),,9,,ALTM 15-9 (-6),,"GOOD 3PTR by BAILEY,SHEVELLE",1
16:10,,,,,"MISS 3PTR by HOLLIFIELD,MALCOLM",,,"MISS 3PTR by HOLLIFIELD,MALCOLM",1
--,"REBOUND DEF by BAILEY,SHEVELLE",,,,,,,"REBOUND DEF by BAILEY,SHEVELLE",1
16:03,"GOOD LAYUP by ARCHIE-DAVIS,JALEN(fastbreak)(in the paint)",17 (+8),,9,,ALTM 17-9 (-8),,"GOOD LAYUP by ARCHIE-DAVIS,JALEN(fastbreak)(in the paint)",1
--,"ASSIST  by BAILEY,SHEVELLE",,,,,,,"ASSIST  by BAILEY,SHEVELLE",1
15:55,,17 (+6),,11,"GOOD LAYUP by MOORE,KADEN(fastbreak)(in the paint)",BSC-M 17-11 (-6),,"GOOD LAYUP by MOORE,KADEN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",1
15:40,"GOOD 3PTR by BAILEY,SHEVELLE",20 (+9),,11,,ALTM 20-11 (-9),,"GOOD 3PTR by BAILEY,SHEVELLE",1
--,"ASSIST  by KRISE,AUSTIN",,,,,,,"ASSIST  by KRISE,AUSTIN",1
15:24,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
15:21,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:21,"SUB IN by MARSHALL,SHANDON",,,,,,,"SUB IN by MARSHALL,SHANDON",1
15:21,"SUB IN by MARTIN,MALCOLM",,,,,,,"SUB IN by MARTIN,MALCOLM",1
15:21,"SUB IN by WEST,TYSON",,,,,,,"SUB IN by WEST,TYSON",1
15:21,"SUB OUT by ARCHIE-DAVIS,JALEN",,,,,,,"SUB OUT by ARCHIE-DAVIS,JALEN",1
15:21,"SUB OUT by KRISE,AUSTIN",,,,,,,"SUB OUT by KRISE,AUSTIN",1
15:21,"SUB OUT by BAILEY,SHEVELLE",,,,,,,"SUB OUT by BAILEY,SHEVELLE",1
15:21,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
15:21,,,,,"SUB IN by DENBESTEN,COLE",,,"SUB IN by DENBESTEN,COLE",1
15:21,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
15:21,,,,,"SUB OUT by ALLISON,ZACHARY",,,"SUB OUT by ALLISON,ZACHARY",1
15:03,"GOOD 3PTR by KUSTERS,JACK",23 (+12),,11,,ALTM 23-11 (-12),,"GOOD 3PTR by KUSTERS,JACK",1
--,"ASSIST  by WEST,TYSON",,,,,,,"ASSIST  by WEST,TYSON",1
14:38,,,,,"TURNOVER  by MOORE,KADEN",,,"TURNOVER  by MOORE,KADEN",1
14:35,"STEAL  by MARTIN,MALCOLM",,,,,,,"STEAL  by MARTIN,MALCOLM",1
14:33,"GOOD LAYUP by MARTIN,MALCOLM(in the paint)",25 (+14),,11,,ALTM 25-11 (-14),,"GOOD LAYUP by MARTIN,MALCOLM(in the paint)",1
14:29,,,,,"MISS 3PTR by DENBESTEN,COLE",,,"MISS 3PTR by DENBESTEN,COLE",1
--,,,,,"REBOUND OFF by HOLLIFIELD,MALCOLM",,,"REBOUND OFF by HOLLIFIELD,MALCOLM",1
14:14,"FOUL  by MARTIN,MALCOLM",,,,,,,"FOUL  by MARTIN,MALCOLM",1
14:14,"SUB IN by BRAGG,Y'SHUA",,,,,,,"SUB IN by BRAGG,Y'SHUA",1
14:14,"SUB OUT by GARDNER-NICHOLSON,C",,,,,,,"SUB OUT by GARDNER-NICHOLSON,C",1
14:14,,,,,"SUB IN by WALDRUM,AIDAN",,,"SUB IN by WALDRUM,AIDAN",1
14:14,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
14:14,,,,,"SUB IN by ALLISON,ZACHARY",,,"SUB IN by ALLISON,ZACHARY",1
14:14,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
14:14,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
14:14,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
14:08,,,,,"MISS LAYUP by YANCEY,RICH",,,"MISS LAYUP by YANCEY,RICH",1
--,"REBOUND DEF by WEST,TYSON",,,,,,,"REBOUND DEF by WEST,TYSON",1
13:53,"TURNOVER  by BRAGG,Y'SHUA",,,,,,,"TURNOVER  by BRAGG,Y'SHUA",1
13:33,,25 (+12),,13,"GOOD LAYUP by ALLISON,ZACHARY(in the paint)",BSC-M 25-13 (-12),,"GOOD LAYUP by ALLISON,ZACHARY(in the paint)",1
13:26,"TURNOVER  by KUSTERS,JACK",,,,,,,"TURNOVER  by KUSTERS,JACK",1
13:26,"SUB IN by BAILEY,SHEVELLE",,,,,,,"SUB IN by BAILEY,SHEVELLE",1
13:26,"SUB OUT by WEST,TYSON",,,,,,,"SUB OUT by WEST,TYSON",1
13:26,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
13:26,,,,,"SUB OUT by HOLLIFIELD,MALCOLM",,,"SUB OUT by HOLLIFIELD,MALCOLM",1
13:02,,,,,"MISS LAYUP by WALDRUM,AIDAN",,,"MISS LAYUP by WALDRUM,AIDAN",1
--,,,,,"REBOUND OFF by SIGLER,EVAN",,,"REBOUND OFF by SIGLER,EVAN",1
12:51,,25 (+10),,15,"GOOD LAYUP by YANCEY,RICH(in the paint)",BSC-M 25-15 (-10),,"GOOD LAYUP by YANCEY,RICH(in the paint)",1
12:33,,,,,"FOUL  by ALLISON,ZACHARY",,,"FOUL  by ALLISON,ZACHARY",1
12:22,"MISS JUMPER by KUSTERS,JACK",,,,,,,"MISS JUMPER by KUSTERS,JACK",1
--,"REBOUND OFF by KUSTERS,JACK",,,,,,,"REBOUND OFF by KUSTERS,JACK",1
12:18,"MISS LAYUP by KUSTERS,JACK",,,,,,,"MISS LAYUP by KUSTERS,JACK",1
--,"REBOUND OFF by BRAGG,Y'SHUA",,,,,,,"REBOUND OFF by BRAGG,Y'SHUA",1
12:15,"MISS LAYUP by BRAGG,Y'SHUA",,,,,,,"MISS LAYUP by BRAGG,Y'SHUA",1
12:15,,,,,"BLOCK  by WALDRUM,AIDAN",,,"BLOCK  by WALDRUM,AIDAN",1
--,,,,,"REBOUND DEF by DENBESTEN,COLE",,,"REBOUND DEF by DENBESTEN,COLE",1
12:08,,,,,"MISS 3PTR by YANCEY,RICH",,,"MISS 3PTR by YANCEY,RICH",1
--,,,,,"REBOUND OFF by SIGLER,EVAN",,,"REBOUND OFF by SIGLER,EVAN",1
11:54,,,,,"MISS LAYUP by ALLISON,ZACHARY",,,"MISS LAYUP by ALLISON,ZACHARY",1
11:54,"BLOCK  by BRAGG,Y'SHUA",,,,,,,"BLOCK  by BRAGG,Y'SHUA",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:54,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
11:54,"SUB IN by GARDNER-NICHOLSON,C",,,,,,,"SUB IN by GARDNER-NICHOLSON,C",1
11:54,"SUB IN by ARCHIE-DAVIS,JALEN",,,,,,,"SUB IN by ARCHIE-DAVIS,JALEN",1
11:54,"SUB OUT by BRAGG,Y'SHUA",,,,,,,"SUB OUT by BRAGG,Y'SHUA",1
11:54,"SUB OUT by KUSTERS,JACK",,,,,,,"SUB OUT by KUSTERS,JACK",1
11:54,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
11:54,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
11:54,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",1
11:54,,,,,"SUB OUT by ALLISON,ZACHARY",,,"SUB OUT by ALLISON,ZACHARY",1
11:41,,25 (+8),,17,"GOOD LAYUP by WALDRUM,AIDAN(in the paint)",BSC-M 25-17 (-8),,"GOOD LAYUP by WALDRUM,AIDAN(in the paint)",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
11:32,"TURNOVER  by ARCHIE-DAVIS,JALEN",,,,,,,"TURNOVER  by ARCHIE-DAVIS,JALEN",1
11:21,,25 (+6),,19,"GOOD LAYUP by WALDRUM,AIDAN(in the paint)",BSC-M 25-19 (-6),,"GOOD LAYUP by WALDRUM,AIDAN(in the paint)",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
11:01,"MISS JUMPER by MARTIN,MALCOLM",,,,,,,"MISS JUMPER by MARTIN,MALCOLM",1
--,"REBOUND OFF by BAILEY,SHEVELLE",,,,,,,"REBOUND OFF by BAILEY,SHEVELLE",1
10:57,"TURNOVER  by BAILEY,SHEVELLE",,,,,,,"TURNOVER  by BAILEY,SHEVELLE",1
10:57,"SUB IN by KRISE,AUSTIN",,,,,,,"SUB IN by KRISE,AUSTIN",1
10:57,"SUB OUT by MARSHALL,SHANDON",,,,,,,"SUB OUT by MARSHALL,SHANDON",1
10:41,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",1
10:39,"STEAL  by GARDNER-NICHOLSON,C",,,,,,,"STEAL  by GARDNER-NICHOLSON,C",1
10:32,"MISS 3PTR by ARCHIE-DAVIS,JALEN",,,,,,,"MISS 3PTR by ARCHIE-DAVIS,JALEN",1
--,"REBOUND OFF by GARDNER-NICHOLSON,C",,,,,,,"REBOUND OFF by GARDNER-NICHOLSON,C",1
10:28,"GOOD LAYUP by GARDNER-NICHOLSON,C(in the paint)",27 (+8),,19,,ALTM 27-19 (-8),,"GOOD LAYUP by GARDNER-NICHOLSON,C(in the paint)",1
10:05,,27 (+5),,22,"GOOD 3PTR by BAK,CALVIN",BSC-M 27-22 (-5),,"GOOD 3PTR by BAK,CALVIN",1
10:00,"TURNOVER  by KRISE,AUSTIN",,,,,,,"TURNOVER  by KRISE,AUSTIN",1
10:00,,,,,"SUB IN by STEPHENS,TROY",,,"SUB IN by STEPHENS,TROY",1
10:00,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
10:00,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
10:00,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
09:43,,27 (+3),,24,"GOOD LAYUP by O'SULLIVAN,CONOR(in the paint)",BSC-M 27-24 (-3),,"GOOD LAYUP by O'SULLIVAN,CONOR(in the paint)",1
09:43,"FOUL  by MARTIN,MALCOLM",,,,,,,"FOUL  by MARTIN,MALCOLM",1
09:43,,,,,"MISS FT by O'SULLIVAN,CONOR",,,"MISS FT by O'SULLIVAN,CONOR",1
--,"REBOUND DEF by GARDNER-NICHOLSON,C",,,,,,,"REBOUND DEF by GARDNER-NICHOLSON,C",1
09:37,"MISS 3PTR by KRISE,AUSTIN",,,,,,,"MISS 3PTR by KRISE,AUSTIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
09:09,,,,,"MISS LAYUP by BAK,CALVIN",,,"MISS LAYUP by BAK,CALVIN",1
--,"REBOUND DEF by KRISE,AUSTIN",,,,,,,"REBOUND DEF by KRISE,AUSTIN",1
09:04,"MISS JUMPER by ARCHIE-DAVIS,JALEN",,,,,,,"MISS JUMPER by ARCHIE-DAVIS,JALEN",1
--,"REBOUND OFF by MARTIN,MALCOLM",,,,,,,"REBOUND OFF by MARTIN,MALCOLM",1
08:48,"GOOD 3PTR by KRISE,AUSTIN",30 (+6),,24,,ALTM 30-24 (-6),,"GOOD 3PTR by KRISE,AUSTIN",1
--,"ASSIST  by BAILEY,SHEVELLE",,,,,,,"ASSIST  by BAILEY,SHEVELLE",1
08:23,"SUB IN by KUSTERS,JACK",,,,,,,"SUB IN by KUSTERS,JACK",1
08:23,"SUB OUT by MARTIN,MALCOLM",,,,,,,"SUB OUT by MARTIN,MALCOLM",1
08:23,,,,,"SUB IN by ALLISON,ZACHARY",,,"SUB IN by ALLISON,ZACHARY",1
08:23,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
08:06,"FOUL  by ARCHIE-DAVIS,JALEN",,,,,,,"FOUL  by ARCHIE-DAVIS,JALEN",1
08:06,,,,,"MISS FT by BAK,CALVIN",,,"MISS FT by BAK,CALVIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:06,,30 (+5),,25,"GOOD FT by BAK,CALVIN",BSC-M 30-25 (-5),,"GOOD FT by BAK,CALVIN",1
08:06,,,,,"SUB IN by DENBESTEN,COLE",,,"SUB IN by DENBESTEN,COLE",1
08:06,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
07:56,"TURNOVER  by BAILEY,SHEVELLE",,,,,,,"TURNOVER  by BAILEY,SHEVELLE",1
07:56,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:56,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
07:56,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
07:56,,,,,"SUB OUT by WALDRUM,AIDAN",,,"SUB OUT by WALDRUM,AIDAN",1
07:56,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
07:35,,,,,"TURNOVER  by ALLISON,ZACHARY",,,"TURNOVER  by ALLISON,ZACHARY",1
07:33,"STEAL  by BAILEY,SHEVELLE",,,,,,,"STEAL  by BAILEY,SHEVELLE",1
07:31,"GOOD LAYUP by KRISE,AUSTIN(fastbreak)(in the paint)",32 (+7),,25,,ALTM 32-25 (-7),,"GOOD LAYUP by KRISE,AUSTIN(fastbreak)(in the paint)",1
--,"ASSIST  by BAILEY,SHEVELLE",,,,,,,"ASSIST  by BAILEY,SHEVELLE",1
06:56,,32 (+5),,27,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 32-27 (-5),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",1
06:45,"GOOD 3PTR by KUSTERS,JACK",35 (+8),,27,,ALTM 35-27 (-8),,"GOOD 3PTR by KUSTERS,JACK",1
--,"ASSIST  by KRISE,AUSTIN",,,,,,,"ASSIST  by KRISE,AUSTIN",1
06:31,,35 (+6),,29,"GOOD LAYUP by ALLISON,ZACHARY(in the paint)",BSC-M 35-29 (-6),,"GOOD LAYUP by ALLISON,ZACHARY(in the paint)",1
06:24,"MISS LAYUP by KUSTERS,JACK",,,,,,,"MISS LAYUP by KUSTERS,JACK",1
06:24,,,,,"BLOCK  by ALLISON,ZACHARY",,,"BLOCK  by ALLISON,ZACHARY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:17,"SUB IN by BUTTERWORTH,TREY",,,,,,,"SUB IN by BUTTERWORTH,TREY",1
06:17,"SUB OUT by ARCHIE-DAVIS,JALEN",,,,,,,"SUB OUT by ARCHIE-DAVIS,JALEN",1
06:17,,,,,"SUB IN by HOLLIFIELD,MALCOLM",,,"SUB IN by HOLLIFIELD,MALCOLM",1
06:17,,,,,"SUB OUT by STEPHENS,TROY",,,"SUB OUT by STEPHENS,TROY",1
06:11,"GOOD LAYUP by GARDNER-NICHOLSON,C(in the paint)",37 (+8),,29,,ALTM 37-29 (-8),,"GOOD LAYUP by GARDNER-NICHOLSON,C(in the paint)",1
--,"ASSIST  by KUSTERS,JACK",,,,,,,"ASSIST  by KUSTERS,JACK",1
05:57,,37 (+6),,31,"GOOD LAYUP by DENBESTEN,COLE(in the paint)",BSC-M 37-31 (-6),,"GOOD LAYUP by DENBESTEN,COLE(in the paint)",1
05:43,"TURNOVER  by BAILEY,SHEVELLE",,,,,,,"TURNOVER  by BAILEY,SHEVELLE",1
05:41,,,,,"STEAL  by HOLLIFIELD,MALCOLM",,,"STEAL  by HOLLIFIELD,MALCOLM",1
05:35,,,,,"MISS LAYUP by YANCEY,RICH",,,"MISS LAYUP by YANCEY,RICH",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
05:33,,37 (+4),,33,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 37-33 (-4),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
05:27,,,,,"FOUL  by YANCEY,RICH",,,"FOUL  by YANCEY,RICH",1
05:27,"SUB IN by BRAGG,Y'SHUA",,,,,,,"SUB IN by BRAGG,Y'SHUA",1
05:27,"SUB OUT by GARDNER-NICHOLSON,C",,,,,,,"SUB OUT by GARDNER-NICHOLSON,C",1
05:16,"MISS 3PTR by KUSTERS,JACK",,,,,,,"MISS 3PTR by KUSTERS,JACK",1
--,,,,,"REBOUND DEF by YANCEY,RICH",,,"REBOUND DEF by YANCEY,RICH",1
05:05,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
05:05,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
05:05,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
05:05,,,,,"SUB OUT by ALLISON,ZACHARY",,,"SUB OUT by ALLISON,ZACHARY",1
04:54,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",,,"MISS 3PTR by O'SULLIVAN,CONOR",1
--,"REBOUND DEF by BRAGG,Y'SHUA",,,,,,,"REBOUND DEF by BRAGG,Y'SHUA",1
04:40,"MISS 3PTR by BUTTERWORTH,TREY",,,,,,,"MISS 3PTR by BUTTERWORTH,TREY",1
--,"REBOUND OFF by KRISE,AUSTIN",,,,,,,"REBOUND OFF by KRISE,AUSTIN",1
04:31,"TURNOVER  by BRAGG,Y'SHUA",,,,,,,"TURNOVER  by BRAGG,Y'SHUA",1
04:31,"FOUL  by BRAGG,Y'SHUA",,,,,,,"FOUL  by BRAGG,Y'SHUA",1
04:31,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
04:31,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",1
04:10,,,,,"TURNOVER  by O'SULLIVAN,CONOR",,,"TURNOVER  by O'SULLIVAN,CONOR",1
04:09,"STEAL  by BAILEY,SHEVELLE",,,,,,,"STEAL  by BAILEY,SHEVELLE",1
04:07,,,,,"FOUL  by O'SULLIVAN,CONOR",,,"FOUL  by O'SULLIVAN,CONOR",1
04:07,"GOOD FT by BAILEY,SHEVELLE",38 (+5),,33,,ALTM 38-33 (-5),,"GOOD FT by BAILEY,SHEVELLE",1
04:07,"GOOD FT by BAILEY,SHEVELLE",39 (+6),,33,,ALTM 39-33 (-6),,"GOOD FT by BAILEY,SHEVELLE",1
04:07,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",1
04:07,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
03:56,,,,,"MISS LAYUP by SPENCE,BEN",,,"MISS LAYUP by SPENCE,BEN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:51,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:51,,,,,"SUB IN by ALLISON,ZACHARY",,,"SUB IN by ALLISON,ZACHARY",1
03:51,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
03:49,,,,,"TURNOVER  by HOLLIFIELD,MALCOLM",,,"TURNOVER  by HOLLIFIELD,MALCOLM",1
03:48,"STEAL  by BAILEY,SHEVELLE",,,,,,,"STEAL  by BAILEY,SHEVELLE",1
03:46,"GOOD LAYUP by BAILEY,SHEVELLE(in the paint)",41 (+8),,33,,ALTM 41-33 (-8),,"GOOD LAYUP by BAILEY,SHEVELLE(in the paint)",1
03:37,,,,,"TURNOVER  by MOORE,KADEN",,,"TURNOVER  by MOORE,KADEN",1
03:36,"STEAL  by KRISE,AUSTIN",,,,,,,"STEAL  by KRISE,AUSTIN",1
03:34,,,,,"FOUL  by SPENCE,BEN",,,"FOUL  by SPENCE,BEN",1
03:34,"GOOD FT by BAILEY,SHEVELLE",42 (+9),,33,,ALTM 42-33 (-9),,"GOOD FT by BAILEY,SHEVELLE",1
03:34,"GOOD FT by BAILEY,SHEVELLE",43 (+10),,33,,ALTM 43-33 (-10),,"GOOD FT by BAILEY,SHEVELLE",1
03:34,"SUB IN by WEST,TYSON",,,,,,,"SUB IN by WEST,TYSON",1
