Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,ALST,Game Score,Team Indicator,Play,Period
14:51,,,,,"SUB IN by HOLSTON,KEVIN",,,"SUB IN by HOLSTON,KEVIN",1
14:51,,,,,"SUB IN by GOSIER,THERRELL",,,"SUB IN by GOSIER,THERRELL",1
14:51,,,,,"SUB OUT by ROSS,JACOBY",,,"SUB OUT by ROSS,JACOBY",1
14:51,,,,,"SUB OUT by EWUOSHO,TOBI",,,"SUB OUT by EWUOSHO,TOBI",1
14:42,,7,,10 (+3),"GOOD LAYUP by JOHNSON,BRANDEN(in the paint)",ALST 7-10 (-3),,"GOOD LAYUP by JOHNSON,BRANDEN(in the paint)",1
--,,,,,"ASSIST  by GOSIER,THERRELL",,,"ASSIST  by GOSIER,THERRELL",1
14:28,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
14:28,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",1
14:28,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
14:28,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
14:17,"MISS 3PTR by STEPHENS,TROY",,,,,,,"MISS 3PTR by STEPHENS,TROY",1
--,"REBOUND OFF by YANCEY,RICH",,,,,,,"REBOUND OFF by YANCEY,RICH",1
14:05,,,,,"FOUL  by HOLSTON,KEVIN",,,"FOUL  by HOLSTON,KEVIN",1
14:05,"SUB IN by WALDRUM,AIDAN",,,,,,,"SUB IN by WALDRUM,AIDAN",1
14:05,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
14:05,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",1
14:05,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
14:05,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",1
14:05,"SUB OUT by ALLISON,ZACHARY",,,,,,,"SUB OUT by ALLISON,ZACHARY",1
14:05,,,,,"SUB IN by JONES,ED",,,"SUB IN by JONES,ED",1
14:05,,,,,"SUB OUT by JOHNSON,BRANDEN",,,"SUB OUT by JOHNSON,BRANDEN",1
14:02,"FOUL  by WALDRUM,AIDAN",,,,,,,"FOUL  by WALDRUM,AIDAN",1
14:02,"TURNOVER  by WALDRUM,AIDAN",,,,,,,"TURNOVER  by WALDRUM,AIDAN",1
13:42,,7,,12 (+5),"GOOD LAYUP by GEE,REGINALD(in the paint)",ALST 7-12 (-5),,"GOOD LAYUP by GEE,REGINALD(in the paint)",1
13:32,"GOOD LAYUP by WALDRUM,AIDAN(in the paint)",9,,12 (+3),,BSC-M 9-12 (-3),,"GOOD LAYUP by WALDRUM,AIDAN(in the paint)",1
13:12,"FOUL  by O'SULLIVAN,CONOR",,,,,,,"FOUL  by O'SULLIVAN,CONOR",1
13:12,"FOUL  by O'SULLIVAN,CONOR",,,,,,,"FOUL  by O'SULLIVAN,CONOR",1
13:12,"SUB IN by HOLLIFIELD,MALCOLM",,,,,,,"SUB IN by HOLLIFIELD,MALCOLM",1
13:12,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
13:02,,,,,"TURNOVER  by GOSIER,THERRELL",,,"TURNOVER  by GOSIER,THERRELL",1
13:02,,,,,"SUB IN by ROSS,JACOBY",,,"SUB IN by ROSS,JACOBY",1
13:02,,,,,"SUB OUT by GEE,REGINALD",,,"SUB OUT by GEE,REGINALD",1
12:40,"MISS JUMPER by O'SULLIVAN,CONOR",,,,,,,"MISS JUMPER by O'SULLIVAN,CONOR",1
--,,,,,"REBOUND DEF by GOSIER,THERRELL",,,"REBOUND DEF by GOSIER,THERRELL",1
12:28,,,,,"TURNOVER  by GOSIER,THERRELL",,,"TURNOVER  by GOSIER,THERRELL",1
12:27,"STEAL  by HOLLIFIELD,MALCOLM",,,,,,,"STEAL  by HOLLIFIELD,MALCOLM",1
12:23,"MISS 3PTR by SPENCE,BEN",,,,,,,"MISS 3PTR by SPENCE,BEN",1
--,"REBOUND OFF by HOLLIFIELD,MALCOLM",,,,,,,"REBOUND OFF by HOLLIFIELD,MALCOLM",1
12:15,,,,,"FOUL  by ROGERS,AUSTIN",,,"FOUL  by ROGERS,AUSTIN",1
12:07,"TURNOVER  by WALDRUM,AIDAN",,,,,,,"TURNOVER  by WALDRUM,AIDAN",1
11:50,,9,,14 (+5),"GOOD JUMPER by JONES,ED",ALST 9-14 (-5),,"GOOD JUMPER by JONES,ED",1
--,,,,,"ASSIST  by HOLSTON,KEVIN",,,"ASSIST  by HOLSTON,KEVIN",1
11:50,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:50,,,,,"SUB IN by SEAY,AZARIAH",,,"SUB IN by SEAY,AZARIAH",1
11:50,,,,,"SUB OUT by ROGERS,AUSTIN",,,"SUB OUT by ROGERS,AUSTIN",1
11:36,,,,,"FOUL  by HOLSTON,KEVIN",,,"FOUL  by HOLSTON,KEVIN",1
11:36,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
11:36,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
11:36,"SUB IN by ALLISON,ZACHARY",,,,,,,"SUB IN by ALLISON,ZACHARY",1
11:36,"SUB OUT by WALDRUM,AIDAN",,,,,,,"SUB OUT by WALDRUM,AIDAN",1
11:36,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
11:36,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",1
11:36,,,,,"SUB IN by GEE,REGINALD",,,"SUB IN by GEE,REGINALD",1
11:36,,,,,"SUB OUT by HOLSTON,KEVIN",,,"SUB OUT by HOLSTON,KEVIN",1
11:32,"MISS 3PTR by SPENCE,BEN",,,,,,,"MISS 3PTR by SPENCE,BEN",1
--,,,,,"REBOUND DEF by ROSS,JACOBY",,,"REBOUND DEF by ROSS,JACOBY",1
11:23,,9,,16 (+7),"GOOD LAYUP by GEE,REGINALD(in the paint)",ALST 9-16 (-7),,"GOOD LAYUP by GEE,REGINALD(in the paint)",1
11:23,"FOUL  by ALLISON,ZACHARY",,,,,,,"FOUL  by ALLISON,ZACHARY",1
11:23,,9,,17 (+8),"GOOD FT by GEE,REGINALD",ALST 9-17 (-8),,"GOOD FT by GEE,REGINALD",1
11:08,"TURNOVER  by HOLLIFIELD,MALCOLM",,,,,,,"TURNOVER  by HOLLIFIELD,MALCOLM",1
11:07,,,,,"STEAL  by SEAY,AZARIAH",,,"STEAL  by SEAY,AZARIAH",1
11:02,,,,,"FOUL  by GOSIER,THERRELL",,,"FOUL  by GOSIER,THERRELL",1
11:02,,,,,"TURNOVER  by GOSIER,THERRELL",,,"TURNOVER  by GOSIER,THERRELL",1
10:42,,,,,"FOUL  by ROSS,JACOBY",,,"FOUL  by ROSS,JACOBY",1
10:42,"MISS FT by ALLISON,ZACHARY",,,,,,,"MISS FT by ALLISON,ZACHARY",1
--,,,,,"REBOUND DEF by FARRAR,AJ",,,"REBOUND DEF by FARRAR,AJ",1
10:42,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
10:42,"SUB OUT by HOLLIFIELD,MALCOLM",,,,,,,"SUB OUT by HOLLIFIELD,MALCOLM",1
10:42,,,,,"SUB IN by FARRAR,AJ",,,"SUB IN by FARRAR,AJ",1
10:42,,,,,"SUB OUT by GOSIER,THERRELL",,,"SUB OUT by GOSIER,THERRELL",1
10:32,,9,,20 (+11),"GOOD 3PTR by SEAY,AZARIAH",ALST 9-20 (-11),,"GOOD 3PTR by SEAY,AZARIAH",1
--,,,,,"ASSIST  by ROSS,JACOBY",,,"ASSIST  by ROSS,JACOBY",1
10:13,"GOOD 3PTR by BAK,CALVIN",12,,20 (+8),,BSC-M 12-20 (-8),,"GOOD 3PTR by BAK,CALVIN",1
--,"ASSIST  by GONDA,MATT",,,,,,,"ASSIST  by GONDA,MATT",1
10:01,,12,,22 (+10),"GOOD JUMPER by JONES,ED",ALST 12-22 (-10),,"GOOD JUMPER by JONES,ED",1
--,,,,,"ASSIST  by SEAY,AZARIAH",,,"ASSIST  by SEAY,AZARIAH",1
09:59,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",1
09:59,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",1
09:59,"SUB IN by JR,BRUCE BRIGHT",,,,,,,"SUB IN by JR,BRUCE BRIGHT",1
09:59,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
09:59,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
09:44,"GOOD 3PTR by BAK,CALVIN",15,,22 (+7),,BSC-M 15-22 (-7),,"GOOD 3PTR by BAK,CALVIN",1
--,"ASSIST  by ALLISON,ZACHARY",,,,,,,"ASSIST  by ALLISON,ZACHARY",1
09:33,"FOUL  by MOORE,KADEN",,,,,,,"FOUL  by MOORE,KADEN",1
09:33,,15,,23 (+8),"GOOD FT by JONES,ED",ALST 15-23 (-8),,"GOOD FT by JONES,ED",1
09:33,,15,,24 (+9),"GOOD FT by JONES,ED",ALST 15-24 (-9),,"GOOD FT by JONES,ED",1
09:19,"MISS 3PTR by MOORE,KADEN",,,,,,,"MISS 3PTR by MOORE,KADEN",1
--,,,,,"REBOUND DEF by FARRAR,AJ",,,"REBOUND DEF by FARRAR,AJ",1
09:13,,,,,"TURNOVER  by FARRAR,AJ",,,"TURNOVER  by FARRAR,AJ",1
08:48,,,,,"FOUL  by SEAY,AZARIAH",,,"FOUL  by SEAY,AZARIAH",1
08:48,"GOOD FT by ALLISON,ZACHARY",16,,24 (+8),,BSC-M 16-24 (-8),,"GOOD FT by ALLISON,ZACHARY",1
08:48,"GOOD FT by ALLISON,ZACHARY",17,,24 (+7),,BSC-M 17-24 (-7),,"GOOD FT by ALLISON,ZACHARY",1
08:48,,,,,"SUB IN by ROGERS,AUSTIN",,,"SUB IN by ROGERS,AUSTIN",1
08:48,,,,,"SUB OUT by GEE,REGINALD",,,"SUB OUT by GEE,REGINALD",1
08:31,,,,,"MISS LAYUP by SEAY,AZARIAH",,,"MISS LAYUP by SEAY,AZARIAH",1
08:31,"BLOCK  by MOORE,KADEN",,,,,,,"BLOCK  by MOORE,KADEN",1
--,"REBOUND DEF by MOORE,KADEN",,,,,,,"REBOUND DEF by MOORE,KADEN",1
08:29,,,,,"FOUL  by FARRAR,AJ",,,"FOUL  by FARRAR,AJ",1
08:29,"MISS FT by MOORE,KADEN",,,,,,,"MISS FT by MOORE,KADEN",1
--,,,,,"REBOUND DEF by FARRAR,AJ",,,"REBOUND DEF by FARRAR,AJ",1
08:20,,,,,"TURNOVER  by FARRAR,AJ",,,"TURNOVER  by FARRAR,AJ",1
08:20,,,,,"SUB IN by JOHNSON,BRANDEN",,,"SUB IN by JOHNSON,BRANDEN",1
08:20,,,,,"SUB OUT by FARRAR,AJ",,,"SUB OUT by FARRAR,AJ",1
08:03,"MISS LAYUP by ALLISON,ZACHARY",,,,,,,"MISS LAYUP by ALLISON,ZACHARY",1
08:03,,,,,"BLOCK  by SEAY,AZARIAH",,,"BLOCK  by SEAY,AZARIAH",1
--,,,,,"REBOUND DEF by JOHNSON,BRANDEN",,,"REBOUND DEF by JOHNSON,BRANDEN",1
07:56,,,,,"MISS 3PTR by SEAY,AZARIAH",,,"MISS 3PTR by SEAY,AZARIAH",1
--,,,,,"REBOUND OFF by ROGERS,AUSTIN",,,"REBOUND OFF by ROGERS,AUSTIN",1
07:45,,17,,26 (+9),"GOOD JUMPER by JONES,ED",ALST 17-26 (-9),,"GOOD JUMPER by JONES,ED",1
--,,,,,"ASSIST  by SEAY,AZARIAH",,,"ASSIST  by SEAY,AZARIAH",1
07:18,"MISS 3PTR by GONDA,MATT",,,,,,,"MISS 3PTR by GONDA,MATT",1
--,,,,,"REBOUND DEF by JONES,ED",,,"REBOUND DEF by JONES,ED",1
07:07,,,,,"MISS LAYUP by ROGERS,AUSTIN",,,"MISS LAYUP by ROGERS,AUSTIN",1
--,"REBOUND DEF by BAK,CALVIN",,,,,,,"REBOUND DEF by BAK,CALVIN",1
07:02,"GOOD 3PTR by BAK,CALVIN",20,,26 (+6),,BSC-M 20-26 (-6),,"GOOD 3PTR by BAK,CALVIN",1
06:38,"FOUL  by BAK,CALVIN",,,,,,,"FOUL  by BAK,CALVIN",1
06:38,,20,,27 (+7),"GOOD FT by JOHNSON,BRANDEN",ALST 20-27 (-7),,"GOOD FT by JOHNSON,BRANDEN",1
06:38,,,,,"MISS FT by JOHNSON,BRANDEN",,,"MISS FT by JOHNSON,BRANDEN",1
--,"REBOUND DEF by WALDRUM,AIDAN",,,,,,,"REBOUND DEF by WALDRUM,AIDAN",1
06:38,"SUB IN by WALDRUM,AIDAN",,,,,,,"SUB IN by WALDRUM,AIDAN",1
06:38,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
06:38,"SUB IN by ZHOU,ANDY",,,,,,,"SUB IN by ZHOU,ANDY",1
06:38,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",1
06:38,"SUB IN by DENBESTEN,COLE",,,,,,,"SUB IN by DENBESTEN,COLE",1
06:38,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
06:38,"SUB OUT by JR,BRUCE BRIGHT",,,,,,,"SUB OUT by JR,BRUCE BRIGHT",1
06:38,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
06:38,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
06:38,"SUB OUT by ALLISON,ZACHARY",,,,,,,"SUB OUT by ALLISON,ZACHARY",1
06:38,,,,,"SUB IN by GEE,REGINALD",,,"SUB IN by GEE,REGINALD",1
06:38,,,,,"SUB OUT by SEAY,AZARIAH",,,"SUB OUT by SEAY,AZARIAH",1
06:06,"MISS 3PTR by DENBESTEN,COLE",,,,,,,"MISS 3PTR by DENBESTEN,COLE",1
--,"REBOUND OFF by ZHOU,ANDY",,,,,,,"REBOUND OFF by ZHOU,ANDY",1
06:03,"GOOD 3PTR by DENBESTEN,COLE",23,,27 (+4),,BSC-M 23-27 (-4),,"GOOD 3PTR by DENBESTEN,COLE",1
--,"ASSIST  by ZHOU,ANDY",,,,,,,"ASSIST  by ZHOU,ANDY",1
05:38,"FOUL  by SPENCE,BEN",,,,,,,"FOUL  by SPENCE,BEN",1
05:38,,,,,"MISS FT by JOHNSON,BRANDEN",,,"MISS FT by JOHNSON,BRANDEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:38,,,,,"MISS FT by JOHNSON,BRANDEN",,,"MISS FT by JOHNSON,BRANDEN",1
--,"REBOUND DEF by WALDRUM,AIDAN",,,,,,,"REBOUND DEF by WALDRUM,AIDAN",1
05:24,,,,,"FOUL  by ROGERS,AUSTIN",,,"FOUL  by ROGERS,AUSTIN",1
05:24,"MISS FT by ZHOU,ANDY",,,,,,,"MISS FT by ZHOU,ANDY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:24,"GOOD FT by ZHOU,ANDY",24,,27 (+3),,BSC-M 24-27 (-3),,"GOOD FT by ZHOU,ANDY",1
05:00,,24,,30 (+6),"GOOD 3PTR by GEE,REGINALD",ALST 24-30 (-6),,"GOOD 3PTR by GEE,REGINALD",1
04:45,"MISS LAYUP by ZHOU,ANDY",,,,,,,"MISS LAYUP by ZHOU,ANDY",1
04:45,,,,,"BLOCK  by JOHNSON,BRANDEN",,,"BLOCK  by JOHNSON,BRANDEN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
04:34,"MISS JUMPER by STEPHENS,TROY",,,,,,,"MISS JUMPER by STEPHENS,TROY",1
--,,,,,"REBOUND DEF by JOHNSON,BRANDEN",,,"REBOUND DEF by JOHNSON,BRANDEN",1
04:26,,,,,"MISS JUMPER by SEAY,AZARIAH",,,"MISS JUMPER by SEAY,AZARIAH",1
--,"REBOUND DEF by STEPHENS,TROY",,,,,,,"REBOUND DEF by STEPHENS,TROY",1
04:17,"TURNOVER  by DENBESTEN,COLE",,,,,,,"TURNOVER  by DENBESTEN,COLE",1
03:51,,,,,"MISS JUMPER by GEE,REGINALD",,,"MISS JUMPER by GEE,REGINALD",1
--,"REBOUND DEF by WALDRUM,AIDAN",,,,,,,"REBOUND DEF by WALDRUM,AIDAN",1
03:37,"MISS 3PTR by DENBESTEN,COLE",,,,,,,"MISS 3PTR by DENBESTEN,COLE",1
--,"REBOUND OFF by WALDRUM,AIDAN",,,,,,,"REBOUND OFF by WALDRUM,AIDAN",1
03:23,"GOOD 3PTR by SPENCE,BEN",27,,30 (+3),,BSC-M 27-30 (-3),,"GOOD 3PTR by SPENCE,BEN",1
--,"ASSIST  by DENBESTEN,COLE",,,,,,,"ASSIST  by DENBESTEN,COLE",1
03:05,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:05,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
03:05,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
03:05,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",1
03:05,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
03:05,"SUB IN by ALLISON,ZACHARY",,,,,,,"SUB IN by ALLISON,ZACHARY",1
03:05,"SUB OUT by WALDRUM,AIDAN",,,,,,,"SUB OUT by WALDRUM,AIDAN",1
03:05,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
03:05,"SUB OUT by ZHOU,ANDY",,,,,,,"SUB OUT by ZHOU,ANDY",1
03:05,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
03:05,"SUB OUT by DENBESTEN,COLE",,,,,,,"SUB OUT by DENBESTEN,COLE",1
03:05,,,,,"SUB IN by HOLSTON,KEVIN",,,"SUB IN by HOLSTON,KEVIN",1
03:05,,,,,"SUB OUT by ROGERS,AUSTIN",,,"SUB OUT by ROGERS,AUSTIN",1
03:02,,,,,"MISS 3PTR by HOLSTON,KEVIN",,,"MISS 3PTR by HOLSTON,KEVIN",1
--,,,,,"REBOUND OFF by JOHNSON,BRANDEN",,,"REBOUND OFF by JOHNSON,BRANDEN",1
02:48,,,,,"TURNOVER  by ROSS,JACOBY",,,"TURNOVER  by ROSS,JACOBY",1
02:46,"STEAL  by BAK,CALVIN",,,,,,,"STEAL  by BAK,CALVIN",1
02:36,"MISS 3PTR by GONDA,MATT",,,,,,,"MISS 3PTR by GONDA,MATT",1
--,,,,,"REBOUND DEF by ROSS,JACOBY",,,"REBOUND DEF by ROSS,JACOBY",1
02:27,,,,,"MISS 3PTR by GEE,REGINALD",,,"MISS 3PTR by GEE,REGINALD",1
--,,,,,"REBOUND OFF by JOHNSON,BRANDEN",,,"REBOUND OFF by JOHNSON,BRANDEN",1
02:25,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",1
02:25,,27,,31 (+4),"GOOD FT by JOHNSON,BRANDEN",ALST 27-31 (-4),,"GOOD FT by JOHNSON,BRANDEN",1
02:25,,27,,32 (+5),"GOOD FT by JOHNSON,BRANDEN",ALST 27-32 (-5),,"GOOD FT by JOHNSON,BRANDEN",1
01:54,,,,,"FOUL  by JONES,ED",,,"FOUL  by JONES,ED",1
01:54,"MISS FT by STEWART,CHRISTIAN",,,,,,,"MISS FT by STEWART,CHRISTIAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:54,"GOOD FT by STEWART,CHRISTIAN",28,,32 (+4),,BSC-M 28-32 (-4),,"GOOD FT by STEWART,CHRISTIAN",1
01:36,,28,,35 (+7),"GOOD 3PTR by HOLSTON,KEVIN",ALST 28-35 (-7),,"GOOD 3PTR by HOLSTON,KEVIN",1
--,,,,,"ASSIST  by ROSS,JACOBY",,,"ASSIST  by ROSS,JACOBY",1
01:15,"MISS 3PTR by ALLISON,ZACHARY",,,,,,,"MISS 3PTR by ALLISON,ZACHARY",1
--,,,,,"REBOUND DEF by GEE,REGINALD",,,"REBOUND DEF by GEE,REGINALD",1
01:06,,,,,"MISS LAYUP by HOLSTON,KEVIN",,,"MISS LAYUP by HOLSTON,KEVIN",1
--,"REBOUND DEF by YANCEY,RICH",,,,,,,"REBOUND DEF by YANCEY,RICH",1
00:54,"MISS 3PTR by YANCEY,RICH",,,,,,,"MISS 3PTR by YANCEY,RICH",1
--,,,,,"REBOUND DEF by JOHNSON,BRANDEN",,,"REBOUND DEF by JOHNSON,BRANDEN",1
00:47,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:36,,,,,"MISS 3PTR by ROSS,JACOBY",,,"MISS 3PTR by ROSS,JACOBY",1
--,"REBOUND DEF by WALDRUM,AIDAN",,,,,,,"REBOUND DEF by WALDRUM,AIDAN",1
