Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
10:50,"FOUL  by STOKES,TIMOTHY",,,,,,,"FOUL  by STOKES,TIMOTHY",1
10:50,,18,,20 (+2),"GOOD FT by ZHOU,ANDY",BSC-M 18-20 (+2),,"GOOD FT by ZHOU,ANDY",1
10:50,,18,,21 (+3),"GOOD FT by ZHOU,ANDY",BSC-M 18-21 (+3),,"GOOD FT by ZHOU,ANDY",1
10:50,"SUB IN by SCHULTZ,TRAVIS",,,,,,,"SUB IN by SCHULTZ,TRAVIS",1
10:50,"SUB IN by WALLACE,KD",,,,,,,"SUB IN by WALLACE,KD",1
10:50,"SUB OUT by WASHINGTON,DEVON",,,,,,,"SUB OUT by WASHINGTON,DEVON",1
10:50,"SUB OUT by HOLLIS,REX",,,,,,,"SUB OUT by HOLLIS,REX",1
10:47,,,,,"FOUL  by HOLLIFIELD,MALCOLM",,,"FOUL  by HOLLIFIELD,MALCOLM",1
10:33,"MISS 3PTR by COLEMAN,JACQUEZ",,,,,,,"MISS 3PTR by COLEMAN,JACQUEZ",1
--,,,,,"REBOUND DEF by HOLLIFIELD,MALCOLM",,,"REBOUND DEF by HOLLIFIELD,MALCOLM",1
10:13,,18,,23 (+5),"GOOD LAYUP by ZHOU,ANDY(in the paint)",BSC-M 18-23 (+5),,"GOOD LAYUP by ZHOU,ANDY(in the paint)",1
10:05,,,,,"FOUL  by ZHOU,ANDY",,,"FOUL  by ZHOU,ANDY",1
10:05,"SUB IN by YOUNG,QUESHOD",,,,,,,"SUB IN by YOUNG,QUESHOD",1
10:05,"SUB OUT by POWELL,LASHARD",,,,,,,"SUB OUT by POWELL,LASHARD",1
09:54,"MISS JUMPER by WALLACE,KD",,,,,,,"MISS JUMPER by WALLACE,KD",1
--,,,,,"REBOUND DEF by YANCEY,RICH",,,"REBOUND DEF by YANCEY,RICH",1
09:40,,,,,"TURNOVER  by ZHOU,ANDY",,,"TURNOVER  by ZHOU,ANDY",1
09:40,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
09:40,,,,,"SUB IN by ALLISON,ZACHARY",,,"SUB IN by ALLISON,ZACHARY",1
09:40,,,,,"SUB OUT by ZHOU,ANDY",,,"SUB OUT by ZHOU,ANDY",1
09:40,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",1
09:34,,,,,"FOUL  by HOLLIFIELD,MALCOLM",,,"FOUL  by HOLLIFIELD,MALCOLM",1
09:23,"MISS JUMPER by WALLACE,KD",,,,,,,"MISS JUMPER by WALLACE,KD",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
09:12,,18,,26 (+8),"GOOD 3PTR by HOLLIFIELD,MALCOLM",BSC-M 18-26 (+8),,"GOOD 3PTR by HOLLIFIELD,MALCOLM",1
--,,,,,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",1
08:59,"TURNOVER  by WALLACE,KD",,,,,,,"TURNOVER  by WALLACE,KD",1
08:57,,,,,"STEAL  by HOLLIFIELD,MALCOLM",,,"STEAL  by HOLLIFIELD,MALCOLM",1
08:56,,18,,28 (+10),"GOOD LAYUP by HOLLIFIELD,MALCOLM(fastbreak)(in the paint)",BSC-M 18-28 (+10),,"GOOD LAYUP by HOLLIFIELD,MALCOLM(fastbreak)(in the paint)",1
08:42,"MISS JUMPER by WALLACE,KD",,,,,,,"MISS JUMPER by WALLACE,KD",1
