Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
09:45,,,,,"SUB OUT by WILLIAMS,JAYSON",,,"SUB OUT by WILLIAMS,JAYSON",1
09:45,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",1
09:45,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",1
09:45,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",1
09:45,"SUB OUT by BROWN,BROCK",,,,,,,"SUB OUT by BROWN,BROCK",1
09:45,"SUB IN by BROWN,BRYCE",,,,,,,"SUB IN by BROWN,BRYCE",1
09:45,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",1
09:45,"SUB IN by BASS,DEVIN",,,,,,,"SUB IN by BASS,DEVIN",1
09:36,,,,,"TURNOVER  by WALKER,JEFFERSON",,,"TURNOVER  by WALKER,JEFFERSON",1
09:36,"STEAL  by BROWN,BRYCE",,,,,,,"STEAL  by BROWN,BRYCE",1
09:08,"MISS JUMPER by BROWN,BRYCE",,,,,,,"MISS JUMPER by BROWN,BRYCE",1
--,"REBOUND OFF by BASS,DEVIN",,,,,,,"REBOUND OFF by BASS,DEVIN",1
09:04,"MISS JUMPER by BASS,DEVIN(in the paint)",,,,,,,"MISS JUMPER by BASS,DEVIN(in the paint)",1
--,,,,,"REBOUND DEF by SHEN,KEVIN",,,"REBOUND DEF by SHEN,KEVIN",1
08:49,,,,,"MISS 3PTR by WALKER,JEFFERSON",,,"MISS 3PTR by WALKER,JEFFERSON",1
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",1
08:37,"GOOD LAYUP by RUCKER,CAM(in the paint)",15 (+2),,13,,Mill 15-13 (+2),,"GOOD LAYUP by RUCKER,CAM(in the paint)",1
08:37,,,,,"FOUL  by WALKER,JEFFERSON",,,"FOUL  by WALKER,JEFFERSON",1
08:37,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
08:37,,,,,"SUB OUT by COOK,JEREMIAH",,,"SUB OUT by COOK,JEREMIAH",1
08:37,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
08:37,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
08:37,"GOOD FT by RUCKER,CAM",16 (+3),,13,,Mill 16-13 (+3),,"GOOD FT by RUCKER,CAM",1
08:37,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",1
08:37,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
08:20,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",1
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
