Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,CENT,Game Score,Team Indicator,Play,Period
06:34,,,,,"MISS 3PTR by MINGO,KILE",,,"MISS 3PTR by MINGO,KILE",1
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",1
06:17,"MISS 3PTR by BROWN,BROCK",,,,,,,"MISS 3PTR by BROWN,BROCK",1
--,,,,,"REBOUND DEF by MINGO,KILE",,,"REBOUND DEF by MINGO,KILE",1
06:06,,,,,"MISS 3PTR by HOOTER,DYLAN",,,"MISS 3PTR by HOOTER,DYLAN",1
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",1
05:56,"TURNOVER  by STEPHEN,SETH",,,,,,,"TURNOVER  by STEPHEN,SETH",1
05:56,"FOUL  by STEPHEN,SETH",,,,,,,"FOUL  by STEPHEN,SETH",1
05:56,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",1
05:56,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
05:56,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
05:56,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",1
05:42,,,,,"MISS LAYUP by HALL,AJ",,,"MISS LAYUP by HALL,AJ",1
05:42,"BLOCK  by EVANS,CHRISTIAN",,,,,,,"BLOCK  by EVANS,CHRISTIAN",1
--,"REBOUND DEF by EVANS,CHRISTIAN",,,,,,,"REBOUND DEF by EVANS,CHRISTIAN",1
05:28,"MISS JUMPER by GILLIHAN,NEWLON",,,,,,,"MISS JUMPER by GILLIHAN,NEWLON",1
--,,,,,"REBOUND DEF by MINGO,KILE",,,"REBOUND DEF by MINGO,KILE",1
05:12,,,,,"MISS 3PTR by TAYLOR,JARRELL",,,"MISS 3PTR by TAYLOR,JARRELL",1
--,"REBOUND DEF by EVANS,CHRISTIAN",,,,,,,"REBOUND DEF by EVANS,CHRISTIAN",1
04:59,"SUB IN by BASS,DEVIN",,,,,,,"SUB IN by BASS,DEVIN",1
04:59,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",1
04:59,,,,,"SUB IN by WIGGINS,JOSEPH",,,"SUB IN by WIGGINS,JOSEPH",1
04:59,,,,,"SUB OUT by HOOTER,DYLAN",,,"SUB OUT by HOOTER,DYLAN",1
04:52,"TURNOVER  by EVANS,CHRISTIAN",,,,,,,"TURNOVER  by EVANS,CHRISTIAN",1
04:51,,,,,"STEAL  by TAYLOR,JARRELL",,,"STEAL  by TAYLOR,JARRELL",1
04:38,,23 (+4),,19,"GOOD 3PTR by MINGO,KILE",CENT 23-19 (+4),,"GOOD 3PTR by MINGO,KILE",1
--,,,,,"ASSIST  by JOHNSON,RALPH",,,"ASSIST  by JOHNSON,RALPH",1
04:17,"MISS JUMPER by WATSON,DOUG",,,,,,,"MISS JUMPER by WATSON,DOUG",1
--,,,,,"REBOUND DEF by TAYLOR,JARRELL",,,"REBOUND DEF by TAYLOR,JARRELL",1
03:59,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",1
03:59,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
03:59,,23 (+3),,20,"GOOD FT by TAYLOR,JARRELL",CENT 23-20 (+3),,"GOOD FT by TAYLOR,JARRELL",1
03:59,,23 (+2),,21,"GOOD FT by TAYLOR,JARRELL",CENT 23-21 (+2),,"GOOD FT by TAYLOR,JARRELL",1
03:39,"MISS JUMPER by GILLIHAN,NEWLON",,,,,,,"MISS JUMPER by GILLIHAN,NEWLON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:36,"SUB IN by BROWN,BRYCE",,,,,,,"SUB IN by BROWN,BRYCE",1
03:36,"SUB OUT by BROWN,BROCK",,,,,,,"SUB OUT by BROWN,BROCK",1
03:29,,23,,23,"GOOD JUMPER by JOHNSON,RALPH",CENT 23-23 (0),,"GOOD JUMPER by JOHNSON,RALPH",1
03:13,"GOOD 3PTR by WATSON,DOUG",26 (+3),,23,,MILLSAPS 26-23 (+3),,"GOOD 3PTR by WATSON,DOUG",1
--,"ASSIST  by BROWN,BRYCE",,,,,,,"ASSIST  by BROWN,BRYCE",1
02:59,,,,,"MISS 3PTR by MINGO,KILE",,,"MISS 3PTR by MINGO,KILE",1
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",1
02:47,"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",28 (+5),,23,,MILLSAPS 28-23 (+5),,"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",1
02:45,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
02:45,,,,,"SUB IN by BEHR,JALEN",,,"SUB IN by BEHR,JALEN",1
02:45,,,,,"SUB OUT by HALL,AJ",,,"SUB OUT by HALL,AJ",1
02:27,,,,,"MISS JUMPER by JOHNSON,RALPH",,,"MISS JUMPER by JOHNSON,RALPH",1
--,,,,,"REBOUND OFF by WIGGINS,JOSEPH",,,"REBOUND OFF by WIGGINS,JOSEPH",1
02:18,,28 (+3),,25,"GOOD JUMPER by TAYLOR,JARRELL(in the paint)",CENT 28-25 (+3),,"GOOD JUMPER by TAYLOR,JARRELL(in the paint)",1
02:17,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
02:17,"SUB OUT by BASS,DEVIN",,,,,,,"SUB OUT by BASS,DEVIN",1
02:04,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",1
--,,,,,"REBOUND DEF by MINGO,KILE",,,"REBOUND DEF by MINGO,KILE",1
01:54,,28 (+1),,27,"GOOD LAYUP by WIGGINS,JOSEPH(in the paint)",CENT 28-27 (+1),,"GOOD LAYUP by WIGGINS,JOSEPH(in the paint)",1
--,,,,,"ASSIST  by MINGO,KILE",,,"ASSIST  by MINGO,KILE",1
01:30,"TURNOVER  by BROWN,BRYCE",,,,,,,"TURNOVER  by BROWN,BRYCE",1
01:30,,,,,"STEAL  by BEHR,JALEN",,,"STEAL  by BEHR,JALEN",1
01:30,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",1
01:30,"SUB IN by WILLIAMS,CAMERON",,,,,,,"SUB IN by WILLIAMS,CAMERON",1
01:30,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",1
01:04,,,,,"MISS LAYUP by TAYLOR,JARRELL",,,"MISS LAYUP by TAYLOR,JARRELL",1
--,,,,,"REBOUND OFF by WIGGINS,JOSEPH",,,"REBOUND OFF by WIGGINS,JOSEPH",1
00:59,,28,,29 (+1),"GOOD LAYUP by WIGGINS,JOSEPH(in the paint)",CENT 28-29 (-1),,"GOOD LAYUP by WIGGINS,JOSEPH(in the paint)",1
00:57,,,,,"SUB IN by THOMAS,SETH",,,"SUB IN by THOMAS,SETH",1
00:57,,,,,"SUB OUT by TAYLOR,JARRELL",,,"SUB OUT by TAYLOR,JARRELL",1
00:42,"GOOD LAYUP by BROWN,BRYCE(in the paint)",30 (+1),,29,,MILLSAPS 30-29 (+1),,"GOOD LAYUP by BROWN,BRYCE(in the paint)",1
00:15,,,,,"MISS JUMPER by JOHNSON,RALPH",,,"MISS JUMPER by JOHNSON,RALPH",1
--,,,,,"REBOUND OFF by WIGGINS,JOSEPH",,,"REBOUND OFF by WIGGINS,JOSEPH",1
00:09,,,,,"MISS 3PTR by JOHNSON,RALPH",,,"MISS 3PTR by JOHNSON,RALPH",1
--,,,,,"REBOUND OFF by MINGO,KILE",,,"REBOUND OFF by MINGO,KILE",1
00:01,,,,,"MISS 3PTR by THOMAS,SETH",,,"MISS 3PTR by THOMAS,SETH",1
--,,,,,"REBOUND OFF by MINGO,KILE",,,"REBOUND OFF by MINGO,KILE",1
00:00,,,,,"MISS LAYUP by MINGO,KILE",,,"MISS LAYUP by MINGO,KILE",1
--,,,,,"REBOUND OFF by BEHR,JALEN",,,"REBOUND OFF by BEHR,JALEN",1
00:00,,30,,31 (+1),"GOOD LAYUP by BEHR,JALEN(in the paint)",CENT 30-31 (-1),,"GOOD LAYUP by BEHR,JALEN(in the paint)",1
--,,,,,"ASSIST  by MINGO,KILE",,,"ASSIST  by MINGO,KILE",1
20:00,"SUB IN by BASS,DEVIN",,,,,,,"SUB IN by BASS,DEVIN",2
20:00,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",2
20:00,"SUB IN by BROWN,BRYCE",,,,,,,"SUB IN by BROWN,BRYCE",2
20:00,"SUB IN by UGHOVWA,NICHOLAS",,,,,,,"SUB IN by UGHOVWA,NICHOLAS",2
20:00,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",2
20:00,,,,,"SUB IN by MINGO,KILE",,,"SUB IN by MINGO,KILE",2
20:00,,,,,"SUB IN by THOMAS,SETH",,,"SUB IN by THOMAS,SETH",2
20:00,,,,,"SUB IN by WIGGINS,JOSEPH",,,"SUB IN by WIGGINS,JOSEPH",2
20:00,,,,,"SUB IN by HALL,AJ",,,"SUB IN by HALL,AJ",2
19:40,"MISS 3PTR by WILLIAMS,CAMERON",,,,,,,"MISS 3PTR by WILLIAMS,CAMERON",2
--,,,,,"REBOUND DEF by BOARD,BRAEDEN",,,"REBOUND DEF by BOARD,BRAEDEN",2
19:25,,30,,34 (+4),"GOOD 3PTR by BEHR,JALEN",CENT 30-34 (-4),,"GOOD 3PTR by BEHR,JALEN",2
--,,,,,"ASSIST  by BOARD,BRAEDEN",,,"ASSIST  by BOARD,BRAEDEN",2
19:01,,,,,"FOUL  by BAKER,TEVIN",,,"FOUL  by BAKER,TEVIN",2
18:37,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
18:26,,,,,"MISS 3PTR by TAYLOR,JARRELL",,,"MISS 3PTR by TAYLOR,JARRELL",2
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",2
