Time Remaining,SRSU,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:13,"MISS LAYUP by NELSON,TREY(in the paint)",,,,,,,"MISS LAYUP by NELSON,TREY(in the paint)",2
--,"REBOUND OFF by PAREDES,JULIAN",,,,,,,"REBOUND OFF by PAREDES,JULIAN",2
18:09,"GOOD LAYUP by PAREDES,JULIAN(in the paint)",42 (+20),,22,,SRSU 42-22 (-20),,"GOOD LAYUP by PAREDES,JULIAN(in the paint)",2
17:58,,,,,"MISS JUMPER by WATSON,DOUG",,,"MISS JUMPER by WATSON,DOUG",2
17:58,"BLOCK  by GONZALEZ,ELI",,,,,,,"BLOCK  by GONZALEZ,ELI",2
--,"REBOUND DEF by DIXON,LOGAN",,,,,,,"REBOUND DEF by DIXON,LOGAN",2
17:52,,,,,"FOUL  by EVANS,CHRISTIAN",,,"FOUL  by EVANS,CHRISTIAN",2
17:52,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",2
17:52,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",2
17:52,,,,,"SUB IN by WILLIAMS,CAMERON",,,"SUB IN by WILLIAMS,CAMERON",2
17:52,,,,,"SUB IN by BROWN,BRYCE",,,"SUB IN by BROWN,BRYCE",2
17:37,"MISS JUMPER by DIXON,LOGAN",,,,,,,"MISS JUMPER by DIXON,LOGAN",2
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",2
17:28,,,,,"MISS JUMPER by WILLIAMS,CAMERON",,,"MISS JUMPER by WILLIAMS,CAMERON",2
--,"REBOUND DEF by DIXON,LOGAN",,,,,,,"REBOUND DEF by DIXON,LOGAN",2
17:17,"GOOD JUMPER by MARTINEZ,MITCHELL",44 (+22),,22,,SRSU 44-22 (-22),,"GOOD JUMPER by MARTINEZ,MITCHELL",2
--,"ASSIST  by NELSON,TREY",,,,,,,"ASSIST  by NELSON,TREY",2
17:00,,,,,"FOUL  by URSIN,AARON",,,"FOUL  by URSIN,AARON",2
17:00,,,,,"TURNOVER  by URSIN,AARON",,,"TURNOVER  by URSIN,AARON",2
17:00,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",2
17:00,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",2
17:00,"SUB OUT by PAREDES,JULIAN",,,,,,,"SUB OUT by PAREDES,JULIAN",2
17:00,"SUB OUT by DIXON,LOGAN",,,,,,,"SUB OUT by DIXON,LOGAN",2
17:00,"SUB IN by BASS,DAVEONE",,,,,,,"SUB IN by BASS,DAVEONE",2
17:00,"SUB IN by SANCHEZ,GABE",,,,,,,"SUB IN by SANCHEZ,GABE",2
16:37,"MISS 3PTR by NELSON,TREY",,,,,,,"MISS 3PTR by NELSON,TREY",2
--,,,,,"REBOUND DEF by EVANS,CHRISTIAN",,,"REBOUND DEF by EVANS,CHRISTIAN",2
16:20,,,,,"MISS 3PTR by WILLIAMS,CAMERON",,,"MISS 3PTR by WILLIAMS,CAMERON",2
16:19,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",2
16:19,,,,,"SUB IN by ROTH,DREW",,,"SUB IN by ROTH,DREW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:54,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:49,"MISS JUMPER by NELSON,TREY",,,,,,,"MISS JUMPER by NELSON,TREY",2
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",2
15:46,,,,,"TURNOVER  by WILLIAMS,CAMERON",,,"TURNOVER  by WILLIAMS,CAMERON",2
15:46,"STEAL  by GONZALEZ,ELI",,,,,,,"STEAL  by GONZALEZ,ELI",2
15:41,"GOOD LAYUP by MARTINEZ,MITCHELL(fastbreak)(in the paint)",46 (+24),,22,,SRSU 46-22 (-24),,"GOOD LAYUP by MARTINEZ,MITCHELL(fastbreak)(in the paint)",2
--,"ASSIST  by GONZALEZ,ELI",,,,,,,"ASSIST  by GONZALEZ,ELI",2
15:26,,46 (+22),,24,"GOOD LAYUP by STEPHEN,SETH(in the paint)",Mill 46-24 (-22),,"GOOD LAYUP by STEPHEN,SETH(in the paint)",2
15:14,"MISS JUMPER by SANCHEZ,GABE(in the paint)",,,,,,,"MISS JUMPER by SANCHEZ,GABE(in the paint)",2
--,"REBOUND OFF by MARTINEZ,MITCHELL",,,,,,,"REBOUND OFF by MARTINEZ,MITCHELL",2
14:59,"MISS JUMPER by SANCHEZ,GABE",,,,,,,"MISS JUMPER by SANCHEZ,GABE",2
--,,,,,"REBOUND DEF by EVANS,CHRISTIAN",,,"REBOUND DEF by EVANS,CHRISTIAN",2
14:54,,,,,"TURNOVER  by EVANS,CHRISTIAN",,,"TURNOVER  by EVANS,CHRISTIAN",2
14:54,"STEAL  by BASS,DAVEONE",,,,,,,"STEAL  by BASS,DAVEONE",2
14:50,"GOOD LAYUP by BASS,DAVEONE(fastbreak)(in the paint)",48 (+24),,24,,SRSU 48-24 (-24),,"GOOD LAYUP by BASS,DAVEONE(fastbreak)(in the paint)",2
14:36,,,,,"MISS LAYUP by STEPHEN,SETH(in the paint)",,,"MISS LAYUP by STEPHEN,SETH(in the paint)",2
14:36,"BLOCK  by MARTINEZ,MITCHELL",,,,,,,"BLOCK  by MARTINEZ,MITCHELL",2
--,"REBOUND DEF by MARTINEZ,MITCHELL",,,,,,,"REBOUND DEF by MARTINEZ,MITCHELL",2
14:19,"MISS JUMPER by NELSON,TREY",,,,,,,"MISS JUMPER by NELSON,TREY",2
--,"REBOUND OFF by BASS,DAVEONE",,,,,,,"REBOUND OFF by BASS,DAVEONE",2
14:18,"GOOD LAYUP by BASS,DAVEONE(in the paint)",50 (+26),,24,,SRSU 50-24 (-26),,"GOOD LAYUP by BASS,DAVEONE(in the paint)",2
14:18,"FOUL  by BASS,DAVEONE",,,,,,,"FOUL  by BASS,DAVEONE",2
14:18,,,,,"SUB OUT by WILLIAMS,CAMERON",,,"SUB OUT by WILLIAMS,CAMERON",2
14:18,,,,,"SUB OUT by EVANS,CHRISTIAN",,,"SUB OUT by EVANS,CHRISTIAN",2
14:18,,,,,"SUB IN by WATSON,DOUG",,,"SUB IN by WATSON,DOUG",2
14:18,,,,,"SUB IN by CARTER,DYLAN",,,"SUB IN by CARTER,DYLAN",2
14:18,"SUB OUT by NELSON,TREY",,,,,,,"SUB OUT by NELSON,TREY",2
14:18,"SUB OUT by MARTINEZ,MITCHELL",,,,,,,"SUB OUT by MARTINEZ,MITCHELL",2
14:18,"SUB IN by JEMISON,CJ",,,,,,,"SUB IN by JEMISON,CJ",2
14:18,"SUB IN by MORRISON,LARRY",,,,,,,"SUB IN by MORRISON,LARRY",2
14:06,,50 (+24),,26,"GOOD LAYUP by STEPHEN,SETH(in the paint)",Mill 50-26 (-24),,"GOOD LAYUP by STEPHEN,SETH(in the paint)",2
14:06,"FOUL  by MORRISON,LARRY",,,,,,,"FOUL  by MORRISON,LARRY",2
14:06,,50 (+23),,27,"GOOD FT by STEPHEN,SETH",Mill 50-27 (-23),,"GOOD FT by STEPHEN,SETH",2
13:51,"TURNOVER  by MORRISON,LARRY",,,,,,,"TURNOVER  by MORRISON,LARRY",2
13:35,,,,,"MISS 3PTR by ROTH,DREW",,,"MISS 3PTR by ROTH,DREW",2
--,"REBOUND DEF by BASS,DAVEONE",,,,,,,"REBOUND DEF by BASS,DAVEONE",2
13:26,"GOOD 3PTR by BASS,DAVEONE",53 (+26),,27,,SRSU 53-27 (-26),,"GOOD 3PTR by BASS,DAVEONE",2
--,"ASSIST  by GONZALEZ,ELI",,,,,,,"ASSIST  by GONZALEZ,ELI",2
13:17,,,,,"TURNOVER  by ROTH,DREW",,,"TURNOVER  by ROTH,DREW",2
13:17,"STEAL  by GONZALEZ,ELI",,,,,,,"STEAL  by GONZALEZ,ELI",2
13:13,,,,,"FOUL  by BROWN,BRYCE",,,"FOUL  by BROWN,BRYCE",2
13:13,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",2
13:13,,,,,"SUB IN by GILLIHAN,NEWLON",,,"SUB IN by GILLIHAN,NEWLON",2
13:00,"GOOD LAYUP by MORRISON,LARRY(in the paint)",55 (+28),,27,,SRSU 55-27 (-28),,"GOOD LAYUP by MORRISON,LARRY(in the paint)",2
--,"ASSIST  by GONZALEZ,ELI",,,,,,,"ASSIST  by GONZALEZ,ELI",2
12:41,,55 (+25),,30,"GOOD 3PTR by ROTH,DREW",Mill 55-30 (-25),,"GOOD 3PTR by ROTH,DREW",2
--,,,,,"ASSIST  by GILLIHAN,NEWLON",,,"ASSIST  by GILLIHAN,NEWLON",2
12:24,"MISS JUMPER by MORRISON,LARRY",,,,,,,"MISS JUMPER by MORRISON,LARRY",2
--,,,,,"REBOUND DEF by ROTH,DREW",,,"REBOUND DEF by ROTH,DREW",2
12:16,"FOUL  by MORRISON,LARRY",,,,,,,"FOUL  by MORRISON,LARRY",2
12:16,,,,,"SUB OUT by BROWN,BRYCE",,,"SUB OUT by BROWN,BRYCE",2
12:16,,,,,"SUB OUT by CARTER,DYLAN",,,"SUB OUT by CARTER,DYLAN",2
12:16,,,,,"SUB IN by HAUPT,KYLE",,,"SUB IN by HAUPT,KYLE",2
12:16,,,,,"SUB IN by EVANS,CHRISTIAN",,,"SUB IN by EVANS,CHRISTIAN",2
12:16,"SUB OUT by GONZALEZ,ELI",,,,,,,"SUB OUT by GONZALEZ,ELI",2
12:16,"SUB OUT by MORRISON,LARRY",,,,,,,"SUB OUT by MORRISON,LARRY",2
12:16,"SUB IN by NELSON,TREY",,,,,,,"SUB IN by NELSON,TREY",2
12:16,"SUB IN by DIXON,LOGAN",,,,,,,"SUB IN by DIXON,LOGAN",2
12:16,"SUB OUT by SANCHEZ,GABE",,,,,,,"SUB OUT by SANCHEZ,GABE",2
12:16,"SUB IN by IBARRA,OMAR",,,,,,,"SUB IN by IBARRA,OMAR",2
12:16,,,,,"MISS FT by WATSON,DOUG(fastbreak)",,,"MISS FT by WATSON,DOUG(fastbreak)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
12:16,,55 (+24),,31,"GOOD FT by WATSON,DOUG(fastbreak)",Mill 55-31 (-24),,"GOOD FT by WATSON,DOUG(fastbreak)",2
11:54,"GOOD LAYUP by NELSON,TREY(in the paint)",57 (+26),,31,,SRSU 57-31 (-26),,"GOOD LAYUP by NELSON,TREY(in the paint)",2
11:37,,,,,"TURNOVER  by GILLIHAN,NEWLON",,,"TURNOVER  by GILLIHAN,NEWLON",2
11:37,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:37,,,,,"SUB OUT by ROTH,DREW",,,"SUB OUT by ROTH,DREW",2
11:37,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",2
11:16,"MISS JUMPER by DIXON,LOGAN(in the paint)",,,,,,,"MISS JUMPER by DIXON,LOGAN(in the paint)",2
--,,,,,"REBOUND DEF by STEPHEN,SETH",,,"REBOUND DEF by STEPHEN,SETH",2
11:04,,,,,"TURNOVER  by HAUPT,KYLE",,,"TURNOVER  by HAUPT,KYLE",2
10:42,"MISS 3PTR by JEMISON,CJ",,,,,,,"MISS 3PTR by JEMISON,CJ",2
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",2
10:30,"FOUL  by DIXON,LOGAN",,,,,,,"FOUL  by DIXON,LOGAN",2
10:30,,57 (+25),,32,"GOOD FT by WATSON,DOUG(fastbreak)",Mill 57-32 (-25),,"GOOD FT by WATSON,DOUG(fastbreak)",2
10:30,,,,,"SUB OUT by HAUPT,KYLE",,,"SUB OUT by HAUPT,KYLE",2
10:30,,,,,"SUB IN by HOGAN,TJ",,,"SUB IN by HOGAN,TJ",2
10:30,,57 (+24),,33,"GOOD FT by WATSON,DOUG(fastbreak)",Mill 57-33 (-24),,"GOOD FT by WATSON,DOUG(fastbreak)",2
10:18,"GOOD LAYUP by BASS,DAVEONE(in the paint)",59 (+26),,33,,SRSU 59-33 (-26),,"GOOD LAYUP by BASS,DAVEONE(in the paint)",2
--,"ASSIST  by IBARRA,OMAR",,,,,,,"ASSIST  by IBARRA,OMAR",2
10:03,,,,,"TURNOVER  by STEPHEN,SETH",,,"TURNOVER  by STEPHEN,SETH",2
09:41,"MISS 3PTR by NELSON,TREY",,,,,,,"MISS 3PTR by NELSON,TREY",2
--,"REBOUND OFF by IBARRA,OMAR",,,,,,,"REBOUND OFF by IBARRA,OMAR",2
09:37,"GOOD LAYUP by IBARRA,OMAR(in the paint)",61 (+28),,33,,SRSU 61-33 (-28),,"GOOD LAYUP by IBARRA,OMAR(in the paint)",2
09:17,,,,,"MISS JUMPER by EVANS,CHRISTIAN(in the paint)",,,"MISS JUMPER by EVANS,CHRISTIAN(in the paint)",2
--,,,,,"REBOUND OFF by HOGAN,TJ",,,"REBOUND OFF by HOGAN,TJ",2
09:12,,,,,"MISS 3PTR by GILLIHAN,NEWLON",,,"MISS 3PTR by GILLIHAN,NEWLON",2
--,"REBOUND DEF by JEMISON,CJ",,,,,,,"REBOUND DEF by JEMISON,CJ",2
09:06,"GOOD 3PTR by IBARRA,OMAR",64 (+31),,33,,SRSU 64-33 (-31),,"GOOD 3PTR by IBARRA,OMAR",2
--,"ASSIST  by JEMISON,CJ",,,,,,,"ASSIST  by JEMISON,CJ",2
08:47,,64 (+29),,35,"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",Mill 64-35 (-29),,"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",2
08:23,"GOOD 3PTR by IBARRA,OMAR",67 (+32),,35,,SRSU 67-35 (-32),,"GOOD 3PTR by IBARRA,OMAR",2
--,"ASSIST  by JEMISON,CJ",,,,,,,"ASSIST  by JEMISON,CJ",2
08:12,"FOUL  by IBARRA,OMAR",,,,,,,"FOUL  by IBARRA,OMAR",2
08:12,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",2
08:12,,,,,"SUB OUT by EVANS,CHRISTIAN",,,"SUB OUT by EVANS,CHRISTIAN",2
08:12,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",2
08:12,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",2
08:12,"SUB OUT by BASS,DAVEONE",,,,,,,"SUB OUT by BASS,DAVEONE",2
08:12,"SUB OUT by JEMISON,CJ",,,,,,,"SUB OUT by JEMISON,CJ",2
08:12,"SUB IN by EDWARDS,TRACE",,,,,,,"SUB IN by EDWARDS,TRACE",2
08:12,"SUB IN by RHYNE,JORDAN",,,,,,,"SUB IN by RHYNE,JORDAN",2
08:01,,,,,"MISS JUMPER by GILLIHAN,NEWLON",,,"MISS JUMPER by GILLIHAN,NEWLON",2
08:00,"SUB OUT by DIXON,LOGAN",,,,,,,"SUB OUT by DIXON,LOGAN",2
08:00,"SUB IN by MARTINEZ,MITCHELL",,,,,,,"SUB IN by MARTINEZ,MITCHELL",2
08:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:48,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",2
--,"REBOUND DEF by NELSON,TREY",,,,,,,"REBOUND DEF by NELSON,TREY",2
07:34,"MISS 3PTR by NELSON,TREY",,,,,,,"MISS 3PTR by NELSON,TREY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:32,,,,,"FOUL  by URSIN,AARON",,,"FOUL  by URSIN,AARON",2
07:28,"MISS 3PTR by IBARRA,OMAR",,,,,,,"MISS 3PTR by IBARRA,OMAR",2
--,,,,,"REBOUND DEF by URSIN,AARON",,,"REBOUND DEF by URSIN,AARON",2
07:20,"FOUL  by MARTINEZ,MITCHELL",,,,,,,"FOUL  by MARTINEZ,MITCHELL",2
07:20,,67 (+31),,36,"GOOD FT by WATSON,DOUG(fastbreak)",Mill 67-36 (-31),,"GOOD FT by WATSON,DOUG(fastbreak)",2
07:20,,67 (+30),,37,"GOOD FT by WATSON,DOUG(fastbreak)",Mill 67-37 (-30),,"GOOD FT by WATSON,DOUG(fastbreak)",2
07:07,,,,,"FOUL  by RUCKER,CAM",,,"FOUL  by RUCKER,CAM",2
06:56,"MISS LAYUP by MARTINEZ,MITCHELL(in the paint)",,,,,,,"MISS LAYUP by MARTINEZ,MITCHELL(in the paint)",2
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",2
06:54,"FOUL  by IBARRA,OMAR",,,,,,,"FOUL  by IBARRA,OMAR",2
06:54,,,,,"SUB OUT by HOGAN,TJ",,,"SUB OUT by HOGAN,TJ",2
06:54,,,,,"SUB IN by EVANS,CHRISTIAN",,,"SUB IN by EVANS,CHRISTIAN",2
06:54,,67 (+29),,38,"GOOD FT by WATSON,DOUG(fastbreak)",Mill 67-38 (-29),,"GOOD FT by WATSON,DOUG(fastbreak)",2
06:54,,67 (+28),,39,"GOOD FT by WATSON,DOUG(fastbreak)",Mill 67-39 (-28),,"GOOD FT by WATSON,DOUG(fastbreak)",2
06:54,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
06:37,"MISS JUMPER by RHYNE,JORDAN",,,,,,,"MISS JUMPER by RHYNE,JORDAN",2
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",2
06:33,,67 (+26),,41,"GOOD LAYUP by EVANS,CHRISTIAN(in the paint)",Mill 67-41 (-26),,"GOOD LAYUP by EVANS,CHRISTIAN(in the paint)",2
--,,,,,"ASSIST  by WATSON,DOUG",,,"ASSIST  by WATSON,DOUG",2
06:10,"MISS LAYUP by MARTINEZ,MITCHELL(in the paint)",,,,,,,"MISS LAYUP by MARTINEZ,MITCHELL(in the paint)",2
--,,,,,"REBOUND DEF by URSIN,AARON",,,"REBOUND DEF by URSIN,AARON",2
05:55,,,,,"MISS JUMPER by WATSON,DOUG",,,"MISS JUMPER by WATSON,DOUG",2
05:54,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",2
05:54,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",2
05:54,"SUB OUT by IBARRA,OMAR",,,,,,,"SUB OUT by IBARRA,OMAR",2
05:54,"SUB OUT by MARTINEZ,MITCHELL",,,,,,,"SUB OUT by MARTINEZ,MITCHELL",2
05:54,"SUB IN by SANCHEZ,GABE",,,,,,,"SUB IN by SANCHEZ,GABE",2
05:54,"SUB IN by DIXON,LOGAN",,,,,,,"SUB IN by DIXON,LOGAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:46,,,,,"MISS 3PTR by EVANS,CHRISTIAN",,,"MISS 3PTR by EVANS,CHRISTIAN",2
--,,,,,"REBOUND OFF by STEPHEN,SETH",,,"REBOUND OFF by STEPHEN,SETH",2
05:34,,67 (+24),,43,"GOOD LAYUP by EVANS,CHRISTIAN(in the paint)",Mill 67-43 (-24),,"GOOD LAYUP by EVANS,CHRISTIAN(in the paint)",2
05:11,"TURNOVER  by RHYNE,JORDAN",,,,,,,"TURNOVER  by RHYNE,JORDAN",2
04:52,,67 (+21),,46,"GOOD 3PTR by EVANS,CHRISTIAN",Mill 67-46 (-21),,"GOOD 3PTR by EVANS,CHRISTIAN",2
--,,,,,"ASSIST  by GILLIHAN,NEWLON",,,"ASSIST  by GILLIHAN,NEWLON",2
04:29,"TURNOVER  by NELSON,TREY",,,,,,,"TURNOVER  by NELSON,TREY",2
04:29,,,,,"STEAL  by WATSON,DOUG",,,"STEAL  by WATSON,DOUG",2
04:25,,67 (+19),,48,"GOOD LAYUP by EVANS,CHRISTIAN(fastbreak)(in the paint)",Mill 67-48 (-19),,"GOOD LAYUP by EVANS,CHRISTIAN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by RUCKER,CAM",,,"ASSIST  by RUCKER,CAM",2
04:24,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
04:24,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",2
04:24,,,,,"SUB OUT by EVANS,CHRISTIAN",,,"SUB OUT by EVANS,CHRISTIAN",2
04:24,,,,,"SUB IN by CARTER,DYLAN",,,"SUB IN by CARTER,DYLAN",2
04:24,,,,,"SUB IN by ROTH,DREW",,,"SUB IN by ROTH,DREW",2
04:24,"SUB OUT by EDWARDS,TRACE",,,,,,,"SUB OUT by EDWARDS,TRACE",2
04:24,"SUB OUT by RHYNE,JORDAN",,,,,,,"SUB OUT by RHYNE,JORDAN",2
04:24,"SUB IN by GONZALEZ,ELI",,,,,,,"SUB IN by GONZALEZ,ELI",2
04:24,"SUB IN by BASS,DAVEONE",,,,,,,"SUB IN by BASS,DAVEONE",2
03:58,"MISS 3PTR by SANCHEZ,GABE",,,,,,,"MISS 3PTR by SANCHEZ,GABE",2
--,,,,,"REBOUND DEF by ROTH,DREW",,,"REBOUND DEF by ROTH,DREW",2
03:42,,,,,"TURNOVER  by GILLIHAN,NEWLON",,,"TURNOVER  by GILLIHAN,NEWLON",2
03:28,"MISS 3PTR by BASS,DAVEONE",,,,,,,"MISS 3PTR by BASS,DAVEONE",2
--,,,,,"REBOUND DEF by GILLIHAN,NEWLON",,,"REBOUND DEF by GILLIHAN,NEWLON",2
03:13,"FOUL  by DIXON,LOGAN",,,,,,,"FOUL  by DIXON,LOGAN",2
03:13,,67 (+18),,49,"GOOD FT by STEPHEN,SETH",Mill 67-49 (-18),,"GOOD FT by STEPHEN,SETH",2
03:13,,,,,"SUB OUT by CARTER,DYLAN",,,"SUB OUT by CARTER,DYLAN",2
03:13,,,,,"SUB IN by EVANS,CHRISTIAN",,,"SUB IN by EVANS,CHRISTIAN",2
03:13,,,,,"MISS FT by STEPHEN,SETH",,,"MISS FT by STEPHEN,SETH",2
--,"REBOUND DEF by SANCHEZ,GABE",,,,,,,"REBOUND DEF by SANCHEZ,GABE",2
02:55,"FOUL  by NELSON,TREY",,,,,,,"FOUL  by NELSON,TREY",2
02:55,"TURNOVER  by NELSON,TREY",,,,,,,"TURNOVER  by NELSON,TREY",2
02:55,"SUB OUT by SANCHEZ,GABE",,,,,,,"SUB OUT by SANCHEZ,GABE",2
02:55,"SUB IN by JEMISON,CJ",,,,,,,"SUB IN by JEMISON,CJ",2
02:39,,,,,"FOUL  by STEPHEN,SETH",,,"FOUL  by STEPHEN,SETH",2
02:39,,,,,"TURNOVER  by STEPHEN,SETH",,,"TURNOVER  by STEPHEN,SETH",2
02:15,"TURNOVER  by NELSON,TREY",,,,,,,"TURNOVER  by NELSON,TREY",2
02:04,,,,,"MISS LAYUP by GILLIHAN,NEWLON(in the paint)",,,"MISS LAYUP by GILLIHAN,NEWLON(in the paint)",2
--,,,,,"REBOUND OFF by ROTH,DREW",,,"REBOUND OFF by ROTH,DREW",2
02:02,,,,,"MISS DUNK by ROTH,DREW(in the paint)",,,"MISS DUNK by ROTH,DREW(in the paint)",2
--,,,,,"REBOUND OFF by ROTH,DREW",,,"REBOUND OFF by ROTH,DREW",2
02:01,"FOUL  by BASS,DAVEONE",,,,,,,"FOUL  by BASS,DAVEONE",2
02:01,,67 (+17),,50,"GOOD FT by ROTH,DREW",Mill 67-50 (-17),,"GOOD FT by ROTH,DREW",2
02:01,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",2
02:01,,,,,"SUB IN by BASS,DEVIN",,,"SUB IN by BASS,DEVIN",2
02:01,"SUB OUT by SANCHEZ,GABE",,,,,,,"SUB OUT by SANCHEZ,GABE",2
02:01,"SUB IN by JEMISON,CJ",,,,,,,"SUB IN by JEMISON,CJ",2
02:01,,67 (+15),,52,"GOOD LAYUP by ROTH,DREW(in the paint)",Mill 67-52 (-15),,"GOOD LAYUP by ROTH,DREW(in the paint)",2
01:43,"MISS 3PTR by JEMISON,CJ",,,,,,,"MISS 3PTR by JEMISON,CJ",2
--,,,,,"REBOUND DEF by EVANS,CHRISTIAN",,,"REBOUND DEF by EVANS,CHRISTIAN",2
01:36,,67 (+12),,55,"GOOD 3PTR by ROTH,DREW",Mill 67-55 (-12),,"GOOD 3PTR by ROTH,DREW",2
--,,,,,"ASSIST  by EVANS,CHRISTIAN",,,"ASSIST  by EVANS,CHRISTIAN",2
01:07,"MISS LAYUP by DIXON,LOGAN(in the paint)",,,,,,,"MISS LAYUP by DIXON,LOGAN(in the paint)",2
--,"REBOUND OFF by DIXON,LOGAN",,,,,,,"REBOUND OFF by DIXON,LOGAN",2
00:59,"MISS LAYUP by DIXON,LOGAN(in the paint)",,,,,,,"MISS LAYUP by DIXON,LOGAN(in the paint)",2
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",2
00:57,,67 (+10),,57,"GOOD LAYUP by WATSON,DOUG(in the paint)",Mill 67-57 (-10),,"GOOD LAYUP by WATSON,DOUG(in the paint)",2
00:57,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:53,,,,,"FOUL  by BASS,DEVIN",,,"FOUL  by BASS,DEVIN",2
00:53,"GOOD FT by BASS,DAVEONE(fastbreak)",68 (+11),,57,,SRSU 68-57 (-11),,"GOOD FT by BASS,DAVEONE(fastbreak)",2
00:53,"GOOD FT by BASS,DAVEONE(fastbreak)",69 (+12),,57,,SRSU 69-57 (-12),,"GOOD FT by BASS,DAVEONE(fastbreak)",2
00:43,"FOUL  by JEMISON,CJ",,,,,,,"FOUL  by JEMISON,CJ",2
00:43,,69 (+11),,58,"GOOD FT by STEPHEN,SETH",Mill 69-58 (-11),,"GOOD FT by STEPHEN,SETH",2
00:43,"SUB OUT by JEMISON,CJ",,,,,,,"SUB OUT by JEMISON,CJ",2
00:43,"SUB IN by SANCHEZ,GABE",,,,,,,"SUB IN by SANCHEZ,GABE",2
00:43,,,,,"MISS FT by STEPHEN,SETH",,,"MISS FT by STEPHEN,SETH",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:38,,,,,"TURNOVER  by STEPHEN,SETH",,,"TURNOVER  by STEPHEN,SETH",2
00:38,"STEAL  by SANCHEZ,GABE",,,,,,,"STEAL  by SANCHEZ,GABE",2
00:32,,,,,"FOUL  by BASS,DEVIN",,,"FOUL  by BASS,DEVIN",2
00:32,"GOOD FT by NELSON,TREY(fastbreak)",70 (+12),,58,,SRSU 70-58 (-12),,"GOOD FT by NELSON,TREY(fastbreak)",2
00:32,"SUB OUT by SANCHEZ,GABE",,,,,,,"SUB OUT by SANCHEZ,GABE",2
00:32,"SUB IN by JEMISON,CJ",,,,,,,"SUB IN by JEMISON,CJ",2
00:32,"SUB OUT by DIXON,LOGAN",,,,,,,"SUB OUT by DIXON,LOGAN",2
00:32,"SUB IN by KELSEY,ZACH",,,,,,,"SUB IN by KELSEY,ZACH",2
00:32,"GOOD FT by NELSON,TREY(fastbreak)",71 (+13),,58,,SRSU 71-58 (-13),,"GOOD FT by NELSON,TREY(fastbreak)",2
00:32,"SUB OUT by NELSON,TREY",,,,,,,"SUB OUT by NELSON,TREY",2
