Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,CC,Game Score,Team Indicator,Play,Period
03:11,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:11,,,,,"SUB OUT by PHILIO,DEVIN",,,"SUB OUT by PHILIO,DEVIN",1
03:11,,,,,"SUB IN by PRICE,ADRIAN",,,"SUB IN by PRICE,ADRIAN",1
03:11,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
03:11,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",1
03:11,,14,,32 (+18),"GOOD FT by KINNEY,SAM",CC 14-32 (-18),,"GOOD FT by KINNEY,SAM",1
03:11,,,,,"MISS FT by KINNEY,SAM",,,"MISS FT by KINNEY,SAM",1
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",1
02:52,"GOOD LAYUP by ROTH,DREW(in the paint)",16,,32 (+16),,Mill 16-32 (-16),,"GOOD LAYUP by ROTH,DREW(in the paint)",1
--,"ASSIST  by URSIN,AARON",,,,,,,"ASSIST  by URSIN,AARON",1
02:34,"FOUL  by WILLIAMS,CAMERON",,,,,,,"FOUL  by WILLIAMS,CAMERON",1
02:34,,,,,"SUB OUT by KINNEY,SAM",,,"SUB OUT by KINNEY,SAM",1
02:34,,,,,"SUB IN by DITTMAN,KEVIN",,,"SUB IN by DITTMAN,KEVIN",1
02:34,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
02:34,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",1
02:34,,16,,33 (+17),"GOOD FT by MAGNUS,LEO",CC 16-33 (-17),,"GOOD FT by MAGNUS,LEO",1
02:34,,,,,"MISS FT by MAGNUS,LEO",,,"MISS FT by MAGNUS,LEO",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
02:19,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",1
--,"REBOUND OFF by EVANS,CHRISTIAN",,,,,,,"REBOUND OFF by EVANS,CHRISTIAN",1
02:08,"GOOD 3PTR by ROTH,DREW",19,,33 (+14),,Mill 19-33 (-14),,"GOOD 3PTR by ROTH,DREW",1
--,"ASSIST  by WILLIAMS,CAMERON",,,,,,,"ASSIST  by WILLIAMS,CAMERON",1
01:54,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:41,,,,,"TURNOVER  by RUSSO,ALEX",,,"TURNOVER  by RUSSO,ALEX",1
01:41,,,,,"SUB OUT by RUSSO,ALEX",,,"SUB OUT by RUSSO,ALEX",1
01:41,,,,,"SUB IN by RUEGG,SCOTT",,,"SUB IN by RUEGG,SCOTT",1
01:41,,,,,"SUB OUT by CUNNINGHAM,SCOTT",,,"SUB OUT by CUNNINGHAM,SCOTT",1
01:41,,,,,"SUB IN by ROUNAGHI,CHARLIE",,,"SUB IN by ROUNAGHI,CHARLIE",1
01:27,"GOOD JUMPER by URSIN,AARON(in the paint)",21,,33 (+12),,Mill 21-33 (-12),,"GOOD JUMPER by URSIN,AARON(in the paint)",1
--,"ASSIST  by EVANS,CHRISTIAN",,,,,,,"ASSIST  by EVANS,CHRISTIAN",1
00:59,,,,,"TURNOVER  by PRICE,ADRIAN",,,"TURNOVER  by PRICE,ADRIAN",1
00:59,"STEAL  by URSIN,AARON",,,,,,,"STEAL  by URSIN,AARON",1
00:55,"GOOD LAYUP by ROTH,DREW(fastbreak)(in the paint)",23,,33 (+10),,Mill 23-33 (-10),,"GOOD LAYUP by ROTH,DREW(fastbreak)(in the paint)",1
--,"ASSIST  by WATSON,DOUG",,,,,,,"ASSIST  by WATSON,DOUG",1
00:55,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:55,,,,,"SUB OUT by DITTMAN,KEVIN",,,"SUB OUT by DITTMAN,KEVIN",1
00:55,,,,,"SUB IN by KINNEY,SAM",,,"SUB IN by KINNEY,SAM",1
00:40,,,,,"MISS JUMPER by MAGNUS,LEO",,,"MISS JUMPER by MAGNUS,LEO",1
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",1
00:32,"TURNOVER  by WILLIAMS,CAMERON",,,,,,,"TURNOVER  by WILLIAMS,CAMERON",1
00:11,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
00:11,,,,,"SUB OUT by ROUNAGHI,CHARLIE",,,"SUB OUT by ROUNAGHI,CHARLIE",1
00:11,,,,,"SUB OUT by PRICE,ADRIAN",,,"SUB OUT by PRICE,ADRIAN",1
00:11,,,,,"SUB IN by RUSSO,ALEX",,,"SUB IN by RUSSO,ALEX",1
00:11,,,,,"SUB IN by PHILIO,DEVIN",,,"SUB IN by PHILIO,DEVIN",1
00:02,"TURNOVER  by EVANS,CHRISTIAN",,,,,,,"TURNOVER  by EVANS,CHRISTIAN",1
00:02,,,,,"SUB OUT by PHILIO,DEVIN",,,"SUB OUT by PHILIO,DEVIN",1
00:02,,,,,"SUB IN by DITTMAN,KEVIN",,,"SUB IN by DITTMAN,KEVIN",1
20:00,,,,,"SUB OUT by RUEGG,SCOTT",,,"SUB OUT by RUEGG,SCOTT",2
20:00,,,,,"SUB OUT by MAGNUS,LEO",,,"SUB OUT by MAGNUS,LEO",2
20:00,,,,,"SUB OUT by DITTMAN,KEVIN",,,"SUB OUT by DITTMAN,KEVIN",2
20:00,,,,,"SUB IN by CUNNINGHAM,SCOTT",,,"SUB IN by CUNNINGHAM,SCOTT",2
20:00,,,,,"SUB IN by ROUNAGHI,CHARLIE",,,"SUB IN by ROUNAGHI,CHARLIE",2
20:00,,,,,"SUB IN by PRICE,ADRIAN",,,"SUB IN by PRICE,ADRIAN",2
20:00,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",2
20:00,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
20:00,"SUB IN by BROWN,BROCK",,,,,,,"SUB IN by BROWN,BROCK",2
20:00,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",2
19:46,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
19:34,"MISS LAYUP by BROWN,BROCK(in the paint)",,,,,,,"MISS LAYUP by BROWN,BROCK(in the paint)",2
--,,,,,"REBOUND DEF by PRICE,ADRIAN",,,"REBOUND DEF by PRICE,ADRIAN",2
19:11,,23,,35 (+12),"GOOD LAYUP by PRICE,ADRIAN(in the paint)",CC 23-35 (-12),,"GOOD LAYUP by PRICE,ADRIAN(in the paint)",2
18:51,"MISS JUMPER by WILLIAMS,CAMERON(in the paint)",,,,,,,"MISS JUMPER by WILLIAMS,CAMERON(in the paint)",2
18:51,,,,,"BLOCK  by KINNEY,SAM",,,"BLOCK  by KINNEY,SAM",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
18:38,"FOUL  by BROWN,BROCK",,,,,,,"FOUL  by BROWN,BROCK",2
18:38,,,,,"MISS FT by ROUNAGHI,CHARLIE",,,"MISS FT by ROUNAGHI,CHARLIE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:38,,23,,36 (+13),"GOOD FT by ROUNAGHI,CHARLIE",CC 23-36 (-13),,"GOOD FT by ROUNAGHI,CHARLIE",2
18:22,"MISS 3PTR by WILLIAMS,CAMERON",,,,,,,"MISS 3PTR by WILLIAMS,CAMERON",2
--,"REBOUND OFF by ROTH,DREW",,,,,,,"REBOUND OFF by ROTH,DREW",2
18:18,"GOOD LAYUP by ROTH,DREW(in the paint)",25,,36 (+11),,Mill 25-36 (-11),,"GOOD LAYUP by ROTH,DREW(in the paint)",2
18:18,,,,,"FOUL  by KINNEY,SAM",,,"FOUL  by KINNEY,SAM",2
18:18,"GOOD FT by ROTH,DREW",26,,36 (+10),,Mill 26-36 (-10),,"GOOD FT by ROTH,DREW",2
18:06,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",2
18:06,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",2
18:00,,26,,38 (+12),"GOOD LAYUP by PRICE,ADRIAN(in the paint)",CC 26-38 (-12),,"GOOD LAYUP by PRICE,ADRIAN(in the paint)",2
17:47,"MISS JUMPER by BROWN,BROCK",,,,,,,"MISS JUMPER by BROWN,BROCK",2
--,,,,,"REBOUND DEF by ROUNAGHI,CHARLIE",,,"REBOUND DEF by ROUNAGHI,CHARLIE",2
17:29,,,,,"MISS 3PTR by KINNEY,SAM",,,"MISS 3PTR by KINNEY,SAM",2
--,,,,,"REBOUND OFF by PRICE,ADRIAN",,,"REBOUND OFF by PRICE,ADRIAN",2
17:23,,,,,"MISS LAYUP by PRICE,ADRIAN(in the paint)",,,"MISS LAYUP by PRICE,ADRIAN(in the paint)",2
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",2
17:16,"MISS JUMPER by WILLIAMS,CAMERON(in the paint)",,,,,,,"MISS JUMPER by WILLIAMS,CAMERON(in the paint)",2
--,,,,,"REBOUND DEF by PRICE,ADRIAN",,,"REBOUND DEF by PRICE,ADRIAN",2
17:01,,26,,40 (+14),"GOOD LAYUP by PRICE,ADRIAN(in the paint)",CC 26-40 (-14),,"GOOD LAYUP by PRICE,ADRIAN(in the paint)",2
--,,,,,"ASSIST  by ROUNAGHI,CHARLIE",,,"ASSIST  by ROUNAGHI,CHARLIE",2
16:45,"MISS JUMPER by WATSON,DOUG",,,,,,,"MISS JUMPER by WATSON,DOUG",2
--,,,,,"REBOUND DEF by KINNEY,SAM",,,"REBOUND DEF by KINNEY,SAM",2
16:37,,,,,"MISS LAYUP by CUNNINGHAM,SCOTT(in the paint)",,,"MISS LAYUP by CUNNINGHAM,SCOTT(in the paint)",2
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",2
16:32,,,,,"FOUL  by RUSSO,ALEX",,,"FOUL  by RUSSO,ALEX",2
16:32,,,,,"SUB OUT by KINNEY,SAM",,,"SUB OUT by KINNEY,SAM",2
16:32,,,,,"SUB OUT by CUNNINGHAM,SCOTT",,,"SUB OUT by CUNNINGHAM,SCOTT",2
16:32,,,,,"SUB OUT by RUSSO,ALEX",,,"SUB OUT by RUSSO,ALEX",2
16:32,,,,,"SUB OUT by ROUNAGHI,CHARLIE",,,"SUB OUT by ROUNAGHI,CHARLIE",2
16:32,,,,,"SUB OUT by PRICE,ADRIAN",,,"SUB OUT by PRICE,ADRIAN",2
16:32,,,,,"SUB IN by NISBET,WILL",,,"SUB IN by NISBET,WILL",2
16:32,,,,,"SUB IN by ROMERO,EDGAR",,,"SUB IN by ROMERO,EDGAR",2
16:32,,,,,"SUB IN by RUEGG,SCOTT",,,"SUB IN by RUEGG,SCOTT",2
16:32,,,,,"SUB IN by DENNIS,DEANTE'",,,"SUB IN by DENNIS,DEANTE'",2
16:32,,,,,"SUB IN by DITTMAN,KEVIN",,,"SUB IN by DITTMAN,KEVIN",2
16:32,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",2
16:32,"SUB OUT by BROWN,BROCK",,,,,,,"SUB OUT by BROWN,BROCK",2
16:32,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
16:32,"SUB IN by BROWN,BRYCE",,,,,,,"SUB IN by BROWN,BRYCE",2
16:32,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",2
16:32,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",2
16:23,,,,,"FOUL  by DENNIS,DEANTE'",,,"FOUL  by DENNIS,DEANTE'",2
16:19,"MISS 3PTR by WILLIAMS,CAMERON",,,,,,,"MISS 3PTR by WILLIAMS,CAMERON",2
--,"REBOUND OFF by EVANS,CHRISTIAN",,,,,,,"REBOUND OFF by EVANS,CHRISTIAN",2
16:16,,,,,"FOUL  by DENNIS,DEANTE'",,,"FOUL  by DENNIS,DEANTE'",2
16:16,"GOOD FT by EVANS,CHRISTIAN",27,,40 (+13),,Mill 27-40 (-13),,"GOOD FT by EVANS,CHRISTIAN",2
16:16,"GOOD FT by EVANS,CHRISTIAN",28,,40 (+12),,Mill 28-40 (-12),,"GOOD FT by EVANS,CHRISTIAN",2
15:58,,,,,"MISS JUMPER by ROMERO,EDGAR(in the paint)",,,"MISS JUMPER by ROMERO,EDGAR(in the paint)",2
--,"REBOUND DEF by ROTH,DREW",,,,,,,"REBOUND DEF by ROTH,DREW",2
15:47,,,,,"FOUL  by NISBET,WILL",,,"FOUL  by NISBET,WILL",2
15:47,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:47,"MISS FT by EVANS,CHRISTIAN",,,,,,,"MISS FT by EVANS,CHRISTIAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:47,"GOOD FT by EVANS,CHRISTIAN",29,,40 (+11),,Mill 29-40 (-11),,"GOOD FT by EVANS,CHRISTIAN",2
15:33,,29,,43 (+14),"GOOD 3PTR by RUEGG,SCOTT",CC 29-43 (-14),,"GOOD 3PTR by RUEGG,SCOTT",2
--,,,,,"ASSIST  by DENNIS,DEANTE'",,,"ASSIST  by DENNIS,DEANTE'",2
15:10,"TURNOVER  by BROWN,BRYCE",,,,,,,"TURNOVER  by BROWN,BRYCE",2
15:10,,,,,"SUB OUT by DITTMAN,KEVIN",,,"SUB OUT by DITTMAN,KEVIN",2
15:10,,,,,"SUB IN by PHILIO,DEVIN",,,"SUB IN by PHILIO,DEVIN",2
14:49,,,,,"TURNOVER  by NISBET,WILL",,,"TURNOVER  by NISBET,WILL",2
14:49,"STEAL  by ROTH,DREW",,,,,,,"STEAL  by ROTH,DREW",2
14:41,"MISS JUMPER by BROWN,BRYCE(in the paint)",,,,,,,"MISS JUMPER by BROWN,BRYCE(in the paint)",2
--,,,,,"REBOUND DEF by RUEGG,SCOTT",,,"REBOUND DEF by RUEGG,SCOTT",2
14:16,,,,,"TURNOVER  by PHILIO,DEVIN",,,"TURNOVER  by PHILIO,DEVIN",2
14:16,,,,,"SUB OUT by NISBET,WILL",,,"SUB OUT by NISBET,WILL",2
14:16,,,,,"SUB IN by KINNEY,SAM",,,"SUB IN by KINNEY,SAM",2
14:16,"SUB OUT by BROWN,BRYCE",,,,,,,"SUB OUT by BROWN,BRYCE",2
14:16,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",2
14:16,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",2
14:16,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",2
14:16,,,,,"SUB OUT by ROMERO,EDGAR",,,"SUB OUT by ROMERO,EDGAR",2
14:16,,,,,"SUB IN by CUNNINGHAM,SCOTT",,,"SUB IN by CUNNINGHAM,SCOTT",2
14:16,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",2
14:16,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",2
13:59,,,,,"FOUL  by DENNIS,DEANTE'",,,"FOUL  by DENNIS,DEANTE'",2
13:59,"GOOD FT by WILLIAMS,CAMERON",30,,43 (+13),,Mill 30-43 (-13),,"GOOD FT by WILLIAMS,CAMERON",2
13:59,,,,,"SUB OUT by RUEGG,SCOTT",,,"SUB OUT by RUEGG,SCOTT",2
13:59,,,,,"SUB IN by ROUNAGHI,CHARLIE",,,"SUB IN by ROUNAGHI,CHARLIE",2
13:59,,,,,"SUB OUT by DENNIS,DEANTE'",,,"SUB OUT by DENNIS,DEANTE'",2
13:59,,,,,"SUB IN by ROMERO,EDGAR",,,"SUB IN by ROMERO,EDGAR",2
13:59,"GOOD FT by WILLIAMS,CAMERON",31,,43 (+12),,Mill 31-43 (-12),,"GOOD FT by WILLIAMS,CAMERON",2
13:59,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",2
13:59,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",2
13:47,,,,,"MISS JUMPER by CUNNINGHAM,SCOTT(in the paint)",,,"MISS JUMPER by CUNNINGHAM,SCOTT(in the paint)",2
13:47,"BLOCK  by URSIN,AARON",,,,,,,"BLOCK  by URSIN,AARON",2
--,"REBOUND DEF by RUCKER,CAM",,,,,,,"REBOUND DEF by RUCKER,CAM",2
13:39,"MISS 3PTR by EVANS,CHRISTIAN",,,,,,,"MISS 3PTR by EVANS,CHRISTIAN",2
--,,,,,"REBOUND DEF by PHILIO,DEVIN",,,"REBOUND DEF by PHILIO,DEVIN",2
13:23,,31,,45 (+14),"GOOD JUMPER by KINNEY,SAM",CC 31-45 (-14),,"GOOD JUMPER by KINNEY,SAM",2
--,,,,,"ASSIST  by ROMERO,EDGAR",,,"ASSIST  by ROMERO,EDGAR",2
12:59,"GOOD JUMPER by RUCKER,CAM",33,,45 (+12),,Mill 33-45 (-12),,"GOOD JUMPER by RUCKER,CAM",2
12:44,,,,,"MISS 3PTR by KINNEY,SAM",,,"MISS 3PTR by KINNEY,SAM",2
--,"REBOUND DEF by EVANS,CHRISTIAN",,,,,,,"REBOUND DEF by EVANS,CHRISTIAN",2
12:37,"TURNOVER  by EVANS,CHRISTIAN",,,,,,,"TURNOVER  by EVANS,CHRISTIAN",2
12:37,,,,,"STEAL  by CUNNINGHAM,SCOTT",,,"STEAL  by CUNNINGHAM,SCOTT",2
12:24,,,,,"TURNOVER  by KINNEY,SAM",,,"TURNOVER  by KINNEY,SAM",2
12:24,,,,,"SUB OUT by KINNEY,SAM",,,"SUB OUT by KINNEY,SAM",2
12:24,,,,,"SUB OUT by PHILIO,DEVIN",,,"SUB OUT by PHILIO,DEVIN",2
12:24,,,,,"SUB IN by MAGNUS,LEO",,,"SUB IN by MAGNUS,LEO",2
12:24,,,,,"SUB IN by PRICE,ADRIAN",,,"SUB IN by PRICE,ADRIAN",2
12:24,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",2
12:24,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",2
12:24,"SUB IN by WILLIAMS,CAMERON",,,,,,,"SUB IN by WILLIAMS,CAMERON",2
12:24,"SUB IN by BASS,DEVIN",,,,,,,"SUB IN by BASS,DEVIN",2
12:04,,,,,"FOUL  by ROUNAGHI,CHARLIE",,,"FOUL  by ROUNAGHI,CHARLIE",2
12:04,"GOOD FT by WILLIAMS,CAMERON",34,,45 (+11),,Mill 34-45 (-11),,"GOOD FT by WILLIAMS,CAMERON",2
12:04,"MISS FT by WILLIAMS,CAMERON",,,,,,,"MISS FT by WILLIAMS,CAMERON",2
--,,,,,"REBOUND DEF by ROUNAGHI,CHARLIE",,,"REBOUND DEF by ROUNAGHI,CHARLIE",2
11:48,,,,,"MISS JUMPER by PRICE,ADRIAN(in the paint)",,,"MISS JUMPER by PRICE,ADRIAN(in the paint)",2
--,,,,,"REBOUND OFF by ROUNAGHI,CHARLIE",,,"REBOUND OFF by ROUNAGHI,CHARLIE",2
11:44,,,,,"MISS 3PTR by CUNNINGHAM,SCOTT",,,"MISS 3PTR by CUNNINGHAM,SCOTT",2
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",2
11:31,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",2
11:31,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",2
11:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:31,,,,,"SUB OUT by ROUNAGHI,CHARLIE",,,"SUB OUT by ROUNAGHI,CHARLIE",2
11:31,,,,,"SUB IN by RUEGG,SCOTT",,,"SUB IN by RUEGG,SCOTT",2
11:31,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",2
11:31,"SUB IN by BROWN,BROCK",,,,,,,"SUB IN by BROWN,BROCK",2
11:17,,,,,"MISS JUMPER by PRICE,ADRIAN(in the paint)",,,"MISS JUMPER by PRICE,ADRIAN(in the paint)",2
--,"REBOUND DEF by BASS,DEVIN",,,,,,,"REBOUND DEF by BASS,DEVIN",2
11:07,,,,,"FOUL  by ROMERO,EDGAR",,,"FOUL  by ROMERO,EDGAR",2
11:07,"GOOD FT by WATSON,DOUG",35,,45 (+10),,Mill 35-45 (-10),,"GOOD FT by WATSON,DOUG",2
11:07,,,,,"SUB OUT by MAGNUS,LEO",,,"SUB OUT by MAGNUS,LEO",2
11:07,,,,,"SUB IN by KINNEY,SAM",,,"SUB IN by KINNEY,SAM",2
11:07,"GOOD FT by WATSON,DOUG",36,,45 (+9),,Mill 36-45 (-9),,"GOOD FT by WATSON,DOUG",2
11:07,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",2
11:07,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",2
11:00,,,,,"MISS JUMPER by RUEGG,SCOTT(in the paint)",,,"MISS JUMPER by RUEGG,SCOTT(in the paint)",2
--,,,,,"REBOUND OFF by KINNEY,SAM",,,"REBOUND OFF by KINNEY,SAM",2
10:52,,,,,"TURNOVER  by CUNNINGHAM,SCOTT",,,"TURNOVER  by CUNNINGHAM,SCOTT",2
10:52,,,,,"SUB OUT by CUNNINGHAM,SCOTT",,,"SUB OUT by CUNNINGHAM,SCOTT",2
10:52,,,,,"SUB IN by RUSSO,ALEX",,,"SUB IN by RUSSO,ALEX",2
10:40,"GOOD DUNK by BASS,DEVIN(in the paint)",38,,45 (+7),,Mill 38-45 (-7),,"GOOD DUNK by BASS,DEVIN(in the paint)",2
--,"ASSIST  by EVANS,CHRISTIAN",,,,,,,"ASSIST  by EVANS,CHRISTIAN",2
10:31,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
10:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
10:31,,,,,"SUB OUT by PRICE,ADRIAN",,,"SUB OUT by PRICE,ADRIAN",2
10:31,,,,,"SUB IN by ROUNAGHI,CHARLIE",,,"SUB IN by ROUNAGHI,CHARLIE",2
10:11,,,,,"TURNOVER  by ROMERO,EDGAR",,,"TURNOVER  by ROMERO,EDGAR",2
10:11,,,,,"SUB OUT by RUEGG,SCOTT",,,"SUB OUT by RUEGG,SCOTT",2
10:11,,,,,"SUB IN by PHILIO,DEVIN",,,"SUB IN by PHILIO,DEVIN",2
09:53,"GOOD JUMPER by WILLIAMS,CAMERON(in the paint)",40,,45 (+5),,Mill 40-45 (-5),,"GOOD JUMPER by WILLIAMS,CAMERON(in the paint)",2
09:44,"FOUL  by WILLIAMS,CAMERON",,,,,,,"FOUL  by WILLIAMS,CAMERON",2
09:44,,,,,"SUB OUT by KINNEY,SAM",,,"SUB OUT by KINNEY,SAM",2
09:44,,,,,"SUB IN by PRICE,ADRIAN",,,"SUB IN by PRICE,ADRIAN",2
09:44,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",2
09:44,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
09:44,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",2
09:44,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",2
09:30,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",2
09:30,,,,,"MISS FT by PRICE,ADRIAN",,,"MISS FT by PRICE,ADRIAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:30,,,,,"MISS FT by PRICE,ADRIAN",,,"MISS FT by PRICE,ADRIAN",2
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",2
09:18,,,,,"FOUL  by PHILIO,DEVIN",,,"FOUL  by PHILIO,DEVIN",2
09:18,"MISS FT by WILLIAMS,CAMERON",,,,,,,"MISS FT by WILLIAMS,CAMERON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:18,,,,,"SUB OUT by PHILIO,DEVIN",,,"SUB OUT by PHILIO,DEVIN",2
09:18,,,,,"SUB IN by DITTMAN,KEVIN",,,"SUB IN by DITTMAN,KEVIN",2
09:18,"MISS FT by WILLIAMS,CAMERON",,,,,,,"MISS FT by WILLIAMS,CAMERON",2
--,,,,,"REBOUND DEF by ROUNAGHI,CHARLIE",,,"REBOUND DEF by ROUNAGHI,CHARLIE",2
09:15,"FOUL  by BROWN,BROCK",,,,,,,"FOUL  by BROWN,BROCK",2
09:15,"SUB OUT by BROWN,BROCK",,,,,,,"SUB OUT by BROWN,BROCK",2
09:15,"SUB IN by BROWN,BRYCE",,,,,,,"SUB IN by BROWN,BRYCE",2
08:58,,,,,"TURNOVER  by DITTMAN,KEVIN",,,"TURNOVER  by DITTMAN,KEVIN",2
08:58,"STEAL  by WATSON,DOUG",,,,,,,"STEAL  by WATSON,DOUG",2
08:51,"GOOD JUMPER by WATSON,DOUG(fastbreak)(in the paint)",42,,45 (+3),,Mill 42-45 (-3),,"GOOD JUMPER by WATSON,DOUG(fastbreak)(in the paint)",2
08:37,"FOUL  by BASS,DEVIN",,,,,,,"FOUL  by BASS,DEVIN",2
08:37,,,,,"SUB OUT by ROMERO,EDGAR",,,"SUB OUT by ROMERO,EDGAR",2
08:37,,,,,"SUB OUT by PRICE,ADRIAN",,,"SUB OUT by PRICE,ADRIAN",2
08:37,,,,,"SUB IN by KINNEY,SAM",,,"SUB IN by KINNEY,SAM",2
08:37,,,,,"SUB IN by RUEGG,SCOTT",,,"SUB IN by RUEGG,SCOTT",2
08:37,,,,,"MISS FT by RUSSO,ALEX",,,"MISS FT by RUSSO,ALEX",2
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",2
08:28,"MISS JUMPER by BROWN,BRYCE(in the paint)",,,,,,,"MISS JUMPER by BROWN,BRYCE(in the paint)",2
--,"REBOUND OFF by GILLIHAN,NEWLON",,,,,,,"REBOUND OFF by GILLIHAN,NEWLON",2
08:23,"TURNOVER  by GILLIHAN,NEWLON",,,,,,,"TURNOVER  by GILLIHAN,NEWLON",2
08:23,,,,,"STEAL  by KINNEY,SAM",,,"STEAL  by KINNEY,SAM",2
08:11,"FOUL  by BROWN,BRYCE",,,,,,,"FOUL  by BROWN,BRYCE",2
08:11,,,,,"SUB OUT by RUSSO,ALEX",,,"SUB OUT by RUSSO,ALEX",2
08:11,,,,,"SUB IN by CUNNINGHAM,SCOTT",,,"SUB IN by CUNNINGHAM,SCOTT",2
08:11,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",2
08:11,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",2
08:11,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",2
08:11,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",2
