Time Remaining,Hunt,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
13:26,"SUB IN by HARRIS,JAMES",,,,,,,"SUB IN by HARRIS,JAMES",1
13:26,"SUB IN by BOHLING,DYLAN",,,,,,,"SUB IN by BOHLING,DYLAN",1
13:14,,,,,"MISS JUMPER by BROWN,BRYCE",,,"MISS JUMPER by BROWN,BRYCE",1
--,"REBOUND DEF by GARDNER,MAX",,,,,,,"REBOUND DEF by GARDNER,MAX",1
13:04,"GOOD 3PTR by TAYLOR,WILLIE",17 (+7),,10,,Hunt 17-10 (-7),,"GOOD 3PTR by TAYLOR,WILLIE",1
--,"ASSIST  by HARRIS,JAMES",,,,,,,"ASSIST  by HARRIS,JAMES",1
12:56,"FOUL  by DAVIS,KEONDRE",,,,,,,"FOUL  by DAVIS,KEONDRE",1
12:56,,,,,"SUB OUT by BROWN,BRYCE",,,"SUB OUT by BROWN,BRYCE",1
12:56,,,,,"SUB OUT by EVANS,CHRISTIAN",,,"SUB OUT by EVANS,CHRISTIAN",1
12:56,,,,,"SUB IN by BROWN,BROCK",,,"SUB IN by BROWN,BROCK",1
12:56,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
12:56,"SUB OUT by DAVIS,KEONDRE",,,,,,,"SUB OUT by DAVIS,KEONDRE",1
12:56,"SUB IN by MADISON,DAMIEN",,,,,,,"SUB IN by MADISON,DAMIEN",1
12:39,,,,,"MISS 3PTR by BROWN,BROCK",,,"MISS 3PTR by BROWN,BROCK",1
--,"REBOUND DEF by TAYLOR,WILLIE",,,,,,,"REBOUND DEF by TAYLOR,WILLIE",1
12:17,"GOOD 3PTR by HARRIS,JAMES",20 (+10),,10,,Hunt 20-10 (-10),,"GOOD 3PTR by HARRIS,JAMES",1
--,"ASSIST  by BOHLING,DYLAN",,,,,,,"ASSIST  by BOHLING,DYLAN",1
11:59,,,,,"MISS 3PTR by RUCKER,CAM",,,"MISS 3PTR by RUCKER,CAM",1
--,,,,,"REBOUND OFF by BROWN,BROCK",,,"REBOUND OFF by BROWN,BROCK",1
11:50,,,,,"MISS 3PTR by ROTH,DREW",,,"MISS 3PTR by ROTH,DREW",1
--,"REBOUND DEF by GARDNER,MAX",,,,,,,"REBOUND DEF by GARDNER,MAX",1
11:40,"MISS 3PTR by GARDNER,MAX",,,,,,,"MISS 3PTR by GARDNER,MAX",1
--,,,,,"REBOUND DEF by RUCKER,CAM",,,"REBOUND DEF by RUCKER,CAM",1
11:36,"FOUL  by BOHLING,DYLAN",,,,,,,"FOUL  by BOHLING,DYLAN",1
11:36,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:36,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
11:36,,,,,"SUB OUT by DYAS,CHANDLER",,,"SUB OUT by DYAS,CHANDLER",1
11:36,,,,,"SUB IN by WILLIAMS,CAMERON",,,"SUB IN by WILLIAMS,CAMERON",1
11:36,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",1
11:36,"SUB OUT by GARDNER,MAX",,,,,,,"SUB OUT by GARDNER,MAX",1
11:36,"SUB IN by JOHNSON,JUSTIN",,,,,,,"SUB IN by JOHNSON,JUSTIN",1
11:26,,,,,"TURNOVER  by BROWN,BROCK",,,"TURNOVER  by BROWN,BROCK",1
11:10,"MISS JUMPER by MADISON,DAMIEN",,,,,,,"MISS JUMPER by MADISON,DAMIEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:08,,,,,"SUB OUT by ROTH,DREW",,,"SUB OUT by ROTH,DREW",1
11:08,,,,,"SUB IN by EVANS,CHRISTIAN",,,"SUB IN by EVANS,CHRISTIAN",1
10:55,,20 (+8),,12,"GOOD LAYUP by EVANS,CHRISTIAN(in the paint)",Mill 20-12 (-8),,"GOOD LAYUP by EVANS,CHRISTIAN(in the paint)",1
10:35,"MISS 3PTR by JOHNSON,JUSTIN",,,,,,,"MISS 3PTR by JOHNSON,JUSTIN",1
--,"REBOUND OFF by TAYLOR,WILLIE",,,,,,,"REBOUND OFF by TAYLOR,WILLIE",1
10:29,"TURNOVER  by HARRIS,JAMES",,,,,,,"TURNOVER  by HARRIS,JAMES",1
10:29,"SUB OUT by HARRIS,JAMES",,,,,,,"SUB OUT by HARRIS,JAMES",1
10:29,"SUB OUT by TAYLOR,WILLIE",,,,,,,"SUB OUT by TAYLOR,WILLIE",1
10:29,"SUB IN by PAGE,SAM",,,,,,,"SUB IN by PAGE,SAM",1
10:29,"SUB IN by TONEY,CALEB",,,,,,,"SUB IN by TONEY,CALEB",1
