Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Miss,Game Score,Team Indicator,Play,Period
06:41,,,,,"SUB OUT by JORDAN,JUDAH",,,"SUB OUT by JORDAN,JUDAH",1
06:41,,,,,"SUB IN by BERZAT,LAMONT",,,"SUB IN by BERZAT,LAMONT",1
06:41,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",1
06:41,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
06:41,"SUB IN by BROWN,BROCK",,,,,,,"SUB IN by BROWN,BROCK",1
06:41,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",1
06:25,,,,,"FOUL  by MILLER,MILES",,,"FOUL  by MILLER,MILES",1
06:25,"GOOD FT by RUCKER,CAM",23,,26 (+3),,Mill 23-26 (-3),,"GOOD FT by RUCKER,CAM",1
06:25,"SUB OUT by DYAS,CHANDLER",,,,,,,"SUB OUT by DYAS,CHANDLER",1
06:25,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",1
06:25,"GOOD FT by RUCKER,CAM",24,,26 (+2),,Mill 24-26 (-2),,"GOOD FT by RUCKER,CAM",1
06:25,,,,,"SUB OUT by JOVANOVIC,MARKO",,,"SUB OUT by JOVANOVIC,MARKO",1
06:25,,,,,"SUB IN by BOSTON,BRANDON",,,"SUB IN by BOSTON,BRANDON",1
06:25,,,,,"TURNOVER  by MILLER,MILES",,,"TURNOVER  by MILLER,MILES",1
06:17,"FOUL  by STEPHEN,SETH",,,,,,,"FOUL  by STEPHEN,SETH",1
06:09,"FOUL  by BROWN,BROCK",,,,,,,"FOUL  by BROWN,BROCK",1
06:09,,,,,"SUB OUT by BERZAT,LAMONT",,,"SUB OUT by BERZAT,LAMONT",1
06:09,,,,,"SUB IN by JORDAN,JUDAH",,,"SUB IN by JORDAN,JUDAH",1
05:59,,,,,"MISS 3PTR by JORDAN,JUDAH",,,"MISS 3PTR by JORDAN,JUDAH",1
--,,,,,"REBOUND OFF by BOSTON,BRANDON",,,"REBOUND OFF by BOSTON,BRANDON",1
05:43,,,,,"MISS 3PTR by THOMPSON,TRADAVIS",,,"MISS 3PTR by THOMPSON,TRADAVIS",1
--,"REBOUND DEF by BROWN,BROCK",,,,,,,"REBOUND DEF by BROWN,BROCK",1
05:32,"MISS LAYUP by HOGAN,TJ(in the paint)",,,,,,,"MISS LAYUP by HOGAN,TJ(in the paint)",1
--,,,,,"REBOUND DEF by THOMPSON,TRADAVIS",,,"REBOUND DEF by THOMPSON,TRADAVIS",1
05:22,,,,,"FOUL  by BOSTON,BRANDON",,,"FOUL  by BOSTON,BRANDON",1
05:22,,,,,"TURNOVER  by BOSTON,BRANDON",,,"TURNOVER  by BOSTON,BRANDON",1
05:22,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",1
05:22,"SUB IN by WILLIAMS,CAMERON",,,,,,,"SUB IN by WILLIAMS,CAMERON",1
05:04,"MISS JUMPER by BROWN,BROCK",,,,,,,"MISS JUMPER by BROWN,BROCK",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:46,,,,,"TURNOVER  by MILLER,MILES",,,"TURNOVER  by MILLER,MILES",1
04:46,"STEAL  by RUCKER,CAM",,,,,,,"STEAL  by RUCKER,CAM",1
04:37,"MISS JUMPER by RUCKER,CAM",,,,,,,"MISS JUMPER by RUCKER,CAM",1
04:37,,,,,"BLOCK  by JONES,ZACH",,,"BLOCK  by JONES,ZACH",1
--,"REBOUND OFF by RUCKER,CAM",,,,,,,"REBOUND OFF by RUCKER,CAM",1
04:29,"TURNOVER  by BROWN,BROCK",,,,,,,"TURNOVER  by BROWN,BROCK",1
04:29,,,,,"STEAL  by THOMPSON,TRADAVIS",,,"STEAL  by THOMPSON,TRADAVIS",1
04:22,,24,,28 (+4),"GOOD LAYUP by THOMPSON,TRADAVIS(fastbreak)(in the paint)",Miss 24-28 (-4),,"GOOD LAYUP by THOMPSON,TRADAVIS(fastbreak)(in the paint)",1
