Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
14:37,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
14:37,,,,,"SUB OUT by DIXON,TADDEUS",,,"SUB OUT by DIXON,TADDEUS",1
14:37,,,,,"SUB OUT by HOELLWARTH,TYLER",,,"SUB OUT by HOELLWARTH,TYLER",1
14:37,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
14:37,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
14:37,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
14:37,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
14:37,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
14:37,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
14:37,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
14:29,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
14:29,"GOOD FT by WALKER,ART",16 (+3),,13,,CEN 16-13 (-3),,"GOOD FT by WALKER,ART",1
14:29,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
14:29,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
14:29,"MISS FT by WALKER,ART",,,,,,,"MISS FT by WALKER,ART",1
--,,,,,"REBOUND DEF by ASHBY,KENDRICK",,,"REBOUND DEF by ASHBY,KENDRICK",1
14:23,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",1
14:23,,16 (+2),,14,"GOOD FT by WEATHERFORD,MITCH",RHO 16-14 (-2),,"GOOD FT by WEATHERFORD,MITCH",1
14:23,"SUB OUT by CAVANAUGH,CHASE",,,,,,,"SUB OUT by CAVANAUGH,CHASE",1
14:23,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
14:23,"SUB OUT by JONES,BRETT",,,,,,,"SUB OUT by JONES,BRETT",1
14:23,"SUB OUT by MORETTE,MATT",,,,,,,"SUB OUT by MORETTE,MATT",1
14:23,"SUB OUT by DUNAWAY,MICHAEL",,,,,,,"SUB OUT by DUNAWAY,MICHAEL",1
14:23,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
14:23,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
14:23,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
14:23,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
14:23,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
14:23,,16 (+1),,15,"GOOD FT by WEATHERFORD,MITCH",RHO 16-15 (-1),,"GOOD FT by WEATHERFORD,MITCH",1
14:10,"MISS LAYUP by GRIFFIN,JAROD",,,,,,,"MISS LAYUP by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
14:03,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
13:51,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",1
13:51,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",1
13:51,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
13:51,,,,,"SUB OUT by GALVIN,DANNY",,,"SUB OUT by GALVIN,DANNY",1
13:51,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
13:51,,,,,"SUB OUT by DIXON,TADDEUS",,,"SUB OUT by DIXON,TADDEUS",1
13:51,,,,,"SUB OUT by HOELLWARTH,TYLER",,,"SUB OUT by HOELLWARTH,TYLER",1
13:51,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
13:51,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
13:51,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
13:51,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
13:51,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
13:51,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
13:51,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
13:44,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
13:25,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",1
13:24,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",1
13:21,,,,,"TURNOVER  by WEIR,JJ",,,"TURNOVER  by WEIR,JJ",1
13:21,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
13:21,,,,,"SUB OUT by GALVIN,DANNY",,,"SUB OUT by GALVIN,DANNY",1
13:21,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
13:21,,,,,"SUB OUT by DIXON,TADDEUS",,,"SUB OUT by DIXON,TADDEUS",1
13:21,,,,,"SUB OUT by HOELLWARTH,TYLER",,,"SUB OUT by HOELLWARTH,TYLER",1
13:21,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
13:21,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
13:21,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
13:21,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
13:21,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
13:15,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",18 (+3),,15,,CEN 18-15 (-3),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
13:05,,18,,18,"GOOD 3PTR by DE FERIA,NICK",RHO 18-18 (0),,"GOOD 3PTR by DE FERIA,NICK",1
--,,,,,"ASSIST  by DALTON,PRICE",,,"ASSIST  by DALTON,PRICE",1
12:49,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",1
12:49,"GOOD FT by SPITZER,JAKOB",19 (+1),,18,,CEN 19-18 (-1),,"GOOD FT by SPITZER,JAKOB",1
12:49,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
12:49,,,,,"SUB OUT by GALVIN,DANNY",,,"SUB OUT by GALVIN,DANNY",1
12:49,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
12:49,,,,,"SUB OUT by DIXON,TADDEUS",,,"SUB OUT by DIXON,TADDEUS",1
12:49,,,,,"SUB OUT by HOELLWARTH,TYLER",,,"SUB OUT by HOELLWARTH,TYLER",1
12:49,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
12:49,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
12:49,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
12:49,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
12:49,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
12:49,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
12:49,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
12:49,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
12:49,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
