Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,UCSCM,Game Score,Team Indicator,Play,Period
18:32,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
18:32,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
18:32,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
18:32,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
18:32,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
18:32,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
18:32,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
18:32,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
18:32,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
18:28,"FOUL  by WEIR,JJ",,,,,,,"FOUL  by WEIR,JJ",1
18:22,,0,,2 (+2),"GOOD LAYUP by CRAIN,WILL(fastbreak)(in the paint)",UCSCM 0-2 (-2),,"GOOD LAYUP by CRAIN,WILL(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MARLOW,ADAM",,,"ASSIST  by MARLOW,ADAM",1
17:59,"TURNOVER  by GALVIN,OWEN",,,,,,,"TURNOVER  by GALVIN,OWEN",1
17:56,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
17:56,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
17:56,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
17:56,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
17:56,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
17:56,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
17:56,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
17:56,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
17:56,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
17:56,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
17:55,,,,,"TURNOVER  by MARLOW,ADAM",,,"TURNOVER  by MARLOW,ADAM",1
17:43,,,,,"FOUL  by CRAIN,WILL",,,"FOUL  by CRAIN,WILL",1
17:41,"TURNOVER  by ASHBY,KENDRICK",,,,,,,"TURNOVER  by ASHBY,KENDRICK",1
17:39,,0,,4 (+4),"GOOD LAYUP by CRAIN,WILL(fastbreak)(in the paint)",UCSCM 0-4 (-4),,"GOOD LAYUP by CRAIN,WILL(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by CREIGHTON,KYLE",,,"ASSIST  by CREIGHTON,KYLE",1
17:27,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",1
--,,,,,"REBOUND DEF by CREIGHTON,KYLE",,,"REBOUND DEF by CREIGHTON,KYLE",1
17:18,,0,,6 (+6),"GOOD LAYUP by CRAIN,WILL(in the paint)",UCSCM 0-6 (-6),,"GOOD LAYUP by CRAIN,WILL(in the paint)",1
--,,,,,"ASSIST  by CILIA,COREY",,,"ASSIST  by CILIA,COREY",1
17:10,,,,,"FOUL  by CRAIN,WILL",,,"FOUL  by CRAIN,WILL",1
17:10,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
17:10,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
17:10,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
17:10,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
17:10,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
17:10,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
17:10,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
17:10,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
17:10,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
17:10,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
17:10,,,,,"SUB IN by HOLLER,DYLAN",,,"SUB IN by HOLLER,DYLAN",1
17:06,"MISS JUMPER by SULLIVAN,BRENNAN",,,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND DEF by WESTON,TRE",,,"REBOUND DEF by WESTON,TRE",1
17:00,,,,,"TURNOVER  by WESTON,TRE",,,"TURNOVER  by WESTON,TRE",1
16:52,,,,,"FOUL  by HOLLER,DYLAN",,,"FOUL  by HOLLER,DYLAN",1
16:52,"GOOD FT by BERRY,BRYCE",1,,6 (+5),,RHO 1-6 (-5),,"GOOD FT by BERRY,BRYCE",1
16:52,"MISS FT by BERRY,BRYCE",,,,,,,"MISS FT by BERRY,BRYCE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:51,"GOOD FT by BERRY,BRYCE",2,,6 (+4),,RHO 2-6 (-4),,"GOOD FT by BERRY,BRYCE",1
16:51,,,,,"SUB IN by DORFMAN,BEN",,,"SUB IN by DORFMAN,BEN",1
16:51,,,,,"SUB OUT by WESTON,TRE",,,"SUB OUT by WESTON,TRE",1
16:45,,,,,"FOUL  by CREIGHTON,KYLE",,,"FOUL  by CREIGHTON,KYLE",1
16:45,,,,,"TURNOVER  by CREIGHTON,KYLE",,,"TURNOVER  by CREIGHTON,KYLE",1
16:42,"GOOD LAYUP by WEIR,JJ(in the paint)",4,,6 (+2),,RHO 4-6 (-2),,"GOOD LAYUP by WEIR,JJ(in the paint)",1
16:31,,,,,"TURNOVER  by DORFMAN,BEN",,,"TURNOVER  by DORFMAN,BEN",1
16:29,"STEAL  by WEIR,JJ",,,,,,,"STEAL  by WEIR,JJ",1
16:28,"GOOD LAYUP by WEIR,JJ(fastbreak)(in the paint)",6,,6,,RHO 6-6 (0),,"GOOD LAYUP by WEIR,JJ(fastbreak)(in the paint)",1
16:20,,,,,"TURNOVER  by CILIA,COREY",,,"TURNOVER  by CILIA,COREY",1
16:19,"STEAL  by HARRISON,IAN",,,,,,,"STEAL  by HARRISON,IAN",1
16:13,"TURNOVER  by WEIR,JJ",,,,,,,"TURNOVER  by WEIR,JJ",1
16:13,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
16:13,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
16:13,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
16:13,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
16:13,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
16:13,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
16:13,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
16:13,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
16:13,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
16:13,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
16:13,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
16:13,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
16:13,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
16:13,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
16:13,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
16:13,,,,,"SUB IN by NARAYANAM,VINAY",,,"SUB IN by NARAYANAM,VINAY",1
16:13,,,,,"SUB OUT by MARLOW,ADAM",,,"SUB OUT by MARLOW,ADAM",1
15:44,,,,,"MISS 3PTR by CILIA,COREY",,,"MISS 3PTR by CILIA,COREY",1
--,"REBOUND DEF by ASHBY,KENDRICK",,,,,,,"REBOUND DEF by ASHBY,KENDRICK",1
15:36,"MISS 3PTR by NYAWATA,ANESU",,,,,,,"MISS 3PTR by NYAWATA,ANESU",1
--,"REBOUND OFF by ASHBY,KENDRICK",,,,,,,"REBOUND OFF by ASHBY,KENDRICK",1
15:23,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",8 (+2),,6,,RHO 8-6 (+2),,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",1
15:05,,,,,"TURNOVER  by CILIA,COREY",,,"TURNOVER  by CILIA,COREY",1
15:05,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
15:05,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
15:05,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
15:05,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
15:05,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
15:05,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
15:05,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
15:05,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
15:05,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
15:05,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
15:05,,,,,"SUB IN by MARLOW,ADAM",,,"SUB IN by MARLOW,ADAM",1
15:05,,,,,"SUB IN by KLINGENBECK,TYLER",,,"SUB IN by KLINGENBECK,TYLER",1
15:05,,,,,"SUB IN by WESTON,TRE",,,"SUB IN by WESTON,TRE",1
15:05,,,,,"SUB OUT by CILIA,COREY",,,"SUB OUT by CILIA,COREY",1
15:05,,,,,"SUB OUT by CREIGHTON,KYLE",,,"SUB OUT by CREIGHTON,KYLE",1
15:05,,,,,"SUB OUT by HOLLER,DYLAN",,,"SUB OUT by HOLLER,DYLAN",1
14:57,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND DEF by DORFMAN,BEN",,,"REBOUND DEF by DORFMAN,BEN",1
14:44,,8,,8,"GOOD LAYUP by WESTON,TRE(in the paint)",UCSCM 8-8 (0),,"GOOD LAYUP by WESTON,TRE(in the paint)",1
--,,,,,"ASSIST  by KLINGENBECK,TYLER",,,"ASSIST  by KLINGENBECK,TYLER",1
14:26,"GOOD LAYUP by HARRISON,IAN(in the paint)",10 (+2),,8,,RHO 10-8 (+2),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
14:15,,10,,10,"GOOD LAYUP by KLINGENBECK,TYLER(in the paint)",UCSCM 10-10 (0),,"GOOD LAYUP by KLINGENBECK,TYLER(in the paint)",1
--,,,,,"ASSIST  by MARLOW,ADAM",,,"ASSIST  by MARLOW,ADAM",1
14:07,"GOOD LAYUP by HARRISON,IAN(in the paint)",12 (+2),,10,,RHO 12-10 (+2),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
--,"ASSIST  by WEIR,JJ",,,,,,,"ASSIST  by WEIR,JJ",1
13:46,,,,,"MISS JUMPER by DORFMAN,BEN",,,"MISS JUMPER by DORFMAN,BEN",1
--,"REBOUND DEF by HARRISON,IAN",,,,,,,"REBOUND DEF by HARRISON,IAN",1
13:35,"TURNOVER  by SULLIVAN,BRENNAN",,,,,,,"TURNOVER  by SULLIVAN,BRENNAN",1
13:35,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
13:35,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
13:35,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
13:35,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
13:35,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
13:35,,,,,"SUB IN by JONES,ANDREW",,,"SUB IN by JONES,ANDREW",1
13:35,,,,,"SUB OUT by DORFMAN,BEN",,,"SUB OUT by DORFMAN,BEN",1
13:26,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",1
13:26,,,,,"MISS FT by KLINGENBECK,TYLER",,,"MISS FT by KLINGENBECK,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:26,,12 (+1),,11,"GOOD FT by KLINGENBECK,TYLER",UCSCM 12-11 (+1),,"GOOD FT by KLINGENBECK,TYLER",1
13:15,"TURNOVER  by NESTLEHUTT,JAKE",,,,,,,"TURNOVER  by NESTLEHUTT,JAKE",1
13:10,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",1
13:10,,12,,12,"GOOD FT by WESTON,TRE",UCSCM 12-12 (0),,"GOOD FT by WESTON,TRE",1
13:10,,12,,13 (+1),"GOOD FT by WESTON,TRE",UCSCM 12-13 (-1),,"GOOD FT by WESTON,TRE",1
13:10,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
13:10,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
13:10,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
13:10,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
13:10,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
13:10,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
13:10,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
13:10,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
13:10,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
13:10,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
12:56,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",14 (+1),,13,,RHO 14-13 (+1),,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",1
12:45,,,,,"MISS LAYUP by WESTON,TRE",,,"MISS LAYUP by WESTON,TRE",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
12:36,,,,,"FOUL  by KLINGENBECK,TYLER",,,"FOUL  by KLINGENBECK,TYLER",1
12:36,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
12:36,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
12:36,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
12:36,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
12:36,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
12:36,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
12:36,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
12:36,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
12:20,"GOOD JUMPER by HARRISON,IAN",16 (+3),,13,,RHO 16-13 (+3),,"GOOD JUMPER by HARRISON,IAN",1
12:08,,16 (+1),,15,"GOOD LAYUP by KLINGENBECK,TYLER(fastbreak)(in the paint)",UCSCM 16-15 (+1),,"GOOD LAYUP by KLINGENBECK,TYLER(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WESTON,TRE",,,"ASSIST  by WESTON,TRE",1
11:56,"GOOD 3PTR by LOWRIE,ANDREW",19 (+4),,15,,RHO 19-15 (+4),,"GOOD 3PTR by LOWRIE,ANDREW",1
--,"ASSIST  by SULLIVAN,BRENNAN",,,,,,,"ASSIST  by SULLIVAN,BRENNAN",1
11:42,,,,,"MISS JUMPER by WESTON,TRE",,,"MISS JUMPER by WESTON,TRE",1
--,"REBOUND DEF by HARRISON,IAN",,,,,,,"REBOUND DEF by HARRISON,IAN",1
11:40,,,,,"FOUL  by WESTON,TRE",,,"FOUL  by WESTON,TRE",1
11:40,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
11:40,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
11:40,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
11:40,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
11:40,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
11:40,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
11:40,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
11:40,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
11:40,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
11:40,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
11:40,,,,,"SUB IN by CRAIN,WILL",,,"SUB IN by CRAIN,WILL",1
11:40,,,,,"SUB IN by CILIA,COREY",,,"SUB IN by CILIA,COREY",1
11:40,,,,,"SUB IN by NERLAND,MATTHEW",,,"SUB IN by NERLAND,MATTHEW",1
11:40,,,,,"SUB OUT by KLINGENBECK,TYLER",,,"SUB OUT by KLINGENBECK,TYLER",1
11:40,,,,,"SUB OUT by WESTON,TRE",,,"SUB OUT by WESTON,TRE",1
11:40,,,,,"SUB OUT by NARAYANAM,VINAY",,,"SUB OUT by NARAYANAM,VINAY",1
11:23,"TURNOVER  by DALTON,PRICE",,,,,,,"TURNOVER  by DALTON,PRICE",1
11:15,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",1
11:15,,,,,"MISS FT by NERLAND,MATTHEW",,,"MISS FT by NERLAND,MATTHEW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:15,,19 (+3),,16,"GOOD FT by NERLAND,MATTHEW",UCSCM 19-16 (+3),,"GOOD FT by NERLAND,MATTHEW",1
11:15,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
11:15,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
11:15,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
11:15,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
11:15,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
11:15,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
11:15,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
11:15,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
11:15,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
11:15,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
11:15,,,,,"SUB IN by DORFMAN,BEN",,,"SUB IN by DORFMAN,BEN",1
11:15,,,,,"SUB OUT by JONES,ANDREW",,,"SUB OUT by JONES,ANDREW",1
11:07,"MISS 3PTR by ASHBY,KENDRICK",,,,,,,"MISS 3PTR by ASHBY,KENDRICK",1
--,,,,,"REBOUND DEF by DORFMAN,BEN",,,"REBOUND DEF by DORFMAN,BEN",1
10:56,,19 (+1),,18,"GOOD LAYUP by CILIA,COREY(fastbreak)(in the paint)",UCSCM 19-18 (+1),,"GOOD LAYUP by CILIA,COREY(fastbreak)(in the paint)",1
10:34,"MISS 3PTR by GEE,TYLER",,,,,,,"MISS 3PTR by GEE,TYLER",1
--,"REBOUND OFF by NYAWATA,ANESU",,,,,,,"REBOUND OFF by NYAWATA,ANESU",1
10:27,"MISS 3PTR by ASHBY,KENDRICK",,,,,,,"MISS 3PTR by ASHBY,KENDRICK",1
--,,,,,"REBOUND DEF by DORFMAN,BEN",,,"REBOUND DEF by DORFMAN,BEN",1
10:15,,19,,20 (+1),"GOOD JUMPER by NERLAND,MATTHEW(fastbreak)(in the paint)",UCSCM 19-20 (-1),,"GOOD JUMPER by NERLAND,MATTHEW(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by CILIA,COREY",,,"ASSIST  by CILIA,COREY",1
10:15,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",1
10:15,,19,,21 (+2),"GOOD FT by NERLAND,MATTHEW",UCSCM 19-21 (-2),,"GOOD FT by NERLAND,MATTHEW",1
10:15,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
10:15,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
10:15,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
10:15,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
10:15,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
10:15,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
10:15,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
10:15,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
10:15,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
10:15,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
10:08,"GOOD JUMPER by BERRY,BRYCE(in the paint)",21,,21,,RHO 21-21 (0),,"GOOD JUMPER by BERRY,BRYCE(in the paint)",1
09:47,,,,,"MISS 3PTR by NERLAND,MATTHEW",,,"MISS 3PTR by NERLAND,MATTHEW",1
--,,,,,"REBOUND OFF by NERLAND,MATTHEW",,,"REBOUND OFF by NERLAND,MATTHEW",1
09:41,,,,,"TURNOVER  by CRAIN,WILL",,,"TURNOVER  by CRAIN,WILL",1
09:40,"STEAL  by SULLIVAN,BRENNAN",,,,,,,"STEAL  by SULLIVAN,BRENNAN",1
09:31,"MISS JUMPER by LOWRIE,ANDREW",,,,,,,"MISS JUMPER by LOWRIE,ANDREW",1
--,,,,,"REBOUND DEF by CILIA,COREY",,,"REBOUND DEF by CILIA,COREY",1
09:22,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",1
09:22,"FOUL TECH by SULLIVAN,BRENNAN",,,,,,,"FOUL TECH by SULLIVAN,BRENNAN",1
09:22,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",1
09:22,,21,,22 (+1),"GOOD FT by CILIA,COREY",UCSCM 21-22 (-1),,"GOOD FT by CILIA,COREY",1
09:22,,21,,23 (+2),"GOOD FT by CILIA,COREY",UCSCM 21-23 (-2),,"GOOD FT by CILIA,COREY",1
09:22,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
09:22,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
09:22,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
09:22,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
09:22,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
09:22,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
09:22,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
09:22,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
09:22,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
09:22,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
09:22,,,,,"SUB IN by CREIGHTON,KYLE",,,"SUB IN by CREIGHTON,KYLE",1
09:22,,,,,"SUB IN by KLINGENBECK,TYLER",,,"SUB IN by KLINGENBECK,TYLER",1
09:22,,,,,"SUB OUT by CRAIN,WILL",,,"SUB OUT by CRAIN,WILL",1
09:22,,,,,"SUB OUT by NERLAND,MATTHEW",,,"SUB OUT by NERLAND,MATTHEW",1
