Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,OGL,Game Score,Team Indicator,Play,Period
18:21,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
18:21,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
18:21,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
18:21,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
18:21,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
18:21,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
18:21,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
18:21,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
18:21,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
18:21,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
18:07,"MISS 3PTR by GALVIN,OWEN",,,,,,,"MISS 3PTR by GALVIN,OWEN",1
--,,,,,"REBOUND DEF by INUNGU,TOM",,,"REBOUND DEF by INUNGU,TOM",1
17:58,,,,,"MISS LAYUP by INUNGU,TOM",,,"MISS LAYUP by INUNGU,TOM",1
17:58,"BLOCK  by GIROUX,PRESTON",,,,,,,"BLOCK  by GIROUX,PRESTON",1
--,"REBOUND DEF by NYAWATA,ANESU",,,,,,,"REBOUND DEF by NYAWATA,ANESU",1
17:50,"MISS LAYUP by GIROUX,PRESTON",,,,,,,"MISS LAYUP by GIROUX,PRESTON",1
--,,,,,"REBOUND DEF by HUGHES,JUSTIN",,,"REBOUND DEF by HUGHES,JUSTIN",1
17:42,,,,,"MISS 3PTR by ANDINO,GEORGE",,,"MISS 3PTR by ANDINO,GEORGE",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
17:31,"GOOD 3PTR by DARST,DANIEL",9 (+5),,4,,RHO 9-4 (+5),,"GOOD 3PTR by DARST,DANIEL",1
--,"ASSIST  by NYAWATA,ANESU",,,,,,,"ASSIST  by NYAWATA,ANESU",1
17:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
17:27,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
17:27,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
17:27,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
17:27,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
17:27,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
17:27,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
17:27,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
17:27,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
17:27,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
17:27,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
17:27,,,,,"SUB IN by PATRICK,DREW",,,"SUB IN by PATRICK,DREW",1
17:27,,,,,"SUB IN by TURNER,MIKE",,,"SUB IN by TURNER,MIKE",1
17:27,,,,,"SUB IN by SIGRIST,CONNOR",,,"SUB IN by SIGRIST,CONNOR",1
17:27,,,,,"SUB OUT by LAWRENCE,CHRIS",,,"SUB OUT by LAWRENCE,CHRIS",1
17:27,,,,,"SUB OUT by INUNGU,TOM",,,"SUB OUT by INUNGU,TOM",1
17:27,,,,,"SUB OUT by HUGHES,JUSTIN",,,"SUB OUT by HUGHES,JUSTIN",1
17:19,,9 (+3),,6,"GOOD JUMPER by SIGRIST,CONNOR(in the paint)",OGL 9-6 (+3),,"GOOD JUMPER by SIGRIST,CONNOR(in the paint)",1
--,,,,,"ASSIST  by EDWARDS,JUSTIN",,,"ASSIST  by EDWARDS,JUSTIN",1
17:01,,,,,"FOUL  by TURNER,MIKE",,,"FOUL  by TURNER,MIKE",1
16:44,"MISS JUMPER by HARRISON,IAN",,,,,,,"MISS JUMPER by HARRISON,IAN",1
--,,,,,"REBOUND DEF by PATRICK,DREW",,,"REBOUND DEF by PATRICK,DREW",1
16:35,,,,,"TURNOVER  by EDWARDS,JUSTIN",,,"TURNOVER  by EDWARDS,JUSTIN",1
16:35,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
16:35,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
16:35,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
16:35,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
16:35,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
16:35,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
16:35,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
16:35,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
16:35,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
16:35,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
16:35,,,,,"SUB IN by LAWRENCE,CHRIS",,,"SUB IN by LAWRENCE,CHRIS",1
16:35,,,,,"SUB OUT by ANDINO,GEORGE",,,"SUB OUT by ANDINO,GEORGE",1
16:17,,,,,"FOUL  by SIGRIST,CONNOR",,,"FOUL  by SIGRIST,CONNOR",1
16:17,"MISS FT by WEIR,JJ",,,,,,,"MISS FT by WEIR,JJ",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:17,"GOOD FT by WEIR,JJ",10 (+4),,6,,RHO 10-6 (+4),,"GOOD FT by WEIR,JJ",1
16:12,,,,,"MISS 3PTR by TURNER,MIKE",,,"MISS 3PTR by TURNER,MIKE",1
--,"REBOUND DEF by WEIR,JJ",,,,,,,"REBOUND DEF by WEIR,JJ",1
16:03,"GOOD 3PTR by SULLIVAN,BRENNAN(fastbreak)",13 (+7),,6,,RHO 13-6 (+7),,"GOOD 3PTR by SULLIVAN,BRENNAN(fastbreak)",1
--,"ASSIST  by WEIR,JJ",,,,,,,"ASSIST  by WEIR,JJ",1
15:47,,13 (+5),,8,"GOOD LAYUP by SIGRIST,CONNOR(fastbreak)(in the paint)",OGL 13-8 (+5),,"GOOD LAYUP by SIGRIST,CONNOR(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by TURNER,MIKE",,,"ASSIST  by TURNER,MIKE",1
15:47,"FOUL  by BERRY,BRYCE",,,,,,,"FOUL  by BERRY,BRYCE",1
15:47,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
15:47,,,,,"MISS FT by SIGRIST,CONNOR",,,"MISS FT by SIGRIST,CONNOR",1
--,,,,,"REBOUND OFF by PATRICK,DREW",,,"REBOUND OFF by PATRICK,DREW",1
15:47,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
15:47,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
15:47,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
15:47,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
15:47,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
15:47,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
15:47,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
15:47,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
15:47,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
15:47,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
15:47,,,,,"SUB IN by ANDINO,GEORGE",,,"SUB IN by ANDINO,GEORGE",1
15:47,,,,,"SUB OUT by EDWARDS,JUSTIN",,,"SUB OUT by EDWARDS,JUSTIN",1
15:46,"FOUL  by DARST,DANIEL",,,,,,,"FOUL  by DARST,DANIEL",1
15:42,,,,,"TURNOVER  by SIGRIST,CONNOR",,,"TURNOVER  by SIGRIST,CONNOR",1
15:42,"STEAL  by GALVIN,OWEN",,,,,,,"STEAL  by GALVIN,OWEN",1
15:39,"TURNOVER  by GALVIN,OWEN",,,,,,,"TURNOVER  by GALVIN,OWEN",1
15:39,,,,,"STEAL  by PATRICK,DREW",,,"STEAL  by PATRICK,DREW",1
15:37,,,,,"TURNOVER  by PATRICK,DREW",,,"TURNOVER  by PATRICK,DREW",1
15:27,"GOOD 3PTR by NYAWATA,ANESU",16 (+8),,8,,RHO 16-8 (+8),,"GOOD 3PTR by NYAWATA,ANESU",1
--,"ASSIST  by DARST,DANIEL",,,,,,,"ASSIST  by DARST,DANIEL",1
15:12,,,,,"TURNOVER  by LAWRENCE,CHRIS",,,"TURNOVER  by LAWRENCE,CHRIS",1
15:11,"STEAL  by GIROUX,PRESTON",,,,,,,"STEAL  by GIROUX,PRESTON",1
14:58,"MISS 3PTR by NYAWATA,ANESU",,,,,,,"MISS 3PTR by NYAWATA,ANESU",1
--,"REBOUND OFF by NYAWATA,ANESU",,,,,,,"REBOUND OFF by NYAWATA,ANESU",1
14:41,"MISS 3PTR by GALVIN,OWEN",,,,,,,"MISS 3PTR by GALVIN,OWEN",1
--,,,,,"REBOUND DEF by ANDINO,GEORGE",,,"REBOUND DEF by ANDINO,GEORGE",1
14:34,,,,,"TURNOVER  by ANDINO,GEORGE",,,"TURNOVER  by ANDINO,GEORGE",1
14:34,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
14:34,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
14:34,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
14:34,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
14:34,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
14:34,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
14:34,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
14:34,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
14:34,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
14:34,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
14:34,,,,,"SUB IN by HUGHES,JUSTIN",,,"SUB IN by HUGHES,JUSTIN",1
14:34,,,,,"SUB IN by INUNGU,TOM",,,"SUB IN by INUNGU,TOM",1
14:34,,,,,"SUB IN by HUFFMAN,DEVIN",,,"SUB IN by HUFFMAN,DEVIN",1
14:34,,,,,"SUB IN by RAMSEY,DYLON",,,"SUB IN by RAMSEY,DYLON",1
14:34,,,,,"SUB IN by EDWARDS,JUSTIN",,,"SUB IN by EDWARDS,JUSTIN",1
14:34,,,,,"SUB OUT by PATRICK,DREW",,,"SUB OUT by PATRICK,DREW",1
14:34,,,,,"SUB OUT by LAWRENCE,CHRIS",,,"SUB OUT by LAWRENCE,CHRIS",1
14:34,,,,,"SUB OUT by ANDINO,GEORGE",,,"SUB OUT by ANDINO,GEORGE",1
14:34,,,,,"SUB OUT by TURNER,MIKE",,,"SUB OUT by TURNER,MIKE",1
14:34,,,,,"SUB OUT by SIGRIST,CONNOR",,,"SUB OUT by SIGRIST,CONNOR",1
14:20,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",18 (+10),,8,,RHO 18-8 (+10),,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",1
--,"ASSIST  by DE FERIA,NICK",,,,,,,"ASSIST  by DE FERIA,NICK",1
14:09,,,,,"TURNOVER  by EDWARDS,JUSTIN",,,"TURNOVER  by EDWARDS,JUSTIN",1
14:03,"MISS 3PTR by DE FERIA,NICK",,,,,,,"MISS 3PTR by DE FERIA,NICK",1
--,"REBOUND OFF by HARRISON,IAN",,,,,,,"REBOUND OFF by HARRISON,IAN",1
13:55,"TURNOVER  by HARRISON,IAN",,,,,,,"TURNOVER  by HARRISON,IAN",1
13:54,,,,,"STEAL  by RAMSEY,DYLON",,,"STEAL  by RAMSEY,DYLON",1
13:52,,18 (+7),,11,"GOOD 3PTR by HUGHES,JUSTIN(fastbreak)",OGL 18-11 (+7),,"GOOD 3PTR by HUGHES,JUSTIN(fastbreak)",1
--,,,,,"ASSIST  by HUFFMAN,DEVIN",,,"ASSIST  by HUFFMAN,DEVIN",1
13:24,"GOOD 3PTR by WEATHERFORD,MITCH",21 (+10),,11,,RHO 21-11 (+10),,"GOOD 3PTR by WEATHERFORD,MITCH",1
--,"ASSIST  by HARRISON,IAN",,,,,,,"ASSIST  by HARRISON,IAN",1
13:03,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
13:03,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
13:03,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
13:03,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
13:03,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
13:03,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
13:03,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
13:03,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
13:03,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
13:03,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
12:50,,,,,"TURNOVER  by HUGHES,JUSTIN",,,"TURNOVER  by HUGHES,JUSTIN",1
12:29,"MISS 3PTR by WEIR,JJ",,,,,,,"MISS 3PTR by WEIR,JJ",1
--,,,,,"REBOUND DEF by INUNGU,TOM",,,"REBOUND DEF by INUNGU,TOM",1
12:21,,,,,"TURNOVER  by RAMSEY,DYLON",,,"TURNOVER  by RAMSEY,DYLON",1
12:21,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
12:21,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
12:21,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
12:21,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
12:21,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
12:21,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
12:21,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
12:21,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
12:21,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
12:21,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
12:21,,,,,"SUB IN by PATRICK,DREW",,,"SUB IN by PATRICK,DREW",1
12:21,,,,,"SUB IN by ANDINO,GEORGE",,,"SUB IN by ANDINO,GEORGE",1
12:21,,,,,"SUB IN by LAWRENCE,CHRIS",,,"SUB IN by LAWRENCE,CHRIS",1
12:21,,,,,"SUB IN by SIGRIST,CONNOR",,,"SUB IN by SIGRIST,CONNOR",1
12:21,,,,,"SUB IN by TURNER,MIKE",,,"SUB IN by TURNER,MIKE",1
12:21,,,,,"SUB OUT by HUGHES,JUSTIN",,,"SUB OUT by HUGHES,JUSTIN",1
12:21,,,,,"SUB OUT by INUNGU,TOM",,,"SUB OUT by INUNGU,TOM",1
12:21,,,,,"SUB OUT by HUFFMAN,DEVIN",,,"SUB OUT by HUFFMAN,DEVIN",1
12:21,,,,,"SUB OUT by RAMSEY,DYLON",,,"SUB OUT by RAMSEY,DYLON",1
12:21,,,,,"SUB OUT by EDWARDS,JUSTIN",,,"SUB OUT by EDWARDS,JUSTIN",1
12:14,"GOOD 3PTR by NYAWATA,ANESU",24 (+13),,11,,RHO 24-11 (+13),,"GOOD 3PTR by NYAWATA,ANESU",1
--,"ASSIST  by DARST,DANIEL",,,,,,,"ASSIST  by DARST,DANIEL",1
11:59,,,,,"TURNOVER  by SIGRIST,CONNOR",,,"TURNOVER  by SIGRIST,CONNOR",1
11:59,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
11:59,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
11:59,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
11:59,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
11:59,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
11:59,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
11:59,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
11:59,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
11:59,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
11:59,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
11:59,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
11:53,"GOOD 3PTR by SULLIVAN,BRENNAN",27 (+16),,11,,RHO 27-11 (+16),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,"ASSIST  by GEE,TYLER",,,,,,,"ASSIST  by GEE,TYLER",1
11:41,,,,,"SUB IN by EDWARDS,JUSTIN",,,"SUB IN by EDWARDS,JUSTIN",1
11:41,,,,,"SUB OUT by SIGRIST,CONNOR",,,"SUB OUT by SIGRIST,CONNOR",1
11:37,,27 (+14),,13,"GOOD LAYUP by LAWRENCE,CHRIS(in the paint)",OGL 27-13 (+14),,"GOOD LAYUP by LAWRENCE,CHRIS(in the paint)",1
--,,,,,"ASSIST  by PATRICK,DREW",,,"ASSIST  by PATRICK,DREW",1
11:29,"MISS JUMPER by WEIR,JJ",,,,,,,"MISS JUMPER by WEIR,JJ",1
--,,,,,"REBOUND DEF by PATRICK,DREW",,,"REBOUND DEF by PATRICK,DREW",1
11:23,"FOUL  by WEIR,JJ",,,,,,,"FOUL  by WEIR,JJ",1
11:23,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
11:23,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
11:23,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
11:23,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
11:23,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
11:23,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
11:23,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
11:23,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
11:23,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
11:23,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
11:18,,,,,"TURNOVER  by PATRICK,DREW",,,"TURNOVER  by PATRICK,DREW",1
10:58,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND DEF by PATRICK,DREW",,,"REBOUND DEF by PATRICK,DREW",1
10:48,"FOUL  by HARRISON,IAN",,,,,,,"FOUL  by HARRISON,IAN",1
10:48,,,,,"MISS FT by LAWRENCE,CHRIS",,,"MISS FT by LAWRENCE,CHRIS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:48,,27 (+13),,14,"GOOD FT by LAWRENCE,CHRIS",OGL 27-14 (+13),,"GOOD FT by LAWRENCE,CHRIS",1
10:48,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
10:48,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
10:48,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
10:48,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
10:48,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
10:48,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
10:48,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
10:48,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
10:48,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
10:48,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
10:35,"GOOD 3PTR by DARST,DANIEL",30 (+16),,14,,RHO 30-14 (+16),,"GOOD 3PTR by DARST,DANIEL",1
--,"ASSIST  by GALVIN,OWEN",,,,,,,"ASSIST  by GALVIN,OWEN",1
10:21,,30 (+14),,16,"GOOD LAYUP by ANDINO,GEORGE(fastbreak)(in the paint)",OGL 30-16 (+14),,"GOOD LAYUP by ANDINO,GEORGE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by TURNER,MIKE",,,"ASSIST  by TURNER,MIKE",1
09:55,"MISS 3PTR by GALVIN,OWEN",,,,,,,"MISS 3PTR by GALVIN,OWEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:53,,,,,"TURNOVER  by PATRICK,DREW",,,"TURNOVER  by PATRICK,DREW",1
09:53,"STEAL  by GEE,TYLER",,,,,,,"STEAL  by GEE,TYLER",1
09:53,,,,,"SUB IN by HUGHES,JUSTIN",,,"SUB IN by HUGHES,JUSTIN",1
09:53,,,,,"SUB IN by INUNGU,TOM",,,"SUB IN by INUNGU,TOM",1
09:53,,,,,"SUB OUT by PATRICK,DREW",,,"SUB OUT by PATRICK,DREW",1
09:53,,,,,"SUB OUT by TURNER,MIKE",,,"SUB OUT by TURNER,MIKE",1
09:50,"MISS LAYUP by LOWRIE,ANDREW",,,,,,,"MISS LAYUP by LOWRIE,ANDREW",1
--,,,,,"REBOUND DEF by EDWARDS,JUSTIN",,,"REBOUND DEF by EDWARDS,JUSTIN",1
09:45,,,,,"MISS LAYUP by ANDINO,GEORGE",,,"MISS LAYUP by ANDINO,GEORGE",1
--,"REBOUND DEF by WEIR,JJ",,,,,,,"REBOUND DEF by WEIR,JJ",1
09:38,"GOOD LAYUP by GEE,TYLER(fastbreak)(in the paint)",32 (+16),,16,,RHO 32-16 (+16),,"GOOD LAYUP by GEE,TYLER(fastbreak)(in the paint)",1
--,"ASSIST  by WEIR,JJ",,,,,,,"ASSIST  by WEIR,JJ",1
09:23,,,,,"TURNOVER  by EDWARDS,JUSTIN",,,"TURNOVER  by EDWARDS,JUSTIN",1
09:23,"STEAL  by BERRY,BRYCE",,,,,,,"STEAL  by BERRY,BRYCE",1
09:20,"TURNOVER  by BERRY,BRYCE",,,,,,,"TURNOVER  by BERRY,BRYCE",1
09:19,,,,,"STEAL  by PATRICK,DREW",,,"STEAL  by PATRICK,DREW",1
09:15,,,,,"TURNOVER  by LAWRENCE,CHRIS",,,"TURNOVER  by LAWRENCE,CHRIS",1
09:14,"STEAL  by GEE,TYLER",,,,,,,"STEAL  by GEE,TYLER",1
09:11,"TURNOVER  by WEIR,JJ",,,,,,,"TURNOVER  by WEIR,JJ",1
09:10,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
09:10,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
09:10,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
09:10,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
09:10,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
09:10,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
