Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,BER,Game Score,Team Indicator,Play,Period
11:32,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",1
11:28,"TURNOVER  by BERRY,BRYCE",,,,,,,"TURNOVER  by BERRY,BRYCE",1
11:08,,,,,"MISS LAYUP by KORN,LUKAS",,,"MISS LAYUP by KORN,LUKAS",1
--,,,,,"REBOUND OFF by KORN,LUKAS",,,"REBOUND OFF by KORN,LUKAS",1
11:06,,16,,28 (+12),"GOOD LAYUP by KORN,LUKAS(in the paint)",BER 16-28 (-12),,"GOOD LAYUP by KORN,LUKAS(in the paint)",1
10:52,"TURNOVER  by WEIR,JJ",,,,,,,"TURNOVER  by WEIR,JJ",1
10:50,,,,,"STEAL  by FORTE,MCCARTY",,,"STEAL  by FORTE,MCCARTY",1
10:46,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:44,,,,,"FOUL  by KORN,LUKAS",,,"FOUL  by KORN,LUKAS",1
10:44,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
10:44,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
10:44,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
10:44,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
10:44,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
10:44,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
10:44,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
10:44,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
10:44,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
10:44,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
