Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,WC,Game Score,Team Indicator,Play,Period
09:28,"MISS 3PTR by LOWRIE,ANDREW",,,,,,,"MISS 3PTR by LOWRIE,ANDREW",1
--,"REBOUND OFF by DARST,DANIEL",,,,,,,"REBOUND OFF by DARST,DANIEL",1
09:04,"TURNOVER  by WEIR,JJ",,,,,,,"TURNOVER  by WEIR,JJ",1
09:03,,19,,38 (+19),"GOOD LAYUP by BUTLER,AUSTIN(fastbreak)(in the paint)",WC 19-38 (-19),,"GOOD LAYUP by BUTLER,AUSTIN(fastbreak)(in the paint)",1
08:57,,,,,"STEAL  by BUTLER,AUSTIN",,,"STEAL  by BUTLER,AUSTIN",1
08:56,,,,,"TURNOVER  by BUTLER,AUSTIN",,,"TURNOVER  by BUTLER,AUSTIN",1
08:56,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
08:56,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
08:56,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
08:56,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
08:56,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
08:56,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
08:56,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
08:56,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
08:56,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
08:56,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
08:56,,,,,"SUB IN by HOWELL,TIM",,,"SUB IN by HOWELL,TIM",1
08:56,,,,,"SUB IN by MCDONALD,CHRISTIAN",,,"SUB IN by MCDONALD,CHRISTIAN",1
08:56,,,,,"SUB IN by HARRISON,JASE",,,"SUB IN by HARRISON,JASE",1
08:56,,,,,"SUB OUT by OSBORNE,TREVOR",,,"SUB OUT by OSBORNE,TREVOR",1
08:56,,,,,"SUB OUT by HEWITT,JOEY",,,"SUB OUT by HEWITT,JOEY",1
08:56,,,,,"SUB OUT by BUTLER,AUSTIN",,,"SUB OUT by BUTLER,AUSTIN",1
08:55,,,,,"SUB IN by HEWITT,JOEY",,,"SUB IN by HEWITT,JOEY",1
08:55,,,,,"SUB OUT by HOWELL,TIM",,,"SUB OUT by HOWELL,TIM",1
08:43,,,,,"FOUL  by HARRISON,JASE",,,"FOUL  by HARRISON,JASE",1
08:43,"GOOD FT by WEATHERFORD,MITCH",20,,38 (+18),,RHO 20-38 (-18),,"GOOD FT by WEATHERFORD,MITCH",1
08:43,"GOOD FT by WEATHERFORD,MITCH",21,,38 (+17),,RHO 21-38 (-17),,"GOOD FT by WEATHERFORD,MITCH",1
08:33,,,,,"TURNOVER  by HARRISON,JASE",,,"TURNOVER  by HARRISON,JASE",1
08:32,"STEAL  by GEE,TYLER",,,,,,,"STEAL  by GEE,TYLER",1
08:08,"TURNOVER  by GEE,TYLER",,,,,,,"TURNOVER  by GEE,TYLER",1
08:08,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
08:08,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
08:08,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
08:08,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
08:08,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
08:08,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
08:08,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
08:08,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
08:08,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
08:08,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
08:08,,,,,"SUB IN by JACOBS-JONES,CEDRIC",,,"SUB IN by JACOBS-JONES,CEDRIC",1
08:08,,,,,"SUB OUT by HARVEY,ANDREW",,,"SUB OUT by HARVEY,ANDREW",1
07:53,,,,,"TURNOVER  by HARRISON,JASE",,,"TURNOVER  by HARRISON,JASE",1
07:52,"STEAL  by SAMSON,VAUGHN",,,,,,,"STEAL  by SAMSON,VAUGHN",1
07:48,"GOOD LAYUP by SAMSON,VAUGHN(fastbreak)(in the paint)",23,,38 (+15),,RHO 23-38 (-15),,"GOOD LAYUP by SAMSON,VAUGHN(fastbreak)(in the paint)",1
07:41,"FOUL  by SAMSON,VAUGHN",,,,,,,"FOUL  by SAMSON,VAUGHN",1
07:41,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
07:41,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
07:41,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
07:41,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
07:41,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
07:41,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
07:41,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
07:41,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
07:41,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
07:41,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
07:40,,,,,"MISS FT by KIRKLEY,JARON",,,"MISS FT by KIRKLEY,JARON",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
07:29,,,,,"SUB IN by STEWART,JACK",,,"SUB IN by STEWART,JACK",1
07:29,,,,,"SUB OUT by MCDONALD,CHRISTIAN",,,"SUB OUT by MCDONALD,CHRISTIAN",1
07:21,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
07:21,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
07:21,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
07:21,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
07:21,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
07:21,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
07:21,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
07:21,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
07:21,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
07:21,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
07:21,,,,,"SUB IN by BUTLER,AUSTIN",,,"SUB IN by BUTLER,AUSTIN",1
07:21,,,,,"SUB OUT by HARRISON,JASE",,,"SUB OUT by HARRISON,JASE",1
07:11,"GOOD 3PTR by SULLIVAN,BRENNAN",26,,38 (+12),,RHO 26-38 (-12),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",1
07:02,,,,,"TURNOVER  by BUTLER,AUSTIN",,,"TURNOVER  by BUTLER,AUSTIN",1
07:01,"STEAL  by BERRY,BRYCE",,,,,,,"STEAL  by BERRY,BRYCE",1
06:59,"GOOD LAYUP by BERRY,BRYCE(fastbreak)(in the paint)",28,,38 (+10),,RHO 28-38 (-10),,"GOOD LAYUP by BERRY,BRYCE(fastbreak)(in the paint)",1
06:51,,,,,"TURNOVER  by STEWART,JACK",,,"TURNOVER  by STEWART,JACK",1
06:51,,,,,"SUB IN by HOWELL,TIM",,,"SUB IN by HOWELL,TIM",1
06:51,,,,,"SUB IN by WIGGINS,JOJO",,,"SUB IN by WIGGINS,JOJO",1
06:51,,,,,"SUB OUT by JACOBS-JONES,CEDRIC",,,"SUB OUT by JACOBS-JONES,CEDRIC",1
06:51,,,,,"SUB OUT by KIRKLEY,JARON",,,"SUB OUT by KIRKLEY,JARON",1
06:46,"MISS 3PTR by WEATHERFORD,MITCH",,,,,,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by STEWART,JACK",,,"REBOUND DEF by STEWART,JACK",1
06:30,,,,,"MISS LAYUP by WIGGINS,JOJO",,,"MISS LAYUP by WIGGINS,JOJO",1
--,,,,,"REBOUND OFF by WIGGINS,JOJO",,,"REBOUND OFF by WIGGINS,JOJO",1
06:26,,,,,"MISS JUMPER by WIGGINS,JOJO",,,"MISS JUMPER by WIGGINS,JOJO",1
--,,,,,"REBOUND OFF by HEWITT,JOEY",,,"REBOUND OFF by HEWITT,JOEY",1
06:19,,28,,40 (+12),"GOOD JUMPER by HEWITT,JOEY(in the paint)",WC 28-40 (-12),,"GOOD JUMPER by HEWITT,JOEY(in the paint)",1
06:09,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by HOWELL,TIM",,,"REBOUND DEF by HOWELL,TIM",1
06:03,,28,,42 (+14),"GOOD LAYUP by HEWITT,JOEY(fastbreak)(in the paint)",WC 28-42 (-14),,"GOOD LAYUP by HEWITT,JOEY(fastbreak)(in the paint)",1
05:41,"MISS LAYUP by DARST,DANIEL",,,,,,,"MISS LAYUP by DARST,DANIEL",1
05:41,,,,,"BLOCK  by BUTLER,AUSTIN",,,"BLOCK  by BUTLER,AUSTIN",1
--,,,,,"REBOUND DEF by HEWITT,JOEY",,,"REBOUND DEF by HEWITT,JOEY",1
05:38,"FOUL  by BERRY,BRYCE",,,,,,,"FOUL  by BERRY,BRYCE",1
05:38,,,,,"MISS FT by HEWITT,JOEY",,,"MISS FT by HEWITT,JOEY",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
05:38,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
05:38,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
05:38,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
05:38,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
05:38,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
05:38,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
05:38,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
05:38,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
05:38,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
05:38,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
05:38,,,,,"SUB IN by KIRKLEY,JARON",,,"SUB IN by KIRKLEY,JARON",1
05:38,,,,,"SUB OUT by HOWELL,TIM",,,"SUB OUT by HOWELL,TIM",1
05:27,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:27,,,,,"SUB IN by OSBORNE,TREVOR",,,"SUB IN by OSBORNE,TREVOR",1
05:27,,,,,"SUB OUT by HEWITT,JOEY",,,"SUB OUT by HEWITT,JOEY",1
05:20,"MISS LAYUP by NYAWATA,ANESU",,,,,,,"MISS LAYUP by NYAWATA,ANESU",1
--,,,,,"REBOUND DEF by STEWART,JACK",,,"REBOUND DEF by STEWART,JACK",1
05:16,,28,,44 (+16),"GOOD LAYUP by HARRISON,JASE(fastbreak)(in the paint)",WC 28-44 (-16),,"GOOD LAYUP by HARRISON,JASE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by STEWART,JACK",,,"ASSIST  by STEWART,JACK",1
04:55,"MISS JUMPER by NYAWATA,ANESU",,,,,,,"MISS JUMPER by NYAWATA,ANESU",1
--,,,,,"REBOUND DEF by WIGGINS,JOJO",,,"REBOUND DEF by WIGGINS,JOJO",1
04:50,"FOUL  by SAMSON,VAUGHN",,,,,,,"FOUL  by SAMSON,VAUGHN",1
04:50,,28,,45 (+17),"GOOD FT by HARRISON,JASE",WC 28-45 (-17),,"GOOD FT by HARRISON,JASE",1
04:50,,28,,46 (+18),"GOOD FT by HARRISON,JASE",WC 28-46 (-18),,"GOOD FT by HARRISON,JASE",1
04:50,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
04:50,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
04:50,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
04:50,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
04:50,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
04:50,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
04:50,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
04:50,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
04:50,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
04:50,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
04:50,,,,,"SUB IN by HARRISON,JASE",,,"SUB IN by HARRISON,JASE",1
04:50,,,,,"SUB OUT by OSBORNE,TREVOR",,,"SUB OUT by OSBORNE,TREVOR",1
04:44,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",1
--,,,,,"REBOUND DEF by KIRKLEY,JARON",,,"REBOUND DEF by KIRKLEY,JARON",1
04:33,,,,,"TURNOVER  by KIRKLEY,JARON",,,"TURNOVER  by KIRKLEY,JARON",1
04:32,"STEAL  by DARST,DANIEL",,,,,,,"STEAL  by DARST,DANIEL",1
04:28,"GOOD LAYUP by DARST,DANIEL(in the paint)",30,,46 (+16),,RHO 30-46 (-16),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
--,,,,,"ASSIST  by KIRKLEY,JARON",,,"ASSIST  by KIRKLEY,JARON",1
04:28,"GOOD FT by DARST,DANIEL",31,,46 (+15),,RHO 31-46 (-15),,"GOOD FT by DARST,DANIEL",1
04:28,,,,,"MISS 3PTR by STEWART,JACK",,,"MISS 3PTR by STEWART,JACK",1
--,,,,,"REBOUND OFF by HARRISON,JASE",,,"REBOUND OFF by HARRISON,JASE",1
04:28,,,,,"TURNOVER  by HARRISON,JASE",,,"TURNOVER  by HARRISON,JASE",1
04:28,"STEAL  by ASHBY,KENDRICK",,,,,,,"STEAL  by ASHBY,KENDRICK",1
04:28,"GOOD 3PTR by SULLIVAN,BRENNAN",34,,46 (+12),,RHO 34-46 (-12),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,"ASSIST  by GEE,TYLER",,,,,,,"ASSIST  by GEE,TYLER",1
04:28,,,,,"MISS 3PTR by STEWART,JACK",,,"MISS 3PTR by STEWART,JACK",1
--,,,,,"REBOUND OFF by HOWELL,TIM",,,"REBOUND OFF by HOWELL,TIM",1
04:28,,,,,"MISS JUMPER by HOWELL,TIM",,,"MISS JUMPER by HOWELL,TIM",1
--,"REBOUND DEF by BERRY,BRYCE",,,,,,,"REBOUND DEF by BERRY,BRYCE",1
04:28,"GOOD 3PTR by SULLIVAN,BRENNAN",37,,46 (+9),,RHO 37-46 (-9),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,"ASSIST  by BERRY,BRYCE",,,,,,,"ASSIST  by BERRY,BRYCE",1
04:28,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
04:28,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
04:28,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
04:28,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
04:28,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
04:28,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
04:28,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
04:28,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
04:28,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
04:28,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
04:28,,,,,"SUB IN by HOWELL,TIM",,,"SUB IN by HOWELL,TIM",1
04:28,,,,,"SUB OUT by KIRKLEY,JARON",,,"SUB OUT by KIRKLEY,JARON",1
04:24,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:22,,,,,"FOUL  by KIRKLEY,JARON",,,"FOUL  by KIRKLEY,JARON",1
04:20,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
04:20,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
04:20,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
04:20,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
04:20,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
04:20,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
04:20,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
04:20,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
04:20,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
04:20,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
03:30,"FOUL  by DE FERIA,NICK",,,,,,,"FOUL  by DE FERIA,NICK",1
03:30,,,,,"MISS FT by HEWITT,JOEY",,,"MISS FT by HEWITT,JOEY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:30,,37,,47 (+10),"GOOD FT by HEWITT,JOEY",WC 37-47 (-10),,"GOOD FT by HEWITT,JOEY",1
03:30,,,,,"SUB IN by KIRKLEY,JARON",,,"SUB IN by KIRKLEY,JARON",1
03:30,,,,,"SUB IN by JACOBS-JONES,CEDRIC",,,"SUB IN by JACOBS-JONES,CEDRIC",1
03:30,,,,,"SUB IN by HEWITT,JOEY",,,"SUB IN by HEWITT,JOEY",1
03:30,,,,,"SUB OUT by HOWELL,TIM",,,"SUB OUT by HOWELL,TIM",1
03:30,,,,,"SUB OUT by WIGGINS,JOJO",,,"SUB OUT by WIGGINS,JOJO",1
03:30,,,,,"SUB OUT by STEWART,JACK",,,"SUB OUT by STEWART,JACK",1
03:16,"GOOD LAYUP by DARST,DANIEL(in the paint)",39,,47 (+8),,RHO 39-47 (-8),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
03:06,,,,,"MISS LAYUP by HEWITT,JOEY",,,"MISS LAYUP by HEWITT,JOEY",1
03:06,"BLOCK  by DARST,DANIEL",,,,,,,"BLOCK  by DARST,DANIEL",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:01,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
03:01,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
03:01,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
03:01,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
03:01,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
03:01,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
03:01,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
03:01,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
03:01,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
03:01,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
02:53,"TURNOVER  by LOWRIE,ANDREW",,,,,,,"TURNOVER  by LOWRIE,ANDREW",1
02:53,,,,,"SUB IN by STEWART,JACK",,,"SUB IN by STEWART,JACK",1
02:53,,,,,"SUB IN by HOWELL,TIM",,,"SUB IN by HOWELL,TIM",1
02:53,,,,,"SUB OUT by KIRKLEY,JARON",,,"SUB OUT by KIRKLEY,JARON",1
02:53,,,,,"SUB OUT by HEWITT,JOEY",,,"SUB OUT by HEWITT,JOEY",1
02:47,,,,,"MISS LAYUP by HARRISON,JASE",,,"MISS LAYUP by HARRISON,JASE",1
--,,,,,"REBOUND OFF by STEWART,JACK",,,"REBOUND OFF by STEWART,JACK",1
02:33,,,,,"MISS LAYUP by HARRISON,JASE",,,"MISS LAYUP by HARRISON,JASE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
02:31,"FOUL  by WEIR,JJ",,,,,,,"FOUL  by WEIR,JJ",1
02:31,,,,,"MISS FT by BUTLER,AUSTIN",,,"MISS FT by BUTLER,AUSTIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:31,,39,,48 (+9),"GOOD FT by BUTLER,AUSTIN",WC 39-48 (-9),,"GOOD FT by BUTLER,AUSTIN",1
02:31,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
02:31,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
02:31,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
02:31,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
02:31,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
02:31,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
02:31,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
02:31,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
02:31,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
02:31,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
02:31,,,,,"SUB IN by HEWITT,JOEY",,,"SUB IN by HEWITT,JOEY",1
02:31,,,,,"SUB OUT by HARRISON,JASE",,,"SUB OUT by HARRISON,JASE",1
02:22,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND OFF by DARST,DANIEL",,,,,,,"REBOUND OFF by DARST,DANIEL",1
02:17,"MISS 3PTR by WEATHERFORD,MITCH",,,,,,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by HEWITT,JOEY",,,"REBOUND DEF by HEWITT,JOEY",1
02:08,,,,,"TURNOVER  by HEWITT,JOEY",,,"TURNOVER  by HEWITT,JOEY",1
02:07,"STEAL  by WEATHERFORD,MITCH",,,,,,,"STEAL  by WEATHERFORD,MITCH",1
01:59,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",41,,48 (+7),,RHO 41-48 (-7),,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",1
01:53,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",1
01:53,,41,,49 (+8),"GOOD FT by KIRKLEY,JARON",WC 41-49 (-8),,"GOOD FT by KIRKLEY,JARON",1
01:53,,,,,"MISS FT by KIRKLEY,JARON",,,"MISS FT by KIRKLEY,JARON",1
--,"REBOUND DEF by MCINTYRE,WILL",,,,,,,"REBOUND DEF by MCINTYRE,WILL",1
01:53,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
01:53,"SUB IN by MCINTYRE,WILL",,,,,,,"SUB IN by MCINTYRE,WILL",1
01:53,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
01:53,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
01:53,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
01:53,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
01:53,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
01:53,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
01:53,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
01:53,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
01:53,,,,,"SUB IN by WIGGINS,JOJO",,,"SUB IN by WIGGINS,JOJO",1
01:53,,,,,"SUB IN by KIRKLEY,JARON",,,"SUB IN by KIRKLEY,JARON",1
01:53,,,,,"SUB OUT by JACOBS-JONES,CEDRIC",,,"SUB OUT by JACOBS-JONES,CEDRIC",1
01:53,,,,,"SUB OUT by HOWELL,TIM",,,"SUB OUT by HOWELL,TIM",1
01:26,,,,,"FOUL  by HEWITT,JOEY",,,"FOUL  by HEWITT,JOEY",1
01:26,"GOOD FT by GEE,TYLER",42,,49 (+7),,RHO 42-49 (-7),,"GOOD FT by GEE,TYLER",1
01:26,"GOOD FT by GEE,TYLER",43,,49 (+6),,RHO 43-49 (-6),,"GOOD FT by GEE,TYLER",1
01:26,,,,,"SUB IN by HOWELL,TIM",,,"SUB IN by HOWELL,TIM",1
01:26,,,,,"SUB OUT by HEWITT,JOEY",,,"SUB OUT by HEWITT,JOEY",1
01:18,,,,,"MISS LAYUP by KIRKLEY,JARON",,,"MISS LAYUP by KIRKLEY,JARON",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
01:12,"GOOD LAYUP by DALTON,PRICE(fastbreak)(in the paint)",45,,49 (+4),,RHO 45-49 (-4),,"GOOD LAYUP by DALTON,PRICE(fastbreak)(in the paint)",1
--,"ASSIST  by GEE,TYLER",,,,,,,"ASSIST  by GEE,TYLER",1
00:58,,,,,"MISS LAYUP by HOWELL,TIM",,,"MISS LAYUP by HOWELL,TIM",1
--,,,,,"REBOUND OFF by KIRKLEY,JARON",,,"REBOUND OFF by KIRKLEY,JARON",1
