Time Remaining,CHI,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by DE FERIA,NICK",,,"REBOUND OFF by DE FERIA,NICK",1
14:00,,16 (+3),,13,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",RHO 16-13 (-3),,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",1
--,,,,,"ASSIST  by DE FERIA,NICK",,,"ASSIST  by DE FERIA,NICK",1
13:49,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:49,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
13:49,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
13:49,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
13:49,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
13:49,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
13:49,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
13:49,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
13:49,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
13:49,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
13:49,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
13:49,"SUB OUT by VEACH,PORTER",,,,,,,"SUB OUT by VEACH,PORTER",1
13:49,"SUB OUT by GUSTAFSON,ALEX",,,,,,,"SUB OUT by GUSTAFSON,ALEX",1
13:49,"SUB OUT by SHEARMIRE,RYAN",,,,,,,"SUB OUT by SHEARMIRE,RYAN",1
13:49,"SUB OUT by COLANGELO,MATTIA",,,,,,,"SUB OUT by COLANGELO,MATTIA",1
13:49,"SUB OUT by SUSTACEK,SAM",,,,,,,"SUB OUT by SUSTACEK,SAM",1
13:49,"SUB IN by BARTHEL,COLLIN",,,,,,,"SUB IN by BARTHEL,COLLIN",1
13:49,"SUB IN by KARRAS,NOAH",,,,,,,"SUB IN by KARRAS,NOAH",1
13:49,"SUB IN by PEREZ,WALLER",,,,,,,"SUB IN by PEREZ,WALLER",1
13:49,"SUB IN by HOWARD,TYLER",,,,,,,"SUB IN by HOWARD,TYLER",1
13:49,"SUB IN by CRAWFORD,BLAINE",,,,,,,"SUB IN by CRAWFORD,BLAINE",1
13:44,"GOOD JUMPER by KARRAS,NOAH(fastbreak)",18 (+5),,13,,CHI 18-13 (-5),,"GOOD JUMPER by KARRAS,NOAH(fastbreak)",1
--,"ASSIST  by BARTHEL,COLLIN",,,,,,,"ASSIST  by BARTHEL,COLLIN",1
13:29,,,,,"MISS LAYUP by LOWRIE,ANDREW",,,"MISS LAYUP by LOWRIE,ANDREW",1
--,"REBOUND DEF by CRAWFORD,BLAINE",,,,,,,"REBOUND DEF by CRAWFORD,BLAINE",1
13:21,"TURNOVER  by KARRAS,NOAH",,,,,,,"TURNOVER  by KARRAS,NOAH",1
13:20,,,,,"STEAL  by LOWRIE,ANDREW",,,"STEAL  by LOWRIE,ANDREW",1
13:13,,,,,"TURNOVER  by LOWRIE,ANDREW",,,"TURNOVER  by LOWRIE,ANDREW",1
13:12,"STEAL  by HOWARD,TYLER",,,,,,,"STEAL  by HOWARD,TYLER",1
13:09,"GOOD LAYUP by PEREZ,WALLER(fastbreak)(in the paint)",20 (+7),,13,,CHI 20-13 (-7),,"GOOD LAYUP by PEREZ,WALLER(fastbreak)(in the paint)",1
--,"ASSIST  by HOWARD,TYLER",,,,,,,"ASSIST  by HOWARD,TYLER",1
12:54,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
12:53,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
12:53,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
12:53,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
12:53,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
12:53,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
12:53,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
12:53,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
12:53,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
12:53,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
12:53,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
12:45,"GOOD LAYUP by PEREZ,WALLER(in the paint)",22 (+9),,13,,CHI 22-13 (-9),,"GOOD LAYUP by PEREZ,WALLER(in the paint)",1
--,"ASSIST  by HOWARD,TYLER",,,,,,,"ASSIST  by HOWARD,TYLER",1
12:45,,,,,"FOUL  by DALTON,PRICE",,,"FOUL  by DALTON,PRICE",1
12:45,"GOOD FT by PEREZ,WALLER",23 (+10),,13,,CHI 23-13 (-10),,"GOOD FT by PEREZ,WALLER",1
12:37,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by KARRAS,NOAH",,,,,,,"REBOUND DEF by KARRAS,NOAH",1
12:25,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
12:25,"GOOD FT by CRAWFORD,BLAINE",24 (+11),,13,,CHI 24-13 (-11),,"GOOD FT by CRAWFORD,BLAINE",1
12:25,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
12:25,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
12:25,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
12:25,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
12:25,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
12:25,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
12:25,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
12:25,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
12:25,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
12:25,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
12:25,"MISS FT by CRAWFORD,BLAINE",,,,,,,"MISS FT by CRAWFORD,BLAINE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:19,"SUB OUT by VEACH,PORTER",,,,,,,"SUB OUT by VEACH,PORTER",1
12:19,"SUB OUT by GUSTAFSON,ALEX",,,,,,,"SUB OUT by GUSTAFSON,ALEX",1
12:19,"SUB OUT by SHEARMIRE,RYAN",,,,,,,"SUB OUT by SHEARMIRE,RYAN",1
12:19,"SUB OUT by COLANGELO,MATTIA",,,,,,,"SUB OUT by COLANGELO,MATTIA",1
12:19,"SUB OUT by SUSTACEK,SAM",,,,,,,"SUB OUT by SUSTACEK,SAM",1
12:19,"SUB IN by PEREZ,WALLER",,,,,,,"SUB IN by PEREZ,WALLER",1
12:19,"SUB IN by HOWARD,TYLER",,,,,,,"SUB IN by HOWARD,TYLER",1
12:19,"SUB IN by FENLON,JAKE",,,,,,,"SUB IN by FENLON,JAKE",1
12:19,"SUB IN by JACKSON,JUSTIN",,,,,,,"SUB IN by JACKSON,JUSTIN",1
12:19,"SUB IN by CRAWFORD,BLAINE",,,,,,,"SUB IN by CRAWFORD,BLAINE",1
12:08,"TURNOVER  by HOWARD,TYLER",,,,,,,"TURNOVER  by HOWARD,TYLER",1
12:07,,,,,"STEAL  by ASHBY,KENDRICK",,,"STEAL  by ASHBY,KENDRICK",1
12:05,,24 (+9),,15,"GOOD LAYUP by NYAWATA,ANESU(fastbreak)(in the paint)",RHO 24-15 (-9),,"GOOD LAYUP by NYAWATA,ANESU(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by ASHBY,KENDRICK",,,"ASSIST  by ASHBY,KENDRICK",1
12:00,,,,,"FOUL  by ASHBY,KENDRICK",,,"FOUL  by ASHBY,KENDRICK",1
11:53,"TURNOVER  by FENLON,JAKE",,,,,,,"TURNOVER  by FENLON,JAKE",1
11:53,"FOUL  by FENLON,JAKE",,,,,,,"FOUL  by FENLON,JAKE",1
11:53,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
11:53,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
11:53,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
11:53,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
11:53,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
11:53,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
11:53,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
11:53,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
11:53,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
11:53,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
11:53,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
11:53,"SUB OUT by VEACH,PORTER",,,,,,,"SUB OUT by VEACH,PORTER",1
11:53,"SUB OUT by GUSTAFSON,ALEX",,,,,,,"SUB OUT by GUSTAFSON,ALEX",1
11:53,"SUB OUT by SHEARMIRE,RYAN",,,,,,,"SUB OUT by SHEARMIRE,RYAN",1
11:53,"SUB OUT by COLANGELO,MATTIA",,,,,,,"SUB OUT by COLANGELO,MATTIA",1
11:53,"SUB OUT by SUSTACEK,SAM",,,,,,,"SUB OUT by SUSTACEK,SAM",1
11:53,"SUB IN by BARTHEL,COLLIN",,,,,,,"SUB IN by BARTHEL,COLLIN",1
11:53,"SUB IN by PEREZ,WALLER",,,,,,,"SUB IN by PEREZ,WALLER",1
11:53,"SUB IN by FENLON,JAKE",,,,,,,"SUB IN by FENLON,JAKE",1
11:53,"SUB IN by BAUM,JORDAN",,,,,,,"SUB IN by BAUM,JORDAN",1
