Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
09:13,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
09:13,,,,,"SUB OUT by DE FERIA,NICK",,,"SUB OUT by DE FERIA,NICK",1
09:07,,,,,"MISS LAYUP by WEATHERFORD,MITCH",,,"MISS LAYUP by WEATHERFORD,MITCH",1
09:07,"BLOCK  by MARDER,NICK",,,,,,,"BLOCK  by MARDER,NICK",1
--,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
08:41,"GOOD JUMPER by JONES,BLAKE",28 (+9),,19,,BCM 28-19 (-9),,"GOOD JUMPER by JONES,BLAKE",1
08:26,,,,,"MISS 3PTR by MCINTYRE,WILL",,,"MISS 3PTR by MCINTYRE,WILL",1
--,"REBOUND DEF by JONES,BLAKE",,,,,,,"REBOUND DEF by JONES,BLAKE",1
08:22,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:22,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
08:19,"SUB IN by MCLENDON,MARC",,,,,,,"SUB IN by MCLENDON,MARC",1
08:19,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",1
08:19,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
08:19,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
08:19,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
08:19,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
08:19,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
08:19,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
08:19,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
08:19,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
08:19,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
08:19,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
08:14,"GOOD LAYUP by MCLENDON,MARC(in the paint)",30 (+11),,19,,BCM 30-19 (-11),,"GOOD LAYUP by MCLENDON,MARC(in the paint)",1
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",1
07:56,,,,,"MISS LAYUP by NYAWATA,ANESU",,,"MISS LAYUP by NYAWATA,ANESU",1
--,"REBOUND DEF by MCCLOUD,ALTON",,,,,,,"REBOUND DEF by MCCLOUD,ALTON",1
07:44,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",32 (+13),,19,,BCM 32-19 (-13),,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",1
--,"ASSIST  by MCLENDON,MARC",,,,,,,"ASSIST  by MCLENDON,MARC",1
07:29,,,,,"MISS 3PTR by NYAWATA,ANESU",,,"MISS 3PTR by NYAWATA,ANESU",1
--,,,,,"REBOUND OFF by NYAWATA,ANESU",,,"REBOUND OFF by NYAWATA,ANESU",1
07:23,,,,,"TURNOVER  by NYAWATA,ANESU",,,"TURNOVER  by NYAWATA,ANESU",1
07:22,"STEAL  by MCCLOUD,ALTON",,,,,,,"STEAL  by MCCLOUD,ALTON",1
07:19,,,,,"FOUL  by DALTON,PRICE",,,"FOUL  by DALTON,PRICE",1
07:19,"MISS FT by JOHNSON,CALEB",,,,,,,"MISS FT by JOHNSON,CALEB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:19,"GOOD FT by JOHNSON,CALEB",33 (+14),,19,,BCM 33-19 (-14),,"GOOD FT by JOHNSON,CALEB",1
07:19,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
07:19,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
07:19,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
07:19,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
07:19,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
07:19,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
07:19,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
07:19,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
07:19,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
07:19,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
07:05,,,,,"TURNOVER  by ASHBY,KENDRICK",,,"TURNOVER  by ASHBY,KENDRICK",1
07:03,"STEAL  by JONES,BLAKE",,,,,,,"STEAL  by JONES,BLAKE",1
07:01,"TURNOVER  by JONES,BLAKE",,,,,,,"TURNOVER  by JONES,BLAKE",1
07:01,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",1
07:01,"SUB IN by CLARK,ETHAN",,,,,,,"SUB IN by CLARK,ETHAN",1
07:01,"SUB OUT by JOHNSON,CALEB",,,,,,,"SUB OUT by JOHNSON,CALEB",1
07:01,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
07:01,,,,,"SUB IN by MCINTYRE,WILL",,,"SUB IN by MCINTYRE,WILL",1
07:01,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
07:01,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
07:01,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
07:01,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
07:01,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
07:01,,,,,"SUB OUT by DE FERIA,NICK",,,"SUB OUT by DE FERIA,NICK",1
07:01,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
07:01,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
06:50,,33 (+11),,22,"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 33-22 (-11),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
06:36,"TURNOVER  by ELLINGSWORTH,COLEMAN",,,,,,,"TURNOVER  by ELLINGSWORTH,COLEMAN",1
06:33,,,,,"STEAL  by WEATHERFORD,MITCH",,,"STEAL  by WEATHERFORD,MITCH",1
06:17,,33 (+8),,25,"GOOD 3PTR by MCINTYRE,WILL",RHO 33-25 (-8),,"GOOD 3PTR by MCINTYRE,WILL",1
--,,,,,"ASSIST  by LOWRIE,ANDREW",,,"ASSIST  by LOWRIE,ANDREW",1
06:04,"GOOD JUMPER by JONES,BLAKE(fastbreak)(in the paint)",35 (+10),,25,,BCM 35-25 (-10),,"GOOD JUMPER by JONES,BLAKE(fastbreak)(in the paint)",1
05:46,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by MCLENDON,MARC",,,,,,,"REBOUND DEF by MCLENDON,MARC",1
05:26,"MISS LAYUP by MCLENDON,MARC",,,,,,,"MISS LAYUP by MCLENDON,MARC",1
--,,,,,"REBOUND DEF by MCINTYRE,WILL",,,"REBOUND DEF by MCINTYRE,WILL",1
05:20,,35 (+8),,27,"GOOD LAYUP by GEE,TYLER(fastbreak)(in the paint)",RHO 35-27 (-8),,"GOOD LAYUP by GEE,TYLER(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
05:15,"SUB IN by JOHNSON,CORY",,,,,,,"SUB IN by JOHNSON,CORY",1
05:15,"SUB IN by SPALDING,TANNER",,,,,,,"SUB IN by SPALDING,TANNER",1
05:15,"SUB IN by DENBESTEN,COLE",,,,,,,"SUB IN by DENBESTEN,COLE",1
05:15,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",1
05:15,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
05:15,"SUB OUT by CLARK,ETHAN",,,,,,,"SUB OUT by CLARK,ETHAN",1
05:15,"SUB OUT by MCCLOUD,ALTON",,,,,,,"SUB OUT by MCCLOUD,ALTON",1
05:15,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
05:15,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
05:15,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
05:15,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
05:15,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
05:15,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
05:15,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
05:15,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
05:15,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
05:15,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
05:15,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
05:07,"TURNOVER  by MCLENDON,MARC",,,,,,,"TURNOVER  by MCLENDON,MARC",1
05:04,,35 (+5),,30,"GOOD 3PTR by NYAWATA,ANESU",RHO 35-30 (-5),,"GOOD 3PTR by NYAWATA,ANESU",1
04:47,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
04:47,"GOOD FT by MARDER,NICK",36 (+6),,30,,BCM 36-30 (-6),,"GOOD FT by MARDER,NICK",1
04:47,"GOOD FT by MARDER,NICK",37 (+7),,30,,BCM 37-30 (-7),,"GOOD FT by MARDER,NICK",1
04:47,"SUB IN by JOHNSON,CALEB",,,,,,,"SUB IN by JOHNSON,CALEB",1
04:47,"SUB OUT by MCLENDON,MARC",,,,,,,"SUB OUT by MCLENDON,MARC",1
04:47,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
04:47,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
04:47,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
04:47,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
04:47,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
04:47,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
04:47,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
04:47,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
04:47,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
04:47,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
04:33,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by MARDER,NICK",,,,,,,"REBOUND DEF by MARDER,NICK",1
04:23,"GOOD LAYUP by DENBESTEN,COLE(in the paint)",39 (+9),,30,,BCM 39-30 (-9),,"GOOD LAYUP by DENBESTEN,COLE(in the paint)",1
--,"ASSIST  by SPALDING,TANNER",,,,,,,"ASSIST  by SPALDING,TANNER",1
04:06,,,,,"MISS JUMPER by WEIR,JJ",,,"MISS JUMPER by WEIR,JJ",1
--,"REBOUND DEF by JOHNSON,CALEB",,,,,,,"REBOUND DEF by JOHNSON,CALEB",1
04:04,"SUB IN by MCCLOUD,ALTON",,,,,,,"SUB IN by MCCLOUD,ALTON",1
04:04,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
04:04,"SUB OUT by DENBESTEN,COLE",,,,,,,"SUB OUT by DENBESTEN,COLE",1
04:04,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",1
04:04,,,,,"SUB IN by MCINTYRE,WILL",,,"SUB IN by MCINTYRE,WILL",1
04:04,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
04:04,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
04:04,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
04:04,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
04:04,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
04:04,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
04:04,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
03:42,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
03:35,,,,,"MISS 3PTR by MCINTYRE,WILL",,,"MISS 3PTR by MCINTYRE,WILL",1
--,,,,,"REBOUND OFF by MCINTYRE,WILL",,,"REBOUND OFF by MCINTYRE,WILL",1
03:23,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
03:23,"STEAL  by MCCLOUD,ALTON",,,,,,,"STEAL  by MCCLOUD,ALTON",1
03:21,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",41 (+11),,30,,BCM 41-30 (-11),,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",1
--,"ASSIST  by MCCLOUD,ALTON",,,,,,,"ASSIST  by MCCLOUD,ALTON",1
03:08,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",1
03:08,"BLOCK  by MCCLOUD,ALTON",,,,,,,"BLOCK  by MCCLOUD,ALTON",1
--,"REBOUND DEF by JOHNSON,CORY",,,,,,,"REBOUND DEF by JOHNSON,CORY",1
03:05,"TURNOVER  by JOHNSON,CORY",,,,,,,"TURNOVER  by JOHNSON,CORY",1
03:05,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
03:05,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",1
03:05,"SUB OUT by JOHNSON,CORY",,,,,,,"SUB OUT by JOHNSON,CORY",1
03:05,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
03:05,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
03:05,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
03:05,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
03:05,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
03:05,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
03:05,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
03:05,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
03:05,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
03:05,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
02:59,,,,,"MISS LAYUP by DARST,DANIEL",,,"MISS LAYUP by DARST,DANIEL",1
--,,,,,"REBOUND OFF by NYAWATA,ANESU",,,"REBOUND OFF by NYAWATA,ANESU",1
02:52,"FOUL  by SPALDING,TANNER",,,,,,,"FOUL  by SPALDING,TANNER",1
02:52,,41 (+10),,31,"GOOD FT by NYAWATA,ANESU",RHO 41-31 (-10),,"GOOD FT by NYAWATA,ANESU",1
02:52,,41 (+9),,32,"GOOD FT by NYAWATA,ANESU",RHO 41-32 (-9),,"GOOD FT by NYAWATA,ANESU",1
02:52,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",1
02:52,"SUB OUT by SPALDING,TANNER",,,,,,,"SUB OUT by SPALDING,TANNER",1
02:49,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",43 (+11),,32,,BCM 43-32 (-11),,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",1
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",1
02:49,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",1
02:48,"MISS FT by JOHNSON,CALEB",,,,,,,"MISS FT by JOHNSON,CALEB",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:46,"STEAL  by GREEN,CADE",,,,,,,"STEAL  by GREEN,CADE",1
02:39,"MISS 3PTR by MARDER,NICK",,,,,,,"MISS 3PTR by MARDER,NICK",1
02:39,,,,,"BLOCK  by GIROUX,PRESTON",,,"BLOCK  by GIROUX,PRESTON",1
--,"REBOUND OFF by MARDER,NICK",,,,,,,"REBOUND OFF by MARDER,NICK",1
02:05,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",45 (+13),,32,,BCM 45-32 (-13),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",1
--,"ASSIST  by MARDER,NICK",,,,,,,"ASSIST  by MARDER,NICK",1
01:54,,,,,"MISS LAYUP by GALVIN,OWEN",,,"MISS LAYUP by GALVIN,OWEN",1
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",1
01:48,,,,,"TURNOVER  by DALTON,PRICE",,,"TURNOVER  by DALTON,PRICE",1
01:45,"STEAL  by MCCLOUD,ALTON",,,,,,,"STEAL  by MCCLOUD,ALTON",1
01:43,"MISS LAYUP by JONES,BLAKE",,,,,,,"MISS LAYUP by JONES,BLAKE",1
--,,,,,"REBOUND DEF by GALVIN,OWEN",,,"REBOUND DEF by GALVIN,OWEN",1
01:34,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
01:34,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
01:34,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
01:34,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
01:34,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
01:34,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
01:34,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
01:34,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
01:34,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
01:34,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
01:34,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
01:21,"TURNOVER  by ELLINGSWORTH,COLEMAN",,,,,,,"TURNOVER  by ELLINGSWORTH,COLEMAN",1
01:19,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",1
01:16,,45 (+10),,35,"GOOD 3PTR by NESTLEHUTT,JAKE(fastbreak)(in the paint)",RHO 45-35 (-10),,"GOOD 3PTR by NESTLEHUTT,JAKE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
00:55,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
00:55,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
00:55,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
00:55,,,,,"SUB IN by MCINTYRE,WILL",,,"SUB IN by MCINTYRE,WILL",1
00:55,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
00:55,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
00:55,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
00:55,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
00:43,"MISS JUMPER by ELLINGSWORTH,COLEMAN",,,,,,,"MISS JUMPER by ELLINGSWORTH,COLEMAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:42,"FOUL  by JOHNSON,CALEB",,,,,,,"FOUL  by JOHNSON,CALEB",1
00:32,"FOUL  by JOHNSON,CALEB",,,,,,,"FOUL  by JOHNSON,CALEB",1
00:32,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
00:32,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
00:28,,45 (+8),,37,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",RHO 45-37 (-8),,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",1
00:01,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",2
20:00,,,,,"SUB IN by MCINTYRE,WILL",,,"SUB IN by MCINTYRE,WILL",2
20:00,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",2
20:00,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",2
19:49,"GOOD JUMPER by JOHNSON,CALEB(in the paint)",47 (+10),,37,,BCM 47-37 (-10),,"GOOD JUMPER by JOHNSON,CALEB(in the paint)",2
19:32,,47 (+8),,39,"GOOD JUMPER by GEE,TYLER",RHO 47-39 (-8),,"GOOD JUMPER by GEE,TYLER",2
19:06,"TURNOVER  by JONES,BLAKE",,,,,,,"TURNOVER  by JONES,BLAKE",2
19:05,,,,,"STEAL  by MCINTYRE,WILL",,,"STEAL  by MCINTYRE,WILL",2
18:54,,47 (+5),,42,"GOOD 3PTR by DALTON,PRICE",RHO 47-42 (-5),,"GOOD 3PTR by DALTON,PRICE",2
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",2
18:40,"GOOD LAYUP by MARDER,NICK(in the paint)",49 (+7),,42,,BCM 49-42 (-7),,"GOOD LAYUP by MARDER,NICK(in the paint)",2
18:22,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",2
--,"REBOUND DEF by MARDER,NICK",,,,,,,"REBOUND DEF by MARDER,NICK",2
18:04,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",2
--,"REBOUND OFF by JONES,BLAKE",,,,,,,"REBOUND OFF by JONES,BLAKE",2
17:47,"MISS JUMPER by SPALDING,TANNER",,,,,,,"MISS JUMPER by SPALDING,TANNER",2
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",2
17:38,"TURNOVER  by MARDER,NICK",,,,,,,"TURNOVER  by MARDER,NICK",2
17:38,"FOUL  by MARDER,NICK",,,,,,,"FOUL  by MARDER,NICK",2
17:38,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",2
17:38,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",2
17:38,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",2
17:38,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",2
17:38,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",2
17:38,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",2
17:38,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",2
17:38,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",2
17:38,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",2
17:38,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",2
17:34,,49 (+5),,44,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",RHO 49-44 (-5),,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",2
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",2
17:19,"TURNOVER  by SPALDING,TANNER",,,,,,,"TURNOVER  by SPALDING,TANNER",2
17:11,,,,,"MISS 3PTR by DARST,DANIEL",,,"MISS 3PTR by DARST,DANIEL",2
--,"REBOUND DEF by MARDER,NICK",,,,,,,"REBOUND DEF by MARDER,NICK",2
16:56,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",51 (+7),,44,,BCM 51-44 (-7),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",2
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",2
16:45,"FOUL  by SPALDING,TANNER",,,,,,,"FOUL  by SPALDING,TANNER",2
16:43,,,,,"MISS 3PTR by DE FERIA,NICK",,,"MISS 3PTR by DE FERIA,NICK",2
--,"REBOUND DEF by MCCLOUD,ALTON",,,,,,,"REBOUND DEF by MCCLOUD,ALTON",2
16:43,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",2
16:43,"SUB OUT by SPALDING,TANNER",,,,,,,"SUB OUT by SPALDING,TANNER",2
16:37,"MISS 3PTR by MCCLOUD,ALTON",,,,,,,"MISS 3PTR by MCCLOUD,ALTON",2
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",2
16:11,,,,,"MISS 3PTR by NYAWATA,ANESU",,,"MISS 3PTR by NYAWATA,ANESU",2
--,,,,,"REBOUND OFF by NYAWATA,ANESU",,,"REBOUND OFF by NYAWATA,ANESU",2
15:53,,51 (+4),,47,"GOOD 3PTR by NYAWATA,ANESU",RHO 51-47 (-4),,"GOOD 3PTR by NYAWATA,ANESU",2
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",2
15:52,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
15:52,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",2
