Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
15:47,"SUB OUT by DAVIS,RON",,,,,,,"SUB OUT by DAVIS,RON",1
15:47,"SUB OUT by PRICE,VICTOR",,,,,,,"SUB OUT by PRICE,VICTOR",1
15:47,"SUB OUT by PRESSLEY,BRANDON",,,,,,,"SUB OUT by PRESSLEY,BRANDON",1
15:47,"SUB OUT by COMENGE,CHRISTIAN",,,,,,,"SUB OUT by COMENGE,CHRISTIAN",1
15:47,"SUB IN by PATTERSON,KYLE",,,,,,,"SUB IN by PATTERSON,KYLE",1
15:47,"SUB IN by SIMPSON,DAVID",,,,,,,"SUB IN by SIMPSON,DAVID",1
15:47,"SUB IN by PRICE,VICTOR",,,,,,,"SUB IN by PRICE,VICTOR",1
15:47,"SUB IN by COLE,DAVID",,,,,,,"SUB IN by COLE,DAVID",1
15:47,"SUB IN by VAN HEERINGEN,GIAN",,,,,,,"SUB IN by VAN HEERINGEN,GIAN",1
15:36,"MISS 3PTR by PRICE,VICTOR",,,,,,,"MISS 3PTR by PRICE,VICTOR",1
--,,,,,"REBOUND DEF by HARRISON,IAN",,,"REBOUND DEF by HARRISON,IAN",1
15:23,,,,,"MISS JUMPER by LOWRIE,ANDREW",,,"MISS JUMPER by LOWRIE,ANDREW",1
--,,,,,"REBOUND OFF by HARRISON,IAN",,,"REBOUND OFF by HARRISON,IAN",1
15:20,,13,,14 (+1),"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 13-14 (+1),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by HARRISON,IAN",,,"ASSIST  by HARRISON,IAN",1
15:03,"TURNOVER  by VAN HEERINGEN,GIAN",,,,,,,"TURNOVER  by VAN HEERINGEN,GIAN",1
15:02,,,,,"STEAL  by BERRY,BRYCE",,,"STEAL  by BERRY,BRYCE",1
15:01,"FOUL  by COLE,DAVID",,,,,,,"FOUL  by COLE,DAVID",1
15:01,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
15:01,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
15:01,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
15:01,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
15:01,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
15:01,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
15:01,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
15:01,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
15:01,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
15:01,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
14:56,,,,,"MISS 3PTR by DE FERIA,NICK",,,"MISS 3PTR by DE FERIA,NICK",1
--,,,,,"REBOUND OFF by ASHBY,KENDRICK",,,"REBOUND OFF by ASHBY,KENDRICK",1
14:52,,,,,"MISS LAYUP by ASHBY,KENDRICK",,,"MISS LAYUP by ASHBY,KENDRICK",1
--,"REBOUND DEF by VAN HEERINGEN,GIAN",,,,,,,"REBOUND DEF by VAN HEERINGEN,GIAN",1
14:45,"MISS 3PTR by SIMPSON,DAVID",,,,,,,"MISS 3PTR by SIMPSON,DAVID",1
--,,,,,"REBOUND DEF by ASHBY,KENDRICK",,,"REBOUND DEF by ASHBY,KENDRICK",1
14:34,,,,,"MISS 3PTR by DE FERIA,NICK",,,"MISS 3PTR by DE FERIA,NICK",1
--,"REBOUND DEF by VAN HEERINGEN,GIAN",,,,,,,"REBOUND DEF by VAN HEERINGEN,GIAN",1
14:26,"TURNOVER  by VAN HEERINGEN,GIAN",,,,,,,"TURNOVER  by VAN HEERINGEN,GIAN",1
14:26,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
14:26,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
14:26,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
14:26,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
14:26,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
14:26,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
14:26,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
