Time Remaining,EAS,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by GOSEY,JORDAN",,,,,,,"REBOUND DEF by GOSEY,JORDAN",1
18:24,"GOOD LAYUP by QUILLAN,JORDAN(in the paint)",4 (+4),,0,,EAS 4-0 (-4),,"GOOD LAYUP by QUILLAN,JORDAN(in the paint)",1
--,"ASSIST  by AUGUSTINE,DYLAN",,,,,,,"ASSIST  by AUGUSTINE,DYLAN",1
18:06,"FOUL  by BROWN,LANDIN",,,,,,,"FOUL  by BROWN,LANDIN",1
18:06,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
18:06,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
18:06,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
18:06,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
18:06,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
18:06,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
18:06,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
18:06,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
18:06,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
18:06,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
17:58,,,,,"MISS LAYUP by DARST,DANIEL",,,"MISS LAYUP by DARST,DANIEL",1
17:58,"BLOCK  by GOSEY,JORDAN",,,,,,,"BLOCK  by GOSEY,JORDAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
17:57,"SUB OUT by AUGUSTINE,DYLAN",,,,,,,"SUB OUT by AUGUSTINE,DYLAN",1
17:57,"SUB OUT by DOOLEY,ROBBY",,,,,,,"SUB OUT by DOOLEY,ROBBY",1
17:57,"SUB OUT by QUILLAN,JORDAN",,,,,,,"SUB OUT by QUILLAN,JORDAN",1
17:57,"SUB OUT by BARRETT,CHRIS",,,,,,,"SUB OUT by BARRETT,CHRIS",1
17:57,"SUB OUT by STANLEY,CLAYTON",,,,,,,"SUB OUT by STANLEY,CLAYTON",1
17:57,"SUB IN by THOMAS,WILL",,,,,,,"SUB IN by THOMAS,WILL",1
17:57,"SUB IN by AUGUSTINE,DYLAN",,,,,,,"SUB IN by AUGUSTINE,DYLAN",1
17:57,"SUB IN by MCKNIGHT,JAY",,,,,,,"SUB IN by MCKNIGHT,JAY",1
17:57,"SUB IN by DOOLEY,ROBBY",,,,,,,"SUB IN by DOOLEY,ROBBY",1
17:57,"SUB IN by GOSEY,JORDAN",,,,,,,"SUB IN by GOSEY,JORDAN",1
17:44,,,,,"MISS 3PTR by DARST,DANIEL",,,"MISS 3PTR by DARST,DANIEL",1
--,"REBOUND DEF by MCKNIGHT,JAY",,,,,,,"REBOUND DEF by MCKNIGHT,JAY",1
17:36,"TURNOVER  by MCKNIGHT,JAY",,,,,,,"TURNOVER  by MCKNIGHT,JAY",1
17:36,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",1
17:36,"FOUL  by AUGUSTINE,DYLAN",,,,,,,"FOUL  by AUGUSTINE,DYLAN",1
17:36,,4 (+3),,1,"GOOD FT by DARST,DANIEL",RHO 4-1 (-3),,"GOOD FT by DARST,DANIEL",1
17:36,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
17:36,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
17:36,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
17:36,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
17:36,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
17:36,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
17:36,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
17:36,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
17:36,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
17:36,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
17:36,"SUB IN by RICHARD,PAUL",,,,,,,"SUB IN by RICHARD,PAUL",1
17:36,"SUB OUT by DOOLEY,ROBBY",,,,,,,"SUB OUT by DOOLEY,ROBBY",1
17:36,,4 (+2),,2,"GOOD FT by DARST,DANIEL",RHO 4-2 (-2),,"GOOD FT by DARST,DANIEL",1
17:36,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
17:36,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
17:36,"SUB IN by STANLEY,CLAYTON",,,,,,,"SUB IN by STANLEY,CLAYTON",1
17:36,"SUB OUT by GOSEY,JORDAN",,,,,,,"SUB OUT by GOSEY,JORDAN",1
17:31,"GOOD LAYUP by MCKNIGHT,JAY(fastbreak)(in the paint)",6 (+4),,2,,EAS 6-2 (-4),,"GOOD LAYUP by MCKNIGHT,JAY(fastbreak)(in the paint)",1
--,"ASSIST  by RICHARD,PAUL",,,,,,,"ASSIST  by RICHARD,PAUL",1
17:22,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by THOMAS,WILL",,,,,,,"REBOUND DEF by THOMAS,WILL",1
17:17,,,,,"FOUL  by BERRY,BRYCE",,,"FOUL  by BERRY,BRYCE",1
17:17,"SUB IN by DAY,TYLER",,,,,,,"SUB IN by DAY,TYLER",1
17:17,"SUB OUT by AUGUSTINE,DYLAN",,,,,,,"SUB OUT by AUGUSTINE,DYLAN",1
17:15,"TURNOVER  by THOMAS,WILL",,,,,,,"TURNOVER  by THOMAS,WILL",1
17:14,,,,,"STEAL  by SULLIVAN,BRENNAN",,,"STEAL  by SULLIVAN,BRENNAN",1
17:10,,6 (+2),,4,"GOOD LAYUP by WEIR,JJ(in the paint)",RHO 6-4 (-2),,"GOOD LAYUP by WEIR,JJ(in the paint)",1
17:02,"TURNOVER  by DAY,TYLER",,,,,,,"TURNOVER  by DAY,TYLER",1
17:01,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",1
16:59,,6,,7 (+1),"GOOD 3PTR by BERRY,BRYCE(fastbreak)",RHO 6-7 (+1),,"GOOD 3PTR by BERRY,BRYCE(fastbreak)",1
--,,,,,"ASSIST  by LOWRIE,ANDREW",,,"ASSIST  by LOWRIE,ANDREW",1
16:52,,,,,"FOUL  by BERRY,BRYCE",,,"FOUL  by BERRY,BRYCE",1
16:52,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
16:52,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
16:52,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
16:52,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
16:52,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
16:52,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
16:52,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
16:52,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
16:52,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
16:52,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
16:40,"TURNOVER  by THOMAS,WILL",,,,,,,"TURNOVER  by THOMAS,WILL",1
16:39,,,,,"STEAL  by WEATHERFORD,MITCH",,,"STEAL  by WEATHERFORD,MITCH",1
16:33,,,,,"MISS LAYUP by WEATHERFORD,MITCH",,,"MISS LAYUP by WEATHERFORD,MITCH",1
16:33,"BLOCK  by THOMAS,WILL",,,,,,,"BLOCK  by THOMAS,WILL",1
--,"REBOUND DEF by THOMAS,WILL",,,,,,,"REBOUND DEF by THOMAS,WILL",1
16:25,,,,,"FOUL  by NESTLEHUTT,JAKE",,,"FOUL  by NESTLEHUTT,JAKE",1
16:20,"TURNOVER  by RICHARD,PAUL",,,,,,,"TURNOVER  by RICHARD,PAUL",1
16:20,,,,,"STEAL  by NESTLEHUTT,JAKE",,,"STEAL  by NESTLEHUTT,JAKE",1
16:14,,,,,"TURNOVER  by GALVIN,OWEN",,,"TURNOVER  by GALVIN,OWEN",1
16:14,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
16:14,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
16:14,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
16:14,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
16:14,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
16:14,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
16:14,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
16:14,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
16:14,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
16:14,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
16:10,"TURNOVER  by DAY,TYLER",,,,,,,"TURNOVER  by DAY,TYLER",1
16:02,,,,,"TURNOVER  by ASHBY,KENDRICK",,,"TURNOVER  by ASHBY,KENDRICK",1
15:42,"MISS 3PTR by MCKNIGHT,JAY",,,,,,,"MISS 3PTR by MCKNIGHT,JAY",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
15:25,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND OFF by GIROUX,PRESTON",,,"REBOUND OFF by GIROUX,PRESTON",1
15:14,"FOUL  by THOMAS,WILL",,,,,,,"FOUL  by THOMAS,WILL",1
15:14,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
15:14,"SUB OUT by AUGUSTINE,DYLAN",,,,,,,"SUB OUT by AUGUSTINE,DYLAN",1
15:14,"SUB OUT by DOOLEY,ROBBY",,,,,,,"SUB OUT by DOOLEY,ROBBY",1
15:14,"SUB OUT by QUILLAN,JORDAN",,,,,,,"SUB OUT by QUILLAN,JORDAN",1
15:14,"SUB OUT by BARRETT,CHRIS",,,,,,,"SUB OUT by BARRETT,CHRIS",1
15:14,"SUB OUT by STANLEY,CLAYTON",,,,,,,"SUB OUT by STANLEY,CLAYTON",1
15:14,"SUB IN by DAY,TYLER",,,,,,,"SUB IN by DAY,TYLER",1
15:14,"SUB IN by MCKNIGHT,JAY",,,,,,,"SUB IN by MCKNIGHT,JAY",1
15:14,"SUB IN by ROBINSON,DAVIS",,,,,,,"SUB IN by ROBINSON,DAVIS",1
15:14,"SUB IN by QUILLAN,JORDAN",,,,,,,"SUB IN by QUILLAN,JORDAN",1
15:14,"SUB IN by BARRETT,CHRIS",,,,,,,"SUB IN by BARRETT,CHRIS",1
15:03,,6,,10 (+4),"GOOD 3PTR by DARST,DANIEL",RHO 6-10 (+4),,"GOOD 3PTR by DARST,DANIEL",1
--,,,,,"ASSIST  by DE FERIA,NICK",,,"ASSIST  by DE FERIA,NICK",1
14:48,"MISS LAYUP by QUILLAN,JORDAN",,,,,,,"MISS LAYUP by QUILLAN,JORDAN",1
14:48,,,,,"BLOCK  by ASHBY,KENDRICK",,,"BLOCK  by ASHBY,KENDRICK",1
--,,,,,"REBOUND DEF by GIROUX,PRESTON",,,"REBOUND DEF by GIROUX,PRESTON",1
14:24,"FOUL  by BARRETT,CHRIS",,,,,,,"FOUL  by BARRETT,CHRIS",1
14:24,,6,,11 (+5),"GOOD FT by SULLIVAN,BRENNAN",RHO 6-11 (+5),,"GOOD FT by SULLIVAN,BRENNAN",1
14:24,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
14:24,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
14:24,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
14:24,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
14:24,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
14:24,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
14:24,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
14:24,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
14:24,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
14:24,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
14:24,"SUB OUT by AUGUSTINE,DYLAN",,,,,,,"SUB OUT by AUGUSTINE,DYLAN",1
14:24,"SUB OUT by DOOLEY,ROBBY",,,,,,,"SUB OUT by DOOLEY,ROBBY",1
14:24,"SUB OUT by QUILLAN,JORDAN",,,,,,,"SUB OUT by QUILLAN,JORDAN",1
14:24,"SUB OUT by BARRETT,CHRIS",,,,,,,"SUB OUT by BARRETT,CHRIS",1
14:24,"SUB OUT by STANLEY,CLAYTON",,,,,,,"SUB OUT by STANLEY,CLAYTON",1
14:24,"SUB IN by BROWN,LANDIN",,,,,,,"SUB IN by BROWN,LANDIN",1
14:24,"SUB IN by AUGUSTINE,DYLAN",,,,,,,"SUB IN by AUGUSTINE,DYLAN",1
14:24,"SUB IN by ROBINSON,DAVIS",,,,,,,"SUB IN by ROBINSON,DAVIS",1
14:24,"SUB IN by QUILLAN,JORDAN",,,,,,,"SUB IN by QUILLAN,JORDAN",1
14:24,"SUB IN by BARRETT,CHRIS",,,,,,,"SUB IN by BARRETT,CHRIS",1
14:24,,6,,12 (+6),"GOOD FT by SULLIVAN,BRENNAN",RHO 6-12 (+6),,"GOOD FT by SULLIVAN,BRENNAN",1
14:24,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
14:24,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
14:17,"GOOD LAYUP by BARRETT,CHRIS(fastbreak)(in the paint)",8,,12 (+4),,EAS 8-12 (+4),,"GOOD LAYUP by BARRETT,CHRIS(fastbreak)(in the paint)",1
14:02,"FOUL  by BARRETT,CHRIS",,,,,,,"FOUL  by BARRETT,CHRIS",1
14:02,,,,,"MISS FT by NYAWATA,ANESU",,,"MISS FT by NYAWATA,ANESU",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:02,"SUB IN by DOOLEY,ROBBY",,,,,,,"SUB IN by DOOLEY,ROBBY",1
14:02,"SUB OUT by BARRETT,CHRIS",,,,,,,"SUB OUT by BARRETT,CHRIS",1
14:02,,,,,"MISS FT by NYAWATA,ANESU",,,"MISS FT by NYAWATA,ANESU",1
--,"REBOUND DEF by ROBINSON,DAVIS",,,,,,,"REBOUND DEF by ROBINSON,DAVIS",1
13:55,"TURNOVER  by AUGUSTINE,DYLAN",,,,,,,"TURNOVER  by AUGUSTINE,DYLAN",1
13:54,,,,,"STEAL  by BERRY,BRYCE",,,"STEAL  by BERRY,BRYCE",1
13:52,,,,,"TURNOVER  by BERRY,BRYCE",,,"TURNOVER  by BERRY,BRYCE",1
13:51,"STEAL  by DOOLEY,ROBBY",,,,,,,"STEAL  by DOOLEY,ROBBY",1
13:38,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",10,,12 (+2),,EAS 10-12 (+2),,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",1
--,"ASSIST  by AUGUSTINE,DYLAN",,,,,,,"ASSIST  by AUGUSTINE,DYLAN",1
13:28,,,,,"MISS 3PTR by WEIR,JJ",,,"MISS 3PTR by WEIR,JJ",1
--,"REBOUND DEF by QUILLAN,JORDAN",,,,,,,"REBOUND DEF by QUILLAN,JORDAN",1
13:18,,,,,"FOUL  by NYAWATA,ANESU",,,"FOUL  by NYAWATA,ANESU",1
13:18,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
13:18,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
13:18,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
13:18,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
13:18,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
13:18,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
13:18,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
13:18,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
13:18,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
13:18,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
13:07,"GOOD LAYUP by QUILLAN,JORDAN(in the paint)",12,,12,,EAS 12-12 (0),,"GOOD LAYUP by QUILLAN,JORDAN(in the paint)",1
13:00,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",1
12:52,,,,,"TURNOVER  by GALVIN,OWEN",,,"TURNOVER  by GALVIN,OWEN",1
12:52,"STEAL  by AUGUSTINE,DYLAN",,,,,,,"STEAL  by AUGUSTINE,DYLAN",1
12:48,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
12:48,"SUB IN by GOSEY,JORDAN",,,,,,,"SUB IN by GOSEY,JORDAN",1
12:48,"SUB OUT by QUILLAN,JORDAN",,,,,,,"SUB OUT by QUILLAN,JORDAN",1
12:45,"MISS LAYUP by DOOLEY,ROBBY",,,,,,,"MISS LAYUP by DOOLEY,ROBBY",1
--,"REBOUND OFF by ROBINSON,DAVIS",,,,,,,"REBOUND OFF by ROBINSON,DAVIS",1
12:40,"TURNOVER  by ROBINSON,DAVIS",,,,,,,"TURNOVER  by ROBINSON,DAVIS",1
12:40,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
12:40,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
12:40,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
12:40,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
12:40,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
12:40,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
12:40,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
12:40,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
12:40,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
12:40,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
12:33,,,,,"MISS 3PTR by DE FERIA,NICK",,,"MISS 3PTR by DE FERIA,NICK",1
--,"REBOUND DEF by ROBINSON,DAVIS",,,,,,,"REBOUND DEF by ROBINSON,DAVIS",1
12:23,"GOOD LAYUP by AUGUSTINE,DYLAN(fastbreak)(in the paint)",14 (+2),,12,,EAS 14-12 (-2),,"GOOD LAYUP by AUGUSTINE,DYLAN(fastbreak)(in the paint)",1
12:13,"FOUL  by ROBINSON,DAVIS",,,,,,,"FOUL  by ROBINSON,DAVIS",1
12:13,,14 (+1),,13,"GOOD FT by DARST,DANIEL",RHO 14-13 (-1),,"GOOD FT by DARST,DANIEL",1
12:13,,14,,14,"GOOD FT by DARST,DANIEL",RHO 14-14 (0),,"GOOD FT by DARST,DANIEL",1
12:08,"GOOD 3PTR by AUGUSTINE,DYLAN(fastbreak)",17 (+3),,14,,EAS 17-14 (-3),,"GOOD 3PTR by AUGUSTINE,DYLAN(fastbreak)",1
--,"ASSIST  by BROWN,LANDIN",,,,,,,"ASSIST  by BROWN,LANDIN",1
11:45,,17 (+1),,16,"GOOD JUMPER by DARST,DANIEL",RHO 17-16 (-1),,"GOOD JUMPER by DARST,DANIEL",1
11:31,"GOOD LAYUP by AUGUSTINE,DYLAN(fastbreak)(in the paint)",19 (+3),,16,,EAS 19-16 (-3),,"GOOD LAYUP by AUGUSTINE,DYLAN(fastbreak)(in the paint)",1
--,"ASSIST  by BROWN,LANDIN",,,,,,,"ASSIST  by BROWN,LANDIN",1
11:20,,19,,19,"GOOD 3PTR by GEE,TYLER",RHO 19-19 (0),,"GOOD 3PTR by GEE,TYLER",1
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1
11:02,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",21 (+2),,19,,EAS 21-19 (-2),,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",1
--,"ASSIST  by BROWN,LANDIN",,,,,,,"ASSIST  by BROWN,LANDIN",1
10:46,,,,,"FOUL  by DE FERIA,NICK",,,"FOUL  by DE FERIA,NICK",1
10:46,,,,,"TURNOVER  by DE FERIA,NICK",,,"TURNOVER  by DE FERIA,NICK",1
10:46,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
10:46,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
10:46,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
10:46,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
10:46,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
10:46,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
10:46,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
10:46,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
10:46,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
10:46,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
10:46,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
10:46,"SUB OUT by AUGUSTINE,DYLAN",,,,,,,"SUB OUT by AUGUSTINE,DYLAN",1
10:46,"SUB OUT by DOOLEY,ROBBY",,,,,,,"SUB OUT by DOOLEY,ROBBY",1
10:46,"SUB OUT by QUILLAN,JORDAN",,,,,,,"SUB OUT by QUILLAN,JORDAN",1
10:46,"SUB OUT by BARRETT,CHRIS",,,,,,,"SUB OUT by BARRETT,CHRIS",1
