Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,MIL,Game Score,Team Indicator,Play,Period
16:07,,,,,"TURNOVER  by TULLOS,ZACHARY",,,"TURNOVER  by TULLOS,ZACHARY",1
16:04,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",1
16:04,"GOOD FT by ASHBY,KENDRICK",9 (+3),,6,,RHO 9-6 (+3),,"GOOD FT by ASHBY,KENDRICK",1
16:04,"GOOD FT by ASHBY,KENDRICK",10 (+4),,6,,RHO 10-6 (+4),,"GOOD FT by ASHBY,KENDRICK",1
16:04,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
16:04,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
16:04,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
16:04,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
16:04,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
16:04,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
16:04,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
16:04,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
16:04,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
16:04,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
15:56,,,,,"TURNOVER  by COLEMAN,DANIEL",,,"TURNOVER  by COLEMAN,DANIEL",1
15:56,,,,,"FOUL  by COLEMAN,DANIEL",,,"FOUL  by COLEMAN,DANIEL",1
15:49,"GOOD 3PTR by DALTON,PRICE",13 (+7),,6,,RHO 13-6 (+7),,"GOOD 3PTR by DALTON,PRICE",1
--,"ASSIST  by DARST,DANIEL",,,,,,,"ASSIST  by DARST,DANIEL",1
15:41,,,,,"SUB IN by MANNING,JOHNATHAN",,,"SUB IN by MANNING,JOHNATHAN",1
15:41,,,,,"SUB OUT by COLEMAN,DANIEL",,,"SUB OUT by COLEMAN,DANIEL",1
15:36,"FOUL  by DARST,DANIEL",,,,,,,"FOUL  by DARST,DANIEL",1
15:36,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
15:36,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
15:36,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
15:36,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
15:36,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
15:36,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
15:36,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
15:36,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
15:36,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
15:36,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
15:36,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
15:36,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",1
15:36,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
15:36,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
15:36,,,,,"SUB OUT by MASON,WADE",,,"SUB OUT by MASON,WADE",1
15:36,,,,,"SUB OUT by BURT,DERRICK",,,"SUB OUT by BURT,DERRICK",1
15:34,,13 (+4),,9,"GOOD 3PTR by GARDNER,ROBERT",MIL 13-9 (+4),,"GOOD 3PTR by GARDNER,ROBERT",1
--,,,,,"ASSIST  by BLANZ,BUCK",,,"ASSIST  by BLANZ,BUCK",1
15:34,"FOUL  by LOWRIE,ANDREW",,,,,,,"FOUL  by LOWRIE,ANDREW",1
15:34,,13 (+3),,10,"GOOD FT by GARDNER,ROBERT",MIL 13-10 (+3),,"GOOD FT by GARDNER,ROBERT",1
15:34,"GOOD 3PTR by NESTLEHUTT,JAKE",16 (+6),,10,,RHO 16-10 (+6),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
--,"ASSIST  by WEIR,JJ",,,,,,,"ASSIST  by WEIR,JJ",1
15:34,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
15:34,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
