Time Remaining,BLU,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
18:21,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
18:21,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
18:21,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
18:21,"SUB IN by HUNTER,ANDREW",,,,,,,"SUB IN by HUNTER,ANDREW",1
18:21,"SUB OUT by RENNER,ANDREW",,,,,,,"SUB OUT by RENNER,ANDREW",1
18:21,,,,,"TURNOVER  by GALVIN,OWEN",,,"TURNOVER  by GALVIN,OWEN",1
18:21,,,,,"FOUL  by GALVIN,OWEN",,,"FOUL  by GALVIN,OWEN",1
18:13,"GOOD LAYUP by ROHDE,AUSTIN(in the paint)",7 (+2),,5,,BLU 7-5 (-2),,"GOOD LAYUP by ROHDE,AUSTIN(in the paint)",1
--,"ASSIST  by WENTLING,JARED",,,,,,,"ASSIST  by WENTLING,JARED",1
17:54,,7,,7,"GOOD JUMPER by NYAWATA,ANESU(in the paint)",RHO 7-7 (0),,"GOOD JUMPER by NYAWATA,ANESU(in the paint)",1
17:41,"GOOD LAYUP by WENTLING,JARED(in the paint)",9 (+2),,7,,BLU 9-7 (-2),,"GOOD LAYUP by WENTLING,JARED(in the paint)",1
--,"ASSIST  by ELCHERT,TREY",,,,,,,"ASSIST  by ELCHERT,TREY",1
17:21,,9,,9,"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 9-9 (0),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
16:56,"TURNOVER  by ELCHERT,TREY",,,,,,,"TURNOVER  by ELCHERT,TREY",1
16:55,,,,,"STEAL  by NYAWATA,ANESU",,,"STEAL  by NYAWATA,ANESU",1
16:52,,9,,11 (+2),"GOOD LAYUP by GALVIN,OWEN(fastbreak)(in the paint)",RHO 9-11 (+2),,"GOOD LAYUP by GALVIN,OWEN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",1
16:37,"GOOD LAYUP by WENTLING,JARED(in the paint)",11,,11,,BLU 11-11 (0),,"GOOD LAYUP by WENTLING,JARED(in the paint)",1
--,"ASSIST  by HUNTER,ANDREW",,,,,,,"ASSIST  by HUNTER,ANDREW",1
16:30,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
16:30,,,,,"FOUL  by WEATHERFORD,MITCH",,,"FOUL  by WEATHERFORD,MITCH",1
16:30,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
16:30,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
16:30,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
16:30,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
16:30,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
16:30,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
16:30,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
16:30,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
16:30,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
16:30,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
16:30,"SUB IN by MOORE,AUSTIN",,,,,,,"SUB IN by MOORE,AUSTIN",1
16:30,"SUB OUT by HUNTER,ANDREW",,,,,,,"SUB OUT by HUNTER,ANDREW",1
16:30,"SUB OUT by RENNER,ANDREW",,,,,,,"SUB OUT by RENNER,ANDREW",1
16:30,"SUB OUT by ELCHERT,TREY",,,,,,,"SUB OUT by ELCHERT,TREY",1
16:30,"SUB OUT by MAKSVYTIS,MARTIN",,,,,,,"SUB OUT by MAKSVYTIS,MARTIN",1
16:30,"SUB OUT by WENTLING,JARED",,,,,,,"SUB OUT by WENTLING,JARED",1
16:30,"SUB OUT by ROHDE,AUSTIN",,,,,,,"SUB OUT by ROHDE,AUSTIN",1
16:30,"SUB IN by CHRISTIE,KEVIN",,,,,,,"SUB IN by CHRISTIE,KEVIN",1
16:30,"SUB IN by ELCHERT,TREY",,,,,,,"SUB IN by ELCHERT,TREY",1
16:30,"SUB IN by MOORE,AUSTIN",,,,,,,"SUB IN by MOORE,AUSTIN",1
16:30,"SUB IN by WENTLING,JARED",,,,,,,"SUB IN by WENTLING,JARED",1
16:30,"SUB IN by DOWDY,JUSTIS",,,,,,,"SUB IN by DOWDY,JUSTIS",1
16:24,"GOOD LAYUP by WENTLING,JARED(fastbreak)(in the paint)",13 (+2),,11,,BLU 13-11 (-2),,"GOOD LAYUP by WENTLING,JARED(fastbreak)(in the paint)",1
--,"ASSIST  by DOWDY,JUSTIS",,,,,,,"ASSIST  by DOWDY,JUSTIS",1
16:11,,,,,"MISS LAYUP by SULLIVAN,BRENNAN",,,"MISS LAYUP by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by WENTLING,JARED",,,,,,,"REBOUND DEF by WENTLING,JARED",1
16:02,"GOOD 3PTR by DOWDY,JUSTIS(fastbreak)",16 (+5),,11,,BLU 16-11 (-5),,"GOOD 3PTR by DOWDY,JUSTIS(fastbreak)",1
--,"ASSIST  by ELCHERT,TREY",,,,,,,"ASSIST  by ELCHERT,TREY",1
15:52,,16 (+3),,13,"GOOD LAYUP by ASHBY,KENDRICK(fastbreak)(in the paint)",RHO 16-13 (-3),,"GOOD LAYUP by ASHBY,KENDRICK(fastbreak)(in the paint)",1
15:44,"TURNOVER  by ELCHERT,TREY",,,,,,,"TURNOVER  by ELCHERT,TREY",1
15:39,,,,,"STEAL  by ASHBY,KENDRICK",,,"STEAL  by ASHBY,KENDRICK",1
15:38,,16,,16,"GOOD 3PTR by SULLIVAN,BRENNAN(fastbreak)",RHO 16-16 (0),,"GOOD 3PTR by SULLIVAN,BRENNAN(fastbreak)",1
--,,,,,"ASSIST  by ASHBY,KENDRICK",,,"ASSIST  by ASHBY,KENDRICK",1
15:23,"GOOD LAYUP by DOWDY,JUSTIS(in the paint)",18 (+2),,16,,BLU 18-16 (-2),,"GOOD LAYUP by DOWDY,JUSTIS(in the paint)",1
--,"ASSIST  by MOORE,AUSTIN",,,,,,,"ASSIST  by MOORE,AUSTIN",1
15:12,,18,,18,"GOOD LAYUP by DARST,DANIEL(in the paint)",RHO 18-18 (0),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
15:02,"TURNOVER  by DOWDY,JUSTIS",,,,,,,"TURNOVER  by DOWDY,JUSTIS",1
15:00,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
15:00,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
15:00,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
15:00,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
15:00,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
15:00,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
15:00,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
15:00,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
15:00,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
15:00,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
15:00,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
15:00,"SUB OUT by RENNER,ANDREW",,,,,,,"SUB OUT by RENNER,ANDREW",1
15:00,"SUB OUT by ELCHERT,TREY",,,,,,,"SUB OUT by ELCHERT,TREY",1
15:00,"SUB OUT by MAKSVYTIS,MARTIN",,,,,,,"SUB OUT by MAKSVYTIS,MARTIN",1
15:00,"SUB OUT by WENTLING,JARED",,,,,,,"SUB OUT by WENTLING,JARED",1
15:00,"SUB OUT by ROHDE,AUSTIN",,,,,,,"SUB OUT by ROHDE,AUSTIN",1
15:00,"SUB IN by CHRISTIE,KEVIN",,,,,,,"SUB IN by CHRISTIE,KEVIN",1
15:00,"SUB IN by RENNER,ANDREW",,,,,,,"SUB IN by RENNER,ANDREW",1
15:00,"SUB IN by MAKSVYTIS,MARTIN",,,,,,,"SUB IN by MAKSVYTIS,MARTIN",1
15:00,"SUB IN by ROHDE,AUSTIN",,,,,,,"SUB IN by ROHDE,AUSTIN",1
15:00,"SUB IN by HOPKINS,ADAM",,,,,,,"SUB IN by HOPKINS,ADAM",1
14:48,,18,,20 (+2),"GOOD LAYUP by DARST,DANIEL(in the paint)",RHO 18-20 (+2),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
14:23,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
14:13,"GOOD 3PTR by MAKSVYTIS,MARTIN",21 (+1),,20,,BLU 21-20 (-1),,"GOOD 3PTR by MAKSVYTIS,MARTIN",1
--,"ASSIST  by CHRISTIE,KEVIN",,,,,,,"ASSIST  by CHRISTIE,KEVIN",1
13:55,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
13:55,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
13:55,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
13:55,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
13:55,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
13:55,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
13:55,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
13:55,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
13:55,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
13:55,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
13:55,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
13:50,"TURNOVER  by HOPKINS,ADAM",,,,,,,"TURNOVER  by HOPKINS,ADAM",1
13:50,"SUB IN by WENTLING,JARED",,,,,,,"SUB IN by WENTLING,JARED",1
13:50,"SUB OUT by HOPKINS,ADAM",,,,,,,"SUB OUT by HOPKINS,ADAM",1
13:42,,21,,23 (+2),"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 21-23 (+2),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
13:32,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
13:32,"SUB IN by ELCHERT,TREY",,,,,,,"SUB IN by ELCHERT,TREY",1
13:32,"SUB OUT by CHRISTIE,KEVIN",,,,,,,"SUB OUT by CHRISTIE,KEVIN",1
13:21,"MISS JUMPER by WENTLING,JARED",,,,,,,"MISS JUMPER by WENTLING,JARED",1
--,,,,,"REBOUND DEF by WEIR,JJ",,,"REBOUND DEF by WEIR,JJ",1
13:11,,21,,25 (+4),"GOOD JUMPER by SULLIVAN,BRENNAN",RHO 21-25 (+4),,"GOOD JUMPER by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
13:01,"TURNOVER  by ELCHERT,TREY",,,,,,,"TURNOVER  by ELCHERT,TREY",1
13:00,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",1
12:58,,,,,"MISS LAYUP by LOWRIE,ANDREW",,,"MISS LAYUP by LOWRIE,ANDREW",1
--,,,,,"REBOUND OFF by HARRISON,IAN",,,"REBOUND OFF by HARRISON,IAN",1
12:54,,21,,27 (+6),"GOOD LAYUP by HARRISON,IAN(in the paint)",RHO 21-27 (+6),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
12:52,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
12:52,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
12:52,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
12:52,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
12:52,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
12:52,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
12:52,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
12:52,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
12:52,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
12:52,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
12:52,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
12:52,"SUB IN by HOPKINS,ADAM",,,,,,,"SUB IN by HOPKINS,ADAM",1
12:52,"SUB OUT by WENTLING,JARED",,,,,,,"SUB OUT by WENTLING,JARED",1
12:39,"GOOD LAYUP by RENNER,ANDREW(in the paint)",23,,27 (+4),,BLU 23-27 (+4),,"GOOD LAYUP by RENNER,ANDREW(in the paint)",1
--,"ASSIST  by HOPKINS,ADAM",,,,,,,"ASSIST  by HOPKINS,ADAM",1
12:30,,,,,"MISS 3PTR by WEATHERFORD,MITCH",,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:28,"SUB IN by WENTLING,JARED",,,,,,,"SUB IN by WENTLING,JARED",1
12:28,"SUB OUT by HOPKINS,ADAM",,,,,,,"SUB OUT by HOPKINS,ADAM",1
12:27,"TURNOVER  by RENNER,ANDREW",,,,,,,"TURNOVER  by RENNER,ANDREW",1
12:26,,,,,"STEAL  by GALVIN,OWEN",,,"STEAL  by GALVIN,OWEN",1
12:24,,23,,29 (+6),"GOOD LAYUP by DALTON,PRICE(fastbreak)(in the paint)",RHO 23-29 (+6),,"GOOD LAYUP by DALTON,PRICE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GALVIN,OWEN",,,"ASSIST  by GALVIN,OWEN",1
11:58,"MISS 3PTR by ROHDE,AUSTIN",,,,,,,"MISS 3PTR by ROHDE,AUSTIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:57,"FOUL  by WENTLING,JARED",,,,,,,"FOUL  by WENTLING,JARED",1
11:57,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
11:57,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
11:57,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
11:57,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
11:57,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
11:57,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
11:57,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
11:57,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
11:57,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
11:57,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
11:57,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
11:57,"SUB IN by CHRISTIE,KEVIN",,,,,,,"SUB IN by CHRISTIE,KEVIN",1
11:57,"SUB OUT by RENNER,ANDREW",,,,,,,"SUB OUT by RENNER,ANDREW",1
11:49,,,,,"TURNOVER  by NYAWATA,ANESU",,,"TURNOVER  by NYAWATA,ANESU",1
11:42,"GOOD LAYUP by WENTLING,JARED(in the paint)",25,,29 (+4),,BLU 25-29 (+4),,"GOOD LAYUP by WENTLING,JARED(in the paint)",1
--,"ASSIST  by ELCHERT,TREY",,,,,,,"ASSIST  by ELCHERT,TREY",1
11:35,"FOUL  by MAKSVYTIS,MARTIN",,,,,,,"FOUL  by MAKSVYTIS,MARTIN",1
11:35,,,,,"MISS FT by DARST,DANIEL",,,"MISS FT by DARST,DANIEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:35,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
11:35,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
11:35,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
11:35,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
11:35,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
11:35,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
11:35,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
11:35,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
11:35,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
11:35,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
11:35,"SUB OUT by RENNER,ANDREW",,,,,,,"SUB OUT by RENNER,ANDREW",1
11:35,"SUB OUT by ELCHERT,TREY",,,,,,,"SUB OUT by ELCHERT,TREY",1
11:35,"SUB OUT by MAKSVYTIS,MARTIN",,,,,,,"SUB OUT by MAKSVYTIS,MARTIN",1
11:35,"SUB OUT by WENTLING,JARED",,,,,,,"SUB OUT by WENTLING,JARED",1
11:35,"SUB OUT by ROHDE,AUSTIN",,,,,,,"SUB OUT by ROHDE,AUSTIN",1
11:35,"SUB IN by CHRISTIE,KEVIN",,,,,,,"SUB IN by CHRISTIE,KEVIN",1
11:35,"SUB IN by HUNTER,ANDREW",,,,,,,"SUB IN by HUNTER,ANDREW",1
11:35,"SUB IN by ELCHERT,TREY",,,,,,,"SUB IN by ELCHERT,TREY",1
11:35,"SUB IN by WENTLING,JARED",,,,,,,"SUB IN by WENTLING,JARED",1
11:35,"SUB IN by DOWDY,JUSTIS",,,,,,,"SUB IN by DOWDY,JUSTIS",1
11:35,,,,,"MISS FT by DARST,DANIEL",,,"MISS FT by DARST,DANIEL",1
--,"REBOUND DEF by WENTLING,JARED",,,,,,,"REBOUND DEF by WENTLING,JARED",1
11:27,"GOOD LAYUP by WENTLING,JARED(fastbreak)(in the paint)",27,,29 (+2),,BLU 27-29 (+2),,"GOOD LAYUP by WENTLING,JARED(fastbreak)(in the paint)",1
--,"ASSIST  by HUNTER,ANDREW",,,,,,,"ASSIST  by HUNTER,ANDREW",1
11:18,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
11:18,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
11:18,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
10:55,"MISS JUMPER by WENTLING,JARED",,,,,,,"MISS JUMPER by WENTLING,JARED",1
--,,,,,"REBOUND DEF by HARRISON,IAN",,,"REBOUND DEF by HARRISON,IAN",1
10:45,,27,,31 (+4),"GOOD LAYUP by WEIR,JJ(fastbreak)(in the paint)",RHO 27-31 (+4),,"GOOD LAYUP by WEIR,JJ(fastbreak)(in the paint)",1
10:34,"MISS 3PTR by CHRISTIE,KEVIN",,,,,,,"MISS 3PTR by CHRISTIE,KEVIN",1
--,,,,,"REBOUND DEF by BERRY,BRYCE",,,"REBOUND DEF by BERRY,BRYCE",1
10:22,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
10:22,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
10:22,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
10:22,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
10:22,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
10:22,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
10:22,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
10:22,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
10:22,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
10:22,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
10:22,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
10:22,"SUB IN by ROHDE,AUSTIN",,,,,,,"SUB IN by ROHDE,AUSTIN",1
10:22,"SUB OUT by ELCHERT,TREY",,,,,,,"SUB OUT by ELCHERT,TREY",1
10:10,"MISS LAYUP by WENTLING,JARED",,,,,,,"MISS LAYUP by WENTLING,JARED",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
10:03,,27,,33 (+6),"GOOD LAYUP by WEATHERFORD,MITCH(fastbreak)(in the paint)",RHO 27-33 (+6),,"GOOD LAYUP by WEATHERFORD,MITCH(fastbreak)(in the paint)",1
09:47,"MISS LAYUP by WENTLING,JARED",,,,,,,"MISS LAYUP by WENTLING,JARED",1
--,"REBOUND OFF by DOWDY,JUSTIS",,,,,,,"REBOUND OFF by DOWDY,JUSTIS",1
09:41,"GOOD JUMPER by CHRISTIE,KEVIN(in the paint)",29,,33 (+4),,BLU 29-33 (+4),,"GOOD JUMPER by CHRISTIE,KEVIN(in the paint)",1
09:32,,,,,"MISS 3PTR by GALVIN,OWEN",,,"MISS 3PTR by GALVIN,OWEN",1
--,"REBOUND DEF by ROHDE,AUSTIN",,,,,,,"REBOUND DEF by ROHDE,AUSTIN",1
09:23,"TURNOVER  by CHRISTIE,KEVIN",,,,,,,"TURNOVER  by CHRISTIE,KEVIN",1
09:22,,,,,"STEAL  by WEATHERFORD,MITCH",,,"STEAL  by WEATHERFORD,MITCH",1
09:08,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
09:07,"STEAL  by HUNTER,ANDREW",,,,,,,"STEAL  by HUNTER,ANDREW",1
08:56,"GOOD LAYUP by WENTLING,JARED(in the paint)",31,,33 (+2),,BLU 31-33 (+2),,"GOOD LAYUP by WENTLING,JARED(in the paint)",1
08:37,,,,,"MISS LAYUP by DALTON,PRICE",,,"MISS LAYUP by DALTON,PRICE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
08:37,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
08:37,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
08:37,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
08:37,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
08:37,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
08:37,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
08:37,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
08:37,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
08:37,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
08:37,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
08:37,"SUB OUT by RENNER,ANDREW",,,,,,,"SUB OUT by RENNER,ANDREW",1
