Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
12:06,"MISS LAYUP by COSTAS,RILEY(in the paint)",,,,,,,"MISS LAYUP by COSTAS,RILEY(in the paint)",1
--,"REBOUND OFF by ELLIS,CHASE",,,,,,,"REBOUND OFF by ELLIS,CHASE",1
11:53,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
11:53,"TURNOVER  by ELLIS,CHASE",,,,,,,"TURNOVER  by ELLIS,CHASE",1
11:53,,,,,"STEAL  by WILSON,DREW",,,"STEAL  by WILSON,DREW",1
--,"REBOUND DEF by ESTES,DJ",,,,,,,"REBOUND DEF by ESTES,DJ",1
11:47,"GOOD 3PTR by ESTES,DJ",15 (+7),,8,,Berry 15-8 (-7),,"GOOD 3PTR by ESTES,DJ",1
11:18,,,,,"TURNOVER  by WILLIAMS,JALEN",,,"TURNOVER  by WILLIAMS,JALEN",1
11:18,"STEAL  by ELLIS,CHASE",,,,,,,"STEAL  by ELLIS,CHASE",1
11:13,"GOOD JUMPER by ELLIS,CHASE(fastbreak)(in the paint)",17 (+9),,8,,Berry 17-8 (-9),,"GOOD JUMPER by ELLIS,CHASE(fastbreak)(in the paint)",1
11:11,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
11:11,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
11:11,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
11:11,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
11:11,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
11:11,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",1
11:11,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
11:11,"SUB OUT by COSTAS,RILEY",,,,,,,"SUB OUT by COSTAS,RILEY",1
11:11,"SUB IN by BROOKS,AUSTIN",,,,,,,"SUB IN by BROOKS,AUSTIN",1
10:43,,,,,"MISS 3PTR by WELLS,GAGE",,,"MISS 3PTR by WELLS,GAGE",1
--,"REBOUND DEF by JOHNSON,MICAH",,,,,,,"REBOUND DEF by JOHNSON,MICAH",1
10:31,"MISS 3PTR by ESTES,DJ",,,,,,,"MISS 3PTR by ESTES,DJ",1
--,,,,,"REBOUND DEF by KNOCHELMANN,PETE",,,"REBOUND DEF by KNOCHELMANN,PETE",1
10:28,"FOUL  by JOHNSON,MICAH",,,,,,,"FOUL  by JOHNSON,MICAH",1
10:11,"FOUL  by HONROTH,OWEN",,,,,,,"FOUL  by HONROTH,OWEN",1
10:11,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
10:11,"BLOCK  by JOHNSON,MICAH",,,,,,,"BLOCK  by JOHNSON,MICAH",1
--,,,,,"REBOUND OFF by KNOCHELMANN,PETE",,,"REBOUND OFF by KNOCHELMANN,PETE",1
10:11,,,,,"TURNOVER  by CRUMP,DAWSON",,,"TURNOVER  by CRUMP,DAWSON",1
10:11,"STEAL  by BROOKS,AUSTIN",,,,,,,"STEAL  by BROOKS,AUSTIN",1
09:44,,,,,"FOUL  by KNOCHELMANN,PETE",,,"FOUL  by KNOCHELMANN,PETE",1
09:44,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
09:44,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
09:33,"GOOD JUMPER by BROOKS,AUSTIN(in the paint)",19 (+11),,8,,Berry 19-8 (-11),,"GOOD JUMPER by BROOKS,AUSTIN(in the paint)",1
09:13,,,,,"MISS LAYUP by GERALD,DUSTIN(in the paint)",,,"MISS LAYUP by GERALD,DUSTIN(in the paint)",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
09:07,"MISS 3PTR by ESTES,DJ",,,,,,,"MISS 3PTR by ESTES,DJ",1
--,"REBOUND OFF by ELLIS,CHASE",,,,,,,"REBOUND OFF by ELLIS,CHASE",1
09:02,"MISS LAYUP by ESTES,DJ(in the paint)",,,,,,,"MISS LAYUP by ESTES,DJ(in the paint)",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
08:51,"FOUL  by BROOKS,AUSTIN",,,,,,,"FOUL  by BROOKS,AUSTIN",1
08:51,,19 (+10),,9,"GOOD FT by WILLIAMS,JALEN",Centre 19-9 (-10),,"GOOD FT by WILLIAMS,JALEN",1
08:51,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
08:51,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
08:51,"SUB OUT by HONROTH,OWEN",,,,,,,"SUB OUT by HONROTH,OWEN",1
08:51,"SUB OUT by BROOKS,AUSTIN",,,,,,,"SUB OUT by BROOKS,AUSTIN",1
08:51,"SUB IN by JONES,DREW",,,,,,,"SUB IN by JONES,DREW",1
08:51,"SUB IN by COSTAS,RILEY",,,,,,,"SUB IN by COSTAS,RILEY",1
08:51,,19 (+9),,10,"GOOD FT by WILLIAMS,JALEN",Centre 19-10 (-9),,"GOOD FT by WILLIAMS,JALEN",1
08:41,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",1
08:41,"GOOD FT by COSTAS,RILEY",20 (+10),,10,,Berry 20-10 (-10),,"GOOD FT by COSTAS,RILEY",1
08:41,"GOOD FT by COSTAS,RILEY",21 (+11),,10,,Berry 21-10 (-11),,"GOOD FT by COSTAS,RILEY",1
08:41,"SUB OUT by ESTES,DJ",,,,,,,"SUB OUT by ESTES,DJ",1
08:41,"SUB IN by WEHUNT,DAWSON",,,,,,,"SUB IN by WEHUNT,DAWSON",1
08:13,,21 (+9),,12,"GOOD JUMPER by WILLIAMS,JALEN(in the paint)",Centre 21-12 (-9),,"GOOD JUMPER by WILLIAMS,JALEN(in the paint)",1
07:54,"TURNOVER  by WEHUNT,DAWSON",,,,,,,"TURNOVER  by WEHUNT,DAWSON",1
07:54,,,,,"STEAL  by WILSON,DREW",,,"STEAL  by WILSON,DREW",1
07:49,,21 (+7),,14,"GOOD JUMPER by WILLIAMS,JALEN(fastbreak)(in the paint)",Centre 21-14 (-7),,"GOOD JUMPER by WILLIAMS,JALEN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WILSON,DREW",,,"ASSIST  by WILSON,DREW",1
07:28,"GOOD JUMPER by ELLIS,CHASE(in the paint)",23 (+9),,14,,Berry 23-14 (-9),,"GOOD JUMPER by ELLIS,CHASE(in the paint)",1
07:02,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",1
--,"REBOUND DEF by JONES,DREW",,,,,,,"REBOUND DEF by JONES,DREW",1
07:02,"BLOCK  by COSTAS,RILEY",,,,,,,"BLOCK  by COSTAS,RILEY",1
