Time Remaining,UDMBB,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by GIADOLOR,PRINCE",,,,,,,"REBOUND OFF by GIADOLOR,PRINCE",1
08:57,"MISS LAYUP by GIADOLOR,PRINCE",,,,,,,"MISS LAYUP by GIADOLOR,PRINCE",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
08:49,,,,,"MISS JUMPER by STEELE,AARON",,,"MISS JUMPER by STEELE,AARON",1
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
08:46,,19,,23 (+4),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 19-23 (+4),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
08:35,"MISS JUMPER by GIADOLOR,PRINCE",,,,,,,"MISS JUMPER by GIADOLOR,PRINCE",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
08:11,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
08:08,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
08:08,"BLOCK  by CANNON,XAVIER",,,,,,,"BLOCK  by CANNON,XAVIER",1
--,"REBOUND DEF by CANNON,XAVIER",,,,,,,"REBOUND DEF by CANNON,XAVIER",1
07:53,"MISS 3PTR by GIADOLOR,PRINCE",,,,,,,"MISS 3PTR by GIADOLOR,PRINCE",1
--,"REBOUND OFF by SARRAT,MICHAEL",,,,,,,"REBOUND OFF by SARRAT,MICHAEL",1
07:45,"MISS LAYUP by GONZALEZ,LORENZO",,,,,,,"MISS LAYUP by GONZALEZ,LORENZO",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
07:33,"FOUL  by COLVIN,DARRIUS",,,,,,,"FOUL  by COLVIN,DARRIUS",1
07:33,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
07:33,,19,,24 (+5),"GOOD FT by SMITH,PRESTON",HENDRIX 19-24 (+5),,"GOOD FT by SMITH,PRESTON",1
07:33,,19,,25 (+6),"GOOD FT by SMITH,PRESTON",HENDRIX 19-25 (+6),,"GOOD FT by SMITH,PRESTON",1
07:33,"SUB IN by CALTON,EMMANUEL",,,,,,,"SUB IN by CALTON,EMMANUEL",1
07:33,"SUB IN by GARATE,VICTOR",,,,,,,"SUB IN by GARATE,VICTOR",1
07:33,"SUB OUT by SARRAT,MICHAEL",,,,,,,"SUB OUT by SARRAT,MICHAEL",1
07:33,"SUB OUT by COLVIN,DARRIUS",,,,,,,"SUB OUT by COLVIN,DARRIUS",1
07:33,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
07:33,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
07:15,"TURNOVER  by CANNON,XAVIER",,,,,,,"TURNOVER  by CANNON,XAVIER",1
07:14,,,,,"STEAL  by NOTLEY,CHANDLER",,,"STEAL  by NOTLEY,CHANDLER",1
07:09,,19,,27 (+8),"GOOD LAYUP by BATCHELOR,BRYCE(fastbreak)(in the paint)",HENDRIX 19-27 (+8),,"GOOD LAYUP by BATCHELOR,BRYCE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",1
06:45,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",1
06:45,"SUB IN by SARRAT,MICHAEL",,,,,,,"SUB IN by SARRAT,MICHAEL",1
06:45,"SUB OUT by GIADOLOR,PRINCE",,,,,,,"SUB OUT by GIADOLOR,PRINCE",1
06:36,"TURNOVER  by GARATE,VICTOR",,,,,,,"TURNOVER  by GARATE,VICTOR",1
06:25,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",1
--,,,,,"REBOUND OFF by BATCHELOR,BRYCE",,,"REBOUND OFF by BATCHELOR,BRYCE",1
06:21,,,,,"TURNOVER  by BATCHELOR,BRYCE",,,"TURNOVER  by BATCHELOR,BRYCE",1
06:20,"STEAL  by GARATE,VICTOR",,,,,,,"STEAL  by GARATE,VICTOR",1
06:14,"TURNOVER  by CALTON,EMMANUEL",,,,,,,"TURNOVER  by CALTON,EMMANUEL",1
06:03,,19,,30 (+11),"GOOD 3PTR by SMITH,PRESTON",HENDRIX 19-30 (+11),,"GOOD 3PTR by SMITH,PRESTON",1
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",1
05:42,"GOOD JUMPER by SARRAT,MICHAEL",21,,30 (+9),,UDMBB 21-30 (+9),,"GOOD JUMPER by SARRAT,MICHAEL",1
05:16,,,,,"TURNOVER  by BATCHELOR,BRYCE",,,"TURNOVER  by BATCHELOR,BRYCE",1
05:16,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
05:16,"SUB IN by COLVIN,DARRIUS",,,,,,,"SUB IN by COLVIN,DARRIUS",1
05:16,"SUB IN by BEREZIN,SOLOMON",,,,,,,"SUB IN by BEREZIN,SOLOMON",1
05:16,"SUB OUT by CALTON,EMMANUEL",,,,,,,"SUB OUT by CALTON,EMMANUEL",1
05:16,"SUB OUT by GARATE,VICTOR",,,,,,,"SUB OUT by GARATE,VICTOR",1
05:16,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",1
05:16,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
05:16,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
05:16,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
05:05,"MISS JUMPER by SARRAT,MICHAEL",,,,,,,"MISS JUMPER by SARRAT,MICHAEL",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
04:56,,21,,33 (+12),"GOOD 3PTR by SMITH,PRESTON(fastbreak)",HENDRIX 21-33 (+12),,"GOOD 3PTR by SMITH,PRESTON(fastbreak)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
04:51,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:51,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
04:51,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
04:31,"GOOD 3PTR by COLVIN,DARRIUS",24,,33 (+9),,UDMBB 24-33 (+9),,"GOOD 3PTR by COLVIN,DARRIUS",1
--,"ASSIST  by GONZALEZ,LORENZO",,,,,,,"ASSIST  by GONZALEZ,LORENZO",1
04:19,"FOUL  by BEREZIN,SOLOMON",,,,,,,"FOUL  by BEREZIN,SOLOMON",1
04:19,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
04:19,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",1
--,"REBOUND DEF by CANNON,XAVIER",,,,,,,"REBOUND DEF by CANNON,XAVIER",1
04:19,"SUB IN by GIADOLOR,PRINCE",,,,,,,"SUB IN by GIADOLOR,PRINCE",1
04:19,"SUB OUT by GONZALEZ,LORENZO",,,,,,,"SUB OUT by GONZALEZ,LORENZO",1
04:08,,,,,"FOUL  by PARKER,BRYCE",,,"FOUL  by PARKER,BRYCE",1
04:08,"GOOD FT by SARRAT,MICHAEL",25,,33 (+8),,UDMBB 25-33 (+8),,"GOOD FT by SARRAT,MICHAEL",1
04:08,"GOOD FT by SARRAT,MICHAEL",26,,33 (+7),,UDMBB 26-33 (+7),,"GOOD FT by SARRAT,MICHAEL",1
04:08,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
04:08,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",1
03:56,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
--,"REBOUND DEF by COLVIN,DARRIUS",,,,,,,"REBOUND DEF by COLVIN,DARRIUS",1
03:42,"MISS JUMPER by SARRAT,MICHAEL",,,,,,,"MISS JUMPER by SARRAT,MICHAEL",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
03:24,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
03:20,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
03:20,"BLOCK  by GIADOLOR,PRINCE",,,,,,,"BLOCK  by GIADOLOR,PRINCE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:10,,26,,35 (+9),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 26-35 (+9),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
--,,,,,"ASSIST  by CRISWELL,SEAN",,,"ASSIST  by CRISWELL,SEAN",1
02:52,"MISS JUMPER by CANNON,XAVIER",,,,,,,"MISS JUMPER by CANNON,XAVIER",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
02:47,"FOUL  by CANNON,XAVIER",,,,,,,"FOUL  by CANNON,XAVIER",1
02:47,,26,,36 (+10),"GOOD FT by LINK,JACOB",HENDRIX 26-36 (+10),,"GOOD FT by LINK,JACOB",1
02:47,,26,,37 (+11),"GOOD FT by LINK,JACOB",HENDRIX 26-37 (+11),,"GOOD FT by LINK,JACOB",1
02:47,"SUB IN by FRUHWIRTH,LOGAN",,,,,,,"SUB IN by FRUHWIRTH,LOGAN",1
02:47,"SUB OUT by CANNON,XAVIER",,,,,,,"SUB OUT by CANNON,XAVIER",1
02:36,"GOOD LAYUP by FRUHWIRTH,LOGAN(in the paint)",28,,37 (+9),,UDMBB 28-37 (+9),,"GOOD LAYUP by FRUHWIRTH,LOGAN(in the paint)",1
--,"ASSIST  by COLVIN,DARRIUS",,,,,,,"ASSIST  by COLVIN,DARRIUS",1
02:24,,28,,40 (+12),"GOOD 3PTR by PARKER,BRYCE",HENDRIX 28-40 (+12),,"GOOD 3PTR by PARKER,BRYCE",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
02:09,"GOOD 3PTR by BEREZIN,SOLOMON",31,,40 (+9),,UDMBB 31-40 (+9),,"GOOD 3PTR by BEREZIN,SOLOMON",1
--,"ASSIST  by GIADOLOR,PRINCE",,,,,,,"ASSIST  by GIADOLOR,PRINCE",1
01:53,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",1
--,"REBOUND DEF by GIADOLOR,PRINCE",,,,,,,"REBOUND DEF by GIADOLOR,PRINCE",1
01:43,"MISS 3PTR by COLVIN,DARRIUS",,,,,,,"MISS 3PTR by COLVIN,DARRIUS",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
01:31,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:17,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND DEF by FRUHWIRTH,LOGAN",,,,,,,"REBOUND DEF by FRUHWIRTH,LOGAN",1
01:16,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
01:16,"MISS FT by FRUHWIRTH,LOGAN",,,,,,,"MISS FT by FRUHWIRTH,LOGAN",1
