Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",2
16:15,,32,,41 (+9),"GOOD LAYUP by SPALDING,TANNER(in the paint)",BCM 32-41 (-9),,"GOOD LAYUP by SPALDING,TANNER(in the paint)",2
--,,,,,"ASSIST  by MCCLOUD,ALTON",,,"ASSIST  by MCCLOUD,ALTON",2
16:07,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",2
16:07,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",2
16:07,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",2
15:54,,,,,"FOUL  by SPALDING,TANNER",,,"FOUL  by SPALDING,TANNER",2
15:54,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:54,,,,,"SUB IN by KORN,LUKAS",,,"SUB IN by KORN,LUKAS",2
15:54,,,,,"SUB OUT by SPALDING,TANNER",,,"SUB OUT by SPALDING,TANNER",2
15:39,"MISS LAYUP by BATCHELOR,BRYCE",,,,,,,"MISS LAYUP by BATCHELOR,BRYCE",2
15:39,,,,,"BLOCK  by KORN,LUKAS",,,"BLOCK  by KORN,LUKAS",2
--,,,,,"REBOUND DEF by JONES,BLAKE",,,"REBOUND DEF by JONES,BLAKE",2
15:28,,,,,"TURNOVER  by MCCLOUD,ALTON",,,"TURNOVER  by MCCLOUD,ALTON",2
15:28,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",2
15:28,,,,,"FOUL  by KORN,LUKAS",,,"FOUL  by KORN,LUKAS",2
15:14,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",2
15:11,,,,,"STEAL  by MARDER,NICK",,,"STEAL  by MARDER,NICK",2
14:56,,,,,"TURNOVER  by JONES,BLAKE",,,"TURNOVER  by JONES,BLAKE",2
14:55,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",2
14:47,"MISS LAYUP by SMITH,PRESTON",,,,,,,"MISS LAYUP by SMITH,PRESTON",2
14:47,,,,,"BLOCK  by KORN,LUKAS",,,"BLOCK  by KORN,LUKAS",2
--,,,,,"REBOUND DEF by JONES,BLAKE",,,"REBOUND DEF by JONES,BLAKE",2
14:35,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",2
14:35,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",2
14:35,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",2
14:35,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",2
14:35,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",,,"SUB IN by ELLINGSWORTH,COLEMAN",2
14:35,,,,,"SUB OUT by KORN,LUKAS",,,"SUB OUT by KORN,LUKAS",2
14:26,,,,,"MISS LAYUP by MARDER,NICK",,,"MISS LAYUP by MARDER,NICK",2
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",2
14:16,"GOOD 3PTR by PARKER,BRYCE",35,,41 (+6),,HENDRIX 35-41 (-6),,"GOOD 3PTR by PARKER,BRYCE",2
--,"ASSIST  by STEELE,AARON",,,,,,,"ASSIST  by STEELE,AARON",2
14:08,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
14:04,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",2
14:04,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",2
13:55,,,,,"FOUL  by MCCLOUD,ALTON",,,"FOUL  by MCCLOUD,ALTON",2
13:55,,,,,"SUB IN by JOHNSON,CALEB",,,"SUB IN by JOHNSON,CALEB",2
13:55,,,,,"SUB IN by DENBESTEN,COLE",,,"SUB IN by DENBESTEN,COLE",2
13:55,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",2
13:55,,,,,"SUB OUT by CLARK,ETHAN",,,"SUB OUT by CLARK,ETHAN",2
13:28,"MISS LAYUP by ALDOUS,HANK",,,,,,,"MISS LAYUP by ALDOUS,HANK",2
--,,,,,"REBOUND DEF by MCCLOUD,ALTON",,,"REBOUND DEF by MCCLOUD,ALTON",2
13:12,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",2
--,,,,,"REBOUND OFF by ELLINGSWORTH,COLEMAN",,,"REBOUND OFF by ELLINGSWORTH,COLEMAN",2
13:09,,,,,"SUB IN by SPALDING,TANNER",,,"SUB IN by SPALDING,TANNER",2
13:09,,,,,"SUB IN by JOHNSON,CORY",,,"SUB IN by JOHNSON,CORY",2
13:09,,,,,"SUB OUT by MCCLOUD,ALTON",,,"SUB OUT by MCCLOUD,ALTON",2
13:09,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",,,"SUB OUT by ELLINGSWORTH,COLEMAN",2
12:55,"MISS LAYUP by PARKER,BRYCE",,,,,,,"MISS LAYUP by PARKER,BRYCE",2
--,,,,,"REBOUND DEF by JOHNSON,CORY",,,"REBOUND DEF by JOHNSON,CORY",2
12:29,,,,,"MISS LAYUP by JOHNSON,CORY",,,"MISS LAYUP by JOHNSON,CORY",2
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
12:21,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",2
12:21,"SUB IN by SHEPPARD,MARK",,,,,,,"SUB IN by SHEPPARD,MARK",2
12:21,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",2
12:14,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",2
12:14,,35,,42 (+7),"GOOD FT by JOHNSON,CALEB",BCM 35-42 (-7),,"GOOD FT by JOHNSON,CALEB",2
12:14,,,,,"MISS FT by JOHNSON,CALEB",,,"MISS FT by JOHNSON,CALEB",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
12:14,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",2
12:14,"SUB OUT by SHEPPARD,MARK",,,,,,,"SUB OUT by SHEPPARD,MARK",2
12:08,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",2
12:01,,,,,"TURNOVER  by JOHNSON,CALEB",,,"TURNOVER  by JOHNSON,CALEB",2
12:00,"STEAL  by GARRETT,TRAVIS",,,,,,,"STEAL  by GARRETT,TRAVIS",2
11:53,,,,,"FOUL  by JONES,BLAKE",,,"FOUL  by JONES,BLAKE",2
11:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:44,,,,,"FOUL  by SPALDING,TANNER",,,"FOUL  by SPALDING,TANNER",2
11:44,"MISS FT by LITTLEFIELD,GEAREN",,,,,,,"MISS FT by LITTLEFIELD,GEAREN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:44,"GOOD FT by LITTLEFIELD,GEAREN",36,,42 (+6),,HENDRIX 36-42 (-6),,"GOOD FT by LITTLEFIELD,GEAREN",2
11:44,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",2
11:44,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",2
11:44,,,,,"SUB IN by MCCLOUD,ALTON",,,"SUB IN by MCCLOUD,ALTON",2
11:44,,,,,"SUB OUT by SPALDING,TANNER",,,"SUB OUT by SPALDING,TANNER",2
11:29,,36,,44 (+8),"GOOD JUMPER by JONES,BLAKE",BCM 36-44 (-8),,"GOOD JUMPER by JONES,BLAKE",2
11:14,"TURNOVER  by STEELE,AARON",,,,,,,"TURNOVER  by STEELE,AARON",2
11:13,,,,,"STEAL  by DENBESTEN,COLE",,,"STEAL  by DENBESTEN,COLE",2
10:58,,,,,"TURNOVER  by JONES,BLAKE",,,"TURNOVER  by JONES,BLAKE",2
10:58,"STEAL  by GARRETT,TRAVIS",,,,,,,"STEAL  by GARRETT,TRAVIS",2
10:58,,,,,"FOUL  by JOHNSON,CORY",,,"FOUL  by JOHNSON,CORY",2
10:58,"GOOD FT by PARKER,BRYCE",37,,44 (+7),,HENDRIX 37-44 (-7),,"GOOD FT by PARKER,BRYCE",2
10:58,"MISS FT by PARKER,BRYCE",,,,,,,"MISS FT by PARKER,BRYCE",2
--,,,,,"REBOUND DEF by JOHNSON,CALEB",,,"REBOUND DEF by JOHNSON,CALEB",2
10:58,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",2
10:58,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",2
10:42,,,,,"TURNOVER  by MCCLOUD,ALTON",,,"TURNOVER  by MCCLOUD,ALTON",2
10:40,"STEAL  by PARKER,BRYCE",,,,,,,"STEAL  by PARKER,BRYCE",2
10:37,"GOOD LAYUP by LINK,JACOB(fastbreak)(in the paint)",39,,44 (+5),,HENDRIX 39-44 (-5),,"GOOD LAYUP by LINK,JACOB(fastbreak)(in the paint)",2
--,"ASSIST  by ALDOUS,HANK",,,,,,,"ASSIST  by ALDOUS,HANK",2
10:29,,,,,"MISS 3PTR by JOHNSON,CORY",,,"MISS 3PTR by JOHNSON,CORY",2
--,"REBOUND DEF by PARKER,BRYCE",,,,,,,"REBOUND DEF by PARKER,BRYCE",2
10:21,"TURNOVER  by PARKER,BRYCE",,,,,,,"TURNOVER  by PARKER,BRYCE",2
10:21,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",2
10:21,"SUB OUT by PARKER,BRYCE",,,,,,,"SUB OUT by PARKER,BRYCE",2
10:08,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",2
10:08,,,,,"MISS FT by MCCLOUD,ALTON",,,"MISS FT by MCCLOUD,ALTON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:08,,,,,"MISS FT by MCCLOUD,ALTON",,,"MISS FT by MCCLOUD,ALTON",2
--,"REBOUND DEF by BATCHELOR,BRYCE",,,,,,,"REBOUND DEF by BATCHELOR,BRYCE",2
09:51,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:32,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",2
--,"REBOUND DEF by BATCHELOR,BRYCE",,,,,,,"REBOUND DEF by BATCHELOR,BRYCE",2
09:22,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by JOHNSON,CORY",,,"REBOUND DEF by JOHNSON,CORY",2
09:11,,,,,"TURNOVER  by JONES,BLAKE",,,"TURNOVER  by JONES,BLAKE",2
09:11,"STEAL  by SMITH,PRESTON",,,,,,,"STEAL  by SMITH,PRESTON",2
09:11,,,,,"FOUL  by MCCLOUD,ALTON",,,"FOUL  by MCCLOUD,ALTON",2
09:11,"GOOD FT by ALDOUS,HANK",40,,44 (+4),,HENDRIX 40-44 (-4),,"GOOD FT by ALDOUS,HANK",2
09:11,,,,,"SUB IN by SPALDING,TANNER",,,"SUB IN by SPALDING,TANNER",2
09:11,,,,,"SUB IN by CLARK,ETHAN",,,"SUB IN by CLARK,ETHAN",2
09:11,,,,,"SUB OUT by JOHNSON,CALEB",,,"SUB OUT by JOHNSON,CALEB",2
09:11,,,,,"SUB OUT by MCCLOUD,ALTON",,,"SUB OUT by MCCLOUD,ALTON",2
09:04,"MISS FT by ALDOUS,HANK",,,,,,,"MISS FT by ALDOUS,HANK",2
--,,,,,"REBOUND DEF by SPALDING,TANNER",,,"REBOUND DEF by SPALDING,TANNER",2
08:34,,,,,"MISS 3PTR by DENBESTEN,COLE",,,"MISS 3PTR by DENBESTEN,COLE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
08:31,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",2
08:31,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",2
08:12,"GOOD LAYUP by LINK,JACOB(in the paint)",42,,44 (+2),,HENDRIX 42-44 (-2),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
--,"ASSIST  by LITTLEFIELD,GEAREN",,,,,,,"ASSIST  by LITTLEFIELD,GEAREN",2
07:51,,,,,"MISS 3PTR by CLARK,ETHAN",,,"MISS 3PTR by CLARK,ETHAN",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
07:36,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:36,"TURNOVER  by LITTLEFIELD,GEAREN",,,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",2
07:36,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",2
07:36,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",2
07:05,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",2
07:04,,,,,"STEAL  by MARDER,NICK",,,"STEAL  by MARDER,NICK",2
06:57,,,,,"MISS 3PTR by CLARK,ETHAN",,,"MISS 3PTR by CLARK,ETHAN",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
06:51,"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)",44,,44,,HENDRIX 44-44 (0),,"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)",2
06:15,,,,,"TURNOVER  by SPALDING,TANNER",,,"TURNOVER  by SPALDING,TANNER",2
06:12,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",2
05:54,"GOOD LAYUP by ALDOUS,HANK(in the paint)",46 (+2),,44,,HENDRIX 46-44 (+2),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",2
05:54,,,,,"FOUL  by CLARK,ETHAN",,,"FOUL  by CLARK,ETHAN",2
05:54,"MISS FT by ALDOUS,HANK",,,,,,,"MISS FT by ALDOUS,HANK",2
--,"REBOUND OFF by GARRETT,TRAVIS",,,,,,,"REBOUND OFF by GARRETT,TRAVIS",2
05:54,,,,,"SUB IN by MCCLOUD,ALTON",,,"SUB IN by MCCLOUD,ALTON",2
05:54,,,,,"SUB IN by FORTE,MCCARTY",,,"SUB IN by FORTE,MCCARTY",2
05:54,,,,,"SUB OUT by CLARK,ETHAN",,,"SUB OUT by CLARK,ETHAN",2
05:54,,,,,"SUB OUT by JOHNSON,CORY",,,"SUB OUT by JOHNSON,CORY",2
05:48,"GOOD 3PTR by SMITH,PRESTON",49 (+5),,44,,HENDRIX 49-44 (+5),,"GOOD 3PTR by SMITH,PRESTON",2
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",2
05:18,,,,,"TURNOVER  by SPALDING,TANNER",,,"TURNOVER  by SPALDING,TANNER",2
05:18,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
04:52,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",2
--,,,,,"REBOUND DEF by MARDER,NICK",,,"REBOUND DEF by MARDER,NICK",2
04:49,,,,,"TURNOVER  by MARDER,NICK",,,"TURNOVER  by MARDER,NICK",2
04:41,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",2
04:34,"MISS FT by ALDOUS,HANK",,,,,,,"MISS FT by ALDOUS,HANK",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:34,"GOOD FT by ALDOUS,HANK",50 (+6),,44,,HENDRIX 50-44 (+6),,"GOOD FT by ALDOUS,HANK",2
04:34,,,,,"SUB IN by KORN,LUKAS",,,"SUB IN by KORN,LUKAS",2
04:34,,,,,"SUB OUT by SPALDING,TANNER",,,"SUB OUT by SPALDING,TANNER",2
04:23,,,,,"MISS LAYUP by FORTE,MCCARTY",,,"MISS LAYUP by FORTE,MCCARTY",2
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
04:00,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",2
--,,,,,"REBOUND DEF by JONES,BLAKE",,,"REBOUND DEF by JONES,BLAKE",2
03:50,,,,,"MISS 3PTR by MCCLOUD,ALTON",,,"MISS 3PTR by MCCLOUD,ALTON",2
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",2
03:47,,,,,"FOUL  by KORN,LUKAS",,,"FOUL  by KORN,LUKAS",2
03:47,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:47,"GOOD FT by GARRETT,TRAVIS",51 (+7),,44,,HENDRIX 51-44 (+7),,"GOOD FT by GARRETT,TRAVIS",2
03:47,"GOOD FT by GARRETT,TRAVIS",52 (+8),,44,,HENDRIX 52-44 (+8),,"GOOD FT by GARRETT,TRAVIS",2
03:47,,,,,"SUB IN by JOHNSON,CALEB",,,"SUB IN by JOHNSON,CALEB",2
03:47,,,,,"SUB OUT by FORTE,MCCARTY",,,"SUB OUT by FORTE,MCCARTY",2
03:39,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",2
03:39,,52 (+7),,45,"GOOD FT by MARDER,NICK",BCM 52-45 (+7),,"GOOD FT by MARDER,NICK",2
03:39,,,,,"MISS FT by MARDER,NICK",,,"MISS FT by MARDER,NICK",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
03:39,,,,,"FOUL  by KORN,LUKAS",,,"FOUL  by KORN,LUKAS",2
03:39,"MISS FT by STEELE,AARON",,,,,,,"MISS FT by STEELE,AARON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:39,"MISS FT by STEELE,AARON",,,,,,,"MISS FT by STEELE,AARON",2
--,,,,,"REBOUND DEF by MCCLOUD,ALTON",,,"REBOUND DEF by MCCLOUD,ALTON",2
03:39,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",2
03:39,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",2
03:39,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",2
03:39,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",2
03:39,,,,,"SUB IN by JOHNSON,CORY",,,"SUB IN by JOHNSON,CORY",2
03:39,,,,,"SUB OUT by KORN,LUKAS",,,"SUB OUT by KORN,LUKAS",2
03:25,,,,,"MISS JUMPER by JONES,BLAKE",,,"MISS JUMPER by JONES,BLAKE",2
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",2
03:02,,,,,"FOUL  by JONES,BLAKE",,,"FOUL  by JONES,BLAKE",2
03:02,"GOOD FT by SMITH,PRESTON",53 (+8),,45,,HENDRIX 53-45 (+8),,"GOOD FT by SMITH,PRESTON",2
03:02,"GOOD FT by SMITH,PRESTON",54 (+9),,45,,HENDRIX 54-45 (+9),,"GOOD FT by SMITH,PRESTON",2
03:02,,,,,"SUB IN by DENBESTEN,COLE",,,"SUB IN by DENBESTEN,COLE",2
03:02,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",2
02:55,,54 (+7),,47,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",BCM 54-47 (+7),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",2
--,,,,,"ASSIST  by JONES,BLAKE",,,"ASSIST  by JONES,BLAKE",2
02:55,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",2
02:55,,54 (+6),,48,"GOOD FT by JOHNSON,CALEB",BCM 54-48 (+6),,"GOOD FT by JOHNSON,CALEB",2
02:55,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",2
02:55,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",2
02:50,,,,,"FOUL  by JOHNSON,CORY",,,"FOUL  by JOHNSON,CORY",2
02:50,"GOOD FT by LINK,JACOB",55 (+7),,48,,HENDRIX 55-48 (+7),,"GOOD FT by LINK,JACOB",2
02:50,"MISS FT by LINK,JACOB",,,,,,,"MISS FT by LINK,JACOB",2
--,,,,,"REBOUND DEF by JOHNSON,CALEB",,,"REBOUND DEF by JOHNSON,CALEB",2
02:50,,,,,"SUB IN by DENBESTEN,COLE",,,"SUB IN by DENBESTEN,COLE",2
02:50,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",2
02:42,,,,,"MISS 3PTR by JOHNSON,CORY",,,"MISS 3PTR by JOHNSON,CORY",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
02:27,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
02:27,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",2
02:27,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",2
02:12,"TURNOVER  by SMITH,PRESTON",,,,,,,"TURNOVER  by SMITH,PRESTON",2
02:12,,,,,"STEAL  by JOHNSON,CALEB",,,"STEAL  by JOHNSON,CALEB",2
02:12,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",2
02:12,,55 (+6),,49,"GOOD FT by JOHNSON,CALEB",BCM 55-49 (+6),,"GOOD FT by JOHNSON,CALEB",2
02:12,,,,,"MISS FT by JOHNSON,CALEB",,,"MISS FT by JOHNSON,CALEB",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
01:44,"MISS JUMPER by STEELE,AARON",,,,,,,"MISS JUMPER by STEELE,AARON",2
--,"REBOUND OFF by BATCHELOR,BRYCE",,,,,,,"REBOUND OFF by BATCHELOR,BRYCE",2
01:32,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:25,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",2
--,,,,,"REBOUND DEF by JONES,BLAKE",,,"REBOUND DEF by JONES,BLAKE",2
01:16,,,,,"MISS 3PTR by JOHNSON,CORY",,,"MISS 3PTR by JOHNSON,CORY",2
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",2
00:58,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",57 (+8),,49,,HENDRIX 57-49 (+8),,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",2
--,"ASSIST  by ALDOUS,HANK",,,,,,,"ASSIST  by ALDOUS,HANK",2
00:50,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",2
00:50,,,,,"MISS FT by JONES,BLAKE",,,"MISS FT by JONES,BLAKE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:50,,,,,"FOUL  by MCCLOUD,ALTON",,,"FOUL  by MCCLOUD,ALTON",2
00:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
00:50,"MISS FT by LINK,JACOB",,,,,,,"MISS FT by LINK,JACOB",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:50,"GOOD FT by LINK,JACOB",58 (+9),,49,,HENDRIX 58-49 (+9),,"GOOD FT by LINK,JACOB",2
00:50,,,,,"SUB IN by DENBESTEN,COLE",,,"SUB IN by DENBESTEN,COLE",2
00:50,,,,,"SUB OUT by MCCLOUD,ALTON",,,"SUB OUT by MCCLOUD,ALTON",2
00:39,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
00:35,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",2
00:35,,58 (+8),,50,"GOOD FT by JOHNSON,CALEB",BCM 58-50 (+8),,"GOOD FT by JOHNSON,CALEB",2
00:35,,,,,"MISS FT by JOHNSON,CALEB",,,"MISS FT by JOHNSON,CALEB",2
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",2
00:35,,,,,"FOUL  by JOHNSON,CALEB",,,"FOUL  by JOHNSON,CALEB",2
00:35,"GOOD FT by STEELE,AARON",59 (+9),,50,,HENDRIX 59-50 (+9),,"GOOD FT by STEELE,AARON",2
00:35,"GOOD FT by STEELE,AARON",60 (+10),,50,,HENDRIX 60-50 (+10),,"GOOD FT by STEELE,AARON",2
00:35,,,,,"SUB IN by CLARK,ETHAN",,,"SUB IN by CLARK,ETHAN",2
00:35,,,,,"SUB OUT by JOHNSON,CORY",,,"SUB OUT by JOHNSON,CORY",2
00:28,,60 (+8),,52,"GOOD LAYUP by MARDER,NICK(in the paint)",BCM 60-52 (+8),,"GOOD LAYUP by MARDER,NICK(in the paint)",2
00:22,,,,,"FOUL  by JOHNSON,CALEB",,,"FOUL  by JOHNSON,CALEB",2
00:22,"GOOD FT by SMITH,PRESTON",61 (+9),,52,,HENDRIX 61-52 (+9),,"GOOD FT by SMITH,PRESTON",2
00:22,"GOOD FT by SMITH,PRESTON",62 (+10),,52,,HENDRIX 62-52 (+10),,"GOOD FT by SMITH,PRESTON",2
00:22,,,,,"SUB IN by JOHNSON,CORY",,,"SUB IN by JOHNSON,CORY",2
00:22,,,,,"SUB OUT by JOHNSON,CALEB",,,"SUB OUT by JOHNSON,CALEB",2
00:16,,,,,"TURNOVER  by MARDER,NICK",,,"TURNOVER  by MARDER,NICK",2
00:15,"STEAL  by STEELE,AARON",,,,,,,"STEAL  by STEELE,AARON",2
00:12,"TURNOVER  by STEELE,AARON",,,,,,,"TURNOVER  by STEELE,AARON",2
00:10,,,,,"STEAL  by MARDER,NICK",,,"STEAL  by MARDER,NICK",2
00:00,,62 (+8),,54,"GOOD LAYUP by DENBESTEN,COLE(in the paint)",BCM 62-54 (+8),,"GOOD LAYUP by DENBESTEN,COLE(in the paint)",2
00:00,,,,,"FOUL  by DENBESTEN,COLE",,,"FOUL  by DENBESTEN,COLE",2
00:00,"GOOD FT by LINK,JACOB",63 (+9),,54,,HENDRIX 63-54 (+9),,"GOOD FT by LINK,JACOB",2
00:00,"MISS FT by LINK,JACOB",,,,,,,"MISS FT by LINK,JACOB",2
--,,,,,"REBOUND DEF by DENBESTEN,COLE",,,"REBOUND DEF by DENBESTEN,COLE",2
00:00,,,,,"MISS 3PTR by DENBESTEN,COLE",,,"MISS 3PTR by DENBESTEN,COLE",2
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",2
