Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
14:30,,,,,"FOUL  by PATRICK,DREW",,,"FOUL  by PATRICK,DREW",2
14:30,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
14:30,,,,,"SUB IN by TURNER,MIKE",,,"SUB IN by TURNER,MIKE",2
14:30,,,,,"SUB IN by ANDINO,GEORGE",,,"SUB IN by ANDINO,GEORGE",2
14:30,,,,,"SUB IN by SIGRIST,CONNOR",,,"SUB IN by SIGRIST,CONNOR",2
14:30,,,,,"SUB OUT by PATRICK,DREW",,,"SUB OUT by PATRICK,DREW",2
14:30,,,,,"SUB OUT by INUNGU,TOM",,,"SUB OUT by INUNGU,TOM",2
14:30,,,,,"SUB OUT by HUGHES,JUSTIN",,,"SUB OUT by HUGHES,JUSTIN",2
14:29,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by SIGRIST,CONNOR",,,"REBOUND DEF by SIGRIST,CONNOR",2
14:14,,,,,"MISS 3PTR by TURNER,MIKE",,,"MISS 3PTR by TURNER,MIKE",2
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",2
14:00,"MISS 3PTR by LINK,JACOB",,,,,,,"MISS 3PTR by LINK,JACOB",2
--,,,,,"REBOUND DEF by LAWRENCE,CHRIS",,,"REBOUND DEF by LAWRENCE,CHRIS",2
13:37,,,,,"MISS 3PTR by TURNER,MIKE",,,"MISS 3PTR by TURNER,MIKE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
13:33,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",2
13:33,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",2
13:33,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",2
13:33,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",2
13:33,,,,,"SUB IN by PENDLEY,TY",,,"SUB IN by PENDLEY,TY",2
13:33,,,,,"SUB OUT by EDWARDS,JUSTIN",,,"SUB OUT by EDWARDS,JUSTIN",2
13:31,,43 (+8),,35,"GOOD 3PTR by TURNER,MIKE",OUM 43-35 (+8),,"GOOD 3PTR by TURNER,MIKE",2
--,,,,,"ASSIST  by PENDLEY,TY",,,"ASSIST  by PENDLEY,TY",2
13:01,"MISS LAYUP by STEELE,AARON",,,,,,,"MISS LAYUP by STEELE,AARON",2
--,"REBOUND OFF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
12:56,"MISS LAYUP by LITTLEFIELD,GEAREN",,,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
--,,,,,"REBOUND DEF by TURNER,MIKE",,,"REBOUND DEF by TURNER,MIKE",2
12:39,,43 (+6),,37,"GOOD LAYUP by ANDINO,GEORGE(in the paint)",OUM 43-37 (+6),,"GOOD LAYUP by ANDINO,GEORGE(in the paint)",2
12:23,"GOOD 3PTR by SMITH,PRESTON",46 (+9),,37,,HENDRIX 46-37 (+9),,"GOOD 3PTR by SMITH,PRESTON",2
--,"ASSIST  by STEELE,AARON",,,,,,,"ASSIST  by STEELE,AARON",2
12:09,,,,,"MISS LAYUP by TURNER,MIKE",,,"MISS LAYUP by TURNER,MIKE",2
--,"REBOUND DEF by PARKER,BRYCE",,,,,,,"REBOUND DEF by PARKER,BRYCE",2
12:00,"GOOD 3PTR by SMITH,PRESTON(fastbreak)",49 (+12),,37,,HENDRIX 49-37 (+12),,"GOOD 3PTR by SMITH,PRESTON(fastbreak)",2
--,"ASSIST  by STEELE,AARON",,,,,,,"ASSIST  by STEELE,AARON",2
11:57,,,,,"FOUL  by TURNER,MIKE",,,"FOUL  by TURNER,MIKE",2
11:57,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:57,"MISS FT by SMITH,PRESTON",,,,,,,"MISS FT by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by INUNGU,TOM",,,"REBOUND DEF by INUNGU,TOM",2
11:57,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",2
11:57,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",2
11:57,,,,,"SUB IN by INUNGU,TOM",,,"SUB IN by INUNGU,TOM",2
11:57,,,,,"SUB OUT by SIGRIST,CONNOR",,,"SUB OUT by SIGRIST,CONNOR",2
11:36,,49 (+10),,39,"GOOD JUMPER by INUNGU,TOM(in the paint)",OUM 49-39 (+10),,"GOOD JUMPER by INUNGU,TOM(in the paint)",2
11:12,"MISS 3PTR by STEELE,AARON",,,,,,,"MISS 3PTR by STEELE,AARON",2
--,,,,,"REBOUND DEF by INUNGU,TOM",,,"REBOUND DEF by INUNGU,TOM",2
10:57,,,,,"MISS JUMPER by PENDLEY,TY",,,"MISS JUMPER by PENDLEY,TY",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
10:41,"MISS 3PTR by PARKER,BRYCE",,,,,,,"MISS 3PTR by PARKER,BRYCE",2
--,,,,,"REBOUND DEF by INUNGU,TOM",,,"REBOUND DEF by INUNGU,TOM",2
10:26,,,,,"MISS 3PTR by ANDINO,GEORGE",,,"MISS 3PTR by ANDINO,GEORGE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
10:23,,,,,"SUB IN by EDWARDS,JUSTIN",,,"SUB IN by EDWARDS,JUSTIN",2
10:23,,,,,"SUB IN by HUGHES,JUSTIN",,,"SUB IN by HUGHES,JUSTIN",2
10:23,,,,,"SUB OUT by LAWRENCE,CHRIS",,,"SUB OUT by LAWRENCE,CHRIS",2
10:23,,,,,"SUB OUT by ANDINO,GEORGE",,,"SUB OUT by ANDINO,GEORGE",2
10:05,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",51 (+12),,39,,HENDRIX 51-39 (+12),,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",2
--,"ASSIST  by BATCHELOR,BRYCE",,,,,,,"ASSIST  by BATCHELOR,BRYCE",2
09:57,,,,,"MISS JUMPER by EDWARDS,JUSTIN",,,"MISS JUMPER by EDWARDS,JUSTIN",2
--,"REBOUND DEF by BATCHELOR,BRYCE",,,,,,,"REBOUND DEF by BATCHELOR,BRYCE",2
09:43,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",2
09:43,"TURNOVER  by BATCHELOR,BRYCE",,,,,,,"TURNOVER  by BATCHELOR,BRYCE",2
09:43,,,,,"SUB IN by ANDINO,GEORGE",,,"SUB IN by ANDINO,GEORGE",2
09:43,,,,,"SUB OUT by INUNGU,TOM",,,"SUB OUT by INUNGU,TOM",2
09:29,,51 (+10),,41,"GOOD LAYUP by ANDINO,GEORGE(in the paint)",OUM 51-41 (+10),,"GOOD LAYUP by ANDINO,GEORGE(in the paint)",2
09:02,,,,,"FOUL  by HUGHES,JUSTIN",,,"FOUL  by HUGHES,JUSTIN",2
09:02,"GOOD FT by BATCHELOR,BRYCE",52 (+11),,41,,HENDRIX 52-41 (+11),,"GOOD FT by BATCHELOR,BRYCE",2
09:02,"GOOD FT by BATCHELOR,BRYCE",53 (+12),,41,,HENDRIX 53-41 (+12),,"GOOD FT by BATCHELOR,BRYCE",2
08:55,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",2
08:55,,53 (+11),,42,"GOOD FT by ANDINO,GEORGE",OUM 53-42 (+11),,"GOOD FT by ANDINO,GEORGE",2
08:55,,53 (+10),,43,"GOOD FT by ANDINO,GEORGE",OUM 53-43 (+10),,"GOOD FT by ANDINO,GEORGE",2
08:44,,,,,"FOUL  by HUGHES,JUSTIN",,,"FOUL  by HUGHES,JUSTIN",2
08:44,,,,,"SUB IN by SIGRIST,CONNOR",,,"SUB IN by SIGRIST,CONNOR",2
08:44,,,,,"SUB OUT by PENDLEY,TY",,,"SUB OUT by PENDLEY,TY",2
08:43,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",2
--,"REBOUND OFF by PARKER,BRYCE",,,,,,,"REBOUND OFF by PARKER,BRYCE",2
08:34,"MISS JUMPER by STEELE,AARON",,,,,,,"MISS JUMPER by STEELE,AARON",2
--,,,,,"REBOUND DEF by SIGRIST,CONNOR",,,"REBOUND DEF by SIGRIST,CONNOR",2
08:18,,53 (+8),,45,"GOOD JUMPER by EDWARDS,JUSTIN(in the paint)",OUM 53-45 (+8),,"GOOD JUMPER by EDWARDS,JUSTIN(in the paint)",2
07:59,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",55 (+10),,45,,HENDRIX 55-45 (+10),,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",2
--,"ASSIST  by STEELE,AARON",,,,,,,"ASSIST  by STEELE,AARON",2
07:44,"FOUL  by STEELE,AARON",,,,,,,"FOUL  by STEELE,AARON",2
07:44,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
07:44,,,,,"MISS FT by EDWARDS,JUSTIN",,,"MISS FT by EDWARDS,JUSTIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:44,,55 (+9),,46,"GOOD FT by EDWARDS,JUSTIN",OUM 55-46 (+9),,"GOOD FT by EDWARDS,JUSTIN",2
07:44,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",2
07:44,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",2
07:44,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",2
07:44,"SUB OUT by PARKER,BRYCE",,,,,,,"SUB OUT by PARKER,BRYCE",2
07:44,,,,,"SUB IN by LAWRENCE,CHRIS",,,"SUB IN by LAWRENCE,CHRIS",2
07:44,,,,,"SUB OUT by TURNER,MIKE",,,"SUB OUT by TURNER,MIKE",2
07:42,,,,,"FOUL  by ANDINO,GEORGE",,,"FOUL  by ANDINO,GEORGE",2
07:17,"GOOD 3PTR by SMITH,PRESTON",58 (+12),,46,,HENDRIX 58-46 (+12),,"GOOD 3PTR by SMITH,PRESTON",2
--,"ASSIST  by BATCHELOR,BRYCE",,,,,,,"ASSIST  by BATCHELOR,BRYCE",2
07:07,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",2
07:07,,,,,"SUB IN by INUNGU,TOM",,,"SUB IN by INUNGU,TOM",2
07:07,,,,,"SUB OUT by SIGRIST,CONNOR",,,"SUB OUT by SIGRIST,CONNOR",2
07:03,,58 (+9),,49,"GOOD 3PTR by HUGHES,JUSTIN",OUM 58-49 (+9),,"GOOD 3PTR by HUGHES,JUSTIN",2
--,,,,,"ASSIST  by INUNGU,TOM",,,"ASSIST  by INUNGU,TOM",2
06:32,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:30,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",2
06:30,,,,,"SUB IN by TURNER,MIKE",,,"SUB IN by TURNER,MIKE",2
06:30,,,,,"SUB OUT by INUNGU,TOM",,,"SUB OUT by INUNGU,TOM",2
06:19,,58 (+7),,51,"GOOD LAYUP by LAWRENCE,CHRIS(in the paint)",OUM 58-51 (+7),,"GOOD LAYUP by LAWRENCE,CHRIS(in the paint)",2
05:54,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",2
05:53,,,,,"STEAL  by HUGHES,JUSTIN",,,"STEAL  by HUGHES,JUSTIN",2
05:38,,58 (+4),,54,"GOOD 3PTR by LAWRENCE,CHRIS",OUM 58-54 (+4),,"GOOD 3PTR by LAWRENCE,CHRIS",2
--,,,,,"ASSIST  by EDWARDS,JUSTIN",,,"ASSIST  by EDWARDS,JUSTIN",2
05:07,"MISS LAYUP by LINK,JACOB",,,,,,,"MISS LAYUP by LINK,JACOB",2
--,"REBOUND OFF by LINK,JACOB",,,,,,,"REBOUND OFF by LINK,JACOB",2
05:02,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
05:02,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",2
05:02,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",2
04:38,,,,,"MISS JUMPER by TURNER,MIKE",,,"MISS JUMPER by TURNER,MIKE",2
--,,,,,"REBOUND OFF by LAWRENCE,CHRIS",,,"REBOUND OFF by LAWRENCE,CHRIS",2
04:34,,,,,"MISS 3PTR by HUGHES,JUSTIN",,,"MISS 3PTR by HUGHES,JUSTIN",2
--,,,,,"REBOUND OFF by TURNER,MIKE",,,"REBOUND OFF by TURNER,MIKE",2
04:31,"FOUL  by STEELE,AARON",,,,,,,"FOUL  by STEELE,AARON",2
04:31,,,,,"MISS FT by TURNER,MIKE",,,"MISS FT by TURNER,MIKE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:31,,58 (+3),,55,"GOOD FT by TURNER,MIKE",OUM 58-55 (+3),,"GOOD FT by TURNER,MIKE",2
04:31,,,,,"SUB IN by INUNGU,TOM",,,"SUB IN by INUNGU,TOM",2
04:31,,,,,"SUB OUT by ANDINO,GEORGE",,,"SUB OUT by ANDINO,GEORGE",2
04:10,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",60 (+5),,55,,HENDRIX 60-55 (+5),,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",2
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",2
03:58,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",2
03:58,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
03:58,,,,,"MISS FT by INUNGU,TOM",,,"MISS FT by INUNGU,TOM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:57,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",2
03:57,,60 (+4),,56,"GOOD FT by LAWRENCE,CHRIS",OUM 60-56 (+4),,"GOOD FT by LAWRENCE,CHRIS",2
03:57,,60 (+3),,57,"GOOD FT by LAWRENCE,CHRIS",OUM 60-57 (+3),,"GOOD FT by LAWRENCE,CHRIS",2
03:27,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND OFF by STEELE,AARON",,,,,,,"REBOUND OFF by STEELE,AARON",2
03:21,"MISS JUMPER by STEELE,AARON",,,,,,,"MISS JUMPER by STEELE,AARON",2
--,"REBOUND OFF by BATCHELOR,BRYCE",,,,,,,"REBOUND OFF by BATCHELOR,BRYCE",2
02:54,"TURNOVER  by STEELE,AARON",,,,,,,"TURNOVER  by STEELE,AARON",2
02:53,,,,,"STEAL  by INUNGU,TOM",,,"STEAL  by INUNGU,TOM",2
02:50,,60 (+1),,59,"GOOD LAYUP by EDWARDS,JUSTIN(fastbreak)(in the paint)",OUM 60-59 (+1),,"GOOD LAYUP by EDWARDS,JUSTIN(fastbreak)(in the paint)",2
02:24,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",2
--,,,,,"REBOUND DEF by EDWARDS,JUSTIN",,,"REBOUND DEF by EDWARDS,JUSTIN",2
02:07,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:07,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",2
02:07,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",2
01:54,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",2
01:54,,60,,60,"GOOD FT by EDWARDS,JUSTIN",OUM 60-60 (0),,"GOOD FT by EDWARDS,JUSTIN",2
01:54,,,,,"MISS FT by EDWARDS,JUSTIN",,,"MISS FT by EDWARDS,JUSTIN",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
01:33,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by TURNER,MIKE",,,"REBOUND DEF by TURNER,MIKE",2
01:08,,60,,63 (+3),"GOOD 3PTR by TURNER,MIKE",OUM 60-63 (-3),,"GOOD 3PTR by TURNER,MIKE",2
--,,,,,"ASSIST  by EDWARDS,JUSTIN",,,"ASSIST  by EDWARDS,JUSTIN",2
00:57,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:57,,,,,"SUB IN by HUFFMAN,DEVIN",,,"SUB IN by HUFFMAN,DEVIN",2
00:57,,,,,"SUB OUT by EDWARDS,JUSTIN",,,"SUB OUT by EDWARDS,JUSTIN",2
00:40,"GOOD JUMPER by ALDOUS,HANK(in the paint)",62,,63 (+1),,HENDRIX 62-63 (-1),,"GOOD JUMPER by ALDOUS,HANK(in the paint)",2
00:36,,,,,"SUB IN by EDWARDS,JUSTIN",,,"SUB IN by EDWARDS,JUSTIN",2
00:36,,,,,"SUB OUT by HUFFMAN,DEVIN",,,"SUB OUT by HUFFMAN,DEVIN",2
00:29,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",2
00:29,,62,,64 (+2),"GOOD FT by EDWARDS,JUSTIN",OUM 62-64 (-2),,"GOOD FT by EDWARDS,JUSTIN",2
00:29,,62,,65 (+3),"GOOD FT by EDWARDS,JUSTIN",OUM 62-65 (-3),,"GOOD FT by EDWARDS,JUSTIN",2
00:29,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",2
00:29,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",2
00:29,,,,,"SUB IN by PATRICK,DREW",,,"SUB IN by PATRICK,DREW",2
00:29,,,,,"SUB OUT by HUGHES,JUSTIN",,,"SUB OUT by HUGHES,JUSTIN",2
00:20,,,,,"FOUL  by PATRICK,DREW",,,"FOUL  by PATRICK,DREW",2
00:20,"GOOD FT by ALDOUS,HANK",63,,65 (+2),,HENDRIX 63-65 (-2),,"GOOD FT by ALDOUS,HANK",2
00:20,"MISS FT by ALDOUS,HANK",,,,,,,"MISS FT by ALDOUS,HANK",2
--,,,,,"REBOUND DEF by EDWARDS,JUSTIN",,,"REBOUND DEF by EDWARDS,JUSTIN",2
00:16,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",2
00:16,,63,,66 (+3),"GOOD FT by EDWARDS,JUSTIN",OUM 63-66 (-3),,"GOOD FT by EDWARDS,JUSTIN",2
00:16,,63,,67 (+4),"GOOD FT by EDWARDS,JUSTIN",OUM 63-67 (-4),,"GOOD FT by EDWARDS,JUSTIN",2
00:16,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",2
00:16,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",2
00:15,,,,,"SUB IN by HUFFMAN,DEVIN",,,"SUB IN by HUFFMAN,DEVIN",2
00:15,,,,,"SUB OUT by TURNER,MIKE",,,"SUB OUT by TURNER,MIKE",2
00:10,"MISS LAYUP by STEELE,AARON",,,,,,,"MISS LAYUP by STEELE,AARON",2
--,,,,,"REBOUND DEF by EDWARDS,JUSTIN",,,"REBOUND DEF by EDWARDS,JUSTIN",2
00:07,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",2
00:07,,,,,"MISS FT by EDWARDS,JUSTIN",,,"MISS FT by EDWARDS,JUSTIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:07,,63,,68 (+5),"GOOD FT by EDWARDS,JUSTIN",OUM 63-68 (-5),,"GOOD FT by EDWARDS,JUSTIN",2
00:05,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",2
00:04,,,,,"STEAL  by INUNGU,TOM",,,"STEAL  by INUNGU,TOM",2
00:04,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",2
00:04,,63,,69 (+6),"GOOD FT by INUNGU,TOM",OUM 63-69 (-6),,"GOOD FT by INUNGU,TOM",2
00:04,,63,,70 (+7),"GOOD FT by INUNGU,TOM",OUM 63-70 (-7),,"GOOD FT by INUNGU,TOM",2
00:01,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
