Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,UDMBB,Game Score,Team Indicator,Play,Period
13:35,"SUB IN by CRISWELL,SEAN",,,,,,,"SUB IN by CRISWELL,SEAN",1
13:35,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",1
13:35,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
13:35,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",1
13:35,,,,,"SUB IN by RICHELSEN,MATTHEW",,,"SUB IN by RICHELSEN,MATTHEW",1
13:35,,,,,"SUB OUT by SARRAT,MICHAEL",,,"SUB OUT by SARRAT,MICHAEL",1
13:12,,,,,"MISS JUMPER by GIADOLOR,PRINCE",,,"MISS JUMPER by GIADOLOR,PRINCE",1
--,,,,,"REBOUND OFF by GIADOLOR,PRINCE",,,"REBOUND OFF by GIADOLOR,PRINCE",1
13:02,,16,,18 (+2),"GOOD JUMPER by COLVIN,DARRIUS(in the paint)",UDMBB 16-18 (-2),,"GOOD JUMPER by COLVIN,DARRIUS(in the paint)",1
12:46,"GOOD LAYUP by STEELE,AARON(in the paint)",18,,18,,HENDRIX 18-18 (0),,"GOOD LAYUP by STEELE,AARON(in the paint)",1
--,"ASSIST  by BATCHELOR,BRYCE",,,,,,,"ASSIST  by BATCHELOR,BRYCE",1
12:46,,,,,"FOUL  by GONZALEZ,LORENZO",,,"FOUL  by GONZALEZ,LORENZO",1
12:46,"GOOD FT by STEELE,AARON",19 (+1),,18,,HENDRIX 19-18 (+1),,"GOOD FT by STEELE,AARON",1
12:46,,,,,"SUB IN by HAYES,ISAIAH",,,"SUB IN by HAYES,ISAIAH",1
12:46,,,,,"SUB OUT by GONZALEZ,LORENZO",,,"SUB OUT by GONZALEZ,LORENZO",1
12:37,,,,,"MISS 3PTR by COLVIN,DARRIUS",,,"MISS 3PTR by COLVIN,DARRIUS",1
--,"REBOUND DEF by PARKER,BRYCE",,,,,,,"REBOUND DEF by PARKER,BRYCE",1
12:22,"MISS 3PTR by PARKER,BRYCE",,,,,,,"MISS 3PTR by PARKER,BRYCE",1
--,"REBOUND OFF by CRISWELL,SEAN",,,,,,,"REBOUND OFF by CRISWELL,SEAN",1
12:16,"GOOD 3PTR by STEELE,AARON",22 (+4),,18,,HENDRIX 22-18 (+4),,"GOOD 3PTR by STEELE,AARON",1
--,"ASSIST  by CRISWELL,SEAN",,,,,,,"ASSIST  by CRISWELL,SEAN",1
12:05,"FOUL  by CRISWELL,SEAN",,,,,,,"FOUL  by CRISWELL,SEAN",1
12:05,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
12:05,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",1
12:05,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",1
12:05,,,,,"SUB IN by FRUHWIRTH,LOGAN",,,"SUB IN by FRUHWIRTH,LOGAN",1
12:05,,,,,"SUB IN by KAISER,TOM",,,"SUB IN by KAISER,TOM",1
12:05,,,,,"SUB OUT by COLVIN,DARRIUS",,,"SUB OUT by COLVIN,DARRIUS",1
12:05,,,,,"SUB OUT by MACCALLUM,RORY",,,"SUB OUT by MACCALLUM,RORY",1
11:41,"GOOD JUMPER by PARKER,BRYCE",24 (+6),,18,,HENDRIX 24-18 (+6),,"GOOD JUMPER by PARKER,BRYCE",1
11:23,,,,,"MISS JUMPER by KAISER,TOM",,,"MISS JUMPER by KAISER,TOM",1
11:23,"BLOCK  by NOTLEY,CHANDLER",,,,,,,"BLOCK  by NOTLEY,CHANDLER",1
--,,,,,"REBOUND OFF by KAISER,TOM",,,"REBOUND OFF by KAISER,TOM",1
11:12,"FOUL  by NOTLEY,CHANDLER",,,,,,,"FOUL  by NOTLEY,CHANDLER",1
11:12,,,,,"SUB IN by SARRAT,MICHAEL",,,"SUB IN by SARRAT,MICHAEL",1
11:12,,,,,"SUB OUT by GIADOLOR,PRINCE",,,"SUB OUT by GIADOLOR,PRINCE",1
11:11,,,,,"MISS JUMPER by RICHELSEN,MATTHEW",,,"MISS JUMPER by RICHELSEN,MATTHEW",1
--,,,,,"REBOUND OFF by KAISER,TOM",,,"REBOUND OFF by KAISER,TOM",1
11:07,,,,,"MISS LAYUP by KAISER,TOM",,,"MISS LAYUP by KAISER,TOM",1
--,,,,,"REBOUND OFF by RICHELSEN,MATTHEW",,,"REBOUND OFF by RICHELSEN,MATTHEW",1
11:05,,,,,"MISS TIPIN by RICHELSEN,MATTHEW",,,"MISS TIPIN by RICHELSEN,MATTHEW",1
--,"REBOUND DEF by NOTLEY,CHANDLER",,,,,,,"REBOUND DEF by NOTLEY,CHANDLER",1
10:54,"GOOD JUMPER by STEELE,AARON(in the paint)",26 (+8),,18,,HENDRIX 26-18 (+8),,"GOOD JUMPER by STEELE,AARON(in the paint)",1
10:49,"FOUL  by CRISWELL,SEAN",,,,,,,"FOUL  by CRISWELL,SEAN",1
10:49,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",1
10:49,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",1
10:49,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",1
10:49,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",1
10:49,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",1
10:49,"SUB OUT by PARKER,BRYCE",,,,,,,"SUB OUT by PARKER,BRYCE",1
10:49,"SUB OUT by CRISWELL,SEAN",,,,,,,"SUB OUT by CRISWELL,SEAN",1
10:49,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",1
10:49,,,,,"SUB IN by COLVIN,DARRIUS",,,"SUB IN by COLVIN,DARRIUS",1
10:49,,,,,"SUB OUT by HAYES,ISAIAH",,,"SUB OUT by HAYES,ISAIAH",1
10:35,,,,,"TURNOVER  by COLVIN,DARRIUS",,,"TURNOVER  by COLVIN,DARRIUS",1
10:34,"STEAL  by SMITH,PRESTON",,,,,,,"STEAL  by SMITH,PRESTON",1
10:30,,,,,"FOUL  by COLVIN,DARRIUS",,,"FOUL  by COLVIN,DARRIUS",1
10:30,"GOOD FT by SMITH,PRESTON",27 (+9),,18,,HENDRIX 27-18 (+9),,"GOOD FT by SMITH,PRESTON",1
10:30,"GOOD FT by SMITH,PRESTON",28 (+10),,18,,HENDRIX 28-18 (+10),,"GOOD FT by SMITH,PRESTON",1
10:21,,,,,"MISS JUMPER by COLVIN,DARRIUS",,,"MISS JUMPER by COLVIN,DARRIUS",1
--,,,,,"REBOUND OFF by FRUHWIRTH,LOGAN",,,"REBOUND OFF by FRUHWIRTH,LOGAN",1
10:11,,,,,"MISS LAYUP by SARRAT,MICHAEL",,,"MISS LAYUP by SARRAT,MICHAEL",1
--,,,,,"REBOUND OFF by KAISER,TOM",,,"REBOUND OFF by KAISER,TOM",1
10:08,,28 (+8),,20,"GOOD LAYUP by KAISER,TOM(in the paint)",UDMBB 28-20 (+8),,"GOOD LAYUP by KAISER,TOM(in the paint)",1
10:04,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
10:04,,,,,"SUB IN by GONZALEZ,LORENZO",,,"SUB IN by GONZALEZ,LORENZO",1
10:04,,,,,"SUB IN by GARATE,VICTOR",,,"SUB IN by GARATE,VICTOR",1
10:04,,,,,"SUB OUT by RICHELSEN,MATTHEW",,,"SUB OUT by RICHELSEN,MATTHEW",1
10:04,,,,,"SUB OUT by COLVIN,DARRIUS",,,"SUB OUT by COLVIN,DARRIUS",1
09:55,"MISS JUMPER by SMITH,PRESTON",,,,,,,"MISS JUMPER by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by FRUHWIRTH,LOGAN",,,"REBOUND DEF by FRUHWIRTH,LOGAN",1
09:41,,28 (+6),,22,"GOOD JUMPER by KAISER,TOM",UDMBB 28-22 (+6),,"GOOD JUMPER by KAISER,TOM",1
--,,,,,"ASSIST  by FRUHWIRTH,LOGAN",,,"ASSIST  by FRUHWIRTH,LOGAN",1
09:15,,,,,"FOUL  by GARATE,VICTOR",,,"FOUL  by GARATE,VICTOR",1
09:11,,,,,"FOUL  by FRUHWIRTH,LOGAN",,,"FOUL  by FRUHWIRTH,LOGAN",1
09:11,"GOOD FT by LINK,JACOB",29 (+7),,22,,HENDRIX 29-22 (+7),,"GOOD FT by LINK,JACOB",1
09:11,"GOOD FT by LINK,JACOB",30 (+8),,22,,HENDRIX 30-22 (+8),,"GOOD FT by LINK,JACOB",1
09:11,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",1
09:11,"SUB OUT by NOTLEY,CHANDLER",,,,,,,"SUB OUT by NOTLEY,CHANDLER",1
08:54,,30 (+6),,24,"GOOD JUMPER by FRUHWIRTH,LOGAN",UDMBB 30-24 (+6),,"GOOD JUMPER by FRUHWIRTH,LOGAN",1
--,,,,,"ASSIST  by GONZALEZ,LORENZO",,,"ASSIST  by GONZALEZ,LORENZO",1
08:33,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",1
08:33,,,,,"STEAL  by FRUHWIRTH,LOGAN",,,"STEAL  by FRUHWIRTH,LOGAN",1
08:33,,,,,"TURNOVER  by FRUHWIRTH,LOGAN",,,"TURNOVER  by FRUHWIRTH,LOGAN",1
08:33,"TURNOVER  by LITTLEFIELD,GEAREN",,,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",1
08:33,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",1
08:33,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",1
08:33,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",1
08:19,,,,,"MISS 3PTR by GONZALEZ,LORENZO",,,"MISS 3PTR by GONZALEZ,LORENZO",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
08:09,,,,,"FOUL  by KAISER,TOM",,,"FOUL  by KAISER,TOM",1
08:09,"GOOD FT by ALDOUS,HANK",31 (+7),,24,,HENDRIX 31-24 (+7),,"GOOD FT by ALDOUS,HANK",1
08:09,"MISS FT by ALDOUS,HANK",,,,,,,"MISS FT by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by FRUHWIRTH,LOGAN",,,"REBOUND DEF by FRUHWIRTH,LOGAN",1
07:53,"FOUL  by NOTLEY,CHANDLER",,,,,,,"FOUL  by NOTLEY,CHANDLER",1
07:53,,31 (+6),,25,"GOOD FT by KAISER,TOM",UDMBB 31-25 (+6),,"GOOD FT by KAISER,TOM",1
07:53,,31 (+5),,26,"GOOD FT by KAISER,TOM",UDMBB 31-26 (+5),,"GOOD FT by KAISER,TOM",1
07:53,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",1
07:53,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",1
07:53,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",1
07:53,"SUB OUT by NOTLEY,CHANDLER",,,,,,,"SUB OUT by NOTLEY,CHANDLER",1
07:44,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
07:42,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",1
07:42,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",1
07:31,,31 (+3),,28,"GOOD JUMPER by SARRAT,MICHAEL",UDMBB 31-28 (+3),,"GOOD JUMPER by SARRAT,MICHAEL",1
07:15,"GOOD 3PTR by STEELE,AARON",34 (+6),,28,,HENDRIX 34-28 (+6),,"GOOD 3PTR by STEELE,AARON",1
--,"ASSIST  by GARRETT,TRAVIS",,,,,,,"ASSIST  by GARRETT,TRAVIS",1
07:07,,34 (+4),,30,"GOOD LAYUP by KAISER,TOM(fastbreak)(in the paint)",UDMBB 34-30 (+4),,"GOOD LAYUP by KAISER,TOM(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GARATE,VICTOR",,,"ASSIST  by GARATE,VICTOR",1
06:54,,,,,"FOUL  by SARRAT,MICHAEL",,,"FOUL  by SARRAT,MICHAEL",1
06:54,"GOOD FT by STEELE,AARON",35 (+5),,30,,HENDRIX 35-30 (+5),,"GOOD FT by STEELE,AARON",1
06:54,"GOOD FT by STEELE,AARON",36 (+6),,30,,HENDRIX 36-30 (+6),,"GOOD FT by STEELE,AARON",1
06:54,,,,,"SUB IN by RICHELSEN,MATTHEW",,,"SUB IN by RICHELSEN,MATTHEW",1
06:54,,,,,"SUB IN by GIADOLOR,PRINCE",,,"SUB IN by GIADOLOR,PRINCE",1
06:54,,,,,"SUB OUT by FRUHWIRTH,LOGAN",,,"SUB OUT by FRUHWIRTH,LOGAN",1
06:54,,,,,"SUB OUT by GARATE,VICTOR",,,"SUB OUT by GARATE,VICTOR",1
06:38,,36 (+3),,33,"GOOD 3PTR by GONZALEZ,LORENZO",UDMBB 36-33 (+3),,"GOOD 3PTR by GONZALEZ,LORENZO",1
--,,,,,"ASSIST  by GIADOLOR,PRINCE",,,"ASSIST  by GIADOLOR,PRINCE",1
06:26,"MISS 3PTR by STEELE,AARON",,,,,,,"MISS 3PTR by STEELE,AARON",1
--,,,,,"REBOUND DEF by KAISER,TOM",,,"REBOUND DEF by KAISER,TOM",1
06:12,,36 (+1),,35,"GOOD JUMPER by GIADOLOR,PRINCE(in the paint)",UDMBB 36-35 (+1),,"GOOD JUMPER by GIADOLOR,PRINCE(in the paint)",1
05:54,"MISS LAYUP by GARRETT,TRAVIS",,,,,,,"MISS LAYUP by GARRETT,TRAVIS",1
05:54,,,,,"BLOCK  by KAISER,TOM",,,"BLOCK  by KAISER,TOM",1
--,,,,,"REBOUND DEF by KAISER,TOM",,,"REBOUND DEF by KAISER,TOM",1
05:43,,,,,"TURNOVER  by RICHELSEN,MATTHEW",,,"TURNOVER  by RICHELSEN,MATTHEW",1
05:41,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",1
05:38,,,,,"FOUL  by SARRAT,MICHAEL",,,"FOUL  by SARRAT,MICHAEL",1
05:38,"GOOD FT by PARKER,BRYCE",37 (+2),,35,,HENDRIX 37-35 (+2),,"GOOD FT by PARKER,BRYCE",1
05:38,"GOOD FT by PARKER,BRYCE",38 (+3),,35,,HENDRIX 38-35 (+3),,"GOOD FT by PARKER,BRYCE",1
05:38,,,,,"SUB IN by MACCALLUM,RORY",,,"SUB IN by MACCALLUM,RORY",1
05:38,,,,,"SUB OUT by KAISER,TOM",,,"SUB OUT by KAISER,TOM",1
05:17,"FOUL  by PARKER,BRYCE",,,,,,,"FOUL  by PARKER,BRYCE",1
05:17,,38 (+2),,36,"GOOD FT by SARRAT,MICHAEL",UDMBB 38-36 (+2),,"GOOD FT by SARRAT,MICHAEL",1
05:17,,38 (+1),,37,"GOOD FT by SARRAT,MICHAEL",UDMBB 38-37 (+1),,"GOOD FT by SARRAT,MICHAEL",1
05:17,,,,,"SUB IN by COLVIN,DARRIUS",,,"SUB IN by COLVIN,DARRIUS",1
05:17,,,,,"SUB OUT by GONZALEZ,LORENZO",,,"SUB OUT by GONZALEZ,LORENZO",1
05:10,"TURNOVER  by PARKER,BRYCE",,,,,,,"TURNOVER  by PARKER,BRYCE",1
05:10,,,,,"SUB IN by HAYES,ISAIAH",,,"SUB IN by HAYES,ISAIAH",1
05:10,,,,,"SUB OUT by SARRAT,MICHAEL",,,"SUB OUT by SARRAT,MICHAEL",1
05:00,,38,,39 (+1),"GOOD JUMPER by GIADOLOR,PRINCE(in the paint)",UDMBB 38-39 (-1),,"GOOD JUMPER by GIADOLOR,PRINCE(in the paint)",1
04:46,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,"REBOUND DEF by COLVIN,DARRIUS",,,"REBOUND DEF by COLVIN,DARRIUS",1
04:35,,38,,41 (+3),"GOOD JUMPER by GIADOLOR,PRINCE(in the paint)",UDMBB 38-41 (-3),,"GOOD JUMPER by GIADOLOR,PRINCE(in the paint)",1
04:34,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",1
04:34,,,,,"MISS FT by GIADOLOR,PRINCE",,,"MISS FT by GIADOLOR,PRINCE",1
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",1
04:22,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",40,,41 (+1),,HENDRIX 40-41 (-1),,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",1
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",1
04:03,,40,,44 (+4),"GOOD 3PTR by COLVIN,DARRIUS",UDMBB 40-44 (-4),,"GOOD 3PTR by COLVIN,DARRIUS",1
--,,,,,"ASSIST  by GIADOLOR,PRINCE",,,"ASSIST  by GIADOLOR,PRINCE",1
03:48,"GOOD LAYUP by LINK,JACOB(in the paint)",42,,44 (+2),,HENDRIX 42-44 (-2),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
--,"ASSIST  by BATCHELOR,BRYCE",,,,,,,"ASSIST  by BATCHELOR,BRYCE",1
03:37,,42,,47 (+5),"GOOD 3PTR by COLVIN,DARRIUS",UDMBB 42-47 (-5),,"GOOD 3PTR by COLVIN,DARRIUS",1
--,,,,,"ASSIST  by GIADOLOR,PRINCE",,,"ASSIST  by GIADOLOR,PRINCE",1
03:15,"MISS 3PTR by STEELE,AARON",,,,,,,"MISS 3PTR by STEELE,AARON",1
--,,,,,"REBOUND DEF by MACCALLUM,RORY",,,"REBOUND DEF by MACCALLUM,RORY",1
03:02,,42,,49 (+7),"GOOD JUMPER by COLVIN,DARRIUS",UDMBB 42-49 (-7),,"GOOD JUMPER by COLVIN,DARRIUS",1
02:49,"GOOD 3PTR by BATCHELOR,BRYCE",45,,49 (+4),,HENDRIX 45-49 (-4),,"GOOD 3PTR by BATCHELOR,BRYCE",1
--,"ASSIST  by PARKER,BRYCE",,,,,,,"ASSIST  by PARKER,BRYCE",1
02:47,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
02:34,,,,,"TURNOVER  by FRUHWIRTH,LOGAN",,,"TURNOVER  by FRUHWIRTH,LOGAN",1
02:33,"STEAL  by BATCHELOR,BRYCE",,,,,,,"STEAL  by BATCHELOR,BRYCE",1
02:23,"MISS 3PTR by BATCHELOR,BRYCE",,,,,,,"MISS 3PTR by BATCHELOR,BRYCE",1
--,,,,,"REBOUND DEF by COLVIN,DARRIUS",,,"REBOUND DEF by COLVIN,DARRIUS",1
02:14,,45,,51 (+6),"GOOD JUMPER by COLVIN,DARRIUS",UDMBB 45-51 (-6),,"GOOD JUMPER by COLVIN,DARRIUS",1
02:06,,,,,"SUB IN by FRUHWIRTH,LOGAN",,,"SUB IN by FRUHWIRTH,LOGAN",1
02:06,,,,,"SUB OUT by RICHELSEN,MATTHEW",,,"SUB OUT by RICHELSEN,MATTHEW",1
01:52,"GOOD JUMPER by GARRETT,TRAVIS(in the paint)",47,,51 (+4),,HENDRIX 47-51 (-4),,"GOOD JUMPER by GARRETT,TRAVIS(in the paint)",1
--,"ASSIST  by BATCHELOR,BRYCE",,,,,,,"ASSIST  by BATCHELOR,BRYCE",1
01:35,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",1
01:35,,,,,"MISS FT by GIADOLOR,PRINCE",,,"MISS FT by GIADOLOR,PRINCE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
