Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
13:50,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",1
13:50,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",1
13:50,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
13:50,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
13:47,"MISS 3PTR by STEELE,AARON",,,,,,,"MISS 3PTR by STEELE,AARON",1
--,"REBOUND OFF by ALDOUS,HANK",,,,,,,"REBOUND OFF by ALDOUS,HANK",1
13:39,"GOOD 3PTR by STEELE,AARON",6,,9 (+3),,HENDRIX 6-9 (-3),,"GOOD 3PTR by STEELE,AARON",1
--,"ASSIST ASSIST by ALDOUS,HANK",,,,,,,"ASSIST ASSIST by ALDOUS,HANK",1
13:14,,,,,"MISS JUMPER by HOWELL,TAYLOR",,,"MISS JUMPER by HOWELL,TAYLOR",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
13:11,TIMEOUT 30s by TEAM,,,,,,,TIMEOUT 30s by TEAM,1
13:11,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",1
12:55,,,,,"STEAL  by BORN,LEO",,,"STEAL  by BORN,LEO",1
12:51,,,,,"TURNOVER  by HOWELL,TAYLOR",,,"TURNOVER  by HOWELL,TAYLOR",1
12:50,"STEAL  by SMITH,PRESTON",,,,,,,"STEAL  by SMITH,PRESTON",1
12:48,"GOOD LAYUP by SMITH,PRESTON(in the paint)",8,,9 (+1),,HENDRIX 8-9 (-1),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",1
12:45,,,,,"FOUL  by HOWELL,TAYLOR",,,"FOUL  by HOWELL,TAYLOR",1
12:45,"GOOD FT by SMITH,PRESTON",9,,9,,HENDRIX 9-9 (0),,"GOOD FT by SMITH,PRESTON",1
12:45,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",1
12:45,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
12:45,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
12:45,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
12:45,,,,,"SUB OUT by HOWELL,TAYLOR",,,"SUB OUT by HOWELL,TAYLOR",1
12:45,,,,,"SUB OUT by CRUMLY,JONNY",,,"SUB OUT by CRUMLY,JONNY",1
12:45,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
12:45,,,,,"SUB OUT by LEE,MATTHEW",,,"SUB OUT by LEE,MATTHEW",1
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",1
12:21,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
12:01,"GOOD JUMPER by ALDOUS,HANK",11 (+2),,9,,HENDRIX 11-9 (+2),,"GOOD JUMPER by ALDOUS,HANK",1
11:34,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",1
11:33,"STEAL  by ALDOUS,HANK",,,,,,,"STEAL  by ALDOUS,HANK",1
11:32,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",13 (+4),,9,,HENDRIX 13-9 (+4),,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",1
11:09,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:08,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:08,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",1
11:08,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",1
11:08,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",1
11:08,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",1
11:08,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",1
11:08,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
10:49,"MISS LAYUP by BATCHELOR,BRYCE",,,,,,,"MISS LAYUP by BATCHELOR,BRYCE",1
10:18,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
09:52,"GOOD JUMPER by LINK,JACOB",15 (+6),,9,,HENDRIX 15-9 (+6),,"GOOD JUMPER by LINK,JACOB",1
09:18,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,"REBOUND DEF by PARKER,BRYCE",,,,,,,"REBOUND DEF by PARKER,BRYCE",1
09:03,"GOOD 3PTR by BATCHELOR,BRYCE",18 (+9),,9,,HENDRIX 18-9 (+9),,"GOOD 3PTR by BATCHELOR,BRYCE",1
--,"ASSIST ASSIST by PARKER,BRYCE",,,,,,,"ASSIST ASSIST by PARKER,BRYCE",1
08:41,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
08:40,,18 (+7),,11,"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 18-11 (+7),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
08:40,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",1
08:40,"MISS FT by ALDOUS,HANK",,,,,,,"MISS FT by ALDOUS,HANK",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:40,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",1
08:40,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",1
08:40,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",1
08:40,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",1
08:32,,,,,"MISS FT by STONE,BRODY",,,"MISS FT by STONE,BRODY",1
--,"REBOUND DEF by BATCHELOR,BRYCE",,,,,,,"REBOUND DEF by BATCHELOR,BRYCE",1
08:24,"TURNOVER  by BATCHELOR,BRYCE",,,,,,,"TURNOVER  by BATCHELOR,BRYCE",1
08:22,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
08:22,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
08:03,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",1
08:03,,,,,"MISS FT by THOMAS,ADRIAN",,,"MISS FT by THOMAS,ADRIAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:03,,18 (+6),,12,"GOOD FT by THOMAS,ADRIAN",SEWANEE 18-12 (+6),,"GOOD FT by THOMAS,ADRIAN",1
08:03,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",1
08:03,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
08:03,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",1
08:03,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
07:48,,,,,"FOUL  by BUESCHER,HUNTER",,,"FOUL  by BUESCHER,HUNTER",1
07:48,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:48,"GOOD FT by ALDOUS,HANK",19 (+7),,12,,HENDRIX 19-12 (+7),,"GOOD FT by ALDOUS,HANK",1
07:48,"GOOD FT by ALDOUS,HANK",20 (+8),,12,,HENDRIX 20-12 (+8),,"GOOD FT by ALDOUS,HANK",1
07:46,"FOUL  by PARKER,BRYCE",,,,,,,"FOUL  by PARKER,BRYCE",1
07:46,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",1
07:46,"SUB OUT by PARKER,BRYCE",,,,,,,"SUB OUT by PARKER,BRYCE",1
07:46,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
07:46,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
07:16,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
07:07,"MISS JUMPER by SMITH,PRESTON",,,,,,,"MISS JUMPER by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by LEE,MATTHEW",,,"REBOUND DEF by LEE,MATTHEW",1
06:54,,20 (+6),,14,"GOOD JUMPER by WILLIAMS,JORDEN",SEWANEE 20-14 (+6),,"GOOD JUMPER by WILLIAMS,JORDEN",1
06:54,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",1
06:54,,20 (+5),,15,"GOOD FT by WILLIAMS,JORDEN",SEWANEE 20-15 (+5),,"GOOD FT by WILLIAMS,JORDEN",1
06:54,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",1
06:54,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",1
06:54,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
06:54,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
06:39,"MISS JUMPER by GARRETT,TRAVIS",,,,,,,"MISS JUMPER by GARRETT,TRAVIS",1
06:39,,,,,"BLOCK  by LEE,MATTHEW",,,"BLOCK  by LEE,MATTHEW",1
--,"REBOUND OFF by NOTLEY,CHANDLER",,,,,,,"REBOUND OFF by NOTLEY,CHANDLER",1
06:36,,,,,"FOUL  by THOMAS,ADRIAN",,,"FOUL  by THOMAS,ADRIAN",1
06:22,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
06:05,,,,,"TURNOVER  by LEE,MATTHEW",,,"TURNOVER  by LEE,MATTHEW",1
05:54,"GOOD LAYUP by ALDOUS,HANK(in the paint)",22 (+7),,15,,HENDRIX 22-15 (+7),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
05:33,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",1
05:33,,,,,"MISS FT by WILLIAMS,JORDEN",,,"MISS FT by WILLIAMS,JORDEN",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
05:33,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",1
05:33,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
05:33,,,,,"SUB OUT by LEE,MATTHEW",,,"SUB OUT by LEE,MATTHEW",1
05:33,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
05:15,"MISS JUMPER by NOTLEY,CHANDLER",,,,,,,"MISS JUMPER by NOTLEY,CHANDLER",1
--,,,,,"REBOUND DEF by WILLIAMS,JORDEN",,,"REBOUND DEF by WILLIAMS,JORDEN",1
05:05,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
05:01,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",24 (+9),,15,,HENDRIX 24-15 (+9),,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",1
--,"ASSIST ASSIST by LINK,JACOB",,,,,,,"ASSIST ASSIST by LINK,JACOB",1
04:58,TIMEOUT 30s by TEAM,,,,,,,TIMEOUT 30s by TEAM,1
04:58,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
04:58,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
04:29,"BLOCK  by NOTLEY,CHANDLER",,,,,,,"BLOCK  by NOTLEY,CHANDLER",1
04:29,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
04:27,,24 (+7),,17,"GOOD JUMPER by STONE,BRODY",SEWANEE 24-17 (+7),,"GOOD JUMPER by STONE,BRODY",1
03:58,"GOOD LAYUP by PARKER,BRYCE(in the paint)",26 (+9),,17,,HENDRIX 26-17 (+9),,"GOOD LAYUP by PARKER,BRYCE(in the paint)",1
--,"ASSIST ASSIST by NOTLEY,CHANDLER",,,,,,,"ASSIST ASSIST by NOTLEY,CHANDLER",1
03:34,,26 (+6),,20,"GOOD 3PTR by BORN,LEO",SEWANEE 26-20 (+6),,"GOOD 3PTR by BORN,LEO",1
--,,,,,"ASSIST ASSIST by STONE,BRODY",,,"ASSIST ASSIST by STONE,BRODY",1
03:19,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:02,"MISS JUMPER by LINK,JACOB",,,,,,,"MISS JUMPER by LINK,JACOB",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:49,,,,,"MISS 3PTR by BORN,LEO",,,"MISS 3PTR by BORN,LEO",1
02:30,,,,,"FOUL  by BORN,LEO",,,"FOUL  by BORN,LEO",1
02:30,"GOOD FT by STEELE,AARON",27 (+7),,20,,HENDRIX 27-20 (+7),,"GOOD FT by STEELE,AARON",1
02:30,"MISS FT by STEELE,AARON",,,,,,,"MISS FT by STEELE,AARON",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
02:30,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",1
02:30,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",1
02:25,,27 (+5),,22,"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 27-22 (+5),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
02:21,"MISS JUMPER by ALDOUS,HANK",,,,,,,"MISS JUMPER by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1
02:15,,,,,"TURNOVER  by BUESCHER,HUNTER",,,"TURNOVER  by BUESCHER,HUNTER",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:06,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",1
00:46,,27 (+3),,24,"GOOD JUMPER by WILLIAMS,JORDEN",SEWANEE 27-24 (+3),,"GOOD JUMPER by WILLIAMS,JORDEN",1
00:43,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",1
00:43,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",1
00:43,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
00:43,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",1
00:33,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
00:33,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
00:05,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
19:50,"MISS JUMPER by ALDOUS,HANK",,,,,,,"MISS JUMPER by ALDOUS,HANK",2
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",2
19:18,,,,,"MISS 3PTR by CALDWELL,CAM",,,"MISS 3PTR by CALDWELL,CAM",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
19:07,,,,,"MISS JUMPER by BORN,CLAY",,,"MISS JUMPER by BORN,CLAY",2
19:07,"BLOCK  by ALDOUS,HANK",,,,,,,"BLOCK  by ALDOUS,HANK",2
--,,,,,"REBOUND OFF by BORN,CLAY",,,"REBOUND OFF by BORN,CLAY",2
19:05,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",2
18:51,,27 (+1),,26,"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 27-26 (+1),,"GOOD LAYUP by STONE,BRODY(in the paint)",2
18:37,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",2
18:37,"TURNOVER  by LITTLEFIELD,GEAREN",,,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",2
18:37,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",2
18:37,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",2
18:13,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",2
18:03,"MISS JUMPER by SMITH,PRESTON",,,,,,,"MISS JUMPER by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",2
17:33,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",2
--,"REBOUND DEF by BATCHELOR,BRYCE",,,,,,,"REBOUND DEF by BATCHELOR,BRYCE",2
17:15,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",2
16:56,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",2
16:48,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",2
16:37,,,,,"MISS LAYUP by BORN,CLAY",,,"MISS LAYUP by BORN,CLAY",2
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",2
16:20,"MISS 3PTR by BATCHELOR,BRYCE",,,,,,,"MISS 3PTR by BATCHELOR,BRYCE",2
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",2
16:05,,27,,28 (+1),"GOOD LAYUP by BORN,LEO(in the paint)",SEWANEE 27-28 (-1),,"GOOD LAYUP by BORN,LEO(in the paint)",2
--,,,,,"ASSIST ASSIST by STONE,BRODY",,,"ASSIST ASSIST by STONE,BRODY",2
15:47,"GOOD 3PTR by BATCHELOR,BRYCE",30 (+2),,28,,HENDRIX 30-28 (+2),,"GOOD 3PTR by BATCHELOR,BRYCE",2
15:34,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",2
--,"REBOUND DEF by BATCHELOR,BRYCE",,,,,,,"REBOUND DEF by BATCHELOR,BRYCE",2
15:23,"MISS JUMPER by SMITH,PRESTON",,,,,,,"MISS JUMPER by SMITH,PRESTON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
15:21,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:21,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",2
15:21,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",2
15:21,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",2
15:21,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",2
15:21,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",2
15:21,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",2
15:12,,,,,"TURNOVER  by LEE,MATTHEW",,,"TURNOVER  by LEE,MATTHEW",2
15:11,"STEAL  by SMITH,PRESTON",,,,,,,"STEAL  by SMITH,PRESTON",2
15:10,"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)",32 (+4),,28,,HENDRIX 32-28 (+4),,"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)",2
14:34,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
14:34,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",2
14:34,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",2
14:12,"GOOD JUMPER by BATCHELOR,BRYCE(in the paint)",34 (+6),,28,,HENDRIX 34-28 (+6),,"GOOD JUMPER by BATCHELOR,BRYCE(in the paint)",2
13:45,,34 (+3),,31,"GOOD 3PTR by BUESCHER,HUNTER",SEWANEE 34-31 (+3),,"GOOD 3PTR by BUESCHER,HUNTER",2
13:30,"GOOD 3PTR by SMITH,PRESTON",37 (+6),,31,,HENDRIX 37-31 (+6),,"GOOD 3PTR by SMITH,PRESTON",2
12:54,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
12:54,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",2
12:54,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",2
