Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
13:23,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",13 (+1),,12,,SEWANEE 13-12 (-1),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
13:06,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",1
13:06,,13,,13,"GOOD FT by GARRETT,TRAVIS",HENDRIX 13-13 (0),,"GOOD FT by GARRETT,TRAVIS",1
13:06,,,,,"MISS FT by GARRETT,TRAVIS",,,"MISS FT by GARRETT,TRAVIS",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
12:52,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
12:37,,13,,15 (+2),"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)",HENDRIX 13-15 (+2),,"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",1
12:23,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
12:23,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:23,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",1
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",1
12:23,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
12:23,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
12:23,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
12:23,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",1
12:19,"GOOD TIPIN by THOMAS,ADRIAN(in the paint)",15,,15,,SEWANEE 15-15 (0),,"GOOD TIPIN by THOMAS,ADRIAN(in the paint)",1
12:11,,,,,"TURNOVER  by STEELE,AARON",,,"TURNOVER  by STEELE,AARON",1
11:59,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",17 (+2),,15,,SEWANEE 17-15 (-2),,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",1
11:46,,17,,17,"GOOD LAYUP by STEELE,AARON(in the paint)",HENDRIX 17-17 (0),,"GOOD LAYUP by STEELE,AARON(in the paint)",1
--,,,,,"ASSIST  by BATCHELOR,BRYCE",,,"ASSIST  by BATCHELOR,BRYCE",1
11:28,"GOOD 3PTR by BORN,CLAY",20 (+3),,17,,SEWANEE 20-17 (-3),,"GOOD 3PTR by BORN,CLAY",1
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",1
11:02,,,,,"MISS 3PTR by BATCHELOR,BRYCE",,,"MISS 3PTR by BATCHELOR,BRYCE",1
--,,,,,"REBOUND OFF by NOTLEY,CHANDLER",,,"REBOUND OFF by NOTLEY,CHANDLER",1
10:53,,20 (+1),,19,"GOOD LAYUP by NOTLEY,CHANDLER(in the paint)",HENDRIX 20-19 (-1),,"GOOD LAYUP by NOTLEY,CHANDLER(in the paint)",1
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",1
10:37,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
10:37,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
10:37,"SUB IN by SPENCER,JC",,,,,,,"SUB IN by SPENCER,JC",1
10:37,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
10:37,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
10:37,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
10:37,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
10:37,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
10:26,,20,,22 (+2),"GOOD 3PTR by STEELE,AARON",HENDRIX 20-22 (+2),,"GOOD 3PTR by STEELE,AARON",1
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",1
10:03,"MISS JUMPER by SPENCER,JC",,,,,,,"MISS JUMPER by SPENCER,JC",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
09:40,,20,,24 (+4),"GOOD JUMPER by NOTLEY,CHANDLER(in the paint)",HENDRIX 20-24 (+4),,"GOOD JUMPER by NOTLEY,CHANDLER(in the paint)",1
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",1
09:22,"TURNOVER  by SPENCER,JC",,,,,,,"TURNOVER  by SPENCER,JC",1
09:22,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
09:22,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
09:22,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
09:22,"SUB OUT by SPENCER,JC",,,,,,,"SUB OUT by SPENCER,JC",1
09:22,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
09:22,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
09:10,,,,,"MISS LAYUP by STEELE,AARON",,,"MISS LAYUP by STEELE,AARON",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
08:51,"MISS LAYUP by CALDWELL,CAM",,,,,,,"MISS LAYUP by CALDWELL,CAM",1
08:51,,,,,"BLOCK  by BATCHELOR,BRYCE",,,"BLOCK  by BATCHELOR,BRYCE",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
08:37,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
08:10,"MISS JUMPER by STONE,BRODY",,,,,,,"MISS JUMPER by STONE,BRODY",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
08:00,,,,,"MISS LAYUP by STEELE,AARON",,,"MISS LAYUP by STEELE,AARON",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
07:36,"MISS JUMPER by BORN,CLAY",,,,,,,"MISS JUMPER by BORN,CLAY",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
07:26,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
07:26,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:26,"SUB IN by BRADEN,WILL",,,,,,,"SUB IN by BRADEN,WILL",1
07:26,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
07:26,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
07:26,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
07:26,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
07:26,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
07:26,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
07:26,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",1
07:26,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",1
07:26,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
07:23,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",1
07:18,,20,,26 (+6),"GOOD LAYUP by ALDOUS,HANK(in the paint)",HENDRIX 20-26 (+6),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
06:59,"MISS LAYUP by THOMAS,ADRIAN",,,,,,,"MISS LAYUP by THOMAS,ADRIAN",1
06:59,,,,,"BLOCK  by LITTLEFIELD,GEAREN",,,"BLOCK  by LITTLEFIELD,GEAREN",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
06:58,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
06:58,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
06:49,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",1
06:46,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
06:32,"GOOD LAYUP by BORN,LEO(in the paint)",22,,26 (+4),,SEWANEE 22-26 (+4),,"GOOD LAYUP by BORN,LEO(in the paint)",1
06:21,,22,,28 (+6),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 22-28 (+6),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",1
06:20,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",1
06:20,,22,,29 (+7),"GOOD FT by LITTLEFIELD,GEAREN",HENDRIX 22-29 (+7),,"GOOD FT by LITTLEFIELD,GEAREN",1
06:20,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
06:20,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
06:20,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
06:20,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
06:17,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
06:00,"GOOD LAYUP by STONE,BRODY(in the paint)",24,,29 (+5),,SEWANEE 24-29 (+5),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",1
05:46,,24,,31 (+7),"GOOD LAYUP by ALDOUS,HANK(in the paint)",HENDRIX 24-31 (+7),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
05:27,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
05:27,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
05:27,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
05:27,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",1
05:15,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
05:03,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
04:57,,24,,33 (+9),"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",HENDRIX 24-33 (+9),,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
04:28,"GOOD 3PTR by WILLIAMS,JORDEN",27,,33 (+6),,SEWANEE 27-33 (+6),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
04:10,,,,,"MISS JUMPER by ALDOUS,HANK",,,"MISS JUMPER by ALDOUS,HANK",1
--,,,,,"REBOUND OFF by SMITH,PRESTON",,,"REBOUND OFF by SMITH,PRESTON",1
04:05,,,,,"MISS JUMPER by SMITH,PRESTON",,,"MISS JUMPER by SMITH,PRESTON",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
03:44,"GOOD 3PTR by STONE,BRODY",30,,33 (+3),,SEWANEE 30-33 (+3),,"GOOD 3PTR by STONE,BRODY",1
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",1
03:24,,30,,35 (+5),"GOOD LAYUP by SMITH,PRESTON(in the paint)",HENDRIX 30-35 (+5),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",1
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",1
03:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:16,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
03:16,"SUB OUT by BRADEN,WILL",,,,,,,"SUB OUT by BRADEN,WILL",1
02:58,"MISS LAYUP by WILLIAMS,JORDEN",,,,,,,"MISS LAYUP by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
02:43,,,,,"MISS LAYUP by ALDOUS,HANK",,,"MISS LAYUP by ALDOUS,HANK",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
02:32,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",32,,35 (+3),,SEWANEE 32-35 (+3),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",1
02:15,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
01:48,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
01:19,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",1
01:18,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
01:15,,32,,37 (+5),"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",HENDRIX 32-37 (+5),,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
00:54,"GOOD 3PTR by BUESCHER,HUNTER",35,,37 (+2),,SEWANEE 35-37 (+2),,"GOOD 3PTR by BUESCHER,HUNTER",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
00:44,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:44,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
00:44,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
00:38,,,,,"TURNOVER  by SMITH,PRESTON",,,"TURNOVER  by SMITH,PRESTON",1
00:38,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",1
00:24,"GOOD JUMPER by STONE,BRODY(in the paint)",37,,37,,SEWANEE 37-37 (0),,"GOOD JUMPER by STONE,BRODY(in the paint)",1
00:03,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
00:02,"STEAL  by THOMAS,ADRIAN",,,,,,,"STEAL  by THOMAS,ADRIAN",1
19:38,"MISS JUMPER by THOMAS,ADRIAN",,,,,,,"MISS JUMPER by THOMAS,ADRIAN",2
19:38,,,,,"BLOCK  by GARRETT,TRAVIS",,,"BLOCK  by GARRETT,TRAVIS",2
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",2
19:35,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",39 (+2),,37,,SEWANEE 39-37 (-2),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
19:20,,39,,40 (+1),"GOOD 3PTR by SMITH,PRESTON",HENDRIX 39-40 (+1),,"GOOD 3PTR by SMITH,PRESTON",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
18:59,"MISS JUMPER by THOMAS,ADRIAN",,,,,,,"MISS JUMPER by THOMAS,ADRIAN",2
18:59,,,,,"BLOCK  by GARRETT,TRAVIS",,,"BLOCK  by GARRETT,TRAVIS",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
18:51,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",2
18:50,,,,,"STEAL  by ALDOUS,HANK",,,"STEAL  by ALDOUS,HANK",2
18:43,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",2
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",2
18:30,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",2
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",2
18:29,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",2
18:18,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
18:05,,,,,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",2
18:05,"GOOD FT by THOMAS,ADRIAN",40,,40,,SEWANEE 40-40 (0),,"GOOD FT by THOMAS,ADRIAN",2
18:05,"GOOD FT by THOMAS,ADRIAN",41 (+1),,40,,SEWANEE 41-40 (-1),,"GOOD FT by THOMAS,ADRIAN",2
17:48,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
17:45,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
