Time Remaining,RUSTMB,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
--,"ASSIST  by JACKSON,JARVIS",,,,,,,"ASSIST  by JACKSON,JARVIS",2
14:45,,44,,67 (+23),"GOOD LAYUP by ALDOUS,HANK(in the paint)",HENDRIX 44-67 (+23),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
14:28,"GOOD 3PTR by BROWN,DOMINIQUE",47,,67 (+20),,RUSTMB 47-67 (+20),,"GOOD 3PTR by BROWN,DOMINIQUE",2
--,"ASSIST  by HARRIS,ARTEZ",,,,,,,"ASSIST  by HARRIS,ARTEZ",2
14:05,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",2
14:05,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
13:51,"MISS JUMPER by HARRIS,ARTEZ",,,,,,,"MISS JUMPER by HARRIS,ARTEZ",2
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",2
13:43,,47,,69 (+22),"GOOD LAYUP by LINK,JACOB(fastbreak)(in the paint)",HENDRIX 47-69 (+22),,"GOOD LAYUP by LINK,JACOB(fastbreak)(in the paint)",2
13:25,"GOOD 3PTR by BROWN,DOMINIQUE",50,,69 (+19),,RUSTMB 50-69 (+19),,"GOOD 3PTR by BROWN,DOMINIQUE",2
13:07,,50,,71 (+21),"GOOD LAYUP by ALDOUS,HANK(in the paint)",HENDRIX 50-71 (+21),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",2
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",2
13:00,"TURNOVER  by BROWN,DOMINIQUE",,,,,,,"TURNOVER  by BROWN,DOMINIQUE",2
12:59,,,,,"STEAL  by SMITH,PRESTON",,,"STEAL  by SMITH,PRESTON",2
12:55,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",2
--,"REBOUND DEF by BROWN,DOMINIQUE",,,,,,,"REBOUND DEF by BROWN,DOMINIQUE",2
12:48,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",2
12:48,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",2
12:41,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",2
12:41,"GOOD FT by POTTS,ALLEN",51,,71 (+20),,RUSTMB 51-71 (+20),,"GOOD FT by POTTS,ALLEN",2
12:41,"GOOD FT by POTTS,ALLEN",52,,71 (+19),,RUSTMB 52-71 (+19),,"GOOD FT by POTTS,ALLEN",2
12:41,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",2
12:41,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",2
12:41,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",2
12:41,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",2
12:41,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",2
12:41,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",2
12:15,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
12:12,"SUB IN by JONES,ADE",,,,,,,"SUB IN by JONES,ADE",2
12:12,"SUB OUT by JACKSON,JARVIS",,,,,,,"SUB OUT by JACKSON,JARVIS",2
11:50,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",2
--,"REBOUND DEF by HARRIS,ARTEZ",,,,,,,"REBOUND DEF by HARRIS,ARTEZ",2
11:36,"TURNOVER  by POTTS,ALLEN",,,,,,,"TURNOVER  by POTTS,ALLEN",2
11:36,"FOUL  by POTTS,ALLEN",,,,,,,"FOUL  by POTTS,ALLEN",2
11:36,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
11:22,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",2
--,"REBOUND DEF by JONES,ANTONIO",,,,,,,"REBOUND DEF by JONES,ANTONIO",2
11:09,"MISS JUMPER by HARRIS,ARTEZ",,,,,,,"MISS JUMPER by HARRIS,ARTEZ",2
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",2
11:01,,,,,"MISS JUMPER by STEELE,AARON",,,"MISS JUMPER by STEELE,AARON",2
--,"REBOUND DEF by JONES,ANTONIO",,,,,,,"REBOUND DEF by JONES,ANTONIO",2
10:46,"GOOD JUMPER by POTTS,ALLEN",54,,71 (+17),,RUSTMB 54-71 (+17),,"GOOD JUMPER by POTTS,ALLEN",2
--,"ASSIST  by HARRIS,ARTEZ",,,,,,,"ASSIST  by HARRIS,ARTEZ",2
10:28,,54,,74 (+20),"GOOD 3PTR by PARKER,BRYCE",HENDRIX 54-74 (+20),,"GOOD 3PTR by PARKER,BRYCE",2
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",2
10:15,"GOOD JUMPER by HARRIS,ARTEZ",56,,74 (+18),,RUSTMB 56-74 (+18),,"GOOD JUMPER by HARRIS,ARTEZ",2
09:55,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",2
--,"REBOUND DEF by POTTS,ALLEN",,,,,,,"REBOUND DEF by POTTS,ALLEN",2
09:30,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",2
09:30,"GOOD FT by POTTS,ALLEN",57,,74 (+17),,RUSTMB 57-74 (+17),,"GOOD FT by POTTS,ALLEN",2
09:30,"GOOD FT by POTTS,ALLEN",58,,74 (+16),,RUSTMB 58-74 (+16),,"GOOD FT by POTTS,ALLEN",2
09:30,"SUB IN by FOWLER,DEWAUN",,,,,,,"SUB IN by FOWLER,DEWAUN",2
09:30,"SUB IN by JACKSON,JARVIS",,,,,,,"SUB IN by JACKSON,JARVIS",2
09:30,"SUB OUT by POTTS,ALLEN",,,,,,,"SUB OUT by POTTS,ALLEN",2
09:30,"SUB OUT by BROWN,DOMINIQUE",,,,,,,"SUB OUT by BROWN,DOMINIQUE",2
09:30,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",2
09:30,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",2
09:30,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",2
09:30,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",2
09:13,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",2
--,"REBOUND DEF by JACKSON,JARVIS",,,,,,,"REBOUND DEF by JACKSON,JARVIS",2
08:48,"GOOD 3PTR by HARRIS,ARTEZ",61,,74 (+13),,RUSTMB 61-74 (+13),,"GOOD 3PTR by HARRIS,ARTEZ",2
08:34,,61,,76 (+15),"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",HENDRIX 61-76 (+15),,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",2
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",2
08:18,,,,,"FOUL  by ALDOUS,HANK",,,"FOUL  by ALDOUS,HANK",2
08:18,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",2
08:18,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",2
08:18,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",2
08:18,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",2
08:00,"MISS 3PTR by JONES,ADE",,,,,,,"MISS 3PTR by JONES,ADE",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
07:40,"FOUL  by JACKSON,JARVIS",,,,,,,"FOUL  by JACKSON,JARVIS",2
07:40,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,2
07:40,"SUB IN by POTTS,ALLEN",,,,,,,"SUB IN by POTTS,ALLEN",2
07:40,"SUB OUT by JONES,ADE",,,,,,,"SUB OUT by JONES,ADE",2
07:35,,61,,78 (+17),"GOOD JUMPER by GARRETT,TRAVIS",HENDRIX 61-78 (+17),,"GOOD JUMPER by GARRETT,TRAVIS",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
07:11,"MISS JUMPER by POTTS,ALLEN",,,,,,,"MISS JUMPER by POTTS,ALLEN",2
07:11,,,,,"BLOCK  by LITTLEFIELD,GEAREN",,,"BLOCK  by LITTLEFIELD,GEAREN",2
--,"REBOUND OFF by JONES,ANTONIO",,,,,,,"REBOUND OFF by JONES,ANTONIO",2
07:09,,,,,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",2
07:09,"MISS FT by JONES,ANTONIO",,,,,,,"MISS FT by JONES,ANTONIO",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:09,"GOOD FT by JONES,ANTONIO",62,,78 (+16),,RUSTMB 62-78 (+16),,"GOOD FT by JONES,ANTONIO",2
07:01,"SUB IN by BROWN,DOMINIQUE",,,,,,,"SUB IN by BROWN,DOMINIQUE",2
07:01,"SUB OUT by HARRIS,ARTEZ",,,,,,,"SUB OUT by HARRIS,ARTEZ",2
06:56,,62,,81 (+19),"GOOD 3PTR by ALDOUS,HANK",HENDRIX 62-81 (+19),,"GOOD 3PTR by ALDOUS,HANK",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
06:33,,,,,"FOUL  by ALDOUS,HANK",,,"FOUL  by ALDOUS,HANK",2
06:33,"MISS FT by BROWN,DOMINIQUE",,,,,,,"MISS FT by BROWN,DOMINIQUE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:33,"GOOD FT by BROWN,DOMINIQUE",63,,81 (+18),,RUSTMB 63-81 (+18),,"GOOD FT by BROWN,DOMINIQUE",2
06:33,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",2
06:33,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",2
06:07,,63,,83 (+20),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 63-83 (+20),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
05:49,"MISS 3PTR by FOWLER,DEWAUN",,,,,,,"MISS 3PTR by FOWLER,DEWAUN",2
--,"REBOUND OFF by JONES,ANTONIO",,,,,,,"REBOUND OFF by JONES,ANTONIO",2
05:46,"GOOD LAYUP by JONES,ANTONIO(in the paint)",65,,83 (+18),,RUSTMB 65-83 (+18),,"GOOD LAYUP by JONES,ANTONIO(in the paint)",2
05:46,,,,,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",2
05:46,"MISS FT by JONES,ANTONIO",,,,,,,"MISS FT by JONES,ANTONIO",2
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
05:46,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",2
05:46,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
05:32,,65,,85 (+20),"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIX 65-85 (+20),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
--,,,,,"ASSIST  by BATCHELOR,BRYCE",,,"ASSIST  by BATCHELOR,BRYCE",2
05:20,"MISS LAYUP by BROWN,DOMINIQUE",,,,,,,"MISS LAYUP by BROWN,DOMINIQUE",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
05:18,"FOUL  by BROWN,DOMINIQUE",,,,,,,"FOUL  by BROWN,DOMINIQUE",2
05:18,"SUB IN by HARRIS,ARTEZ",,,,,,,"SUB IN by HARRIS,ARTEZ",2
05:18,"SUB OUT by JACKSON,JARVIS",,,,,,,"SUB OUT by JACKSON,JARVIS",2
05:07,,65,,87 (+22),"GOOD LAYUP by STEELE,AARON(in the paint)",HENDRIX 65-87 (+22),,"GOOD LAYUP by STEELE,AARON(in the paint)",2
--,,,,,"ASSIST  by BATCHELOR,BRYCE",,,"ASSIST  by BATCHELOR,BRYCE",2
04:53,"GOOD LAYUP by BROWN,DOMINIQUE(fastbreak)(in the paint)",67,,87 (+20),,RUSTMB 67-87 (+20),,"GOOD LAYUP by BROWN,DOMINIQUE(fastbreak)(in the paint)",2
04:53,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",2
04:53,"GOOD FT by BROWN,DOMINIQUE",68,,87 (+19),,RUSTMB 68-87 (+19),,"GOOD FT by BROWN,DOMINIQUE",2
04:32,,68,,90 (+22),"GOOD 3PTR by SMITH,PRESTON",HENDRIX 68-90 (+22),,"GOOD 3PTR by SMITH,PRESTON",2
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",2
04:14,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",2
04:14,"GOOD FT by HARRIS,ARTEZ",69,,90 (+21),,RUSTMB 69-90 (+21),,"GOOD FT by HARRIS,ARTEZ",2
04:14,"GOOD FT by HARRIS,ARTEZ",70,,90 (+20),,RUSTMB 70-90 (+20),,"GOOD FT by HARRIS,ARTEZ",2
03:49,,70,,92 (+22),"GOOD JUMPER by LITTLEFIELD,GEAREN(in the paint)",HENDRIX 70-92 (+22),,"GOOD JUMPER by LITTLEFIELD,GEAREN(in the paint)",2
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",2
03:32,"GOOD JUMPER by JONES,ANTONIO",72,,92 (+20),,RUSTMB 72-92 (+20),,"GOOD JUMPER by JONES,ANTONIO",2
--,"ASSIST  by HARRIS,ARTEZ",,,,,,,"ASSIST  by HARRIS,ARTEZ",2
03:07,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",2
--,"REBOUND DEF by JONES,ANTONIO",,,,,,,"REBOUND DEF by JONES,ANTONIO",2
02:59,"MISS 3PTR by HARRIS,ARTEZ",,,,,,,"MISS 3PTR by HARRIS,ARTEZ",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
02:41,"FOUL  by FOWLER,DEWAUN",,,,,,,"FOUL  by FOWLER,DEWAUN",2
02:41,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
02:41,,72,,93 (+21),"GOOD FT by SMITH,PRESTON",HENDRIX 72-93 (+21),,"GOOD FT by SMITH,PRESTON",2
02:41,,72,,94 (+22),"GOOD FT by SMITH,PRESTON",HENDRIX 72-94 (+22),,"GOOD FT by SMITH,PRESTON",2
02:41,,72,,95 (+23),"GOOD FT by SMITH,PRESTON",HENDRIX 72-95 (+23),,"GOOD FT by SMITH,PRESTON",2
02:29,"MISS JUMPER by POTTS,ALLEN",,,,,,,"MISS JUMPER by POTTS,ALLEN",2
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",2
02:01,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",2
02:01,"SUB IN by WRIGHT,OMAR",,,,,,,"SUB IN by WRIGHT,OMAR",2
02:01,"SUB IN by JACKSON,JARVIS",,,,,,,"SUB IN by JACKSON,JARVIS",2
02:01,"SUB OUT by POTTS,ALLEN",,,,,,,"SUB OUT by POTTS,ALLEN",2
02:01,"SUB OUT by BROWN,DOMINIQUE",,,,,,,"SUB OUT by BROWN,DOMINIQUE",2
02:01,,,,,"SUB IN by SHEPPARD,MARK",,,"SUB IN by SHEPPARD,MARK",2
02:01,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",2
02:01,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",2
02:01,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",2
02:01,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",2
02:01,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",2
02:01,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",2
02:01,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",2
02:01,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",2
02:01,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",2
02:00,"STEAL  by HARRIS,ARTEZ",,,,,,,"STEAL  by HARRIS,ARTEZ",2
01:56,,,,,"FOUL  by PARKER,BRYCE",,,"FOUL  by PARKER,BRYCE",2
01:56,"GOOD FT by FOWLER,DEWAUN",73,,95 (+22),,RUSTMB 73-95 (+22),,"GOOD FT by FOWLER,DEWAUN",2
01:56,"GOOD FT by FOWLER,DEWAUN",74,,95 (+21),,RUSTMB 74-95 (+21),,"GOOD FT by FOWLER,DEWAUN",2
01:56,"SUB IN by JONES,ADE",,,,,,,"SUB IN by JONES,ADE",2
01:56,"SUB IN by GRAY,MICHAEL",,,,,,,"SUB IN by GRAY,MICHAEL",2
01:56,"SUB OUT by FOWLER,DEWAUN",,,,,,,"SUB OUT by FOWLER,DEWAUN",2
01:56,"SUB OUT by JONES,ANTONIO",,,,,,,"SUB OUT by JONES,ANTONIO",2
01:47,,74,,97 (+23),"GOOD LAYUP by CRISWELL,SEAN(in the paint)",HENDRIX 74-97 (+23),,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",2
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",2
01:39,"MISS 3PTR by HARRIS,ARTEZ",,,,,,,"MISS 3PTR by HARRIS,ARTEZ",2
--,,,,,"REBOUND DEF by NOTLEY,CHANDLER",,,"REBOUND DEF by NOTLEY,CHANDLER",2
01:25,,,,,"MISS LAYUP by CRISWELL,SEAN",,,"MISS LAYUP by CRISWELL,SEAN",2
01:25,"BLOCK  by JONES,ADE",,,,,,,"BLOCK  by JONES,ADE",2
--,,,,,"REBOUND OFF by CALAMESE,MICHAEL",,,"REBOUND OFF by CALAMESE,MICHAEL",2
01:22,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",2
01:21,"STEAL  by WRIGHT,OMAR",,,,,,,"STEAL  by WRIGHT,OMAR",2
01:18,"MISS LAYUP by WRIGHT,OMAR",,,,,,,"MISS LAYUP by WRIGHT,OMAR",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
01:10,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",2
01:10,"MISS FT by WRIGHT,OMAR",,,,,,,"MISS FT by WRIGHT,OMAR",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:10,"TURNOVER  by GRAY,MICHAEL",,,,,,,"TURNOVER  by GRAY,MICHAEL",2
00:56,,74,,99 (+25),"GOOD JUMPER by PARKER,BRYCE",HENDRIX 74-99 (+25),,"GOOD JUMPER by PARKER,BRYCE",2
--,,,,,"ASSIST  by SHEPPARD,MARK",,,"ASSIST  by SHEPPARD,MARK",2
00:39,,,,,"FOUL  by CRISWELL,SEAN",,,"FOUL  by CRISWELL,SEAN",2
00:39,"MISS FT by WRIGHT,OMAR",,,,,,,"MISS FT by WRIGHT,OMAR",2
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",2
00:31,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:17,,,,,"MISS 3PTR by SHEPPARD,MARK",,,"MISS 3PTR by SHEPPARD,MARK",2
--,,,,,"REBOUND OFF by CRISWELL,SEAN",,,"REBOUND OFF by CRISWELL,SEAN",2
00:13,,74,,101 (+27),"GOOD TIPIN by CRISWELL,SEAN(in the paint)",HENDRIX 74-101 (+27),,"GOOD TIPIN by CRISWELL,SEAN(in the paint)",2
00:05,"MISS LAYUP by HARRIS,ARTEZ",,,,,,,"MISS LAYUP by HARRIS,ARTEZ",2
--,,,,,"REBOUND DEF by PARKER,BRYCE",,,"REBOUND DEF by PARKER,BRYCE",2
