Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,NPU,Game Score,Team Indicator,Play,Period
03:32,,,,,"MISS FT by POLK, JR.,KARL",,,"MISS FT by POLK, JR.,KARL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:32,,17,,31 (+14),"GOOD FT by POLK, JR.,KARL",NPU 17-31 (-14),,"GOOD FT by POLK, JR.,KARL",1
03:18,"MISS LAYUP by SMITH,GRAHAM(in the paint)",,,,,,,"MISS LAYUP by SMITH,GRAHAM(in the paint)",1
03:18,,,,,"BLOCK  by VANLANDINGHAM,KOLDEN",,,"BLOCK  by VANLANDINGHAM,KOLDEN",1
--,,,,,"REBOUND DEF by VANLANDINGHAM,KOLDEN",,,"REBOUND DEF by VANLANDINGHAM,KOLDEN",1
03:07,,,,,"FOUL  by POLK, JR.,KARL",,,"FOUL  by POLK, JR.,KARL",1
03:07,,,,,"SUB OUT by DIXON,QUILLIN",,,"SUB OUT by DIXON,QUILLIN",1
03:07,,,,,"SUB IN by ROBINSON,DAVANTE",,,"SUB IN by ROBINSON,DAVANTE",1
03:07,"MISS FT by HOLLAND,ELI",,,,,,,"MISS FT by HOLLAND,ELI",1
02:52,,,,,"MISS 3PTR by ROBINSON,DAVANTE",,,"MISS 3PTR by ROBINSON,DAVANTE",1
--,,,,,"REBOUND OFF by POLK, JR.,KARL",,,"REBOUND OFF by POLK, JR.,KARL",1
02:41,,,,,"MISS 3PTR by PUMPHREY,SHAMAR",,,"MISS 3PTR by PUMPHREY,SHAMAR",1
--,,,,,"REBOUND OFF by NELSON,LANCE",,,"REBOUND OFF by NELSON,LANCE",1
02:35,,17,,33 (+16),"GOOD LAYUP by NELSON,LANCE(in the paint)",NPU 17-33 (-16),,"GOOD LAYUP by NELSON,LANCE(in the paint)",1
02:16,"GOOD JUMPER by HOLLAND,ELI(in the paint)",19,,33 (+14),,Sewan 19-33 (-14),,"GOOD JUMPER by HOLLAND,ELI(in the paint)",1
02:15,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
02:05,,,,,"MISS LAYUP by PUMPHREY,SHAMAR(in the paint)",,,"MISS LAYUP by PUMPHREY,SHAMAR(in the paint)",1
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",1
01:36,"TURNOVER  by HOLLAND,ELI",,,,,,,"TURNOVER  by HOLLAND,ELI",1
01:36,,,,,"STEAL  by PUMPHREY,SHAMAR",,,"STEAL  by PUMPHREY,SHAMAR",1
01:23,,19,,36 (+17),"GOOD 3PTR by NELSON,LANCE",NPU 19-36 (-17),,"GOOD 3PTR by NELSON,LANCE",1
--,,,,,"ASSIST  by VANLANDINGHAM,KOLDEN",,,"ASSIST  by VANLANDINGHAM,KOLDEN",1
01:14,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",1
01:14,,,,,"STEAL  by VANLANDINGHAM,KOLDEN",,,"STEAL  by VANLANDINGHAM,KOLDEN",1
01:09,,19,,38 (+19),"GOOD LAYUP by VANLANDINGHAM,KOLDEN(fastbreak)(in the paint)",NPU 19-38 (-19),,"GOOD LAYUP by VANLANDINGHAM,KOLDEN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by NELSON,LANCE",,,"ASSIST  by NELSON,LANCE",1
00:57,"GOOD LAYUP by MARR,RUSS(in the paint)",21,,38 (+17),,Sewan 21-38 (-17),,"GOOD LAYUP by MARR,RUSS(in the paint)",1
00:57,,,,,"FOUL  by VANLANDINGHAM,KOLDEN",,,"FOUL  by VANLANDINGHAM,KOLDEN",1
00:57,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:57,"GOOD FT by MARR,RUSS",22,,38 (+16),,Sewan 22-38 (-16),,"GOOD FT by MARR,RUSS",1
00:40,,,,,"MISS JUMPER by PUMPHREY,SHAMAR(in the paint)",,,"MISS JUMPER by PUMPHREY,SHAMAR(in the paint)",1
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",1
00:29,,,,,"FOUL  by POLK, JR.,KARL",,,"FOUL  by POLK, JR.,KARL",1
00:29,"GOOD FT by SMITH,GRAHAM",23,,38 (+15),,Sewan 23-38 (-15),,"GOOD FT by SMITH,GRAHAM",1
00:29,,,,,"SUB OUT by POLK, JR.,KARL",,,"SUB OUT by POLK, JR.,KARL",1
00:29,,,,,"SUB IN by BULWA,ADAM",,,"SUB IN by BULWA,ADAM",1
00:29,"GOOD FT by SMITH,GRAHAM",24,,38 (+14),,Sewan 24-38 (-14),,"GOOD FT by SMITH,GRAHAM",1
00:06,,24,,41 (+17),"GOOD 3PTR by NELSON,LANCE",NPU 24-41 (-17),,"GOOD 3PTR by NELSON,LANCE",1
--,,,,,"ASSIST  by PUMPHREY,SHAMAR",,,"ASSIST  by PUMPHREY,SHAMAR",1
00:00,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
00:00,,,,,"SUB OUT by ROBINSON,DAVANTE",,,"SUB OUT by ROBINSON,DAVANTE",1
00:00,,,,,"SUB OUT by NELSON,LANCE",,,"SUB OUT by NELSON,LANCE",1
00:00,,,,,"SUB OUT by BULWA,ADAM",,,"SUB OUT by BULWA,ADAM",1
00:00,,,,,"SUB IN by JACKSON,MARQUISE",,,"SUB IN by JACKSON,MARQUISE",1
00:00,,,,,"SUB IN by BOYD,JALEN",,,"SUB IN by BOYD,JALEN",1
00:00,,,,,"SUB IN by BOYD,JORDAN",,,"SUB IN by BOYD,JORDAN",1
00:00,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",1
00:00,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",1
19:52,,,,,"TURNOVER  by BOYD,JORDAN",,,"TURNOVER  by BOYD,JORDAN",2
19:52,"STEAL  by AVALIANI,LUKA",,,,,,,"STEAL  by AVALIANI,LUKA",2
19:29,"MISS LAYUP by MARR,RUSS(in the paint)",,,,,,,"MISS LAYUP by MARR,RUSS(in the paint)",2
