Time Remaining,EU,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by MARR,RUSS",,,"REBOUND OFF by MARR,RUSS",1
02:39,,47 (+15),,32,"GOOD LAYUP by MARR,RUSS(in the paint)",Sewan 47-32 (-15),,"GOOD LAYUP by MARR,RUSS(in the paint)",1
02:35,"SUB OUT by ADELMAN,MAX",,,,,,,"SUB OUT by ADELMAN,MAX",1
02:35,"SUB IN by FRIED,MAX",,,,,,,"SUB IN by FRIED,MAX",1
02:34,"GOOD JUMPER by JOHNSON,MASON",49 (+17),,32,,EU 49-32 (-17),,"GOOD JUMPER by JOHNSON,MASON",1
--,"ASSIST  by FRIED,MAX",,,,,,,"ASSIST  by FRIED,MAX",1
02:16,,49 (+15),,34,"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 49-34 (-15),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
01:54,"GOOD JUMPER by THOMAS,TYSON(in the paint)",51 (+17),,34,,EU 51-34 (-17),,"GOOD JUMPER by THOMAS,TYSON(in the paint)",1
01:39,,51 (+14),,37,"GOOD 3PTR by CORRIGAN,TRE",Sewan 51-37 (-14),,"GOOD 3PTR by CORRIGAN,TRE",1
01:30,"FOUL  by MARTENS,CALE",,,,,,,"FOUL  by MARTENS,CALE",1
01:30,"TURNOVER  by MARTENS,CALE",,,,,,,"TURNOVER  by MARTENS,CALE",1
01:30,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",1
01:30,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",1
01:30,"SUB OUT by WHELTON,MATTEO",,,,,,,"SUB OUT by WHELTON,MATTEO",1
01:30,"SUB OUT by THOMAS,TYSON",,,,,,,"SUB OUT by THOMAS,TYSON",1
01:30,"SUB OUT by JOHNSON,MASON",,,,,,,"SUB OUT by JOHNSON,MASON",1
01:30,"SUB OUT by MARTENS,CALE",,,,,,,"SUB OUT by MARTENS,CALE",1
01:30,"SUB IN by SHANAHAN,LOGAN",,,,,,,"SUB IN by SHANAHAN,LOGAN",1
01:30,"SUB IN by AKINYELU,TONI",,,,,,,"SUB IN by AKINYELU,TONI",1
01:30,"SUB IN by FALLAS,ALBERT",,,,,,,"SUB IN by FALLAS,ALBERT",1
01:30,"SUB IN by KNIGHT,JAIR",,,,,,,"SUB IN by KNIGHT,JAIR",1
01:06,,51 (+11),,40,"GOOD 3PTR by CORRIGAN,TRE",Sewan 51-40 (-11),,"GOOD 3PTR by CORRIGAN,TRE",1
00:46,"GOOD JUMPER by FALLAS,ALBERT",53 (+13),,40,,EU 53-40 (-13),,"GOOD JUMPER by FALLAS,ALBERT",1
00:29,,53 (+10),,43,"GOOD 3PTR by KAHL,COLIN",Sewan 53-43 (-10),,"GOOD 3PTR by KAHL,COLIN",1
--,,,,,"ASSIST  by CRUMP,JOHN",,,"ASSIST  by CRUMP,JOHN",1
00:04,"MISS 3PTR by FALLAS,ALBERT",,,,,,,"MISS 3PTR by FALLAS,ALBERT",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
20:00,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",2
20:00,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",2
20:00,"SUB OUT by SHANAHAN,LOGAN",,,,,,,"SUB OUT by SHANAHAN,LOGAN",2
20:00,"SUB OUT by AKINYELU,TONI",,,,,,,"SUB OUT by AKINYELU,TONI",2
20:00,"SUB OUT by KNIGHT,JAIR",,,,,,,"SUB OUT by KNIGHT,JAIR",2
20:00,"SUB IN by PEARCE,BENJAMIN",,,,,,,"SUB IN by PEARCE,BENJAMIN",2
20:00,"SUB IN by JOHNSON,MASON",,,,,,,"SUB IN by JOHNSON,MASON",2
20:00,"SUB IN by MARTENS,CALE",,,,,,,"SUB IN by MARTENS,CALE",2
19:51,"TURNOVER  by FALLAS,ALBERT",,,,,,,"TURNOVER  by FALLAS,ALBERT",2
19:51,,,,,"STEAL  by KAHL,COLIN",,,"STEAL  by KAHL,COLIN",2
19:37,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",2
--,"REBOUND DEF by MARTENS,CALE",,,,,,,"REBOUND DEF by MARTENS,CALE",2
19:16,"MISS JUMPER by JOHNSON,MASON",,,,,,,"MISS JUMPER by JOHNSON,MASON",2
19:16,,,,,"BLOCK  by KAHL,COLIN",,,"BLOCK  by KAHL,COLIN",2
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",2
19:05,,,,,"MISS JUMPER by MARR,RUSS(in the paint)",,,"MISS JUMPER by MARR,RUSS(in the paint)",2
19:05,"BLOCK  by JOHNSON,MASON",,,,,,,"BLOCK  by JOHNSON,MASON",2
--,,,,,"REBOUND OFF by KAHL,COLIN",,,"REBOUND OFF by KAHL,COLIN",2
19:00,,,,,"MISS JUMPER by KAHL,COLIN(in the paint)",,,"MISS JUMPER by KAHL,COLIN(in the paint)",2
--,,,,,"REBOUND OFF by KAHL,COLIN",,,"REBOUND OFF by KAHL,COLIN",2
19:00,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",,,"MISS LAYUP by KAHL,COLIN(in the paint)",2
--,,,,,"REBOUND OFF by KAHL,COLIN",,,"REBOUND OFF by KAHL,COLIN",2
18:55,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",2
--,"REBOUND DEF by MARTENS,CALE",,,,,,,"REBOUND DEF by MARTENS,CALE",2
18:50,"GOOD LAYUP by PEARCE,BENJAMIN(fastbreak)(in the paint)",55 (+12),,43,,EU 55-43 (-12),,"GOOD LAYUP by PEARCE,BENJAMIN(fastbreak)(in the paint)",2
18:33,,,,,"MISS JUMPER by KAHL,COLIN(in the paint)",,,"MISS JUMPER by KAHL,COLIN(in the paint)",2
--,"REBOUND DEF by FRIED,MAX",,,,,,,"REBOUND DEF by FRIED,MAX",2
18:12,"MISS 3PTR by PEARCE,BENJAMIN",,,,,,,"MISS 3PTR by PEARCE,BENJAMIN",2
--,"REBOUND OFF by MARTENS,CALE",,,,,,,"REBOUND OFF by MARTENS,CALE",2
18:01,"MISS LAYUP by MARTENS,CALE(in the paint)",,,,,,,"MISS LAYUP by MARTENS,CALE(in the paint)",2
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",2
17:46,,55 (+9),,46,"GOOD 3PTR by KAHL,COLIN",Sewan 55-46 (-9),,"GOOD 3PTR by KAHL,COLIN",2
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",2
17:31,"MISS JUMPER by MARTENS,CALE(in the paint)",,,,,,,"MISS JUMPER by MARTENS,CALE(in the paint)",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
17:23,"GOOD JUMPER by FALLAS,ALBERT(in the paint)",57 (+11),,46,,EU 57-46 (-11),,"GOOD JUMPER by FALLAS,ALBERT(in the paint)",2
17:17,"SUB OUT by FRIED,MAX",,,,,,,"SUB OUT by FRIED,MAX",2
17:17,"SUB IN by KNIGHT,JAIR",,,,,,,"SUB IN by KNIGHT,JAIR",2
17:04,,57 (+9),,48,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",Sewan 57-48 (-9),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",2
16:42,"GOOD LAYUP by JOHNSON,MASON(in the paint)",59 (+11),,48,,EU 59-48 (-11),,"GOOD LAYUP by JOHNSON,MASON(in the paint)",2
--,"ASSIST  by PEARCE,BENJAMIN",,,,,,,"ASSIST  by PEARCE,BENJAMIN",2
16:27,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",2
--,"REBOUND DEF by MARTENS,CALE",,,,,,,"REBOUND DEF by MARTENS,CALE",2
16:20,"TURNOVER  by FALLAS,ALBERT",,,,,,,"TURNOVER  by FALLAS,ALBERT",2
16:11,,,,,"MISS 3PTR by CRUMP,JOHN",,,"MISS 3PTR by CRUMP,JOHN",2
--,"REBOUND DEF by KNIGHT,JAIR",,,,,,,"REBOUND DEF by KNIGHT,JAIR",2
15:54,"MISS JUMPER by JOHNSON,MASON(in the paint)",,,,,,,"MISS JUMPER by JOHNSON,MASON(in the paint)",2
15:54,,,,,"BLOCK  by KAHL,COLIN",,,"BLOCK  by KAHL,COLIN",2
--,"REBOUND OFF by JOHNSON,MASON",,,,,,,"REBOUND OFF by JOHNSON,MASON",2
15:45,"GOOD LAYUP by JOHNSON,MASON(in the paint)",61 (+13),,48,,EU 61-48 (-13),,"GOOD LAYUP by JOHNSON,MASON(in the paint)",2
15:35,,,,,"MISS JUMPER by KAHL,COLIN(in the paint)",,,"MISS JUMPER by KAHL,COLIN(in the paint)",2
--,"REBOUND DEF by MARTENS,CALE",,,,,,,"REBOUND DEF by MARTENS,CALE",2
15:27,"MISS LAYUP by KNIGHT,JAIR(in the paint)",,,,,,,"MISS LAYUP by KNIGHT,JAIR(in the paint)",2
--,"REBOUND OFF by KNIGHT,JAIR",,,,,,,"REBOUND OFF by KNIGHT,JAIR",2
15:20,"GOOD LAYUP by KNIGHT,JAIR(in the paint)",63 (+15),,48,,EU 63-48 (-15),,"GOOD LAYUP by KNIGHT,JAIR(in the paint)",2
15:16,,,,,"TURNOVER  by MARR,RUSS",,,"TURNOVER  by MARR,RUSS",2
15:16,"STEAL  by FALLAS,ALBERT",,,,,,,"STEAL  by FALLAS,ALBERT",2
15:09,"GOOD LAYUP by FALLAS,ALBERT(fastbreak)(in the paint)",65 (+17),,48,,EU 65-48 (-17),,"GOOD LAYUP by FALLAS,ALBERT(fastbreak)(in the paint)",2
--,"ASSIST  by PEARCE,BENJAMIN",,,,,,,"ASSIST  by PEARCE,BENJAMIN",2
15:09,,,,,"FOUL  by CRUMP,JOHN",,,"FOUL  by CRUMP,JOHN",2
15:09,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",2
15:09,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",2
15:09,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",2
15:09,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",2
15:09,"GOOD FT by FALLAS,ALBERT(fastbreak)",66 (+18),,48,,EU 66-48 (-18),,"GOOD FT by FALLAS,ALBERT(fastbreak)",2
14:53,"FOUL  by MARTENS,CALE",,,,,,,"FOUL  by MARTENS,CALE",2
14:53,"SUB OUT by MARTENS,CALE",,,,,,,"SUB OUT by MARTENS,CALE",2
14:53,"SUB IN by SHANAHAN,LOGAN",,,,,,,"SUB IN by SHANAHAN,LOGAN",2
14:45,,66 (+16),,50,"GOOD LAYUP by MARR,RUSS(in the paint)",Sewan 66-50 (-16),,"GOOD LAYUP by MARR,RUSS(in the paint)",2
14:39,"GOOD 3PTR by SHANAHAN,LOGAN(fastbreak)",69 (+19),,50,,EU 69-50 (-19),,"GOOD 3PTR by SHANAHAN,LOGAN(fastbreak)",2
--,"ASSIST  by FALLAS,ALBERT",,,,,,,"ASSIST  by FALLAS,ALBERT",2
14:23,,,,,"MISS JUMPER by SMITH,GRAHAM(in the paint)",,,"MISS JUMPER by SMITH,GRAHAM(in the paint)",2
14:23,"BLOCK  by JOHNSON,MASON",,,,,,,"BLOCK  by JOHNSON,MASON",2
--,"REBOUND DEF by JOHNSON,MASON",,,,,,,"REBOUND DEF by JOHNSON,MASON",2
14:16,"MISS DUNK by KNIGHT,JAIR(in the paint)",,,,,,,"MISS DUNK by KNIGHT,JAIR(in the paint)",2
--,"REBOUND OFF by JOHNSON,MASON",,,,,,,"REBOUND OFF by JOHNSON,MASON",2
14:09,"MISS JUMPER by PEARCE,BENJAMIN",,,,,,,"MISS JUMPER by PEARCE,BENJAMIN",2
--,,,,,"REBOUND DEF by HOLLAND,ELI",,,"REBOUND DEF by HOLLAND,ELI",2
13:59,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",2
--,,,,,"REBOUND OFF by CORRIGAN,TRE",,,"REBOUND OFF by CORRIGAN,TRE",2
13:52,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",2
--,"REBOUND DEF by FALLAS,ALBERT",,,,,,,"REBOUND DEF by FALLAS,ALBERT",2
13:43,"GOOD LAYUP by FALLAS,ALBERT(in the paint)",71 (+21),,50,,EU 71-50 (-21),,"GOOD LAYUP by FALLAS,ALBERT(in the paint)",2
13:40,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
13:40,,,,,"SUB OUT by CRUMP,JOHN",,,"SUB OUT by CRUMP,JOHN",2
13:40,,,,,"SUB OUT by HOLLAND,ELI",,,"SUB OUT by HOLLAND,ELI",2
13:40,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",2
13:40,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",2
13:32,,,,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",2
--,"REBOUND DEF by SHANAHAN,LOGAN",,,,,,,"REBOUND DEF by SHANAHAN,LOGAN",2
13:24,"MISS LAYUP by KNIGHT,JAIR(in the paint)",,,,,,,"MISS LAYUP by KNIGHT,JAIR(in the paint)",2
--,"REBOUND OFF by KNIGHT,JAIR",,,,,,,"REBOUND OFF by KNIGHT,JAIR",2
13:19,"TURNOVER  by KNIGHT,JAIR",,,,,,,"TURNOVER  by KNIGHT,JAIR",2
13:19,"SUB OUT by FALLAS,ALBERT",,,,,,,"SUB OUT by FALLAS,ALBERT",2
13:19,"SUB OUT by JOHNSON,MASON",,,,,,,"SUB OUT by JOHNSON,MASON",2
13:19,"SUB IN by THOMAS,TYSON",,,,,,,"SUB IN by THOMAS,TYSON",2
13:19,"SUB IN by ADELMAN,MAX",,,,,,,"SUB IN by ADELMAN,MAX",2
13:11,,,,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",2
--,"REBOUND DEF by ADELMAN,MAX",,,,,,,"REBOUND DEF by ADELMAN,MAX",2
12:58,"GOOD JUMPER by SHANAHAN,LOGAN",73 (+23),,50,,EU 73-50 (-23),,"GOOD JUMPER by SHANAHAN,LOGAN",2
--,"ASSIST  by KNIGHT,JAIR",,,,,,,"ASSIST  by KNIGHT,JAIR",2
12:42,,73 (+20),,53,"GOOD 3PTR by MARR,RUSS",Sewan 73-53 (-20),,"GOOD 3PTR by MARR,RUSS",2
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",2
12:31,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",2
12:31,,,,,"SUB IN by WILLIAMS,RASHAWN",,,"SUB IN by WILLIAMS,RASHAWN",2
12:31,"FOUL  by ADELMAN,MAX",,,,,,,"FOUL  by ADELMAN,MAX",2
12:31,"TURNOVER  by ADELMAN,MAX",,,,,,,"TURNOVER  by ADELMAN,MAX",2
12:29,"SUB OUT by ADELMAN,MAX",,,,,,,"SUB OUT by ADELMAN,MAX",2
12:29,"SUB IN by WHELTON,MATTEO",,,,,,,"SUB IN by WHELTON,MATTEO",2
12:12,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",2
--,"REBOUND DEF by PEARCE,BENJAMIN",,,,,,,"REBOUND DEF by PEARCE,BENJAMIN",2
12:02,"MISS 3PTR by WHELTON,MATTEO",,,,,,,"MISS 3PTR by WHELTON,MATTEO",2
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",2
11:57,,,,,"TURNOVER  by KAHL,COLIN",,,"TURNOVER  by KAHL,COLIN",2
11:57,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:57,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",2
11:57,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",2
11:57,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",2
11:57,,,,,"SUB IN by CRUMP,JOHN",,,"SUB IN by CRUMP,JOHN",2
11:50,"FOUL  by WHELTON,MATTEO",,,,,,,"FOUL  by WHELTON,MATTEO",2
11:50,,73 (+19),,54,"GOOD FT by CRUMP,JOHN",Sewan 73-54 (-19),,"GOOD FT by CRUMP,JOHN",2
11:50,,,,,"MISS FT by CRUMP,JOHN",,,"MISS FT by CRUMP,JOHN",2
11:50,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
11:50,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
--,"REBOUND DEF by SHANAHAN,LOGAN",,,,,,,"REBOUND DEF by SHANAHAN,LOGAN",2
11:25,"GOOD JUMPER by PEARCE,BENJAMIN(in the paint)",75 (+21),,54,,EU 75-54 (-21),,"GOOD JUMPER by PEARCE,BENJAMIN(in the paint)",2
11:25,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
11:07,,,,,"MISS 3PTR by KAHL,COLIN",,,"MISS 3PTR by KAHL,COLIN",2
--,"REBOUND DEF by PEARCE,BENJAMIN",,,,,,,"REBOUND DEF by PEARCE,BENJAMIN",2
11:00,"GOOD 3PTR by THOMAS,TYSON",78 (+24),,54,,EU 78-54 (-24),,"GOOD 3PTR by THOMAS,TYSON",2
--,"ASSIST  by PEARCE,BENJAMIN",,,,,,,"ASSIST  by PEARCE,BENJAMIN",2
10:37,"FOUL  by WHELTON,MATTEO",,,,,,,"FOUL  by WHELTON,MATTEO",2
10:37,,,,,"MISS FT by WILLIAMS,RASHAWN",,,"MISS FT by WILLIAMS,RASHAWN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:37,,78 (+23),,55,"GOOD FT by WILLIAMS,RASHAWN",Sewan 78-55 (-23),,"GOOD FT by WILLIAMS,RASHAWN",2
10:37,"SUB OUT by PEARCE,BENJAMIN",,,,,,,"SUB OUT by PEARCE,BENJAMIN",2
10:37,"SUB OUT by WHELTON,MATTEO",,,,,,,"SUB OUT by WHELTON,MATTEO",2
10:37,"SUB IN by FALLAS,ALBERT",,,,,,,"SUB IN by FALLAS,ALBERT",2
10:37,"SUB IN by ADELMAN,MAX",,,,,,,"SUB IN by ADELMAN,MAX",2
10:37,,,,,"MISS FT by WILLIAMS,RASHAWN",,,"MISS FT by WILLIAMS,RASHAWN",2
--,"REBOUND DEF by SHANAHAN,LOGAN",,,,,,,"REBOUND DEF by SHANAHAN,LOGAN",2
10:23,"MISS 3PTR by SHANAHAN,LOGAN",,,,,,,"MISS 3PTR by SHANAHAN,LOGAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
10:19,"TURNOVER  by THOMAS,TYSON",,,,,,,"TURNOVER  by THOMAS,TYSON",2
10:19,,,,,"STEAL  by KAHL,COLIN",,,"STEAL  by KAHL,COLIN",2
10:16,,78 (+21),,57,"GOOD LAYUP by KAHL,COLIN(fastbreak)(in the paint)",Sewan 78-57 (-21),,"GOOD LAYUP by KAHL,COLIN(fastbreak)(in the paint)",2
10:08,"TURNOVER  by KNIGHT,JAIR",,,,,,,"TURNOVER  by KNIGHT,JAIR",2
10:08,,,,,"STEAL  by CORRIGAN,TRE",,,"STEAL  by CORRIGAN,TRE",2
10:01,,,,,"MISS 3PTR by CRUMP,JOHN",,,"MISS 3PTR by CRUMP,JOHN",2
--,,,,,"REBOUND OFF by CRUMP,JOHN",,,"REBOUND OFF by CRUMP,JOHN",2
09:48,"SUB OUT by SHANAHAN,LOGAN",,,,,,,"SUB OUT by SHANAHAN,LOGAN",2
09:48,"SUB OUT by KNIGHT,JAIR",,,,,,,"SUB OUT by KNIGHT,JAIR",2
09:48,"SUB IN by JOHNSON,MASON",,,,,,,"SUB IN by JOHNSON,MASON",2
09:48,"SUB IN by MARTENS,CALE",,,,,,,"SUB IN by MARTENS,CALE",2
09:39,,,,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",2
--,"REBOUND DEF by JOHNSON,MASON",,,,,,,"REBOUND DEF by JOHNSON,MASON",2
09:23,"GOOD JUMPER by JOHNSON,MASON(in the paint)",80 (+23),,57,,EU 80-57 (-23),,"GOOD JUMPER by JOHNSON,MASON(in the paint)",2
09:10,,,,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",2
--,"REBOUND DEF by MARTENS,CALE",,,,,,,"REBOUND DEF by MARTENS,CALE",2
08:45,"TURNOVER  by FALLAS,ALBERT",,,,,,,"TURNOVER  by FALLAS,ALBERT",2
08:33,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
08:15,"MISS LAYUP by MARTENS,CALE(in the paint)",,,,,,,"MISS LAYUP by MARTENS,CALE(in the paint)",2
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",2
08:02,,80 (+21),,59,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",Sewan 80-59 (-21),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",2
07:51,,,,,"FOUL  by AVALIANI,LUKA",,,"FOUL  by AVALIANI,LUKA",2
07:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:51,,,,,"SUB OUT by WILLIAMS,RASHAWN",,,"SUB OUT by WILLIAMS,RASHAWN",2
07:51,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",2
07:49,"MISS JUMPER by ADELMAN,MAX(in the paint)",,,,,,,"MISS JUMPER by ADELMAN,MAX(in the paint)",2
07:49,,,,,"BLOCK  by MARR,RUSS",,,"BLOCK  by MARR,RUSS",2
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",2
07:48,"FOUL  by ADELMAN,MAX",,,,,,,"FOUL  by ADELMAN,MAX",2
07:43,"SUB OUT by ADELMAN,MAX",,,,,,,"SUB OUT by ADELMAN,MAX",2
07:43,"SUB IN by FRIED,MAX",,,,,,,"SUB IN by FRIED,MAX",2
07:37,,,,,"TURNOVER  by AVALIANI,LUKA",,,"TURNOVER  by AVALIANI,LUKA",2
07:37,"STEAL  by FRIED,MAX",,,,,,,"STEAL  by FRIED,MAX",2
07:12,"GOOD LAYUP by JOHNSON,MASON(in the paint)",82 (+23),,59,,EU 82-59 (-23),,"GOOD LAYUP by JOHNSON,MASON(in the paint)",2
--,"ASSIST  by MARTENS,CALE",,,,,,,"ASSIST  by MARTENS,CALE",2
06:56,,82 (+21),,61,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",Sewan 82-61 (-21),,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",2
--,,,,,"ASSIST  by CRUMP,JOHN",,,"ASSIST  by CRUMP,JOHN",2
06:42,"MISS JUMPER by FALLAS,ALBERT(in the paint)",,,,,,,"MISS JUMPER by FALLAS,ALBERT(in the paint)",2
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",2
06:35,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",2
--,"REBOUND DEF by THOMAS,TYSON",,,,,,,"REBOUND DEF by THOMAS,TYSON",2
06:26,,,,,"FOUL  by MARR,RUSS",,,"FOUL  by MARR,RUSS",2
06:26,"MISS FT by MARTENS,CALE",,,,,,,"MISS FT by MARTENS,CALE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:26,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",2
06:26,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",2
06:26,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",2
06:26,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",2
06:26,"SUB OUT by THOMAS,TYSON",,,,,,,"SUB OUT by THOMAS,TYSON",2
06:26,"SUB OUT by JOHNSON,MASON",,,,,,,"SUB OUT by JOHNSON,MASON",2
06:26,"SUB IN by PEARCE,BENJAMIN",,,,,,,"SUB IN by PEARCE,BENJAMIN",2
06:26,"SUB IN by SHANAHAN,LOGAN",,,,,,,"SUB IN by SHANAHAN,LOGAN",2
06:26,"GOOD FT by MARTENS,CALE",83 (+22),,61,,EU 83-61 (-22),,"GOOD FT by MARTENS,CALE",2
06:26,"SUB OUT by MARTENS,CALE",,,,,,,"SUB OUT by MARTENS,CALE",2
06:26,"SUB IN by KNIGHT,JAIR",,,,,,,"SUB IN by KNIGHT,JAIR",2
06:13,,83 (+19),,64,"GOOD 3PTR by MARR,RUSS",Sewan 83-64 (-19),,"GOOD 3PTR by MARR,RUSS",2
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",2
06:03,"GOOD 3PTR by PEARCE,BENJAMIN",86 (+22),,64,,EU 86-64 (-22),,"GOOD 3PTR by PEARCE,BENJAMIN",2
--,"ASSIST  by FALLAS,ALBERT",,,,,,,"ASSIST  by FALLAS,ALBERT",2
06:00,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:45,"FOUL  by KNIGHT,JAIR",,,,,,,"FOUL  by KNIGHT,JAIR",2
05:38,,86 (+20),,66,"GOOD LAYUP by MARR,RUSS(in the paint)",Sewan 86-66 (-20),,"GOOD LAYUP by MARR,RUSS(in the paint)",2
05:27,"GOOD LAYUP by KNIGHT,JAIR(in the paint)",88 (+22),,66,,EU 88-66 (-22),,"GOOD LAYUP by KNIGHT,JAIR(in the paint)",2
05:12,,,,,"TURNOVER  by CORRIGAN,TRE",,,"TURNOVER  by CORRIGAN,TRE",2
05:12,"STEAL  by KNIGHT,JAIR",,,,,,,"STEAL  by KNIGHT,JAIR",2
05:04,,,,,"FOUL  by CORRIGAN,TRE",,,"FOUL  by CORRIGAN,TRE",2
05:04,"MISS FT by PEARCE,BENJAMIN",,,,,,,"MISS FT by PEARCE,BENJAMIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:04,"GOOD FT by PEARCE,BENJAMIN",89 (+23),,66,,EU 89-66 (-23),,"GOOD FT by PEARCE,BENJAMIN",2
05:00,,,,,"TURNOVER  by MARR,RUSS",,,"TURNOVER  by MARR,RUSS",2
05:00,"STEAL  by PEARCE,BENJAMIN",,,,,,,"STEAL  by PEARCE,BENJAMIN",2
04:54,"GOOD LAYUP by PEARCE,BENJAMIN(in the paint)",91 (+25),,66,,EU 91-66 (-25),,"GOOD LAYUP by PEARCE,BENJAMIN(in the paint)",2
04:53,"SUB OUT by PEARCE,BENJAMIN",,,,,,,"SUB OUT by PEARCE,BENJAMIN",2
04:53,"SUB OUT by FALLAS,ALBERT",,,,,,,"SUB OUT by FALLAS,ALBERT",2
04:53,"SUB IN by WHELTON,MATTEO",,,,,,,"SUB IN by WHELTON,MATTEO",2
04:53,"SUB IN by THOMAS,TYSON",,,,,,,"SUB IN by THOMAS,TYSON",2
