Time Remaining,BEREA,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by JONES,ANDREW",,,,,,,"REBOUND DEF by JONES,ANDREW",1
04:03,"TURNOVER  by MONTGOMERY,JAREL",,,,,,,"TURNOVER  by MONTGOMERY,JAREL",1
04:03,,,,,"STEAL  by CRUMP,JOHN",,,"STEAL  by CRUMP,JOHN",1
03:49,,,,,"TURNOVER  by CRUMP,JOHN",,,"TURNOVER  by CRUMP,JOHN",1
03:49,"STEAL  by CAUDILL,ISAAC",,,,,,,"STEAL  by CAUDILL,ISAAC",1
03:42,,,,,"FOUL  by CRUMP,JOHN",,,"FOUL  by CRUMP,JOHN",1
03:42,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:42,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",1
03:42,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",1
03:42,"SUB OUT by JONES,ANDREW",,,,,,,"SUB OUT by JONES,ANDREW",1
03:42,"SUB IN by HAMM,ANTHONY",,,,,,,"SUB IN by HAMM,ANTHONY",1
03:42,"GOOD FT by MINTER,TREY(fastbreak)",27,,34 (+7),,BEREA 27-34 (+7),,"GOOD FT by MINTER,TREY(fastbreak)",1
03:42,"GOOD FT by MINTER,TREY(fastbreak)",28,,34 (+6),,BEREA 28-34 (+6),,"GOOD FT by MINTER,TREY(fastbreak)",1
03:42,"SUB OUT by CAUDILL,ISAAC",,,,,,,"SUB OUT by CAUDILL,ISAAC",1
03:42,"SUB IN by MACKEY,MARQUIS",,,,,,,"SUB IN by MACKEY,MARQUIS",1
03:42,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",1
03:42,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",1
03:33,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",1
--,"REBOUND DEF by MINTER,TREY",,,,,,,"REBOUND DEF by MINTER,TREY",1
03:23,"MISS JUMPER by MINTER,TREY",,,,,,,"MISS JUMPER by MINTER,TREY",1
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",1
03:15,,,,,"MISS JUMPER by CORRIGAN,TRE(in the paint)",,,"MISS JUMPER by CORRIGAN,TRE(in the paint)",1
03:15,"BLOCK  by MACKEY,MARQUIS",,,,,,,"BLOCK  by MACKEY,MARQUIS",1
--,,,,,"REBOUND OFF by CORRIGAN,TRE",,,"REBOUND OFF by CORRIGAN,TRE",1
