Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,BREV,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by WATSON,CHANCEY",,,"REBOUND DEF by WATSON,CHANCEY",2
18:58,,,,,FOUL TECH by TEAM,,,FOUL TECH by TEAM,2
18:58,"MISS FT by CORRIGAN,TRE",,,,,,,"MISS FT by CORRIGAN,TRE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:58,"GOOD FT by CORRIGAN,TRE",40 (+1),,39,,Sewan 40-39 (+1),,"GOOD FT by CORRIGAN,TRE",2
18:58,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
18:47,,,,,"MISS LAYUP by SMITH,RYAN(in the paint)",,,"MISS LAYUP by SMITH,RYAN(in the paint)",2
--,,,,,"REBOUND OFF by EVANS,CARSON",,,"REBOUND OFF by EVANS,CARSON",2
18:41,,40,,42 (+2),"GOOD 3PTR by BOYETTE,LB",BREV 40-42 (-2),,"GOOD 3PTR by BOYETTE,LB",2
--,,,,,"ASSIST  by EVANS,CARSON",,,"ASSIST  by EVANS,CARSON",2
18:30,"MISS LAYUP by AVALIANI,LUKA(in the paint)",,,,,,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",2
--,"REBOUND OFF by KAHL,COLIN",,,,,,,"REBOUND OFF by KAHL,COLIN",2
18:19,"GOOD LAYUP by KAHL,COLIN(in the paint)",42,,42,,Sewan 42-42 (0),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",2
17:54,,,,,"TURNOVER  by CARTER,QUINCY",,,"TURNOVER  by CARTER,QUINCY",2
17:44,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",44 (+2),,42,,Sewan 44-42 (+2),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",2
17:44,,,,,"FOUL  by WATSON,CHANCEY",,,"FOUL  by WATSON,CHANCEY",2
17:44,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
17:44,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
17:44,"MISS FT by AVALIANI,LUKA",,,,,,,"MISS FT by AVALIANI,LUKA",2
--,"REBOUND OFF by AVALIANI,LUKA",,,,,,,"REBOUND OFF by AVALIANI,LUKA",2
17:42,"GOOD LAYUP by KAHL,COLIN(in the paint)",46 (+4),,42,,Sewan 46-42 (+4),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
--,"ASSIST  by AVALIANI,LUKA",,,,,,,"ASSIST  by AVALIANI,LUKA",2
17:11,,,,,"MISS 3PTR by CARTER,QUINCY",,,"MISS 3PTR by CARTER,QUINCY",2
--,,,,,"REBOUND OFF by SMITH,RYAN",,,"REBOUND OFF by SMITH,RYAN",2
17:08,"FOUL  by CORRIGAN,TRE",,,,,,,"FOUL  by CORRIGAN,TRE",2
17:08,,,,,"MISS FT by SMITH,RYAN",,,"MISS FT by SMITH,RYAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:08,,46 (+3),,43,"GOOD FT by SMITH,RYAN",BREV 46-43 (+3),,"GOOD FT by SMITH,RYAN",2
16:57,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",2
16:57,,,,,"STEAL  by SMITH,RYAN",,,"STEAL  by SMITH,RYAN",2
16:37,,,,,"MISS 3PTR by BOYETTE,LB",,,"MISS 3PTR by BOYETTE,LB",2
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",2
16:30,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",2
16:30,,,,,"STEAL  by EVANS,CARSON",,,"STEAL  by EVANS,CARSON",2
16:21,,,,,"TURNOVER  by EVANS,CARSON",,,"TURNOVER  by EVANS,CARSON",2
16:21,"STEAL  by KAHL,COLIN",,,,,,,"STEAL  by KAHL,COLIN",2
16:15,,,,,"MISS JUMPER by BOYETTE,LB(in the paint)",,,"MISS JUMPER by BOYETTE,LB(in the paint)",2
16:15,"BLOCK  by KAHL,COLIN",,,,,,,"BLOCK  by KAHL,COLIN",2
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",2
16:15,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",2
16:15,,,,,"STEAL  by WATSON,CHANCEY",,,"STEAL  by WATSON,CHANCEY",2
16:03,"GOOD LAYUP by KAHL,COLIN(in the paint)",48 (+5),,43,,Sewan 48-43 (+5),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",2
15:44,,48 (+3),,45,"GOOD LAYUP by WATSON,CHANCEY(in the paint)",BREV 48-45 (+3),,"GOOD LAYUP by WATSON,CHANCEY(in the paint)",2
15:31,,,,,"FOUL  by SMITH,RYAN",,,"FOUL  by SMITH,RYAN",2
15:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:31,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",2
15:31,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",2
15:31,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",2
15:31,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",2
15:25,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
--,,,,,"REBOUND DEF by BOYETTE,LB",,,"REBOUND DEF by BOYETTE,LB",2
15:02,,,,,"MISS 3PTR by SMITH,RYAN",,,"MISS 3PTR by SMITH,RYAN",2
--,,,,,"REBOUND OFF by EVANS,CARSON",,,"REBOUND OFF by EVANS,CARSON",2
14:56,,,,,"MISS JUMPER by EVANS,CARSON(in the paint)",,,"MISS JUMPER by EVANS,CARSON(in the paint)",2
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",2
14:46,,,,,"FOUL  by BOYETTE,LB",,,"FOUL  by BOYETTE,LB",2
14:46,,,,,"SUB OUT by BOYETTE,LB",,,"SUB OUT by BOYETTE,LB",2
14:46,,,,,"SUB OUT by EVANS,CARSON",,,"SUB OUT by EVANS,CARSON",2
14:46,,,,,"SUB OUT by WATSON,CHANCEY",,,"SUB OUT by WATSON,CHANCEY",2
14:46,,,,,"SUB IN by REED,CHARLES",,,"SUB IN by REED,CHARLES",2
14:46,,,,,"SUB IN by HORTON,KAVAN",,,"SUB IN by HORTON,KAVAN",2
14:46,,,,,"SUB IN by SUTHERLAND,GARRETT",,,"SUB IN by SUTHERLAND,GARRETT",2
14:40,"MISS LAYUP by MARR,RUSS(in the paint)",,,,,,,"MISS LAYUP by MARR,RUSS(in the paint)",2
--,,,,,"REBOUND DEF by CARTER,QUINCY",,,"REBOUND DEF by CARTER,QUINCY",2
14:33,,,,,"TURNOVER  by CARTER,QUINCY",,,"TURNOVER  by CARTER,QUINCY",2
14:19,"TURNOVER  by SMITH,GRAHAM",,,,,,,"TURNOVER  by SMITH,GRAHAM",2
14:19,,,,,"STEAL  by REED,CHARLES",,,"STEAL  by REED,CHARLES",2
14:15,,,,,"MISS LAYUP by REED,CHARLES(in the paint)",,,"MISS LAYUP by REED,CHARLES(in the paint)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:14,"FOUL  by HOLLAND,ELI",,,,,,,"FOUL  by HOLLAND,ELI",2
14:07,,,,,"TURNOVER  by CARTER,QUINCY",,,"TURNOVER  by CARTER,QUINCY",2
14:07,"STEAL  by CRUMP,JOHN",,,,,,,"STEAL  by CRUMP,JOHN",2
13:58,"GOOD 3PTR by CORRIGAN,TRE",51 (+6),,45,,Sewan 51-45 (+6),,"GOOD 3PTR by CORRIGAN,TRE",2
--,"ASSIST  by CRUMP,JOHN",,,,,,,"ASSIST  by CRUMP,JOHN",2
13:38,,,,,"MISS 3PTR by SMITH,RYAN",,,"MISS 3PTR by SMITH,RYAN",2
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",2
13:23,"GOOD LAYUP by MARR,RUSS(in the paint)",53 (+8),,45,,Sewan 53-45 (+8),,"GOOD LAYUP by MARR,RUSS(in the paint)",2
12:50,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
12:50,,,,,"SUB OUT by SMITH,RYAN",,,"SUB OUT by SMITH,RYAN",2
12:50,,,,,"SUB IN by CARNES,JADON",,,"SUB IN by CARNES,JADON",2
12:50,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",2
12:50,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",2
12:50,"SUB IN by AVALIANI,LUKA",,,,,,,"SUB IN by AVALIANI,LUKA",2
12:50,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",2
12:31,"FOUL  by KAHL,COLIN",,,,,,,"FOUL  by KAHL,COLIN",2
12:31,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",2
12:22,,,,,"FOUL  by HORTON,KAVAN",,,"FOUL  by HORTON,KAVAN",2
12:22,,,,,"TURNOVER  by HORTON,KAVAN",,,"TURNOVER  by HORTON,KAVAN",2
12:11,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",55 (+10),,45,,Sewan 55-45 (+10),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",2
--,"ASSIST  by SMITH,GRAHAM",,,,,,,"ASSIST  by SMITH,GRAHAM",2
11:54,,55 (+8),,47,"GOOD LAYUP by SUTHERLAND,GARRETT(in the paint)",BREV 55-47 (+8),,"GOOD LAYUP by SUTHERLAND,GARRETT(in the paint)",2
11:36,,,,,"FOUL  by SUTHERLAND,GARRETT",,,"FOUL  by SUTHERLAND,GARRETT",2
11:36,"GOOD FT by MARR,RUSS",56 (+9),,47,,Sewan 56-47 (+9),,"GOOD FT by MARR,RUSS",2
11:36,"GOOD FT by MARR,RUSS",57 (+10),,47,,Sewan 57-47 (+10),,"GOOD FT by MARR,RUSS",2
11:36,"GOOD FT by MARR,RUSS",58 (+11),,47,,Sewan 58-47 (+11),,"GOOD FT by MARR,RUSS",2
11:21,,58 (+9),,49,"GOOD LAYUP by CARNES,JADON(in the paint)",BREV 58-49 (+9),,"GOOD LAYUP by CARNES,JADON(in the paint)",2
--,,,,,"ASSIST  by HORTON,KAVAN",,,"ASSIST  by HORTON,KAVAN",2
11:03,"MISS LAYUP by SMITH,GRAHAM(in the paint)",,,,,,,"MISS LAYUP by SMITH,GRAHAM(in the paint)",2
11:03,,,,,"BLOCK  by REED,CHARLES",,,"BLOCK  by REED,CHARLES",2
--,,,,,"REBOUND DEF by CARTER,QUINCY",,,"REBOUND DEF by CARTER,QUINCY",2
11:01,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",2
11:01,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",2
11:01,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",2
10:38,,,,,"MISS LAYUP by SUTHERLAND,GARRETT(in the paint)",,,"MISS LAYUP by SUTHERLAND,GARRETT(in the paint)",2
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",2
10:29,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",2
--,,,,,"REBOUND DEF by SUTHERLAND,GARRETT",,,"REBOUND DEF by SUTHERLAND,GARRETT",2
10:10,"FOUL  by HOLLAND,ELI",,,,,,,"FOUL  by HOLLAND,ELI",2
10:10,,,,,"MISS FT by HORTON,KAVAN",,,"MISS FT by HORTON,KAVAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:10,,,,,"SUB OUT by CARTER,QUINCY",,,"SUB OUT by CARTER,QUINCY",2
10:10,,,,,"SUB IN by CRAWFORD,PARIS",,,"SUB IN by CRAWFORD,PARIS",2
10:10,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",2
10:10,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",2
10:10,,,,,"MISS FT by HORTON,KAVAN",,,"MISS FT by HORTON,KAVAN",2
--,,,,,"REBOUND OFF by SUTHERLAND,GARRETT",,,"REBOUND OFF by SUTHERLAND,GARRETT",2
09:59,,58 (+7),,51,"GOOD LAYUP by HORTON,KAVAN(in the paint)",BREV 58-51 (+7),,"GOOD LAYUP by HORTON,KAVAN(in the paint)",2
--,,,,,"ASSIST  by CRAWFORD,PARIS",,,"ASSIST  by CRAWFORD,PARIS",2
09:46,"MISS LAYUP by HOLLAND,ELI(in the paint)",,,,,,,"MISS LAYUP by HOLLAND,ELI(in the paint)",2
--,,,,,"REBOUND DEF by CARNES,JADON",,,"REBOUND DEF by CARNES,JADON",2
09:18,,,,,"MISS 3PTR by CRAWFORD,PARIS",,,"MISS 3PTR by CRAWFORD,PARIS",2
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",2
09:13,,,,,"FOUL  by CARNES,JADON",,,"FOUL  by CARNES,JADON",2
09:13,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",2
09:13,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",2
09:13,"GOOD FT by SMITH,GRAHAM(fastbreak)",59 (+8),,51,,Sewan 59-51 (+8),,"GOOD FT by SMITH,GRAHAM(fastbreak)",2
09:13,"MISS FT by SMITH,GRAHAM(fastbreak)",,,,,,,"MISS FT by SMITH,GRAHAM(fastbreak)",2
--,,,,,"REBOUND DEF by CRAWFORD,PARIS",,,"REBOUND DEF by CRAWFORD,PARIS",2
09:13,,,,,"TURNOVER  by SUTHERLAND,GARRETT",,,"TURNOVER  by SUTHERLAND,GARRETT",2
09:13,"STEAL  by SMITH,GRAHAM",,,,,,,"STEAL  by SMITH,GRAHAM",2
08:50,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",61 (+10),,51,,Sewan 61-51 (+10),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",2
--,"ASSIST  by SMITH,GRAHAM",,,,,,,"ASSIST  by SMITH,GRAHAM",2
08:31,"FOUL  by SMITH,GRAHAM",,,,,,,"FOUL  by SMITH,GRAHAM",2
08:29,,,,,"MISS FT by SUTHERLAND,GARRETT",,,"MISS FT by SUTHERLAND,GARRETT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:29,,61 (+9),,52,"GOOD FT by SUTHERLAND,GARRETT",BREV 61-52 (+9),,"GOOD FT by SUTHERLAND,GARRETT",2
08:29,,,,,"SUB OUT by CARNES,JADON",,,"SUB OUT by CARNES,JADON",2
08:29,,,,,"SUB IN by WHITE,SLY",,,"SUB IN by WHITE,SLY",2
08:29,,61 (+8),,53,"GOOD FT by SUTHERLAND,GARRETT",BREV 61-53 (+8),,"GOOD FT by SUTHERLAND,GARRETT",2
08:13,"GOOD LAYUP by KAHL,COLIN(in the paint)",63 (+10),,53,,Sewan 63-53 (+10),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
07:58,"FOUL  by SMITH,GRAHAM",,,,,,,"FOUL  by SMITH,GRAHAM",2
07:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:58,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",2
07:58,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",2
07:58,,,,,"MISS FT by CRAWFORD,PARIS",,,"MISS FT by CRAWFORD,PARIS",2
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",2
07:45,"GOOD LAYUP by MARR,RUSS(in the paint)",65 (+12),,53,,Sewan 65-53 (+12),,"GOOD LAYUP by MARR,RUSS(in the paint)",2
07:29,,,,,"MISS JUMPER by HORTON,KAVAN(in the paint)",,,"MISS JUMPER by HORTON,KAVAN(in the paint)",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
07:28,,,,,"FOUL  by HORTON,KAVAN",,,"FOUL  by HORTON,KAVAN",2
07:28,"GOOD FT by AVALIANI,LUKA(fastbreak)",66 (+13),,53,,Sewan 66-53 (+13),,"GOOD FT by AVALIANI,LUKA(fastbreak)",2
07:28,"GOOD FT by AVALIANI,LUKA(fastbreak)",67 (+14),,53,,Sewan 67-53 (+14),,"GOOD FT by AVALIANI,LUKA(fastbreak)",2
07:15,,67 (+12),,55,"GOOD LAYUP by CRAWFORD,PARIS(in the paint)",BREV 67-55 (+12),,"GOOD LAYUP by CRAWFORD,PARIS(in the paint)",2
06:48,,,,,"FOUL  by REED,CHARLES",,,"FOUL  by REED,CHARLES",2
06:48,"GOOD FT by MARR,RUSS",68 (+13),,55,,Sewan 68-55 (+13),,"GOOD FT by MARR,RUSS",2
06:48,,,,,"SUB OUT by SUTHERLAND,GARRETT",,,"SUB OUT by SUTHERLAND,GARRETT",2
06:48,,,,,"SUB IN by BOYETTE,LB",,,"SUB IN by BOYETTE,LB",2
06:48,"MISS FT by MARR,RUSS",,,,,,,"MISS FT by MARR,RUSS",2
--,,,,,"REBOUND DEF by WHITE,SLY",,,"REBOUND DEF by WHITE,SLY",2
06:31,,68 (+11),,57,"GOOD JUMPER by HORTON,KAVAN",BREV 68-57 (+11),,"GOOD JUMPER by HORTON,KAVAN",2
06:04,"GOOD DUNK by KAHL,COLIN(in the paint)",70 (+13),,57,,Sewan 70-57 (+13),,"GOOD DUNK by KAHL,COLIN(in the paint)",2
--,"ASSIST  by CRUMP,JOHN",,,,,,,"ASSIST  by CRUMP,JOHN",2
05:44,,,,,"MISS JUMPER by BOYETTE,LB(in the paint)",,,"MISS JUMPER by BOYETTE,LB(in the paint)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:44,,,,,"FOUL  by CRAWFORD,PARIS",,,"FOUL  by CRAWFORD,PARIS",2
05:44,"GOOD FT by CRUMP,JOHN(fastbreak)",71 (+14),,57,,Sewan 71-57 (+14),,"GOOD FT by CRUMP,JOHN(fastbreak)",2
05:44,,,,,"SUB OUT by CRAWFORD,PARIS",,,"SUB OUT by CRAWFORD,PARIS",2
05:44,,,,,"SUB IN by CARTER,QUINCY",,,"SUB IN by CARTER,QUINCY",2
05:44,"SUB OUT by MARR,RUSS",,,,,,,"SUB OUT by MARR,RUSS",2
05:44,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",2
05:44,"GOOD FT by CRUMP,JOHN(fastbreak)",72 (+15),,57,,Sewan 72-57 (+15),,"GOOD FT by CRUMP,JOHN(fastbreak)",2
05:27,,,,,"MISS LAYUP by WHITE,SLY(in the paint)",,,"MISS LAYUP by WHITE,SLY(in the paint)",2
05:27,"BLOCK  by AVALIANI,LUKA",,,,,,,"BLOCK  by AVALIANI,LUKA",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:27,"FOUL  by CRUMP,JOHN",,,,,,,"FOUL  by CRUMP,JOHN",2
05:27,,72 (+14),,58,"GOOD FT by REED,CHARLES",BREV 72-58 (+14),,"GOOD FT by REED,CHARLES",2
05:27,,72 (+13),,59,"GOOD FT by REED,CHARLES",BREV 72-59 (+13),,"GOOD FT by REED,CHARLES",2
05:08,"GOOD 3PTR by CORRIGAN,TRE",75 (+16),,59,,Sewan 75-59 (+16),,"GOOD 3PTR by CORRIGAN,TRE",2
--,"ASSIST  by CRUMP,JOHN",,,,,,,"ASSIST  by CRUMP,JOHN",2
04:50,,,,,"MISS LAYUP by BOYETTE,LB(in the paint)",,,"MISS LAYUP by BOYETTE,LB(in the paint)",2
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",2
04:45,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",2
04:45,,,,,"STEAL  by BOYETTE,LB",,,"STEAL  by BOYETTE,LB",2
04:45,,75 (+14),,61,"GOOD LAYUP by BOYETTE,LB(in the paint)",BREV 75-61 (+14),,"GOOD LAYUP by BOYETTE,LB(in the paint)",2
04:45,"FOUL  by CRUMP,JOHN",,,,,,,"FOUL  by CRUMP,JOHN",2
04:45,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",2
04:45,"SUB IN by MARR,RUSS",,,,,,,"SUB IN by MARR,RUSS",2
04:45,,,,,"MISS FT by BOYETTE,LB",,,"MISS FT by BOYETTE,LB",2
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",2
04:22,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",2
--,,,,,"REBOUND DEF by WHITE,SLY",,,"REBOUND DEF by WHITE,SLY",2
04:11,,75 (+12),,63,"GOOD LAYUP by HORTON,KAVAN(in the paint)",BREV 75-63 (+12),,"GOOD LAYUP by HORTON,KAVAN(in the paint)",2
03:48,"TURNOVER  by CRUMP,JOHN",,,,,,,"TURNOVER  by CRUMP,JOHN",2
03:48,,,,,"STEAL  by CARTER,QUINCY",,,"STEAL  by CARTER,QUINCY",2
03:43,,,,,"MISS LAYUP by HORTON,KAVAN(in the paint)",,,"MISS LAYUP by HORTON,KAVAN(in the paint)",2
03:43,"BLOCK  by MARR,RUSS",,,,,,,"BLOCK  by MARR,RUSS",2
--,,,,,"REBOUND OFF by BOYETTE,LB",,,"REBOUND OFF by BOYETTE,LB",2
03:32,,75 (+9),,66,"GOOD 3PTR by HORTON,KAVAN",BREV 75-66 (+9),,"GOOD 3PTR by HORTON,KAVAN",2
--,,,,,"ASSIST  by WHITE,SLY",,,"ASSIST  by WHITE,SLY",2
03:17,"GOOD 3PTR by CORRIGAN,TRE",78 (+12),,66,,Sewan 78-66 (+12),,"GOOD 3PTR by CORRIGAN,TRE",2
--,"ASSIST  by AVALIANI,LUKA",,,,,,,"ASSIST  by AVALIANI,LUKA",2
03:14,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
03:14,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:14,,,,,"SUB OUT by WHITE,SLY",,,"SUB OUT by WHITE,SLY",2
03:14,,,,,"SUB IN by CARNES,JADON",,,"SUB IN by CARNES,JADON",2
03:14,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",2
03:14,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",2
03:04,,,,,"MISS 3PTR by HORTON,KAVAN",,,"MISS 3PTR by HORTON,KAVAN",2
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",2
02:56,"TURNOVER  by CRUMP,JOHN",,,,,,,"TURNOVER  by CRUMP,JOHN",2
02:56,,,,,"STEAL  by REED,CHARLES",,,"STEAL  by REED,CHARLES",2
02:48,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",2
02:48,,78 (+11),,67,"GOOD FT by REED,CHARLES",BREV 78-67 (+11),,"GOOD FT by REED,CHARLES",2
02:48,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",2
02:48,"SUB IN by AVALIANI,LUKA",,,,,,,"SUB IN by AVALIANI,LUKA",2
02:48,,78 (+10),,68,"GOOD FT by REED,CHARLES",BREV 78-68 (+10),,"GOOD FT by REED,CHARLES",2
02:41,"GOOD LAYUP by KAHL,COLIN(in the paint)",80 (+12),,68,,Sewan 80-68 (+12),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
--,"ASSIST  by MARR,RUSS",,,,,,,"ASSIST  by MARR,RUSS",2
02:27,,,,,"MISS LAYUP by HORTON,KAVAN(in the paint)",,,"MISS LAYUP by HORTON,KAVAN(in the paint)",2
--,,,,,"REBOUND OFF by REED,CHARLES",,,"REBOUND OFF by REED,CHARLES",2
02:27,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",2
02:27,,,,,"MISS FT by REED,CHARLES",,,"MISS FT by REED,CHARLES",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:27,,,,,"MISS FT by REED,CHARLES",,,"MISS FT by REED,CHARLES",2
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",2
02:07,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",2
01:54,,80 (+10),,70,"GOOD LAYUP by CARNES,JADON(in the paint)",BREV 80-70 (+10),,"GOOD LAYUP by CARNES,JADON(in the paint)",2
--,,,,,"ASSIST  by CARTER,QUINCY",,,"ASSIST  by CARTER,QUINCY",2
01:52,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:51,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",2
01:51,,,,,"STEAL  by REED,CHARLES",,,"STEAL  by REED,CHARLES",2
01:46,,80 (+8),,72,"GOOD LAYUP by BOYETTE,LB(in the paint)",BREV 80-72 (+8),,"GOOD LAYUP by BOYETTE,LB(in the paint)",2
--,,,,,"ASSIST  by REED,CHARLES",,,"ASSIST  by REED,CHARLES",2
01:19,"GOOD 3PTR by MARR,RUSS",83 (+11),,72,,Sewan 83-72 (+11),,"GOOD 3PTR by MARR,RUSS",2
--,"ASSIST  by CRUMP,JOHN",,,,,,,"ASSIST  by CRUMP,JOHN",2
01:04,,83 (+8),,75,"GOOD 3PTR by BOYETTE,LB",BREV 83-75 (+8),,"GOOD 3PTR by BOYETTE,LB",2
--,,,,,"ASSIST  by CARNES,JADON",,,"ASSIST  by CARNES,JADON",2
00:50,,,,,"FOUL  by CARNES,JADON",,,"FOUL  by CARNES,JADON",2
00:50,"GOOD FT by CORRIGAN,TRE",84 (+9),,75,,Sewan 84-75 (+9),,"GOOD FT by CORRIGAN,TRE",2
00:50,"GOOD FT by CORRIGAN,TRE",85 (+10),,75,,Sewan 85-75 (+10),,"GOOD FT by CORRIGAN,TRE",2
00:50,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",2
00:50,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",2
00:40,,85 (+8),,77,"GOOD LAYUP by CARTER,QUINCY(in the paint)",BREV 85-77 (+8),,"GOOD LAYUP by CARTER,QUINCY(in the paint)",2
00:35,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",2
00:35,,,,,"STEAL  by HORTON,KAVAN",,,"STEAL  by HORTON,KAVAN",2
00:33,,,,,"MISS LAYUP by HORTON,KAVAN(in the paint)",,,"MISS LAYUP by HORTON,KAVAN(in the paint)",2
00:33,"BLOCK  by MARR,RUSS",,,,,,,"BLOCK  by MARR,RUSS",2
--,,,,,"REBOUND OFF by HORTON,KAVAN",,,"REBOUND OFF by HORTON,KAVAN",2
