Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,BREV,Game Score,Team Indicator,Play,Period
09:54,,,,,"FOUL  by REED,CHARLES",,,"FOUL  by REED,CHARLES",1
09:54,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",1
09:54,"SUB OUT by MARR,RUSS",,,,,,,"SUB OUT by MARR,RUSS",1
09:44,"GOOD 3PTR by CORRIGAN,TRE",20 (+2),,18,,SEW 20-18 (+2),,"GOOD 3PTR by CORRIGAN,TRE",1
--,"ASSIST  by KAHL,COLIN",,,,,,,"ASSIST  by KAHL,COLIN",1
09:20,,20,,20,"GOOD LAYUP by WHITE,SLY(in the paint)",BREV 20-20 (0),,"GOOD LAYUP by WHITE,SLY(in the paint)",1
--,,,,,"ASSIST  by HORTON,KAVAN",,,"ASSIST  by HORTON,KAVAN",1
09:09,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,"REBOUND DEF by REED,CHARLES",,,"REBOUND DEF by REED,CHARLES",1
08:50,,,,,"MISS LAYUP by WHITE,SLY",,,"MISS LAYUP by WHITE,SLY",1
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",1
08:40,"GOOD LAYUP by CORRIGAN,TRE(in the paint)",22 (+2),,20,,SEW 22-20 (+2),,"GOOD LAYUP by CORRIGAN,TRE(in the paint)",1
08:28,,,,,"MISS 3PTR by CRAWFORD,PARIS",,,"MISS 3PTR by CRAWFORD,PARIS",1
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",1
08:14,"GOOD 3PTR by SMITH,GRAHAM",25 (+5),,20,,SEW 25-20 (+5),,"GOOD 3PTR by SMITH,GRAHAM",1
--,"ASSIST  by KAHL,COLIN",,,,,,,"ASSIST  by KAHL,COLIN",1
07:50,,25 (+3),,22,"GOOD LAYUP by SUTHERLAND,GARRETT(in the paint)",BREV 25-22 (+3),,"GOOD LAYUP by SUTHERLAND,GARRETT(in the paint)",1
07:49,"FOUL  by SMITH,GRAHAM",,,,,,,"FOUL  by SMITH,GRAHAM",1
07:49,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
07:49,,,,,"MISS FT by SUTHERLAND,GARRETT",,,"MISS FT by SUTHERLAND,GARRETT",1
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",1
07:49,"SUB IN by AVALIANI,LUKA",,,,,,,"SUB IN by AVALIANI,LUKA",1
07:49,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",1
07:34,"GOOD LAYUP by CRUMP,JOHN(in the paint)",27 (+5),,22,,SEW 27-22 (+5),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",1
--,"ASSIST  by KAHL,COLIN",,,,,,,"ASSIST  by KAHL,COLIN",1
07:18,,,,,"MISS JUMPER by HORTON,KAVAN",,,"MISS JUMPER by HORTON,KAVAN",1
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",1
06:48,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,"REBOUND DEF by SUTHERLAND,GARRETT",,,"REBOUND DEF by SUTHERLAND,GARRETT",1
