Time Remaining,HUNTINGD,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
16:01,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
16:01,"FOUL  by GOOLESBY,TATE",,,,,,,"FOUL  by GOOLESBY,TATE",1
16:01,,,,,"MISS FT by CORRIGAN,TRE",,,"MISS FT by CORRIGAN,TRE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
16:01,,3,,15 (+12),"GOOD FT by CORRIGAN,TRE",SEWANEE 3-15 (+12),,"GOOD FT by CORRIGAN,TRE",1
15:58,"SUB IN by TOWNSEND,MARCUS",,,,,,,"SUB IN by TOWNSEND,MARCUS",1
15:58,"SUB IN by HAWKINS,DAQUAN",,,,,,,"SUB IN by HAWKINS,DAQUAN",1
15:58,"SUB IN by KNOX,RASHAWN",,,,,,,"SUB IN by KNOX,RASHAWN",1
15:58,"SUB IN by MURPHY,MYLES",,,,,,,"SUB IN by MURPHY,MYLES",1
15:58,"SUB IN by AUTIN,JEREMY",,,,,,,"SUB IN by AUTIN,JEREMY",1
15:58,"SUB OUT by LINVILLE,AUSTIN",,,,,,,"SUB OUT by LINVILLE,AUSTIN",1
15:58,"SUB OUT by PAGE,SAM",,,,,,,"SUB OUT by PAGE,SAM",1
15:58,"SUB OUT by JOHNS,NATE",,,,,,,"SUB OUT by JOHNS,NATE",1
15:58,"SUB OUT by GARDNER,MAX",,,,,,,"SUB OUT by GARDNER,MAX",1
15:58,"SUB OUT by GOOLESBY,TATE",,,,,,,"SUB OUT by GOOLESBY,TATE",1
15:26,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",1
15:26,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",1
15:26,,,,,"SUB OUT by CRUMP,JOHN",,,"SUB OUT by CRUMP,JOHN",1
15:26,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
15:23,,,,,"MISS 3PTR by SMITH,GRAHAM",,,"MISS 3PTR by SMITH,GRAHAM",1
--,"REBOUND DEF by HAWKINS,DAQUAN",,,,,,,"REBOUND DEF by HAWKINS,DAQUAN",1
15:15,"MISS JUMPER by HAWKINS,DAQUAN",,,,,,,"MISS JUMPER by HAWKINS,DAQUAN",1
--,,,,,"REBOUND DEF by HOLLAND,ELI",,,"REBOUND DEF by HOLLAND,ELI",1
15:06,,3,,18 (+15),"GOOD 3PTR by MARR,RUSS",SEWANEE 3-18 (+15),,"GOOD 3PTR by MARR,RUSS",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
15:06,"SUB IN by DUMAS,CHASE",,,,,,,"SUB IN by DUMAS,CHASE",1
15:06,"SUB OUT by AUTIN,JEREMY",,,,,,,"SUB OUT by AUTIN,JEREMY",1
14:39,"GOOD LAYUP by MURPHY,MYLES(in the paint)",5,,18 (+13),,HUNTINGD 5-18 (+13),,"GOOD LAYUP by MURPHY,MYLES(in the paint)",1
14:27,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
14:22,"FOUL  by TOWNSEND,MARCUS",,,,,,,"FOUL  by TOWNSEND,MARCUS",1
14:15,,,,,"FOUL  by HOLLAND,ELI",,,"FOUL  by HOLLAND,ELI",1
14:05,"MISS 3PTR by HAWKINS,DAQUAN",,,,,,,"MISS 3PTR by HAWKINS,DAQUAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:58,"SUB IN by BOONE,CALEB",,,,,,,"SUB IN by BOONE,CALEB",1
13:58,"SUB OUT by HAWKINS,DAQUAN",,,,,,,"SUB OUT by HAWKINS,DAQUAN",1
13:50,"TURNOVER  by TOWNSEND,MARCUS",,,,,,,"TURNOVER  by TOWNSEND,MARCUS",1
13:46,,5,,20 (+15),"GOOD LAYUP by CORRIGAN,TRE(in the paint)",SEWANEE 5-20 (+15),,"GOOD LAYUP by CORRIGAN,TRE(in the paint)",1
13:33,,,,,"FOUL  by MARR,RUSS",,,"FOUL  by MARR,RUSS",1
13:32,,,,,"SUB IN by WILLIAMS,RASHAUN",,,"SUB IN by WILLIAMS,RASHAUN",1
13:32,,,,,"SUB IN by CRUMP,JOHN",,,"SUB IN by CRUMP,JOHN",1
13:32,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",1
13:32,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",1
13:29,"MISS 3PTR by BOONE,CALEB",,,,,,,"MISS 3PTR by BOONE,CALEB",1
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",1
13:10,"FOUL  by MURPHY,MYLES",,,,,,,"FOUL  by MURPHY,MYLES",1
12:59,,,,,"MISS JUMPER by WILLIAMS,RASHAUN",,,"MISS JUMPER by WILLIAMS,RASHAUN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:55,"SUB IN by VESS,WYATT",,,,,,,"SUB IN by VESS,WYATT",1
12:55,"SUB OUT by MURPHY,MYLES",,,,,,,"SUB OUT by MURPHY,MYLES",1
12:48,"TURNOVER  by BOONE,CALEB",,,,,,,"TURNOVER  by BOONE,CALEB",1
12:48,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",1
12:48,,,,,"SUB OUT by HOLLAND,ELI",,,"SUB OUT by HOLLAND,ELI",1
12:41,,,,,"MISS 3PTR by SMITH,GRAHAM",,,"MISS 3PTR by SMITH,GRAHAM",1
--,"REBOUND DEF by VESS,WYATT",,,,,,,"REBOUND DEF by VESS,WYATT",1
12:31,"TURNOVER  by DUMAS,CHASE",,,,,,,"TURNOVER  by DUMAS,CHASE",1
12:27,,5,,23 (+18),"GOOD 3PTR by WILLIAMS,RASHAUN",SEWANEE 5-23 (+18),,"GOOD 3PTR by WILLIAMS,RASHAUN",1
--,,,,,"ASSIST  by KAHL,COLIN",,,"ASSIST  by KAHL,COLIN",1
12:05,"MISS JUMPER by KNOX,RASHAWN",,,,,,,"MISS JUMPER by KNOX,RASHAWN",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
11:57,,,,,"MISS LAYUP by SMITH,GRAHAM",,,"MISS LAYUP by SMITH,GRAHAM",1
--,"REBOUND DEF by VESS,WYATT",,,,,,,"REBOUND DEF by VESS,WYATT",1
11:42,"TURNOVER  by TOWNSEND,MARCUS",,,,,,,"TURNOVER  by TOWNSEND,MARCUS",1
11:38,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:33,"SUB IN by JOHNS,NATE",,,,,,,"SUB IN by JOHNS,NATE",1
11:33,"SUB IN by GARDNER,MAX",,,,,,,"SUB IN by GARDNER,MAX",1
11:33,"SUB IN by LINVILLE,AUSTIN",,,,,,,"SUB IN by LINVILLE,AUSTIN",1
11:33,"SUB IN by PAGE,SAM",,,,,,,"SUB IN by PAGE,SAM",1
11:33,"SUB IN by GOOLESBY,TATE",,,,,,,"SUB IN by GOOLESBY,TATE",1
11:33,"SUB OUT by DUMAS,CHASE",,,,,,,"SUB OUT by DUMAS,CHASE",1
11:33,"SUB OUT by TOWNSEND,MARCUS",,,,,,,"SUB OUT by TOWNSEND,MARCUS",1
11:33,"SUB OUT by VESS,WYATT",,,,,,,"SUB OUT by VESS,WYATT",1
11:33,"SUB OUT by BOONE,CALEB",,,,,,,"SUB OUT by BOONE,CALEB",1
11:33,"SUB OUT by KNOX,RASHAWN",,,,,,,"SUB OUT by KNOX,RASHAWN",1
11:18,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",1
11:18,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",1
11:18,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",1
11:18,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",1
11:15,"TURNOVER  by JOHNS,NATE",,,,,,,"TURNOVER  by JOHNS,NATE",1
11:11,"FOUL  by GOOLESBY,TATE",,,,,,,"FOUL  by GOOLESBY,TATE",1
11:11,"SUB IN by KNIGHT,GRIFFIN",,,,,,,"SUB IN by KNIGHT,GRIFFIN",1
11:11,"SUB OUT by GOOLESBY,TATE",,,,,,,"SUB OUT by GOOLESBY,TATE",1
10:58,,,,,"MISS LAYUP by KAHL,COLIN",,,"MISS LAYUP by KAHL,COLIN",1
--,"REBOUND DEF by JOHNS,NATE",,,,,,,"REBOUND DEF by JOHNS,NATE",1
10:51,"MISS 3PTR by JOHNS,NATE",,,,,,,"MISS 3PTR by JOHNS,NATE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:48,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",1
10:44,"MISS JUMPER by JOHNS,NATE",,,,,,,"MISS JUMPER by JOHNS,NATE",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
10:33,,,,,"MISS 3PTR by WILLIAMS,RASHAUN",,,"MISS 3PTR by WILLIAMS,RASHAUN",1
--,"REBOUND DEF by JOHNS,NATE",,,,,,,"REBOUND DEF by JOHNS,NATE",1
10:13,"MISS 3PTR by LINVILLE,AUSTIN",,,,,,,"MISS 3PTR by LINVILLE,AUSTIN",1
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",1
10:00,"STEAL  by GARDNER,MAX",,,,,,,"STEAL  by GARDNER,MAX",1
09:53,"MISS LAYUP by JOHNS,NATE",,,,,,,"MISS LAYUP by JOHNS,NATE",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
09:31,,5,,25 (+20),"GOOD JUMPER by CRUMP,JOHN",SEWANEE 5-25 (+20),,"GOOD JUMPER by CRUMP,JOHN",1
09:19,"TURNOVER  by LINVILLE,AUSTIN",,,,,,,"TURNOVER  by LINVILLE,AUSTIN",1
09:14,,5,,28 (+23),"GOOD 3PTR by WILLIAMS,RASHAUN",SEWANEE 5-28 (+23),,"GOOD 3PTR by WILLIAMS,RASHAUN",1
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",1
08:49,"GOOD LAYUP by KNIGHT,GRIFFIN(in the paint)",7,,28 (+21),,HUNTINGD 7-28 (+21),,"GOOD LAYUP by KNIGHT,GRIFFIN(in the paint)",1
08:33,,7,,31 (+24),"GOOD 3PTR by AVALIANI,LUKA",SEWANEE 7-31 (+24),,"GOOD 3PTR by AVALIANI,LUKA",1
08:17,,,,,"FOUL  by CORRIGAN,TRE",,,"FOUL  by CORRIGAN,TRE",1
08:17,"GOOD FT by LINVILLE,AUSTIN",8,,31 (+23),,HUNTINGD 8-31 (+23),,"GOOD FT by LINVILLE,AUSTIN",1
08:17,"GOOD FT by LINVILLE,AUSTIN",9,,31 (+22),,HUNTINGD 9-31 (+22),,"GOOD FT by LINVILLE,AUSTIN",1
08:17,"SUB IN by MURPHY,MYLES",,,,,,,"SUB IN by MURPHY,MYLES",1
08:17,"SUB IN by DUMAS,CHASE",,,,,,,"SUB IN by DUMAS,CHASE",1
08:17,"SUB IN by AUTIN,JEREMY",,,,,,,"SUB IN by AUTIN,JEREMY",1
08:17,"SUB OUT by LINVILLE,AUSTIN",,,,,,,"SUB OUT by LINVILLE,AUSTIN",1
08:17,"SUB OUT by JOHNS,NATE",,,,,,,"SUB OUT by JOHNS,NATE",1
08:17,"SUB OUT by KNIGHT,GRIFFIN",,,,,,,"SUB OUT by KNIGHT,GRIFFIN",1
08:17,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",1
08:17,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",1
08:17,,,,,"SUB OUT by WILLIAMS,RASHAUN",,,"SUB OUT by WILLIAMS,RASHAUN",1
08:17,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
08:16,"MISS FT by LINVILLE,AUSTIN",,,,,,,"MISS FT by LINVILLE,AUSTIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:00,,9,,33 (+24),"GOOD LAYUP by MARR,RUSS(in the paint)",SEWANEE 9-33 (+24),,"GOOD LAYUP by MARR,RUSS(in the paint)",1
08:00,"FOUL  by MURPHY,MYLES",,,,,,,"FOUL  by MURPHY,MYLES",1
08:00,,,,,"MISS FT by MARR,RUSS",,,"MISS FT by MARR,RUSS",1
--,"REBOUND DEF by AUTIN,JEREMY",,,,,,,"REBOUND DEF by AUTIN,JEREMY",1
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",1
07:45,"FOUL  by DUMAS,CHASE",,,,,,,"FOUL  by DUMAS,CHASE",1
07:45,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:45,"GOOD LAYUP by DUMAS,CHASE(in the paint)",11,,33 (+22),,HUNTINGD 11-33 (+22),,"GOOD LAYUP by DUMAS,CHASE(in the paint)",1
07:45,,11,,34 (+23),"GOOD FT by HOLLAND,ELI",SEWANEE 11-34 (+23),,"GOOD FT by HOLLAND,ELI",1
07:45,,,,,"MISS FT by HOLLAND,ELI",,,"MISS FT by HOLLAND,ELI",1
--,"REBOUND DEF by DUMAS,CHASE",,,,,,,"REBOUND DEF by DUMAS,CHASE",1
07:39,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",1
07:39,,,,,"SUB OUT by CRUMP,JOHN",,,"SUB OUT by CRUMP,JOHN",1
07:26,"MISS JUMPER by AUTIN,JEREMY",,,,,,,"MISS JUMPER by AUTIN,JEREMY",1
--,,,,,"REBOUND DEF by HOLLAND,ELI",,,"REBOUND DEF by HOLLAND,ELI",1
07:14,,11,,36 (+25),"GOOD LAYUP by AVALIANI,LUKA(in the paint)",SEWANEE 11-36 (+25),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",1
07:14,"FOUL  by GARDNER,MAX",,,,,,,"FOUL  by GARDNER,MAX",1
07:14,,11,,37 (+26),"GOOD FT by AVALIANI,LUKA",SEWANEE 11-37 (+26),,"GOOD FT by AVALIANI,LUKA",1
07:00,"GOOD JUMPER by GARDNER,MAX",13,,37 (+24),,HUNTINGD 13-37 (+24),,"GOOD JUMPER by GARDNER,MAX",1
06:45,"STEAL  by PAGE,SAM",,,,,,,"STEAL  by PAGE,SAM",1
06:37,,,,,"FOUL  by CORRIGAN,TRE",,,"FOUL  by CORRIGAN,TRE",1
06:37,,,,,"SUB IN by WILLIAMS,RASHAUN",,,"SUB IN by WILLIAMS,RASHAUN",1
06:37,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",1
06:32,"MISS LAYUP by MURPHY,MYLES",,,,,,,"MISS LAYUP by MURPHY,MYLES",1
--,"REBOUND OFF by AUTIN,JEREMY",,,,,,,"REBOUND OFF by AUTIN,JEREMY",1
06:27,"MISS 3PTR by MURPHY,MYLES",,,,,,,"MISS 3PTR by MURPHY,MYLES",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
06:14,,,,,"FOUL  by HOLLAND,ELI",,,"FOUL  by HOLLAND,ELI",1
06:14,"SUB IN by JOHNS,NATE",,,,,,,"SUB IN by JOHNS,NATE",1
06:14,"SUB IN by BOONE,CALEB",,,,,,,"SUB IN by BOONE,CALEB",1
06:14,"SUB OUT by PAGE,SAM",,,,,,,"SUB OUT by PAGE,SAM",1
06:14,"SUB OUT by GARDNER,MAX",,,,,,,"SUB OUT by GARDNER,MAX",1
06:14,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",1
06:14,,,,,"SUB OUT by HOLLAND,ELI",,,"SUB OUT by HOLLAND,ELI",1
05:54,,,,,"FOUL  by WILLIAMS,RASHAUN",,,"FOUL  by WILLIAMS,RASHAUN",1
05:54,"MISS FT by BOONE,CALEB",,,,,,,"MISS FT by BOONE,CALEB",1
--,,,,,"REBOUND DEF by WILLIAMS,RASHAUN",,,"REBOUND DEF by WILLIAMS,RASHAUN",1
05:54,"SUB IN by KNIGHT,GRIFFIN",,,,,,,"SUB IN by KNIGHT,GRIFFIN",1
05:54,"SUB OUT by DUMAS,CHASE",,,,,,,"SUB OUT by DUMAS,CHASE",1
05:40,,,,,"MISS LAYUP by SMITH,GRAHAM",,,"MISS LAYUP by SMITH,GRAHAM",1
--,"REBOUND DEF by KNIGHT,GRIFFIN",,,,,,,"REBOUND DEF by KNIGHT,GRIFFIN",1
05:21,"MISS LAYUP by MURPHY,MYLES",,,,,,,"MISS LAYUP by MURPHY,MYLES",1
05:21,,,,,"BLOCK  by SMITH,GRAHAM",,,"BLOCK  by SMITH,GRAHAM",1
--,,,,,"REBOUND DEF by SMITH,GRAHAM",,,"REBOUND DEF by SMITH,GRAHAM",1
05:14,,,,,"TURNOVER  by MARR,RUSS",,,"TURNOVER  by MARR,RUSS",1
05:14,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",1
05:14,,,,,"SUB IN by CRUMP,JOHN",,,"SUB IN by CRUMP,JOHN",1
05:14,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
05:14,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",1
04:31,,,,,"FOUL  by WILLIAMS,RASHAUN",,,"FOUL  by WILLIAMS,RASHAUN",1
04:31,"GOOD FT by AUTIN,JEREMY",14,,37 (+23),,HUNTINGD 14-37 (+23),,"GOOD FT by AUTIN,JEREMY",1
04:31,"MISS FT by AUTIN,JEREMY",,,,,,,"MISS FT by AUTIN,JEREMY",1
--,"REBOUND OFF by JOHNS,NATE",,,,,,,"REBOUND OFF by JOHNS,NATE",1
04:31,"MISS LAYUP by JOHNS,NATE",,,,,,,"MISS LAYUP by JOHNS,NATE",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
04:31,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",1
04:31,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",1
04:31,,,,,"SUB OUT by WILLIAMS,RASHAUN",,,"SUB OUT by WILLIAMS,RASHAUN",1
04:31,,,,,"SUB OUT by HOLLAND,ELI",,,"SUB OUT by HOLLAND,ELI",1
04:20,,14,,39 (+25),"GOOD LAYUP by MARR,RUSS(in the paint)",SEWANEE 14-39 (+25),,"GOOD LAYUP by MARR,RUSS(in the paint)",1
--,,,,,"ASSIST  by KAHL,COLIN",,,"ASSIST  by KAHL,COLIN",1
04:09,,,,,"FOUL  by SMITH,GRAHAM",,,"FOUL  by SMITH,GRAHAM",1
04:09,"GOOD FT by KNIGHT,GRIFFIN",15,,39 (+24),,HUNTINGD 15-39 (+24),,"GOOD FT by KNIGHT,GRIFFIN",1
04:09,"MISS FT by KNIGHT,GRIFFIN",,,,,,,"MISS FT by KNIGHT,GRIFFIN",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
03:41,,15,,41 (+26),"GOOD LAYUP by KAHL,COLIN(in the paint)",SEWANEE 15-41 (+26),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
--,,,,,"ASSIST  by CRUMP,JOHN",,,"ASSIST  by CRUMP,JOHN",1
03:41,,,,,"FOUL  by AVALIANI,LUKA",,,"FOUL  by AVALIANI,LUKA",1
03:41,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:41,"MISS FT by BOONE,CALEB",,,,,,,"MISS FT by BOONE,CALEB",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
03:41,"MISS FT by BOONE,CALEB",,,,,,,"MISS FT by BOONE,CALEB",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
03:35,"SUB IN by DUMAS,CHASE",,,,,,,"SUB IN by DUMAS,CHASE",1
03:35,"SUB IN by LINVILLE,AUSTIN",,,,,,,"SUB IN by LINVILLE,AUSTIN",1
03:35,"SUB IN by PAGE,SAM",,,,,,,"SUB IN by PAGE,SAM",1
03:35,"SUB IN by GARDNER,MAX",,,,,,,"SUB IN by GARDNER,MAX",1
03:35,"SUB OUT by KNIGHT,GRIFFIN",,,,,,,"SUB OUT by KNIGHT,GRIFFIN",1
03:35,"SUB OUT by AUTIN,JEREMY",,,,,,,"SUB OUT by AUTIN,JEREMY",1
03:35,"SUB OUT by BOONE,CALEB",,,,,,,"SUB OUT by BOONE,CALEB",1
03:35,"SUB OUT by MURPHY,MYLES",,,,,,,"SUB OUT by MURPHY,MYLES",1
03:29,,15,,43 (+28),"GOOD LAYUP by CRUMP,JOHN(in the paint)",SEWANEE 15-43 (+28),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",1
03:15,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",1
03:15,"MISS FT by DUMAS,CHASE",,,,,,,"MISS FT by DUMAS,CHASE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
03:15,"MISS FT by DUMAS,CHASE",,,,,,,"MISS FT by DUMAS,CHASE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:15,"SUB IN by CARNEGIE,JEREMIAH",,,,,,,"SUB IN by CARNEGIE,JEREMIAH",1
03:15,"SUB OUT by GARDNER,MAX",,,,,,,"SUB OUT by GARDNER,MAX",1
03:15,,,,,"SUB IN by BOULDIN,BLAKE",,,"SUB IN by BOULDIN,BLAKE",1
03:15,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
03:07,,,,,"MISS 3PTR by CRUMP,JOHN",,,"MISS 3PTR by CRUMP,JOHN",1
--,,,,,"REBOUND OFF by MARR,RUSS",,,"REBOUND OFF by MARR,RUSS",1
02:43,,,,,"MISS LAYUP by BOULDIN,BLAKE",,,"MISS LAYUP by BOULDIN,BLAKE",1
--,"REBOUND DEF by JOHNS,NATE",,,,,,,"REBOUND DEF by JOHNS,NATE",1
02:24,"GOOD LAYUP by JOHNS,NATE(in the paint)",17,,43 (+26),,HUNTINGD 17-43 (+26),,"GOOD LAYUP by JOHNS,NATE(in the paint)",1
02:14,,,,,"MISS LAYUP by SMITH,GRAHAM",,,"MISS LAYUP by SMITH,GRAHAM",1
--,,,,,"REBOUND OFF by BOULDIN,BLAKE",,,"REBOUND OFF by BOULDIN,BLAKE",1
02:09,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",1
--,"REBOUND DEF by JOHNS,NATE",,,,,,,"REBOUND DEF by JOHNS,NATE",1
02:00,,,,,"FOUL  by SMITH,GRAHAM",,,"FOUL  by SMITH,GRAHAM",1
02:00,"GOOD FT by PAGE,SAM",18,,43 (+25),,HUNTINGD 18-43 (+25),,"GOOD FT by PAGE,SAM",1
02:00,"MISS FT by PAGE,SAM",,,,,,,"MISS FT by PAGE,SAM",1
--,"REBOUND OFF by JOHNS,NATE",,,,,,,"REBOUND OFF by JOHNS,NATE",1
01:57,"TURNOVER  by JOHNS,NATE",,,,,,,"TURNOVER  by JOHNS,NATE",1
