Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,MVILLE,Game Score,Team Indicator,Play,Period
16:11,,9,,10 (+1),"GOOD FT by RICE,DARYL",MVILLE 9-10 (-1),,"GOOD FT by RICE,DARYL",1
16:06,"MISS LAYUP by KAHL,COLIN(in the paint)",,,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",1
16:06,,,,,"BLOCK  by COCHRAN,CHARLIE",,,"BLOCK  by COCHRAN,CHARLIE",1
--,,,,,"REBOUND DEF by RASNICK,MYLES",,,"REBOUND DEF by RASNICK,MYLES",1
15:59,,,,,"MISS 3PTR by KAH,KORDELL",,,"MISS 3PTR by KAH,KORDELL",1
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",1
15:47,,,,,"FOUL  by KAH,KORDELL",,,"FOUL  by KAH,KORDELL",1
15:47,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:42,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",1
15:42,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",1
15:42,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",1
15:42,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",1
15:28,"MISS JUMPER by SMITH,GRAHAM(in the paint)",,,,,,,"MISS JUMPER by SMITH,GRAHAM(in the paint)",1
--,,,,,"REBOUND DEF by KAH,KORDELL",,,"REBOUND DEF by KAH,KORDELL",1
15:18,,,,,"SUB OUT by COCHRAN,CHARLIE",,,"SUB OUT by COCHRAN,CHARLIE",1
15:18,,,,,"SUB IN by MORGAN,CHASE",,,"SUB IN by MORGAN,CHASE",1
15:05,,9,,12 (+3),"GOOD JUMPER by RICE,DARYL(in the paint)",MVILLE 9-12 (-3),,"GOOD JUMPER by RICE,DARYL(in the paint)",1
14:53,,,,,"FOUL  by MORGAN,CHASE",,,"FOUL  by MORGAN,CHASE",1
14:44,"GOOD LAYUP by MARR,RUSS(in the paint)",11,,12 (+1),,Sewan 11-12 (-1),,"GOOD LAYUP by MARR,RUSS(in the paint)",1
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",1
14:32,,11,,15 (+4),"GOOD 3PTR by RASNICK,MYLES",MVILLE 11-15 (-4),,"GOOD 3PTR by RASNICK,MYLES",1
--,,,,,"ASSIST  by GARNER,JACKSON",,,"ASSIST  by GARNER,JACKSON",1
14:21,"MISS 3PTR by SMITH,GRAHAM",,,,,,,"MISS 3PTR by SMITH,GRAHAM",1
--,,,,,"REBOUND DEF by KAH,KORDELL",,,"REBOUND DEF by KAH,KORDELL",1
14:08,,,,,"MISS LAYUP by KAH,KORDELL(in the paint)",,,"MISS LAYUP by KAH,KORDELL(in the paint)",1
--,,,,,"REBOUND OFF by KAH,KORDELL",,,"REBOUND OFF by KAH,KORDELL",1
13:55,,,,,"MISS JUMPER by RICE,DARYL",,,"MISS JUMPER by RICE,DARYL",1
--,"REBOUND DEF by HOLLAND,ELI",,,,,,,"REBOUND DEF by HOLLAND,ELI",1
13:41,,,,,"FOUL  by RICE,DARYL",,,"FOUL  by RICE,DARYL",1
13:41,,,,,"SUB OUT by RICE,DARYL",,,"SUB OUT by RICE,DARYL",1
13:41,,,,,"SUB IN by GREEN,JAYLON",,,"SUB IN by GREEN,JAYLON",1
13:41,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",1
13:41,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",1
13:41,"SUB IN by AVALIANI,LUKA",,,,,,,"SUB IN by AVALIANI,LUKA",1
13:41,"SUB IN by FOLK,BEN",,,,,,,"SUB IN by FOLK,BEN",1
13:26,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",13,,15 (+2),,Sewan 13-15 (-2),,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",1
13:17,"FOUL  by SMITH,GRAHAM",,,,,,,"FOUL  by SMITH,GRAHAM",1
13:09,,,,,"MISS 3PTR by RASNICK,MYLES",,,"MISS 3PTR by RASNICK,MYLES",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:03,,,,,"SUB OUT by KAH,KORDELL",,,"SUB OUT by KAH,KORDELL",1
13:03,,,,,"SUB IN by COCHRAN,CHARLIE",,,"SUB IN by COCHRAN,CHARLIE",1
12:38,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",1
--,,,,,"REBOUND DEF by RASNICK,MYLES",,,"REBOUND DEF by RASNICK,MYLES",1
12:36,"FOUL  by HOLLAND,ELI",,,,,,,"FOUL  by HOLLAND,ELI",1
12:25,"FOUL  by AVALIANI,LUKA",,,,,,,"FOUL  by AVALIANI,LUKA",1
12:25,,13,,16 (+3),"GOOD FT by RASNICK,MYLES",MVILLE 13-16 (-3),,"GOOD FT by RASNICK,MYLES",1
12:25,,,,,"SUB OUT by MORGAN,CHASE",,,"SUB OUT by MORGAN,CHASE",1
12:25,,,,,"SUB IN by TREADWELL,HAYDEN",,,"SUB IN by TREADWELL,HAYDEN",1
12:25,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",1
12:25,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",1
12:25,,13,,17 (+4),"GOOD FT by RASNICK,MYLES",MVILLE 13-17 (-4),,"GOOD FT by RASNICK,MYLES",1
12:25,,,,,"SUB OUT by RASNICK,MYLES",,,"SUB OUT by RASNICK,MYLES",1
12:25,,,,,"SUB IN by RODRIGUEZ,JOSE",,,"SUB IN by RODRIGUEZ,JOSE",1
12:08,,,,,"FOUL  by TREADWELL,HAYDEN",,,"FOUL  by TREADWELL,HAYDEN",1
12:07,"MISS FT by MARR,RUSS",,,,,,,"MISS FT by MARR,RUSS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:07,"MISS FT by MARR,RUSS",,,,,,,"MISS FT by MARR,RUSS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:07,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",1
12:07,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",1
12:07,"GOOD FT by MARR,RUSS",14,,17 (+3),,Sewan 14-17 (-3),,"GOOD FT by MARR,RUSS",1
12:07,"SUB OUT by MARR,RUSS",,,,,,,"SUB OUT by MARR,RUSS",1
12:07,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",1
11:57,,,,,"TURNOVER  by GREEN,JAYLON",,,"TURNOVER  by GREEN,JAYLON",1
11:57,"STEAL  by CORRIGAN,TRE",,,,,,,"STEAL  by CORRIGAN,TRE",1
11:40,"GOOD 3PTR by FOLK,BEN",17,,17,,Sewan 17-17 (0),,"GOOD 3PTR by FOLK,BEN",1
--,"ASSIST  by AVALIANI,LUKA",,,,,,,"ASSIST  by AVALIANI,LUKA",1
11:21,,17,,20 (+3),"GOOD 3PTR by COCHRAN,CHARLIE",MVILLE 17-20 (-3),,"GOOD 3PTR by COCHRAN,CHARLIE",1
--,,,,,"ASSIST  by GARNER,JACKSON",,,"ASSIST  by GARNER,JACKSON",1
11:00,"MISS 3PTR by FOLK,BEN",,,,,,,"MISS 3PTR by FOLK,BEN",1
--,,,,,"REBOUND DEF by RODRIGUEZ,JOSE",,,"REBOUND DEF by RODRIGUEZ,JOSE",1
10:49,,,,,"MISS LAYUP by TREADWELL,HAYDEN(in the paint)",,,"MISS LAYUP by TREADWELL,HAYDEN(in the paint)",1
--,,,,,"REBOUND OFF by TREADWELL,HAYDEN",,,"REBOUND OFF by TREADWELL,HAYDEN",1
10:34,,17,,22 (+5),"GOOD LAYUP by TREADWELL,HAYDEN(in the paint)",MVILLE 17-22 (-5),,"GOOD LAYUP by TREADWELL,HAYDEN(in the paint)",1
10:25,"MISS LAYUP by CRUMP,JOHN(in the paint)",,,,,,,"MISS LAYUP by CRUMP,JOHN(in the paint)",1
--,,,,,"REBOUND DEF by RODRIGUEZ,JOSE",,,"REBOUND DEF by RODRIGUEZ,JOSE",1
10:17,,17,,24 (+7),"GOOD LAYUP by GREEN,JAYLON(fastbreak)(in the paint)",MVILLE 17-24 (-7),,"GOOD LAYUP by GREEN,JAYLON(fastbreak)(in the paint)",1
10:05,"MISS 3PTR by FOLK,BEN",,,,,,,"MISS 3PTR by FOLK,BEN",1
--,,,,,"REBOUND DEF by COCHRAN,CHARLIE",,,"REBOUND DEF by COCHRAN,CHARLIE",1
09:46,,,,,"MISS JUMPER by GREEN,JAYLON",,,"MISS JUMPER by GREEN,JAYLON",1
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",1
09:36,,,,,"FOUL  by RODRIGUEZ,JOSE",,,"FOUL  by RODRIGUEZ,JOSE",1
09:36,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
09:20,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",1
09:20,,,,,"STEAL  by COCHRAN,CHARLIE",,,"STEAL  by COCHRAN,CHARLIE",1
09:03,,17,,26 (+9),"GOOD LAYUP by COCHRAN,CHARLIE(in the paint)",MVILLE 17-26 (-9),,"GOOD LAYUP by COCHRAN,CHARLIE(in the paint)",1
--,,,,,"ASSIST  by GARNER,JACKSON",,,"ASSIST  by GARNER,JACKSON",1
08:54,,,,,"SUB OUT by GREEN,JAYLON",,,"SUB OUT by GREEN,JAYLON",1
08:54,,,,,"SUB OUT by GARNER,JACKSON",,,"SUB OUT by GARNER,JACKSON",1
08:54,,,,,"SUB OUT by TREADWELL,HAYDEN",,,"SUB OUT by TREADWELL,HAYDEN",1
08:54,,,,,"SUB IN by RICE,DARYL",,,"SUB IN by RICE,DARYL",1
08:54,,,,,"SUB IN by KAH,KORDELL",,,"SUB IN by KAH,KORDELL",1
08:54,,,,,"SUB IN by RIDENOUR,CHASE",,,"SUB IN by RIDENOUR,CHASE",1
08:39,"MISS LAYUP by KAHL,COLIN(in the paint)",,,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",1
08:39,,,,,"BLOCK  by KAH,KORDELL",,,"BLOCK  by KAH,KORDELL",1
--,,,,,"REBOUND DEF by RODRIGUEZ,JOSE",,,"REBOUND DEF by RODRIGUEZ,JOSE",1
08:15,,,,,"MISS 3PTR by KAH,KORDELL",,,"MISS 3PTR by KAH,KORDELL",1
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",1
08:06,"MISS 3PTR by KAHL,COLIN",,,,,,,"MISS 3PTR by KAHL,COLIN",1
--,,,,,"REBOUND DEF by RIDENOUR,CHASE",,,"REBOUND DEF by RIDENOUR,CHASE",1
07:56,,17,,28 (+11),"GOOD JUMPER by RICE,DARYL",MVILLE 17-28 (-11),,"GOOD JUMPER by RICE,DARYL",1
07:46,"SUB OUT by FOLK,BEN",,,,,,,"SUB OUT by FOLK,BEN",1
07:46,"SUB IN by MARR,RUSS",,,,,,,"SUB IN by MARR,RUSS",1
07:44,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:44,,,,,"SUB OUT by COCHRAN,CHARLIE",,,"SUB OUT by COCHRAN,CHARLIE",1
07:44,,,,,"SUB OUT by RODRIGUEZ,JOSE",,,"SUB OUT by RODRIGUEZ,JOSE",1
07:44,,,,,"SUB IN by RASNICK,MYLES",,,"SUB IN by RASNICK,MYLES",1
07:44,,,,,"SUB IN by MORGAN,CHASE",,,"SUB IN by MORGAN,CHASE",1
07:30,"GOOD LAYUP by KAHL,COLIN(in the paint)",19,,28 (+9),,Sewan 19-28 (-9),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
--,"ASSIST  by MARR,RUSS",,,,,,,"ASSIST  by MARR,RUSS",1
07:23,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",1
07:23,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",1
07:23,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",1
07:23,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",1
07:12,,19,,30 (+11),"GOOD LAYUP by MORGAN,CHASE(in the paint)",MVILLE 19-30 (-11),,"GOOD LAYUP by MORGAN,CHASE(in the paint)",1
--,,,,,"ASSIST  by RIDENOUR,CHASE",,,"ASSIST  by RIDENOUR,CHASE",1
06:59,"MISS LAYUP by HOLLAND,ELI(in the paint)",,,,,,,"MISS LAYUP by HOLLAND,ELI(in the paint)",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:54,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",1
--,"REBOUND OFF by HOLLAND,ELI",,,,,,,"REBOUND OFF by HOLLAND,ELI",1
06:47,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,"REBOUND DEF by MORGAN,CHASE",,,"REBOUND DEF by MORGAN,CHASE",1
06:28,,,,,"TURNOVER  by MORGAN,CHASE",,,"TURNOVER  by MORGAN,CHASE",1
06:27,,,,,"SUB OUT by KAH,KORDELL",,,"SUB OUT by KAH,KORDELL",1
06:27,,,,,"SUB IN by COCHRAN,CHARLIE",,,"SUB IN by COCHRAN,CHARLIE",1
06:16,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",1
06:03,,19,,32 (+13),"GOOD LAYUP by COCHRAN,CHARLIE(in the paint)",MVILLE 19-32 (-13),,"GOOD LAYUP by COCHRAN,CHARLIE(in the paint)",1
--,,,,,"ASSIST  by RASNICK,MYLES",,,"ASSIST  by RASNICK,MYLES",1
05:50,"TURNOVER  by MARR,RUSS",,,,,,,"TURNOVER  by MARR,RUSS",1
05:50,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",1
05:50,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",1
05:42,,,,,"MISS JUMPER by MORGAN,CHASE(in the paint)",,,"MISS JUMPER by MORGAN,CHASE(in the paint)",1
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",1
05:33,"GOOD LAYUP by HOLLAND,ELI(in the paint)",21,,32 (+11),,Sewan 21-32 (-11),,"GOOD LAYUP by HOLLAND,ELI(in the paint)",1
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",1
05:21,,21,,35 (+14),"GOOD 3PTR by RASNICK,MYLES",MVILLE 21-35 (-14),,"GOOD 3PTR by RASNICK,MYLES",1
04:56,,,,,"FOUL  by RASNICK,MYLES",,,"FOUL  by RASNICK,MYLES",1
04:48,"GOOD FT by HOLLAND,ELI",22,,35 (+13),,Sewan 22-35 (-13),,"GOOD FT by HOLLAND,ELI",1
04:48,,,,,"SUB OUT by RICE,DARYL",,,"SUB OUT by RICE,DARYL",1
04:48,,,,,"SUB OUT by MORGAN,CHASE",,,"SUB OUT by MORGAN,CHASE",1
04:48,,,,,"SUB OUT by RIDENOUR,CHASE",,,"SUB OUT by RIDENOUR,CHASE",1
04:48,,,,,"SUB IN by GREEN,JAYLON",,,"SUB IN by GREEN,JAYLON",1
04:48,,,,,"SUB IN by GARNER,JACKSON",,,"SUB IN by GARNER,JACKSON",1
04:48,,,,,"SUB IN by KAH,KORDELL",,,"SUB IN by KAH,KORDELL",1
04:48,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",1
04:48,"SUB IN by AVALIANI,LUKA",,,,,,,"SUB IN by AVALIANI,LUKA",1
04:47,"MISS FT by HOLLAND,ELI",,,,,,,"MISS FT by HOLLAND,ELI",1
--,,,,,"REBOUND DEF by GREEN,JAYLON",,,"REBOUND DEF by GREEN,JAYLON",1
04:29,,22,,37 (+15),"GOOD JUMPER by COCHRAN,CHARLIE",MVILLE 22-37 (-15),,"GOOD JUMPER by COCHRAN,CHARLIE",1
04:07,"MISS JUMPER by AVALIANI,LUKA(in the paint)",,,,,,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",1
--,,,,,"REBOUND DEF by COCHRAN,CHARLIE",,,"REBOUND DEF by COCHRAN,CHARLIE",1
03:57,,22,,40 (+18),"GOOD 3PTR by COCHRAN,CHARLIE",MVILLE 22-40 (-18),,"GOOD 3PTR by COCHRAN,CHARLIE",1
--,,,,,"ASSIST  by RASNICK,MYLES",,,"ASSIST  by RASNICK,MYLES",1
03:29,"GOOD JUMPER by CORRIGAN,TRE(in the paint)",24,,40 (+16),,Sewan 24-40 (-16),,"GOOD JUMPER by CORRIGAN,TRE(in the paint)",1
03:29,,,,,"FOUL  by KAH,KORDELL",,,"FOUL  by KAH,KORDELL",1
03:29,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:29,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",1
03:29,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",1
03:29,"GOOD FT by CORRIGAN,TRE",25,,40 (+15),,Sewan 25-40 (-15),,"GOOD FT by CORRIGAN,TRE",1
03:06,,,,,"MISS 3PTR by COCHRAN,CHARLIE",,,"MISS 3PTR by COCHRAN,CHARLIE",1
--,,,,,"REBOUND OFF by KAH,KORDELL",,,"REBOUND OFF by KAH,KORDELL",1
03:00,,,,,"MISS LAYUP by KAH,KORDELL(in the paint)",,,"MISS LAYUP by KAH,KORDELL(in the paint)",1
--,,,,,"REBOUND OFF by KAH,KORDELL",,,"REBOUND OFF by KAH,KORDELL",1
02:58,,,,,"MISS LAYUP by KAH,KORDELL(in the paint)",,,"MISS LAYUP by KAH,KORDELL(in the paint)",1
--,,,,,"REBOUND OFF by KAH,KORDELL",,,"REBOUND OFF by KAH,KORDELL",1
02:58,,,,,"SUB OUT by KAH,KORDELL",,,"SUB OUT by KAH,KORDELL",1
02:58,,,,,"SUB IN by RODRIGUEZ,JOSE",,,"SUB IN by RODRIGUEZ,JOSE",1
02:46,,,,,"MISS 3PTR by GARNER,JACKSON",,,"MISS 3PTR by GARNER,JACKSON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:26,,,,,"SUB OUT by GREEN,JAYLON",,,"SUB OUT by GREEN,JAYLON",1
02:26,,,,,"SUB IN by RICE,DARYL",,,"SUB IN by RICE,DARYL",1
02:22,"MISS 3PTR by AVALIANI,LUKA",,,,,,,"MISS 3PTR by AVALIANI,LUKA",1
--,,,,,"REBOUND DEF by RICE,DARYL",,,"REBOUND DEF by RICE,DARYL",1
02:10,,,,,"MISS LAYUP by COCHRAN,CHARLIE(in the paint)",,,"MISS LAYUP by COCHRAN,CHARLIE(in the paint)",1
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",1
02:00,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",1
--,,,,,"REBOUND DEF by COCHRAN,CHARLIE",,,"REBOUND DEF by COCHRAN,CHARLIE",1
01:52,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:52,,,,,"SUB OUT by GARNER,JACKSON",,,"SUB OUT by GARNER,JACKSON",1
01:52,,,,,"SUB IN by RIDENOUR,CHASE",,,"SUB IN by RIDENOUR,CHASE",1
01:32,,,,,"MISS JUMPER by RICE,DARYL",,,"MISS JUMPER by RICE,DARYL",1
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",1
01:15,"MISS 3PTR by KAHL,COLIN",,,,,,,"MISS 3PTR by KAHL,COLIN",1
--,,,,,"REBOUND DEF by RODRIGUEZ,JOSE",,,"REBOUND DEF by RODRIGUEZ,JOSE",1
00:45,,,,,"TURNOVER  by RASNICK,MYLES",,,"TURNOVER  by RASNICK,MYLES",1
00:44,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:33,"TURNOVER  by CRUMP,JOHN",,,,,,,"TURNOVER  by CRUMP,JOHN",1
00:33,,,,,"STEAL  by RASNICK,MYLES",,,"STEAL  by RASNICK,MYLES",1
00:31,,,,,"TURNOVER  by RODRIGUEZ,JOSE",,,"TURNOVER  by RODRIGUEZ,JOSE",1
00:26,"TURNOVER  by MARR,RUSS",,,,,,,"TURNOVER  by MARR,RUSS",1
00:26,,,,,"SUB OUT by RODRIGUEZ,JOSE",,,"SUB OUT by RODRIGUEZ,JOSE",1
00:26,,,,,"SUB IN by GARNER,JACKSON",,,"SUB IN by GARNER,JACKSON",1
00:26,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",1
00:26,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",1
00:02,,,,,"TURNOVER  by RASNICK,MYLES",,,"TURNOVER  by RASNICK,MYLES",1
00:02,,,,,"SUB OUT by GARNER,JACKSON",,,"SUB OUT by GARNER,JACKSON",1
00:02,,,,,"SUB IN by RODRIGUEZ,JOSE",,,"SUB IN by RODRIGUEZ,JOSE",1
00:02,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",1
00:02,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",1
20:00,,,,,"SUB OUT by RODRIGUEZ,JOSE",,,"SUB OUT by RODRIGUEZ,JOSE",2
20:00,,,,,"SUB IN by KAH,KORDELL",,,"SUB IN by KAH,KORDELL",2
19:53,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
--,,,,,"REBOUND DEF by RICE,DARYL",,,"REBOUND DEF by RICE,DARYL",2
19:38,,,,,"MISS 3PTR by COCHRAN,CHARLIE",,,"MISS 3PTR by COCHRAN,CHARLIE",2
--,,,,,"REBOUND OFF by KAH,KORDELL",,,"REBOUND OFF by KAH,KORDELL",2
19:35,"FOUL  by AVALIANI,LUKA",,,,,,,"FOUL  by AVALIANI,LUKA",2
19:27,"FOUL  by CORRIGAN,TRE",,,,,,,"FOUL  by CORRIGAN,TRE",2
19:27,,25,,41 (+16),"GOOD FT by KAH,KORDELL",MVILLE 25-41 (-16),,"GOOD FT by KAH,KORDELL",2
19:27,,25,,42 (+17),"GOOD FT by KAH,KORDELL",MVILLE 25-42 (-17),,"GOOD FT by KAH,KORDELL",2
19:03,"MISS 3PTR by CRUMP,JOHN",,,,,,,"MISS 3PTR by CRUMP,JOHN",2
--,,,,,"REBOUND DEF by COCHRAN,CHARLIE",,,"REBOUND DEF by COCHRAN,CHARLIE",2
18:45,,25,,44 (+19),"GOOD JUMPER by RICE,DARYL(in the paint)",MVILLE 25-44 (-19),,"GOOD JUMPER by RICE,DARYL(in the paint)",2
18:28,"MISS JUMPER by AVALIANI,LUKA(in the paint)",,,,,,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",2
--,,,,,"REBOUND DEF by COCHRAN,CHARLIE",,,"REBOUND DEF by COCHRAN,CHARLIE",2
18:16,,,,,"TURNOVER  by COCHRAN,CHARLIE",,,"TURNOVER  by COCHRAN,CHARLIE",2
18:05,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",2
18:05,,,,,"STEAL  by RICE,DARYL",,,"STEAL  by RICE,DARYL",2
17:48,,,,,"MISS JUMPER by RICE,DARYL",,,"MISS JUMPER by RICE,DARYL",2
--,"REBOUND DEF by MARR,RUSS",,,,,,,"REBOUND DEF by MARR,RUSS",2
