Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
10:24,"TURNOVER  by LYONS,CAMERIN",,,,,,,"TURNOVER  by LYONS,CAMERIN",1
09:53,,,,,"MISS 3PTR by WILLIAMS,RASHAUN",,,"MISS 3PTR by WILLIAMS,RASHAUN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:52,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
09:52,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",1
09:52,,,,,"SUB OUT by WILLIAMS,RASHAUN",,,"SUB OUT by WILLIAMS,RASHAUN",1
09:37,"GOOD LAYUP by HILL,ZAC(in the paint)",24 (+6),,18,,LCM 24-18 (-6),,"GOOD LAYUP by HILL,ZAC(in the paint)",1
09:29,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",1
--,"REBOUND DEF by SCOTT,BRODIE",,,,,,,"REBOUND DEF by SCOTT,BRODIE",1
09:10,"GOOD LAYUP by HILL,ZAC(in the paint)",26 (+8),,18,,LCM 26-18 (-8),,"GOOD LAYUP by HILL,ZAC(in the paint)",1
08:50,,26 (+6),,20,"GOOD LAYUP by CRUMP,JOHN(in the paint)",SEW 26-20 (-6),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",1
08:42,"GOOD JUMPER by LYONS,CAMERIN(in the paint)",28 (+8),,20,,LCM 28-20 (-8),,"GOOD JUMPER by LYONS,CAMERIN(in the paint)",1
08:25,"FOUL  by LYONS,CAMERIN",,,,,,,"FOUL  by LYONS,CAMERIN",1
08:25,,,,,"MISS FT by CRUMP,JOHN",,,"MISS FT by CRUMP,JOHN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:25,,,,,"MISS FT by CRUMP,JOHN",,,"MISS FT by CRUMP,JOHN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:25,,28 (+7),,21,"GOOD FT by CRUMP,JOHN",SEW 28-21 (-7),,"GOOD FT by CRUMP,JOHN",1
08:25,"SUB IN by EDWARDS,BERSHARD",,,,,,,"SUB IN by EDWARDS,BERSHARD",1
08:25,"SUB IN by COFIELD,GABE",,,,,,,"SUB IN by COFIELD,GABE",1
08:25,"SUB OUT by SCOTT,BRODIE",,,,,,,"SUB OUT by SCOTT,BRODIE",1
08:25,"SUB OUT by LYONS,CAMERIN",,,,,,,"SUB OUT by LYONS,CAMERIN",1
08:12,,,,,"FOUL  by CRUMP,JOHN",,,"FOUL  by CRUMP,JOHN",1
08:12,"MISS FT by HILL,ZAC",,,,,,,"MISS FT by HILL,ZAC",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:12,"GOOD FT by HILL,ZAC",29 (+8),,21,,LCM 29-21 (-8),,"GOOD FT by HILL,ZAC",1
07:59,,29 (+6),,23,"GOOD JUMPER by CRUMP,JOHN",SEW 29-23 (-6),,"GOOD JUMPER by CRUMP,JOHN",1
07:35,"MISS JUMPER by SMITH,KYLE",,,,,,,"MISS JUMPER by SMITH,KYLE",1
--,"REBOUND OFF by COFIELD,GABE",,,,,,,"REBOUND OFF by COFIELD,GABE",1
07:31,"MISS TIPIN by COFIELD,GABE",,,,,,,"MISS TIPIN by COFIELD,GABE",1
--,"REBOUND OFF by COFIELD,GABE",,,,,,,"REBOUND OFF by COFIELD,GABE",1
07:27,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
07:20,"GOOD LAYUP by SMITH,KYLE(in the paint)",31 (+8),,23,,LCM 31-23 (-8),,"GOOD LAYUP by SMITH,KYLE(in the paint)",1
--,"ASSIST  by PENDLETON,TAYSHAWN",,,,,,,"ASSIST  by PENDLETON,TAYSHAWN",1
07:01,,,,,"MISS 3PTR by SMITH,GRAHAM",,,"MISS 3PTR by SMITH,GRAHAM",1
--,"REBOUND DEF by COFIELD,GABE",,,,,,,"REBOUND DEF by COFIELD,GABE",1
06:44,"MISS LAYUP by SMITH,KYLE",,,,,,,"MISS LAYUP by SMITH,KYLE",1
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",1
06:41,"FOUL  by SMITH,KYLE",,,,,,,"FOUL  by SMITH,KYLE",1
06:41,,,,,"MISS FT by MARR,RUSS",,,"MISS FT by MARR,RUSS",1
--,,,,,"REBOUND OFF by SMITH,GRAHAM",,,"REBOUND OFF by SMITH,GRAHAM",1
06:41,"SUB IN by SCOTT,BRODIE",,,,,,,"SUB IN by SCOTT,BRODIE",1
06:41,"SUB OUT by PENDLETON,TAYSHAWN",,,,,,,"SUB OUT by PENDLETON,TAYSHAWN",1
06:23,,,,,"TURNOVER  by HOLLAND,ELI",,,"TURNOVER  by HOLLAND,ELI",1
06:23,"SUB IN by LYONS,CAMERIN",,,,,,,"SUB IN by LYONS,CAMERIN",1
06:23,"SUB OUT by SMITH,KYLE",,,,,,,"SUB OUT by SMITH,KYLE",1
06:00,"GOOD LAYUP by HILL,ZAC(in the paint)",33 (+10),,23,,LCM 33-23 (-10),,"GOOD LAYUP by HILL,ZAC(in the paint)",1
05:43,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",1
05:43,,,,,"SUB IN by WILLIAMS,RASHAUN",,,"SUB IN by WILLIAMS,RASHAUN",1
05:43,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
05:43,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",1
05:35,,33 (+8),,25,"GOOD LAYUP by HOLLAND,ELI(in the paint)",SEW 33-25 (-8),,"GOOD LAYUP by HOLLAND,ELI(in the paint)",1
--,,,,,"ASSIST  by CRUMP,JOHN",,,"ASSIST  by CRUMP,JOHN",1
05:19,"GOOD LAYUP by HILL,ZAC(in the paint)",35 (+10),,25,,LCM 35-25 (-10),,"GOOD LAYUP by HILL,ZAC(in the paint)",1
--,"ASSIST  by SCOTT,BRODIE",,,,,,,"ASSIST  by SCOTT,BRODIE",1
04:57,,,,,"MISS 3PTR by WILLIAMS,RASHAUN",,,"MISS 3PTR by WILLIAMS,RASHAUN",1
--,,,,,"REBOUND OFF by HOLLAND,ELI",,,"REBOUND OFF by HOLLAND,ELI",1
04:54,"FOUL  by HILL,ZAC",,,,,,,"FOUL  by HILL,ZAC",1
04:54,,35 (+9),,26,"GOOD FT by HOLLAND,ELI",SEW 35-26 (-9),,"GOOD FT by HOLLAND,ELI",1
04:54,,35 (+8),,27,"GOOD FT by HOLLAND,ELI",SEW 35-27 (-8),,"GOOD FT by HOLLAND,ELI",1
04:54,"SUB IN by PETTIGREW,ISAIAH",,,,,,,"SUB IN by PETTIGREW,ISAIAH",1
04:54,"SUB OUT by HILL,ZAC",,,,,,,"SUB OUT by HILL,ZAC",1
04:54,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",1
04:54,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",1
04:54,,,,,"SUB OUT by HOLLAND,ELI",,,"SUB OUT by HOLLAND,ELI",1
04:54,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",1
04:43,"GOOD LAYUP by GONZALEZ,PARKER(in the paint)",37 (+10),,27,,LCM 37-27 (-10),,"GOOD LAYUP by GONZALEZ,PARKER(in the paint)",1
--,"ASSIST  by EDWARDS,BERSHARD",,,,,,,"ASSIST  by EDWARDS,BERSHARD",1
04:05,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:05,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
04:02,,,,,"MISS 3PTR by CRUMP,JOHN",,,"MISS 3PTR by CRUMP,JOHN",1
--,"REBOUND DEF by SCOTT,BRODIE",,,,,,,"REBOUND DEF by SCOTT,BRODIE",1
03:40,"MISS 3PTR by EDWARDS,BERSHARD",,,,,,,"MISS 3PTR by EDWARDS,BERSHARD",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
03:32,,,,,"MISS LAYUP by MARR,RUSS",,,"MISS LAYUP by MARR,RUSS",1
--,"REBOUND DEF by PETTIGREW,ISAIAH",,,,,,,"REBOUND DEF by PETTIGREW,ISAIAH",1
03:24,"TURNOVER  by EDWARDS,BERSHARD",,,,,,,"TURNOVER  by EDWARDS,BERSHARD",1
03:23,,,,,"STEAL  by AVALIANI,LUKA",,,"STEAL  by AVALIANI,LUKA",1
03:14,"FOUL  by PETTIGREW,ISAIAH",,,,,,,"FOUL  by PETTIGREW,ISAIAH",1
03:14,,37 (+9),,28,"GOOD FT by KAHL,COLIN",SEW 37-28 (-9),,"GOOD FT by KAHL,COLIN",1
03:14,,37 (+8),,29,"GOOD FT by KAHL,COLIN",SEW 37-29 (-8),,"GOOD FT by KAHL,COLIN",1
03:14,"SUB IN by PENDLETON,TAYSHAWN",,,,,,,"SUB IN by PENDLETON,TAYSHAWN",1
03:14,"SUB OUT by COFIELD,GABE",,,,,,,"SUB OUT by COFIELD,GABE",1
03:14,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",1
03:14,,,,,"SUB OUT by WILLIAMS,RASHAUN",,,"SUB OUT by WILLIAMS,RASHAUN",1
02:54,"TURNOVER  by DOLHANCYK,COOPER",,,,,,,"TURNOVER  by DOLHANCYK,COOPER",1
02:53,,,,,"STEAL  by KAHL,COLIN",,,"STEAL  by KAHL,COLIN",1
02:32,,,,,"MISS LAYUP by AVALIANI,LUKA",,,"MISS LAYUP by AVALIANI,LUKA",1
--,"REBOUND DEF by PETTIGREW,ISAIAH",,,,,,,"REBOUND DEF by PETTIGREW,ISAIAH",1
02:21,,,,,"FOUL  by MARR,RUSS",,,"FOUL  by MARR,RUSS",1
02:21,"GOOD FT by DOLHANCYK,COOPER",38 (+9),,29,,LCM 38-29 (-9),,"GOOD FT by DOLHANCYK,COOPER",1
02:21,"GOOD FT by DOLHANCYK,COOPER",39 (+10),,29,,LCM 39-29 (-10),,"GOOD FT by DOLHANCYK,COOPER",1
02:08,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",1
--,"REBOUND DEF by DOLHANCYK,COOPER",,,,,,,"REBOUND DEF by DOLHANCYK,COOPER",1
01:54,"TURNOVER  by PENDLETON,TAYSHAWN",,,,,,,"TURNOVER  by PENDLETON,TAYSHAWN",1
01:53,,,,,"STEAL  by KAHL,COLIN",,,"STEAL  by KAHL,COLIN",1
01:45,,,,,"TURNOVER  by MARR,RUSS",,,"TURNOVER  by MARR,RUSS",1
01:44,"STEAL  by GONZALEZ,PARKER",,,,,,,"STEAL  by GONZALEZ,PARKER",1
01:37,"MISS LAYUP by SCOTT,BRODIE",,,,,,,"MISS LAYUP by SCOTT,BRODIE",1
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",1
01:31,,39 (+8),,31,"GOOD LAYUP by CRUMP,JOHN(fastbreak)(in the paint)",SEW 39-31 (-8),,"GOOD LAYUP by CRUMP,JOHN(fastbreak)(in the paint)",1
01:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:27,"SUB IN by DOLHANCYK,COOPER",,,,,,,"SUB IN by DOLHANCYK,COOPER",1
01:27,"SUB OUT by PETTIGREW,ISAIAH",,,,,,,"SUB OUT by PETTIGREW,ISAIAH",1
01:16,"GOOD LAYUP by GONZALEZ,PARKER(in the paint)",41 (+10),,31,,LCM 41-31 (-10),,"GOOD LAYUP by GONZALEZ,PARKER(in the paint)",1
--,"ASSIST  by EDWARDS,BERSHARD",,,,,,,"ASSIST  by EDWARDS,BERSHARD",1
00:53,,,,,"MISS LAYUP by CRUMP,JOHN",,,"MISS LAYUP by CRUMP,JOHN",1
--,"REBOUND DEF by DOLHANCYK,COOPER",,,,,,,"REBOUND DEF by DOLHANCYK,COOPER",1
00:52,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",1
00:52,"GOOD FT by DOLHANCYK,COOPER",42 (+11),,31,,LCM 42-31 (-11),,"GOOD FT by DOLHANCYK,COOPER",1
00:52,"GOOD FT by DOLHANCYK,COOPER",43 (+12),,31,,LCM 43-31 (-12),,"GOOD FT by DOLHANCYK,COOPER",1
00:52,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",1
00:52,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
00:37,,,,,"MISS LAYUP by HOLLAND,ELI",,,"MISS LAYUP by HOLLAND,ELI",1
--,"REBOUND DEF by DOLHANCYK,COOPER",,,,,,,"REBOUND DEF by DOLHANCYK,COOPER",1
00:12,"MISS JUMPER by PENDLETON,TAYSHAWN",,,,,,,"MISS JUMPER by PENDLETON,TAYSHAWN",1
--,"REBOUND OFF by DOLHANCYK,COOPER",,,,,,,"REBOUND OFF by DOLHANCYK,COOPER",1
00:03,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",1
00:03,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",1
00:02,"MISS 3PTR by EDWARDS,BERSHARD",,,,,,,"MISS 3PTR by EDWARDS,BERSHARD",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
20:00,"SUB IN by SMITH,KYLE",,,,,,,"SUB IN by SMITH,KYLE",2
20:00,"SUB IN by EDWARDS,BERSHARD",,,,,,,"SUB IN by EDWARDS,BERSHARD",2
20:00,"SUB IN by HILL,ZAC",,,,,,,"SUB IN by HILL,ZAC",2
20:00,"SUB IN by LYONS,CAMERIN",,,,,,,"SUB IN by LYONS,CAMERIN",2
20:00,"SUB IN by COFIELD,GABE",,,,,,,"SUB IN by COFIELD,GABE",2
19:46,"GOOD LAYUP by SMITH,KYLE(in the paint)",45 (+14),,31,,LCM 45-31 (-14),,"GOOD LAYUP by SMITH,KYLE(in the paint)",2
