Time Remaining,CC,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
17:50,,,,,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",,,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",1
--,"REBOUND DEF by CRAWFORD,TREY",,,,,,,"REBOUND DEF by CRAWFORD,TREY",1
17:35,,,,,"FOUL  by WILEY,KOKI",,,"FOUL  by WILEY,KOKI",1
17:31,"TURNOVER  by CRAWFORD,TREY",,,,,,,"TURNOVER  by CRAWFORD,TREY",1
17:31,,,,,"STEAL  by ESSICK,JALEN",,,"STEAL  by ESSICK,JALEN",1
17:28,"FOUL  by CRAWFORD,TREY",,,,,,,"FOUL  by CRAWFORD,TREY",1
17:27,,0,,7 (+7),"GOOD FT by ESSICK,JALEN(fastbreak)",Rhodes 0-7 (+7),,"GOOD FT by ESSICK,JALEN(fastbreak)",1
17:27,"SUB OUT by DENNIS,DEANTE'",,,,,,,"SUB OUT by DENNIS,DEANTE'",1
17:27,"SUB OUT by DITTMAN,KEVIN",,,,,,,"SUB OUT by DITTMAN,KEVIN",1
17:27,"SUB IN by BOYKIN,DINARI",,,,,,,"SUB IN by BOYKIN,DINARI",1
17:27,"SUB IN by ROMERO,EDGAR",,,,,,,"SUB IN by ROMERO,EDGAR",1
17:27,,0,,8 (+8),"GOOD FT by ESSICK,JALEN(fastbreak)",Rhodes 0-8 (+8),,"GOOD FT by ESSICK,JALEN(fastbreak)",1
17:18,,,,,"FOUL  by WALKER,JEFFERSON",,,"FOUL  by WALKER,JEFFERSON",1
17:18,"MISS FT by RUEGG,SCOTT(fastbreak)",,,,,,,"MISS FT by RUEGG,SCOTT(fastbreak)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:18,"SUB OUT by CRAWFORD,TREY",,,,,,,"SUB OUT by CRAWFORD,TREY",1
17:18,"SUB IN by MACFARLANE,RUSSELL",,,,,,,"SUB IN by MACFARLANE,RUSSELL",1
17:18,"GOOD FT by RUEGG,SCOTT(fastbreak)",1,,8 (+7),,CC 1-8 (+7),,"GOOD FT by RUEGG,SCOTT(fastbreak)",1
17:01,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",,,"MISS JUMPER by GEORGETOWN II,ARNESS",1
--,"REBOUND DEF by MACFARLANE,RUSSELL",,,,,,,"REBOUND DEF by MACFARLANE,RUSSELL",1
16:55,"TURNOVER  by MACFARLANE,RUSSELL",,,,,,,"TURNOVER  by MACFARLANE,RUSSELL",1
16:55,,,,,"STEAL  by WILLIAMS,ZAVIEN",,,"STEAL  by WILLIAMS,ZAVIEN",1
16:51,,,,,"MISS LAYUP by ESSICK,JALEN(in the paint)",,,"MISS LAYUP by ESSICK,JALEN(in the paint)",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
16:39,"TURNOVER  by PRICE,ADRIAN",,,,,,,"TURNOVER  by PRICE,ADRIAN",1
16:34,"FOUL  by ROMERO,EDGAR",,,,,,,"FOUL  by ROMERO,EDGAR",1
16:34,,1,,9 (+8),"GOOD FT by WALKER,JEFFERSON(fastbreak)",Rhodes 1-9 (+8),,"GOOD FT by WALKER,JEFFERSON(fastbreak)",1
16:34,"SUB OUT by RUEGG,SCOTT",,,,,,,"SUB OUT by RUEGG,SCOTT",1
16:34,"SUB IN by RUSSO,ALEX",,,,,,,"SUB IN by RUSSO,ALEX",1
16:34,,,,,"MISS FT by WALKER,JEFFERSON(fastbreak)",,,"MISS FT by WALKER,JEFFERSON(fastbreak)",1
--,"REBOUND DEF by RUSSO,ALEX",,,,,,,"REBOUND DEF by RUSSO,ALEX",1
16:09,,,,,"FOUL  by ESSICK,JALEN",,,"FOUL  by ESSICK,JALEN",1
16:09,"GOOD FT by PRICE,ADRIAN",2,,9 (+7),,CC 2-9 (+7),,"GOOD FT by PRICE,ADRIAN",1
16:09,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",1
16:09,,,,,"SUB IN by LAMEY,HAYDEN",,,"SUB IN by LAMEY,HAYDEN",1
16:09,"GOOD FT by PRICE,ADRIAN",3,,9 (+6),,CC 3-9 (+6),,"GOOD FT by PRICE,ADRIAN",1
15:54,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",1
--,"REBOUND DEF by MACFARLANE,RUSSELL",,,,,,,"REBOUND DEF by MACFARLANE,RUSSELL",1
15:45,"TURNOVER  by BOYKIN,DINARI",,,,,,,"TURNOVER  by BOYKIN,DINARI",1
15:45,,,,,"STEAL  by WILLIAMS,ZAVIEN",,,"STEAL  by WILLIAMS,ZAVIEN",1
15:36,,,,,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",,,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",1
15:36,"BLOCK  by MACFARLANE,RUSSELL",,,,,,,"BLOCK  by MACFARLANE,RUSSELL",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
15:33,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:33,"SUB OUT by PRICE,ADRIAN",,,,,,,"SUB OUT by PRICE,ADRIAN",1
15:33,"SUB IN by DITTMAN,KEVIN",,,,,,,"SUB IN by DITTMAN,KEVIN",1
15:24,"MISS 3PTR by ROMERO,EDGAR",,,,,,,"MISS 3PTR by ROMERO,EDGAR",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
15:23,"FOUL  by DITTMAN,KEVIN",,,,,,,"FOUL  by DITTMAN,KEVIN",1
15:14,"FOUL  by MACFARLANE,RUSSELL",,,,,,,"FOUL  by MACFARLANE,RUSSELL",1
15:02,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",,,"MISS 3PTR by WILLIAMS,ZAVIEN",1
--,,,,,"REBOUND OFF by LAMEY,HAYDEN",,,"REBOUND OFF by LAMEY,HAYDEN",1
14:57,,,,,"MISS LAYUP by LAMEY,HAYDEN(in the paint)",,,"MISS LAYUP by LAMEY,HAYDEN(in the paint)",1
--,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",,,"REBOUND OFF by WILLIAMS,ZAVIEN",1
14:50,"FOUL  by RUSSO,ALEX",,,,,,,"FOUL  by RUSSO,ALEX",1
14:50,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
14:50,,,,,"SUB IN by DOTSON,PHIL",,,"SUB IN by DOTSON,PHIL",1
14:32,,,,,"MISS JUMPER by LAMEY,HAYDEN",,,"MISS JUMPER by LAMEY,HAYDEN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
14:23,,3,,11 (+8),"GOOD JUMPER by DOTSON,PHIL",Rhodes 3-11 (+8),,"GOOD JUMPER by DOTSON,PHIL",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
14:16,"TURNOVER  by MACFARLANE,RUSSELL",,,,,,,"TURNOVER  by MACFARLANE,RUSSELL",1
14:16,,,,,"STEAL  by WILLIAMS,ZAVIEN",,,"STEAL  by WILLIAMS,ZAVIEN",1
14:12,,3,,13 (+10),"GOOD JUMPER by WILLIAMS,ZAVIEN(fastbreak)(in the paint)",Rhodes 3-13 (+10),,"GOOD JUMPER by WILLIAMS,ZAVIEN(fastbreak)(in the paint)",1
14:06,"SUB OUT by ROMERO,EDGAR",,,,,,,"SUB OUT by ROMERO,EDGAR",1
14:06,"SUB OUT by MACFARLANE,RUSSELL",,,,,,,"SUB OUT by MACFARLANE,RUSSELL",1
14:06,"SUB IN by RUEGG,SCOTT",,,,,,,"SUB IN by RUEGG,SCOTT",1
14:06,"SUB IN by PRICE,ADRIAN",,,,,,,"SUB IN by PRICE,ADRIAN",1
13:51,,,,,"FOUL  by DOTSON,PHIL",,,"FOUL  by DOTSON,PHIL",1
13:51,"GOOD FT by BOYKIN,DINARI",4,,13 (+9),,CC 4-13 (+9),,"GOOD FT by BOYKIN,DINARI",1
13:51,"GOOD FT by BOYKIN,DINARI",5,,13 (+8),,CC 5-13 (+8),,"GOOD FT by BOYKIN,DINARI",1
13:50,"SUB OUT by DITTMAN,KEVIN",,,,,,,"SUB OUT by DITTMAN,KEVIN",1
13:50,"SUB IN by HARRIS,TAYLOR",,,,,,,"SUB IN by HARRIS,TAYLOR",1
13:27,,,,,"MISS LAYUP by WILLIAMS,ZAVIEN(in the paint)",,,"MISS LAYUP by WILLIAMS,ZAVIEN(in the paint)",1
--,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",,,"REBOUND OFF by WILLIAMS,ZAVIEN",1
13:21,,5,,16 (+11),"GOOD 3PTR by DOTSON,PHIL",Rhodes 5-16 (+11),,"GOOD 3PTR by DOTSON,PHIL",1
--,,,,,"ASSIST  by WILLIAMS,ZAVIEN",,,"ASSIST  by WILLIAMS,ZAVIEN",1
13:09,"MISS JUMPER by RUSSO,ALEX(in the paint)",,,,,,,"MISS JUMPER by RUSSO,ALEX(in the paint)",1
--,,,,,"REBOUND DEF by DOTSON,PHIL",,,"REBOUND DEF by DOTSON,PHIL",1
13:01,,,,,"MISS 3PTR by WALKER,JEFFERSON",,,"MISS 3PTR by WALKER,JEFFERSON",1
--,"REBOUND DEF by HARRIS,TAYLOR",,,,,,,"REBOUND DEF by HARRIS,TAYLOR",1
12:46,"GOOD JUMPER by PRICE,ADRIAN(in the paint)",7,,16 (+9),,CC 7-16 (+9),,"GOOD JUMPER by PRICE,ADRIAN(in the paint)",1
12:19,,7,,18 (+11),"GOOD JUMPER by GEORGETOWN II,ARNESS(in the paint)",Rhodes 7-18 (+11),,"GOOD JUMPER by GEORGETOWN II,ARNESS(in the paint)",1
12:00,"MISS JUMPER by BOYKIN,DINARI(in the paint)",,,,,,,"MISS JUMPER by BOYKIN,DINARI(in the paint)",1
--,,,,,"REBOUND DEF by LAMEY,HAYDEN",,,"REBOUND DEF by LAMEY,HAYDEN",1
11:55,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN(fastbreak)",,,"MISS 3PTR by WILLIAMS,ZAVIEN(fastbreak)",1
--,"REBOUND DEF by HARRIS,TAYLOR",,,,,,,"REBOUND DEF by HARRIS,TAYLOR",1
11:44,"GOOD JUMPER by RUEGG,SCOTT(in the paint)",9,,18 (+9),,CC 9-18 (+9),,"GOOD JUMPER by RUEGG,SCOTT(in the paint)",1
11:11,"FOUL  by PRICE,ADRIAN",,,,,,,"FOUL  by PRICE,ADRIAN",1
11:11,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:11,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",1
11:11,,,,,"SUB IN by RAMBERG,CASS",,,"SUB IN by RAMBERG,CASS",1
11:11,"SUB OUT by BOYKIN,DINARI",,,,,,,"SUB OUT by BOYKIN,DINARI",1
11:11,"SUB OUT by RUSSO,ALEX",,,,,,,"SUB OUT by RUSSO,ALEX",1
11:11,"SUB OUT by PRICE,ADRIAN",,,,,,,"SUB OUT by PRICE,ADRIAN",1
11:11,"SUB IN by NOFZIGER,ASHER",,,,,,,"SUB IN by NOFZIGER,ASHER",1
11:11,"SUB IN by SHIVELY,COREY",,,,,,,"SUB IN by SHIVELY,COREY",1
11:11,"SUB IN by DITTMAN,KEVIN",,,,,,,"SUB IN by DITTMAN,KEVIN",1
11:11,,,,,"MISS FT by LAMEY,HAYDEN",,,"MISS FT by LAMEY,HAYDEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:11,,,,,"MISS FT by LAMEY,HAYDEN",,,"MISS FT by LAMEY,HAYDEN",1
--,"REBOUND DEF by DITTMAN,KEVIN",,,,,,,"REBOUND DEF by DITTMAN,KEVIN",1
10:57,"TURNOVER  by HARRIS,TAYLOR",,,,,,,"TURNOVER  by HARRIS,TAYLOR",1
10:57,,,,,"SUB OUT by LAMEY,HAYDEN",,,"SUB OUT by LAMEY,HAYDEN",1
10:57,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
10:46,,9,,21 (+12),"GOOD 3PTR by WALKER,JEFFERSON",Rhodes 9-21 (+12),,"GOOD 3PTR by WALKER,JEFFERSON",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
10:27,"MISS 3PTR by RUEGG,SCOTT",,,,,,,"MISS 3PTR by RUEGG,SCOTT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:24,"FOUL  by DITTMAN,KEVIN",,,,,,,"FOUL  by DITTMAN,KEVIN",1
10:24,,9,,22 (+13),"GOOD FT by WILEY,KOKI",Rhodes 9-22 (+13),,"GOOD FT by WILEY,KOKI",1
10:24,"SUB OUT by DITTMAN,KEVIN",,,,,,,"SUB OUT by DITTMAN,KEVIN",1
10:24,"SUB IN by CRAWFORD,TREY",,,,,,,"SUB IN by CRAWFORD,TREY",1
10:24,,9,,23 (+14),"GOOD FT by WILEY,KOKI",Rhodes 9-23 (+14),,"GOOD FT by WILEY,KOKI",1
10:11,"TURNOVER  by HARRIS,TAYLOR",,,,,,,"TURNOVER  by HARRIS,TAYLOR",1
10:11,,,,,"STEAL  by WALKER,JEFFERSON",,,"STEAL  by WALKER,JEFFERSON",1
09:57,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:57,"SUB OUT by RUEGG,SCOTT",,,,,,,"SUB OUT by RUEGG,SCOTT",1
09:57,"SUB IN by RUSSO,ALEX",,,,,,,"SUB IN by RUSSO,ALEX",1
09:57,"SUB OUT by HARRIS,TAYLOR",,,,,,,"SUB OUT by HARRIS,TAYLOR",1
09:57,"SUB IN by RUEGG,SCOTT",,,,,,,"SUB IN by RUEGG,SCOTT",1
09:48,"FOUL  by NOFZIGER,ASHER",,,,,,,"FOUL  by NOFZIGER,ASHER",1
09:48,,9,,24 (+15),"GOOD FT by RAMBERG,CASS",Rhodes 9-24 (+15),,"GOOD FT by RAMBERG,CASS",1
09:48,"SUB OUT by NOFZIGER,ASHER",,,,,,,"SUB OUT by NOFZIGER,ASHER",1
09:48,"SUB IN by PRICE,ADRIAN",,,,,,,"SUB IN by PRICE,ADRIAN",1
09:48,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",1
09:48,,,,,"SUB IN by PRANGE,JONATHAN",,,"SUB IN by PRANGE,JONATHAN",1
09:48,,9,,25 (+16),"GOOD FT by RAMBERG,CASS",Rhodes 9-25 (+16),,"GOOD FT by RAMBERG,CASS",1
09:33,"TURNOVER  by PRICE,ADRIAN",,,,,,,"TURNOVER  by PRICE,ADRIAN",1
09:33,,,,,"STEAL  by RAMBERG,CASS",,,"STEAL  by RAMBERG,CASS",1
09:04,,9,,27 (+18),"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",Rhodes 9-27 (+18),,"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",1
08:39,"MISS JUMPER by PRICE,ADRIAN(in the paint)",,,,,,,"MISS JUMPER by PRICE,ADRIAN(in the paint)",1
--,,,,,"REBOUND DEF by RAMBERG,CASS",,,"REBOUND DEF by RAMBERG,CASS",1
08:26,,,,,"MISS JUMPER by DOTSON,PHIL",,,"MISS JUMPER by DOTSON,PHIL",1
--,"REBOUND DEF by PRICE,ADRIAN",,,,,,,"REBOUND DEF by PRICE,ADRIAN",1
08:24,,,,,"FOUL  by PRANGE,JONATHAN",,,"FOUL  by PRANGE,JONATHAN",1
08:24,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:24,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
08:24,"SUB OUT by SHIVELY,COREY",,,,,,,"SUB OUT by SHIVELY,COREY",1
08:24,"SUB IN by DENNIS,DEANTE'",,,,,,,"SUB IN by DENNIS,DEANTE'",1
08:07,"GOOD JUMPER by PRICE,ADRIAN(in the paint)",11,,27 (+16),,CC 11-27 (+16),,"GOOD JUMPER by PRICE,ADRIAN(in the paint)",1
07:52,,11,,29 (+18),"GOOD JUMPER by DOTSON,PHIL(in the paint)",Rhodes 11-29 (+18),,"GOOD JUMPER by DOTSON,PHIL(in the paint)",1
07:12,,,,,"FOUL  by WALKER,JEFFERSON",,,"FOUL  by WALKER,JEFFERSON",1
07:12,"GOOD FT by CRAWFORD,TREY",12,,29 (+17),,CC 12-29 (+17),,"GOOD FT by CRAWFORD,TREY",1
07:12,"SUB OUT by RUSSO,ALEX",,,,,,,"SUB OUT by RUSSO,ALEX",1
07:12,"SUB IN by MACFARLANE,RUSSELL",,,,,,,"SUB IN by MACFARLANE,RUSSELL",1
07:11,"MISS FT by CRAWFORD,TREY",,,,,,,"MISS FT by CRAWFORD,TREY",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
06:58,,,,,"MISS JUMPER by WILEY,KOKI(in the paint)",,,"MISS JUMPER by WILEY,KOKI(in the paint)",1
--,"REBOUND DEF by CRAWFORD,TREY",,,,,,,"REBOUND DEF by CRAWFORD,TREY",1
06:45,"MISS JUMPER by DENNIS,DEANTE'(in the paint)",,,,,,,"MISS JUMPER by DENNIS,DEANTE'(in the paint)",1
06:45,,,,,"BLOCK  by RAMBERG,CASS",,,"BLOCK  by RAMBERG,CASS",1
--,,,,,"REBOUND DEF by RAMBERG,CASS",,,"REBOUND DEF by RAMBERG,CASS",1
06:38,,,,,"MISS JUMPER by PRANGE,JONATHAN(in the paint)",,,"MISS JUMPER by PRANGE,JONATHAN(in the paint)",1
--,,,,,"REBOUND OFF by PRANGE,JONATHAN",,,"REBOUND OFF by PRANGE,JONATHAN",1
06:33,,12,,32 (+20),"GOOD 3PTR by WALKER,JEFFERSON",Rhodes 12-32 (+20),,"GOOD 3PTR by WALKER,JEFFERSON",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
06:15,"GOOD 3PTR by RUEGG,SCOTT",15,,32 (+17),,CC 15-32 (+17),,"GOOD 3PTR by RUEGG,SCOTT",1
--,"ASSIST  by PRICE,ADRIAN",,,,,,,"ASSIST  by PRICE,ADRIAN",1
06:04,,,,,"MISS 3PTR by DOTSON,PHIL",,,"MISS 3PTR by DOTSON,PHIL",1
--,"REBOUND DEF by DENNIS,DEANTE'",,,,,,,"REBOUND DEF by DENNIS,DEANTE'",1
05:55,"GOOD JUMPER by DENNIS,DEANTE'(fastbreak)(in the paint)",17,,32 (+15),,CC 17-32 (+15),,"GOOD JUMPER by DENNIS,DEANTE'(fastbreak)(in the paint)",1
05:37,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
05:37,"STEAL  by CRAWFORD,TREY",,,,,,,"STEAL  by CRAWFORD,TREY",1
05:11,"TURNOVER  by MACFARLANE,RUSSELL",,,,,,,"TURNOVER  by MACFARLANE,RUSSELL",1
05:11,,,,,"STEAL  by RAMBERG,CASS",,,"STEAL  by RAMBERG,CASS",1
04:58,"FOUL  by MACFARLANE,RUSSELL",,,,,,,"FOUL  by MACFARLANE,RUSSELL",1
04:58,,17,,33 (+16),"GOOD FT by DOTSON,PHIL",Rhodes 17-33 (+16),,"GOOD FT by DOTSON,PHIL",1
04:58,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
04:58,,,,,"SUB OUT by RAMBERG,CASS",,,"SUB OUT by RAMBERG,CASS",1
04:58,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",1
04:58,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",1
04:58,"SUB OUT by DENNIS,DEANTE'",,,,,,,"SUB OUT by DENNIS,DEANTE'",1
04:58,"SUB OUT by CRAWFORD,TREY",,,,,,,"SUB OUT by CRAWFORD,TREY",1
04:58,"SUB OUT by MACFARLANE,RUSSELL",,,,,,,"SUB OUT by MACFARLANE,RUSSELL",1
04:58,"SUB IN by BOYKIN,DINARI",,,,,,,"SUB IN by BOYKIN,DINARI",1
04:58,"SUB IN by SHIVELY,COREY",,,,,,,"SUB IN by SHIVELY,COREY",1
04:58,,,,,"MISS FT by DOTSON,PHIL",,,"MISS FT by DOTSON,PHIL",1
04:58,"SUB IN by RUSSO,ALEX",,,,,,,"SUB IN by RUSSO,ALEX",1
--,"REBOUND DEF by RUEGG,SCOTT",,,,,,,"REBOUND DEF by RUEGG,SCOTT",1
04:50,"GOOD JUMPER by RUEGG,SCOTT",19,,33 (+14),,CC 19-33 (+14),,"GOOD JUMPER by RUEGG,SCOTT",1
--,"ASSIST  by RUSSO,ALEX",,,,,,,"ASSIST  by RUSSO,ALEX",1
04:50,,,,,"MISS LAYUP by PRANGE,JONATHAN(in the paint)",,,"MISS LAYUP by PRANGE,JONATHAN(in the paint)",1
--,,,,,"REBOUND OFF by WILEY,KOKI",,,"REBOUND OFF by WILEY,KOKI",1
04:50,,19,,35 (+16),"GOOD LAYUP by WILEY,KOKI(in the paint)",Rhodes 19-35 (+16),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
04:50,"MISS JUMPER by PRICE,ADRIAN",,,,,,,"MISS JUMPER by PRICE,ADRIAN",1
--,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
04:50,,,,,"MISS JUMPER by DOTSON,PHIL",,,"MISS JUMPER by DOTSON,PHIL",1
--,"REBOUND DEF by RUSSO,ALEX",,,,,,,"REBOUND DEF by RUSSO,ALEX",1
04:04,"MISS JUMPER by BOYKIN,DINARI(in the paint)",,,,,,,"MISS JUMPER by BOYKIN,DINARI(in the paint)",1
04:04,,,,,"BLOCK  by WILLIAMS,ZAVIEN",,,"BLOCK  by WILLIAMS,ZAVIEN",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
03:57,,19,,38 (+19),"GOOD 3PTR by DOTSON,PHIL(fastbreak)",Rhodes 19-38 (+19),,"GOOD 3PTR by DOTSON,PHIL(fastbreak)",1
--,,,,,"ASSIST  by PRANGE,JONATHAN",,,"ASSIST  by PRANGE,JONATHAN",1
03:41,"GOOD 3PTR by RUEGG,SCOTT",22,,38 (+16),,CC 22-38 (+16),,"GOOD 3PTR by RUEGG,SCOTT",1
--,"ASSIST  by RUSSO,ALEX",,,,,,,"ASSIST  by RUSSO,ALEX",1
03:21,,,,,"MISS LAYUP by WILLIAMS,ZAVIEN(in the paint)",,,"MISS LAYUP by WILLIAMS,ZAVIEN(in the paint)",1
--,"REBOUND DEF by BOYKIN,DINARI",,,,,,,"REBOUND DEF by BOYKIN,DINARI",1
03:15,"MISS LAYUP by BOYKIN,DINARI(in the paint)",,,,,,,"MISS LAYUP by BOYKIN,DINARI(in the paint)",1
03:15,,,,,"BLOCK  by WILEY,KOKI",,,"BLOCK  by WILEY,KOKI",1
--,"REBOUND OFF by BOYKIN,DINARI",,,,,,,"REBOUND OFF by BOYKIN,DINARI",1
03:04,,,,,"FOUL  by WILLIAMS,ZAVIEN",,,"FOUL  by WILLIAMS,ZAVIEN",1
03:04,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
02:57,,,,,"SUB OUT by DOTSON,PHIL",,,"SUB OUT by DOTSON,PHIL",1
02:57,,,,,"SUB OUT by PRANGE,JONATHAN",,,"SUB OUT by PRANGE,JONATHAN",1
02:57,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
02:57,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",1
02:57,"SUB OUT by RUEGG,SCOTT",,,,,,,"SUB OUT by RUEGG,SCOTT",1
02:57,"SUB IN by ROMERO,EDGAR",,,,,,,"SUB IN by ROMERO,EDGAR",1
02:57,"GOOD FT by PRICE,ADRIAN",23,,38 (+15),,CC 23-38 (+15),,"GOOD FT by PRICE,ADRIAN",1
02:56,"MISS FT by PRICE,ADRIAN",,,,,,,"MISS FT by PRICE,ADRIAN",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
02:56,"FOUL  by BOYKIN,DINARI",,,,,,,"FOUL  by BOYKIN,DINARI",1
02:56,,23,,39 (+16),"GOOD FT by ESSICK,JALEN",Rhodes 23-39 (+16),,"GOOD FT by ESSICK,JALEN",1
02:56,,23,,40 (+17),"GOOD FT by ESSICK,JALEN",Rhodes 23-40 (+17),,"GOOD FT by ESSICK,JALEN",1
02:56,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",1
02:56,,,,,"SUB IN by WAGNER,MIKE",,,"SUB IN by WAGNER,MIKE",1
02:56,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
02:56,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",1
02:55,"TURNOVER  by PRICE,ADRIAN",,,,,,,"TURNOVER  by PRICE,ADRIAN",1
02:55,,,,,"STEAL  by WAGNER,MIKE",,,"STEAL  by WAGNER,MIKE",1
02:50,,,,,"MISS LAYUP by ESSICK,JALEN(in the paint)",,,"MISS LAYUP by ESSICK,JALEN(in the paint)",1
