Time Remaining,Hunt,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:12,,2,,5 (+3),"GOOD FT by GEORGETOWN II,ARNESS",Rhodes 2-5 (+3),,"GOOD FT by GEORGETOWN II,ARNESS",1
17:08,"TURNOVER  by HAWKINS,DAQUAN",,,,,,,"TURNOVER  by HAWKINS,DAQUAN",1
17:08,,,,,"STEAL  by WILLIAMS,ZAVIEN",,,"STEAL  by WILLIAMS,ZAVIEN",1
16:56,,,,,"MISS 3PTR by WALKER,JEFFERSON",,,"MISS 3PTR by WALKER,JEFFERSON",1
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
16:55,"FOUL  by GOOLESBY,TATE",,,,,,,"FOUL  by GOOLESBY,TATE",1
16:55,"SUB OUT by GOOLESBY,TATE",,,,,,,"SUB OUT by GOOLESBY,TATE",1
16:55,"SUB IN by DUMAS,CHASE",,,,,,,"SUB IN by DUMAS,CHASE",1
16:44,,,,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
--,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",,,"REBOUND OFF by WILLIAMS,ZAVIEN",1
16:42,,,,,"TURNOVER  by WILLIAMS,ZAVIEN",,,"TURNOVER  by WILLIAMS,ZAVIEN",1
16:25,"MISS 3PTR by PAGE,SAM",,,,,,,"MISS 3PTR by PAGE,SAM",1
--,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
16:19,,2,,7 (+5),"GOOD LAYUP by WILEY,KOKI(fastbreak)(in the paint)",Rhodes 2-7 (+5),,"GOOD LAYUP by WILEY,KOKI(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,ZAVIEN",,,"ASSIST  by WILLIAMS,ZAVIEN",1
16:19,"FOUL  by PAGE,SAM",,,,,,,"FOUL  by PAGE,SAM",1
16:19,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
16:19,,,,,"SUB IN by LAMEY,HAYDEN",,,"SUB IN by LAMEY,HAYDEN",1
16:19,,2,,8 (+6),"GOOD FT by WILEY,KOKI(fastbreak)",Rhodes 2-8 (+6),,"GOOD FT by WILEY,KOKI(fastbreak)",1
16:12,"MISS JUMPER by GARDNER,MAX",,,,,,,"MISS JUMPER by GARDNER,MAX",1
--,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
15:56,,2,,10 (+8),"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",Rhodes 2-10 (+8),,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
15:29,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:29,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
15:29,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
15:29,"SUB OUT by HAWKINS,DAQUAN",,,,,,,"SUB OUT by HAWKINS,DAQUAN",1
15:29,"SUB OUT by PAGE,SAM",,,,,,,"SUB OUT by PAGE,SAM",1
15:29,"SUB IN by MURPHY,MYLES",,,,,,,"SUB IN by MURPHY,MYLES",1
15:29,"SUB IN by KNOX,RASHAWN",,,,,,,"SUB IN by KNOX,RASHAWN",1
15:26,"MISS 3PTR by GARDNER,MAX",,,,,,,"MISS 3PTR by GARDNER,MAX",1
--,"REBOUND OFF by JOHNS,NATE",,,,,,,"REBOUND OFF by JOHNS,NATE",1
15:22,"MISS LAYUP by JOHNS,NATE(in the paint)",,,,,,,"MISS LAYUP by JOHNS,NATE(in the paint)",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
15:13,,2,,12 (+10),"GOOD LAYUP by ESSICK,JALEN(in the paint)",Rhodes 2-12 (+10),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
14:52,"TURNOVER  by GARDNER,MAX",,,,,,,"TURNOVER  by GARDNER,MAX",1
14:52,"SUB OUT by JOHNS,NATE",,,,,,,"SUB OUT by JOHNS,NATE",1
14:52,"SUB IN by AUTIN,JEREMY",,,,,,,"SUB IN by AUTIN,JEREMY",1
14:36,,,,,"TURNOVER  by WALKER,JEFFERSON",,,"TURNOVER  by WALKER,JEFFERSON",1
14:36,"STEAL  by DUMAS,CHASE",,,,,,,"STEAL  by DUMAS,CHASE",1
14:31,"MISS LAYUP by GARDNER,MAX(in the paint)",,,,,,,"MISS LAYUP by GARDNER,MAX(in the paint)",1
14:28,,,,,"FOUL  by LAMEY,HAYDEN",,,"FOUL  by LAMEY,HAYDEN",1
14:28,"GOOD FT by AUTIN,JEREMY",3,,12 (+9),,Hunt 3-12 (+9),,"GOOD FT by AUTIN,JEREMY",1
14:28,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",1
14:28,,,,,"SUB IN by WHITE,ELIJAH",,,"SUB IN by WHITE,ELIJAH",1
14:28,"GOOD FT by AUTIN,JEREMY",4,,12 (+8),,Hunt 4-12 (+8),,"GOOD FT by AUTIN,JEREMY",1
--,"REBOUND OFF by AUTIN,JEREMY",,,,,,,"REBOUND OFF by AUTIN,JEREMY",1
14:11,,4,,14 (+10),"GOOD LAYUP by ESSICK,JALEN(in the paint)",Rhodes 4-14 (+10),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
14:11,"FOUL  by MURPHY,MYLES",,,,,,,"FOUL  by MURPHY,MYLES",1
14:11,"SUB OUT by GARDNER,MAX",,,,,,,"SUB OUT by GARDNER,MAX",1
14:11,"SUB IN by HAWKINS,DAQUAN",,,,,,,"SUB IN by HAWKINS,DAQUAN",1
14:11,,4,,15 (+11),"GOOD FT by ESSICK,JALEN",Rhodes 4-15 (+11),,"GOOD FT by ESSICK,JALEN",1
13:59,"TURNOVER  by MURPHY,MYLES",,,,,,,"TURNOVER  by MURPHY,MYLES",1
13:45,,4,,17 (+13),"GOOD JUMPER by ESSICK,JALEN(in the paint)",Rhodes 4-17 (+13),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
13:17,"GOOD JUMPER by MURPHY,MYLES(in the paint)",6,,17 (+11),,Hunt 6-17 (+11),,"GOOD JUMPER by MURPHY,MYLES(in the paint)",1
13:01,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",1
--,"REBOUND DEF by MURPHY,MYLES",,,,,,,"REBOUND DEF by MURPHY,MYLES",1
12:35,"MISS 3PTR by HAWKINS,DAQUAN",,,,,,,"MISS 3PTR by HAWKINS,DAQUAN",1
--,"REBOUND OFF by KNOX,RASHAWN",,,,,,,"REBOUND OFF by KNOX,RASHAWN",1
12:32,,,,,"FOUL  by LAMEY,HAYDEN",,,"FOUL  by LAMEY,HAYDEN",1
12:32,,,,,"SUB OUT by LAMEY,HAYDEN",,,"SUB OUT by LAMEY,HAYDEN",1
12:32,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",1
12:32,,,,,"SUB IN by RAMBERG,CASS",,,"SUB IN by RAMBERG,CASS",1
12:32,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
12:32,"SUB OUT by DUMAS,CHASE",,,,,,,"SUB OUT by DUMAS,CHASE",1
12:32,"SUB IN by HARDEN,REESE",,,,,,,"SUB IN by HARDEN,REESE",1
12:19,"MISS JUMPER by KNOX,RASHAWN",,,,,,,"MISS JUMPER by KNOX,RASHAWN",1
--,,,,,"REBOUND DEF by WALKER,JEFFERSON",,,"REBOUND DEF by WALKER,JEFFERSON",1
12:10,,,,,"TURNOVER  by ESSICK,JALEN",,,"TURNOVER  by ESSICK,JALEN",1
11:49,"GOOD LAYUP by KNOX,RASHAWN(in the paint)",8,,17 (+9),,Hunt 8-17 (+9),,"GOOD LAYUP by KNOX,RASHAWN(in the paint)",1
11:30,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
11:30,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:30,"SUB OUT by HAWKINS,DAQUAN",,,,,,,"SUB OUT by HAWKINS,DAQUAN",1
11:30,"SUB OUT by AUTIN,JEREMY",,,,,,,"SUB OUT by AUTIN,JEREMY",1
11:30,"SUB IN by GARDNER,MAX",,,,,,,"SUB IN by GARDNER,MAX",1
11:30,"SUB IN by JOHNS,NATE",,,,,,,"SUB IN by JOHNS,NATE",1
11:25,,8,,19 (+11),"GOOD LAYUP by ESSICK,JALEN(in the paint)",Rhodes 8-19 (+11),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
11:11,"MISS 3PTR by GARDNER,MAX",,,,,,,"MISS 3PTR by GARDNER,MAX",1
--,"REBOUND OFF by KNOX,RASHAWN",,,,,,,"REBOUND OFF by KNOX,RASHAWN",1
10:49,"GOOD LAYUP by GARDNER,MAX(in the paint)",10,,19 (+9),,Hunt 10-19 (+9),,"GOOD LAYUP by GARDNER,MAX(in the paint)",1
--,"ASSIST  by MURPHY,MYLES",,,,,,,"ASSIST  by MURPHY,MYLES",1
10:28,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
10:28,,,,,"SUB OUT by WHITE,ELIJAH",,,"SUB OUT by WHITE,ELIJAH",1
10:28,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",1
10:02,"MISS 3PTR by KNOX,RASHAWN",,,,,,,"MISS 3PTR by KNOX,RASHAWN",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
09:51,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,"REBOUND DEF by KNOX,RASHAWN",,,,,,,"REBOUND DEF by KNOX,RASHAWN",1
09:30,"MISS JUMPER by MURPHY,MYLES(in the paint)",,,,,,,"MISS JUMPER by MURPHY,MYLES(in the paint)",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
09:22,,,,,"MISS 3PTR by ESSICK,JALEN",,,"MISS 3PTR by ESSICK,JALEN",1
--,"REBOUND DEF by GARDNER,MAX",,,,,,,"REBOUND DEF by GARDNER,MAX",1
09:10,"MISS LAYUP by KNOX,RASHAWN(in the paint)",,,,,,,"MISS LAYUP by KNOX,RASHAWN(in the paint)",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
09:04,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",,,"MISS 3PTR by WILLIAMS,ZAVIEN",1
--,"REBOUND DEF by JOHNS,NATE",,,,,,,"REBOUND DEF by JOHNS,NATE",1
09:02,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
09:02,,,,,"SUB OUT by RAMBERG,CASS",,,"SUB OUT by RAMBERG,CASS",1
09:02,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",1
09:02,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",1
09:02,,,,,"SUB IN by PRANGE,JONATHAN",,,"SUB IN by PRANGE,JONATHAN",1
09:02,,,,,"SUB IN by WAGNER,MIKE",,,"SUB IN by WAGNER,MIKE",1
09:02,"SUB OUT by MURPHY,MYLES",,,,,,,"SUB OUT by MURPHY,MYLES",1
09:02,"SUB OUT by HARDEN,REESE",,,,,,,"SUB OUT by HARDEN,REESE",1
09:02,"SUB OUT by KNOX,RASHAWN",,,,,,,"SUB OUT by KNOX,RASHAWN",1
09:02,"SUB IN by HAWKINS,DAQUAN",,,,,,,"SUB IN by HAWKINS,DAQUAN",1
09:02,"SUB IN by PAGE,SAM",,,,,,,"SUB IN by PAGE,SAM",1
09:02,"SUB IN by DUMAS,CHASE",,,,,,,"SUB IN by DUMAS,CHASE",1
08:47,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",1
08:47,,,,,"SUB IN by DEMPSEY,JACK",,,"SUB IN by DEMPSEY,JACK",1
08:47,"SUB OUT by DUMAS,CHASE",,,,,,,"SUB OUT by DUMAS,CHASE",1
08:47,"SUB IN by LINVILLE,AUSTIN",,,,,,,"SUB IN by LINVILLE,AUSTIN",1
08:30,"MISS JUMPER by PAGE,SAM",,,,,,,"MISS JUMPER by PAGE,SAM",1
--,,,,,"REBOUND DEF by PRANGE,JONATHAN",,,"REBOUND DEF by PRANGE,JONATHAN",1
08:20,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",,,"MISS LAYUP by WILEY,KOKI(in the paint)",1
--,"REBOUND DEF by JOHNS,NATE",,,,,,,"REBOUND DEF by JOHNS,NATE",1
07:55,"MISS JUMPER by JOHNS,NATE",,,,,,,"MISS JUMPER by JOHNS,NATE",1
--,"REBOUND OFF by LINVILLE,AUSTIN",,,,,,,"REBOUND OFF by LINVILLE,AUSTIN",1
07:48,,,,,"FOUL  by DEMPSEY,JACK",,,"FOUL  by DEMPSEY,JACK",1
07:48,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:48,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
07:48,,,,,"SUB IN by LAMEY,HAYDEN",,,"SUB IN by LAMEY,HAYDEN",1
07:48,"GOOD FT by HAWKINS,DAQUAN",11,,19 (+8),,Hunt 11-19 (+8),,"GOOD FT by HAWKINS,DAQUAN",1
07:48,"GOOD FT by HAWKINS,DAQUAN",12,,19 (+7),,Hunt 12-19 (+7),,"GOOD FT by HAWKINS,DAQUAN",1
07:31,,,,,"MISS 3PTR by PRANGE,JONATHAN",,,"MISS 3PTR by PRANGE,JONATHAN",1
--,"REBOUND DEF by GARDNER,MAX",,,,,,,"REBOUND DEF by GARDNER,MAX",1
07:19,"GOOD 3PTR by HAWKINS,DAQUAN",15,,19 (+4),,Hunt 15-19 (+4),,"GOOD 3PTR by HAWKINS,DAQUAN",1
--,"ASSIST  by GARDNER,MAX",,,,,,,"ASSIST  by GARDNER,MAX",1
07:01,,15,,21 (+6),"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",Rhodes 15-21 (+6),,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
06:51,"GOOD 3PTR by HAWKINS,DAQUAN",18,,21 (+3),,Hunt 18-21 (+3),,"GOOD 3PTR by HAWKINS,DAQUAN",1
--,"ASSIST  by GARDNER,MAX",,,,,,,"ASSIST  by GARDNER,MAX",1
06:38,,,,,"TURNOVER  by WAGNER,MIKE",,,"TURNOVER  by WAGNER,MIKE",1
06:38,,,,,"SUB OUT by DEMPSEY,JACK",,,"SUB OUT by DEMPSEY,JACK",1
06:38,,,,,"SUB OUT by PRANGE,JONATHAN",,,"SUB OUT by PRANGE,JONATHAN",1
06:38,,,,,"SUB OUT by WAGNER,MIKE",,,"SUB OUT by WAGNER,MIKE",1
06:38,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
06:38,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",1
06:38,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",1
06:18,"MISS JUMPER by JOHNS,NATE(in the paint)",,,,,,,"MISS JUMPER by JOHNS,NATE(in the paint)",1
--,"REBOUND OFF by HAWKINS,DAQUAN",,,,,,,"REBOUND OFF by HAWKINS,DAQUAN",1
06:11,"GOOD LAYUP by GARDNER,MAX(in the paint)",20,,21 (+1),,Hunt 20-21 (+1),,"GOOD LAYUP by GARDNER,MAX(in the paint)",1
--,"ASSIST  by PAGE,SAM",,,,,,,"ASSIST  by PAGE,SAM",1
06:02,,20,,23 (+3),"GOOD LAYUP by ESSICK,JALEN(in the paint)",Rhodes 20-23 (+3),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
05:46,"MISS LAYUP by GARDNER,MAX(in the paint)",,,,,,,"MISS LAYUP by GARDNER,MAX(in the paint)",1
--,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
05:22,,20,,25 (+5),"GOOD JUMPER by WALKER,JEFFERSON",Rhodes 20-25 (+5),,"GOOD JUMPER by WALKER,JEFFERSON",1
05:17,"TURNOVER  by HAWKINS,DAQUAN",,,,,,,"TURNOVER  by HAWKINS,DAQUAN",1
05:17,"SUB OUT by LINVILLE,AUSTIN",,,,,,,"SUB OUT by LINVILLE,AUSTIN",1
05:17,"SUB IN by MURPHY,MYLES",,,,,,,"SUB IN by MURPHY,MYLES",1
05:04,,20,,27 (+7),"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",Rhodes 20-27 (+7),,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
04:56,"GOOD LAYUP by PAGE,SAM(fastbreak)(in the paint)",22,,27 (+5),,Hunt 22-27 (+5),,"GOOD LAYUP by PAGE,SAM(fastbreak)(in the paint)",1
04:39,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",1
--,"REBOUND DEF by PAGE,SAM",,,,,,,"REBOUND DEF by PAGE,SAM",1
04:29,,,,,"FOUL  by LAMEY,HAYDEN",,,"FOUL  by LAMEY,HAYDEN",1
04:29,"MISS FT by MURPHY,MYLES",,,,,,,"MISS FT by MURPHY,MYLES",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:29,,,,,"SUB OUT by LAMEY,HAYDEN",,,"SUB OUT by LAMEY,HAYDEN",1
04:29,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",1
04:29,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
04:29,,,,,"SUB IN by PRANGE,JONATHAN",,,"SUB IN by PRANGE,JONATHAN",1
04:29,"SUB OUT by GARDNER,MAX",,,,,,,"SUB OUT by GARDNER,MAX",1
04:29,"SUB OUT by JOHNS,NATE",,,,,,,"SUB OUT by JOHNS,NATE",1
04:29,"SUB IN by HARDEN,REESE",,,,,,,"SUB IN by HARDEN,REESE",1
04:29,"SUB IN by AUTIN,JEREMY",,,,,,,"SUB IN by AUTIN,JEREMY",1
04:28,"MISS FT by MURPHY,MYLES",,,,,,,"MISS FT by MURPHY,MYLES",1
--,,,,,"REBOUND DEF by PRANGE,JONATHAN",,,"REBOUND DEF by PRANGE,JONATHAN",1
04:08,,,,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
04:08,"BLOCK  by HARDEN,REESE",,,,,,,"BLOCK  by HARDEN,REESE",1
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
03:59,"FOUL  by AUTIN,JEREMY",,,,,,,"FOUL  by AUTIN,JEREMY",1
03:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:59,,22,,28 (+6),"GOOD FT by WILEY,KOKI",Rhodes 22-28 (+6),,"GOOD FT by WILEY,KOKI",1
03:59,,22,,29 (+7),"GOOD FT by WILEY,KOKI",Rhodes 22-29 (+7),,"GOOD FT by WILEY,KOKI",1
03:29,"MISS 3PTR by PAGE,SAM",,,,,,,"MISS 3PTR by PAGE,SAM",1
--,,,,,"REBOUND DEF by PRANGE,JONATHAN",,,"REBOUND DEF by PRANGE,JONATHAN",1
03:01,,22,,31 (+9),"GOOD LAYUP by ESSICK,JALEN(in the paint)",Rhodes 22-31 (+9),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
02:56,"SUB OUT by HAWKINS,DAQUAN",,,,,,,"SUB OUT by HAWKINS,DAQUAN",1
02:56,"SUB IN by GARDNER,MAX",,,,,,,"SUB IN by GARDNER,MAX",1
02:36,,,,,"FOUL  by WALKER,JEFFERSON",,,"FOUL  by WALKER,JEFFERSON",1
02:36,"MISS FT by GARDNER,MAX",,,,,,,"MISS FT by GARDNER,MAX",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
02:22,,,,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
02:20,"FOUL  by HARDEN,REESE",,,,,,,"FOUL  by HARDEN,REESE",1
02:20,,22,,32 (+10),"GOOD FT by GEORGETOWN II,ARNESS",Rhodes 22-32 (+10),,"GOOD FT by GEORGETOWN II,ARNESS",1
02:20,,22,,33 (+11),"GOOD FT by GEORGETOWN II,ARNESS",Rhodes 22-33 (+11),,"GOOD FT by GEORGETOWN II,ARNESS",1
01:52,"MISS LAYUP by MURPHY,MYLES(in the paint)",,,,,,,"MISS LAYUP by MURPHY,MYLES(in the paint)",1
01:52,,,,,"BLOCK  by WILEY,KOKI",,,"BLOCK  by WILEY,KOKI",1
--,,,,,"REBOUND DEF by PRANGE,JONATHAN",,,"REBOUND DEF by PRANGE,JONATHAN",1
01:46,,22,,35 (+13),"GOOD JUMPER by ESSICK,JALEN(fastbreak)(in the paint)",Rhodes 22-35 (+13),,"GOOD JUMPER by ESSICK,JALEN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
01:46,"FOUL  by GARDNER,MAX",,,,,,,"FOUL  by GARDNER,MAX",1
01:45,"SUB OUT by MURPHY,MYLES",,,,,,,"SUB OUT by MURPHY,MYLES",1
01:45,"SUB OUT by AUTIN,JEREMY",,,,,,,"SUB OUT by AUTIN,JEREMY",1
01:45,"SUB IN by HAWKINS,DAQUAN",,,,,,,"SUB IN by HAWKINS,DAQUAN",1
01:45,"SUB IN by JOHNS,NATE",,,,,,,"SUB IN by JOHNS,NATE",1
01:45,,,,,"MISS FT by ESSICK,JALEN(fastbreak)",,,"MISS FT by ESSICK,JALEN(fastbreak)",1
--,"REBOUND DEF by JOHNS,NATE",,,,,,,"REBOUND DEF by JOHNS,NATE",1
01:27,"MISS LAYUP by GARDNER,MAX(in the paint)",,,,,,,"MISS LAYUP by GARDNER,MAX(in the paint)",1
--,"REBOUND OFF by GARDNER,MAX",,,,,,,"REBOUND OFF by GARDNER,MAX",1
01:24,"GOOD LAYUP by GARDNER,MAX(in the paint)",24,,35 (+11),,Hunt 24-35 (+11),,"GOOD LAYUP by GARDNER,MAX(in the paint)",1
01:07,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",,,"MISS JUMPER by GEORGETOWN II,ARNESS",1
--,,,,,"REBOUND OFF by ESSICK,JALEN",,,"REBOUND OFF by ESSICK,JALEN",1
01:04,"FOUL  by GARDNER,MAX",,,,,,,"FOUL  by GARDNER,MAX",1
01:04,,24,,36 (+12),"GOOD FT by ESSICK,JALEN",Rhodes 24-36 (+12),,"GOOD FT by ESSICK,JALEN",1
01:04,"SUB OUT by GARDNER,MAX",,,,,,,"SUB OUT by GARDNER,MAX",1
01:04,"SUB IN by MURPHY,MYLES",,,,,,,"SUB IN by MURPHY,MYLES",1
01:04,,24,,37 (+13),"GOOD FT by ESSICK,JALEN",Rhodes 24-37 (+13),,"GOOD FT by ESSICK,JALEN",1
