Time Remaining,COV,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
12:04,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,,,,,"REBOUND OFF by WILEY,KOKI",,,"REBOUND OFF by WILEY,KOKI",1
11:57,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",,,"MISS LAYUP by WILEY,KOKI(in the paint)",1
--,"REBOUND DEF by IGBANU,PROMISE",,,,,,,"REBOUND DEF by IGBANU,PROMISE",1
11:37,"MISS JUMPER by HESTER,CHARLIE(in the paint)",,,,,,,"MISS JUMPER by HESTER,CHARLIE(in the paint)",1
11:37,,,,,"BLOCK  by WALKER,JEFFERSON",,,"BLOCK  by WALKER,JEFFERSON",1
--,"REBOUND OFF by ST. GERMAIN,MICHAEL",,,,,,,"REBOUND OFF by ST. GERMAIN,MICHAEL",1
11:25,"GOOD LAYUP by CROWDEN,LUKE(in the paint)",11,,16 (+5),,COV 11-16 (+5),,"GOOD LAYUP by CROWDEN,LUKE(in the paint)",1
--,"ASSIST  by ST. GERMAIN,MICHAEL",,,,,,,"ASSIST  by ST. GERMAIN,MICHAEL",1
11:16,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
11:16,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:09,,,,,"SUB OUT by DOTSON,PHIL",,,"SUB OUT by DOTSON,PHIL",1
11:09,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",1
11:09,,,,,"SUB IN by RAMBERG,CASS",,,"SUB IN by RAMBERG,CASS",1
11:09,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",1
10:55,"GOOD LAYUP by HESTER,CHARLIE(in the paint)",13,,16 (+3),,COV 13-16 (+3),,"GOOD LAYUP by HESTER,CHARLIE(in the paint)",1
10:43,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",1
--,"REBOUND DEF by IGBANU,PROMISE",,,,,,,"REBOUND DEF by IGBANU,PROMISE",1
10:31,"MISS LAYUP by IGBANU,PROMISE(in the paint)",,,,,,,"MISS LAYUP by IGBANU,PROMISE(in the paint)",1
10:31,,,,,"BLOCK  by GEORGETOWN II,ARNESS",,,"BLOCK  by GEORGETOWN II,ARNESS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
10:25,"GOOD 3PTR by PEARLMAN,LOGAN",16,,16,,COV 16-16 (0),,"GOOD 3PTR by PEARLMAN,LOGAN",1
--,"ASSIST  by IGBANU,PROMISE",,,,,,,"ASSIST  by IGBANU,PROMISE",1
10:09,,16,,18 (+2),"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",Rhodes 16-18 (+2),,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",1
--,,,,,"ASSIST  by GEORGETOWN II,ARNESS",,,"ASSIST  by GEORGETOWN II,ARNESS",1
09:52,"GOOD 3PTR by HESTER,CHARLIE",19 (+1),,18,,COV 19-18 (-1),,"GOOD 3PTR by HESTER,CHARLIE",1
--,"ASSIST  by PEARLMAN,LOGAN",,,,,,,"ASSIST  by PEARLMAN,LOGAN",1
09:35,,19,,21 (+2),"GOOD 3PTR by WILEY,KOKI",Rhodes 19-21 (+2),,"GOOD 3PTR by WILEY,KOKI",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
09:25,,,,,"FOUL  by WALKER,JEFFERSON",,,"FOUL  by WALKER,JEFFERSON",1
09:05,"MISS 3PTR by HESTER,CHARLIE",,,,,,,"MISS 3PTR by HESTER,CHARLIE",1
--,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
08:56,,,,,"TURNOVER  by WILLIAMS,ZAVIEN",,,"TURNOVER  by WILLIAMS,ZAVIEN",1
08:56,"STEAL  by PEARLMAN,LOGAN",,,,,,,"STEAL  by PEARLMAN,LOGAN",1
08:52,,,,,"FOUL  by GEORGETOWN II,ARNESS",,,"FOUL  by GEORGETOWN II,ARNESS",1
08:52,"MISS FT by PEARLMAN,LOGAN(fastbreak)",,,,,,,"MISS FT by PEARLMAN,LOGAN(fastbreak)",1
