Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,UD,Game Score,Team Indicator,Play,Period
18:00,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",1
18:00,"SUB IN by LAMEY,HAYDEN",,,,,,,"SUB IN by LAMEY,HAYDEN",1
18:00,,1,,1,"GOOD FT by TOUSSAINT,LETRELL",UD 1-1 (0),,"GOOD FT by TOUSSAINT,LETRELL",1
18:00,,1,,2 (+1),"GOOD FT by TOUSSAINT,LETRELL",UD 1-2 (-1),,"GOOD FT by TOUSSAINT,LETRELL",1
17:34,"TURNOVER  by ESSICK,JALEN",,,,,,,"TURNOVER  by ESSICK,JALEN",1
17:34,,,,,"STEAL  by TOUSSAINT,LETRELL",,,"STEAL  by TOUSSAINT,LETRELL",1
17:27,,,,,"TURNOVER  by CHRISTIFANO JR.,LOUI",,,"TURNOVER  by CHRISTIFANO JR.,LOUI",1
17:19,"TURNOVER  by WALKER,JEFFERSON",,,,,,,"TURNOVER  by WALKER,JEFFERSON",1
17:09,,,,,"MISS LAYUP by CHRISTIFANO JR.,LOUI(in the paint)",,,"MISS LAYUP by CHRISTIFANO JR.,LOUI(in the paint)",1
--,,,,,"REBOUND OFF by TOUSSAINT,LETRELL",,,"REBOUND OFF by TOUSSAINT,LETRELL",1
17:06,"FOUL  by LAMEY,HAYDEN",,,,,,,"FOUL  by LAMEY,HAYDEN",1
17:06,,1,,3 (+2),"GOOD FT by TOUSSAINT,LETRELL",UD 1-3 (-2),,"GOOD FT by TOUSSAINT,LETRELL",1
17:06,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",1
17:06,"SUB IN by COOPER,LUKE",,,,,,,"SUB IN by COOPER,LUKE",1
17:06,,,,,"MISS FT by TOUSSAINT,LETRELL",,,"MISS FT by TOUSSAINT,LETRELL",1
--,,,,,"REBOUND OFF by BOYLE,JACK",,,"REBOUND OFF by BOYLE,JACK",1
17:04,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",1
17:04,,,,,"MISS FT by BOYLE,JACK",,,"MISS FT by BOYLE,JACK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:04,,1,,4 (+3),"GOOD FT by BOYLE,JACK",UD 1-4 (-3),,"GOOD FT by BOYLE,JACK",1
16:55,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
16:55,,,,,"STEAL  by BOYLE,JACK",,,"STEAL  by BOYLE,JACK",1
16:50,,,,,"MISS LAYUP by BOYLE,JACK(in the paint)",,,"MISS LAYUP by BOYLE,JACK(in the paint)",1
--,,,,,"REBOUND OFF by TOUSSAINT,LETRELL",,,"REBOUND OFF by TOUSSAINT,LETRELL",1
16:47,,,,,"MISS LAYUP by TOUSSAINT,LETRELL(in the paint)",,,"MISS LAYUP by TOUSSAINT,LETRELL(in the paint)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:31,"TURNOVER  by WALKER,JEFFERSON",,,,,,,"TURNOVER  by WALKER,JEFFERSON",1
16:31,,,,,"STEAL  by TOUSSAINT,LETRELL",,,"STEAL  by TOUSSAINT,LETRELL",1
16:21,,1,,7 (+6),"GOOD 3PTR by CHRISTIFANO JR.,LOUI",UD 1-7 (-6),,"GOOD 3PTR by CHRISTIFANO JR.,LOUI",1
--,,,,,"ASSIST  by OLMSTED,ZAC",,,"ASSIST  by OLMSTED,ZAC",1
15:58,"MISS 3PTR by ESSICK,JALEN",,,,,,,"MISS 3PTR by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by GIUNTA,JACOB",,,"REBOUND DEF by GIUNTA,JACOB",1
15:49,,,,,"FOUL  by TOUSSAINT,LETRELL",,,"FOUL  by TOUSSAINT,LETRELL",1
15:49,,,,,"TURNOVER  by TOUSSAINT,LETRELL",,,"TURNOVER  by TOUSSAINT,LETRELL",1
15:49,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:49,,,,,"SUB OUT by GIUNTA,JACOB",,,"SUB OUT by GIUNTA,JACOB",1
15:49,,,,,"SUB IN by OLMSTED,JOHNNY",,,"SUB IN by OLMSTED,JOHNNY",1
15:49,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",1
15:49,"SUB OUT by COOPER,LUKE",,,,,,,"SUB OUT by COOPER,LUKE",1
15:49,"SUB IN by DOTSON,PHIL",,,,,,,"SUB IN by DOTSON,PHIL",1
15:49,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",1
15:38,"TURNOVER  by DOTSON,PHIL",,,,,,,"TURNOVER  by DOTSON,PHIL",1
15:38,,,,,"STEAL  by BOYLE,JACK",,,"STEAL  by BOYLE,JACK",1
15:29,,1,,9 (+8),"GOOD DUNK by TOUSSAINT,LETRELL(in the paint)",UD 1-9 (-8),,"GOOD DUNK by TOUSSAINT,LETRELL(in the paint)",1
--,,,,,"ASSIST  by BOYLE,JACK",,,"ASSIST  by BOYLE,JACK",1
15:14,,,,,"FOUL  by BOYLE,JACK",,,"FOUL  by BOYLE,JACK",1
14:59,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
14:44,,,,,"TURNOVER  by BOYLE,JACK",,,"TURNOVER  by BOYLE,JACK",1
14:44,"STEAL  by DOTSON,PHIL",,,,,,,"STEAL  by DOTSON,PHIL",1
14:38,"MISS LAYUP by DOTSON,PHIL(in the paint)",,,,,,,"MISS LAYUP by DOTSON,PHIL(in the paint)",1
--,,,,,"REBOUND DEF by TOUSSAINT,LETRELL",,,"REBOUND DEF by TOUSSAINT,LETRELL",1
14:30,,,,,"MISS 3PTR by CHRISTIFANO JR.,LOUI",,,"MISS 3PTR by CHRISTIFANO JR.,LOUI",1
--,,,,,"REBOUND OFF by BOYLE,JACK",,,"REBOUND OFF by BOYLE,JACK",1
14:24,,1,,12 (+11),"GOOD 3PTR by OLMSTED,JOHNNY",UD 1-12 (-11),,"GOOD 3PTR by OLMSTED,JOHNNY",1
--,,,,,"ASSIST  by BOYLE,JACK",,,"ASSIST  by BOYLE,JACK",1
14:09,"MISS LAYUP by WILEY,KOKI(in the paint)",,,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:07,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
14:07,"SUB OUT by LAMEY,HAYDEN",,,,,,,"SUB OUT by LAMEY,HAYDEN",1
14:07,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",1
14:07,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",1
13:52,,1,,14 (+13),"GOOD LAYUP by TOUSSAINT,LETRELL(in the paint)",UD 1-14 (-13),,"GOOD LAYUP by TOUSSAINT,LETRELL(in the paint)",1
13:52,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",1
13:52,,,,,"MISS FT by TOUSSAINT,LETRELL",,,"MISS FT by TOUSSAINT,LETRELL",1
--,"REBOUND DEF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
13:37,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",3,,14 (+11),,Rhodes 3-14 (-11),,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",1
13:20,,3,,17 (+14),"GOOD 3PTR by CHRISTIFANO JR.,LOUI",UD 3-17 (-14),,"GOOD 3PTR by CHRISTIFANO JR.,LOUI",1
--,,,,,"ASSIST  by BOYLE,JACK",,,"ASSIST  by BOYLE,JACK",1
13:03,"MISS JUMPER by GEORGETOWN II,ARNESS",,,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",1
--,,,,,"REBOUND DEF by TOUSSAINT,LETRELL",,,"REBOUND DEF by TOUSSAINT,LETRELL",1
12:40,,,,,"TURNOVER  by OLMSTED,ZAC",,,"TURNOVER  by OLMSTED,ZAC",1
12:40,,,,,"SUB OUT by BOYLE,JACK",,,"SUB OUT by BOYLE,JACK",1
12:40,,,,,"SUB IN by WILLIAMS,TJ",,,"SUB IN by WILLIAMS,TJ",1
12:40,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
12:40,"SUB IN by DEMPSEY,JACK",,,,,,,"SUB IN by DEMPSEY,JACK",1
12:40,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",1
12:40,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
12:22,,,,,"FOUL  by WILLIAMS,TJ",,,"FOUL  by WILLIAMS,TJ",1
12:17,"GOOD FT by ESSICK,JALEN",4,,17 (+13),,Rhodes 4-17 (-13),,"GOOD FT by ESSICK,JALEN",1
12:17,"MISS FT by ESSICK,JALEN",,,,,,,"MISS FT by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by CHRISTIFANO JR.,LOUI",,,"REBOUND DEF by CHRISTIFANO JR.,LOUI",1
12:13,,,,,"TURNOVER  by CHRISTIFANO JR.,LOUI",,,"TURNOVER  by CHRISTIFANO JR.,LOUI",1
12:00,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",6,,17 (+11),,Rhodes 6-17 (-11),,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",1
11:42,,,,,"MISS LAYUP by OLMSTED,JOHNNY(in the paint)",,,"MISS LAYUP by OLMSTED,JOHNNY(in the paint)",1
11:42,"BLOCK  by DOTSON,PHIL",,,,,,,"BLOCK  by DOTSON,PHIL",1
--,"REBOUND DEF by DOTSON,PHIL",,,,,,,"REBOUND DEF by DOTSON,PHIL",1
11:33,,,,,"FOUL  by CHRISTIFANO JR.,LOUI",,,"FOUL  by CHRISTIFANO JR.,LOUI",1
11:33,,,,,"SUB OUT by CHRISTIFANO JR.,LOUI",,,"SUB OUT by CHRISTIFANO JR.,LOUI",1
11:33,,,,,"SUB IN by MILES,JAXON",,,"SUB IN by MILES,JAXON",1
11:33,"GOOD FT by ESSICK,JALEN",7,,17 (+10),,Rhodes 7-17 (-10),,"GOOD FT by ESSICK,JALEN",1
11:33,"GOOD FT by ESSICK,JALEN",8,,17 (+9),,Rhodes 8-17 (-9),,"GOOD FT by ESSICK,JALEN",1
11:33,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:12,,,,,"FOUL  by TOUSSAINT,LETRELL",,,"FOUL  by TOUSSAINT,LETRELL",1
11:12,,,,,"TURNOVER  by TOUSSAINT,LETRELL",,,"TURNOVER  by TOUSSAINT,LETRELL",1
11:02,,,,,"SUB OUT by TOUSSAINT,LETRELL",,,"SUB OUT by TOUSSAINT,LETRELL",1
11:02,,,,,"SUB IN by BOYLE,JACK",,,"SUB IN by BOYLE,JACK",1
10:54,"TURNOVER  by ESSICK,JALEN",,,,,,,"TURNOVER  by ESSICK,JALEN",1
10:52,,,,,"TURNOVER  by MILES,JAXON",,,"TURNOVER  by MILES,JAXON",1
10:52,"STEAL  by WALKER,JEFFERSON",,,,,,,"STEAL  by WALKER,JEFFERSON",1
10:47,"MISS 3PTR by WILLIAMS,ZAVIEN",,,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",1
--,,,,,"REBOUND DEF by BOYLE,JACK",,,"REBOUND DEF by BOYLE,JACK",1
10:41,,8,,20 (+12),"GOOD 3PTR by OLMSTED,JOHNNY",UD 8-20 (-12),,"GOOD 3PTR by OLMSTED,JOHNNY",1
--,,,,,"ASSIST  by MILES,JAXON",,,"ASSIST  by MILES,JAXON",1
10:17,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",,,,,,,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",1
--,,,,,"REBOUND DEF by BOYLE,JACK",,,"REBOUND DEF by BOYLE,JACK",1
10:07,,,,,"MISS 3PTR by OLMSTED,JOHNNY",,,"MISS 3PTR by OLMSTED,JOHNNY",1
--,,,,,"REBOUND OFF by MILES,JAXON",,,"REBOUND OFF by MILES,JAXON",1
10:01,,,,,"MISS 3PTR by OLMSTED,ZAC",,,"MISS 3PTR by OLMSTED,ZAC",1
--,"REBOUND DEF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
09:57,,,,,"FOUL  by BOYLE,JACK",,,"FOUL  by BOYLE,JACK",1
09:57,"SUB OUT by DEMPSEY,JACK",,,,,,,"SUB OUT by DEMPSEY,JACK",1
09:57,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
09:57,"SUB IN by LAMEY,HAYDEN",,,,,,,"SUB IN by LAMEY,HAYDEN",1
09:57,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",1
09:57,"GOOD FT by WILLIAMS,ZAVIEN(fastbreak)",9,,20 (+11),,Rhodes 9-20 (-11),,"GOOD FT by WILLIAMS,ZAVIEN(fastbreak)",1
09:57,,,,,"SUB OUT by BOYLE,JACK",,,"SUB OUT by BOYLE,JACK",1
09:57,,,,,"SUB IN by TOUSSAINT,LETRELL",,,"SUB IN by TOUSSAINT,LETRELL",1
09:57,"GOOD FT by WILLIAMS,ZAVIEN(fastbreak)",10,,20 (+10),,Rhodes 10-20 (-10),,"GOOD FT by WILLIAMS,ZAVIEN(fastbreak)",1
09:45,,10,,22 (+12),"GOOD JUMPER by WILLIAMS,TJ(in the paint)",UD 10-22 (-12),,"GOOD JUMPER by WILLIAMS,TJ(in the paint)",1
09:27,"TURNOVER  by WALKER,JEFFERSON",,,,,,,"TURNOVER  by WALKER,JEFFERSON",1
09:27,,,,,"STEAL  by OLMSTED,JOHNNY",,,"STEAL  by OLMSTED,JOHNNY",1
09:16,,,,,"TURNOVER  by MILES,JAXON",,,"TURNOVER  by MILES,JAXON",1
09:16,,,,,"SUB OUT by OLMSTED,ZAC",,,"SUB OUT by OLMSTED,ZAC",1
09:16,,,,,"SUB IN by HOLLOWAY,MATT",,,"SUB IN by HOLLOWAY,MATT",1
09:00,"GOOD 3PTR by WALKER,JEFFERSON",13,,22 (+9),,Rhodes 13-22 (-9),,"GOOD 3PTR by WALKER,JEFFERSON",1
--,"ASSIST  by GEORGETOWN II,ARNESS",,,,,,,"ASSIST  by GEORGETOWN II,ARNESS",1
08:27,,,,,"MISS JUMPER by MILES,JAXON(in the paint)",,,"MISS JUMPER by MILES,JAXON(in the paint)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:14,"TURNOVER  by DOTSON,PHIL",,,,,,,"TURNOVER  by DOTSON,PHIL",1
08:14,,,,,"STEAL  by MILES,JAXON",,,"STEAL  by MILES,JAXON",1
08:05,,,,,"MISS 3PTR by MILES,JAXON",,,"MISS 3PTR by MILES,JAXON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:02,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:49,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",1
07:49,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
07:45,"MISS 3PTR by WALKER,JEFFERSON",,,,,,,"MISS 3PTR by WALKER,JEFFERSON",1
--,"REBOUND OFF by ESSICK,JALEN",,,,,,,"REBOUND OFF by ESSICK,JALEN",1
07:30,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",,,,,,,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:30,,,,,"SUB OUT by TOUSSAINT,LETRELL",,,"SUB OUT by TOUSSAINT,LETRELL",1
07:30,,,,,"SUB OUT by MILES,JAXON",,,"SUB OUT by MILES,JAXON",1
07:30,,,,,"SUB IN by KENNEDY,MICHAEL",,,"SUB IN by KENNEDY,MICHAEL",1
07:30,,,,,"SUB IN by CHRISTIFANO JR.,LOUI",,,"SUB IN by CHRISTIFANO JR.,LOUI",1
07:30,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",1
07:30,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
07:28,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:28,"SUB OUT by DOTSON,PHIL",,,,,,,"SUB OUT by DOTSON,PHIL",1
07:28,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
07:28,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",1
07:28,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",1
07:10,,,,,"MISS JUMPER by WILLIAMS,TJ(in the paint)",,,"MISS JUMPER by WILLIAMS,TJ(in the paint)",1
--,,,,,"REBOUND OFF by HOLLOWAY,MATT",,,"REBOUND OFF by HOLLOWAY,MATT",1
07:09,"FOUL  by GEORGETOWN II,ARNESS",,,,,,,"FOUL  by GEORGETOWN II,ARNESS",1
07:03,,,,,"TURNOVER  by CHRISTIFANO JR.,LOUI",,,"TURNOVER  by CHRISTIFANO JR.,LOUI",1
07:03,"STEAL  by LAMEY,HAYDEN",,,,,,,"STEAL  by LAMEY,HAYDEN",1
06:58,"MISS LAYUP by DOTSON,PHIL(in the paint)",,,,,,,"MISS LAYUP by DOTSON,PHIL(in the paint)",1
--,,,,,"REBOUND DEF by WILLIAMS,TJ",,,"REBOUND DEF by WILLIAMS,TJ",1
06:52,,13,,24 (+11),"GOOD LAYUP by HOLLOWAY,MATT(fastbreak)(in the paint)",UD 13-24 (-11),,"GOOD LAYUP by HOLLOWAY,MATT(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,TJ",,,"ASSIST  by WILLIAMS,TJ",1
06:33,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",1
06:33,"SUB IN by DOTSON,PHIL",,,,,,,"SUB IN by DOTSON,PHIL",1
06:26,"GOOD 3PTR by WILLIAMS,ZAVIEN",16,,24 (+8),,Rhodes 16-24 (-8),,"GOOD 3PTR by WILLIAMS,ZAVIEN",1
06:17,,,,,"TURNOVER  by CHRISTIFANO JR.,LOUI",,,"TURNOVER  by CHRISTIFANO JR.,LOUI",1
06:17,"STEAL  by WILEY,KOKI",,,,,,,"STEAL  by WILEY,KOKI",1
05:59,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",1
05:59,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
05:56,"MISS 3PTR by DOTSON,PHIL",,,,,,,"MISS 3PTR by DOTSON,PHIL",1
--,"REBOUND OFF by WILEY,KOKI",,,,,,,"REBOUND OFF by WILEY,KOKI",1
05:50,"GOOD 3PTR by LAMEY,HAYDEN",19,,24 (+5),,Rhodes 19-24 (-5),,"GOOD 3PTR by LAMEY,HAYDEN",1
--,"ASSIST  by WILEY,KOKI",,,,,,,"ASSIST  by WILEY,KOKI",1
05:38,"FOUL  by LAMEY,HAYDEN",,,,,,,"FOUL  by LAMEY,HAYDEN",1
05:38,,19,,25 (+6),"GOOD FT by WILLIAMS,TJ",UD 19-25 (-6),,"GOOD FT by WILLIAMS,TJ",1
05:38,,,,,"SUB OUT by OLMSTED,JOHNNY",,,"SUB OUT by OLMSTED,JOHNNY",1
05:38,,,,,"SUB IN by OLMSTED,ZAC",,,"SUB IN by OLMSTED,ZAC",1
05:38,"SUB OUT by DOTSON,PHIL",,,,,,,"SUB OUT by DOTSON,PHIL",1
05:38,"SUB IN by WHITE,ELIJAH",,,,,,,"SUB IN by WHITE,ELIJAH",1
05:38,,,,,"MISS FT by WILLIAMS,TJ",,,"MISS FT by WILLIAMS,TJ",1
--,,,,,"REBOUND OFF by KENNEDY,MICHAEL",,,"REBOUND OFF by KENNEDY,MICHAEL",1
05:35,,,,,"MISS 3PTR by OLMSTED,ZAC",,,"MISS 3PTR by OLMSTED,ZAC",1
--,"REBOUND DEF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
05:31,"FOUL  by LAMEY,HAYDEN",,,,,,,"FOUL  by LAMEY,HAYDEN",1
05:31,"SUB OUT by LAMEY,HAYDEN",,,,,,,"SUB OUT by LAMEY,HAYDEN",1
05:31,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",1
05:31,,,,,"MISS FT by KENNEDY,MICHAEL",,,"MISS FT by KENNEDY,MICHAEL",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
05:16,"MISS 3PTR by WHITE,ELIJAH",,,,,,,"MISS 3PTR by WHITE,ELIJAH",1
--,"REBOUND OFF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",1
04:54,"GOOD 3PTR by WILEY,KOKI",22,,25 (+3),,Rhodes 22-25 (-3),,"GOOD 3PTR by WILEY,KOKI",1
--,"ASSIST  by WALKER,JEFFERSON",,,,,,,"ASSIST  by WALKER,JEFFERSON",1
04:37,,,,,"SUB OUT by WILLIAMS,TJ",,,"SUB OUT by WILLIAMS,TJ",1
04:37,,,,,"SUB IN by GIUNTA,JACOB",,,"SUB IN by GIUNTA,JACOB",1
04:37,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
04:37,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",1
04:37,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",1
04:37,"SUB IN by WAGNER,MIKE",,,,,,,"SUB IN by WAGNER,MIKE",1
04:31,,22,,27 (+5),"GOOD JUMPER by KENNEDY,MICHAEL",UD 22-27 (-5),,"GOOD JUMPER by KENNEDY,MICHAEL",1
--,,,,,"ASSIST  by CHRISTIFANO JR.,LOUI",,,"ASSIST  by CHRISTIFANO JR.,LOUI",1
04:11,"GOOD JUMPER by GEORGETOWN II,ARNESS",24,,27 (+3),,Rhodes 24-27 (-3),,"GOOD JUMPER by GEORGETOWN II,ARNESS",1
--,"ASSIST  by WHITE,ELIJAH",,,,,,,"ASSIST  by WHITE,ELIJAH",1
03:52,,24,,29 (+5),"GOOD LAYUP by CHRISTIFANO JR.,LOUI(in the paint)",UD 24-29 (-5),,"GOOD LAYUP by CHRISTIFANO JR.,LOUI(in the paint)",1
03:33,,,,,"FOUL  by CHRISTIFANO JR.,LOUI",,,"FOUL  by CHRISTIFANO JR.,LOUI",1
03:33,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:33,,,,,"SUB OUT by CHRISTIFANO JR.,LOUI",,,"SUB OUT by CHRISTIFANO JR.,LOUI",1
03:33,,,,,"SUB IN by OLMSTED,JOHNNY",,,"SUB IN by OLMSTED,JOHNNY",1
03:33,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
03:33,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",1
03:33,"GOOD FT by WAGNER,MIKE",25,,29 (+4),,Rhodes 25-29 (-4),,"GOOD FT by WAGNER,MIKE",1
03:33,"GOOD FT by WAGNER,MIKE",26,,29 (+3),,Rhodes 26-29 (-3),,"GOOD FT by WAGNER,MIKE",1
03:01,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
02:46,"GOOD 3PTR by WILLIAMS,ZAVIEN",29,,29,,Rhodes 29-29 (0),,"GOOD 3PTR by WILLIAMS,ZAVIEN",1
--,"ASSIST  by GEORGETOWN II,ARNESS",,,,,,,"ASSIST  by GEORGETOWN II,ARNESS",1
02:35,,29,,32 (+3),"GOOD 3PTR by GIUNTA,JACOB",UD 29-32 (-3),,"GOOD 3PTR by GIUNTA,JACOB",1
--,,,,,"ASSIST  by OLMSTED,JOHNNY",,,"ASSIST  by OLMSTED,JOHNNY",1
02:18,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",31,,32 (+1),,Rhodes 31-32 (-1),,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",1
01:58,,,,,"MISS LAYUP by OLMSTED,ZAC(in the paint)",,,"MISS LAYUP by OLMSTED,ZAC(in the paint)",1
--,"REBOUND DEF by GEORGETOWN II,ARNESS",,,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
01:41,"TURNOVER  by GEORGETOWN II,ARNESS",,,,,,,"TURNOVER  by GEORGETOWN II,ARNESS",1
01:41,,,,,"STEAL  by KENNEDY,MICHAEL",,,"STEAL  by KENNEDY,MICHAEL",1
01:34,"FOUL  by WILLIAMS,ZAVIEN",,,,,,,"FOUL  by WILLIAMS,ZAVIEN",1
01:34,"SUB OUT by WHITE,ELIJAH",,,,,,,"SUB OUT by WHITE,ELIJAH",1
01:34,"SUB OUT by WAGNER,MIKE",,,,,,,"SUB OUT by WAGNER,MIKE",1
01:34,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
01:34,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
