Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,Period
13:06,,,,,"BLOCK  by COSTAS,RILEY",,,"BLOCK  by COSTAS,RILEY",1
--,"REBOUND OFF by WALKER,JEFFERSON",,,,,,,"REBOUND OFF by WALKER,JEFFERSON",1
13:00,"MISS 3PTR by WILEY,KOKI",,,,,,,"MISS 3PTR by WILEY,KOKI",1
--,,,,,"REBOUND DEF by ELLIS,CHASE",,,"REBOUND DEF by ELLIS,CHASE",1
12:48,,,,,"TURNOVER  by SEGALL,RYAN",,,"TURNOVER  by SEGALL,RYAN",1
12:48,"STEAL  by RAMBERG,CASS",,,,,,,"STEAL  by RAMBERG,CASS",1
12:29,"GOOD LAYUP by ESSICK,JALEN(in the paint)",10 (+4),,6,,Rhodes 10-6 (+4),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
12:04,,10 (+2),,8,"GOOD JUMPER by CAMPBELL,BLAKE(in the paint)",Berry 10-8 (+2),,"GOOD JUMPER by CAMPBELL,BLAKE(in the paint)",1
--,,,,,"ASSIST  by SEGALL,RYAN",,,"ASSIST  by SEGALL,RYAN",1
11:47,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",,,,,,,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",1
--,,,,,"REBOUND DEF by ELLIS,CHASE",,,"REBOUND DEF by ELLIS,CHASE",1
11:31,,,,,"MISS LAYUP by JOHNSON,MICHAEL(in the paint)",,,"MISS LAYUP by JOHNSON,MICHAEL(in the paint)",1
--,,,,,"REBOUND OFF by COSTAS,RILEY",,,"REBOUND OFF by COSTAS,RILEY",1
11:25,,10,,11 (+1),"GOOD 3PTR by ELLIS,CHASE",Berry 10-11 (-1),,"GOOD 3PTR by ELLIS,CHASE",1
--,,,,,"ASSIST  by COSTAS,RILEY",,,"ASSIST  by COSTAS,RILEY",1
10:58,"TURNOVER  by WALKER,JEFFERSON",,,,,,,"TURNOVER  by WALKER,JEFFERSON",1
10:58,,,,,"STEAL  by CAMPBELL,BLAKE",,,"STEAL  by CAMPBELL,BLAKE",1
10:55,,10,,13 (+3),"GOOD LAYUP by CAMPBELL,BLAKE(fastbreak)(in the paint)",Berry 10-13 (-3),,"GOOD LAYUP by CAMPBELL,BLAKE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by COSTAS,RILEY",,,"ASSIST  by COSTAS,RILEY",1
10:35,"MISS LAYUP by WILEY,KOKI(in the paint)",,,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",1
--,,,,,"REBOUND DEF by COSTAS,RILEY",,,"REBOUND DEF by COSTAS,RILEY",1
10:28,,,,,"MISS 3PTR by CAMPBELL,BLAKE",,,"MISS 3PTR by CAMPBELL,BLAKE",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
10:03,"TURNOVER  by WALKER,JEFFERSON",,,,,,,"TURNOVER  by WALKER,JEFFERSON",1
10:03,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
10:03,,,,,"SUB OUT by CAMPBELL,BLAKE",,,"SUB OUT by CAMPBELL,BLAKE",1
10:03,,,,,"SUB OUT by ELLIS,CHASE",,,"SUB OUT by ELLIS,CHASE",1
10:03,,,,,"SUB OUT by COSTAS,RILEY",,,"SUB OUT by COSTAS,RILEY",1
10:03,,,,,"SUB OUT by SEGALL,RYAN",,,"SUB OUT by SEGALL,RYAN",1
10:03,,,,,"SUB IN by KRUEGER,JORDAN",,,"SUB IN by KRUEGER,JORDAN",1
10:03,,,,,"SUB IN by BENHAM,BRAXTON",,,"SUB IN by BENHAM,BRAXTON",1
10:03,,,,,"SUB IN by HONROTH,OWEN",,,"SUB IN by HONROTH,OWEN",1
10:03,,,,,"SUB IN by CLARK,BRYCE",,,"SUB IN by CLARK,BRYCE",1
10:03,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",1
10:03,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
10:03,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",1
10:03,"SUB IN by WHITE,ELIJAH",,,,,,,"SUB IN by WHITE,ELIJAH",1
10:03,"SUB IN by DOTSON,PHIL",,,,,,,"SUB IN by DOTSON,PHIL",1
10:03,"SUB IN by DEMPSEY,JACK",,,,,,,"SUB IN by DEMPSEY,JACK",1
09:47,,,,,"MISS LAYUP by JOHNSON,MICHAEL(in the paint)",,,"MISS LAYUP by JOHNSON,MICHAEL(in the paint)",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
09:47,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
09:47,"SUB IN by PRANGE,JONATHAN",,,,,,,"SUB IN by PRANGE,JONATHAN",1
09:37,"TURNOVER  by DOTSON,PHIL",,,,,,,"TURNOVER  by DOTSON,PHIL",1
09:37,,,,,"STEAL  by JOHNSON,MICHAEL",,,"STEAL  by JOHNSON,MICHAEL",1
09:34,"FOUL  by DOTSON,PHIL",,,,,,,"FOUL  by DOTSON,PHIL",1
09:34,,10,,14 (+4),"GOOD FT by JOHNSON,MICHAEL",Berry 10-14 (-4),,"GOOD FT by JOHNSON,MICHAEL",1
09:34,,10,,15 (+5),"GOOD FT by JOHNSON,MICHAEL",Berry 10-15 (-5),,"GOOD FT by JOHNSON,MICHAEL",1
09:17,"TURNOVER  by WHITE,ELIJAH",,,,,,,"TURNOVER  by WHITE,ELIJAH",1
08:59,,,,,"MISS 3PTR by JOHNSON,MICHAEL",,,"MISS 3PTR by JOHNSON,MICHAEL",1
--,,,,,"REBOUND OFF by KRUEGER,JORDAN",,,"REBOUND OFF by KRUEGER,JORDAN",1
08:53,,,,,"MISS 3PTR by KRUEGER,JORDAN",,,"MISS 3PTR by KRUEGER,JORDAN",1
--,,,,,"REBOUND OFF by KRUEGER,JORDAN",,,"REBOUND OFF by KRUEGER,JORDAN",1
08:47,,,,,"MISS LAYUP by KRUEGER,JORDAN(in the paint)",,,"MISS LAYUP by KRUEGER,JORDAN(in the paint)",1
--,,,,,"REBOUND OFF by KRUEGER,JORDAN",,,"REBOUND OFF by KRUEGER,JORDAN",1
08:36,,,,,"MISS LAYUP by JOHNSON,MICHAEL(in the paint)",,,"MISS LAYUP by JOHNSON,MICHAEL(in the paint)",1
--,"REBOUND DEF by DEMPSEY,JACK",,,,,,,"REBOUND DEF by DEMPSEY,JACK",1
08:18,"GOOD 3PTR by DOTSON,PHIL",13,,15 (+2),,Rhodes 13-15 (-2),,"GOOD 3PTR by DOTSON,PHIL",1
--,"ASSIST  by WHITE,ELIJAH",,,,,,,"ASSIST  by WHITE,ELIJAH",1
08:00,,,,,"MISS JUMPER by BENHAM,BRAXTON",,,"MISS JUMPER by BENHAM,BRAXTON",1
08:00,"BLOCK  by RAMBERG,CASS",,,,,,,"BLOCK  by RAMBERG,CASS",1
--,"REBOUND DEF by WHITE,ELIJAH",,,,,,,"REBOUND DEF by WHITE,ELIJAH",1
07:46,"MISS JUMPER by DOTSON,PHIL",,,,,,,"MISS JUMPER by DOTSON,PHIL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
07:46,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:46,,,,,"SUB OUT by JOHNSON,MICHAEL",,,"SUB OUT by JOHNSON,MICHAEL",1
07:46,,,,,"SUB OUT by HONROTH,OWEN",,,"SUB OUT by HONROTH,OWEN",1
07:46,,,,,"SUB IN by CAMPBELL,BLAKE",,,"SUB IN by CAMPBELL,BLAKE",1
07:46,,,,,"SUB IN by ELLIS,CHASE",,,"SUB IN by ELLIS,CHASE",1
07:46,"SUB OUT by WHITE,ELIJAH",,,,,,,"SUB OUT by WHITE,ELIJAH",1
07:46,"SUB OUT by DEMPSEY,JACK",,,,,,,"SUB OUT by DEMPSEY,JACK",1
07:46,"SUB OUT by RAMBERG,CASS",,,,,,,"SUB OUT by RAMBERG,CASS",1
07:46,"SUB OUT by PRANGE,JONATHAN",,,,,,,"SUB OUT by PRANGE,JONATHAN",1
07:46,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",1
07:46,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
07:46,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
07:46,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",1
07:25,,13,,17 (+4),"GOOD JUMPER by BENHAM,BRAXTON",Berry 13-17 (-4),,"GOOD JUMPER by BENHAM,BRAXTON",1
07:00,"MISS LAYUP by WILEY,KOKI(in the paint)",,,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",1
--,,,,,"REBOUND DEF by ELLIS,CHASE",,,"REBOUND DEF by ELLIS,CHASE",1
06:54,,13,,20 (+7),"GOOD 3PTR by KRUEGER,JORDAN(fastbreak)",Berry 13-20 (-7),,"GOOD 3PTR by KRUEGER,JORDAN(fastbreak)",1
--,,,,,"ASSIST  by BENHAM,BRAXTON",,,"ASSIST  by BENHAM,BRAXTON",1
06:30,"TURNOVER  by WALKER,JEFFERSON",,,,,,,"TURNOVER  by WALKER,JEFFERSON",1
06:30,,,,,"STEAL  by BENHAM,BRAXTON",,,"STEAL  by BENHAM,BRAXTON",1
06:27,,13,,22 (+9),"GOOD DUNK by BENHAM,BRAXTON(fastbreak)(in the paint)",Berry 13-22 (-9),,"GOOD DUNK by BENHAM,BRAXTON(fastbreak)(in the paint)",1
06:26,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
06:26,,,,,"SUB OUT by CLARK,BRYCE",,,"SUB OUT by CLARK,BRYCE",1
06:26,,,,,"SUB IN by SEGALL,RYAN",,,"SUB IN by SEGALL,RYAN",1
06:26,"SUB OUT by DOTSON,PHIL",,,,,,,"SUB OUT by DOTSON,PHIL",1
06:26,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",1
06:03,"MISS LAYUP by WILLIAMS,ZAVIEN(in the paint)",,,,,,,"MISS LAYUP by WILLIAMS,ZAVIEN(in the paint)",1
06:03,,,,,"BLOCK  by SEGALL,RYAN",,,"BLOCK  by SEGALL,RYAN",1
--,,,,,"REBOUND DEF by ELLIS,CHASE",,,"REBOUND DEF by ELLIS,CHASE",1
06:03,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",1
06:03,,13,,23 (+10),"GOOD FT by CAMPBELL,BLAKE",Berry 13-23 (-10),,"GOOD FT by CAMPBELL,BLAKE",1
06:03,,,,,"MISS FT by CAMPBELL,BLAKE",,,"MISS FT by CAMPBELL,BLAKE",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
06:03,,,,,"SUB OUT by KRUEGER,JORDAN",,,"SUB OUT by KRUEGER,JORDAN",1
06:03,,,,,"SUB IN by COSTAS,RILEY",,,"SUB IN by COSTAS,RILEY",1
05:41,,,,,"FOUL  by COSTAS,RILEY",,,"FOUL  by COSTAS,RILEY",1
05:41,"GOOD FT by ESSICK,JALEN",14,,23 (+9),,Rhodes 14-23 (-9),,"GOOD FT by ESSICK,JALEN",1
05:41,"GOOD FT by ESSICK,JALEN",15,,23 (+8),,Rhodes 15-23 (-8),,"GOOD FT by ESSICK,JALEN",1
05:31,,,,,"MISS 3PTR by COSTAS,RILEY",,,"MISS 3PTR by COSTAS,RILEY",1
--,,,,,"REBOUND OFF by ELLIS,CHASE",,,"REBOUND OFF by ELLIS,CHASE",1
05:24,,,,,"TURNOVER  by ELLIS,CHASE",,,"TURNOVER  by ELLIS,CHASE",1
05:24,"STEAL  by WILEY,KOKI",,,,,,,"STEAL  by WILEY,KOKI",1
05:04,"GOOD JUMPER by GEORGETOWN II,ARNESS",17,,23 (+6),,Rhodes 17-23 (-6),,"GOOD JUMPER by GEORGETOWN II,ARNESS",1
--,"ASSIST  by WALKER,JEFFERSON",,,,,,,"ASSIST  by WALKER,JEFFERSON",1
04:47,,,,,"MISS 3PTR by CAMPBELL,BLAKE",,,"MISS 3PTR by CAMPBELL,BLAKE",1
--,,,,,"REBOUND OFF by SEGALL,RYAN",,,"REBOUND OFF by SEGALL,RYAN",1
04:28,,,,,"TURNOVER  by CAMPBELL,BLAKE",,,"TURNOVER  by CAMPBELL,BLAKE",1
04:28,"STEAL  by WALKER,JEFFERSON",,,,,,,"STEAL  by WALKER,JEFFERSON",1
04:28,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",1
04:28,"SUB IN by DOTSON,PHIL",,,,,,,"SUB IN by DOTSON,PHIL",1
04:07,"MISS JUMPER by WILEY,KOKI(in the paint)",,,,,,,"MISS JUMPER by WILEY,KOKI(in the paint)",1
--,,,,,"REBOUND DEF by ELLIS,CHASE",,,"REBOUND DEF by ELLIS,CHASE",1
03:51,,,,,"TURNOVER  by CAMPBELL,BLAKE",,,"TURNOVER  by CAMPBELL,BLAKE",1
03:51,"STEAL  by WILEY,KOKI",,,,,,,"STEAL  by WILEY,KOKI",1
03:29,"MISS 3PTR by DOTSON,PHIL",,,,,,,"MISS 3PTR by DOTSON,PHIL",1
--,,,,,"REBOUND DEF by ELLIS,CHASE",,,"REBOUND DEF by ELLIS,CHASE",1
03:19,,,,,"MISS LAYUP by ELLIS,CHASE(in the paint)",,,"MISS LAYUP by ELLIS,CHASE(in the paint)",1
--,,,,,"REBOUND OFF by SEGALL,RYAN",,,"REBOUND OFF by SEGALL,RYAN",1
03:15,,,,,"MISS LAYUP by SEGALL,RYAN(in the paint)",,,"MISS LAYUP by SEGALL,RYAN(in the paint)",1
--,,,,,"REBOUND OFF by COSTAS,RILEY",,,"REBOUND OFF by COSTAS,RILEY",1
03:13,,17,,26 (+9),"GOOD 3PTR by ELLIS,CHASE",Berry 17-26 (-9),,"GOOD 3PTR by ELLIS,CHASE",1
--,,,,,"ASSIST  by COSTAS,RILEY",,,"ASSIST  by COSTAS,RILEY",1
02:49,"GOOD JUMPER by ESSICK,JALEN(in the paint)",19,,26 (+7),,Rhodes 19-26 (-7),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",1
02:34,,,,,"MISS JUMPER by ELLIS,CHASE(in the paint)",,,"MISS JUMPER by ELLIS,CHASE(in the paint)",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
02:22,"GOOD JUMPER by WILEY,KOKI(in the paint)",21,,26 (+5),,Rhodes 21-26 (-5),,"GOOD JUMPER by WILEY,KOKI(in the paint)",1
02:15,,21,,28 (+7),"GOOD LAYUP by BENHAM,BRAXTON(in the paint)",Berry 21-28 (-7),,"GOOD LAYUP by BENHAM,BRAXTON(in the paint)",1
01:57,,,,,"FOUL  by COSTAS,RILEY",,,"FOUL  by COSTAS,RILEY",1
01:57,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
01:57,,,,,"SUB OUT by CAMPBELL,BLAKE",,,"SUB OUT by CAMPBELL,BLAKE",1
01:57,,,,,"SUB OUT by BENHAM,BRAXTON",,,"SUB OUT by BENHAM,BRAXTON",1
01:57,,,,,"SUB OUT by COSTAS,RILEY",,,"SUB OUT by COSTAS,RILEY",1
01:57,,,,,"SUB OUT by SEGALL,RYAN",,,"SUB OUT by SEGALL,RYAN",1
01:57,,,,,"SUB IN by KRUEGER,JORDAN",,,"SUB IN by KRUEGER,JORDAN",1
01:57,,,,,"SUB IN by JOHNSON,MICHAEL",,,"SUB IN by JOHNSON,MICHAEL",1
01:57,,,,,"SUB IN by HONROTH,OWEN",,,"SUB IN by HONROTH,OWEN",1
01:57,,,,,"SUB IN by CLARK,BRYCE",,,"SUB IN by CLARK,BRYCE",1
01:57,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",1
01:57,"SUB IN by RAMBERG,CASS",,,,,,,"SUB IN by RAMBERG,CASS",1
01:43,"GOOD LAYUP by ESSICK,JALEN(in the paint)",23,,28 (+5),,Rhodes 23-28 (-5),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
01:31,,,,,"MISS LAYUP by KRUEGER,JORDAN(in the paint)",,,"MISS LAYUP by KRUEGER,JORDAN(in the paint)",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
01:23,,,,,"FOUL  by HONROTH,OWEN",,,"FOUL  by HONROTH,OWEN",1
01:23,"MISS FT by ESSICK,JALEN",,,,,,,"MISS FT by ESSICK,JALEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:23,"GOOD FT by ESSICK,JALEN",24,,28 (+4),,Rhodes 24-28 (-4),,"GOOD FT by ESSICK,JALEN",1
01:07,,24,,31 (+7),"GOOD 3PTR by JOHNSON,MICHAEL",Berry 24-31 (-7),,"GOOD 3PTR by JOHNSON,MICHAEL",1
--,,,,,"ASSIST  by ELLIS,CHASE",,,"ASSIST  by ELLIS,CHASE",1
00:39,"TURNOVER  by RAMBERG,CASS",,,,,,,"TURNOVER  by RAMBERG,CASS",1
00:39,,,,,"STEAL  by KRUEGER,JORDAN",,,"STEAL  by KRUEGER,JORDAN",1
00:32,,24,,34 (+10),"GOOD 3PTR by KRUEGER,JORDAN(fastbreak)",Berry 24-34 (-10),,"GOOD 3PTR by KRUEGER,JORDAN(fastbreak)",1
--,,,,,"ASSIST  by HONROTH,OWEN",,,"ASSIST  by HONROTH,OWEN",1
00:04,"MISS 3PTR by ESSICK,JALEN",,,,,,,"MISS 3PTR by ESSICK,JALEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB OUT by KRUEGER,JORDAN",,,"SUB OUT by KRUEGER,JORDAN",2
20:00,,,,,"SUB OUT by JOHNSON,MICHAEL",,,"SUB OUT by JOHNSON,MICHAEL",2
20:00,,,,,"SUB IN by BENHAM,BRAXTON",,,"SUB IN by BENHAM,BRAXTON",2
20:00,,,,,"SUB IN by COSTAS,RILEY",,,"SUB IN by COSTAS,RILEY",2
20:00,"SUB OUT by DOTSON,PHIL",,,,,,,"SUB OUT by DOTSON,PHIL",2
20:00,"SUB OUT by RAMBERG,CASS",,,,,,,"SUB OUT by RAMBERG,CASS",2
20:00,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",2
20:00,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",2
19:38,,,,,"TURNOVER  by HONROTH,OWEN",,,"TURNOVER  by HONROTH,OWEN",2
19:17,"GOOD JUMPER by WILLIAMS,ZAVIEN(in the paint)",26,,34 (+8),,Rhodes 26-34 (-8),,"GOOD JUMPER by WILLIAMS,ZAVIEN(in the paint)",2
19:03,,,,,"MISS 3PTR by HONROTH,OWEN",,,"MISS 3PTR by HONROTH,OWEN",2
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",2
18:51,"MISS JUMPER by WILLIAMS,ZAVIEN(in the paint)",,,,,,,"MISS JUMPER by WILLIAMS,ZAVIEN(in the paint)",2
--,,,,,"REBOUND DEF by HONROTH,OWEN",,,"REBOUND DEF by HONROTH,OWEN",2
18:32,"FOUL  by WILLIAMS,ZAVIEN",,,,,,,"FOUL  by WILLIAMS,ZAVIEN",2
18:23,,,,,"MISS JUMPER by ELLIS,CHASE(in the paint)",,,"MISS JUMPER by ELLIS,CHASE(in the paint)",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
18:14,,26,,36 (+10),"GOOD LAYUP by COSTAS,RILEY(in the paint)",Berry 26-36 (-10),,"GOOD LAYUP by COSTAS,RILEY(in the paint)",2
--,,,,,"ASSIST  by CLARK,BRYCE",,,"ASSIST  by CLARK,BRYCE",2
17:55,"MISS JUMPER by WILEY,KOKI",,,,,,,"MISS JUMPER by WILEY,KOKI",2
--,,,,,"REBOUND DEF by ELLIS,CHASE",,,"REBOUND DEF by ELLIS,CHASE",2
17:42,,,,,"MISS 3PTR by BENHAM,BRAXTON",,,"MISS 3PTR by BENHAM,BRAXTON",2
--,,,,,"REBOUND OFF by ELLIS,CHASE",,,"REBOUND OFF by ELLIS,CHASE",2
17:36,,,,,"MISS LAYUP by ELLIS,CHASE(in the paint)",,,"MISS LAYUP by ELLIS,CHASE(in the paint)",2
