Time Remaining,LOR,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
11:11,,18 (+3),,15,"GOOD LAYUP by WILLIAMS,ZAVIEN(fastbreak)(in the paint)",Rhodes 18-15 (-3),,"GOOD LAYUP by WILLIAMS,ZAVIEN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
10:51,"MISS LAYUP by CIURLIK,DECLAN(in the paint)",,,,,,,"MISS LAYUP by CIURLIK,DECLAN(in the paint)",1
10:51,,,,,"BLOCK  by WILEY,KOKI",,,"BLOCK  by WILEY,KOKI",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
10:51,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",1
10:51,,,,,"SUB IN by LAMEY,HAYDEN",,,"SUB IN by LAMEY,HAYDEN",1
10:43,"GOOD JUMPER by SABET,ALI(in the paint)",20 (+5),,15,,LOR 20-15 (-5),,"GOOD JUMPER by SABET,ALI(in the paint)",1
10:15,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",1
--,"REBOUND DEF by BASS,TYLER",,,,,,,"REBOUND DEF by BASS,TYLER",1
10:02,,,,,"FOUL  by WILEY,KOKI",,,"FOUL  by WILEY,KOKI",1
10:02,"GOOD FT by SINGLETON,ALEX",21 (+6),,15,,LOR 21-15 (-6),,"GOOD FT by SINGLETON,ALEX",1
10:02,"GOOD FT by SINGLETON,ALEX",22 (+7),,15,,LOR 22-15 (-7),,"GOOD FT by SINGLETON,ALEX",1
10:02,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",1
10:02,,,,,"SUB IN by DEMPSEY,JACK",,,"SUB IN by DEMPSEY,JACK",1
09:40,,,,,"MISS 3PTR by WALKER,JEFFERSON",,,"MISS 3PTR by WALKER,JEFFERSON",1
--,"REBOUND DEF by SINGLETON,ALEX",,,,,,,"REBOUND DEF by SINGLETON,ALEX",1
09:31,"GOOD 3PTR by BARRY,MYLES",25 (+10),,15,,LOR 25-15 (-10),,"GOOD 3PTR by BARRY,MYLES",1
--,"ASSIST  by CIURLIK,DECLAN",,,,,,,"ASSIST  by CIURLIK,DECLAN",1
09:09,,,,,"TURNOVER  by LAMEY,HAYDEN",,,"TURNOVER  by LAMEY,HAYDEN",1
09:09,"STEAL  by SABET,ALI",,,,,,,"STEAL  by SABET,ALI",1
09:05,"GOOD JUMPER by BARRY,MYLES(fastbreak)(in the paint)",27 (+12),,15,,LOR 27-15 (-12),,"GOOD JUMPER by BARRY,MYLES(fastbreak)(in the paint)",1
--,"ASSIST  by SABET,ALI",,,,,,,"ASSIST  by SABET,ALI",1
08:52,,,,,"MISS JUMPER by WILEY,KOKI",,,"MISS JUMPER by WILEY,KOKI",1
--,"REBOUND DEF by CIURLIK,DECLAN",,,,,,,"REBOUND DEF by CIURLIK,DECLAN",1
08:44,"GOOD JUMPER by SABET,ALI(fastbreak)(in the paint)",29 (+14),,15,,LOR 29-15 (-14),,"GOOD JUMPER by SABET,ALI(fastbreak)(in the paint)",1
08:43,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:43,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
08:43,,,,,"SUB IN by WAGNER,MIKE",,,"SUB IN by WAGNER,MIKE",1
08:43,"SUB OUT by CIURLIK,DECLAN",,,,,,,"SUB OUT by CIURLIK,DECLAN",1
08:43,"SUB IN by SARVIS,GAVIN",,,,,,,"SUB IN by SARVIS,GAVIN",1
08:33,,,,,"TURNOVER  by WAGNER,MIKE",,,"TURNOVER  by WAGNER,MIKE",1
08:33,"STEAL  by SARVIS,GAVIN",,,,,,,"STEAL  by SARVIS,GAVIN",1
08:30,"GOOD JUMPER by BASS,TYLER(fastbreak)(in the paint)",31 (+16),,15,,LOR 31-15 (-16),,"GOOD JUMPER by BASS,TYLER(fastbreak)(in the paint)",1
--,"ASSIST  by SARVIS,GAVIN",,,,,,,"ASSIST  by SARVIS,GAVIN",1
08:14,"FOUL  by BARRY,MYLES",,,,,,,"FOUL  by BARRY,MYLES",1
08:14,,,,,"SUB OUT by RAMBERG,CASS",,,"SUB OUT by RAMBERG,CASS",1
08:14,,,,,"SUB OUT by WAGNER,MIKE",,,"SUB OUT by WAGNER,MIKE",1
08:14,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",1
08:14,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",1
08:14,"SUB OUT by BARRY,MYLES",,,,,,,"SUB OUT by BARRY,MYLES",1
08:14,"SUB OUT by SINGLETON,ALEX",,,,,,,"SUB OUT by SINGLETON,ALEX",1
08:14,"SUB IN by PEARSON,JARED",,,,,,,"SUB IN by PEARSON,JARED",1
08:14,"SUB IN by LARSEN,COOPER",,,,,,,"SUB IN by LARSEN,COOPER",1
08:07,"FOUL  by PEARSON,JARED",,,,,,,"FOUL  by PEARSON,JARED",1
08:07,,31 (+15),,16,"GOOD FT by WILEY,KOKI",Rhodes 31-16 (-15),,"GOOD FT by WILEY,KOKI",1
08:07,,31 (+14),,17,"GOOD FT by WILEY,KOKI",Rhodes 31-17 (-14),,"GOOD FT by WILEY,KOKI",1
07:53,"GOOD LAYUP by PEARSON,JARED(in the paint)",33 (+16),,17,,LOR 33-17 (-16),,"GOOD LAYUP by PEARSON,JARED(in the paint)",1
--,"ASSIST  by LARSEN,COOPER",,,,,,,"ASSIST  by LARSEN,COOPER",1
07:36,,33 (+14),,19,"GOOD JUMPER by WILEY,KOKI",Rhodes 33-19 (-14),,"GOOD JUMPER by WILEY,KOKI",1
07:18,"MISS JUMPER by LARSEN,COOPER",,,,,,,"MISS JUMPER by LARSEN,COOPER",1
--,"REBOUND OFF by SARVIS,GAVIN",,,,,,,"REBOUND OFF by SARVIS,GAVIN",1
07:12,"MISS 3PTR by SABET,ALI",,,,,,,"MISS 3PTR by SABET,ALI",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
07:10,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:10,,,,,"SUB OUT by DEMPSEY,JACK",,,"SUB OUT by DEMPSEY,JACK",1
07:10,,,,,"SUB OUT by LAMEY,HAYDEN",,,"SUB OUT by LAMEY,HAYDEN",1
07:10,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
07:10,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",1
06:49,"GOOD 3PTR by SARVIS,GAVIN",36 (+17),,19,,LOR 36-19 (-17),,"GOOD 3PTR by SARVIS,GAVIN",1
--,"ASSIST  by SABET,ALI",,,,,,,"ASSIST  by SABET,ALI",1
06:22,,,,,"MISS 3PTR by ESSICK,JALEN",,,"MISS 3PTR by ESSICK,JALEN",1
--,"REBOUND DEF by LARSEN,COOPER",,,,,,,"REBOUND DEF by LARSEN,COOPER",1
06:13,"MISS 3PTR by SABET,ALI",,,,,,,"MISS 3PTR by SABET,ALI",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
06:04,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,"REBOUND DEF by SABET,ALI",,,,,,,"REBOUND DEF by SABET,ALI",1
05:35,"GOOD JUMPER by SABET,ALI(in the paint)",38 (+19),,19,,LOR 38-19 (-19),,"GOOD JUMPER by SABET,ALI(in the paint)",1
05:32,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:32,"SUB OUT by BASS,TYLER",,,,,,,"SUB OUT by BASS,TYLER",1
05:32,"SUB OUT by SARVIS,GAVIN",,,,,,,"SUB OUT by SARVIS,GAVIN",1
05:32,"SUB OUT by SABET,ALI",,,,,,,"SUB OUT by SABET,ALI",1
05:32,"SUB IN by BARRY,MYLES",,,,,,,"SUB IN by BARRY,MYLES",1
05:32,"SUB IN by CIURLIK,DECLAN",,,,,,,"SUB IN by CIURLIK,DECLAN",1
05:32,"SUB IN by SINGLETON,ALEX",,,,,,,"SUB IN by SINGLETON,ALEX",1
05:18,,,,,"MISS JUMPER by ESSICK,JALEN",,,"MISS JUMPER by ESSICK,JALEN",1
--,"REBOUND DEF by PEARSON,JARED",,,,,,,"REBOUND DEF by PEARSON,JARED",1
04:54,"MISS LAYUP by CIURLIK,DECLAN(in the paint)",,,,,,,"MISS LAYUP by CIURLIK,DECLAN(in the paint)",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:53,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",1
04:53,,,,,"SUB IN by COOPER,LUKE",,,"SUB IN by COOPER,LUKE",1
04:53,"SUB OUT by LARSEN,COOPER",,,,,,,"SUB OUT by LARSEN,COOPER",1
04:53,"SUB IN by BASS,TYLER",,,,,,,"SUB IN by BASS,TYLER",1
04:39,,,,,"MISS JUMPER by ESSICK,JALEN",,,"MISS JUMPER by ESSICK,JALEN",1
04:39,"BLOCK  by SINGLETON,ALEX",,,,,,,"BLOCK  by SINGLETON,ALEX",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
04:27,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",,,"MISS LAYUP by WILEY,KOKI(in the paint)",1
--,"REBOUND DEF by SINGLETON,ALEX",,,,,,,"REBOUND DEF by SINGLETON,ALEX",1
04:20,"FOUL  by BARRY,MYLES",,,,,,,"FOUL  by BARRY,MYLES",1
04:20,"TURNOVER  by BARRY,MYLES",,,,,,,"TURNOVER  by BARRY,MYLES",1
04:20,"SUB OUT by BARRY,MYLES",,,,,,,"SUB OUT by BARRY,MYLES",1
04:20,"SUB IN by SABET,ALI",,,,,,,"SUB IN by SABET,ALI",1
04:09,,38 (+17),,21,"GOOD LAYUP by ESSICK,JALEN(in the paint)",Rhodes 38-21 (-17),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
03:42,"GOOD 3PTR by PEARSON,JARED",41 (+20),,21,,LOR 41-21 (-20),,"GOOD 3PTR by PEARSON,JARED",1
--,"ASSIST  by SABET,ALI",,,,,,,"ASSIST  by SABET,ALI",1
03:23,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:23,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
03:23,,,,,"SUB IN by WHITE,ELIJAH",,,"SUB IN by WHITE,ELIJAH",1
03:08,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:08,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
02:46,"GOOD JUMPER by SABET,ALI(in the paint)",43 (+22),,21,,LOR 43-21 (-22),,"GOOD JUMPER by SABET,ALI(in the paint)",1
02:32,,,,,"FOUL  by COOPER,LUKE",,,"FOUL  by COOPER,LUKE",1
02:32,,,,,"TURNOVER  by COOPER,LUKE",,,"TURNOVER  by COOPER,LUKE",1
02:32,"SUB OUT by BASS,TYLER",,,,,,,"SUB OUT by BASS,TYLER",1
02:32,"SUB IN by SARVIS,GAVIN",,,,,,,"SUB IN by SARVIS,GAVIN",1
02:19,"GOOD LAYUP by SABET,ALI(in the paint)",45 (+24),,21,,LOR 45-21 (-24),,"GOOD LAYUP by SABET,ALI(in the paint)",1
--,"ASSIST  by CIURLIK,DECLAN",,,,,,,"ASSIST  by CIURLIK,DECLAN",1
02:00,,,,,"MISS JUMPER by COOPER,LUKE(in the paint)",,,"MISS JUMPER by COOPER,LUKE(in the paint)",1
--,"REBOUND DEF by PEARSON,JARED",,,,,,,"REBOUND DEF by PEARSON,JARED",1
01:48,"GOOD LAYUP by SINGLETON,ALEX(in the paint)",47 (+26),,21,,LOR 47-21 (-26),,"GOOD LAYUP by SINGLETON,ALEX(in the paint)",1
--,"ASSIST  by SARVIS,GAVIN",,,,,,,"ASSIST  by SARVIS,GAVIN",1
01:29,,47 (+23),,24,"GOOD 3PTR by WILLIAMS,ZAVIEN",Rhodes 47-24 (-23),,"GOOD 3PTR by WILLIAMS,ZAVIEN",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
01:04,,,,,"FOUL  by WILLIAMS,ZAVIEN",,,"FOUL  by WILLIAMS,ZAVIEN",1
01:04,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",1
01:04,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
00:52,"MISS 3PTR by CIURLIK,DECLAN",,,,,,,"MISS 3PTR by CIURLIK,DECLAN",1
--,"REBOUND OFF by SINGLETON,ALEX",,,,,,,"REBOUND OFF by SINGLETON,ALEX",1
00:48,"MISS LAYUP by SINGLETON,ALEX(in the paint)",,,,,,,"MISS LAYUP by SINGLETON,ALEX(in the paint)",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
00:41,,47 (+20),,27,"GOOD 3PTR by ESSICK,JALEN",Rhodes 47-27 (-20),,"GOOD 3PTR by ESSICK,JALEN",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
00:06,"MISS LAYUP by CIURLIK,DECLAN(in the paint)",,,,,,,"MISS LAYUP by CIURLIK,DECLAN(in the paint)",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:03,,,,,"SUB OUT by COOPER,LUKE",,,"SUB OUT by COOPER,LUKE",1
00:03,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",1
00:00,"MISS JUMPER by SABET,ALI(in the paint)",,,,,,,"MISS JUMPER by SABET,ALI(in the paint)",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
20:00,,,,,"SUB OUT by WHITE,ELIJAH",,,"SUB OUT by WHITE,ELIJAH",2
20:00,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",2
20:00,"SUB OUT by SARVIS,GAVIN",,,,,,,"SUB OUT by SARVIS,GAVIN",2
20:00,"SUB OUT by PEARSON,JARED",,,,,,,"SUB OUT by PEARSON,JARED",2
20:00,"SUB IN by BASS,TYLER",,,,,,,"SUB IN by BASS,TYLER",2
20:00,"SUB IN by BARRY,MYLES",,,,,,,"SUB IN by BARRY,MYLES",2
19:38,,,,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",2
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",2
19:38,"FOUL  by BASS,TYLER",,,,,,,"FOUL  by BASS,TYLER",2
19:21,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",,,"MISS JUMPER by GEORGETOWN II,ARNESS",2
--,"REBOUND DEF by BARRY,MYLES",,,,,,,"REBOUND DEF by BARRY,MYLES",2
18:58,"GOOD JUMPER by BASS,TYLER",49 (+22),,27,,LOR 49-27 (-22),,"GOOD JUMPER by BASS,TYLER",2
18:38,,49 (+20),,29,"GOOD LAYUP by ESSICK,JALEN(in the paint)",Rhodes 49-29 (-20),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",2
--,,,,,"ASSIST  by GEORGETOWN II,ARNESS",,,"ASSIST  by GEORGETOWN II,ARNESS",2
18:19,"MISS 3PTR by SABET,ALI",,,,,,,"MISS 3PTR by SABET,ALI",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
17:57,"GOOD 3PTR by SABET,ALI",52 (+23),,29,,LOR 52-29 (-23),,"GOOD 3PTR by SABET,ALI",2
17:34,,,,,"TURNOVER  by WILLIAMS,ZAVIEN",,,"TURNOVER  by WILLIAMS,ZAVIEN",2
17:34,"STEAL  by BASS,TYLER",,,,,,,"STEAL  by BASS,TYLER",2
17:29,"GOOD DUNK by BASS,TYLER(fastbreak)(in the paint)",54 (+25),,29,,LOR 54-29 (-25),,"GOOD DUNK by BASS,TYLER(fastbreak)(in the paint)",2
17:21,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",,,"MISS 3PTR by WILLIAMS,ZAVIEN",2
--,,,,,"REBOUND OFF by WILEY,KOKI",,,"REBOUND OFF by WILEY,KOKI",2
