Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,WESTMINS,Game Score,Team Indicator,Play,Period
15:44,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",7 (+7),,0,,SEWANEE 7-0 (+7),,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",1
15:14,,,,,"TURNOVER  by COCHRAN,TANNER",,,"TURNOVER  by COCHRAN,TANNER",1
15:14,,,,,"MISS 3PTR by COCHRAN,TANNER",,,"MISS 3PTR by COCHRAN,TANNER",1
15:14,"BLOCK  by LEE,MATT",,,,,,,"BLOCK  by LEE,MATT",1
--,,,,,"REBOUND OFF by COCHRAN,TANNER",,,"REBOUND OFF by COCHRAN,TANNER",1
--,"ASSIST  by THOMAS,ADRIAN",,,,,,,"ASSIST  by THOMAS,ADRIAN",1
15:04,"GOOD 3PTR by BUESCHER,HUNTER",10 (+10),,0,,SEWANEE 10-0 (+10),,"GOOD 3PTR by BUESCHER,HUNTER",1
14:39,,,,,"MISS JUMPER by CAYWOOD,COLLIN",,,"MISS JUMPER by CAYWOOD,COLLIN",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
14:26,,,,,"FOUL  by HOLLANDSWORTH,STU",,,"FOUL  by HOLLANDSWORTH,STU",1
14:26,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",1
14:26,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
14:26,,,,,"SUB IN by DRACE,HAYDEN",,,"SUB IN by DRACE,HAYDEN",1
14:26,,,,,"SUB IN by MCCOLLUM,CASEY",,,"SUB IN by MCCOLLUM,CASEY",1
14:26,,,,,"SUB IN by SHAW,CODY",,,"SUB IN by SHAW,CODY",1
14:26,,,,,"SUB OUT by HOLLANDSWORTH,STU",,,"SUB OUT by HOLLANDSWORTH,STU",1
14:26,,,,,"SUB OUT by COCHRAN,TANNER",,,"SUB OUT by COCHRAN,TANNER",1
14:26,,,,,"SUB OUT by WANDS,CARTER",,,"SUB OUT by WANDS,CARTER",1
14:14,"GOOD 3PTR by LEE,MATT",13 (+13),,0,,SEWANEE 13-0 (+13),,"GOOD 3PTR by LEE,MATT",1
--,"ASSIST  by CALDWELL,CAM",,,,,,,"ASSIST  by CALDWELL,CAM",1
13:55,,,,,"MISS JUMPER by DRACE,HAYDEN",,,"MISS JUMPER by DRACE,HAYDEN",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
13:36,"GOOD JUMPER by CALDWELL,CAM(in the paint)",15 (+15),,0,,SEWANEE 15-0 (+15),,"GOOD JUMPER by CALDWELL,CAM(in the paint)",1
13:21,,,,,"MISS 3PTR by WANDS,KOBE",,,"MISS 3PTR by WANDS,KOBE",1
--,"REBOUND DEF by BUESCHER,HUNTER",,,,,,,"REBOUND DEF by BUESCHER,HUNTER",1
12:58,"MISS LAYUP by CRUMLY,JONNY",,,,,,,"MISS LAYUP by CRUMLY,JONNY",1
--,,,,,"REBOUND DEF by WANDS,KOBE",,,"REBOUND DEF by WANDS,KOBE",1
12:51,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
12:49,,15 (+14),,1,"GOOD FT by SHAW,CODY",WESTMINS 15-1 (+14),,"GOOD FT by SHAW,CODY",1
12:49,,15 (+13),,2,"GOOD FT by SHAW,CODY",WESTMINS 15-2 (+13),,"GOOD FT by SHAW,CODY",1
12:49,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
12:49,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
12:49,,,,,"SUB IN by BRANDT,STEVEN",,,"SUB IN by BRANDT,STEVEN",1
12:49,,,,,"SUB OUT by CAYWOOD,COLLIN",,,"SUB OUT by CAYWOOD,COLLIN",1
12:36,"TURNOVER  by SMITH,LUKE",,,,,,,"TURNOVER  by SMITH,LUKE",1
12:35,,,,,"STEAL  by SHAW,CODY",,,"STEAL  by SHAW,CODY",1
12:19,,,,,"MISS 3PTR by BRANDT,STEVEN",,,"MISS 3PTR by BRANDT,STEVEN",1
--,"REBOUND DEF by BUESCHER,HUNTER",,,,,,,"REBOUND DEF by BUESCHER,HUNTER",1
12:03,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,,,,,"REBOUND DEF by BRANDT,STEVEN",,,"REBOUND DEF by BRANDT,STEVEN",1
11:44,,,,,"TURNOVER  by SHAW,CODY",,,"TURNOVER  by SHAW,CODY",1
11:43,"STEAL  by SMITH,LUKE",,,,,,,"STEAL  by SMITH,LUKE",1
11:35,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",17 (+15),,2,,SEWANEE 17-2 (+15),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",1
11:32,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,1
11:11,,,,,"MISS JUMPER by MCCOLLUM,CASEY",,,"MISS JUMPER by MCCOLLUM,CASEY",1
--,,,,,"REBOUND OFF by SHAW,CODY",,,"REBOUND OFF by SHAW,CODY",1
10:55,"FOUL  by MCDONOUGH,SEAN",,,,,,,"FOUL  by MCDONOUGH,SEAN",1
10:54,,,,,"MISS FT by BRANDT,STEVEN",,,"MISS FT by BRANDT,STEVEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:54,,17 (+14),,3,"GOOD FT by BRANDT,STEVEN",WESTMINS 17-3 (+14),,"GOOD FT by BRANDT,STEVEN",1
10:54,,,,,"SUB IN by WANDS,CARTER",,,"SUB IN by WANDS,CARTER",1
10:54,,,,,"SUB OUT by WANDS,KOBE",,,"SUB OUT by WANDS,KOBE",1
10:36,,,,,"FOUL  by BRANDT,STEVEN",,,"FOUL  by BRANDT,STEVEN",1
10:36,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
10:36,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",1
10:36,,,,,"SUB IN by HOLLANDSWORTH,STU",,,"SUB IN by HOLLANDSWORTH,STU",1
10:36,,,,,"SUB OUT by MCCOLLUM,CASEY",,,"SUB OUT by MCCOLLUM,CASEY",1
10:24,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by HOLLANDSWORTH,STU",,,"REBOUND DEF by HOLLANDSWORTH,STU",1
10:15,,,,,"MISS LAYUP by SHAW,CODY",,,"MISS LAYUP by SHAW,CODY",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
10:04,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",19 (+16),,3,,SEWANEE 19-3 (+16),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by MCDONOUGH,SEAN",,,,,,,"ASSIST  by MCDONOUGH,SEAN",1
09:48,,,,,"MISS LAYUP by HOLLANDSWORTH,STU",,,"MISS LAYUP by HOLLANDSWORTH,STU",1
--,"REBOUND DEF by HOWELL,TAYLOR",,,,,,,"REBOUND DEF by HOWELL,TAYLOR",1
09:23,"MISS JUMPER by THOMAS,ADRIAN",,,,,,,"MISS JUMPER by THOMAS,ADRIAN",1
--,,,,,"REBOUND DEF by BRANDT,STEVEN",,,"REBOUND DEF by BRANDT,STEVEN",1
09:14,,,,,"MISS LAYUP by WANDS,CARTER",,,"MISS LAYUP by WANDS,CARTER",1
--,"REBOUND DEF by HOWELL,TAYLOR",,,,,,,"REBOUND DEF by HOWELL,TAYLOR",1
09:13,"SUB IN by HOWELL,TAYLOR",,,,,,,"SUB IN by HOWELL,TAYLOR",1
09:13,"SUB OUT by SMITH,LUKE",,,,,,,"SUB OUT by SMITH,LUKE",1
09:13,,,,,"SUB IN by CAYWOOD,COLLIN",,,"SUB IN by CAYWOOD,COLLIN",1
09:13,,,,,"SUB IN by COCHRAN,TANNER",,,"SUB IN by COCHRAN,TANNER",1
09:13,,,,,"SUB OUT by BRANDT,STEVEN",,,"SUB OUT by BRANDT,STEVEN",1
09:13,,,,,"SUB OUT by DRACE,HAYDEN",,,"SUB OUT by DRACE,HAYDEN",1
08:58,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",21 (+18),,3,,SEWANEE 21-3 (+18),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by LEE,MATT",,,,,,,"ASSIST  by LEE,MATT",1
08:44,,,,,"MISS JUMPER by HOLLANDSWORTH,STU",,,"MISS JUMPER by HOLLANDSWORTH,STU",1
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",1
08:27,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by CAYWOOD,COLLIN",,,"REBOUND DEF by CAYWOOD,COLLIN",1
08:16,"FOUL  by HOWELL,TAYLOR",,,,,,,"FOUL  by HOWELL,TAYLOR",1
08:03,,,,,"MISS 3PTR by CAYWOOD,COLLIN",,,"MISS 3PTR by CAYWOOD,COLLIN",1
--,"REBOUND DEF by SMITH,LUKE",,,,,,,"REBOUND DEF by SMITH,LUKE",1
07:57,"MISS 3PTR by HOWELL,TAYLOR",,,,,,,"MISS 3PTR by HOWELL,TAYLOR",1
--,,,,,"REBOUND DEF by HUOT,NOLAN",,,"REBOUND DEF by HUOT,NOLAN",1
07:31,,,,,"MISS 3PTR by CAYWOOD,COLLIN",,,"MISS 3PTR by CAYWOOD,COLLIN",1
--,,,,,"REBOUND OFF by HUOT,NOLAN",,,"REBOUND OFF by HUOT,NOLAN",1
07:25,,21 (+16),,5,"GOOD LAYUP by WANDS,KOBE(in the paint)",WESTMINS 21-5 (+16),,"GOOD LAYUP by WANDS,KOBE(in the paint)",1
07:03,"GOOD JUMPER by SMITH,LUKE",23 (+18),,5,,SEWANEE 23-5 (+18),,"GOOD JUMPER by SMITH,LUKE",1
06:56,,,,,"MISS 3PTR by WANDS,KOBE",,,"MISS 3PTR by WANDS,KOBE",1
--,,,,,"REBOUND OFF by COCHRAN,TANNER",,,"REBOUND OFF by COCHRAN,TANNER",1
06:53,,,,,"FOUL  by CAYWOOD,COLLIN",,,"FOUL  by CAYWOOD,COLLIN",1
06:53,,,,,"TURNOVER  by CAYWOOD,COLLIN",,,"TURNOVER  by CAYWOOD,COLLIN",1
06:34,"SUB IN by KNOX,JOEY",,,,,,,"SUB IN by KNOX,JOEY",1
06:34,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",1
06:34,"SUB IN by SMITH,LUKE",,,,,,,"SUB IN by SMITH,LUKE",1
06:34,"SUB OUT by MCDONOUGH,SEAN",,,,,,,"SUB OUT by MCDONOUGH,SEAN",1
06:34,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
06:34,"SUB OUT by HOWELL,TAYLOR",,,,,,,"SUB OUT by HOWELL,TAYLOR",1
06:34,,,,,"SUB IN by HUOT,NOLAN",,,"SUB IN by HUOT,NOLAN",1
06:34,,,,,"SUB IN by WANDS,KOBE",,,"SUB IN by WANDS,KOBE",1
06:34,,,,,"SUB OUT by HOLLANDSWORTH,STU",,,"SUB OUT by HOLLANDSWORTH,STU",1
06:34,,,,,"SUB OUT by SHAW,CODY",,,"SUB OUT by SHAW,CODY",1
06:27,"TURNOVER  by SMITH,LUKE",,,,,,,"TURNOVER  by SMITH,LUKE",1
06:22,"FOUL  by KNOX,JOEY",,,,,,,"FOUL  by KNOX,JOEY",1
06:22,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
06:22,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",1
06:17,,,,,"MISS FT by COCHRAN,TANNER",,,"MISS FT by COCHRAN,TANNER",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
06:06,"MISS LAYUP by THOMAS,ADRIAN",,,,,,,"MISS LAYUP by THOMAS,ADRIAN",1
06:06,,,,,"BLOCK  by HUOT,NOLAN",,,"BLOCK  by HUOT,NOLAN",1
--,,,,,"REBOUND DEF by WANDS,KOBE",,,"REBOUND DEF by WANDS,KOBE",1
05:54,,,,,"TURNOVER  by WANDS,KOBE",,,"TURNOVER  by WANDS,KOBE",1
05:49,"STEAL  by SMITH,LUKE",,,,,,,"STEAL  by SMITH,LUKE",1
05:48,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,,,,,"REBOUND DEF by CAYWOOD,COLLIN",,,"REBOUND DEF by CAYWOOD,COLLIN",1
05:46,"FOUL  by SMITH,LUKE",,,,,,,"FOUL  by SMITH,LUKE",1
05:46,,,,,"MISS FT by WANDS,CARTER",,,"MISS FT by WANDS,CARTER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:46,,23 (+17),,6,"GOOD FT by WANDS,CARTER",WESTMINS 23-6 (+17),,"GOOD FT by WANDS,CARTER",1
05:25,"MISS 3PTR by LEE,MATT",,,,,,,"MISS 3PTR by LEE,MATT",1
--,,,,,"REBOUND DEF by WANDS,KOBE",,,"REBOUND DEF by WANDS,KOBE",1
05:25,"FOUL  by BUESCHER,HUNTER",,,,,,,"FOUL  by BUESCHER,HUNTER",1
05:25,,23 (+16),,7,"GOOD FT by WANDS,KOBE",WESTMINS 23-7 (+16),,"GOOD FT by WANDS,KOBE",1
05:25,,23 (+15),,8,"GOOD FT by WANDS,KOBE",WESTMINS 23-8 (+15),,"GOOD FT by WANDS,KOBE",1
05:25,"SUB IN by HOWELL,TAYLOR",,,,,,,"SUB IN by HOWELL,TAYLOR",1
05:25,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
05:19,"TURNOVER  by KNOX,JOEY",,,,,,,"TURNOVER  by KNOX,JOEY",1
05:17,,,,,"STEAL  by WANDS,CARTER",,,"STEAL  by WANDS,CARTER",1
05:14,,,,,"MISS LAYUP by WANDS,CARTER",,,"MISS LAYUP by WANDS,CARTER",1
--,,,,,"REBOUND OFF by HUOT,NOLAN",,,"REBOUND OFF by HUOT,NOLAN",1
05:12,"FOUL  by SMITH,LUKE",,,,,,,"FOUL  by SMITH,LUKE",1
05:07,,23 (+14),,9,"GOOD FT by HUOT,NOLAN",WESTMINS 23-9 (+14),,"GOOD FT by HUOT,NOLAN",1
05:07,,23 (+13),,10,"GOOD FT by HUOT,NOLAN",WESTMINS 23-10 (+13),,"GOOD FT by HUOT,NOLAN",1
05:07,,,,,"SUB IN by SHAW,CODY",,,"SUB IN by SHAW,CODY",1
05:07,,,,,"SUB IN by BRANDT,STEVEN",,,"SUB IN by BRANDT,STEVEN",1
05:07,,,,,"SUB OUT by COCHRAN,TANNER",,,"SUB OUT by COCHRAN,TANNER",1
05:07,,,,,"SUB OUT by CAYWOOD,COLLIN",,,"SUB OUT by CAYWOOD,COLLIN",1
04:52,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",25 (+15),,10,,SEWANEE 25-10 (+15),,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",1
04:52,,,,,"FOUL  by BRANDT,STEVEN",,,"FOUL  by BRANDT,STEVEN",1
04:52,"GOOD FT by THOMAS,ADRIAN",26 (+16),,10,,SEWANEE 26-10 (+16),,"GOOD FT by THOMAS,ADRIAN",1
04:46,"FOUL  by HOWELL,TAYLOR",,,,,,,"FOUL  by HOWELL,TAYLOR",1
04:46,,26 (+15),,11,"GOOD FT by WANDS,KOBE",WESTMINS 26-11 (+15),,"GOOD FT by WANDS,KOBE",1
04:46,,,,,"MISS FT by WANDS,KOBE",,,"MISS FT by WANDS,KOBE",1
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",1
04:46,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
04:46,"SUB OUT by HOWELL,TAYLOR",,,,,,,"SUB OUT by HOWELL,TAYLOR",1
04:46,,,,,"SUB IN by DRACE,HAYDEN",,,"SUB IN by DRACE,HAYDEN",1
04:46,,,,,"SUB OUT by BRANDT,STEVEN",,,"SUB OUT by BRANDT,STEVEN",1
04:28,"MISS JUMPER by LEE,MATT",,,,,,,"MISS JUMPER by LEE,MATT",1
--,"REBOUND OFF by LEE,MATT",,,,,,,"REBOUND OFF by LEE,MATT",1
04:24,"MISS JUMPER by LEE,MATT",,,,,,,"MISS JUMPER by LEE,MATT",1
04:24,,,,,"BLOCK  by HUOT,NOLAN",,,"BLOCK  by HUOT,NOLAN",1
--,,,,,"REBOUND DEF by DRACE,HAYDEN",,,"REBOUND DEF by DRACE,HAYDEN",1
04:14,,,,,"MISS LAYUP by SHAW,CODY",,,"MISS LAYUP by SHAW,CODY",1
--,,,,,"REBOUND OFF by WANDS,CARTER",,,"REBOUND OFF by WANDS,CARTER",1
04:12,,,,,"TURNOVER  by WANDS,CARTER",,,"TURNOVER  by WANDS,CARTER",1
04:12,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:12,"FOUL  by HOWELL,TAYLOR",,,,,,,"FOUL  by HOWELL,TAYLOR",1
03:56,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",1
03:56,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
03:44,,,,,"TURNOVER  by DRACE,HAYDEN",,,"TURNOVER  by DRACE,HAYDEN",1
03:26,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,,,,,"REBOUND DEF by HUOT,NOLAN",,,"REBOUND DEF by HUOT,NOLAN",1
03:18,,26 (+12),,14,"GOOD 3PTR by SHAW,CODY(fastbreak)",WESTMINS 26-14 (+12),,"GOOD 3PTR by SHAW,CODY(fastbreak)",1
--,,,,,"ASSIST  by WANDS,CARTER",,,"ASSIST  by WANDS,CARTER",1
02:38,"TURNOVER  by LEE,MATT",,,,,,,"TURNOVER  by LEE,MATT",1
02:37,,,,,"STEAL  by WANDS,CARTER",,,"STEAL  by WANDS,CARTER",1
02:32,,26 (+10),,16,"GOOD LAYUP by HUOT,NOLAN(fastbreak)(in the paint)",WESTMINS 26-16 (+10),,"GOOD LAYUP by HUOT,NOLAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WANDS,CARTER",,,"ASSIST  by WANDS,CARTER",1
02:19,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,,,,,"REBOUND DEF by HUOT,NOLAN",,,"REBOUND DEF by HUOT,NOLAN",1
02:10,,,,,"FOUL  by DRACE,HAYDEN",,,"FOUL  by DRACE,HAYDEN",1
02:10,,,,,"TURNOVER  by DRACE,HAYDEN",,,"TURNOVER  by DRACE,HAYDEN",1
02:10,,,,,"SUB IN by CAYWOOD,COLLIN",,,"SUB IN by CAYWOOD,COLLIN",1
02:10,,,,,"SUB OUT by DRACE,HAYDEN",,,"SUB OUT by DRACE,HAYDEN",1
02:01,"MISS 3PTR by MCDONOUGH,SEAN",,,,,,,"MISS 3PTR by MCDONOUGH,SEAN",1
--,,,,,"REBOUND DEF by WANDS,KOBE",,,"REBOUND DEF by WANDS,KOBE",1
01:52,,,,,"MISS 3PTR by HUOT,NOLAN",,,"MISS 3PTR by HUOT,NOLAN",1
--,"REBOUND DEF by KNOX,JOEY",,,,,,,"REBOUND DEF by KNOX,JOEY",1
01:25,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",28 (+12),,16,,SEWANEE 28-16 (+12),,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",1
01:17,,28 (+10),,18,"GOOD LAYUP by WANDS,CARTER(fastbreak)(in the paint)",WESTMINS 28-18 (+10),,"GOOD LAYUP by WANDS,CARTER(fastbreak)(in the paint)",1
00:45,"MISS LAYUP by SMITH,LUKE",,,,,,,"MISS LAYUP by SMITH,LUKE",1
--,,,,,"REBOUND DEF by HUOT,NOLAN",,,"REBOUND DEF by HUOT,NOLAN",1
00:39,,,,,"MISS 3PTR by SHAW,CODY",,,"MISS 3PTR by SHAW,CODY",1
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",1
00:35,,,,,"SUB IN by OSTERMAN,STONE",,,"SUB IN by OSTERMAN,STONE",1
00:35,,,,,"SUB IN by MCCOLLUM,CASEY",,,"SUB IN by MCCOLLUM,CASEY",1
00:35,,,,,"SUB OUT by HUOT,NOLAN",,,"SUB OUT by HUOT,NOLAN",1
00:35,,,,,"SUB OUT by SHAW,CODY",,,"SUB OUT by SHAW,CODY",1
00:11,"MISS 3PTR by KNOX,JOEY",,,,,,,"MISS 3PTR by KNOX,JOEY",1
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",1
00:06,"MISS JUMPER by THOMAS,ADRIAN",,,,,,,"MISS JUMPER by THOMAS,ADRIAN",1
--,,,,,"REBOUND DEF by OSTERMAN,STONE",,,"REBOUND DEF by OSTERMAN,STONE",1
19:40,,,,,"FOUL  by COCHRAN,TANNER",,,"FOUL  by COCHRAN,TANNER",2
19:36,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",30 (+12),,18,,SEWANEE 30-18 (+12),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
--,"ASSIST  by CALDWELL,CAM",,,,,,,"ASSIST  by CALDWELL,CAM",2
19:08,,,,,"MISS JUMPER by COCHRAN,TANNER",,,"MISS JUMPER by COCHRAN,TANNER",2
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",2
18:36,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",2
18:18,,,,,"FOUL  by COCHRAN,TANNER",,,"FOUL  by COCHRAN,TANNER",2
18:18,,,,,"TURNOVER  by COCHRAN,TANNER",,,"TURNOVER  by COCHRAN,TANNER",2
17:59,"GOOD LAYUP by SMITH,LUKE(in the paint)",32 (+14),,18,,SEWANEE 32-18 (+14),,"GOOD LAYUP by SMITH,LUKE(in the paint)",2
--,"ASSIST  by CALDWELL,CAM",,,,,,,"ASSIST  by CALDWELL,CAM",2
17:58,,,,,"FOUL  by COCHRAN,TANNER",,,"FOUL  by COCHRAN,TANNER",2
17:58,"MISS FT by SMITH,LUKE",,,,,,,"MISS FT by SMITH,LUKE",2
--,,,,,"REBOUND DEF by WANDS,CARTER",,,"REBOUND DEF by WANDS,CARTER",2
17:44,,,,,"MISS LAYUP by HOLLANDSWORTH,STU",,,"MISS LAYUP by HOLLANDSWORTH,STU",2
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",2
17:36,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",2
17:35,,,,,"STEAL  by COCHRAN,TANNER",,,"STEAL  by COCHRAN,TANNER",2
17:31,,,,,"SUB IN by BRANDT,STEVEN",,,"SUB IN by BRANDT,STEVEN",2
17:31,,,,,"SUB OUT by COCHRAN,TANNER",,,"SUB OUT by COCHRAN,TANNER",2
17:27,,32 (+11),,21,"GOOD 3PTR by BRANDT,STEVEN",WESTMINS 32-21 (+11),,"GOOD 3PTR by BRANDT,STEVEN",2
--,,,,,"ASSIST  by HOLLANDSWORTH,STU",,,"ASSIST  by HOLLANDSWORTH,STU",2
17:07,"MISS LAYUP by SMITH,LUKE",,,,,,,"MISS LAYUP by SMITH,LUKE",2
