Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,BOYCE,Game Score,Team Indicator,Play,Period
17:01,"BLOCK  by CALDWELL,CAM",,,,,,,"BLOCK  by CALDWELL,CAM",2
--,"REBOUND DEF by SMITH,LUKE",,,,,,,"REBOUND DEF by SMITH,LUKE",2
16:44,"MISS 3PTR by LEE,MATT",,,,,,,"MISS 3PTR by LEE,MATT",2
--,,,,,"REBOUND DEF by TURNER,NICKOLAS",,,"REBOUND DEF by TURNER,NICKOLAS",2
16:32,,54 (+21),,33,"GOOD JUMPER by MCKAY,DREW",BOYCE 54-33 (+21),,"GOOD JUMPER by MCKAY,DREW",2
16:08,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",56 (+23),,33,,SEWANEE 56-33 (+23),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
15:52,,,,,"MISS LAYUP by RABKE,ADAM",,,"MISS LAYUP by RABKE,ADAM",2
15:52,"BLOCK  by CALDWELL,CAM",,,,,,,"BLOCK  by CALDWELL,CAM",2
--,,,,,"REBOUND OFF by TURNER,NICKOLAS",,,"REBOUND OFF by TURNER,NICKOLAS",2
15:48,,,,,"MISS LAYUP by TURNER,NICKOLAS",,,"MISS LAYUP by TURNER,NICKOLAS",2
15:48,"BLOCK  by SMITH,LUKE",,,,,,,"BLOCK  by SMITH,LUKE",2
--,"REBOUND DEF by BUESCHER,HUNTER",,,,,,,"REBOUND DEF by BUESCHER,HUNTER",2
15:32,"MISS LAYUP by BUESCHER,HUNTER",,,,,,,"MISS LAYUP by BUESCHER,HUNTER",2
15:32,,,,,"BLOCK  by MCKAY,DREW",,,"BLOCK  by MCKAY,DREW",2
--,,,,,"REBOUND DEF by MINNICK-TUCKER,D",,,"REBOUND DEF by MINNICK-TUCKER,D",2
15:27,,,,,"MISS LAYUP by MINNICK-TUCKER,D",,,"MISS LAYUP by MINNICK-TUCKER,D",2
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",2
15:15,"GOOD LAYUP by SMITH,LUKE(in the paint)",58 (+25),,33,,SEWANEE 58-33 (+25),,"GOOD LAYUP by SMITH,LUKE(in the paint)",2
15:13,,,,,"FOUL  by TURNER,NICKOLAS",,,"FOUL  by TURNER,NICKOLAS",2
15:13,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:13,"GOOD FT by SMITH,LUKE",59 (+26),,33,,SEWANEE 59-33 (+26),,"GOOD FT by SMITH,LUKE",2
15:13,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",2
15:13,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",2
15:13,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",2
15:13,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
15:13,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",2
15:13,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",2
15:13,,,,,"SUB IN by CALDWELL,AJ",,,"SUB IN by CALDWELL,AJ",2
15:13,,,,,"SUB OUT by MINNICK-TUCKER,D",,,"SUB OUT by MINNICK-TUCKER,D",2
14:58,,59 (+24),,35,"GOOD JUMPER by MCKAY,DREW",BOYCE 59-35 (+24),,"GOOD JUMPER by MCKAY,DREW",2
14:49,"MISS 3PTR by MCDONOUGH,SEAN",,,,,,,"MISS 3PTR by MCDONOUGH,SEAN",2
--,"REBOUND OFF by HOLLOWAY,JACK",,,,,,,"REBOUND OFF by HOLLOWAY,JACK",2
14:35,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",2
14:18,,59 (+22),,37,"GOOD LAYUP by ALEXAKOS,LEONIDAS(in the paint)",BOYCE 59-37 (+22),,"GOOD LAYUP by ALEXAKOS,LEONIDAS(in the paint)",2
--,,,,,"ASSIST  by RABKE,ADAM",,,"ASSIST  by RABKE,ADAM",2
14:00,"GOOD 3PTR by BARRY,MICHAEL",62 (+25),,37,,SEWANEE 62-37 (+25),,"GOOD 3PTR by BARRY,MICHAEL",2
--,"ASSIST  by MCDONOUGH,SEAN",,,,,,,"ASSIST  by MCDONOUGH,SEAN",2
13:36,,,,,"SUB IN by MINNICK-TUCKER,D",,,"SUB IN by MINNICK-TUCKER,D",2
13:36,,,,,"SUB OUT by TURNER,NICKOLAS",,,"SUB OUT by TURNER,NICKOLAS",2
13:28,,,,,"MISS JUMPER by RABKE,ADAM",,,"MISS JUMPER by RABKE,ADAM",2
--,"REBOUND DEF by HOLLOWAY,JACK",,,,,,,"REBOUND DEF by HOLLOWAY,JACK",2
13:14,,,,,"FOUL  by MINNICK-TUCKER,D",,,"FOUL  by MINNICK-TUCKER,D",2
13:14,,,,,"SUB IN by TURNER,NICKOLAS",,,"SUB IN by TURNER,NICKOLAS",2
13:14,,,,,"SUB OUT by MINNICK-TUCKER,D",,,"SUB OUT by MINNICK-TUCKER,D",2
13:09,"MISS 3PTR by MCDONOUGH,SEAN",,,,,,,"MISS 3PTR by MCDONOUGH,SEAN",2
--,,,,,"REBOUND DEF by CALDWELL,AJ",,,"REBOUND DEF by CALDWELL,AJ",2
12:47,,62 (+23),,39,"GOOD JUMPER by TURNER,NICKOLAS(in the paint)",BOYCE 62-39 (+23),,"GOOD JUMPER by TURNER,NICKOLAS(in the paint)",2
--,,,,,"ASSIST  by RABKE,ADAM",,,"ASSIST  by RABKE,ADAM",2
12:29,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",64 (+25),,39,,SEWANEE 64-39 (+25),,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",2
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",2
12:16,"FOUL  by HOLLOWAY,JACK",,,,,,,"FOUL  by HOLLOWAY,JACK",2
12:09,,64 (+23),,41,"GOOD JUMPER by CALDWELL,AJ",BOYCE 64-41 (+23),,"GOOD JUMPER by CALDWELL,AJ",2
11:53,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",2
--,,,,,"REBOUND DEF by TURNER,NICKOLAS",,,"REBOUND DEF by TURNER,NICKOLAS",2
11:35,,,,,"MISS LAYUP by MCKAY,DREW",,,"MISS LAYUP by MCKAY,DREW",2
11:35,"BLOCK  by HOLLOWAY,JACK",,,,,,,"BLOCK  by HOLLOWAY,JACK",2
--,"REBOUND DEF by BARRY,MICHAEL",,,,,,,"REBOUND DEF by BARRY,MICHAEL",2
11:26,"MISS LAYUP by CALDWELL,CAM",,,,,,,"MISS LAYUP by CALDWELL,CAM",2
--,"REBOUND OFF by HOLLOWAY,JACK",,,,,,,"REBOUND OFF by HOLLOWAY,JACK",2
11:24,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",2
11:24,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",2
11:24,"SUB IN by HOWELL,TAYLOR",,,,,,,"SUB IN by HOWELL,TAYLOR",2
11:24,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",2
11:24,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",2
11:24,"SUB OUT by SMITH,LUKE",,,,,,,"SUB OUT by SMITH,LUKE",2
11:24,,,,,"SUB IN by ABWOCH,MOSES",,,"SUB IN by ABWOCH,MOSES",2
11:24,,,,,"SUB IN by WHITE,SPENCER",,,"SUB IN by WHITE,SPENCER",2
11:24,,,,,"SUB OUT by ALEXAKOS,LEONIDAS",,,"SUB OUT by ALEXAKOS,LEONIDAS",2
11:24,,,,,"SUB OUT by CALDWELL,AJ",,,"SUB OUT by CALDWELL,AJ",2
11:06,"MISS LAYUP by THOMAS,ADRIAN",,,,,,,"MISS LAYUP by THOMAS,ADRIAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
10:54,"FOUL  by HOWELL,TAYLOR",,,,,,,"FOUL  by HOWELL,TAYLOR",2
10:46,,,,,"TURNOVER  by RABKE,ADAM",,,"TURNOVER  by RABKE,ADAM",2
10:44,"STEAL  by MCDONOUGH,SEAN",,,,,,,"STEAL  by MCDONOUGH,SEAN",2
10:42,"MISS LAYUP by BUESCHER,HUNTER",,,,,,,"MISS LAYUP by BUESCHER,HUNTER",2
--,,,,,"REBOUND DEF by WHITE,SPENCER",,,"REBOUND DEF by WHITE,SPENCER",2
10:33,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",2
10:33,,64 (+22),,42,"GOOD FT by RABKE,ADAM",BOYCE 64-42 (+22),,"GOOD FT by RABKE,ADAM",2
10:33,,64 (+21),,43,"GOOD FT by RABKE,ADAM",BOYCE 64-43 (+21),,"GOOD FT by RABKE,ADAM",2
10:21,"GOOD 3PTR by MCDONOUGH,SEAN",67 (+24),,43,,SEWANEE 67-43 (+24),,"GOOD 3PTR by MCDONOUGH,SEAN",2
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",2
10:02,,67 (+22),,45,"GOOD JUMPER by MCKAY,DREW",BOYCE 67-45 (+22),,"GOOD JUMPER by MCKAY,DREW",2
09:46,,,,,"FOUL  by MCKAY,DREW",,,"FOUL  by MCKAY,DREW",2
09:46,,,,,"SUB IN by GIBSON,ISAAC",,,"SUB IN by GIBSON,ISAAC",2
09:46,,,,,"SUB OUT by TURNER,NICKOLAS",,,"SUB OUT by TURNER,NICKOLAS",2
09:41,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",69 (+24),,45,,SEWANEE 69-45 (+24),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
--,"ASSIST  by MCDONOUGH,SEAN",,,,,,,"ASSIST  by MCDONOUGH,SEAN",2
09:28,,69 (+22),,47,"GOOD JUMPER by MCKAY,DREW",BOYCE 69-47 (+22),,"GOOD JUMPER by MCKAY,DREW",2
09:16,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",71 (+24),,47,,SEWANEE 71-47 (+24),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
--,"ASSIST  by BARRY,MICHAEL",,,,,,,"ASSIST  by BARRY,MICHAEL",2
08:56,,,,,"MISS JUMPER by ABWOCH,MOSES",,,"MISS JUMPER by ABWOCH,MOSES",2
--,"REBOUND DEF by MCDONOUGH,SEAN",,,,,,,"REBOUND DEF by MCDONOUGH,SEAN",2
08:32,"MISS 3PTR by MCDONOUGH,SEAN",,,,,,,"MISS 3PTR by MCDONOUGH,SEAN",2
--,,,,,"REBOUND DEF by WHITE,SPENCER",,,"REBOUND DEF by WHITE,SPENCER",2
08:13,,,,,"MISS 3PTR by MCKAY,DREW",,,"MISS 3PTR by MCKAY,DREW",2
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",2
07:54,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",73 (+26),,47,,SEWANEE 73-47 (+26),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",2
07:49,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
07:49,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",2
07:49,"SUB IN by SMITH,LUKE",,,,,,,"SUB IN by SMITH,LUKE",2
07:49,"SUB IN by LEE,MATT",,,,,,,"SUB IN by LEE,MATT",2
07:49,"SUB OUT by MCDONOUGH,SEAN",,,,,,,"SUB OUT by MCDONOUGH,SEAN",2
07:49,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",2
07:49,"SUB OUT by HOWELL,TAYLOR",,,,,,,"SUB OUT by HOWELL,TAYLOR",2
07:49,,,,,"SUB IN by WILLIAMS,MALACHI",,,"SUB IN by WILLIAMS,MALACHI",2
07:49,,,,,"SUB IN by MINNICK-TUCKER,D",,,"SUB IN by MINNICK-TUCKER,D",2
07:49,,,,,"SUB OUT by ABWOCH,MOSES",,,"SUB OUT by ABWOCH,MOSES",2
07:49,,,,,"SUB OUT by RABKE,ADAM",,,"SUB OUT by RABKE,ADAM",2
07:29,,,,,"MISS JUMPER by WILLIAMS,MALACHI",,,"MISS JUMPER by WILLIAMS,MALACHI",2
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",2
07:14,"MISS 3PTR by CALDWELL,CAM",,,,,,,"MISS 3PTR by CALDWELL,CAM",2
--,,,,,"REBOUND DEF by MINNICK-TUCKER,D",,,"REBOUND DEF by MINNICK-TUCKER,D",2
06:59,,73 (+24),,49,"GOOD JUMPER by MCKAY,DREW",BOYCE 73-49 (+24),,"GOOD JUMPER by MCKAY,DREW",2
06:39,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",2
06:39,,,,,"SUB IN by ALEXAKOS,LEONIDAS",,,"SUB IN by ALEXAKOS,LEONIDAS",2
06:39,,,,,"SUB OUT by WILLIAMS,MALACHI",,,"SUB OUT by WILLIAMS,MALACHI",2
06:28,,,,,"MISS 3PTR by GIBSON,ISAAC",,,"MISS 3PTR by GIBSON,ISAAC",2
--,,,,,"REBOUND OFF by ALEXAKOS,LEONIDAS",,,"REBOUND OFF by ALEXAKOS,LEONIDAS",2
06:23,,,,,"TURNOVER  by ALEXAKOS,LEONIDAS",,,"TURNOVER  by ALEXAKOS,LEONIDAS",2
06:22,"STEAL  by CALDWELL,CAM",,,,,,,"STEAL  by CALDWELL,CAM",2
06:14,"MISS 3PTR by LEE,MATT",,,,,,,"MISS 3PTR by LEE,MATT",2
--,,,,,"REBOUND DEF by ALEXAKOS,LEONIDAS",,,"REBOUND DEF by ALEXAKOS,LEONIDAS",2
06:09,"SUB IN by JOHNSON,DAVID",,,,,,,"SUB IN by JOHNSON,DAVID",2
06:09,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",2
06:09,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",2
06:09,"SUB OUT by SMITH,LUKE",,,,,,,"SUB OUT by SMITH,LUKE",2
05:57,"FOUL  by JOHNSON,DAVID",,,,,,,"FOUL  by JOHNSON,DAVID",2
05:57,,73 (+23),,50,"GOOD FT by CALDWELL,AJ",BOYCE 73-50 (+23),,"GOOD FT by CALDWELL,AJ",2
05:57,,73 (+22),,51,"GOOD FT by CALDWELL,AJ",BOYCE 73-51 (+22),,"GOOD FT by CALDWELL,AJ",2
05:45,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",75 (+24),,51,,SEWANEE 75-51 (+24),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",2
--,"ASSIST  by CRUMLY,JONNY",,,,,,,"ASSIST  by CRUMLY,JONNY",2
05:33,"SUB IN by KNOX,JOEY",,,,,,,"SUB IN by KNOX,JOEY",2
05:33,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",2
05:25,,75 (+22),,53,"GOOD LAYUP by MCKAY,DREW(in the paint)",BOYCE 75-53 (+22),,"GOOD LAYUP by MCKAY,DREW(in the paint)",2
05:04,"TURNOVER  by KNOX,JOEY",,,,,,,"TURNOVER  by KNOX,JOEY",2
05:04,,,,,"STEAL  by ALEXAKOS,LEONIDAS",,,"STEAL  by ALEXAKOS,LEONIDAS",2
04:58,,,,,"MISS LAYUP by MCKAY,DREW",,,"MISS LAYUP by MCKAY,DREW",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
04:55,,,,,"SUB IN by WILLIAMS,MALACHI",,,"SUB IN by WILLIAMS,MALACHI",2
04:55,,,,,"SUB IN by CASTILLON,SEBASTIAN",,,"SUB IN by CASTILLON,SEBASTIAN",2
04:55,,,,,"SUB OUT by ALEXAKOS,LEONIDAS",,,"SUB OUT by ALEXAKOS,LEONIDAS",2
04:55,,,,,"SUB OUT by WHITE,SPENCER",,,"SUB OUT by WHITE,SPENCER",2
04:50,,75 (+20),,55,"GOOD LAYUP by GIBSON,ISAAC(in the paint)",BOYCE 75-55 (+20),,"GOOD LAYUP by GIBSON,ISAAC(in the paint)",2
04:29,,,,,"FOUL  by MCKAY,DREW",,,"FOUL  by MCKAY,DREW",2
04:29,"GOOD FT by CRUMLY,JONNY",76 (+21),,55,,SEWANEE 76-55 (+21),,"GOOD FT by CRUMLY,JONNY",2
04:29,"MISS FT by CRUMLY,JONNY",,,,,,,"MISS FT by CRUMLY,JONNY",2
--,,,,,"REBOUND DEF by GIBSON,ISAAC",,,"REBOUND DEF by GIBSON,ISAAC",2
04:29,,,,,"SUB IN by TURNER,NICKOLAS",,,"SUB IN by TURNER,NICKOLAS",2
04:29,,,,,"SUB OUT by MINNICK-TUCKER,D",,,"SUB OUT by MINNICK-TUCKER,D",2
04:13,,76 (+18),,58,"GOOD 3PTR by MCKAY,DREW",BOYCE 76-58 (+18),,"GOOD 3PTR by MCKAY,DREW",2
03:54,"MISS 3PTR by KNOX,JOEY",,,,,,,"MISS 3PTR by KNOX,JOEY",2
--,"REBOUND OFF by LEE,MATT",,,,,,,"REBOUND OFF by LEE,MATT",2
03:32,"MISS 3PTR by LEE,MATT",,,,,,,"MISS 3PTR by LEE,MATT",2
--,,,,,"REBOUND DEF by CASTILLON,SEBASTIAN",,,"REBOUND DEF by CASTILLON,SEBASTIAN",2
03:18,,76 (+15),,61,"GOOD 3PTR by GIBSON,ISAAC",BOYCE 76-61 (+15),,"GOOD 3PTR by GIBSON,ISAAC",2
--,,,,,"ASSIST  by TURNER,NICKOLAS",,,"ASSIST  by TURNER,NICKOLAS",2
02:46,"MISS 3PTR by CRUMLY,JONNY",,,,,,,"MISS 3PTR by CRUMLY,JONNY",2
--,,,,,"REBOUND DEF by MCKAY,DREW",,,"REBOUND DEF by MCKAY,DREW",2
02:27,,,,,"MISS 3PTR by MCKAY,DREW",,,"MISS 3PTR by MCKAY,DREW",2
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",2
02:09,,,,,"FOUL  by TURNER,NICKOLAS",,,"FOUL  by TURNER,NICKOLAS",2
02:09,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:09,"GOOD FT by BUESCHER,HUNTER",77 (+16),,61,,SEWANEE 77-61 (+16),,"GOOD FT by BUESCHER,HUNTER",2
02:09,"GOOD FT by BUESCHER,HUNTER",78 (+17),,61,,SEWANEE 78-61 (+17),,"GOOD FT by BUESCHER,HUNTER",2
02:08,,,,,"SUB IN by ABWOCH,MOSES",,,"SUB IN by ABWOCH,MOSES",2
02:08,,,,,"SUB IN by RABKE,ADAM",,,"SUB IN by RABKE,ADAM",2
02:08,,,,,"SUB OUT by CASTILLON,SEBASTIAN",,,"SUB OUT by CASTILLON,SEBASTIAN",2
02:08,,,,,"SUB OUT by TURNER,NICKOLAS",,,"SUB OUT by TURNER,NICKOLAS",2
01:49,,,,,"MISS LAYUP by MCKAY,DREW",,,"MISS LAYUP by MCKAY,DREW",2
--,"REBOUND DEF by KNOX,JOEY",,,,,,,"REBOUND DEF by KNOX,JOEY",2
01:26,"GOOD LAYUP by KNOX,JOEY(in the paint)",80 (+19),,61,,SEWANEE 80-61 (+19),,"GOOD LAYUP by KNOX,JOEY(in the paint)",2
01:19,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:19,"SUB IN by SPENCER,JC",,,,,,,"SUB IN by SPENCER,JC",2
01:19,"SUB IN by NORTON,HANK",,,,,,,"SUB IN by NORTON,HANK",2
01:19,"SUB IN by BROWN,BANKS",,,,,,,"SUB IN by BROWN,BANKS",2
01:19,"SUB IN by BRADEN,WILL",,,,,,,"SUB IN by BRADEN,WILL",2
01:19,"SUB IN by KRAUS,HAYDEN",,,,,,,"SUB IN by KRAUS,HAYDEN",2
01:19,"SUB OUT by JOHNSON,DAVID",,,,,,,"SUB OUT by JOHNSON,DAVID",2
01:19,"SUB OUT by KNOX,JOEY",,,,,,,"SUB OUT by KNOX,JOEY",2
01:19,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
01:19,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",2
01:19,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",2
01:19,,,,,"SUB IN by CASTILLON,SEBASTIAN",,,"SUB IN by CASTILLON,SEBASTIAN",2
01:19,,,,,"SUB OUT by GIBSON,ISAAC",,,"SUB OUT by GIBSON,ISAAC",2
01:08,,,,,"MISS LAYUP by RABKE,ADAM",,,"MISS LAYUP by RABKE,ADAM",2
--,"REBOUND DEF by SPENCER,JC",,,,,,,"REBOUND DEF by SPENCER,JC",2
00:49,,,,,"FOUL  by WILLIAMS,MALACHI",,,"FOUL  by WILLIAMS,MALACHI",2
00:49,"MISS FT by SPENCER,JC",,,,,,,"MISS FT by SPENCER,JC",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:49,"GOOD FT by SPENCER,JC",81 (+20),,61,,SEWANEE 81-61 (+20),,"GOOD FT by SPENCER,JC",2
00:41,,81 (+18),,63,"GOOD LAYUP by WILLIAMS,MALACHI(in the paint)",BOYCE 81-63 (+18),,"GOOD LAYUP by WILLIAMS,MALACHI(in the paint)",2
--,,,,,"ASSIST  by MCKAY,DREW",,,"ASSIST  by MCKAY,DREW",2
00:21,"GOOD LAYUP by SPENCER,JC(in the paint)",83 (+20),,63,,SEWANEE 83-63 (+20),,"GOOD LAYUP by SPENCER,JC(in the paint)",2
00:09,,,,,"MISS JUMPER by CASTILLON,SEBASTIAN",,,"MISS JUMPER by CASTILLON,SEBASTIAN",2
--,"REBOUND DEF by KRAUS,HAYDEN",,,,,,,"REBOUND DEF by KRAUS,HAYDEN",2
00:01,"MISS 3PTR by SPENCER,JC",,,,,,,"MISS 3PTR by SPENCER,JC",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
