Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,APSU,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by UGBA,AVERYL",,,"REBOUND DEF by UGBA,AVERYL",2
03:18,"FOUL  by HOLLOWAY,JACK",,,,,,,"FOUL  by HOLLOWAY,JACK",2
03:18,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:18,,70,,89 (+19),"GOOD FT by PORTER-BUNTON,CHRIS",APSU 70-89 (-19),,"GOOD FT by PORTER-BUNTON,CHRIS",2
03:18,,,,,"MISS FT by PORTER-BUNTON,CHRIS",,,"MISS FT by PORTER-BUNTON,CHRIS",2
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",2
03:18,"SUB IN by HEITZENRATER,ANDREW",,,,,,,"SUB IN by HEITZENRATER,ANDREW",2
03:18,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",2
02:58,,,,,"FOUL  by MCCARTHY,ACOYDAN",,,"FOUL  by MCCARTHY,ACOYDAN",2
02:58,"GOOD FT by BUESCHER,HUNTER",71,,89 (+18),,SEWANEE 71-89 (-18),,"GOOD FT by BUESCHER,HUNTER",2
02:58,"GOOD FT by BUESCHER,HUNTER",72,,89 (+17),,SEWANEE 72-89 (-17),,"GOOD FT by BUESCHER,HUNTER",2
02:58,,,,,"SUB IN by TAYLOR,TERRY",,,"SUB IN by TAYLOR,TERRY",2
02:58,,,,,"SUB OUT by PORTER-BUNTON,CHRIS",,,"SUB OUT by PORTER-BUNTON,CHRIS",2
02:45,,72,,91 (+19),"GOOD JUMPER by IVORY,TRE'",APSU 72-91 (-19),,"GOOD JUMPER by IVORY,TRE'",2
02:32,"MISS JUMPER by BUESCHER,HUNTER",,,,,,,"MISS JUMPER by BUESCHER,HUNTER",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
02:24,"MISS 3PTR by MCDONOUGH,SEAN",,,,,,,"MISS 3PTR by MCDONOUGH,SEAN",2
--,,,,,"REBOUND DEF by IVORY,TRE'",,,"REBOUND DEF by IVORY,TRE'",2
02:12,"FOUL  by BUESCHER,HUNTER",,,,,,,"FOUL  by BUESCHER,HUNTER",2
02:12,,72,,92 (+20),"GOOD FT by IVORY,TRE'",APSU 72-92 (-20),,"GOOD FT by IVORY,TRE'",2
02:12,,72,,93 (+21),"GOOD FT by IVORY,TRE'",APSU 72-93 (-21),,"GOOD FT by IVORY,TRE'",2
02:00,,,,,"FOUL  by IVORY,TRE'",,,"FOUL  by IVORY,TRE'",2
02:00,"GOOD FT by SMITH,LUKE",73,,93 (+20),,SEWANEE 73-93 (-20),,"GOOD FT by SMITH,LUKE",2
02:00,"GOOD FT by SMITH,LUKE",74,,93 (+19),,SEWANEE 74-93 (-19),,"GOOD FT by SMITH,LUKE",2
02:00,,,,,"SUB IN by GUMM,DAYTON",,,"SUB IN by GUMM,DAYTON",2
02:00,,,,,"SUB IN by HARRIS,STEVE",,,"SUB IN by HARRIS,STEVE",2
02:00,,,,,"SUB OUT by BERNACER,FERRAN",,,"SUB OUT by BERNACER,FERRAN",2
02:00,,,,,"SUB OUT by IVORY,TRE'",,,"SUB OUT by IVORY,TRE'",2
01:52,,,,,"TURNOVER  by GUMM,DAYTON",,,"TURNOVER  by GUMM,DAYTON",2
01:51,"STEAL  by BUESCHER,HUNTER",,,,,,,"STEAL  by BUESCHER,HUNTER",2
01:48,"GOOD LAYUP by BUESCHER,HUNTER(fastbreak)(in the paint)",76,,93 (+17),,SEWANEE 76-93 (-17),,"GOOD LAYUP by BUESCHER,HUNTER(fastbreak)(in the paint)",2
01:26,,,,,"TURNOVER  by UGBA,AVERYL",,,"TURNOVER  by UGBA,AVERYL",2
01:24,"STEAL  by MCDONOUGH,SEAN",,,,,,,"STEAL  by MCDONOUGH,SEAN",2
01:19,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",2
--,,,,,"REBOUND DEF by HARRIS,STEVE",,,"REBOUND DEF by HARRIS,STEVE",2
01:09,,,,,"MISS LAYUP by GUMM,DAYTON",,,"MISS LAYUP by GUMM,DAYTON",2
--,,,,,"REBOUND OFF by TAYLOR,TERRY",,,"REBOUND OFF by TAYLOR,TERRY",2
01:05,,76,,95 (+19),"GOOD LAYUP by TAYLOR,TERRY(in the paint)",APSU 76-95 (-19),,"GOOD LAYUP by TAYLOR,TERRY(in the paint)",2
00:52,"SUB IN by HOWELL,TAYLOR",,,,,,,"SUB IN by HOWELL,TAYLOR",2
00:52,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",2
00:52,"SUB OUT by SMITH,LUKE",,,,,,,"SUB OUT by SMITH,LUKE",2
00:52,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",2
00:52,,,,,"SUB IN by MARTIN,DEYSHAWN",,,"SUB IN by MARTIN,DEYSHAWN",2
00:52,,,,,"SUB IN by HENDERSON,RICHARD",,,"SUB IN by HENDERSON,RICHARD",2
00:52,,,,,"SUB OUT by TAYLOR,TERRY",,,"SUB OUT by TAYLOR,TERRY",2
00:52,,,,,"SUB OUT by UGBA,AVERYL",,,"SUB OUT by UGBA,AVERYL",2
00:40,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",2
--,,,,,"REBOUND DEF by HARRIS,STEVE",,,"REBOUND DEF by HARRIS,STEVE",2
00:32,,,,,"MISS DUNK by GUMM,DAYTON",,,"MISS DUNK by GUMM,DAYTON",2
--,"REBOUND DEF by MCDONOUGH,SEAN",,,,,,,"REBOUND DEF by MCDONOUGH,SEAN",2
00:16,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",78,,95 (+17),,SEWANEE 78-95 (-17),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",2
