Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,APSU,Game Score,Team Indicator,Play,Period
15:07,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",1
15:05,,,,,"MISS 3PTR by GUMM,DAYTON",,,"MISS 3PTR by GUMM,DAYTON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
15:00,,,,,"SUB IN by GUMM,DAYTON",,,"SUB IN by GUMM,DAYTON",1
15:00,,,,,"SUB OUT by IVORY,TRE'",,,"SUB OUT by IVORY,TRE'",1
14:41,,,,,"MISS 3PTR by UGBA,AVERYL",,,"MISS 3PTR by UGBA,AVERYL",1
--,"REBOUND DEF by KRAUS,HAYDEN",,,,,,,"REBOUND DEF by KRAUS,HAYDEN",1
14:31,,,,,"TURNOVER  by TAYLOR,TERRY",,,"TURNOVER  by TAYLOR,TERRY",1
14:29,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",1
14:27,,,,,"STEAL  by TAYLOR,TERRY",,,"STEAL  by TAYLOR,TERRY",1
14:25,,10,,16 (+6),"GOOD LAYUP by GUMM,DAYTON(in the paint)",APSU 10-16 (-6),,"GOOD LAYUP by GUMM,DAYTON(in the paint)",1
--,,,,,"ASSIST  by TAYLOR,TERRY",,,"ASSIST  by TAYLOR,TERRY",1
14:12,"MISS LAYUP by BUESCHER,HUNTER",,,,,,,"MISS LAYUP by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by PORTER-BUNTON,CHRIS",,,"REBOUND DEF by PORTER-BUNTON,CHRIS",1
13:48,,,,,"TURNOVER  by PORTER-BUNTON,CHRIS",,,"TURNOVER  by PORTER-BUNTON,CHRIS",1
13:46,"STEAL  by CALDWELL,CAM",,,,,,,"STEAL  by CALDWELL,CAM",1
13:42,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",1
13:40,,,,,"STEAL  by HENDERSON,RICHARD",,,"STEAL  by HENDERSON,RICHARD",1
13:37,,,,,"TURNOVER  by GUMM,DAYTON",,,"TURNOVER  by GUMM,DAYTON",1
13:35,"STEAL  by SMITH,LUKE",,,,,,,"STEAL  by SMITH,LUKE",1
13:34,"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",12,,16 (+4),,SEWANEE 12-16 (-4),,"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",1
13:34,,,,,"FOUL  by GUMM,DAYTON",,,"FOUL  by GUMM,DAYTON",1
13:34,"MISS FT by SMITH,LUKE",,,,,,,"MISS FT by SMITH,LUKE",1
--,,,,,"REBOUND DEF by TAYLOR,TERRY",,,"REBOUND DEF by TAYLOR,TERRY",1
13:34,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
13:34,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
13:34,,,,,"SUB IN by BERNACER,FERRAN",,,"SUB IN by BERNACER,FERRAN",1
13:34,,,,,"SUB IN by UGBA,AVERYL",,,"SUB IN by UGBA,AVERYL",1
13:34,,,,,"SUB IN by IVORY,TRE'",,,"SUB IN by IVORY,TRE'",1
13:34,,,,,"SUB IN by MCCARTHY,ACOYDAN",,,"SUB IN by MCCARTHY,ACOYDAN",1
13:34,,,,,"SUB OUT by GUMM,DAYTON",,,"SUB OUT by GUMM,DAYTON",1
13:34,,,,,"SUB OUT by PORTER-BUNTON,CHRIS",,,"SUB OUT by PORTER-BUNTON,CHRIS",1
13:34,,,,,"SUB OUT by HENDERSON,RICHARD",,,"SUB OUT by HENDERSON,RICHARD",1
13:34,,,,,"SUB OUT by GLOTTA,ZACH",,,"SUB OUT by GLOTTA,ZACH",1
13:27,,12,,18 (+6),"GOOD JUMPER by IVORY,TRE'",APSU 12-18 (-6),,"GOOD JUMPER by IVORY,TRE'",1
13:08,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",1
13:08,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
12:49,,,,,"MISS 3PTR by MCCARTHY,ACOYDAN",,,"MISS 3PTR by MCCARTHY,ACOYDAN",1
--,"REBOUND DEF by SMITH,LUKE",,,,,,,"REBOUND DEF by SMITH,LUKE",1
12:24,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,,,,,"REBOUND DEF by MARTIN,DEYSHAWN",,,"REBOUND DEF by MARTIN,DEYSHAWN",1
12:11,,,,,"TURNOVER  by UGBA,AVERYL",,,"TURNOVER  by UGBA,AVERYL",1
12:11,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
12:11,"SUB OUT by SMITH,LUKE",,,,,,,"SUB OUT by SMITH,LUKE",1
12:11,,,,,"SUB IN by MARTIN,DEYSHAWN",,,"SUB IN by MARTIN,DEYSHAWN",1
12:11,,,,,"SUB IN by PORTER-BUNTON,CHRIS",,,"SUB IN by PORTER-BUNTON,CHRIS",1
12:11,,,,,"SUB OUT by BERNACER,FERRAN",,,"SUB OUT by BERNACER,FERRAN",1
12:11,,,,,"SUB OUT by TAYLOR,TERRY",,,"SUB OUT by TAYLOR,TERRY",1
11:57,"MISS LAYUP by CALDWELL,CAM",,,,,,,"MISS LAYUP by CALDWELL,CAM",1
--,,,,,"REBOUND DEF by PORTER-BUNTON,CHRIS",,,"REBOUND DEF by PORTER-BUNTON,CHRIS",1
11:31,,,,,"TURNOVER  by PORTER-BUNTON,CHRIS",,,"TURNOVER  by PORTER-BUNTON,CHRIS",1
11:31,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:31,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
11:31,"SUB IN by SMITH,LUKE",,,,,,,"SUB IN by SMITH,LUKE",1
11:31,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",1
11:31,"SUB IN by LEE,MATT",,,,,,,"SUB IN by LEE,MATT",1
11:31,"SUB OUT by HEITZENRATER,ANDREW",,,,,,,"SUB OUT by HEITZENRATER,ANDREW",1
11:31,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
