Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
11:00,"STEAL  by PALMER,NICK",,,,,,,"STEAL  by PALMER,NICK",1
10:50,"TURNOVER  by CRUMLY,WILL",,,,,,,"TURNOVER  by CRUMLY,WILL",1
10:50,"SUB IN by TWAGIRAYEZU,PATJO",,,,,,,"SUB IN by TWAGIRAYEZU,PATJO",1
10:50,"SUB IN by HAYNES,CALEB",,,,,,,"SUB IN by HAYNES,CALEB",1
10:50,"SUB OUT by CRUMLY,WILL",,,,,,,"SUB OUT by CRUMLY,WILL",1
10:50,"SUB OUT by SPRAGG,BAILEY",,,,,,,"SUB OUT by SPRAGG,BAILEY",1
10:39,"FOUL  by MITCHELL,JAMES",,,,,,,"FOUL  by MITCHELL,JAMES",1
10:39,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",1
10:39,,,,,"TURNOVER  by CALDWELL,CAM",,,"TURNOVER  by CALDWELL,CAM",1
10:21,"MISS LAYUP by PALMER,NICK",,,,,,,"MISS LAYUP by PALMER,NICK",1
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1
10:10,,14 (+1),,13,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",SEWANEE 14-13 (-1),,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",1
09:55,"TURNOVER  by TWAGIRAYEZU,PATJO",,,,,,,"TURNOVER  by TWAGIRAYEZU,PATJO",1
09:53,,,,,"STEAL  by THOMAS,ADRIAN",,,"STEAL  by THOMAS,ADRIAN",1
09:39,,14,,15 (+1),"GOOD JUMPER by CALDWELL,CAM(in the paint)",SEWANEE 14-15 (+1),,"GOOD JUMPER by CALDWELL,CAM(in the paint)",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
09:39,"FOUL  by TWAGIRAYEZU,PATJO",,,,,,,"FOUL  by TWAGIRAYEZU,PATJO",1
09:39,,14,,16 (+2),"GOOD FT by CALDWELL,CAM",SEWANEE 14-16 (+2),,"GOOD FT by CALDWELL,CAM",1
09:39,"SUB IN by SPRAGG,BAILEY",,,,,,,"SUB IN by SPRAGG,BAILEY",1
09:39,"SUB OUT by PALMER,NICK",,,,,,,"SUB OUT by PALMER,NICK",1
09:39,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
09:39,,,,,"SUB OUT by SMITH,LUKE",,,"SUB OUT by SMITH,LUKE",1
09:22,"MISS 3PTR by MITCHELL,JAMES",,,,,,,"MISS 3PTR by MITCHELL,JAMES",1
--,"REBOUND OFF by HAYNES,CALEB",,,,,,,"REBOUND OFF by HAYNES,CALEB",1
09:14,"GOOD JUMPER by HAYNES,CALEB(in the paint)",16,,16,,CCM 16-16 (0),,"GOOD JUMPER by HAYNES,CALEB(in the paint)",1
09:07,,16,,18 (+2),"GOOD LAYUP by BARRY,MICHAEL(in the paint)",SEWANEE 16-18 (+2),,"GOOD LAYUP by BARRY,MICHAEL(in the paint)",1
08:55,"MISS LAYUP by SPRAGG,BAILEY",,,,,,,"MISS LAYUP by SPRAGG,BAILEY",1
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",1
08:26,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
08:06,"GOOD LAYUP by SPRAGG,BAILEY(in the paint)",18,,18,,CCM 18-18 (0),,"GOOD LAYUP by SPRAGG,BAILEY(in the paint)",1
08:06,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",1
08:06,"GOOD FT by SPRAGG,BAILEY",19 (+1),,18,,CCM 19-18 (-1),,"GOOD FT by SPRAGG,BAILEY",1
08:06,,,,,"SUB IN by KNOX,JOEY",,,"SUB IN by KNOX,JOEY",1
08:06,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",1
07:48,,,,,"TURNOVER  by LEE,MATT",,,"TURNOVER  by LEE,MATT",1
07:48,"STEAL  by DRYDEN,BERTO",,,,,,,"STEAL  by DRYDEN,BERTO",1
07:48,,,,,"SUB IN by SMITH,LUKE",,,"SUB IN by SMITH,LUKE",1
07:48,,,,,"SUB OUT by BARRY,MICHAEL",,,"SUB OUT by BARRY,MICHAEL",1
07:37,"FOUL  by MITCHELL,JAMES",,,,,,,"FOUL  by MITCHELL,JAMES",1
07:37,"TURNOVER  by MITCHELL,JAMES",,,,,,,"TURNOVER  by MITCHELL,JAMES",1
07:20,,19,,20 (+1),"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 19-20 (+1),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,,,,,"ASSIST  by LEE,MATT",,,"ASSIST  by LEE,MATT",1
07:02,"MISS 3PTR by SPRAGG,BAILEY",,,,,,,"MISS 3PTR by SPRAGG,BAILEY",1
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",1
06:52,"SUB IN by PALMER,NICK",,,,,,,"SUB IN by PALMER,NICK",1
06:52,"SUB OUT by MITCHELL,JAMES",,,,,,,"SUB OUT by MITCHELL,JAMES",1
06:49,,,,,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",1
--,"REBOUND DEF by DRYDEN,BERTO",,,,,,,"REBOUND DEF by DRYDEN,BERTO",1
06:33,"GOOD LAYUP by HAYNES,CALEB(in the paint)",21 (+1),,20,,CCM 21-20 (-1),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",1
--,"ASSIST  by SPRAGG,BAILEY",,,,,,,"ASSIST  by SPRAGG,BAILEY",1
06:20,,21,,22 (+1),"GOOD DUNK by LEE,MATT(in the paint)",SEWANEE 21-22 (+1),,"GOOD DUNK by LEE,MATT(in the paint)",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
06:14,,,,,"FOUL  by LEE,MATT",,,"FOUL  by LEE,MATT",1
06:14,"SUB IN by CRUMLY,WILL",,,,,,,"SUB IN by CRUMLY,WILL",1
06:14,"SUB OUT by HAYNES,CALEB",,,,,,,"SUB OUT by HAYNES,CALEB",1
06:14,,,,,"SUB IN by BARRY,MICHAEL",,,"SUB IN by BARRY,MICHAEL",1
06:14,,,,,"SUB OUT by KNOX,JOEY",,,"SUB OUT by KNOX,JOEY",1
06:02,"MISS 3PTR by TWAGIRAYEZU,PATJO",,,,,,,"MISS 3PTR by TWAGIRAYEZU,PATJO",1
--,"REBOUND OFF by TWAGIRAYEZU,PATJO",,,,,,,"REBOUND OFF by TWAGIRAYEZU,PATJO",1
05:57,"MISS JUMPER by TWAGIRAYEZU,PATJO",,,,,,,"MISS JUMPER by TWAGIRAYEZU,PATJO",1
--,"REBOUND OFF by TWAGIRAYEZU,PATJO",,,,,,,"REBOUND OFF by TWAGIRAYEZU,PATJO",1
05:53,"GOOD JUMPER by TWAGIRAYEZU,PATJO",23 (+1),,22,,CCM 23-22 (-1),,"GOOD JUMPER by TWAGIRAYEZU,PATJO",1
05:34,,23,,25 (+2),"GOOD 3PTR by BARRY,MICHAEL",SEWANEE 23-25 (+2),,"GOOD 3PTR by BARRY,MICHAEL",1
--,,,,,"ASSIST  by LEE,MATT",,,"ASSIST  by LEE,MATT",1
05:13,"GOOD LAYUP by SPRAGG,BAILEY(in the paint)",25,,25,,CCM 25-25 (0),,"GOOD LAYUP by SPRAGG,BAILEY(in the paint)",1
04:55,"FOUL  by SPRAGG,BAILEY",,,,,,,"FOUL  by SPRAGG,BAILEY",1
04:55,,25,,26 (+1),"GOOD FT by BARRY,MICHAEL",SEWANEE 25-26 (+1),,"GOOD FT by BARRY,MICHAEL",1
04:55,,25,,27 (+2),"GOOD FT by BARRY,MICHAEL",SEWANEE 25-27 (+2),,"GOOD FT by BARRY,MICHAEL",1
04:55,,25,,28 (+3),"GOOD FT by BARRY,MICHAEL",SEWANEE 25-28 (+3),,"GOOD FT by BARRY,MICHAEL",1
04:55,"SUB IN by JAUCH,JARED",,,,,,,"SUB IN by JAUCH,JARED",1
04:55,"SUB OUT by DRYDEN,BERTO",,,,,,,"SUB OUT by DRYDEN,BERTO",1
04:55,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",1
04:55,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
04:50,,,,,"FOUL  by BUESCHER,HUNTER",,,"FOUL  by BUESCHER,HUNTER",1
04:40,"GOOD JUMPER by TWAGIRAYEZU,PATJO",27,,28 (+1),,CCM 27-28 (+1),,"GOOD JUMPER by TWAGIRAYEZU,PATJO",1
04:23,,,,,"TURNOVER  by LEE,MATT",,,"TURNOVER  by LEE,MATT",1
04:22,"STEAL  by CRUMLY,WILL",,,,,,,"STEAL  by CRUMLY,WILL",1
04:17,"GOOD LAYUP by TWAGIRAYEZU,PATJO(fastbreak)(in the paint)",29 (+1),,28,,CCM 29-28 (-1),,"GOOD LAYUP by TWAGIRAYEZU,PATJO(fastbreak)(in the paint)",1
--,"ASSIST  by SPRAGG,BAILEY",,,,,,,"ASSIST  by SPRAGG,BAILEY",1
03:59,,,,,"MISS 3PTR by CRUMLY,JONNY",,,"MISS 3PTR by CRUMLY,JONNY",1
--,"REBOUND DEF by TWAGIRAYEZU,PATJO",,,,,,,"REBOUND DEF by TWAGIRAYEZU,PATJO",1
03:46,"GOOD LAYUP by CRUMLY,WILL(in the paint)",31 (+3),,28,,CCM 31-28 (-3),,"GOOD LAYUP by CRUMLY,WILL(in the paint)",1
--,"ASSIST  by SPRAGG,BAILEY",,,,,,,"ASSIST  by SPRAGG,BAILEY",1
03:46,,,,,"FOUL  by CRUMLY,JONNY",,,"FOUL  by CRUMLY,JONNY",1
03:46,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:46,"MISS FT by CRUMLY,WILL",,,,,,,"MISS FT by CRUMLY,WILL",1
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",1
03:46,"SUB IN by HOLLIS,MITCHELL",,,,,,,"SUB IN by HOLLIS,MITCHELL",1
03:46,"SUB OUT by TWAGIRAYEZU,PATJO",,,,,,,"SUB OUT by TWAGIRAYEZU,PATJO",1
03:46,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
03:46,,,,,"SUB OUT by CRUMLY,JONNY",,,"SUB OUT by CRUMLY,JONNY",1
03:26,,31 (+1),,30,"GOOD JUMPER by BUESCHER,HUNTER",SEWANEE 31-30 (-1),,"GOOD JUMPER by BUESCHER,HUNTER",1
03:02,"FOUL  by SPRAGG,BAILEY",,,,,,,"FOUL  by SPRAGG,BAILEY",1
03:02,"TURNOVER  by SPRAGG,BAILEY",,,,,,,"TURNOVER  by SPRAGG,BAILEY",1
02:57,,,,,"MISS 3PTR by BUESCHER,HUNTER",,,"MISS 3PTR by BUESCHER,HUNTER",1
--,,,,,"REBOUND OFF by THOMAS,ADRIAN",,,"REBOUND OFF by THOMAS,ADRIAN",1
02:53,,31,,32 (+1),"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 31-32 (+1),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
02:53,"FOUL  by CRUMLY,WILL",,,,,,,"FOUL  by CRUMLY,WILL",1
02:53,,31,,33 (+2),"GOOD FT by THOMAS,ADRIAN",SEWANEE 31-33 (+2),,"GOOD FT by THOMAS,ADRIAN",1
02:53,"SUB IN by MITCHELL,JAMES",,,,,,,"SUB IN by MITCHELL,JAMES",1
02:53,"SUB IN by DRYDEN,BERTO",,,,,,,"SUB IN by DRYDEN,BERTO",1
02:53,"SUB IN by TWAGIRAYEZU,PATJO",,,,,,,"SUB IN by TWAGIRAYEZU,PATJO",1
02:53,"SUB OUT by JAUCH,JARED",,,,,,,"SUB OUT by JAUCH,JARED",1
02:53,"SUB OUT by HOLLIS,MITCHELL",,,,,,,"SUB OUT by HOLLIS,MITCHELL",1
02:53,"SUB OUT by SPRAGG,BAILEY",,,,,,,"SUB OUT by SPRAGG,BAILEY",1
02:29,"TURNOVER  by TWAGIRAYEZU,PATJO",,,,,,,"TURNOVER  by TWAGIRAYEZU,PATJO",1
02:27,,,,,"STEAL  by SMITH,LUKE",,,"STEAL  by SMITH,LUKE",1
02:03,,31,,35 (+4),"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 31-35 (+4),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
01:48,"MISS 3PTR by PALMER,NICK",,,,,,,"MISS 3PTR by PALMER,NICK",1
--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",1
01:29,,31,,37 (+6),"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",SEWANEE 31-37 (+6),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",1
01:19,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:19,"SUB IN by HAYNES,CALEB",,,,,,,"SUB IN by HAYNES,CALEB",1
01:19,"SUB OUT by CRUMLY,WILL",,,,,,,"SUB OUT by CRUMLY,WILL",1
00:58,"MISS JUMPER by TWAGIRAYEZU,PATJO",,,,,,,"MISS JUMPER by TWAGIRAYEZU,PATJO",1
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",1
00:47,,31,,40 (+9),"GOOD 3PTR by BARRY,MICHAEL",SEWANEE 31-40 (+9),,"GOOD 3PTR by BARRY,MICHAEL",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
00:36,,,,,"FOUL  by BUESCHER,HUNTER",,,"FOUL  by BUESCHER,HUNTER",1
00:36,"GOOD FT by DRYDEN,BERTO",32,,40 (+8),,CCM 32-40 (+8),,"GOOD FT by DRYDEN,BERTO",1
00:36,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:36,"MISS FT by DRYDEN,BERTO",,,,,,,"MISS FT by DRYDEN,BERTO",1
--,,,,,"REBOUND DEF by BARRY,MICHAEL",,,"REBOUND DEF by BARRY,MICHAEL",1
00:36,"SUB IN by BRYAN,WILLIAM",,,,,,,"SUB IN by BRYAN,WILLIAM",1
00:36,"SUB IN by JAUCH,JARED",,,,,,,"SUB IN by JAUCH,JARED",1
00:36,"SUB OUT by MITCHELL,JAMES",,,,,,,"SUB OUT by MITCHELL,JAMES",1
00:36,"SUB OUT by PALMER,NICK",,,,,,,"SUB OUT by PALMER,NICK",1
00:36,,,,,"SUB IN by HOWELL,TAYLOR",,,"SUB IN by HOWELL,TAYLOR",1
00:36,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
00:13,,32,,43 (+11),"GOOD 3PTR by SMITH,LUKE",SEWANEE 32-43 (+11),,"GOOD 3PTR by SMITH,LUKE",1
--,,,,,"ASSIST  by HOWELL,TAYLOR",,,"ASSIST  by HOWELL,TAYLOR",1
00:02,"MISS LAYUP by DRYDEN,BERTO",,,,,,,"MISS LAYUP by DRYDEN,BERTO",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
19:45,,,,,"TURNOVER  by BUESCHER,HUNTER",,,"TURNOVER  by BUESCHER,HUNTER",2
19:44,"STEAL  by TWAGIRAYEZU,PATJO",,,,,,,"STEAL  by TWAGIRAYEZU,PATJO",2
19:40,"GOOD LAYUP by DRYDEN,BERTO(fastbreak)(in the paint)",34,,43 (+9),,CCM 34-43 (+9),,"GOOD LAYUP by DRYDEN,BERTO(fastbreak)(in the paint)",2
--,"ASSIST  by TWAGIRAYEZU,PATJO",,,,,,,"ASSIST  by TWAGIRAYEZU,PATJO",2
19:22,"FOUL  by DRYDEN,BERTO",,,,,,,"FOUL  by DRYDEN,BERTO",2
19:16,,34,,46 (+12),"GOOD 3PTR by SMITH,LUKE",SEWANEE 34-46 (+12),,"GOOD 3PTR by SMITH,LUKE",2
19:00,"MISS JUMPER by HAYNES,CALEB",,,,,,,"MISS JUMPER by HAYNES,CALEB",2
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",2
18:32,,,,,"MISS JUMPER by BUESCHER,HUNTER",,,"MISS JUMPER by BUESCHER,HUNTER",2
--,"REBOUND DEF by TWAGIRAYEZU,PATJO",,,,,,,"REBOUND DEF by TWAGIRAYEZU,PATJO",2
18:16,"GOOD LAYUP by TWAGIRAYEZU,PATJO(in the paint)",36,,46 (+10),,CCM 36-46 (+10),,"GOOD LAYUP by TWAGIRAYEZU,PATJO(in the paint)",2
--,"ASSIST  by HAYNES,CALEB",,,,,,,"ASSIST  by HAYNES,CALEB",2
17:53,,,,,"MISS JUMPER by LEE,MATT",,,"MISS JUMPER by LEE,MATT",2
--,,,,,"REBOUND OFF by LEE,MATT",,,"REBOUND OFF by LEE,MATT",2
17:52,"FOUL  by TWAGIRAYEZU,PATJO",,,,,,,"FOUL  by TWAGIRAYEZU,PATJO",2
