Time Remaining,UO,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
12:34,,,,,"SUB IN by ROBERTS,ERIC",,,"SUB IN by ROBERTS,ERIC",1
12:34,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
12:34,,,,,"SUB OUT by HALL,MARCIS",,,"SUB OUT by HALL,MARCIS",1
12:29,,,,,"SUB IN by MOORE,AUSTIN",,,"SUB IN by MOORE,AUSTIN",1
12:29,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
12:22,"MISS 3PTR by GREEN,CHRIS",,,,,,,"MISS 3PTR by GREEN,CHRIS",1
--,,,,,"REBOUND DEF by NOTLEY,CHANDLER",,,"REBOUND DEF by NOTLEY,CHANDLER",1
12:07,,,,,"MISS 3PTR by EATON,JACK",,,"MISS 3PTR by EATON,JACK",1
--,"REBOUND DEF by GREEN,CHRIS",,,,,,,"REBOUND DEF by GREEN,CHRIS",1
11:47,"MISS JUMPER by BARNES,SKYLER",,,,,,,"MISS JUMPER by BARNES,SKYLER",1
--,,,,,"REBOUND DEF by CALAMESE,MICHAEL",,,"REBOUND DEF by CALAMESE,MICHAEL",1
11:42,,7,,14 (+7),"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",HXM 7-14 (+7),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",1
11:42,"FOUL  by GREEN,CHRIS",,,,,,,"FOUL  by GREEN,CHRIS",1
11:42,,7,,15 (+8),"GOOD FT by CALAMESE,MICHAEL",HXM 7-15 (+8),,"GOOD FT by CALAMESE,MICHAEL",1
11:42,"SUB IN by DUPOR,RENO",,,,,,,"SUB IN by DUPOR,RENO",1
11:42,"SUB OUT by KNIGHT,KELVIN",,,,,,,"SUB OUT by KNIGHT,KELVIN",1
11:23,"SUB IN by WILHELM,CORY",,,,,,,"SUB IN by WILHELM,CORY",1
11:23,"SUB IN by CONLEY,CLAY",,,,,,,"SUB IN by CONLEY,CLAY",1
11:23,"SUB OUT by DUPOR,RENO",,,,,,,"SUB OUT by DUPOR,RENO",1
11:23,"SUB OUT by BARNES,SKYLER",,,,,,,"SUB OUT by BARNES,SKYLER",1
11:18,"MISS 3PTR by CONLEY,CLAY",,,,,,,"MISS 3PTR by CONLEY,CLAY",1
--,,,,,"REBOUND DEF by ROBERTS,ERIC",,,"REBOUND DEF by ROBERTS,ERIC",1
11:00,,7,,18 (+11),"GOOD 3PTR by ROBERTS,ERIC",HXM 7-18 (+11),,"GOOD 3PTR by ROBERTS,ERIC",1
--,,,,,"ASSIST  by MOORE,AUSTIN",,,"ASSIST  by MOORE,AUSTIN",1
10:40,"MISS 3PTR by BOBO,ZACH",,,,,,,"MISS 3PTR by BOBO,ZACH",1
--,,,,,"REBOUND DEF by CALAMESE,MICHAEL",,,"REBOUND DEF by CALAMESE,MICHAEL",1
10:26,"FOUL  by GREEN,CHRIS",,,,,,,"FOUL  by GREEN,CHRIS",1
10:26,,,,,"SUB IN by HALL,MARCIS",,,"SUB IN by HALL,MARCIS",1
10:26,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
10:26,,,,,"SUB OUT by ABELL,STEPHEN",,,"SUB OUT by ABELL,STEPHEN",1
10:26,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",1
10:19,,,,,"MISS LAYUP by HALL,MARCIS",,,"MISS LAYUP by HALL,MARCIS",1
--,"REBOUND DEF by GRAY,DYLAN",,,,,,,"REBOUND DEF by GRAY,DYLAN",1
10:06,"MISS LAYUP by GRAY,DYLAN",,,,,,,"MISS LAYUP by GRAY,DYLAN",1
--,,,,,"REBOUND DEF by MOORE,AUSTIN",,,"REBOUND DEF by MOORE,AUSTIN",1
09:58,,,,,"TURNOVER  by MOORE,AUSTIN",,,"TURNOVER  by MOORE,AUSTIN",1
09:57,"STEAL  by GRAY,DYLAN",,,,,,,"STEAL  by GRAY,DYLAN",1
09:31,"MISS 3PTR by BOBO,ZACH",,,,,,,"MISS 3PTR by BOBO,ZACH",1
--,,,,,"REBOUND DEF by ROBERTS,ERIC",,,"REBOUND DEF by ROBERTS,ERIC",1
09:17,,7,,21 (+14),"GOOD 3PTR by LINK,JACOB",HXM 7-21 (+14),,"GOOD 3PTR by LINK,JACOB",1
09:01,"TURNOVER  by CONLEY,CLAY",,,,,,,"TURNOVER  by CONLEY,CLAY",1
09:00,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
08:57,,7,,23 (+16),"GOOD LAYUP by LINK,JACOB(fastbreak)(in the paint)",HXM 7-23 (+16),,"GOOD LAYUP by LINK,JACOB(fastbreak)(in the paint)",1
08:48,"SUB IN by DUPOR,RENO",,,,,,,"SUB IN by DUPOR,RENO",1
08:48,"SUB IN by JOHNSON,BRYSON",,,,,,,"SUB IN by JOHNSON,BRYSON",1
08:48,"SUB OUT by GREEN,CHRIS",,,,,,,"SUB OUT by GREEN,CHRIS",1
08:48,"SUB OUT by CONLEY,CLAY",,,,,,,"SUB OUT by CONLEY,CLAY",1
08:48,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",1
08:48,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
08:28,"MISS LAYUP by JOHNSON,BRYSON",,,,,,,"MISS LAYUP by JOHNSON,BRYSON",1
--,,,,,"REBOUND DEF by MOORE,AUSTIN",,,"REBOUND DEF by MOORE,AUSTIN",1
08:07,"FOUL  by WILHELM,CORY",,,,,,,"FOUL  by WILHELM,CORY",1
08:00,,,,,"MISS 3PTR by MOORE,AUSTIN",,,"MISS 3PTR by MOORE,AUSTIN",1
--,"REBOUND DEF by DUPOR,RENO",,,,,,,"REBOUND DEF by DUPOR,RENO",1
07:40,"MISS 3PTR by DUPOR,RENO",,,,,,,"MISS 3PTR by DUPOR,RENO",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
07:06,"MISS 3PTR by BOBO,ZACH",,,,,,,"MISS 3PTR by BOBO,ZACH",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:56,"SUB IN by KNIGHT,KELVIN",,,,,,,"SUB IN by KNIGHT,KELVIN",1
06:56,"SUB IN by HALL,JOEY",,,,,,,"SUB IN by HALL,JOEY",1
06:56,"SUB OUT by BOBO,ZACH",,,,,,,"SUB OUT by BOBO,ZACH",1
06:56,"SUB OUT by WILHELM,CORY",,,,,,,"SUB OUT by WILHELM,CORY",1
06:56,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",1
06:56,,,,,"SUB OUT by ROBERTS,ERIC",,,"SUB OUT by ROBERTS,ERIC",1
06:53,"MISS JUMPER by GRAY,DYLAN",,,,,,,"MISS JUMPER by GRAY,DYLAN",1
--,"REBOUND OFF by KNIGHT,KELVIN",,,,,,,"REBOUND OFF by KNIGHT,KELVIN",1
06:48,"MISS LAYUP by KNIGHT,KELVIN",,,,,,,"MISS LAYUP by KNIGHT,KELVIN",1
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",1
06:39,,,,,"MISS 3PTR by MOORE,AUSTIN",,,"MISS 3PTR by MOORE,AUSTIN",1
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",1
06:33,,7,,25 (+18),"GOOD LAYUP by LINK,JACOB(in the paint)",HXM 7-25 (+18),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
06:33,"FOUL  by KNIGHT,KELVIN",,,,,,,"FOUL  by KNIGHT,KELVIN",1
06:33,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",1
--,"REBOUND DEF by ADKINS,JORDAN",,,,,,,"REBOUND DEF by ADKINS,JORDAN",1
06:33,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",1
06:33,,,,,"SUB OUT by MOORE,AUSTIN",,,"SUB OUT by MOORE,AUSTIN",1
06:25,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
06:25,"MISS FT by KNIGHT,KELVIN",,,,,,,"MISS FT by KNIGHT,KELVIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:25,"MISS FT by KNIGHT,KELVIN",,,,,,,"MISS FT by KNIGHT,KELVIN",1
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",1
06:25,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
06:25,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
06:17,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",1
--,"REBOUND DEF by GRAY,DYLAN",,,,,,,"REBOUND DEF by GRAY,DYLAN",1
06:09,"FOUL  by DUPOR,RENO",,,,,,,"FOUL  by DUPOR,RENO",1
05:56,,,,,"MISS LAYUP by CRISWELL,SEAN",,,"MISS LAYUP by CRISWELL,SEAN",1
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",1
05:52,,,,,"MISS LAYUP by HALL,MARCIS",,,"MISS LAYUP by HALL,MARCIS",1
--,"REBOUND DEF by KNIGHT,KELVIN",,,,,,,"REBOUND DEF by KNIGHT,KELVIN",1
05:44,"GOOD 3PTR by GRAY,DYLAN",10,,25 (+15),,UO 10-25 (+15),,"GOOD 3PTR by GRAY,DYLAN",1
--,"ASSIST  by JOHNSON,BRYSON",,,,,,,"ASSIST  by JOHNSON,BRYSON",1
05:32,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",1
05:27,,10,,27 (+17),"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 10-27 (+17),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
05:10,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
05:10,"GOOD FT by KNIGHT,KELVIN",11,,27 (+16),,UO 11-27 (+16),,"GOOD FT by KNIGHT,KELVIN",1
05:10,"MISS FT by GRAY,DYLAN",,,,,,,"MISS FT by GRAY,DYLAN",1
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",1
05:10,"SUB IN by TURPIN,TIM",,,,,,,"SUB IN by TURPIN,TIM",1
05:10,"SUB OUT by KNIGHT,KELVIN",,,,,,,"SUB OUT by KNIGHT,KELVIN",1
04:58,,11,,29 (+18),"GOOD LAYUP by CRISWELL,SEAN(in the paint)",HXM 11-29 (+18),,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",1
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",1
04:40,"MISS 3PTR by JOHNSON,BRYSON",,,,,,,"MISS 3PTR by JOHNSON,BRYSON",1
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",1
04:32,,,,,"MISS LAYUP by HALL,MARCIS",,,"MISS LAYUP by HALL,MARCIS",1
--,"REBOUND DEF by JOHNSON,BRYSON",,,,,,,"REBOUND DEF by JOHNSON,BRYSON",1
04:26,,,,,"FOUL  by CRISWELL,SEAN",,,"FOUL  by CRISWELL,SEAN",1
04:26,"SUB IN by BOBO,ZACH",,,,,,,"SUB IN by BOBO,ZACH",1
04:26,"SUB IN by BARNES,SKYLER",,,,,,,"SUB IN by BARNES,SKYLER",1
04:26,"SUB OUT by DUPOR,RENO",,,,,,,"SUB OUT by DUPOR,RENO",1
04:26,"SUB OUT by HALL,JOEY",,,,,,,"SUB OUT by HALL,JOEY",1
04:26,,,,,"SUB IN by ROBERTS,ERIC",,,"SUB IN by ROBERTS,ERIC",1
04:26,,,,,"SUB IN by FISHER,ELI",,,"SUB IN by FISHER,ELI",1
04:26,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",1
04:26,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
04:17,"GOOD LAYUP by TURPIN,TIM(in the paint)",13,,29 (+16),,UO 13-29 (+16),,"GOOD LAYUP by TURPIN,TIM(in the paint)",1
--,"ASSIST  by GRAY,DYLAN",,,,,,,"ASSIST  by GRAY,DYLAN",1
04:07,"FOUL  by BARNES,SKYLER",,,,,,,"FOUL  by BARNES,SKYLER",1
04:07,,13,,30 (+17),"GOOD FT by ROBERTS,ERIC",HXM 13-30 (+17),,"GOOD FT by ROBERTS,ERIC",1
04:07,,,,,"MISS FT by ROBERTS,ERIC",,,"MISS FT by ROBERTS,ERIC",1
--,"REBOUND DEF by JENKINS,KEON",,,,,,,"REBOUND DEF by JENKINS,KEON",1
04:07,"SUB IN by JENKINS,KEON",,,,,,,"SUB IN by JENKINS,KEON",1
04:07,"SUB OUT by GRAY,DYLAN",,,,,,,"SUB OUT by GRAY,DYLAN",1
04:02,"MISS JUMPER by JENKINS,KEON",,,,,,,"MISS JUMPER by JENKINS,KEON",1
--,"REBOUND OFF by JENKINS,KEON",,,,,,,"REBOUND OFF by JENKINS,KEON",1
03:56,"FOUL  by JENKINS,KEON",,,,,,,"FOUL  by JENKINS,KEON",1
03:38,,,,,"MISS 3PTR by FISHER,ELI",,,"MISS 3PTR by FISHER,ELI",1
03:35,,,,,"FOUL  by ROBERTS,ERIC",,,"FOUL  by ROBERTS,ERIC",1
03:35,"MISS FT by TURPIN,TIM",,,,,,,"MISS FT by TURPIN,TIM",1
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",1
03:20,,,,,"FOUL  by HALL,MARCIS",,,"FOUL  by HALL,MARCIS",1
03:20,"MISS FT by BOBO,ZACH",,,,,,,"MISS FT by BOBO,ZACH",1
--,,,,,"REBOUND DEF by ROUSE,TREY",,,"REBOUND DEF by ROUSE,TREY",1
03:04,,,,,"MISS 3PTR by FISHER,ELI",,,"MISS 3PTR by FISHER,ELI",1
--,"REBOUND DEF by BARNES,SKYLER",,,,,,,"REBOUND DEF by BARNES,SKYLER",1
02:56,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",15,,30 (+15),,UO 15-30 (+15),,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",1
02:38,,,,,"MISS LAYUP by ROUSE,TREY",,,"MISS LAYUP by ROUSE,TREY",1
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",1
02:35,,,,,"MISS LAYUP by HALL,MARCIS",,,"MISS LAYUP by HALL,MARCIS",1
--,"REBOUND DEF by BOBO,ZACH",,,,,,,"REBOUND DEF by BOBO,ZACH",1
02:27,"GOOD LAYUP by TURPIN,TIM(in the paint)",17,,30 (+13),,UO 17-30 (+13),,"GOOD LAYUP by TURPIN,TIM(in the paint)",1
--,"ASSIST  by BOBO,ZACH",,,,,,,"ASSIST  by BOBO,ZACH",1
02:03,,17,,32 (+15),"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 17-32 (+15),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
01:53,"TURNOVER  by DUPOR,RENO",,,,,,,"TURNOVER  by DUPOR,RENO",1
01:46,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:42,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
01:42,,,,,"SUB IN by MOORE,AUSTIN",,,"SUB IN by MOORE,AUSTIN",1
01:42,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",1
01:42,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
01:27,"GOOD JUMPER by TURPIN,TIM",19,,32 (+13),,UO 19-32 (+13),,"GOOD JUMPER by TURPIN,TIM",1
--,"ASSIST  by JOHNSON,BRYSON",,,,,,,"ASSIST  by JOHNSON,BRYSON",1
00:59,,,,,"MISS LAYUP by MOORE,AUSTIN",,,"MISS LAYUP by MOORE,AUSTIN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
00:57,"FOUL  by JENKINS,KEON",,,,,,,"FOUL  by JENKINS,KEON",1
00:57,,19,,33 (+14),"GOOD FT by ROBERTS,ERIC",HXM 19-33 (+14),,"GOOD FT by ROBERTS,ERIC",1
00:57,,19,,34 (+15),"GOOD FT by ROBERTS,ERIC",HXM 19-34 (+15),,"GOOD FT by ROBERTS,ERIC",1
00:57,"SUB IN by GRAY,DYLAN",,,,,,,"SUB IN by GRAY,DYLAN",1
00:57,"SUB IN by KNIGHT,KELVIN",,,,,,,"SUB IN by KNIGHT,KELVIN",1
00:57,"SUB OUT by TURPIN,TIM",,,,,,,"SUB OUT by TURPIN,TIM",1
00:57,"SUB OUT by BARNES,SKYLER",,,,,,,"SUB OUT by BARNES,SKYLER",1
00:57,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
00:57,,,,,"SUB OUT by ROBERTS,ERIC",,,"SUB OUT by ROBERTS,ERIC",1
00:43,"TURNOVER  by GRAY,DYLAN",,,,,,,"TURNOVER  by GRAY,DYLAN",1
00:41,,,,,"STEAL  by CALAMESE,MICHAEL",,,"STEAL  by CALAMESE,MICHAEL",1
00:38,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:22,,,,,"MISS 3PTR by FISHER,ELI",,,"MISS 3PTR by FISHER,ELI",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
00:11,"GOOD 3PTR by BARNES,SKYLER",22,,34 (+12),,UO 22-34 (+12),,"GOOD 3PTR by BARNES,SKYLER",1
--,"ASSIST  by JOHNSON,BRYSON",,,,,,,"ASSIST  by JOHNSON,BRYSON",1
00:02,,,,,"MISS 3PTR by CALAMESE,MICHAEL",,,"MISS 3PTR by CALAMESE,MICHAEL",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:46,,,,,"MISS 3PTR by CRISWELL,SEAN",,,"MISS 3PTR by CRISWELL,SEAN",2
--,"REBOUND DEF by JOHNSON,BRYSON",,,,,,,"REBOUND DEF by JOHNSON,BRYSON",2
19:37,"MISS 3PTR by GRAY,DYLAN",,,,,,,"MISS 3PTR by GRAY,DYLAN",2
--,"REBOUND OFF by BARNES,SKYLER",,,,,,,"REBOUND OFF by BARNES,SKYLER",2
19:26,"GOOD JUMPER by GRAY,DYLAN",24,,34 (+10),,UO 24-34 (+10),,"GOOD JUMPER by GRAY,DYLAN",2
19:09,,,,,"MISS JUMPER by ROUSE,TREY",,,"MISS JUMPER by ROUSE,TREY",2
--,"REBOUND DEF by GRAY,DYLAN",,,,,,,"REBOUND DEF by GRAY,DYLAN",2
19:01,"MISS LAYUP by JOHNSON,BRYSON",,,,,,,"MISS LAYUP by JOHNSON,BRYSON",2
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",2
18:49,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",2
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",2
18:46,"FOUL  by JOHNSON,BRYSON",,,,,,,"FOUL  by JOHNSON,BRYSON",2
18:46,,,,,"MISS FT by HALL,MARCIS",,,"MISS FT by HALL,MARCIS",2
