Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,ACM,Game Score,Team Indicator,Play,Period
02:42,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",2
02:42,"SUB OUT by CRISWELL,SEAN",,,,,,,"SUB OUT by CRISWELL,SEAN",2
02:09,,76,,84 (+8),"GOOD JUMPER by MERCADEL,JUSTICE(in the paint)",ACM 76-84 (-8),,"GOOD JUMPER by MERCADEL,JUSTICE(in the paint)",2
01:56,"TURNOVER  by CALAMESE,MICHAEL",,,,,,,"TURNOVER  by CALAMESE,MICHAEL",2
01:56,,,,,"STEAL  by QUINN,JOSH",,,"STEAL  by QUINN,JOSH",2
01:53,,,,,"MISS LAYUP by MERCADEL,JUSTICE",,,"MISS LAYUP by MERCADEL,JUSTICE",2
--,,,,,"REBOUND OFF by HOLLAND,MICHAEL",,,"REBOUND OFF by HOLLAND,MICHAEL",2
01:50,"FOUL  by ROUSE,TREY",,,,,,,"FOUL  by ROUSE,TREY",2
01:50,,,,,"MISS FT by HOLLAND,MICHAEL",,,"MISS FT by HOLLAND,MICHAEL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:50,,76,,85 (+9),"GOOD FT by HOLLAND,MICHAEL",ACM 76-85 (-9),,"GOOD FT by HOLLAND,MICHAEL",2
01:38,"MISS LAYUP by ROUSE,TREY",,,,,,,"MISS LAYUP by ROUSE,TREY",2
--,"REBOUND OFF by HALL,MARCIS",,,,,,,"REBOUND OFF by HALL,MARCIS",2
01:34,"GOOD LAYUP by HALL,MARCIS(in the paint)",78,,85 (+7),,HXM 78-85 (-7),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
01:16,,,,,"MISS 3PTR by MERCADEL,JUSTICE",,,"MISS 3PTR by MERCADEL,JUSTICE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
01:03,"MISS JUMPER by CALAMESE,MICHAEL",,,,,,,"MISS JUMPER by CALAMESE,MICHAEL",2
--,,,,,"REBOUND DEF by GARRETT,JOSH",,,"REBOUND DEF by GARRETT,JOSH",2
00:51,"FOUL  by NOTLEY,CHANDLER",,,,,,,"FOUL  by NOTLEY,CHANDLER",2
00:51,,78,,86 (+8),"GOOD FT by HOLLAND,MICHAEL",ACM 78-86 (-8),,"GOOD FT by HOLLAND,MICHAEL",2
00:51,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
00:51,,,,,"MISS FT by HOLLAND,MICHAEL",,,"MISS FT by HOLLAND,MICHAEL",2
--,,,,,"REBOUND OFF by HOLLAND,MICHAEL",,,"REBOUND OFF by HOLLAND,MICHAEL",2
00:45,"FOUL  by CALAMESE,MICHAEL",,,,,,,"FOUL  by CALAMESE,MICHAEL",2
00:45,,78,,87 (+9),"GOOD FT by HOGAN,KAM",ACM 78-87 (-9),,"GOOD FT by HOGAN,KAM",2
00:45,,78,,88 (+10),"GOOD FT by HOGAN,KAM",ACM 78-88 (-10),,"GOOD FT by HOGAN,KAM",2
00:36,"MISS 3PTR by MOORE,AUSTIN",,,,,,,"MISS 3PTR by MOORE,AUSTIN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
00:30,"MISS JUMPER by ROUSE,TREY",,,,,,,"MISS JUMPER by ROUSE,TREY",2
--,,,,,"REBOUND DEF by MERCADEL,JUSTICE",,,"REBOUND DEF by MERCADEL,JUSTICE",2
00:27,"FOUL  by NOTLEY,CHANDLER",,,,,,,"FOUL  by NOTLEY,CHANDLER",2
00:27,,,,,"MISS FT by MERCADEL,JUSTICE",,,"MISS FT by MERCADEL,JUSTICE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:27,,78,,89 (+11),"GOOD FT by MERCADEL,JUSTICE",ACM 78-89 (-11),,"GOOD FT by MERCADEL,JUSTICE",2
00:24,,,,,"FOUL  by HOGAN,KAM",,,"FOUL  by HOGAN,KAM",2
00:24,"MISS FT by CALAMESE,MICHAEL",,,,,,,"MISS FT by CALAMESE,MICHAEL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:24,"GOOD FT by CALAMESE,MICHAEL",79,,89 (+10),,HXM 79-89 (-10),,"GOOD FT by CALAMESE,MICHAEL",2
00:24,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",2
00:24,"SUB OUT by NOTLEY,CHANDLER",,,,,,,"SUB OUT by NOTLEY,CHANDLER",2
00:24,,,,,"SUB IN by HARDWICK,JOSH",,,"SUB IN by HARDWICK,JOSH",2
00:24,,,,,"SUB OUT by HOGAN,KAM",,,"SUB OUT by HOGAN,KAM",2
00:20,"FOUL  by CALAMESE,MICHAEL",,,,,,,"FOUL  by CALAMESE,MICHAEL",2
00:20,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
00:20,,79,,90 (+11),"GOOD FT by MERCADEL,JUSTICE",ACM 79-90 (-11),,"GOOD FT by MERCADEL,JUSTICE",2
00:20,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",2
00:20,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",2
00:18,,,,,"MISS FT by MERCADEL,JUSTICE",,,"MISS FT by MERCADEL,JUSTICE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:13,"GOOD 3PTR by ROUSE,TREY",82,,90 (+8),,HXM 82-90 (-8),,"GOOD 3PTR by ROUSE,TREY",2
--,"ASSIST ASSIST by BRASFIELD,KAM",,,,,,,"ASSIST ASSIST by BRASFIELD,KAM",2
00:11,,,,,"TURNOVER  by MERCADEL,JUSTICE",,,"TURNOVER  by MERCADEL,JUSTICE",2
00:10,"STEAL  by BRASFIELD,KAM",,,,,,,"STEAL  by BRASFIELD,KAM",2
00:09,,,,,"FOUL  by QUINN,JOSH",,,"FOUL  by QUINN,JOSH",2
00:09,"MISS FT by BRASFIELD,KAM",,,,,,,"MISS FT by BRASFIELD,KAM",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:09,"GOOD FT by BRASFIELD,KAM",83,,90 (+7),,HXM 83-90 (-7),,"GOOD FT by BRASFIELD,KAM",2
00:09,,,,,"SUB IN by HILL,KAMERON",,,"SUB IN by HILL,KAMERON",2
00:09,,,,,"SUB OUT by QUINN,JOSH",,,"SUB OUT by QUINN,JOSH",2
00:07,"FOUL  by BRASFIELD,KAM",,,,,,,"FOUL  by BRASFIELD,KAM",2
00:07,,,,,"MISS FT by HARDWICK,JOSH",,,"MISS FT by HARDWICK,JOSH",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:07,,83,,91 (+8),"GOOD FT by HARDWICK,JOSH",ACM 83-91 (-8),,"GOOD FT by HARDWICK,JOSH",2
00:04,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",2
00:03,,,,,"STEAL  by MERCADEL,JUSTICE",,,"STEAL  by MERCADEL,JUSTICE",2
