Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,MILMB,Game Score,Team Indicator,Play,Period
16:27,"FOUL  by BRASFIELD,KAM",,,,,,,"FOUL  by BRASFIELD,KAM",2
16:27,,35,,49 (+14),"GOOD FT by SULLIVAN,MICHAEL",MILMB 35-49 (-14),,"GOOD FT by SULLIVAN,MICHAEL",2
16:27,,35,,50 (+15),"GOOD FT by SULLIVAN,MICHAEL",MILMB 35-50 (-15),,"GOOD FT by SULLIVAN,MICHAEL",2
16:15,"TURNOVER  by CALAMESE,MICHAEL",,,,,,,"TURNOVER  by CALAMESE,MICHAEL",2
16:15,,,,,"STEAL  by SULLIVAN,MICHAEL",,,"STEAL  by SULLIVAN,MICHAEL",2
16:15,,,,,"TURNOVER  by SULLIVAN,MICHAEL",,,"TURNOVER  by SULLIVAN,MICHAEL",2
16:09,"GOOD LAYUP by HALL,MARCIS(in the paint)",37,,50 (+13),,HXM 37-50 (-13),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
15:47,,,,,"TURNOVER  by MILLER,JOSHUA",,,"TURNOVER  by MILLER,JOSHUA",2
15:45,"STEAL  by CALAMESE,MICHAEL",,,,,,,"STEAL  by CALAMESE,MICHAEL",2
15:41,"MISS 3PTR by BRASFIELD,KAM",,,,,,,"MISS 3PTR by BRASFIELD,KAM",2
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",2
15:30,,37,,53 (+16),"GOOD 3PTR by SULLIVAN,MICHAEL",MILMB 37-53 (-16),,"GOOD 3PTR by SULLIVAN,MICHAEL",2
15:15,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",2
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",2
15:05,,37,,56 (+19),"GOOD 3PTR by SULLIVAN,MICHAEL",MILMB 37-56 (-19),,"GOOD 3PTR by SULLIVAN,MICHAEL",2
--,,,,,"ASSIST  by MILLER,JOSHUA",,,"ASSIST  by MILLER,JOSHUA",2
14:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
14:50,"GOOD FT by SMITH,PRESTON",38,,56 (+18),,HXM 38-56 (-18),,"GOOD FT by SMITH,PRESTON",2
14:50,"GOOD FT by SMITH,PRESTON",39,,56 (+17),,HXM 39-56 (-17),,"GOOD FT by SMITH,PRESTON",2
14:50,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",2
14:50,"SUB IN by FISHER,ELI",,,,,,,"SUB IN by FISHER,ELI",2
14:50,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",2
14:50,,,,,"SUB IN by BURNETT,DREW",,,"SUB IN by BURNETT,DREW",2
14:50,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",2
14:50,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",2
14:50,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",2
14:50,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",2
14:50,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",2
14:33,,39,,59 (+20),"GOOD 3PTR by SULLIVAN,MICHAEL",MILMB 39-59 (-20),,"GOOD 3PTR by SULLIVAN,MICHAEL",2
--,,,,,"ASSIST  by BURNETT,DREW",,,"ASSIST  by BURNETT,DREW",2
14:30,"FOUL  by CRISWELL,SEAN",,,,,,,"FOUL  by CRISWELL,SEAN",2
14:30,,39,,60 (+21),"GOOD FT by SULLIVAN,MICHAEL",MILMB 39-60 (-21),,"GOOD FT by SULLIVAN,MICHAEL",2
14:30,,,,,"SUB IN by MILLER,JOSHUA",,,"SUB IN by MILLER,JOSHUA",2
14:30,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",2
14:04,"MISS 3PTR by CRISWELL,SEAN",,,,,,,"MISS 3PTR by CRISWELL,SEAN",2
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",2
13:57,,,,,"TURNOVER  by GRANT,SHE'CHEM",,,"TURNOVER  by GRANT,SHE'CHEM",2
13:55,"STEAL  by CRISWELL,SEAN",,,,,,,"STEAL  by CRISWELL,SEAN",2
13:51,"MISS 3PTR by FISHER,ELI",,,,,,,"MISS 3PTR by FISHER,ELI",2
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",2
13:38,"FOUL  by FISHER,ELI",,,,,,,"FOUL  by FISHER,ELI",2
13:17,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",,,"MISS 3PTR by SULLIVAN,MICHAEL",2
--,,,,,"REBOUND OFF by OWENS,MATT",,,"REBOUND OFF by OWENS,MATT",2
13:12,,39,,62 (+23),"GOOD LAYUP by OWENS,MATT(in the paint)",MILMB 39-62 (-23),,"GOOD LAYUP by OWENS,MATT(in the paint)",2
13:04,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by OWENS,MATT",,,"REBOUND DEF by OWENS,MATT",2
12:44,,,,,"MISS JUMPER by OWENS,MATT",,,"MISS JUMPER by OWENS,MATT",2
--,"REBOUND DEF by CALAMESE,MICHAEL",,,,,,,"REBOUND DEF by CALAMESE,MICHAEL",2
12:38,"MISS LAYUP by CALAMESE,MICHAEL",,,,,,,"MISS LAYUP by CALAMESE,MICHAEL",2
12:38,,,,,"BLOCK  by BURNETT,DREW",,,"BLOCK  by BURNETT,DREW",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
12:38,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
12:38,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",2
12:38,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",2
12:21,"FOUL  by FISHER,ELI",,,,,,,"FOUL  by FISHER,ELI",2
12:02,,,,,"MISS LAYUP by OWENS,MATT",,,"MISS LAYUP by OWENS,MATT",2
12:02,"BLOCK  by FISHER,ELI",,,,,,,"BLOCK  by FISHER,ELI",2
--,"REBOUND DEF by HALL,MARCIS",,,,,,,"REBOUND DEF by HALL,MARCIS",2
11:52,"GOOD LAYUP by HALL,MARCIS(in the paint)",41,,62 (+21),,HXM 41-62 (-21),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
--,"ASSIST  by CALAMESE,MICHAEL",,,,,,,"ASSIST  by CALAMESE,MICHAEL",2
11:52,,,,,"FOUL  by OWENS,MATT",,,"FOUL  by OWENS,MATT",2
11:52,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
11:52,"MISS FT by HALL,MARCIS",,,,,,,"MISS FT by HALL,MARCIS",2
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",2
11:52,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",2
11:52,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",2
11:52,,,,,"SUB OUT by BURNETT,DREW",,,"SUB OUT by BURNETT,DREW",2
11:52,,,,,"SUB OUT by OWENS,MATT",,,"SUB OUT by OWENS,MATT",2
11:41,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",2
11:39,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",2
11:39,"SUB OUT by FISHER,ELI",,,,,,,"SUB OUT by FISHER,ELI",2
11:36,"FOUL  by HALL,MARCIS",,,,,,,"FOUL  by HALL,MARCIS",2
11:36,,41,,63 (+22),"GOOD FT by SPIKES,KALVIN",MILMB 41-63 (-22),,"GOOD FT by SPIKES,KALVIN",2
11:36,,41,,64 (+23),"GOOD FT by SPIKES,KALVIN",MILMB 41-64 (-23),,"GOOD FT by SPIKES,KALVIN",2
11:21,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",2
11:21,"GOOD FT by CALAMESE,MICHAEL",42,,64 (+22),,HXM 42-64 (-22),,"GOOD FT by CALAMESE,MICHAEL",2
11:21,"GOOD FT by CALAMESE,MICHAEL",43,,64 (+21),,HXM 43-64 (-21),,"GOOD FT by CALAMESE,MICHAEL",2
10:57,,,,,"TURNOVER  by SPIKES,KALVIN",,,"TURNOVER  by SPIKES,KALVIN",2
10:55,"STEAL  by CRISWELL,SEAN",,,,,,,"STEAL  by CRISWELL,SEAN",2
10:44,,,,,"FOUL  by MILLER,JOSHUA",,,"FOUL  by MILLER,JOSHUA",2
10:44,,,,,"SUB IN by SULLIVAN,MICHAEL",,,"SUB IN by SULLIVAN,MICHAEL",2
10:44,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",2
10:31,"MISS LAYUP by CALAMESE,MICHAEL",,,,,,,"MISS LAYUP by CALAMESE,MICHAEL",2
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",2
10:15,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",2
10:03,"GOOD JUMPER by HALL,MARCIS(in the paint)",45,,64 (+19),,HXM 45-64 (-19),,"GOOD JUMPER by HALL,MARCIS(in the paint)",2
09:42,,,,,"MISS LAYUP by BLANZ,BUCK",,,"MISS LAYUP by BLANZ,BUCK",2
09:42,"BLOCK  by HALL,MARCIS",,,,,,,"BLOCK  by HALL,MARCIS",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
09:15,,45,,66 (+21),"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",MILMB 45-66 (-21),,"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",2
--,,,,,"ASSIST  by MILLER,JOSHUA",,,"ASSIST  by MILLER,JOSHUA",2
08:58,"MISS JUMPER by HALL,MARCIS",,,,,,,"MISS JUMPER by HALL,MARCIS",2
--,"REBOUND OFF by HALL,MARCIS",,,,,,,"REBOUND OFF by HALL,MARCIS",2
08:54,"GOOD LAYUP by HALL,MARCIS(in the paint)",47,,66 (+19),,HXM 47-66 (-19),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
08:39,,,,,"TURNOVER  by SULLIVAN,MICHAEL",,,"TURNOVER  by SULLIVAN,MICHAEL",2
08:39,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",2
08:39,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",2
08:39,,,,,"SUB IN by CARVELLI,CAMERON",,,"SUB IN by CARVELLI,CAMERON",2
08:39,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",2
08:39,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",2
08:39,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",2
08:24,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND OFF by CRISWELL,SEAN",,,,,,,"REBOUND OFF by CRISWELL,SEAN",2
08:19,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",49,,66 (+17),,HXM 49-66 (-17),,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",2
07:57,,49,,68 (+19),"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",MILMB 49-68 (-19),,"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",2
07:47,"TURNOVER  by CALAMESE,MICHAEL",,,,,,,"TURNOVER  by CALAMESE,MICHAEL",2
07:47,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
07:42,,49,,70 (+21),"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",MILMB 49-70 (-21),,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",2
--,,,,,"ASSIST  by CARVELLI,CAMERON",,,"ASSIST  by CARVELLI,CAMERON",2
07:21,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",2
07:21,"MISS FT by HALL,MARCIS",,,,,,,"MISS FT by HALL,MARCIS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:21,"GOOD FT by HALL,MARCIS",50,,70 (+20),,HXM 50-70 (-20),,"GOOD FT by HALL,MARCIS",2
07:04,"FOUL  by HALL,MARCIS",,,,,,,"FOUL  by HALL,MARCIS",2
07:04,,50,,71 (+21),"GOOD FT by SPIKES,KALVIN",MILMB 50-71 (-21),,"GOOD FT by SPIKES,KALVIN",2
07:04,,,,,"MISS FT by SPIKES,KALVIN",,,"MISS FT by SPIKES,KALVIN",2
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",2
07:04,,,,,"SUB IN by MILLER,JOSHUA",,,"SUB IN by MILLER,JOSHUA",2
07:04,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",2
06:52,"TURNOVER  by CRISWELL,SEAN",,,,,,,"TURNOVER  by CRISWELL,SEAN",2
06:50,,,,,"STEAL  by MILLER,JOSHUA",,,"STEAL  by MILLER,JOSHUA",2
06:36,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",2
06:36,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",2
06:36,,,,,"SUB IN by LEONCE,JOSH",,,"SUB IN by LEONCE,JOSH",2
06:36,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",2
06:36,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",2
06:28,"MISS JUMPER by SMITH,PRESTON",,,,,,,"MISS JUMPER by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",2
06:18,,50,,73 (+23),"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",MILMB 50-73 (-23),,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",2
06:18,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",2
06:18,,,,,"MISS FT by SULLIVAN,MICHAEL",,,"MISS FT by SULLIVAN,MICHAEL",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
06:12,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
06:12,,,,,"SUB IN by MANNING,JOHNATHAN",,,"SUB IN by MANNING,JOHNATHAN",2
06:12,,,,,"SUB OUT by CARVELLI,CAMERON",,,"SUB OUT by CARVELLI,CAMERON",2
06:05,"GOOD JUMPER by BRASFIELD,KAM",52,,73 (+21),,HXM 52-73 (-21),,"GOOD JUMPER by BRASFIELD,KAM",2
05:50,,52,,75 (+23),"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",MILMB 52-75 (-23),,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",2
05:38,"MISS 3PTR by CRISWELL,SEAN",,,,,,,"MISS 3PTR by CRISWELL,SEAN",2
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",2
05:13,,,,,"MISS JUMPER by SULLIVAN,MICHAEL",,,"MISS JUMPER by SULLIVAN,MICHAEL",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
05:11,,,,,"FOUL  by SULLIVAN,MICHAEL",,,"FOUL  by SULLIVAN,MICHAEL",2
05:11,"GOOD FT by SMITH,PRESTON",53,,75 (+22),,HXM 53-75 (-22),,"GOOD FT by SMITH,PRESTON",2
05:11,"GOOD FT by SMITH,PRESTON",54,,75 (+21),,HXM 54-75 (-21),,"GOOD FT by SMITH,PRESTON",2
05:11,"SUB IN by FISHER,ELI",,,,,,,"SUB IN by FISHER,ELI",2
05:11,"SUB OUT by CRISWELL,SEAN",,,,,,,"SUB OUT by CRISWELL,SEAN",2
04:58,,,,,"MISS LAYUP by SULLIVAN,MICHAEL",,,"MISS LAYUP by SULLIVAN,MICHAEL",2
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",2
04:43,"GOOD LAYUP by HALL,MARCIS(in the paint)",56,,75 (+19),,HXM 56-75 (-19),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",2
04:18,,,,,"MISS 3PTR by BLANZ,BUCK",,,"MISS 3PTR by BLANZ,BUCK",2
--,"REBOUND DEF by HALL,MARCIS",,,,,,,"REBOUND DEF by HALL,MARCIS",2
04:11,,,,,"FOUL  by LEONCE,JOSH",,,"FOUL  by LEONCE,JOSH",2
04:11,"MISS FT by HALL,MARCIS",,,,,,,"MISS FT by HALL,MARCIS",2
--,,,,,"REBOUND DEF by OWENS,MATT",,,"REBOUND DEF by OWENS,MATT",2
04:11,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",2
04:11,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",2
04:11,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",2
04:11,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",2
04:11,,,,,"SUB OUT by LEONCE,JOSH",,,"SUB OUT by LEONCE,JOSH",2
04:11,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",2
03:45,,,,,"MISS JUMPER by MANNING,JOHNATHAN",,,"MISS JUMPER by MANNING,JOHNATHAN",2
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",2
03:35,"GOOD JUMPER by BRASFIELD,KAM",58,,75 (+17),,HXM 58-75 (-17),,"GOOD JUMPER by BRASFIELD,KAM",2
03:17,,,,,"MISS 3PTR by MILLER,JOSHUA",,,"MISS 3PTR by MILLER,JOSHUA",2
--,,,,,"REBOUND OFF by GRANT,SHE'CHEM",,,"REBOUND OFF by GRANT,SHE'CHEM",2
03:17,,58,,77 (+19),"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",MILMB 58-77 (-19),,"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",2
03:17,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
03:06,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",2
02:59,,58,,79 (+21),"GOOD LAYUP by MILLER,JOSHUA(fastbreak)(in the paint)",MILMB 58-79 (-21),,"GOOD LAYUP by MILLER,JOSHUA(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by GRANT,SHE'CHEM",,,"ASSIST  by GRANT,SHE'CHEM",2
02:42,"GOOD 3PTR by BRASFIELD,KAM",61,,79 (+18),,HXM 61-79 (-18),,"GOOD 3PTR by BRASFIELD,KAM",2
--,"ASSIST  by CALAMESE,MICHAEL",,,,,,,"ASSIST  by CALAMESE,MICHAEL",2
02:03,,,,,"MISS LAYUP by OWENS,MATT",,,"MISS LAYUP by OWENS,MATT",2
--,,,,,"REBOUND OFF by TURNER,JAMES",,,"REBOUND OFF by TURNER,JAMES",2
01:52,"FOUL  by HALL,MARCIS",,,,,,,"FOUL  by HALL,MARCIS",2
01:47,,61,,80 (+19),"GOOD FT by TURNER,JAMES",MILMB 61-80 (-19),,"GOOD FT by TURNER,JAMES",2
01:47,,,,,"MISS FT by TURNER,JAMES",,,"MISS FT by TURNER,JAMES",2
--,"REBOUND DEF by CALAMESE,MICHAEL",,,,,,,"REBOUND DEF by CALAMESE,MICHAEL",2
01:47,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",2
01:47,"SUB OUT by HALL,MARCIS",,,,,,,"SUB OUT by HALL,MARCIS",2
01:47,,,,,"SUB IN by COLEMAN,DANIEL",,,"SUB IN by COLEMAN,DANIEL",2
01:47,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",2
01:45,"MISS LAYUP by CALAMESE,MICHAEL",,,,,,,"MISS LAYUP by CALAMESE,MICHAEL",2
--,,,,,"REBOUND DEF by COLEMAN,DANIEL",,,"REBOUND DEF by COLEMAN,DANIEL",2
01:30,,61,,82 (+21),"GOOD LAYUP by OWENS,MATT(in the paint)",MILMB 61-82 (-21),,"GOOD LAYUP by OWENS,MATT(in the paint)",2
--,,,,,"ASSIST  by TURNER,JAMES",,,"ASSIST  by TURNER,JAMES",2
01:27,,,,,"SUB IN by ,RONALD WILLIAMS JR",,,"SUB IN by ,RONALD WILLIAMS JR",2
01:27,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",2
01:27,,,,,"SUB IN by II,DERRICK BURT",,,"SUB IN by II,DERRICK BURT",2
01:27,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",2
01:27,,,,,"SUB OUT by MANNING,JOHNATHAN",,,"SUB OUT by MANNING,JOHNATHAN",2
01:27,,,,,"SUB OUT by OWENS,MATT",,,"SUB OUT by OWENS,MATT",2
01:15,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by COLEMAN,DANIEL",,,"REBOUND DEF by COLEMAN,DANIEL",2
00:49,,61,,84 (+23),"GOOD LAYUP by ,RONALD WILLIAMS JR(in the paint)",MILMB 61-84 (-23),,"GOOD LAYUP by ,RONALD WILLIAMS JR(in the paint)",2
00:38,"MISS 3PTR by BRASFIELD,KAM",,,,,,,"MISS 3PTR by BRASFIELD,KAM",2
--,,,,,"REBOUND DEF by MILLER,JOSHUA",,,"REBOUND DEF by MILLER,JOSHUA",2
00:18,,,,,"MISS 3PTR by COLEMAN,DANIEL",,,"MISS 3PTR by COLEMAN,DANIEL",2
--,,,,,"REBOUND OFF by BECKER,SAXTON",,,"REBOUND OFF by BECKER,SAXTON",2
00:11,"FOUL  by BRASFIELD,KAM",,,,,,,"FOUL  by BRASFIELD,KAM",2
00:11,,61,,85 (+24),"GOOD FT by BECKER,SAXTON",MILMB 61-85 (-24),,"GOOD FT by BECKER,SAXTON",2
00:11,,61,,86 (+25),"GOOD FT by BECKER,SAXTON",MILMB 61-86 (-25),,"GOOD FT by BECKER,SAXTON",2
00:11,,,,,"SUB IN by CARVELLI,CAMERON",,,"SUB IN by CARVELLI,CAMERON",2
00:11,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",2
00:09,"MISS 3PTR by CRAWFORD,TRACE",,,,,,,"MISS 3PTR by CRAWFORD,TRACE",2
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",2
