Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,UO,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by WILHELM,CORY",,,"REBOUND DEF by WILHELM,CORY",1
18:16,,5 (+3),,2,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",UO 5-2 (+3),,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",1
18:07,"MISS 3PTR by MOORE,AUSTIN",,,,,,,"MISS 3PTR by MOORE,AUSTIN",1
--,,,,,"REBOUND DEF by GRAY,DYLAN",,,"REBOUND DEF by GRAY,DYLAN",1
17:47,"FOUL  by BRASFIELD,KAM",,,,,,,"FOUL  by BRASFIELD,KAM",1
17:43,,5 (+1),,4,"GOOD JUMPER by GRAY,DYLAN",UO 5-4 (+1),,"GOOD JUMPER by GRAY,DYLAN",1
--,,,,,"ASSIST  by JOHNSON,BRYSON",,,"ASSIST  by JOHNSON,BRYSON",1
17:24,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",7 (+3),,4,,HXM 7-4 (+3),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
17:22,,,,,"FOUL  by BARNES,SKYLER",,,"FOUL  by BARNES,SKYLER",1
17:16,"GOOD FT by BRASFIELD,KAM",8 (+4),,4,,HXM 8-4 (+4),,"GOOD FT by BRASFIELD,KAM",1
17:16,"SUB IN by ROBERTS,ERIC",,,,,,,"SUB IN by ROBERTS,ERIC",1
17:16,,,,,"SUB IN by KNIGHT,KELVIN",,,"SUB IN by KNIGHT,KELVIN",1
17:16,,,,,"SUB OUT by WILHELM,CORY",,,"SUB OUT by WILHELM,CORY",1
17:05,,,,,"TURNOVER  by BARNES,SKYLER",,,"TURNOVER  by BARNES,SKYLER",1
17:04,"STEAL  by ROBERTS,ERIC",,,,,,,"STEAL  by ROBERTS,ERIC",1
17:00,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",1
17:00,,,,,"BLOCK  by GRAY,DYLAN",,,"BLOCK  by GRAY,DYLAN",1
--,,,,,"REBOUND DEF by JOHNSON,BRYSON",,,"REBOUND DEF by JOHNSON,BRYSON",1
16:55,,8 (+2),,6,"GOOD LAYUP by JOHNSON,BRYSON(fastbreak)(in the paint)",UO 8-6 (+2),,"GOOD LAYUP by JOHNSON,BRYSON(fastbreak)(in the paint)",1
16:38,"MISS JUMPER by CRISWELL,SEAN",,,,,,,"MISS JUMPER by CRISWELL,SEAN",1
--,,,,,"REBOUND DEF by GRAY,DYLAN",,,"REBOUND DEF by GRAY,DYLAN",1
16:25,"FOUL  by CRISWELL,SEAN",,,,,,,"FOUL  by CRISWELL,SEAN",1
16:25,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
16:20,,,,,"SUB IN by BOBO,ZACH",,,"SUB IN by BOBO,ZACH",1
16:20,,,,,"SUB OUT by GRAY,DYLAN",,,"SUB OUT by GRAY,DYLAN",1
16:16,,,,,"TURNOVER  by JOHNSON,BRYSON",,,"TURNOVER  by JOHNSON,BRYSON",1
16:15,"STEAL  by BRASFIELD,KAM",,,,,,,"STEAL  by BRASFIELD,KAM",1
16:14,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",10 (+4),,6,,HXM 10-6 (+4),,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",1
16:00,,10 (+2),,8,"GOOD JUMPER by KNIGHT,KELVIN",UO 10-8 (+2),,"GOOD JUMPER by KNIGHT,KELVIN",1
--,,,,,"ASSIST  by HALL,JOEY",,,"ASSIST  by HALL,JOEY",1
15:45,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",12 (+4),,8,,HXM 12-8 (+4),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
15:28,,,,,"MISS 3PTR by JOHNSON,BRYSON",,,"MISS 3PTR by JOHNSON,BRYSON",1
--,"REBOUND DEF by CALAMESE,MICHAEL",,,,,,,"REBOUND DEF by CALAMESE,MICHAEL",1
15:18,"MISS JUMPER by CALAMESE,MICHAEL",,,,,,,"MISS JUMPER by CALAMESE,MICHAEL",1
--,,,,,"REBOUND DEF by GRAY,DYLAN",,,"REBOUND DEF by GRAY,DYLAN",1
15:09,,12 (+2),,10,"GOOD JUMPER by BOBO,ZACH",UO 12-10 (+2),,"GOOD JUMPER by BOBO,ZACH",1
14:47,"GOOD JUMPER by ROBERTS,ERIC",14 (+4),,10,,HXM 14-10 (+4),,"GOOD JUMPER by ROBERTS,ERIC",1
--,"ASSIST  by CRISWELL,SEAN",,,,,,,"ASSIST  by CRISWELL,SEAN",1
14:22,,,,,"MISS JUMPER by JOHNSON,BRYSON",,,"MISS JUMPER by JOHNSON,BRYSON",1
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",1
14:09,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
14:07,,,,,"STEAL  by GRAY,DYLAN",,,"STEAL  by GRAY,DYLAN",1
14:04,,14 (+2),,12,"GOOD LAYUP by JOHNSON,BRYSON(fastbreak)(in the paint)",UO 14-12 (+2),,"GOOD LAYUP by JOHNSON,BRYSON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GRAY,DYLAN",,,"ASSIST  by GRAY,DYLAN",1
13:42,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",16 (+4),,12,,HXM 16-12 (+4),,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
13:17,,,,,"MISS LAYUP by KNIGHT,KELVIN",,,"MISS LAYUP by KNIGHT,KELVIN",1
--,"REBOUND DEF by ROBERTS,ERIC",,,,,,,"REBOUND DEF by ROBERTS,ERIC",1
13:03,"TURNOVER  by ROBERTS,ERIC",,,,,,,"TURNOVER  by ROBERTS,ERIC",1
13:02,"SUB IN by HALL,MARCIS",,,,,,,"SUB IN by HALL,MARCIS",1
13:02,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",1
13:02,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",1
13:02,,,,,"SUB IN by CONLEY,CLAY",,,"SUB IN by CONLEY,CLAY",1
13:02,,,,,"SUB IN by GREEN,CHRIS",,,"SUB IN by GREEN,CHRIS",1
13:02,,,,,"SUB IN by WILHELM,CORY",,,"SUB IN by WILHELM,CORY",1
13:02,,,,,"SUB OUT by KNIGHT,KELVIN",,,"SUB OUT by KNIGHT,KELVIN",1
13:02,,,,,"SUB OUT by HALL,JOEY",,,"SUB OUT by HALL,JOEY",1
13:02,,,,,"SUB OUT by JOHNSON,BRYSON",,,"SUB OUT by JOHNSON,BRYSON",1
12:49,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
12:44,,16 (+2),,14,"GOOD JUMPER by CONLEY,CLAY",UO 16-14 (+2),,"GOOD JUMPER by CONLEY,CLAY",1
--,,,,,"ASSIST  by WILHELM,CORY",,,"ASSIST  by WILHELM,CORY",1
12:18,,,,,"FOUL  by WILHELM,CORY",,,"FOUL  by WILHELM,CORY",1
12:03,"MISS FT by HALL,MARCIS",,,,,,,"MISS FT by HALL,MARCIS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:03,"MISS FT by HALL,MARCIS",,,,,,,"MISS FT by HALL,MARCIS",1
--,,,,,"REBOUND DEF by BARNES,SKYLER",,,"REBOUND DEF by BARNES,SKYLER",1
11:47,,,,,"MISS JUMPER by CONLEY,CLAY",,,"MISS JUMPER by CONLEY,CLAY",1
--,"REBOUND DEF by CALAMESE,MICHAEL",,,,,,,"REBOUND DEF by CALAMESE,MICHAEL",1
11:37,"MISS LAYUP by HALL,MARCIS",,,,,,,"MISS LAYUP by HALL,MARCIS",1
11:37,,,,,"BLOCK  by BOBO,ZACH",,,"BLOCK  by BOBO,ZACH",1
--,,,,,"REBOUND DEF by BARNES,SKYLER",,,"REBOUND DEF by BARNES,SKYLER",1
11:30,,,,,"MISS 3PTR by CONLEY,CLAY",,,"MISS 3PTR by CONLEY,CLAY",1
--,,,,,"REBOUND OFF by BOBO,ZACH",,,"REBOUND OFF by BOBO,ZACH",1
11:17,,,,,"MISS 3PTR by BARNES,SKYLER",,,"MISS 3PTR by BARNES,SKYLER",1
--,,,,,"REBOUND OFF by CONLEY,CLAY",,,"REBOUND OFF by CONLEY,CLAY",1
11:12,,16,,16,"GOOD LAYUP by CONLEY,CLAY(in the paint)",UO 16-16 (0),,"GOOD LAYUP by CONLEY,CLAY(in the paint)",1
10:57,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,"REBOUND DEF by BOBO,ZACH",,,"REBOUND DEF by BOBO,ZACH",1
10:50,"FOUL  by HALL,MARCIS",,,,,,,"FOUL  by HALL,MARCIS",1
10:48,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",1
10:48,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",1
10:48,"SUB OUT by ROBERTS,ERIC",,,,,,,"SUB OUT by ROBERTS,ERIC",1
10:35,"FOUL  by HALL,MARCIS",,,,,,,"FOUL  by HALL,MARCIS",1
10:30,,,,,"MISS FT by BARNES,SKYLER",,,"MISS FT by BARNES,SKYLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:30,,,,,"MISS FT by BARNES,SKYLER",,,"MISS FT by BARNES,SKYLER",1
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",1
10:30,"SUB IN by CRISWELL,SEAN",,,,,,,"SUB IN by CRISWELL,SEAN",1
10:30,"SUB OUT by HALL,MARCIS",,,,,,,"SUB OUT by HALL,MARCIS",1
10:30,,,,,"SUB IN by GRAY,DYLAN",,,"SUB IN by GRAY,DYLAN",1
10:30,,,,,"SUB OUT by CONLEY,CLAY",,,"SUB OUT by CONLEY,CLAY",1
10:10,"MISS JUMPER by ROUSE,TREY",,,,,,,"MISS JUMPER by ROUSE,TREY",1
--,"REBOUND OFF by ROUSE,TREY",,,,,,,"REBOUND OFF by ROUSE,TREY",1
09:50,"MISS JUMPER by CRAWFORD,TRACE",,,,,,,"MISS JUMPER by CRAWFORD,TRACE",1
09:50,,,,,"BLOCK  by BOBO,ZACH",,,"BLOCK  by BOBO,ZACH",1
--,,,,,"REBOUND DEF by BARNES,SKYLER",,,"REBOUND DEF by BARNES,SKYLER",1
09:43,,,,,"MISS LAYUP by BOBO,ZACH",,,"MISS LAYUP by BOBO,ZACH",1
--,,,,,"REBOUND OFF by WILHELM,CORY",,,"REBOUND OFF by WILHELM,CORY",1
09:40,,,,,"MISS LAYUP by WILHELM,CORY",,,"MISS LAYUP by WILHELM,CORY",1
--,,,,,"REBOUND OFF by BOBO,ZACH",,,"REBOUND OFF by BOBO,ZACH",1
09:24,,,,,"MISS 3PTR by BOBO,ZACH",,,"MISS 3PTR by BOBO,ZACH",1
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",1
09:10,"GOOD JUMPER by ROUSE,TREY",18 (+2),,16,,HXM 18-16 (+2),,"GOOD JUMPER by ROUSE,TREY",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
09:07,"SUB IN by MOORE,AUSTIN",,,,,,,"SUB IN by MOORE,AUSTIN",1
09:07,"SUB OUT by CRAWFORD,TRACE",,,,,,,"SUB OUT by CRAWFORD,TRACE",1
09:07,,,,,"SUB IN by HALL,JOEY",,,"SUB IN by HALL,JOEY",1
09:07,,,,,"SUB IN by DUPOR,RENO",,,"SUB IN by DUPOR,RENO",1
09:07,,,,,"SUB IN by JOHNSON,BRYSON",,,"SUB IN by JOHNSON,BRYSON",1
09:07,,,,,"SUB OUT by BARNES,SKYLER",,,"SUB OUT by BARNES,SKYLER",1
09:07,,,,,"SUB OUT by BOBO,ZACH",,,"SUB OUT by BOBO,ZACH",1
09:07,,,,,"SUB OUT by GREEN,CHRIS",,,"SUB OUT by GREEN,CHRIS",1
08:55,"FOUL  by ROUSE,TREY",,,,,,,"FOUL  by ROUSE,TREY",1
08:47,,,,,"MISS 3PTR by JOHNSON,BRYSON",,,"MISS 3PTR by JOHNSON,BRYSON",1
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",1
08:43,,,,,"FOUL  by WILHELM,CORY",,,"FOUL  by WILHELM,CORY",1
08:41,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
08:41,,,,,"SUB IN by KNIGHT,KELVIN",,,"SUB IN by KNIGHT,KELVIN",1
08:41,,,,,"SUB OUT by WILHELM,CORY",,,"SUB OUT by WILHELM,CORY",1
08:17,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
08:16,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",1
08:16,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",1
08:14,,18,,18,"GOOD LAYUP by KNIGHT,KELVIN(in the paint)",UO 18-18 (0),,"GOOD LAYUP by KNIGHT,KELVIN(in the paint)",1
--,,,,,"ASSIST  by GRAY,DYLAN",,,"ASSIST  by GRAY,DYLAN",1
07:55,"TURNOVER  by NOTLEY,CHANDLER",,,,,,,"TURNOVER  by NOTLEY,CHANDLER",1
07:42,,18,,21 (+3),"GOOD 3PTR by HALL,JOEY",UO 18-21 (-3),,"GOOD 3PTR by HALL,JOEY",1
--,,,,,"ASSIST  by GRAY,DYLAN",,,"ASSIST  by GRAY,DYLAN",1
07:27,"GOOD LAYUP by MOORE,AUSTIN(in the paint)",20,,21 (+1),,HXM 20-21 (-1),,"GOOD LAYUP by MOORE,AUSTIN(in the paint)",1
07:11,,,,,"MISS JUMPER by KNIGHT,KELVIN",,,"MISS JUMPER by KNIGHT,KELVIN",1
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",1
07:04,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",22 (+1),,21,,HXM 22-21 (+1),,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",1
06:49,,,,,"MISS 3PTR by CONLEY,CLAY",,,"MISS 3PTR by CONLEY,CLAY",1
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",1
06:35,,,,,"FOUL  by CONLEY,CLAY",,,"FOUL  by CONLEY,CLAY",1
06:18,"GOOD FT by BRASFIELD,KAM",23 (+2),,21,,HXM 23-21 (+2),,"GOOD FT by BRASFIELD,KAM",1
06:18,"GOOD FT by BRASFIELD,KAM",24 (+3),,21,,HXM 24-21 (+3),,"GOOD FT by BRASFIELD,KAM",1
06:18,,,,,"SUB IN by BARNES,SKYLER",,,"SUB IN by BARNES,SKYLER",1
06:18,,,,,"SUB IN by WILHELM,CORY",,,"SUB IN by WILHELM,CORY",1
06:18,,,,,"SUB OUT by GRAY,DYLAN",,,"SUB OUT by GRAY,DYLAN",1
06:18,,,,,"SUB OUT by KNIGHT,KELVIN",,,"SUB OUT by KNIGHT,KELVIN",1
06:01,,,,,"MISS JUMPER by DUPOR,RENO",,,"MISS JUMPER by DUPOR,RENO",1
--,,,,,"REBOUND OFF by WILHELM,CORY",,,"REBOUND OFF by WILHELM,CORY",1
05:59,,24 (+1),,23,"GOOD LAYUP by WILHELM,CORY(in the paint)",UO 24-23 (+1),,"GOOD LAYUP by WILHELM,CORY(in the paint)",1
05:46,"MISS JUMPER by CALAMESE,MICHAEL",,,,,,,"MISS JUMPER by CALAMESE,MICHAEL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:25,,,,,"MISS JUMPER by CONLEY,CLAY",,,"MISS JUMPER by CONLEY,CLAY",1
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by DUPOR,RENO",,,"REBOUND DEF by DUPOR,RENO",1
05:14,"MISS 3PTR by CALAMESE,MICHAEL",,,,,,,"MISS 3PTR by CALAMESE,MICHAEL",1
--,,,,,"REBOUND DEF by WILHELM,CORY",,,"REBOUND DEF by WILHELM,CORY",1
04:49,,,,,"MISS JUMPER by CONLEY,CLAY",,,"MISS JUMPER by CONLEY,CLAY",1
--,,,,,"REBOUND OFF by BARNES,SKYLER",,,"REBOUND OFF by BARNES,SKYLER",1
04:36,,24,,25 (+1),"GOOD LAYUP by WILHELM,CORY(in the paint)",UO 24-25 (-1),,"GOOD LAYUP by WILHELM,CORY(in the paint)",1
--,,,,,"ASSIST  by BARNES,SKYLER",,,"ASSIST  by BARNES,SKYLER",1
04:27,"MISS 3PTR by MOORE,AUSTIN",,,,,,,"MISS 3PTR by MOORE,AUSTIN",1
--,,,,,"REBOUND DEF by DUPOR,RENO",,,"REBOUND DEF by DUPOR,RENO",1
04:17,,,,,"MISS 3PTR by BARNES,SKYLER",,,"MISS 3PTR by BARNES,SKYLER",1
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",1
04:09,,,,,"SUB IN by CONLEY,CLAY",,,"SUB IN by CONLEY,CLAY",1
04:09,,,,,"SUB OUT by JOHNSON,BRYSON",,,"SUB OUT by JOHNSON,BRYSON",1
04:06,"MISS JUMPER by BRASFIELD,KAM",,,,,,,"MISS JUMPER by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by BARNES,SKYLER",,,"REBOUND DEF by BARNES,SKYLER",1
03:48,,24,,27 (+3),"GOOD JUMPER by CONLEY,CLAY(in the paint)",UO 24-27 (-3),,"GOOD JUMPER by CONLEY,CLAY(in the paint)",1
--,,,,,"ASSIST  by DUPOR,RENO",,,"ASSIST  by DUPOR,RENO",1
03:24,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",1
--,"REBOUND OFF by BRASFIELD,KAM",,,,,,,"REBOUND OFF by BRASFIELD,KAM",1
03:21,"GOOD 3PTR by CALAMESE,MICHAEL",27,,27,,HXM 27-27 (0),,"GOOD 3PTR by CALAMESE,MICHAEL",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
03:06,,,,,"MISS 3PTR by DUPOR,RENO",,,"MISS 3PTR by DUPOR,RENO",1
--,,,,,"REBOUND OFF by BARNES,SKYLER",,,"REBOUND OFF by BARNES,SKYLER",1
03:02,,,,,"MISS LAYUP by BARNES,SKYLER",,,"MISS LAYUP by BARNES,SKYLER",1
--,"REBOUND DEF by NOTLEY,CHANDLER",,,,,,,"REBOUND DEF by NOTLEY,CHANDLER",1
02:52,"MISS 3PTR by CRISWELL,SEAN",,,,,,,"MISS 3PTR by CRISWELL,SEAN",1
--,"REBOUND OFF by BRASFIELD,KAM",,,,,,,"REBOUND OFF by BRASFIELD,KAM",1
02:36,"MISS 3PTR by CRISWELL,SEAN",,,,,,,"MISS 3PTR by CRISWELL,SEAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:33,"SUB IN by ROBERTS,ERIC",,,,,,,"SUB IN by ROBERTS,ERIC",1
02:33,"SUB OUT by CRISWELL,SEAN",,,,,,,"SUB OUT by CRISWELL,SEAN",1
02:33,,,,,"SUB IN by KNIGHT,KELVIN",,,"SUB IN by KNIGHT,KELVIN",1
02:33,,,,,"SUB IN by BOBO,ZACH",,,"SUB IN by BOBO,ZACH",1
02:33,,,,,"SUB IN by GRAY,DYLAN",,,"SUB IN by GRAY,DYLAN",1
02:33,,,,,"SUB OUT by HALL,JOEY",,,"SUB OUT by HALL,JOEY",1
02:33,,,,,"SUB OUT by CONLEY,CLAY",,,"SUB OUT by CONLEY,CLAY",1
02:33,,,,,"SUB OUT by WILHELM,CORY",,,"SUB OUT by WILHELM,CORY",1
02:31,,27,,30 (+3),"GOOD 3PTR by DUPOR,RENO",UO 27-30 (-3),,"GOOD 3PTR by DUPOR,RENO",1
--,,,,,"ASSIST  by BARNES,SKYLER",,,"ASSIST  by BARNES,SKYLER",1
02:15,"TURNOVER  by MOORE,AUSTIN",,,,,,,"TURNOVER  by MOORE,AUSTIN",1
02:13,,,,,"STEAL  by BOBO,ZACH",,,"STEAL  by BOBO,ZACH",1
02:03,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",1
02:03,"SUB OUT by MOORE,AUSTIN",,,,,,,"SUB OUT by MOORE,AUSTIN",1
01:47,"GOOD 3PTR by BRASFIELD,KAM",30,,30,,HXM 30-30 (0),,"GOOD 3PTR by BRASFIELD,KAM",1
--,"ASSIST  by CRISWELL,SEAN",,,,,,,"ASSIST  by CRISWELL,SEAN",1
01:29,,,,,"MISS 3PTR by BOBO,ZACH",,,"MISS 3PTR by BOBO,ZACH",1
--,,,,,"REBOUND OFF by KNIGHT,KELVIN",,,"REBOUND OFF by KNIGHT,KELVIN",1
01:17,"FOUL  by CRAWFORD,TRACE",,,,,,,"FOUL  by CRAWFORD,TRACE",1
01:02,,30,,31 (+1),"GOOD FT by KNIGHT,KELVIN",UO 30-31 (-1),,"GOOD FT by KNIGHT,KELVIN",1
01:02,,30,,32 (+2),"GOOD FT by KNIGHT,KELVIN",UO 30-32 (-2),,"GOOD FT by KNIGHT,KELVIN",1
00:56,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:49,"MISS JUMPER by CRISWELL,SEAN",,,,,,,"MISS JUMPER by CRISWELL,SEAN",1
--,,,,,"REBOUND DEF by GRAY,DYLAN",,,"REBOUND DEF by GRAY,DYLAN",1
00:41,,,,,"TURNOVER  by GRAY,DYLAN",,,"TURNOVER  by GRAY,DYLAN",1
00:39,,,,,"BLOCK  by BOBO,ZACH",,,"BLOCK  by BOBO,ZACH",1
00:05,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
19:58,"GOOD 3PTR by MOORE,AUSTIN",33 (+1),,32,,HXM 33-32 (+1),,"GOOD 3PTR by MOORE,AUSTIN",2
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",2
19:31,,33,,34 (+1),"GOOD JUMPER by GRAY,DYLAN(in the paint)",UO 33-34 (-1),,"GOOD JUMPER by GRAY,DYLAN(in the paint)",2
--,,,,,"ASSIST  by JOHNSON,BRYSON",,,"ASSIST  by JOHNSON,BRYSON",2
19:13,"TURNOVER  by NOTLEY,CHANDLER",,,,,,,"TURNOVER  by NOTLEY,CHANDLER",2
19:12,,,,,"STEAL  by HALL,JOEY",,,"STEAL  by HALL,JOEY",2
19:09,,,,,"MISS LAYUP by GRAY,DYLAN",,,"MISS LAYUP by GRAY,DYLAN",2
19:09,"BLOCK  by NOTLEY,CHANDLER",,,,,,,"BLOCK  by NOTLEY,CHANDLER",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
18:29,,,,,"FOUL  by WILHELM,CORY",,,"FOUL  by WILHELM,CORY",2
18:29,"MISS FT by CRISWELL,SEAN",,,,,,,"MISS FT by CRISWELL,SEAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:29,"MISS FT by CRISWELL,SEAN",,,,,,,"MISS FT by CRISWELL,SEAN",2
--,,,,,"REBOUND DEF by BARNES,SKYLER",,,"REBOUND DEF by BARNES,SKYLER",2
18:29,,,,,"SUB IN by KNIGHT,KELVIN",,,"SUB IN by KNIGHT,KELVIN",2
18:29,,,,,"SUB OUT by WILHELM,CORY",,,"SUB OUT by WILHELM,CORY",2
18:28,,,,,"TURNOVER  by JOHNSON,BRYSON",,,"TURNOVER  by JOHNSON,BRYSON",2
18:19,,,,,"SUB IN by DUPOR,RENO",,,"SUB IN by DUPOR,RENO",2
18:19,,,,,"SUB OUT by JOHNSON,BRYSON",,,"SUB OUT by JOHNSON,BRYSON",2
18:07,"MISS 3PTR by MOORE,AUSTIN",,,,,,,"MISS 3PTR by MOORE,AUSTIN",2
--,,,,,"REBOUND DEF by GRAY,DYLAN",,,"REBOUND DEF by GRAY,DYLAN",2
17:43,,,,,"FOUL  by KNIGHT,KELVIN",,,"FOUL  by KNIGHT,KELVIN",2
17:22,"FOUL  by NOTLEY,CHANDLER",,,,,,,"FOUL  by NOTLEY,CHANDLER",2
17:10,,,,,"MISS JUMPER by GRAY,DYLAN",,,"MISS JUMPER by GRAY,DYLAN",2
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",2
17:01,"MISS 3PTR by MOORE,AUSTIN",,,,,,,"MISS 3PTR by MOORE,AUSTIN",2
--,,,,,"REBOUND DEF by BARNES,SKYLER",,,"REBOUND DEF by BARNES,SKYLER",2
16:54,,33,,36 (+3),"GOOD LAYUP by KNIGHT,KELVIN(fastbreak)(in the paint)",UO 33-36 (-3),,"GOOD LAYUP by KNIGHT,KELVIN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by DUPOR,RENO",,,"ASSIST  by DUPOR,RENO",2
16:33,,,,,"FOUL  by KNIGHT,KELVIN",,,"FOUL  by KNIGHT,KELVIN",2
