Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
14:37,"STEAL  by CRISWELL,SEAN",,,,,,,"STEAL  by CRISWELL,SEAN",1
14:27,"GOOD 3PTR by ROUSE,TREY",16,,16,,HXM 16-16 (0),,"GOOD 3PTR by ROUSE,TREY",1
--,"ASSIST  by CALAMESE,MICHAEL",,,,,,,"ASSIST  by CALAMESE,MICHAEL",1
14:12,,,,,"MISS 3PTR by JOHNSON,CORY",,,"MISS 3PTR by JOHNSON,CORY",1
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",1
13:55,"MISS LAYUP by CRISWELL,SEAN",,,,,,,"MISS LAYUP by CRISWELL,SEAN",1
--,,,,,"REBOUND DEF by JOHNSON,CALEB",,,"REBOUND DEF by JOHNSON,CALEB",1
13:42,,,,,"TURNOVER  by MARDER,NICK",,,"TURNOVER  by MARDER,NICK",1
13:42,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
13:42,"SUB OUT by CRISWELL,SEAN",,,,,,,"SUB OUT by CRISWELL,SEAN",1
13:42,,,,,"SUB IN by MOORE,MILES",,,"SUB IN by MOORE,MILES",1
13:42,,,,,"SUB IN by HIRSH,ELIJAH",,,"SUB IN by HIRSH,ELIJAH",1
13:42,,,,,"SUB OUT by MCCLOUD,ALTON",,,"SUB OUT by MCCLOUD,ALTON",1
13:42,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
13:23,"TURNOVER  by ROUSE,TREY",,,,,,,"TURNOVER  by ROUSE,TREY",1
13:22,,,,,"STEAL  by MOORE,MILES",,,"STEAL  by MOORE,MILES",1
13:19,"FOUL  by ROUSE,TREY",,,,,,,"FOUL  by ROUSE,TREY",1
13:19,"SUB IN by ROBERTS,ERIC",,,,,,,"SUB IN by ROBERTS,ERIC",1
13:19,"SUB OUT by FISHER,ELI",,,,,,,"SUB OUT by FISHER,ELI",1
13:19,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",1
13:19,,,,,"SUB OUT by JOHNSON,CALEB",,,"SUB OUT by JOHNSON,CALEB",1
13:11,,16,,18 (+2),"GOOD JUMPER by HIRSH,ELIJAH",BCM 16-18 (-2),,"GOOD JUMPER by HIRSH,ELIJAH",1
13:11,"FOUL  by ROBERTS,ERIC",,,,,,,"FOUL  by ROBERTS,ERIC",1
13:11,,16,,19 (+3),"GOOD FT by HIRSH,ELIJAH",BCM 16-19 (-3),,"GOOD FT by HIRSH,ELIJAH",1
12:54,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",18,,19 (+1),,HXM 18-19 (-1),,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",1
--,"ASSIST  by CALAMESE,MICHAEL",,,,,,,"ASSIST  by CALAMESE,MICHAEL",1
12:43,,,,,"TURNOVER  by ATKINSON,QUINN",,,"TURNOVER  by ATKINSON,QUINN",1
12:43,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",1
12:43,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",1
12:33,"GOOD 3PTR by BRASFIELD,KAM",21 (+2),,19,,HXM 21-19 (+2),,"GOOD 3PTR by BRASFIELD,KAM",1
12:16,,,,,"TURNOVER  by JOHNSON,CORY",,,"TURNOVER  by JOHNSON,CORY",1
12:14,"STEAL  by SMITH,PRESTON",,,,,,,"STEAL  by SMITH,PRESTON",1
11:53,"MISS LAYUP by ROBERTS,ERIC",,,,,,,"MISS LAYUP by ROBERTS,ERIC",1
11:53,,,,,"BLOCK  by HIRSH,ELIJAH",,,"BLOCK  by HIRSH,ELIJAH",1
--,,,,,"REBOUND DEF by JOHNSON,CORY",,,"REBOUND DEF by JOHNSON,CORY",1
11:48,,21,,21,"GOOD LAYUP by JOHNSON,CORY(fastbreak)(in the paint)",BCM 21-21 (0),,"GOOD LAYUP by JOHNSON,CORY(fastbreak)(in the paint)",1
11:35,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",1
11:35,,,,,"BLOCK  by ATKINSON,QUINN",,,"BLOCK  by ATKINSON,QUINN",1
--,"REBOUND OFF by BRASFIELD,KAM",,,,,,,"REBOUND OFF by BRASFIELD,KAM",1
11:30,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,"REBOUND DEF by MARDER,NICK",,,"REBOUND DEF by MARDER,NICK",1
11:25,,21,,23 (+2),"GOOD LAYUP by MOORE,MILES(fastbreak)(in the paint)",BCM 21-23 (-2),,"GOOD LAYUP by MOORE,MILES(fastbreak)(in the paint)",1
11:19,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:09,"MISS LAYUP by ROUSE,TREY",,,,,,,"MISS LAYUP by ROUSE,TREY",1
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",1
11:02,,,,,"MISS LAYUP by MOORE,MILES",,,"MISS LAYUP by MOORE,MILES",1
--,,,,,"REBOUND OFF by MCCLOUD,ALTON",,,"REBOUND OFF by MCCLOUD,ALTON",1
10:55,,21,,25 (+4),"GOOD TIPIN by MCCLOUD,ALTON(in the paint)",BCM 21-25 (-4),,"GOOD TIPIN by MCCLOUD,ALTON(in the paint)",1
10:50,"MISS LAYUP by ROBERTS,ERIC",,,,,,,"MISS LAYUP by ROBERTS,ERIC",1
--,,,,,"REBOUND DEF by MCCLOUD,ALTON",,,"REBOUND DEF by MCCLOUD,ALTON",1
10:29,,,,,"TURNOVER  by HIRSH,ELIJAH",,,"TURNOVER  by HIRSH,ELIJAH",1
10:27,"STEAL  by EATON,JACK",,,,,,,"STEAL  by EATON,JACK",1
10:25,"GOOD LAYUP by ROUSE,TREY(fastbreak)(in the paint)",23,,25 (+2),,HXM 23-25 (-2),,"GOOD LAYUP by ROUSE,TREY(fastbreak)(in the paint)",1
10:21,,,,,"SUB IN by CLARK,ETHAN",,,"SUB IN by CLARK,ETHAN",1
10:21,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",1
10:18,,,,,"MISS LAYUP by HIRSH,ELIJAH",,,"MISS LAYUP by HIRSH,ELIJAH",1
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",1
10:09,"TURNOVER  by ROBERTS,ERIC",,,,,,,"TURNOVER  by ROBERTS,ERIC",1
10:09,,,,,"SUB IN by FORTE,MCCARTY",,,"SUB IN by FORTE,MCCARTY",1
10:09,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",,,"SUB IN by ELLINGSWORTH,COLEMAN",1
10:09,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",1
10:09,,,,,"SUB OUT by HIRSH,ELIJAH",,,"SUB OUT by HIRSH,ELIJAH",1
09:59,,23,,27 (+4),"GOOD JUMPER by MOORE,MILES",BCM 23-27 (-4),,"GOOD JUMPER by MOORE,MILES",1
09:39,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",25,,27 (+2),,HXM 25-27 (-2),,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
09:25,,,,,"TURNOVER  by MCCLOUD,ALTON",,,"TURNOVER  by MCCLOUD,ALTON",1
09:24,"STEAL  by ROBERTS,ERIC",,,,,,,"STEAL  by ROBERTS,ERIC",1
09:21,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",27,,27,,HXM 27-27 (0),,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",1
09:12,,,,,"MISS JUMPER by MCCLOUD,ALTON",,,"MISS JUMPER by MCCLOUD,ALTON",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
08:54,,,,,"FOUL  by FORTE,MCCARTY",,,"FOUL  by FORTE,MCCARTY",1
08:54,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",29 (+2),,27,,HXM 29-27 (+2),,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",1
08:54,,,,,"SUB IN by JOHNSON,CALEB",,,"SUB IN by JOHNSON,CALEB",1
08:54,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",1
08:54,,,,,"SUB OUT by MOORE,MILES",,,"SUB OUT by MOORE,MILES",1
08:54,,,,,"SUB OUT by JOHNSON,CORY",,,"SUB OUT by JOHNSON,CORY",1
08:19,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",1
08:01,,,,,"MISS LAYUP by MARDER,NICK",,,"MISS LAYUP by MARDER,NICK",1
--,,,,,"REBOUND OFF by ELLINGSWORTH,COLEMAN",,,"REBOUND OFF by ELLINGSWORTH,COLEMAN",1
07:59,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",1
07:59,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",1
07:59,,,,,"SUB IN by MOORE,MILES",,,"SUB IN by MOORE,MILES",1
07:59,,,,,"SUB OUT by CLARK,ETHAN",,,"SUB OUT by CLARK,ETHAN",1
07:49,,,,,"MISS JUMPER by JOHNSON,CALEB",,,"MISS JUMPER by JOHNSON,CALEB",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
07:43,,,,,"FOUL  by FORTE,MCCARTY",,,"FOUL  by FORTE,MCCARTY",1
07:20,"MISS 3PTR by BRASFIELD,KAM",,,,,,,"MISS 3PTR by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by JOHNSON,CALEB",,,"REBOUND DEF by JOHNSON,CALEB",1
07:09,,,,,"MISS JUMPER by MOORE,MILES",,,"MISS JUMPER by MOORE,MILES",1
--,"REBOUND DEF by ROBERTS,ERIC",,,,,,,"REBOUND DEF by ROBERTS,ERIC",1
06:58,"MISS 3PTR by EATON,JACK",,,,,,,"MISS 3PTR by EATON,JACK",1
--,,,,,"REBOUND DEF by JOHNSON,CALEB",,,"REBOUND DEF by JOHNSON,CALEB",1
06:52,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",1
06:52,"BLOCK  by ROBERTS,ERIC",,,,,,,"BLOCK  by ROBERTS,ERIC",1
--,"REBOUND DEF by ROBERTS,ERIC",,,,,,,"REBOUND DEF by ROBERTS,ERIC",1
06:46,,,,,"FOUL  by MOORE,MILES",,,"FOUL  by MOORE,MILES",1
06:46,"MISS FT by BRASFIELD,KAM",,,,,,,"MISS FT by BRASFIELD,KAM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:46,"GOOD FT by BRASFIELD,KAM",30 (+3),,27,,HXM 30-27 (+3),,"GOOD FT by BRASFIELD,KAM",1
06:46,"SUB IN by CRISWELL,SEAN",,,,,,,"SUB IN by CRISWELL,SEAN",1
06:46,"SUB IN by FISHER,ELI",,,,,,,"SUB IN by FISHER,ELI",1
06:46,"SUB OUT by ROBERTS,ERIC",,,,,,,"SUB OUT by ROBERTS,ERIC",1
06:46,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
06:46,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",1
06:46,,,,,"SUB IN by HIRSH,ELIJAH",,,"SUB IN by HIRSH,ELIJAH",1
06:46,,,,,"SUB OUT by FORTE,MCCARTY",,,"SUB OUT by FORTE,MCCARTY",1
06:46,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",1
06:32,,,,,"TURNOVER  by ATKINSON,QUINN",,,"TURNOVER  by ATKINSON,QUINN",1
06:32,,,,,"SUB IN by MCCLOUD,ALTON",,,"SUB IN by MCCLOUD,ALTON",1
06:32,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",1
06:22,"GOOD 3PTR by SMITH,PRESTON",33 (+6),,27,,HXM 33-27 (+6),,"GOOD 3PTR by SMITH,PRESTON",1
--,"ASSIST  by FISHER,ELI",,,,,,,"ASSIST  by FISHER,ELI",1
06:10,,,,,"TURNOVER  by HIRSH,ELIJAH",,,"TURNOVER  by HIRSH,ELIJAH",1
06:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
05:48,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by HIRSH,ELIJAH",,,"REBOUND DEF by HIRSH,ELIJAH",1
05:34,,,,,"MISS JUMPER by MOORE,MILES",,,"MISS JUMPER by MOORE,MILES",1
--,,,,,"REBOUND OFF by ELLINGSWORTH,COLEMAN",,,"REBOUND OFF by ELLINGSWORTH,COLEMAN",1
05:30,,,,,"TURNOVER  by ELLINGSWORTH,COLEMAN",,,"TURNOVER  by ELLINGSWORTH,COLEMAN",1
05:29,"STEAL  by BRASFIELD,KAM",,,,,,,"STEAL  by BRASFIELD,KAM",1
05:28,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",1
05:28,,,,,"BLOCK  by JOHNSON,CALEB",,,"BLOCK  by JOHNSON,CALEB",1
--,,,,,"REBOUND DEF by MCCLOUD,ALTON",,,"REBOUND DEF by MCCLOUD,ALTON",1
05:19,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",1
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",1
05:14,,,,,"FOUL  by MOORE,MILES",,,"FOUL  by MOORE,MILES",1
05:14,,,,,"SUB IN by JOHNSON,CORY",,,"SUB IN by JOHNSON,CORY",1
05:14,,,,,"SUB OUT by MOORE,MILES",,,"SUB OUT by MOORE,MILES",1
05:11,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by JOHNSON,CALEB",,,"REBOUND DEF by JOHNSON,CALEB",1
05:05,"FOUL  by CALAMESE,MICHAEL",,,,,,,"FOUL  by CALAMESE,MICHAEL",1
05:05,,33 (+5),,28,"GOOD FT by JOHNSON,CALEB",BCM 33-28 (+5),,"GOOD FT by JOHNSON,CALEB",1
05:05,,33 (+4),,29,"GOOD FT by JOHNSON,CALEB",BCM 33-29 (+4),,"GOOD FT by JOHNSON,CALEB",1
05:05,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",1
05:05,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
04:58,"GOOD 3PTR by FISHER,ELI",36 (+7),,29,,HXM 36-29 (+7),,"GOOD 3PTR by FISHER,ELI",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
04:33,,36 (+5),,31,"GOOD LAYUP by MARDER,NICK(in the paint)",BCM 36-31 (+5),,"GOOD LAYUP by MARDER,NICK(in the paint)",1
04:05,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",38 (+7),,31,,HXM 38-31 (+7),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",1
03:54,,,,,"MISS LAYUP by MARDER,NICK",,,"MISS LAYUP by MARDER,NICK",1
--,,,,,"REBOUND OFF by HIRSH,ELIJAH",,,"REBOUND OFF by HIRSH,ELIJAH",1
03:52,,38 (+5),,33,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",BCM 38-33 (+5),,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",1
03:27,"GOOD 3PTR by CALAMESE,MICHAEL",41 (+8),,33,,HXM 41-33 (+8),,"GOOD 3PTR by CALAMESE,MICHAEL",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
03:19,,41 (+6),,35,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",BCM 41-35 (+6),,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",1
03:19,"FOUL  by CRISWELL,SEAN",,,,,,,"FOUL  by CRISWELL,SEAN",1
03:19,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
03:19,,41 (+5),,36,"GOOD FT by HIRSH,ELIJAH",BCM 41-36 (+5),,"GOOD FT by HIRSH,ELIJAH",1
03:19,"SUB IN by ROBERTS,ERIC",,,,,,,"SUB IN by ROBERTS,ERIC",1
03:19,"SUB OUT by FISHER,ELI",,,,,,,"SUB OUT by FISHER,ELI",1
03:06,"GOOD 3PTR by CRISWELL,SEAN",44 (+8),,36,,HXM 44-36 (+8),,"GOOD 3PTR by CRISWELL,SEAN",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
02:37,,,,,"TURNOVER  by MCCLOUD,ALTON",,,"TURNOVER  by MCCLOUD,ALTON",1
02:25,"MISS JUMPER by CALAMESE,MICHAEL",,,,,,,"MISS JUMPER by CALAMESE,MICHAEL",1
--,,,,,"REBOUND DEF by MARDER,NICK",,,"REBOUND DEF by MARDER,NICK",1
02:12,,44 (+6),,38,"GOOD JUMPER by HIRSH,ELIJAH",BCM 44-38 (+6),,"GOOD JUMPER by HIRSH,ELIJAH",1
01:58,"MISS LAYUP by SMITH,PRESTON",,,,,,,"MISS LAYUP by SMITH,PRESTON",1
01:58,,,,,"BLOCK  by HIRSH,ELIJAH",,,"BLOCK  by HIRSH,ELIJAH",1
--,,,,,"REBOUND DEF by MARDER,NICK",,,"REBOUND DEF by MARDER,NICK",1
01:52,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",1
01:52,"BLOCK  by CRISWELL,SEAN",,,,,,,"BLOCK  by CRISWELL,SEAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
01:52,,,,,"SUB IN by MOORE,MILES",,,"SUB IN by MOORE,MILES",1
01:52,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",1
01:52,,,,,"SUB OUT by MCCLOUD,ALTON",,,"SUB OUT by MCCLOUD,ALTON",1
01:52,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",1
01:30,,,,,"MISS LAYUP by HIRSH,ELIJAH",,,"MISS LAYUP by HIRSH,ELIJAH",1
01:30,"BLOCK  by ROBERTS,ERIC",,,,,,,"BLOCK  by ROBERTS,ERIC",1
--,,,,,"REBOUND OFF by HIRSH,ELIJAH",,,"REBOUND OFF by HIRSH,ELIJAH",1
01:27,,44 (+4),,40,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",BCM 44-40 (+4),,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",1
01:17,"MISS LAYUP by ROBERTS,ERIC",,,,,,,"MISS LAYUP by ROBERTS,ERIC",1
01:17,,,,,"BLOCK  by HIRSH,ELIJAH",,,"BLOCK  by HIRSH,ELIJAH",1
--,"REBOUND OFF by ROBERTS,ERIC",,,,,,,"REBOUND OFF by ROBERTS,ERIC",1
01:10,"MISS LAYUP by ROBERTS,ERIC",,,,,,,"MISS LAYUP by ROBERTS,ERIC",1
--,,,,,"REBOUND DEF by MOORE,MILES",,,"REBOUND DEF by MOORE,MILES",1
01:04,,,,,"MISS LAYUP by MOORE,MILES",,,"MISS LAYUP by MOORE,MILES",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
01:01,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",,,"SUB IN by ELLINGSWORTH,COLEMAN",1
01:01,,,,,"SUB OUT by HIRSH,ELIJAH",,,"SUB OUT by HIRSH,ELIJAH",1
00:52,,,,,"MISS 3PTR by ATKINSON,QUINN",,,"MISS 3PTR by ATKINSON,QUINN",1
--,,,,,"REBOUND OFF by MOORE,MILES",,,"REBOUND OFF by MOORE,MILES",1
00:48,,,,,"MISS 3PTR by JOHNSON,CALEB",,,"MISS 3PTR by JOHNSON,CALEB",1
--,,,,,"REBOUND OFF by ELLINGSWORTH,COLEMAN",,,"REBOUND OFF by ELLINGSWORTH,COLEMAN",1
00:45,,44 (+2),,42,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",BCM 44-42 (+2),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",1
--,,,,,"ASSIST  by ELLINGSWORTH,COLEMAN",,,"ASSIST  by ELLINGSWORTH,COLEMAN",1
00:29,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
00:28,,,,,"STEAL  by MOORE,MILES",,,"STEAL  by MOORE,MILES",1
00:24,"FOUL  by BRASFIELD,KAM",,,,,,,"FOUL  by BRASFIELD,KAM",1
00:24,,44 (+1),,43,"GOOD FT by MOORE,MILES",BCM 44-43 (+1),,"GOOD FT by MOORE,MILES",1
00:24,,44,,44,"GOOD FT by MOORE,MILES",BCM 44-44 (0),,"GOOD FT by MOORE,MILES",1
00:00,,,,,"MISS JUMPER by JOHNSON,CORY",,,"MISS JUMPER by JOHNSON,CORY",1
--,"REBOUND DEF by CALAMESE,MICHAEL",,,,,,,"REBOUND DEF by CALAMESE,MICHAEL",1
20:00,"SUB IN by ROBERTS,ERIC",,,,,,,"SUB IN by ROBERTS,ERIC",2
20:00,"SUB OUT by FISHER,ELI",,,,,,,"SUB OUT by FISHER,ELI",2
19:50,,,,,"FOUL  by MOORE,MILES",,,"FOUL  by MOORE,MILES",2
19:44,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",2
19:44,,,,,"SUB OUT by MOORE,MILES",,,"SUB OUT by MOORE,MILES",2
19:42,"MISS LAYUP by ROBERTS,ERIC",,,,,,,"MISS LAYUP by ROBERTS,ERIC",2
