Time Remaining,ACM,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
18:43,"MISS 3PTR by MERCADEL,JUSTICE",,,,,,,"MISS 3PTR by MERCADEL,JUSTICE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
18:18,"FOUL  by MERCADEL,JUSTICE",,,,,,,"FOUL  by MERCADEL,JUSTICE",2
18:11,,50 (+3),,47,"GOOD LAYUP by ROUSE,TREY(in the paint)",HXM 50-47 (-3),,"GOOD LAYUP by ROUSE,TREY(in the paint)",2
17:58,"GOOD JUMPER by HOLLAND,MICHAEL",52 (+5),,47,,ACM 52-47 (-5),,"GOOD JUMPER by HOLLAND,MICHAEL",2
--,"ASSIST  by MERCADEL,JUSTICE",,,,,,,"ASSIST  by MERCADEL,JUSTICE",2
17:36,,,,,"MISS LAYUP by HALL,MARCIS",,,"MISS LAYUP by HALL,MARCIS",2
--,"REBOUND DEF by MERCADEL,JUSTICE",,,,,,,"REBOUND DEF by MERCADEL,JUSTICE",2
17:27,"GOOD LAYUP by QUINN,JOSH(in the paint)",54 (+7),,47,,ACM 54-47 (-7),,"GOOD LAYUP by QUINN,JOSH(in the paint)",2
17:17,,54 (+4),,50,"GOOD 3PTR by ROUSE,TREY",HXM 54-50 (-4),,"GOOD 3PTR by ROUSE,TREY",2
17:01,"MISS JUMPER by GARRETT,JOSH",,,,,,,"MISS JUMPER by GARRETT,JOSH",2
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",2
16:44,,,,,"TURNOVER  by CRISWELL,SEAN",,,"TURNOVER  by CRISWELL,SEAN",2
16:41,"STEAL  by MERCADEL,JUSTICE",,,,,,,"STEAL  by MERCADEL,JUSTICE",2
16:36,"GOOD LAYUP by HOGAN,KAM(in the paint)",56 (+6),,50,,ACM 56-50 (-6),,"GOOD LAYUP by HOGAN,KAM(in the paint)",2
16:22,,56 (+3),,53,"GOOD 3PTR by BRASFIELD,KAM",HXM 56-53 (-3),,"GOOD 3PTR by BRASFIELD,KAM",2
16:10,"MISS 3PTR by HOLLAND,MICHAEL",,,,,,,"MISS 3PTR by HOLLAND,MICHAEL",2
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",2
16:01,,56 (+1),,55,"GOOD LAYUP by ROUSE,TREY(in the paint)",HXM 56-55 (-1),,"GOOD LAYUP by ROUSE,TREY(in the paint)",2
15:48,"GOOD 3PTR by QUINN,JOSH",59 (+4),,55,,ACM 59-55 (-4),,"GOOD 3PTR by QUINN,JOSH",2
15:35,,,,,"TURNOVER  by HALL,MARCIS",,,"TURNOVER  by HALL,MARCIS",2
15:35,"SUB IN by HARDWICK,JOSH",,,,,,,"SUB IN by HARDWICK,JOSH",2
15:35,"SUB IN by NICKENS,ZACHARY",,,,,,,"SUB IN by NICKENS,ZACHARY",2
15:35,"SUB OUT by HOGAN,KAM",,,,,,,"SUB OUT by HOGAN,KAM",2
15:35,"SUB OUT by MERCADEL,JUSTICE",,,,,,,"SUB OUT by MERCADEL,JUSTICE",2
15:22,"MISS 3PTR by HARDWICK,JOSH",,,,,,,"MISS 3PTR by HARDWICK,JOSH",2
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",2
15:06,"FOUL  by HARDWICK,JOSH",,,,,,,"FOUL  by HARDWICK,JOSH",2
14:59,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
14:44,"MISS 3PTR by NICKENS,ZACHARY",,,,,,,"MISS 3PTR by NICKENS,ZACHARY",2
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",2
14:24,"FOUL  by NICKENS,ZACHARY",,,,,,,"FOUL  by NICKENS,ZACHARY",2
14:06,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",2
14:05,"STEAL  by MERCADEL,JUSTICE",,,,,,,"STEAL  by MERCADEL,JUSTICE",2
14:02,"GOOD LAYUP by MERCADEL,JUSTICE(fastbreak)(in the paint)",61 (+6),,55,,ACM 61-55 (-6),,"GOOD LAYUP by MERCADEL,JUSTICE(fastbreak)(in the paint)",2
--,"ASSIST  by HARDWICK,JOSH",,,,,,,"ASSIST  by HARDWICK,JOSH",2
13:41,,61 (+3),,58,"GOOD 3PTR by ROUSE,TREY",HXM 61-58 (-3),,"GOOD 3PTR by ROUSE,TREY",2
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",2
13:37,"TURNOVER  by HARDWICK,JOSH",,,,,,,"TURNOVER  by HARDWICK,JOSH",2
13:37,,,,,"SUB IN by MOORE,AUSTIN",,,"SUB IN by MOORE,AUSTIN",2
13:37,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",2
13:30,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",2
--,"REBOUND DEF by HOLLAND,MICHAEL",,,,,,,"REBOUND DEF by HOLLAND,MICHAEL",2
13:23,"GOOD LAYUP by MERCADEL,JUSTICE(in the paint)",63 (+5),,58,,ACM 63-58 (-5),,"GOOD LAYUP by MERCADEL,JUSTICE(in the paint)",2
13:23,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",2
13:23,"GOOD FT by MERCADEL,JUSTICE",64 (+6),,58,,ACM 64-58 (-6),,"GOOD FT by MERCADEL,JUSTICE",2
13:20,,,,,"MISS 3PTR by MOORE,AUSTIN",,,"MISS 3PTR by MOORE,AUSTIN",2
--,"REBOUND DEF by MERCADEL,JUSTICE",,,,,,,"REBOUND DEF by MERCADEL,JUSTICE",2
13:15,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",2
13:02,,,,,"FOUL  by CRISWELL,SEAN",,,"FOUL  by CRISWELL,SEAN",2
12:51,"GOOD 3PTR by MERCADEL,JUSTICE",67 (+9),,58,,ACM 67-58 (-9),,"GOOD 3PTR by MERCADEL,JUSTICE",2
--,"ASSIST  by QUINN,JOSH",,,,,,,"ASSIST  by QUINN,JOSH",2
12:37,,,,,"TURNOVER  by ROUSE,TREY",,,"TURNOVER  by ROUSE,TREY",2
12:37,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
12:37,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",2
12:27,"TURNOVER  by QUINN,JOSH",,,,,,,"TURNOVER  by QUINN,JOSH",2
12:09,,67 (+6),,61,"GOOD 3PTR by MOORE,AUSTIN",HXM 67-61 (-6),,"GOOD 3PTR by MOORE,AUSTIN",2
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",2
11:59,"TURNOVER  by MERCADEL,JUSTICE",,,,,,,"TURNOVER  by MERCADEL,JUSTICE",2
11:59,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
11:59,"SUB IN by HILL,KAMERON",,,,,,,"SUB IN by HILL,KAMERON",2
11:59,"SUB IN by HOGAN,KAM",,,,,,,"SUB IN by HOGAN,KAM",2
11:59,"SUB IN by MERCADEL,JUSTICE",,,,,,,"SUB IN by MERCADEL,JUSTICE",2
11:59,"SUB OUT by HARDWICK,JOSH",,,,,,,"SUB OUT by HARDWICK,JOSH",2
11:59,"SUB OUT by NICKENS,ZACHARY",,,,,,,"SUB OUT by NICKENS,ZACHARY",2
11:59,"SUB OUT by GARRETT,JOSH",,,,,,,"SUB OUT by GARRETT,JOSH",2
11:59,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",2
11:59,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",2
11:48,,67 (+4),,63,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 67-63 (-4),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
--,,,,,"ASSIST  by MOORE,AUSTIN",,,"ASSIST  by MOORE,AUSTIN",2
11:36,"MISS 3PTR by QUINN,JOSH",,,,,,,"MISS 3PTR by QUINN,JOSH",2
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",2
11:29,,67 (+1),,66,"GOOD 3PTR by BRASFIELD,KAM",HXM 67-66 (-1),,"GOOD 3PTR by BRASFIELD,KAM",2
11:14,,,,,"FOUL  by MOORE,AUSTIN",,,"FOUL  by MOORE,AUSTIN",2
11:11,"MISS JUMPER by HOGAN,KAM",,,,,,,"MISS JUMPER by HOGAN,KAM",2
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",2
11:01,"FOUL  by HILL,KAMERON",,,,,,,"FOUL  by HILL,KAMERON",2
11:01,,67,,67,"GOOD FT by HALL,MARCIS",HXM 67-67 (0),,"GOOD FT by HALL,MARCIS",2
11:01,,67,,68 (+1),"GOOD FT by HALL,MARCIS",HXM 67-68 (+1),,"GOOD FT by HALL,MARCIS",2
10:58,"MISS 3PTR by HILL,KAMERON",,,,,,,"MISS 3PTR by HILL,KAMERON",2
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",2
10:49,"FOUL  by HOGAN,KAM",,,,,,,"FOUL  by HOGAN,KAM",2
10:49,"SUB IN by HARDWICK,JOSH",,,,,,,"SUB IN by HARDWICK,JOSH",2
10:49,"SUB OUT by HILL,KAMERON",,,,,,,"SUB OUT by HILL,KAMERON",2
10:43,,,,,"MISS 3PTR by EATON,JACK",,,"MISS 3PTR by EATON,JACK",2
--,"REBOUND DEF by HOGAN,KAM",,,,,,,"REBOUND DEF by HOGAN,KAM",2
10:35,"FOUL  by HOGAN,KAM",,,,,,,"FOUL  by HOGAN,KAM",2
10:23,,,,,"TURNOVER  by MOORE,AUSTIN",,,"TURNOVER  by MOORE,AUSTIN",2
10:06,"GOOD LAYUP by HOLLAND,MICHAEL(in the paint)",69 (+1),,68,,ACM 69-68 (-1),,"GOOD LAYUP by HOLLAND,MICHAEL(in the paint)",2
--,"ASSIST  by HARDWICK,JOSH",,,,,,,"ASSIST  by HARDWICK,JOSH",2
09:58,,,,,"MISS 3PTR by EATON,JACK",,,"MISS 3PTR by EATON,JACK",2
--,"REBOUND DEF by MERCADEL,JUSTICE",,,,,,,"REBOUND DEF by MERCADEL,JUSTICE",2
09:49,"MISS 3PTR by HARDWICK,JOSH",,,,,,,"MISS 3PTR by HARDWICK,JOSH",2
--,"REBOUND OFF by HOLLAND,MICHAEL",,,,,,,"REBOUND OFF by HOLLAND,MICHAEL",2
09:44,"GOOD LAYUP by HOLLAND,MICHAEL(in the paint)",71 (+3),,68,,ACM 71-68 (-3),,"GOOD LAYUP by HOLLAND,MICHAEL(in the paint)",2
09:39,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
09:37,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",2
09:36,"STEAL  by QUINN,JOSH",,,,,,,"STEAL  by QUINN,JOSH",2
09:32,"GOOD LAYUP by HOLLAND,MICHAEL(in the paint)",73 (+5),,68,,ACM 73-68 (-5),,"GOOD LAYUP by HOLLAND,MICHAEL(in the paint)",2
09:04,,,,,"MISS 3PTR by MOORE,AUSTIN",,,"MISS 3PTR by MOORE,AUSTIN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
08:45,"TURNOVER  by HARDWICK,JOSH",,,,,,,"TURNOVER  by HARDWICK,JOSH",2
08:43,,,,,"STEAL  by CALAMESE,MICHAEL",,,"STEAL  by CALAMESE,MICHAEL",2
08:40,,73 (+3),,70,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 73-70 (-3),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",2
08:29,,,,,"FOUL  by HALL,MARCIS",,,"FOUL  by HALL,MARCIS",2
08:29,"GOOD FT by HOLLAND,MICHAEL",74 (+4),,70,,ACM 74-70 (-4),,"GOOD FT by HOLLAND,MICHAEL",2
08:29,"GOOD FT by HOLLAND,MICHAEL",75 (+5),,70,,ACM 75-70 (-5),,"GOOD FT by HOLLAND,MICHAEL",2
08:20,,,,,"MISS 3PTR by MOORE,AUSTIN",,,"MISS 3PTR by MOORE,AUSTIN",2
--,"REBOUND DEF by QUINN,JOSH",,,,,,,"REBOUND DEF by QUINN,JOSH",2
08:11,"GOOD LAYUP by MERCADEL,JUSTICE(in the paint)",77 (+7),,70,,ACM 77-70 (-7),,"GOOD LAYUP by MERCADEL,JUSTICE(in the paint)",2
--,"ASSIST  by HOGAN,KAM",,,,,,,"ASSIST  by HOGAN,KAM",2
07:55,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",2
--,"REBOUND DEF by HOLLAND,MICHAEL",,,,,,,"REBOUND DEF by HOLLAND,MICHAEL",2
07:47,"MISS 3PTR by QUINN,JOSH",,,,,,,"MISS 3PTR by QUINN,JOSH",2
--,"REBOUND OFF by MERCADEL,JUSTICE",,,,,,,"REBOUND OFF by MERCADEL,JUSTICE",2
07:41,"MISS LAYUP by MERCADEL,JUSTICE",,,,,,,"MISS LAYUP by MERCADEL,JUSTICE",2
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",2
07:33,,77 (+5),,72,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HXM 77-72 (-5),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",2
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",2
07:11,"TURNOVER  by HOLLAND,MICHAEL",,,,,,,"TURNOVER  by HOLLAND,MICHAEL",2
07:11,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
07:11,"SUB IN by HILL,KAMERON",,,,,,,"SUB IN by HILL,KAMERON",2
07:11,"SUB OUT by HARDWICK,JOSH",,,,,,,"SUB OUT by HARDWICK,JOSH",2
07:11,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",2
07:11,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",2
06:54,,,,,"MISS LAYUP by ROUSE,TREY",,,"MISS LAYUP by ROUSE,TREY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
06:52,,,,,"FOUL  by HALL,MARCIS",,,"FOUL  by HALL,MARCIS",2
06:52,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",2
06:52,,,,,"SUB OUT by HALL,MARCIS",,,"SUB OUT by HALL,MARCIS",2
06:34,"GOOD 3PTR by HOGAN,KAM",80 (+8),,72,,ACM 80-72 (-8),,"GOOD 3PTR by HOGAN,KAM",2
06:10,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",2
--,"REBOUND DEF by HOLLAND,MICHAEL",,,,,,,"REBOUND DEF by HOLLAND,MICHAEL",2
06:04,"GOOD LAYUP by MERCADEL,JUSTICE(in the paint)",82 (+10),,72,,ACM 82-72 (-10),,"GOOD LAYUP by MERCADEL,JUSTICE(in the paint)",2
05:54,,82 (+7),,75,"GOOD 3PTR by ROUSE,TREY",HXM 82-75 (-7),,"GOOD 3PTR by ROUSE,TREY",2
05:49,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
05:27,"GOOD 3PTR by HILL,KAMERON",85 (+10),,75,,ACM 85-75 (-10),,"GOOD 3PTR by HILL,KAMERON",2
--,"ASSIST  by HOGAN,KAM",,,,,,,"ASSIST  by HOGAN,KAM",2
05:12,,85 (+8),,77,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HXM 85-77 (-8),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",2
04:53,"MISS JUMPER by HILL,KAMERON",,,,,,,"MISS JUMPER by HILL,KAMERON",2
--,"REBOUND OFF by MERCADEL,JUSTICE",,,,,,,"REBOUND OFF by MERCADEL,JUSTICE",2
04:47,"GOOD LAYUP by MERCADEL,JUSTICE(in the paint)",87 (+10),,77,,ACM 87-77 (-10),,"GOOD LAYUP by MERCADEL,JUSTICE(in the paint)",2
04:23,,87 (+8),,79,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",HXM 87-79 (-8),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",2
--,,,,,"ASSIST  by ROUSE,TREY",,,"ASSIST  by ROUSE,TREY",2
04:01,"TURNOVER  by HILL,KAMERON",,,,,,,"TURNOVER  by HILL,KAMERON",2
04:00,,,,,"STEAL  by CRISWELL,SEAN",,,"STEAL  by CRISWELL,SEAN",2
03:54,"SUB IN by GARRETT,JOSH",,,,,,,"SUB IN by GARRETT,JOSH",2
03:54,"SUB OUT by HOLLAND,MICHAEL",,,,,,,"SUB OUT by HOLLAND,MICHAEL",2
03:54,,,,,"SUB IN by HALL,MARCIS",,,"SUB IN by HALL,MARCIS",2
03:54,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",2
03:33,"FOUL  by HILL,KAMERON",,,,,,,"FOUL  by HILL,KAMERON",2
03:33,,,,,"MISS FT by CRISWELL,SEAN",,,"MISS FT by CRISWELL,SEAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:33,,87 (+7),,80,"GOOD FT by CRISWELL,SEAN",HXM 87-80 (-7),,"GOOD FT by CRISWELL,SEAN",2
03:33,"SUB IN by HARDWICK,JOSH",,,,,,,"SUB IN by HARDWICK,JOSH",2
03:33,"SUB OUT by HILL,KAMERON",,,,,,,"SUB OUT by HILL,KAMERON",2
03:29,"GOOD LAYUP by GARRETT,JOSH(in the paint)",89 (+9),,80,,ACM 89-80 (-9),,"GOOD LAYUP by GARRETT,JOSH(in the paint)",2
--,"ASSIST  by GARRETT,JOSH",,,,,,,"ASSIST  by GARRETT,JOSH",2
03:14,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",2
--,"REBOUND DEF by QUINN,JOSH",,,,,,,"REBOUND DEF by QUINN,JOSH",2
02:46,"MISS JUMPER by GARRETT,JOSH",,,,,,,"MISS JUMPER by GARRETT,JOSH",2
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",2
02:40,"FOUL  by MERCADEL,JUSTICE",,,,,,,"FOUL  by MERCADEL,JUSTICE",2
02:40,,89 (+8),,81,"GOOD FT by ROUSE,TREY",HXM 89-81 (-8),,"GOOD FT by ROUSE,TREY",2
02:40,,,,,"MISS FT by ROUSE,TREY",,,"MISS FT by ROUSE,TREY",2
--,"REBOUND DEF by GARRETT,JOSH",,,,,,,"REBOUND DEF by GARRETT,JOSH",2
02:24,"MISS 3PTR by MERCADEL,JUSTICE",,,,,,,"MISS 3PTR by MERCADEL,JUSTICE",2
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",2
02:07,"FOUL  by HARDWICK,JOSH",,,,,,,"FOUL  by HARDWICK,JOSH",2
02:07,,,,,"MISS FT by HALL,MARCIS",,,"MISS FT by HALL,MARCIS",2
--,"REBOUND DEF by HOLLAND,MICHAEL",,,,,,,"REBOUND DEF by HOLLAND,MICHAEL",2
02:07,"TURNOVER  by HOLLAND,MICHAEL",,,,,,,"TURNOVER  by HOLLAND,MICHAEL",2
02:07,"SUB IN by HOLLAND,MICHAEL",,,,,,,"SUB IN by HOLLAND,MICHAEL",2
02:07,"SUB OUT by GARRETT,JOSH",,,,,,,"SUB OUT by GARRETT,JOSH",2
02:06,,,,,"STEAL  by BRASFIELD,KAM",,,"STEAL  by BRASFIELD,KAM",2
02:04,,89 (+5),,84,"GOOD 3PTR by ROUSE,TREY",HXM 89-84 (-5),,"GOOD 3PTR by ROUSE,TREY",2
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",2
01:46,"MISS 3PTR by HOGAN,KAM",,,,,,,"MISS 3PTR by HOGAN,KAM",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
01:24,"GOOD JUMPER by MERCADEL,JUSTICE",91 (+7),,84,,ACM 91-84 (-7),,"GOOD JUMPER by MERCADEL,JUSTICE",2
--,"ASSIST  by HOLLAND,MICHAEL",,,,,,,"ASSIST  by HOLLAND,MICHAEL",2
01:13,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",2
01:13,"BLOCK  by QUINN,JOSH",,,,,,,"BLOCK  by QUINN,JOSH",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
01:05,,,,,"MISS LAYUP by ROUSE,TREY",,,"MISS LAYUP by ROUSE,TREY",2
--,"REBOUND DEF by HOLLAND,MICHAEL",,,,,,,"REBOUND DEF by HOLLAND,MICHAEL",2
00:58,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",2
00:58,"GOOD FT by MERCADEL,JUSTICE",92 (+8),,84,,ACM 92-84 (-8),,"GOOD FT by MERCADEL,JUSTICE",2
00:58,"MISS FT by MERCADEL,JUSTICE",,,,,,,"MISS FT by MERCADEL,JUSTICE",2
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",2
00:58,,,,,"FOUL  by HALL,MARCIS",,,"FOUL  by HALL,MARCIS",2
00:58,"GOOD FT by HOLLAND,MICHAEL",93 (+9),,84,,ACM 93-84 (-9),,"GOOD FT by HOLLAND,MICHAEL",2
00:58,"GOOD FT by HOLLAND,MICHAEL",94 (+10),,84,,ACM 94-84 (-10),,"GOOD FT by HOLLAND,MICHAEL",2
00:58,,,,,"SUB IN by FISHER,ELI",,,"SUB IN by FISHER,ELI",2
00:58,,,,,"SUB OUT by HALL,MARCIS",,,"SUB OUT by HALL,MARCIS",2
00:52,,,,,"MISS JUMPER by BRASFIELD,KAM",,,"MISS JUMPER by BRASFIELD,KAM",2
--,"REBOUND DEF by HOLLAND,MICHAEL",,,,,,,"REBOUND DEF by HOLLAND,MICHAEL",2
00:31,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",2
00:31,"GOOD FT by HOGAN,KAM",95 (+11),,84,,ACM 95-84 (-11),,"GOOD FT by HOGAN,KAM",2
00:31,"GOOD FT by HOGAN,KAM",96 (+12),,84,,ACM 96-84 (-12),,"GOOD FT by HOGAN,KAM",2
00:28,,,,,"MISS 3PTR by MOORE,AUSTIN",,,"MISS 3PTR by MOORE,AUSTIN",2
--,"REBOUND DEF by HOLLAND,MICHAEL",,,,,,,"REBOUND DEF by HOLLAND,MICHAEL",2
