Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,ETBU,Game Score,Team Indicator,Play,Period
08:41,,,,,"SUB OUT by SABO,GAVIN",,,"SUB OUT by SABO,GAVIN",1
08:15,"FOUL  by CALAMESE,MICHAEL",,,,,,,"FOUL  by CALAMESE,MICHAEL",1
08:15,,,,,"MISS FT by ROBINSON,DAVIS",,,"MISS FT by ROBINSON,DAVIS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:15,,28 (+5),,23,"GOOD FT by ROBINSON,DAVIS",ETBU 28-23 (+5),,"GOOD FT by ROBINSON,DAVIS",1
08:02,"GOOD LAYUP by LINK,JACOB(in the paint)",30 (+7),,23,,HC 30-23 (+7),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
07:45,,30 (+4),,26,"GOOD 3PTR by MACK,DION",ETBU 30-26 (+4),,"GOOD 3PTR by MACK,DION",1
--,,,,,"ASSIST  by GOSEY,JORDAN",,,"ASSIST  by GOSEY,JORDAN",1
07:26,,,,,"FOUL  by RIDDICK,WESTIN",,,"FOUL  by RIDDICK,WESTIN",1
07:26,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
07:26,"MISS FT by ROBERTS,ERIC",,,,,,,"MISS FT by ROBERTS,ERIC",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:26,"GOOD FT by ROBERTS,ERIC",31 (+5),,26,,HC 31-26 (+5),,"GOOD FT by ROBERTS,ERIC",1
07:26,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",1
07:26,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",1
07:26,,,,,"SUB IN by DOOLEY,ROBBY",,,"SUB IN by DOOLEY,ROBBY",1
07:26,,,,,"SUB OUT by RIDDICK,WESTIN",,,"SUB OUT by RIDDICK,WESTIN",1
07:10,,,,,"MISS LAYUP by DOOLEY,ROBBY",,,"MISS LAYUP by DOOLEY,ROBBY",1
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",1
07:00,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",1
06:44,,,,,"MISS 3PTR by MACK,DION",,,"MISS 3PTR by MACK,DION",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:31,"GOOD LAYUP by LINK,JACOB(in the paint)",33 (+7),,26,,HC 33-26 (+7),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
06:20,"FOUL  by ROBERTS,ERIC",,,,,,,"FOUL  by ROBERTS,ERIC",1
06:20,,33 (+6),,27,"GOOD FT by DOOLEY,ROBBY",ETBU 33-27 (+6),,"GOOD FT by DOOLEY,ROBBY",1
06:20,,,,,"MISS FT by DOOLEY,ROBBY",,,"MISS FT by DOOLEY,ROBBY",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
06:20,,,,,"SUB IN by FONTENOT,NATHAN",,,"SUB IN by FONTENOT,NATHAN",1
06:20,,,,,"SUB OUT by BROWN,LANDIN",,,"SUB OUT by BROWN,LANDIN",1
06:02,"GOOD LAYUP by LINK,JACOB(in the paint)",35 (+8),,27,,HC 35-27 (+8),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
06:02,,,,,"FOUL  by ROBINSON,DAVIS",,,"FOUL  by ROBINSON,DAVIS",1
06:02,"MISS FT by LINK,JACOB",,,,,,,"MISS FT by LINK,JACOB",1
--,,,,,"REBOUND DEF by ROBINSON,DAVIS",,,"REBOUND DEF by ROBINSON,DAVIS",1
05:54,,,,,"MISS JUMPER by FONTENOT,NATHAN",,,"MISS JUMPER by FONTENOT,NATHAN",1
--,,,,,"REBOUND OFF by GOSEY,JORDAN",,,"REBOUND OFF by GOSEY,JORDAN",1
05:50,,35 (+6),,29,"GOOD LAYUP by GOSEY,JORDAN(in the paint)",ETBU 35-29 (+6),,"GOOD LAYUP by GOSEY,JORDAN(in the paint)",1
05:29,,,,,"FOUL  by DOOLEY,ROBBY",,,"FOUL  by DOOLEY,ROBBY",1
05:29,"GOOD FT by ROUSE,TREY",36 (+7),,29,,HC 36-29 (+7),,"GOOD FT by ROUSE,TREY",1
05:29,"GOOD FT by ROUSE,TREY",37 (+8),,29,,HC 37-29 (+8),,"GOOD FT by ROUSE,TREY",1
05:29,"GOOD FT by ROUSE,TREY",38 (+9),,29,,HC 38-29 (+9),,"GOOD FT by ROUSE,TREY",1
05:29,"SUB IN by CRISWELL,SEAN",,,,,,,"SUB IN by CRISWELL,SEAN",1
05:29,"SUB OUT by ROBERTS,ERIC",,,,,,,"SUB OUT by ROBERTS,ERIC",1
05:29,,,,,"SUB IN by SABO,GAVIN",,,"SUB IN by SABO,GAVIN",1
05:29,,,,,"SUB OUT by ROBINSON,DAVIS",,,"SUB OUT by ROBINSON,DAVIS",1
05:18,,,,,"MISS 3PTR by MACK,DION",,,"MISS 3PTR by MACK,DION",1
--,,,,,"REBOUND OFF by DOOLEY,ROBBY",,,"REBOUND OFF by DOOLEY,ROBBY",1
05:07,,38 (+7),,31,"GOOD LAYUP by MACK,DION(in the paint)",ETBU 38-31 (+7),,"GOOD LAYUP by MACK,DION(in the paint)",1
04:44,"GOOD JUMPER by BRASFIELD,KAM",40 (+9),,31,,HC 40-31 (+9),,"GOOD JUMPER by BRASFIELD,KAM",1
--,"ASSIST  by ROUSE,TREY",,,,,,,"ASSIST  by ROUSE,TREY",1
04:33,,,,,"MISS LAYUP by FONTENOT,NATHAN",,,"MISS LAYUP by FONTENOT,NATHAN",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
04:28,"GOOD JUMPER by BRASFIELD,KAM(fastbreak)",42 (+11),,31,,HC 42-31 (+11),,"GOOD JUMPER by BRASFIELD,KAM(fastbreak)",1
03:58,,42 (+9),,33,"GOOD LAYUP by GOSEY,JORDAN(in the paint)",ETBU 42-33 (+9),,"GOOD LAYUP by GOSEY,JORDAN(in the paint)",1
