Time Remaining,UDM,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by NOTLEY,CHANDLER",,,"REBOUND OFF by NOTLEY,CHANDLER",1
17:47,"FOUL  by RUSSELL,JOHN",,,,,,,"FOUL  by RUSSELL,JOHN",1
17:47,,3,,3,"GOOD FT by NOTLEY,CHANDLER",HXM 3-3 (0),,"GOOD FT by NOTLEY,CHANDLER",1
17:47,,3,,4 (+1),"GOOD FT by NOTLEY,CHANDLER",HXM 3-4 (+1),,"GOOD FT by NOTLEY,CHANDLER",1
17:40,"GOOD LAYUP by LEVI,SPENCER(in the paint)",5 (+1),,4,,UDM 5-4 (-1),,"GOOD LAYUP by LEVI,SPENCER(in the paint)",1
--,"ASSIST  by RUSSELL,JOHN",,,,,,,"ASSIST  by RUSSELL,JOHN",1
17:13,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",1
17:11,"STEAL  by COLVIN,DARRIUS",,,,,,,"STEAL  by COLVIN,DARRIUS",1
17:08,"GOOD LAYUP by BEREZIN,SOLOMON(in the paint)",7 (+3),,4,,UDM 7-4 (-3),,"GOOD LAYUP by BEREZIN,SOLOMON(in the paint)",1
16:55,,,,,"MISS JUMPER by ROUSE,TREY",,,"MISS JUMPER by ROUSE,TREY",1
--,"REBOUND DEF by RUSSELL,JOHN",,,,,,,"REBOUND DEF by RUSSELL,JOHN",1
16:38,"MISS JUMPER by RUSSELL,JOHN",,,,,,,"MISS JUMPER by RUSSELL,JOHN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
16:34,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
16:34,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
16:20,,,,,"TURNOVER  by ROUSE,TREY",,,"TURNOVER  by ROUSE,TREY",1
16:08,"STEAL  by RUSSELL,JOHN",,,,,,,"STEAL  by RUSSELL,JOHN",1
16:03,"GOOD LAYUP by RUSSELL,JOHN(in the paint)",9 (+5),,4,,UDM 9-4 (-5),,"GOOD LAYUP by RUSSELL,JOHN(in the paint)",1
15:52,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
15:52,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:52,"GOOD LAYUP by LEVI,SPENCER(in the paint)",11 (+7),,4,,UDM 11-4 (-7),,"GOOD LAYUP by LEVI,SPENCER(in the paint)",1
--,"ASSIST  by RUSSELL,JOHN",,,,,,,"ASSIST  by RUSSELL,JOHN",1
15:52,"SUB IN by HAYES,ISAIAH",,,,,,,"SUB IN by HAYES,ISAIAH",1
15:52,"SUB OUT by CALTON,EMMANUEL",,,,,,,"SUB OUT by CALTON,EMMANUEL",1
15:52,,,,,"SUB IN by HALL,MARCIS",,,"SUB IN by HALL,MARCIS",1
15:52,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",1
15:35,,11 (+4),,7,"GOOD 3PTR by ROUSE,TREY",HXM 11-7 (-4),,"GOOD 3PTR by ROUSE,TREY",1
15:23,"TURNOVER  by HAYES,ISAIAH",,,,,,,"TURNOVER  by HAYES,ISAIAH",1
15:21,,,,,"STEAL  by HALL,MARCIS",,,"STEAL  by HALL,MARCIS",1
15:16,,11 (+2),,9,"GOOD JUMPER by ROUSE,TREY",HXM 11-9 (-2),,"GOOD JUMPER by ROUSE,TREY",1
15:00,"FOUL  by RUSSELL,JOHN",,,,,,,"FOUL  by RUSSELL,JOHN",1
15:00,"SUB IN by NORTON,BEN",,,,,,,"SUB IN by NORTON,BEN",1
15:00,"SUB OUT by RUSSELL,JOHN",,,,,,,"SUB OUT by RUSSELL,JOHN",1
14:41,,,,,"MISS JUMPER by EATON,JACK",,,"MISS JUMPER by EATON,JACK",1
--,"REBOUND DEF by NORTON,BEN",,,,,,,"REBOUND DEF by NORTON,BEN",1
14:37,,,,,"FOUL  by HALL,MARCIS",,,"FOUL  by HALL,MARCIS",1
14:23,"GOOD LAYUP by COLVIN,DARRIUS(in the paint)",13 (+4),,9,,UDM 13-9 (-4),,"GOOD LAYUP by COLVIN,DARRIUS(in the paint)",1
14:03,,13 (+2),,11,"GOOD JUMPER by BRASFIELD,KAM",HXM 13-11 (-2),,"GOOD JUMPER by BRASFIELD,KAM",1
13:47,"GOOD LAYUP by NORTON,BEN(in the paint)",15 (+4),,11,,UDM 15-11 (-4),,"GOOD LAYUP by NORTON,BEN(in the paint)",1
13:29,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:25,"SUB IN by NUNN,JOSHUA",,,,,,,"SUB IN by NUNN,JOSHUA",1
13:25,"SUB OUT by BEREZIN,SOLOMON",,,,,,,"SUB OUT by BEREZIN,SOLOMON",1
13:25,,,,,"SUB IN by ROBERTS,ERIC",,,"SUB IN by ROBERTS,ERIC",1
13:25,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",1
13:16,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
12:48,"MISS 3PTR by NUNN,JOSHUA",,,,,,,"MISS 3PTR by NUNN,JOSHUA",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
12:30,"FOUL  by NORTON,BEN",,,,,,,"FOUL  by NORTON,BEN",1
12:30,,15 (+3),,12,"GOOD FT by HALL,MARCIS",HXM 15-12 (-3),,"GOOD FT by HALL,MARCIS",1
12:30,,15 (+2),,13,"GOOD FT by HALL,MARCIS",HXM 15-13 (-2),,"GOOD FT by HALL,MARCIS",1
12:30,,,,,"SUB IN by MOORE,AUSTIN",,,"SUB IN by MOORE,AUSTIN",1
12:30,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",1
12:06,"GOOD 3PTR by HAYES,ISAIAH",18 (+5),,13,,UDM 18-13 (-5),,"GOOD 3PTR by HAYES,ISAIAH",1
--,"ASSIST  by NUNN,JOSHUA",,,,,,,"ASSIST  by NUNN,JOSHUA",1
11:47,,,,,"MISS 3PTR by EATON,JACK",,,"MISS 3PTR by EATON,JACK",1
--,"REBOUND DEF by LEVI,SPENCER",,,,,,,"REBOUND DEF by LEVI,SPENCER",1
11:30,"TURNOVER  by NORTON,BEN",,,,,,,"TURNOVER  by NORTON,BEN",1
11:30,"SUB IN by WAMBSGANSS,MICHAEL",,,,,,,"SUB IN by WAMBSGANSS,MICHAEL",1
11:30,"SUB OUT by HAYES,ISAIAH",,,,,,,"SUB OUT by HAYES,ISAIAH",1
11:30,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
11:30,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
11:17,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
11:14,"STEAL  by NUNN,JOSHUA",,,,,,,"STEAL  by NUNN,JOSHUA",1
11:12,"MISS LAYUP by NORTON,BEN",,,,,,,"MISS LAYUP by NORTON,BEN",1
--,"REBOUND OFF by LEVI,SPENCER",,,,,,,"REBOUND OFF by LEVI,SPENCER",1
10:48,,,,,"FOUL  by MOORE,AUSTIN",,,"FOUL  by MOORE,AUSTIN",1
10:48,"SUB IN by RUSSELL,JOHN",,,,,,,"SUB IN by RUSSELL,JOHN",1
10:48,"SUB OUT by NORTON,BEN",,,,,,,"SUB OUT by NORTON,BEN",1
10:36,"MISS JUMPER by RUSSELL,JOHN",,,,,,,"MISS JUMPER by RUSSELL,JOHN",1
--,"REBOUND OFF by RUSSELL,JOHN",,,,,,,"REBOUND OFF by RUSSELL,JOHN",1
10:28,"FOUL  by LEVI,SPENCER",,,,,,,"FOUL  by LEVI,SPENCER",1
10:28,,,,,"SUB IN by FISHER,ELI",,,"SUB IN by FISHER,ELI",1
10:28,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
10:19,,,,,"MISS JUMPER by CALAMESE,MICHAEL",,,"MISS JUMPER by CALAMESE,MICHAEL",1
--,"REBOUND DEF by RUSSELL,JOHN",,,,,,,"REBOUND DEF by RUSSELL,JOHN",1
10:08,"MISS 3PTR by WAMBSGANSS,MICHAEL",,,,,,,"MISS 3PTR by WAMBSGANSS,MICHAEL",1
--,"REBOUND OFF by LEVI,SPENCER",,,,,,,"REBOUND OFF by LEVI,SPENCER",1
10:04,,,,,"FOUL  by FISHER,ELI",,,"FOUL  by FISHER,ELI",1
10:04,"GOOD FT by LEVI,SPENCER",19 (+6),,13,,UDM 19-13 (-6),,"GOOD FT by LEVI,SPENCER",1
10:04,"GOOD FT by LEVI,SPENCER",20 (+7),,13,,UDM 20-13 (-7),,"GOOD FT by LEVI,SPENCER",1
09:48,,,,,"TURNOVER  by ROBERTS,ERIC",,,"TURNOVER  by ROBERTS,ERIC",1
09:45,"STEAL  by WAMBSGANSS,MICHAEL",,,,,,,"STEAL  by WAMBSGANSS,MICHAEL",1
09:31,"GOOD 3PTR by WAMBSGANSS,MICHAEL",23 (+10),,13,,UDM 23-13 (-10),,"GOOD 3PTR by WAMBSGANSS,MICHAEL",1
--,"ASSIST  by RUSSELL,JOHN",,,,,,,"ASSIST  by RUSSELL,JOHN",1
09:08,"FOUL  by WAMBSGANSS,MICHAEL",,,,,,,"FOUL  by WAMBSGANSS,MICHAEL",1
09:08,,23 (+9),,14,"GOOD FT by MOORE,AUSTIN",HXM 23-14 (-9),,"GOOD FT by MOORE,AUSTIN",1
09:08,,23 (+8),,15,"GOOD FT by MOORE,AUSTIN",HXM 23-15 (-8),,"GOOD FT by MOORE,AUSTIN",1
09:08,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",1
09:08,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
09:08,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",1
09:08,,,,,"SUB OUT by HALL,MARCIS",,,"SUB OUT by HALL,MARCIS",1
09:08,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
09:08,,,,,"SUB OUT by ROBERTS,ERIC",,,"SUB OUT by ROBERTS,ERIC",1
08:47,,,,,"FOUL  by NOTLEY,CHANDLER",,,"FOUL  by NOTLEY,CHANDLER",1
08:47,"GOOD FT by RUSSELL,JOHN",24 (+9),,15,,UDM 24-15 (-9),,"GOOD FT by RUSSELL,JOHN",1
08:47,"SUB IN by CALTON,EMMANUEL",,,,,,,"SUB IN by CALTON,EMMANUEL",1
08:47,"SUB OUT by NUNN,JOSHUA",,,,,,,"SUB OUT by NUNN,JOSHUA",1
08:37,"MISS FT by RUSSELL,JOHN",,,,,,,"MISS FT by RUSSELL,JOHN",1
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",1
08:15,,24 (+6),,18,"GOOD 3PTR by MOORE,AUSTIN",HXM 24-18 (-6),,"GOOD 3PTR by MOORE,AUSTIN",1
--,,,,,"ASSIST  by FISHER,ELI",,,"ASSIST  by FISHER,ELI",1
07:57,"TURNOVER  by CALTON,EMMANUEL",,,,,,,"TURNOVER  by CALTON,EMMANUEL",1
07:55,,,,,"STEAL  by NOTLEY,CHANDLER",,,"STEAL  by NOTLEY,CHANDLER",1
07:52,,24 (+4),,20,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HXM 24-20 (-4),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
07:38,"GOOD JUMPER by RUSSELL,JOHN",26 (+6),,20,,UDM 26-20 (-6),,"GOOD JUMPER by RUSSELL,JOHN",1
--,"ASSIST  by COLVIN,DARRIUS",,,,,,,"ASSIST  by COLVIN,DARRIUS",1
07:17,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",1
--,,,,,"REBOUND OFF by NOTLEY,CHANDLER",,,"REBOUND OFF by NOTLEY,CHANDLER",1
07:08,,,,,"MISS 3PTR by NOTLEY,CHANDLER",,,"MISS 3PTR by NOTLEY,CHANDLER",1
--,"REBOUND DEF by LEVI,SPENCER",,,,,,,"REBOUND DEF by LEVI,SPENCER",1
06:58,"TURNOVER  by COLVIN,DARRIUS",,,,,,,"TURNOVER  by COLVIN,DARRIUS",1
06:58,"SUB IN by NORTON,BEN",,,,,,,"SUB IN by NORTON,BEN",1
06:58,"SUB IN by BEREZIN,SOLOMON",,,,,,,"SUB IN by BEREZIN,SOLOMON",1
06:58,"SUB OUT by COLVIN,DARRIUS",,,,,,,"SUB OUT by COLVIN,DARRIUS",1
06:58,"SUB OUT by LEVI,SPENCER",,,,,,,"SUB OUT by LEVI,SPENCER",1
06:42,,,,,"MISS 3PTR by CRISWELL,SEAN",,,"MISS 3PTR by CRISWELL,SEAN",1
--,"REBOUND DEF by WAMBSGANSS,MICHAEL",,,,,,,"REBOUND DEF by WAMBSGANSS,MICHAEL",1
06:18,"MISS JUMPER by CALTON,EMMANUEL",,,,,,,"MISS JUMPER by CALTON,EMMANUEL",1
--,"REBOUND OFF by NORTON,BEN",,,,,,,"REBOUND OFF by NORTON,BEN",1
06:15,,,,,"FOUL  by MOORE,AUSTIN",,,"FOUL  by MOORE,AUSTIN",1
06:15,"GOOD FT by NORTON,BEN",27 (+7),,20,,UDM 27-20 (-7),,"GOOD FT by NORTON,BEN",1
06:15,"GOOD FT by NORTON,BEN",28 (+8),,20,,UDM 28-20 (-8),,"GOOD FT by NORTON,BEN",1
06:15,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",1
06:15,,,,,"SUB OUT by MOORE,AUSTIN",,,"SUB OUT by MOORE,AUSTIN",1
06:00,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
05:57,"STEAL  by BEREZIN,SOLOMON",,,,,,,"STEAL  by BEREZIN,SOLOMON",1
05:42,"GOOD 3PTR by WAMBSGANSS,MICHAEL",31 (+11),,20,,UDM 31-20 (-11),,"GOOD 3PTR by WAMBSGANSS,MICHAEL",1
--,"ASSIST  by CALTON,EMMANUEL",,,,,,,"ASSIST  by CALTON,EMMANUEL",1
05:13,,,,,"TURNOVER  by CRISWELL,SEAN",,,"TURNOVER  by CRISWELL,SEAN",1
05:11,"STEAL  by BEREZIN,SOLOMON",,,,,,,"STEAL  by BEREZIN,SOLOMON",1
04:59,"GOOD JUMPER by RUSSELL,JOHN",33 (+13),,20,,UDM 33-20 (-13),,"GOOD JUMPER by RUSSELL,JOHN",1
--,"ASSIST  by CALTON,EMMANUEL",,,,,,,"ASSIST  by CALTON,EMMANUEL",1
04:23,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,"REBOUND OFF by CRISWELL,SEAN",,,"REBOUND OFF by CRISWELL,SEAN",1
04:17,,33 (+10),,23,"GOOD 3PTR by ROUSE,TREY",HXM 33-23 (-10),,"GOOD 3PTR by ROUSE,TREY",1
--,,,,,"ASSIST  by CRISWELL,SEAN",,,"ASSIST  by CRISWELL,SEAN",1
04:12,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:12,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
04:12,,,,,"SUB IN by HALL,MARCIS",,,"SUB IN by HALL,MARCIS",1
04:12,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",1
04:10,"GOOD 3PTR by WAMBSGANSS,MICHAEL",36 (+13),,23,,UDM 36-23 (-13),,"GOOD 3PTR by WAMBSGANSS,MICHAEL",1
--,"ASSIST  by CALTON,EMMANUEL",,,,,,,"ASSIST  by CALTON,EMMANUEL",1
04:04,"FOUL  by RUSSELL,JOHN",,,,,,,"FOUL  by RUSSELL,JOHN",1
04:04,"SUB IN by COLVIN,DARRIUS",,,,,,,"SUB IN by COLVIN,DARRIUS",1
04:04,"SUB IN by LEVI,SPENCER",,,,,,,"SUB IN by LEVI,SPENCER",1
04:04,"SUB OUT by RUSSELL,JOHN",,,,,,,"SUB OUT by RUSSELL,JOHN",1
04:04,"SUB OUT by NORTON,BEN",,,,,,,"SUB OUT by NORTON,BEN",1
03:57,,36 (+11),,25,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 36-25 (-11),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
03:45,"MISS JUMPER by COLVIN,DARRIUS",,,,,,,"MISS JUMPER by COLVIN,DARRIUS",1
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",1
03:34,,,,,"MISS JUMPER by ROUSE,TREY",,,"MISS JUMPER by ROUSE,TREY",1
--,"REBOUND DEF by WAMBSGANSS,MICHAEL",,,,,,,"REBOUND DEF by WAMBSGANSS,MICHAEL",1
03:28,"TURNOVER  by WAMBSGANSS,MICHAEL",,,,,,,"TURNOVER  by WAMBSGANSS,MICHAEL",1
03:24,,,,,"MISS 3PTR by FISHER,ELI",,,"MISS 3PTR by FISHER,ELI",1
--,"REBOUND DEF by CALTON,EMMANUEL",,,,,,,"REBOUND DEF by CALTON,EMMANUEL",1
03:14,"GOOD LAYUP by LEVI,SPENCER(in the paint)",38 (+13),,25,,UDM 38-25 (-13),,"GOOD LAYUP by LEVI,SPENCER(in the paint)",1
--,"ASSIST  by WAMBSGANSS,MICHAEL",,,,,,,"ASSIST  by WAMBSGANSS,MICHAEL",1
03:00,,,,,"TURNOVER  by ROUSE,TREY",,,"TURNOVER  by ROUSE,TREY",1
02:58,"STEAL  by LEVI,SPENCER",,,,,,,"STEAL  by LEVI,SPENCER",1
02:55,"FOUL  by LEVI,SPENCER",,,,,,,"FOUL  by LEVI,SPENCER",1
02:55,"SUB IN by NORTON,BEN",,,,,,,"SUB IN by NORTON,BEN",1
02:55,"SUB OUT by LEVI,SPENCER",,,,,,,"SUB OUT by LEVI,SPENCER",1
02:55,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
02:55,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
02:55,,,,,"SUB OUT by HALL,MARCIS",,,"SUB OUT by HALL,MARCIS",1
02:55,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
02:29,,,,,"MISS JUMPER by CALAMESE,MICHAEL",,,"MISS JUMPER by CALAMESE,MICHAEL",1
--,"REBOUND DEF by NORTON,BEN",,,,,,,"REBOUND DEF by NORTON,BEN",1
02:14,"GOOD 3PTR by WAMBSGANSS,MICHAEL",41 (+16),,25,,UDM 41-25 (-16),,"GOOD 3PTR by WAMBSGANSS,MICHAEL",1
01:57,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",1
--,"REBOUND DEF by WAMBSGANSS,MICHAEL",,,,,,,"REBOUND DEF by WAMBSGANSS,MICHAEL",1
01:39,"GOOD 3PTR by BEREZIN,SOLOMON",44 (+19),,25,,UDM 44-25 (-19),,"GOOD 3PTR by BEREZIN,SOLOMON",1
--,"ASSIST  by WAMBSGANSS,MICHAEL",,,,,,,"ASSIST  by WAMBSGANSS,MICHAEL",1
01:33,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
01:33,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
01:33,,,,,"SUB OUT by FISHER,ELI",,,"SUB OUT by FISHER,ELI",1
01:31,,,,,"MISS LAYUP by EATON,JACK",,,"MISS LAYUP by EATON,JACK",1
--,,,,,"REBOUND OFF by NOTLEY,CHANDLER",,,"REBOUND OFF by NOTLEY,CHANDLER",1
01:25,,44 (+17),,27,"GOOD LAYUP by NOTLEY,CHANDLER(in the paint)",HXM 44-27 (-17),,"GOOD LAYUP by NOTLEY,CHANDLER(in the paint)",1
00:49,"MISS 3PTR by BEREZIN,SOLOMON",,,,,,,"MISS 3PTR by BEREZIN,SOLOMON",1
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",1
00:09,,,,,"MISS JUMPER by CALAMESE,MICHAEL",,,"MISS JUMPER by CALAMESE,MICHAEL",1
--,"REBOUND DEF by COLVIN,DARRIUS",,,,,,,"REBOUND DEF by COLVIN,DARRIUS",1
00:02,"TURNOVER  by NORTON,BEN",,,,,,,"TURNOVER  by NORTON,BEN",1
00:01,,,,,"STEAL  by EATON,JACK",,,"STEAL  by EATON,JACK",1
00:00,,,,,"MISS 3PTR by CRISWELL,SEAN",,,"MISS 3PTR by CRISWELL,SEAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:47,"TURNOVER  by LEVI,SPENCER",,,,,,,"TURNOVER  by LEVI,SPENCER",2
19:45,,,,,"STEAL  by BRASFIELD,KAM",,,"STEAL  by BRASFIELD,KAM",2
19:42,,44 (+15),,29,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HXM 44-29 (-15),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",2
19:31,"GOOD LAYUP by COLVIN,DARRIUS(in the paint)",46 (+17),,29,,UDM 46-29 (-17),,"GOOD LAYUP by COLVIN,DARRIUS(in the paint)",2
19:11,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",2
--,"REBOUND DEF by RUSSELL,JOHN",,,,,,,"REBOUND DEF by RUSSELL,JOHN",2
18:54,"TURNOVER  by BEREZIN,SOLOMON",,,,,,,"TURNOVER  by BEREZIN,SOLOMON",2
18:51,,,,,"STEAL  by CRISWELL,SEAN",,,"STEAL  by CRISWELL,SEAN",2
18:50,,46 (+15),,31,"GOOD LAYUP by CRISWELL,SEAN(fastbreak)(in the paint)",HXM 46-31 (-15),,"GOOD LAYUP by CRISWELL,SEAN(fastbreak)(in the paint)",2
18:29,"GOOD LAYUP by RUSSELL,JOHN(in the paint)",48 (+17),,31,,UDM 48-31 (-17),,"GOOD LAYUP by RUSSELL,JOHN(in the paint)",2
--,"ASSIST  by COLVIN,DARRIUS",,,,,,,"ASSIST  by COLVIN,DARRIUS",2
18:15,,48 (+15),,33,"GOOD LAYUP by ROUSE,TREY(in the paint)",HXM 48-33 (-15),,"GOOD LAYUP by ROUSE,TREY(in the paint)",2
17:57,"FOUL  by COLVIN,DARRIUS",,,,,,,"FOUL  by COLVIN,DARRIUS",2
17:57,"FOUL  by RUSSELL,JOHN",,,,,,,"FOUL  by RUSSELL,JOHN",2
17:57,,,,,"MISS FT by CRISWELL,SEAN",,,"MISS FT by CRISWELL,SEAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:57,,48 (+14),,34,"GOOD FT by CRISWELL,SEAN",HXM 48-34 (-14),,"GOOD FT by CRISWELL,SEAN",2
17:57,"SUB IN by NORTON,BEN",,,,,,,"SUB IN by NORTON,BEN",2
17:57,"SUB OUT by RUSSELL,JOHN",,,,,,,"SUB OUT by RUSSELL,JOHN",2
17:46,"GOOD JUMPER by BEREZIN,SOLOMON",50 (+16),,34,,UDM 50-34 (-16),,"GOOD JUMPER by BEREZIN,SOLOMON",2
17:19,,,,,"MISS 3PTR by CALAMESE,MICHAEL",,,"MISS 3PTR by CALAMESE,MICHAEL",2
--,"REBOUND DEF by NORTON,BEN",,,,,,,"REBOUND DEF by NORTON,BEN",2
17:14,,,,,"FOUL  by NOTLEY,CHANDLER",,,"FOUL  by NOTLEY,CHANDLER",2
17:03,"TURNOVER  by COLVIN,DARRIUS",,,,,,,"TURNOVER  by COLVIN,DARRIUS",2
17:01,,,,,"STEAL  by BRASFIELD,KAM",,,"STEAL  by BRASFIELD,KAM",2
16:59,"FOUL  by BEREZIN,SOLOMON",,,,,,,"FOUL  by BEREZIN,SOLOMON",2
16:59,,50 (+15),,35,"GOOD FT by ROUSE,TREY",HXM 50-35 (-15),,"GOOD FT by ROUSE,TREY",2
16:59,,,,,"MISS FT by ROUSE,TREY",,,"MISS FT by ROUSE,TREY",2
--,"REBOUND DEF by NORTON,BEN",,,,,,,"REBOUND DEF by NORTON,BEN",2
16:59,"MISS 3PTR by BEREZIN,SOLOMON",,,,,,,"MISS 3PTR by BEREZIN,SOLOMON",2
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",2
16:59,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
16:59,,,,,"SUB IN by HALL,MARCIS",,,"SUB IN by HALL,MARCIS",2
16:59,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",2
16:59,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",2
16:46,,,,,"MISS LAYUP by EATON,JACK",,,"MISS LAYUP by EATON,JACK",2
--,"REBOUND DEF by NORTON,BEN",,,,,,,"REBOUND DEF by NORTON,BEN",2
16:43,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
