Time Remaining,UTT,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
--,"ASSIST  by ANTHONY,MELVIN",,,,,,,"ASSIST  by ANTHONY,MELVIN",1
04:54,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
04:43,"STEAL  by LANE,JOHNELL",,,,,,,"STEAL  by LANE,JOHNELL",1
04:40,"GOOD LAYUP by LANE,JOHNELL(in the paint)",46 (+17),,29,,UTT 46-29 (-17),,"GOOD LAYUP by LANE,JOHNELL(in the paint)",1
04:34,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:34,"SUB IN by FOGLE,XAVIER",,,,,,,"SUB IN by FOGLE,XAVIER",1
04:34,"SUB OUT by ANTHONY,MELVIN",,,,,,,"SUB OUT by ANTHONY,MELVIN",1
04:31,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by LANE,JOHNELL",,,,,,,"REBOUND DEF by LANE,JOHNELL",1
04:22,"TURNOVER  by LANE,JOHNELL",,,,,,,"TURNOVER  by LANE,JOHNELL",1
04:22,,,,,"STEAL  by BRASFIELD,KAM",,,"STEAL  by BRASFIELD,KAM",1
04:20,"FOUL  by TATUM,JOSH",,,,,,,"FOUL  by TATUM,JOSH",1
04:20,,,,,"MISS FT by ROUSE,TREY",,,"MISS FT by ROUSE,TREY",1
--,"REBOUND DEF by OBUKWELU,EMEKA",,,,,,,"REBOUND DEF by OBUKWELU,EMEKA",1
03:50,"GOOD LAYUP by HADDEN,SKYLER(in the paint)",48 (+19),,29,,UTT 48-29 (-19),,"GOOD LAYUP by HADDEN,SKYLER(in the paint)",1
--,"ASSIST  by TATUM,JOSH",,,,,,,"ASSIST  by TATUM,JOSH",1
03:39,,,,,"MISS LAYUP by CRISWELL,SEAN",,,"MISS LAYUP by CRISWELL,SEAN",1
--,,,,,"REBOUND OFF by CRISWELL,SEAN",,,"REBOUND OFF by CRISWELL,SEAN",1
03:39,"FOUL  by OBUKWELU,EMEKA",,,,,,,"FOUL  by OBUKWELU,EMEKA",1
03:39,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
03:39,,48 (+18),,30,"GOOD FT by CRISWELL,SEAN",HXM 48-30 (-18),,"GOOD FT by CRISWELL,SEAN",1
03:39,,,,,"MISS FT by CRISWELL,SEAN",,,"MISS FT by CRISWELL,SEAN",1
--,"REBOUND DEF by MASON,CHASE",,,,,,,"REBOUND DEF by MASON,CHASE",1
03:25,,,,,"FOUL  by ROBERTS,ERIC",,,"FOUL  by ROBERTS,ERIC",1
03:25,,,,,"SUB IN by HALL,MARCIS",,,"SUB IN by HALL,MARCIS",1
03:25,,,,,"SUB OUT by ROBERTS,ERIC",,,"SUB OUT by ROBERTS,ERIC",1
03:22,"GOOD LAYUP by HADDEN,SKYLER(in the paint)",50 (+20),,30,,UTT 50-30 (-20),,"GOOD LAYUP by HADDEN,SKYLER(in the paint)",1
--,"ASSIST  by TATUM,JOSH",,,,,,,"ASSIST  by TATUM,JOSH",1
03:03,,,,,"TURNOVER  by ROUSE,TREY",,,"TURNOVER  by ROUSE,TREY",1
02:38,"GOOD LAYUP by TATUM,JOSH(in the paint)",52 (+22),,30,,UTT 52-30 (-22),,"GOOD LAYUP by TATUM,JOSH(in the paint)",1
02:38,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",1
02:38,"GOOD FT by TATUM,JOSH",53 (+23),,30,,UTT 53-30 (-23),,"GOOD FT by TATUM,JOSH",1
02:38,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
02:38,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
02:30,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",1
--,"REBOUND DEF by LANE,JOHNELL",,,,,,,"REBOUND DEF by LANE,JOHNELL",1
02:16,"GOOD 3PTR by FOGLE,XAVIER",56 (+26),,30,,UTT 56-30 (-26),,"GOOD 3PTR by FOGLE,XAVIER",1
01:59,,56 (+23),,33,"GOOD 3PTR by SMITH,PRESTON",HXM 56-33 (-23),,"GOOD 3PTR by SMITH,PRESTON",1
01:59,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:59,"SUB IN by GREEN-GASKIN,JAMAL",,,,,,,"SUB IN by GREEN-GASKIN,JAMAL",1
01:59,"SUB IN by MASON,CHASE",,,,,,,"SUB IN by MASON,CHASE",1
01:59,"SUB IN by MOORE,DAVIS",,,,,,,"SUB IN by MOORE,DAVIS",1
01:59,"SUB IN by FRANK,CAMERON",,,,,,,"SUB IN by FRANK,CAMERON",1
01:59,"SUB IN by MOHAMED,OMAR",,,,,,,"SUB IN by MOHAMED,OMAR",1
01:59,"SUB OUT by LANE,JOHNELL",,,,,,,"SUB OUT by LANE,JOHNELL",1
01:59,"SUB OUT by TATUM,JOSH",,,,,,,"SUB OUT by TATUM,JOSH",1
01:59,"SUB OUT by HADDEN,SKYLER",,,,,,,"SUB OUT by HADDEN,SKYLER",1
01:59,"SUB OUT by FOGLE,XAVIER",,,,,,,"SUB OUT by FOGLE,XAVIER",1
01:59,"SUB OUT by OBUKWELU,EMEKA",,,,,,,"SUB OUT by OBUKWELU,EMEKA",1
01:51,"MISS JUMPER by MASON,CHASE",,,,,,,"MISS JUMPER by MASON,CHASE",1
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",1
01:37,,56 (+21),,35,"GOOD LAYUP by ROUSE,TREY(in the paint)",HXM 56-35 (-21),,"GOOD LAYUP by ROUSE,TREY(in the paint)",1
01:37,"FOUL  by MASON,CHASE",,,,,,,"FOUL  by MASON,CHASE",1
01:37,,56 (+20),,36,"GOOD FT by ROUSE,TREY",HXM 56-36 (-20),,"GOOD FT by ROUSE,TREY",1
01:28,"GOOD JUMPER by FRANK,CAMERON",58 (+22),,36,,UTT 58-36 (-22),,"GOOD JUMPER by FRANK,CAMERON",1
01:18,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by MOORE,DAVIS",,,,,,,"REBOUND DEF by MOORE,DAVIS",1
00:43,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",1
00:43,"GOOD FT by FRANK,CAMERON",59 (+23),,36,,UTT 59-36 (-23),,"GOOD FT by FRANK,CAMERON",1
00:43,"GOOD FT by FRANK,CAMERON",60 (+24),,36,,UTT 60-36 (-24),,"GOOD FT by FRANK,CAMERON",1
00:31,,60 (+22),,38,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 60-38 (-22),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
00:00,"MISS 3PTR by MASON,CHASE",,,,,,,"MISS 3PTR by MASON,CHASE",1
--,"REBOUND OFF by MOHAMED,OMAR",,,,,,,"REBOUND OFF by MOHAMED,OMAR",1
00:00,"FOUL  by GREEN-GASKIN,JAMAL",,,,,,,"FOUL  by GREEN-GASKIN,JAMAL",1
00:00,,,,,"MISS FT by HALL,MARCIS",,,"MISS FT by HALL,MARCIS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:00,,,,,"MISS FT by HALL,MARCIS",,,"MISS FT by HALL,MARCIS",1
--,"REBOUND DEF by GREEN-GASKIN,JAMAL",,,,,,,"REBOUND DEF by GREEN-GASKIN,JAMAL",1
19:42,"TURNOVER  by OBUKWELU,EMEKA",,,,,,,"TURNOVER  by OBUKWELU,EMEKA",2
19:39,,,,,"STEAL  by CRISWELL,SEAN",,,"STEAL  by CRISWELL,SEAN",2
19:33,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",2
19:33,"BLOCK  by ANTHONY,MELVIN",,,,,,,"BLOCK  by ANTHONY,MELVIN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
19:33,,60 (+19),,41,"GOOD 3PTR by BRASFIELD,KAM",HXM 60-41 (-19),,"GOOD 3PTR by BRASFIELD,KAM",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
19:33,"MISS 3PTR by ANTHONY,MELVIN",,,,,,,"MISS 3PTR by ANTHONY,MELVIN",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
19:33,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND OFF by CRISWELL,SEAN",,,"REBOUND OFF by CRISWELL,SEAN",2
19:33,,60 (+17),,43,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",HXM 60-43 (-17),,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",2
19:12,"MISS LAYUP by ANTHONY,MELVIN",,,,,,,"MISS LAYUP by ANTHONY,MELVIN",2
--,"REBOUND OFF by ANTHONY,MELVIN",,,,,,,"REBOUND OFF by ANTHONY,MELVIN",2
19:04,"GOOD JUMPER by ANTHONY,MELVIN",62 (+19),,43,,UTT 62-43 (-19),,"GOOD JUMPER by ANTHONY,MELVIN",2
