Time Remaining,CENTMB,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
13:57,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",1
--,,,,,"REBOUND OFF by EATON,JACK",,,"REBOUND OFF by EATON,JACK",1
13:50,"FOUL  by HARDY,RAYLON",,,,,,,"FOUL  by HARDY,RAYLON",1
13:50,"SUB IN by WEAVER,DYLLON",,,,,,,"SUB IN by WEAVER,DYLLON",1
13:33,,,,,"MISS JUMPER by MOORE,AUSTIN",,,"MISS JUMPER by MOORE,AUSTIN",1
13:33,"BLOCK  by CARTER,KAHARRI",,,,,,,"BLOCK  by CARTER,KAHARRI",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
13:18,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",1
--,"REBOUND DEF by WEAVER,DYLLON",,,,,,,"REBOUND DEF by WEAVER,DYLLON",1
13:18,"TURNOVER  by HARDY,RAYLON",,,,,,,"TURNOVER  by HARDY,RAYLON",1
12:59,"FOUL  by HELZER,JAMES",,,,,,,"FOUL  by HELZER,JAMES",1
12:59,,17 (+8),,9,"GOOD FT by HALL,MARCIS",HXM 17-9 (-8),,"GOOD FT by HALL,MARCIS",1
12:59,,,,,"MISS FT by HALL,MARCIS",,,"MISS FT by HALL,MARCIS",1
--,"REBOUND DEF by HELZER,JAMES",,,,,,,"REBOUND DEF by HELZER,JAMES",1
12:59,"SUB IN by MATTHEWS,TREYLAN",,,,,,,"SUB IN by MATTHEWS,TREYLAN",1
12:59,"SUB OUT by HARDY,RAYLON",,,,,,,"SUB OUT by HARDY,RAYLON",1
12:47,"GOOD 3PTR by MATTHEWS,TREYLAN",20 (+11),,9,,CENTMB 20-9 (-11),,"GOOD 3PTR by MATTHEWS,TREYLAN",1
--,"ASSIST  by KIRKENDOLL,TRAVION",,,,,,,"ASSIST  by KIRKENDOLL,TRAVION",1
12:31,"FOUL  by MATTHEWS,TREYLAN",,,,,,,"FOUL  by MATTHEWS,TREYLAN",1
12:31,,20 (+10),,10,"GOOD FT by LINK,JACOB",HXM 20-10 (-10),,"GOOD FT by LINK,JACOB",1
12:31,,20 (+9),,11,"GOOD FT by LINK,JACOB",HXM 20-11 (-9),,"GOOD FT by LINK,JACOB",1
12:31,"SUB IN by HARRIS,CEDRIC",,,,,,,"SUB IN by HARRIS,CEDRIC",1
12:31,"SUB OUT by HELZER,JAMES",,,,,,,"SUB OUT by HELZER,JAMES",1
12:22,"MISS 3PTR by WEAVER,DYLLON",,,,,,,"MISS 3PTR by WEAVER,DYLLON",1
--,"REBOUND OFF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND OFF by KIRKENDOLL,TRAVION",1
12:15,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
12:13,"MISS 3PTR by HARRIS,CEDRIC",,,,,,,"MISS 3PTR by HARRIS,CEDRIC",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
11:56,"FOUL  by MATTHEWS,TREYLAN",,,,,,,"FOUL  by MATTHEWS,TREYLAN",1
11:56,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:56,,20 (+8),,12,"GOOD FT by LINK,JACOB",HXM 20-12 (-8),,"GOOD FT by LINK,JACOB",1
11:36,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
11:36,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",1
11:36,,,,,"SUB OUT by ROBERTS,ERIC",,,"SUB OUT by ROBERTS,ERIC",1
11:21,"TURNOVER  by GRAY,JERICHO",,,,,,,"TURNOVER  by GRAY,JERICHO",1
11:21,"SUB IN by GRAY,JERICHO",,,,,,,"SUB IN by GRAY,JERICHO",1
11:21,"SUB OUT by MATTHEWS,TREYLAN",,,,,,,"SUB OUT by MATTHEWS,TREYLAN",1
11:10,,,,,"MISS JUMPER by BRASFIELD,KAM",,,"MISS JUMPER by BRASFIELD,KAM",1
--,"REBOUND DEF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND DEF by KIRKENDOLL,TRAVION",1
11:00,"MISS 3PTR by GRAY,JERICHO",,,,,,,"MISS 3PTR by GRAY,JERICHO",1
--,"REBOUND OFF by CARTER,KAHARRI",,,,,,,"REBOUND OFF by CARTER,KAHARRI",1
10:55,"MISS LAYUP by CARTER,KAHARRI",,,,,,,"MISS LAYUP by CARTER,KAHARRI",1
10:55,,,,,"BLOCK  by ROUSE,TREY",,,"BLOCK  by ROUSE,TREY",1
--,,,,,"REBOUND DEF by ROUSE,TREY",,,"REBOUND DEF by ROUSE,TREY",1
10:46,"FOUL  by GRAY,JERICHO",,,,,,,"FOUL  by GRAY,JERICHO",1
10:46,,,,,"MISS FT by BRASFIELD,KAM",,,"MISS FT by BRASFIELD,KAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:46,,20 (+7),,13,"GOOD FT by BRASFIELD,KAM",HXM 20-13 (-7),,"GOOD FT by BRASFIELD,KAM",1
10:46,"SUB IN by JOHNSON,REGIS",,,,,,,"SUB IN by JOHNSON,REGIS",1
10:46,"SUB OUT by WEAVER,DYLLON",,,,,,,"SUB OUT by WEAVER,DYLLON",1
10:46,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",1
10:46,,,,,"SUB OUT by MOORE,AUSTIN",,,"SUB OUT by MOORE,AUSTIN",1
10:32,"MISS 3PTR by KIRKENDOLL,TRAVION",,,,,,,"MISS 3PTR by KIRKENDOLL,TRAVION",1
--,"REBOUND OFF by CARTER,KAHARRI",,,,,,,"REBOUND OFF by CARTER,KAHARRI",1
10:26,"TURNOVER  by CARTER,KAHARRI",,,,,,,"TURNOVER  by CARTER,KAHARRI",1
10:13,,,,,"TURNOVER  by ROUSE,TREY",,,"TURNOVER  by ROUSE,TREY",1
09:58,"MISS JUMPER by CARTER,KAHARRI",,,,,,,"MISS JUMPER by CARTER,KAHARRI",1
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",1
09:47,,,,,"MISS 3PTR by EATON,JACK",,,"MISS 3PTR by EATON,JACK",1
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",1
09:42,"FOUL  by GRAY,JERICHO",,,,,,,"FOUL  by GRAY,JERICHO",1
09:42,,20 (+6),,14,"GOOD FT by HALL,MARCIS",HXM 20-14 (-6),,"GOOD FT by HALL,MARCIS",1
09:42,,,,,"MISS FT by HALL,MARCIS",,,"MISS FT by HALL,MARCIS",1
--,"REBOUND DEF by HAWKINS,NEIL",,,,,,,"REBOUND DEF by HAWKINS,NEIL",1
09:42,"TURNOVER  by HAWKINS,NEIL",,,,,,,"TURNOVER  by HAWKINS,NEIL",1
09:42,"SUB IN by HELZER,JAMES",,,,,,,"SUB IN by HELZER,JAMES",1
09:42,"SUB OUT by CARTER,KAHARRI",,,,,,,"SUB OUT by CARTER,KAHARRI",1
09:28,,,,,"FOUL  by HALL,MARCIS",,,"FOUL  by HALL,MARCIS",1
09:13,"GOOD LAYUP by JOHNSON,REGIS(in the paint)",22 (+8),,14,,CENTMB 22-14 (-8),,"GOOD LAYUP by JOHNSON,REGIS(in the paint)",1
08:58,,,,,"MISS LAYUP by CRISWELL,SEAN",,,"MISS LAYUP by CRISWELL,SEAN",1
08:58,,,,,"FOUL  by CRISWELL,SEAN",,,"FOUL  by CRISWELL,SEAN",1
08:58,"TIMEOUT 30SEC by HAWKINS,NEIL",,,,,,,"TIMEOUT 30SEC by HAWKINS,NEIL",1
08:58,,,,,"SUB IN by ROBERTS,ERIC",,,"SUB IN by ROBERTS,ERIC",1
08:58,,,,,"SUB OUT by HALL,MARCIS",,,"SUB OUT by HALL,MARCIS",1
--,"ASSIST  by HELZER,JAMES",,,,,,,"ASSIST  by HELZER,JAMES",1
08:24,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
08:22,"STEAL  by KIRKENDOLL,TRAVION",,,,,,,"STEAL  by KIRKENDOLL,TRAVION",1
08:21,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",24 (+10),,14,,CENTMB 24-14 (-10),,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",1
08:17,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:48,,,,,"TURNOVER  by CRISWELL,SEAN",,,"TURNOVER  by CRISWELL,SEAN",1
07:46,"STEAL  by HELZER,JAMES",,,,,,,"STEAL  by HELZER,JAMES",1
07:28,"GOOD 3PTR by HARRIS,CEDRIC",27 (+13),,14,,CENTMB 27-14 (-13),,"GOOD 3PTR by HARRIS,CEDRIC",1
--,"ASSIST  by KIRKENDOLL,TRAVION",,,,,,,"ASSIST  by KIRKENDOLL,TRAVION",1
07:01,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",1
--,"REBOUND DEF by HARRIS,CEDRIC",,,,,,,"REBOUND DEF by HARRIS,CEDRIC",1
06:47,"GOOD 3PTR by HARRIS,CEDRIC",30 (+16),,14,,CENTMB 30-14 (-16),,"GOOD 3PTR by HARRIS,CEDRIC",1
06:41,"FOUL  by KIRKENDOLL,TRAVION",,,,,,,"FOUL  by KIRKENDOLL,TRAVION",1
06:41,,30 (+15),,15,"GOOD FT by ROUSE,TREY",HXM 30-15 (-15),,"GOOD FT by ROUSE,TREY",1
06:41,,30 (+14),,16,"GOOD FT by ROUSE,TREY",HXM 30-16 (-14),,"GOOD FT by ROUSE,TREY",1
06:41,"SUB IN by HARDY,RAYLON",,,,,,,"SUB IN by HARDY,RAYLON",1
06:41,,,,,"SUB IN by MOORE,AUSTIN",,,"SUB IN by MOORE,AUSTIN",1
06:41,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
06:41,,,,,"SUB IN by FISHER,ELI",,,"SUB IN by FISHER,ELI",1
06:41,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
06:41,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",1
06:41,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
06:41,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
06:41,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",1
06:28,"FOUL  by JOHNSON,REGIS",,,,,,,"FOUL  by JOHNSON,REGIS",1
06:25,"SUB IN by KIRKENDOLL,TRAVION",,,,,,,"SUB IN by KIRKENDOLL,TRAVION",1
06:25,"SUB OUT by JOHNSON,REGIS",,,,,,,"SUB OUT by JOHNSON,REGIS",1
06:17,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
06:15,"STEAL  by HARDY,RAYLON",,,,,,,"STEAL  by HARDY,RAYLON",1
06:12,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",1
06:12,"GOOD FT by HARDY,RAYLON",31 (+15),,16,,CENTMB 31-16 (-15),,"GOOD FT by HARDY,RAYLON",1
06:12,"GOOD FT by HARDY,RAYLON",32 (+16),,16,,CENTMB 32-16 (-16),,"GOOD FT by HARDY,RAYLON",1
06:07,,,,,"TURNOVER  by MOORE,AUSTIN",,,"TURNOVER  by MOORE,AUSTIN",1
05:52,"GOOD JUMPER by KIRKENDOLL,TRAVION",34 (+18),,16,,CENTMB 34-16 (-18),,"GOOD JUMPER by KIRKENDOLL,TRAVION",1
--,"ASSIST  by HARDY,RAYLON",,,,,,,"ASSIST  by HARDY,RAYLON",1
05:46,,,,,"TURNOVER  by FISHER,ELI",,,"TURNOVER  by FISHER,ELI",1
05:23,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
05:23,"GOOD FT by GRAY,JERICHO",35 (+19),,16,,CENTMB 35-16 (-19),,"GOOD FT by GRAY,JERICHO",1
05:23,"GOOD FT by GRAY,JERICHO",36 (+20),,16,,CENTMB 36-16 (-20),,"GOOD FT by GRAY,JERICHO",1
05:23,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",1
05:23,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",1
05:23,,,,,"SUB IN by HALL,MARCIS",,,"SUB IN by HALL,MARCIS",1
05:23,,,,,"SUB OUT by MOORE,AUSTIN",,,"SUB OUT by MOORE,AUSTIN",1
05:23,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
05:23,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
05:14,,36 (+18),,18,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",HXM 36-18 (-18),,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",1
05:14,"FOUL  by HARRIS,CEDRIC",,,,,,,"FOUL  by HARRIS,CEDRIC",1
05:14,,36 (+17),,19,"GOOD FT by ROBERTS,ERIC",HXM 36-19 (-17),,"GOOD FT by ROBERTS,ERIC",1
04:52,"GOOD 3PTR by HARRIS,CEDRIC",39 (+20),,19,,CENTMB 39-19 (-20),,"GOOD 3PTR by HARRIS,CEDRIC",1
04:23,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",1
--,"REBOUND DEF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND DEF by KIRKENDOLL,TRAVION",1
04:23,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
04:23,"GOOD FT by KIRKENDOLL,TRAVION",40 (+21),,19,,CENTMB 40-19 (-21),,"GOOD FT by KIRKENDOLL,TRAVION",1
04:23,"GOOD FT by KIRKENDOLL,TRAVION",41 (+22),,19,,CENTMB 41-19 (-22),,"GOOD FT by KIRKENDOLL,TRAVION",1
04:15,"SUB IN by WEAVER,DYLLON",,,,,,,"SUB IN by WEAVER,DYLLON",1
04:15,"SUB OUT by GRAY,JERICHO",,,,,,,"SUB OUT by GRAY,JERICHO",1
04:15,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
04:15,,,,,"SUB OUT by FISHER,ELI",,,"SUB OUT by FISHER,ELI",1
03:51,,41 (+19),,22,"GOOD 3PTR by ROBERTS,ERIC",HXM 41-22 (-19),,"GOOD 3PTR by ROBERTS,ERIC",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
03:41,"MISS 3PTR by WEAVER,DYLLON",,,,,,,"MISS 3PTR by WEAVER,DYLLON",1
--,,,,,"REBOUND DEF by ROBERTS,ERIC",,,"REBOUND DEF by ROBERTS,ERIC",1
03:19,,41 (+17),,24,"GOOD JUMPER by ROUSE,TREY",HXM 41-24 (-17),,"GOOD JUMPER by ROUSE,TREY",1
02:50,"GOOD JUMPER by HELZER,JAMES",43 (+19),,24,,CENTMB 43-24 (-19),,"GOOD JUMPER by HELZER,JAMES",1
02:29,"FOUL  by HARDY,RAYLON",,,,,,,"FOUL  by HARDY,RAYLON",1
02:29,,,,,"MISS FT by HALL,MARCIS",,,"MISS FT by HALL,MARCIS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:29,,43 (+18),,25,"GOOD FT by HALL,MARCIS",HXM 43-25 (-18),,"GOOD FT by HALL,MARCIS",1
02:29,"SUB IN by CARTER,KAHARRI",,,,,,,"SUB IN by CARTER,KAHARRI",1
02:29,"SUB OUT by HARDY,RAYLON",,,,,,,"SUB OUT by HARDY,RAYLON",1
02:09,"TURNOVER  by HARRIS,CEDRIC",,,,,,,"TURNOVER  by HARRIS,CEDRIC",1
02:01,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",1
--,"REBOUND DEF by CARTER,KAHARRI",,,,,,,"REBOUND DEF by CARTER,KAHARRI",1
01:54,"MISS 3PTR by WEAVER,DYLLON",,,,,,,"MISS 3PTR by WEAVER,DYLLON",1
--,"REBOUND OFF by HARRIS,CEDRIC",,,,,,,"REBOUND OFF by HARRIS,CEDRIC",1
01:48,"GOOD LAYUP by HARRIS,CEDRIC(in the paint)",45 (+20),,25,,CENTMB 45-25 (-20),,"GOOD LAYUP by HARRIS,CEDRIC(in the paint)",1
01:34,"FOUL  by HARRIS,CEDRIC",,,,,,,"FOUL  by HARRIS,CEDRIC",1
01:34,,,,,"MISS FT by HALL,MARCIS",,,"MISS FT by HALL,MARCIS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:34,,45 (+19),,26,"GOOD FT by HALL,MARCIS",HXM 45-26 (-19),,"GOOD FT by HALL,MARCIS",1
01:34,"SUB IN by JACKSON,SHAUN",,,,,,,"SUB IN by JACKSON,SHAUN",1
01:34,"SUB OUT by HARRIS,CEDRIC",,,,,,,"SUB OUT by HARRIS,CEDRIC",1
01:09,"MISS JUMPER by KIRKENDOLL,TRAVION",,,,,,,"MISS JUMPER by KIRKENDOLL,TRAVION",1
--,,,,,"REBOUND DEF by ROBERTS,ERIC",,,"REBOUND DEF by ROBERTS,ERIC",1
00:54,,45 (+17),,28,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",HXM 45-28 (-17),,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
00:29,"SUB IN by REED,JAY",,,,,,,"SUB IN by REED,JAY",1
00:29,"SUB OUT by CARTER,KAHARRI",,,,,,,"SUB OUT by CARTER,KAHARRI",1
00:15,,,,,"TURNOVER  by ROBERTS,ERIC",,,"TURNOVER  by ROBERTS,ERIC",1
00:03,"MISS JUMPER by REED,JAY",,,,,,,"MISS JUMPER by REED,JAY",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
00:00,"FOUL  by HELZER,JAMES",,,,,,,"FOUL  by HELZER,JAMES",1
00:00,"GOOD JUMPER by HARRIS,CEDRIC",47 (+19),,28,,CENTMB 47-28 (-19),,"GOOD JUMPER by HARRIS,CEDRIC",1
00:00,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",49 (+21),,28,,CENTMB 49-28 (-21),,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",1
20:00,"SUB IN by MATTHEWS,TREYLAN",,,,,,,"SUB IN by MATTHEWS,TREYLAN",2
20:00,"SUB IN by KIRKENDOLL,TRAVION",,,,,,,"SUB IN by KIRKENDOLL,TRAVION",2
20:00,"SUB IN by CARTER,KAHARRI",,,,,,,"SUB IN by CARTER,KAHARRI",2
20:00,"SUB IN by HARRIS,CEDRIC",,,,,,,"SUB IN by HARRIS,CEDRIC",2
20:00,"SUB IN by JOHNSON,REGIS",,,,,,,"SUB IN by JOHNSON,REGIS",2
20:00,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",2
20:00,,,,,"SUB IN by HALL,MARCIS",,,"SUB IN by HALL,MARCIS",2
20:00,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",2
20:00,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",2
19:42,"MISS LAYUP by CARTER,KAHARRI",,,,,,,"MISS LAYUP by CARTER,KAHARRI",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
19:32,,49 (+19),,30,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 49-30 (-19),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
19:32,"FOUL  by JOHNSON,REGIS",,,,,,,"FOUL  by JOHNSON,REGIS",2
19:32,,,,,"MISS FT by HALL,MARCIS",,,"MISS FT by HALL,MARCIS",2
--,"REBOUND DEF by CARTER,KAHARRI",,,,,,,"REBOUND DEF by CARTER,KAHARRI",2
19:32,,,,,"FOUL  by ROBERTS,ERIC",,,"FOUL  by ROBERTS,ERIC",2
19:13,"MISS 3PTR by HARRIS,CEDRIC",,,,,,,"MISS 3PTR by HARRIS,CEDRIC",2
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",2
19:03,,,,,"MISS 3PTR by CALAMESE,MICHAEL",,,"MISS 3PTR by CALAMESE,MICHAEL",2
--,"REBOUND DEF by CARTER,KAHARRI",,,,,,,"REBOUND DEF by CARTER,KAHARRI",2
18:54,"MISS LAYUP by CARTER,KAHARRI",,,,,,,"MISS LAYUP by CARTER,KAHARRI",2
--,"REBOUND OFF by JOHNSON,REGIS",,,,,,,"REBOUND OFF by JOHNSON,REGIS",2
18:51,,,,,"FOUL  by ROBERTS,ERIC",,,"FOUL  by ROBERTS,ERIC",2
18:51,"MISS FT by JOHNSON,REGIS",,,,,,,"MISS FT by JOHNSON,REGIS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:51,"GOOD FT by JOHNSON,REGIS",50 (+20),,30,,CENTMB 50-30 (-20),,"GOOD FT by JOHNSON,REGIS",2
