Time Remaining,WABM,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
15:34,"FOUL  by RYAN,RONALD",,,,,,,"FOUL  by RYAN,RONALD",1
15:34,"TURNOVER  by RYAN,RONALD",,,,,,,"TURNOVER  by RYAN,RONALD",1
15:33,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:33,"SUB IN by HALLSTROM,HARRISON",,,,,,,"SUB IN by HALLSTROM,HARRISON",1
15:33,"SUB IN by STAFFORD,ISIAH",,,,,,,"SUB IN by STAFFORD,ISIAH",1
15:33,"SUB IN by ROY,DUNCAN",,,,,,,"SUB IN by ROY,DUNCAN",1
15:33,"SUB OUT by WHITE,LOGAN",,,,,,,"SUB OUT by WHITE,LOGAN",1
15:33,"SUB OUT by FRANK,EVAN",,,,,,,"SUB OUT by FRANK,EVAN",1
15:33,"SUB OUT by PATTON,ZACK",,,,,,,"SUB OUT by PATTON,ZACK",1
15:12,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",1
15:01,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
14:48,"GOOD 3PTR by GARLAND,COLTEN",11 (+5),,6,,WABM 11-6 (-5),,"GOOD 3PTR by GARLAND,COLTEN",1
--,"ASSIST  by RYAN,RONALD",,,,,,,"ASSIST  by RYAN,RONALD",1
14:27,"FOUL  by HALLSTROM,HARRISON",,,,,,,"FOUL  by HALLSTROM,HARRISON",1
14:18,,,,,"MISS JUMPER by DENEKA,HARRISON",,,"MISS JUMPER by DENEKA,HARRISON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:18,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",1
14:18,"MISS 3PTR by STAFFORD,ISIAH",,,,,,,"MISS 3PTR by STAFFORD,ISIAH",1
--,"REBOUND OFF by HALLSTROM,HARRISON",,,,,,,"REBOUND OFF by HALLSTROM,HARRISON",1
14:18,"GOOD 3PTR by ROY,DUNCAN",14 (+8),,6,,WABM 14-6 (-8),,"GOOD 3PTR by ROY,DUNCAN",1
--,"ASSIST  by GARLAND,COLTEN",,,,,,,"ASSIST  by GARLAND,COLTEN",1
14:18,,,,,"SUB IN by WALDRUM,AIDAN",,,"SUB IN by WALDRUM,AIDAN",1
14:18,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
14:18,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
14:18,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
14:16,"FOUL  by HALLSTROM,HARRISON",,,,,,,"FOUL  by HALLSTROM,HARRISON",1
13:58,,14 (+7),,7,"GOOD FT by WALDRUM,AIDAN",16BSC-M 14-7 (-7),,"GOOD FT by WALDRUM,AIDAN",1
13:24,,14 (+6),,8,"GOOD FT by WALDRUM,AIDAN",16BSC-M 14-8 (-6),,"GOOD FT by WALDRUM,AIDAN",1
13:24,"SUB IN by FRANK,EVAN",,,,,,,"SUB IN by FRANK,EVAN",1
13:24,"SUB IN by STAFFORD,ISIAH",,,,,,,"SUB IN by STAFFORD,ISIAH",1
13:24,"SUB OUT by HALLSTROM,HARRISON",,,,,,,"SUB OUT by HALLSTROM,HARRISON",1
13:24,"SUB OUT by STAFFORD,ISIAH",,,,,,,"SUB OUT by STAFFORD,ISIAH",1
13:24,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",1
13:24,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
13:24,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
13:24,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
13:02,"MISS LAYUP by FRANK,EVAN",,,,,,,"MISS LAYUP by FRANK,EVAN",1
--,,,,,"REBOUND DEF by GRAHAM,CHRIS",,,"REBOUND DEF by GRAHAM,CHRIS",1
12:53,,14 (+4),,10,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",16BSC-M 14-10 (-4),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",1
12:44,"MISS 3PTR by ROY,DUNCAN",,,,,,,"MISS 3PTR by ROY,DUNCAN",1
--,,,,,"REBOUND DEF by WALDRUM,AIDAN",,,"REBOUND DEF by WALDRUM,AIDAN",1
12:39,,14 (+2),,12,"GOOD LAYUP by THOM,IAN(in the paint)",16BSC-M 14-12 (-2),,"GOOD LAYUP by THOM,IAN(in the paint)",1
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",1
12:28,"GOOD 3PTR by GARLAND,COLTEN",17 (+5),,12,,WABM 17-12 (-5),,"GOOD 3PTR by GARLAND,COLTEN",1
--,"ASSIST  by ROY,DUNCAN",,,,,,,"ASSIST  by ROY,DUNCAN",1
11:20,,17 (+2),,15,"GOOD 3PTR by BAK,CALVIN",16BSC-M 17-15 (-2),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by WALDRUM,AIDAN",,,"ASSIST  by WALDRUM,AIDAN",1
10:48,"GOOD 3PTR by RYAN,RONALD",20 (+5),,15,,WABM 20-15 (-5),,"GOOD 3PTR by RYAN,RONALD",1
10:30,,20 (+3),,17,"GOOD LAYUP by THOM,IAN(in the paint)",16BSC-M 20-17 (-3),,"GOOD LAYUP by THOM,IAN(in the paint)",1
10:19,"GOOD 3PTR by STAFFORD,ISIAH",23 (+6),,17,,WABM 23-17 (-6),,"GOOD 3PTR by STAFFORD,ISIAH",1
--,"ASSIST  by FRANK,EVAN",,,,,,,"ASSIST  by FRANK,EVAN",1
09:59,,,,,"TURNOVER  by WALDRUM,AIDAN",,,"TURNOVER  by WALDRUM,AIDAN",1
09:58,"STEAL  by RYAN,RONALD",,,,,,,"STEAL  by RYAN,RONALD",1
09:55,"MISS 3PTR by STAFFORD,ISIAH",,,,,,,"MISS 3PTR by STAFFORD,ISIAH",1
--,"REBOUND OFF by RYAN,RONALD",,,,,,,"REBOUND OFF by RYAN,RONALD",1
09:51,"MISS LAYUP by RYAN,RONALD",,,,,,,"MISS LAYUP by RYAN,RONALD",1
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",1
09:42,,23 (+3),,20,"GOOD 3PTR by THOM,IAN",16BSC-M 23-20 (-3),,"GOOD 3PTR by THOM,IAN",1
09:19,"MISS LAYUP by GARLAND,COLTEN",,,,,,,"MISS LAYUP by GARLAND,COLTEN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:19,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
09:09,"MISS LAYUP by FRANK,EVAN",,,,,,,"MISS LAYUP by FRANK,EVAN",1
--,"REBOUND OFF by FRANK,EVAN",,,,,,,"REBOUND OFF by FRANK,EVAN",1
09:05,"MISS LAYUP by FRANK,EVAN",,,,,,,"MISS LAYUP by FRANK,EVAN",1
--,,,,,"REBOUND DEF by LEWIS,EVAN",,,"REBOUND DEF by LEWIS,EVAN",1
08:59,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,,,,,"REBOUND OFF by MCLEAN,JAMES",,,"REBOUND OFF by MCLEAN,JAMES",1
08:29,,,,,"MISS LAYUP by MCLEAN,JAMES",,,"MISS LAYUP by MCLEAN,JAMES",1
--,"REBOUND DEF by WHITE,LOGAN",,,,,,,"REBOUND DEF by WHITE,LOGAN",1
08:24,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
08:24,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
08:24,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
08:24,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
08:24,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",1
08:24,,,,,"SUB OUT by WALDRUM,AIDAN",,,"SUB OUT by WALDRUM,AIDAN",1
08:24,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
08:24,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
08:04,"FOUL  by EBERHARD,ALEX",,,,,,,"FOUL  by EBERHARD,ALEX",1
08:04,"TURNOVER  by EBERHARD,ALEX",,,,,,,"TURNOVER  by EBERHARD,ALEX",1
08:04,"SUB IN by EBERHARD,ALEX",,,,,,,"SUB IN by EBERHARD,ALEX",1
08:04,"SUB IN by WHITE,LOGAN",,,,,,,"SUB IN by WHITE,LOGAN",1
08:04,"SUB OUT by ROY,DUNCAN",,,,,,,"SUB OUT by ROY,DUNCAN",1
08:04,"SUB OUT by RYAN,RONALD",,,,,,,"SUB OUT by RYAN,RONALD",1
07:50,,,,,"MISS LAYUP by RUDAK,MATTY",,,"MISS LAYUP by RUDAK,MATTY",1
--,"REBOUND DEF by EBERHARD,ALEX",,,,,,,"REBOUND DEF by EBERHARD,ALEX",1
07:34,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",1
07:34,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
07:34,"GOOD FT by FRANK,EVAN",24 (+4),,20,,WABM 24-20 (-4),,"GOOD FT by FRANK,EVAN",1
07:34,"GOOD FT by FRANK,EVAN",25 (+5),,20,,WABM 25-20 (-5),,"GOOD FT by FRANK,EVAN",1
07:19,,25 (+3),,22,"GOOD LAYUP by THOM,IAN(in the paint)",16BSC-M 25-22 (-3),,"GOOD LAYUP by THOM,IAN(in the paint)",1
06:52,"MISS LAYUP by WHITE,LOGAN",,,,,,,"MISS LAYUP by WHITE,LOGAN",1
06:52,,,,,"BLOCK  by MCLEAN,JAMES",,,"BLOCK  by MCLEAN,JAMES",1
--,"REBOUND OFF by FRANK,EVAN",,,,,,,"REBOUND OFF by FRANK,EVAN",1
06:45,"MISS 3PTR by RYAN,RONALD",,,,,,,"MISS 3PTR by RYAN,RONALD",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
06:23,,25 (+1),,24,"GOOD LAYUP by RUDAK,MATTY(in the paint)",16BSC-M 25-24 (-1),,"GOOD LAYUP by RUDAK,MATTY(in the paint)",1
--,,,,,"ASSIST  by HARDIMAN,BEN",,,"ASSIST  by HARDIMAN,BEN",1
06:13,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",1
05:56,"TURNOVER  by RYAN,RONALD",,,,,,,"TURNOVER  by RYAN,RONALD",1
05:56,,,,,"STEAL  by MCLEAN,JAMES",,,"STEAL  by MCLEAN,JAMES",1
05:56,"FOUL  by RYAN,RONALD",,,,,,,"FOUL  by RYAN,RONALD",1
05:56,"SUB IN by RYAN,RONALD",,,,,,,"SUB IN by RYAN,RONALD",1
05:56,"SUB OUT by GARLAND,COLTEN",,,,,,,"SUB OUT by GARLAND,COLTEN",1
05:45,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",1
05:45,,,,,"TURNOVER  by LEWIS,EVAN",,,"TURNOVER  by LEWIS,EVAN",1
05:45,,,,,"SUB IN by WALDRUM,AIDAN",,,"SUB IN by WALDRUM,AIDAN",1
05:45,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",1
05:45,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
05:45,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
05:45,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
05:45,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
05:30,"GOOD LAYUP by FRANK,EVAN(in the paint)",27 (+3),,24,,WABM 27-24 (-3),,"GOOD LAYUP by FRANK,EVAN(in the paint)",1
05:30,,,,,"FOUL  by WALDRUM,AIDAN",,,"FOUL  by WALDRUM,AIDAN",1
05:30,"GOOD FT by FRANK,EVAN",28 (+4),,24,,WABM 28-24 (-4),,"GOOD FT by FRANK,EVAN",1
05:30,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
05:30,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
05:04,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",1
--,"REBOUND DEF by EBERHARD,ALEX",,,,,,,"REBOUND DEF by EBERHARD,ALEX",1
04:53,,,,,"FOUL  by WALDRUM,AIDAN",,,"FOUL  by WALDRUM,AIDAN",1
04:53,"GOOD FT by FRANK,EVAN",29 (+5),,24,,WABM 29-24 (-5),,"GOOD FT by FRANK,EVAN",1
04:53,"GOOD FT by FRANK,EVAN",30 (+6),,24,,WABM 30-24 (-6),,"GOOD FT by FRANK,EVAN",1
04:53,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",1
04:53,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
04:53,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",1
04:53,,,,,"SUB OUT by WALDRUM,AIDAN",,,"SUB OUT by WALDRUM,AIDAN",1
04:38,,,,,"TURNOVER  by RUDAK,MATTY",,,"TURNOVER  by RUDAK,MATTY",1
04:37,"STEAL  by FRANK,EVAN",,,,,,,"STEAL  by FRANK,EVAN",1
04:36,"TURNOVER  by GARLAND,COLTEN",,,,,,,"TURNOVER  by GARLAND,COLTEN",1
04:14,"FOUL  by FRANK,EVAN",,,,,,,"FOUL  by FRANK,EVAN",1
04:14,,30 (+5),,25,"GOOD FT by RUDAK,MATTY",16BSC-M 30-25 (-5),,"GOOD FT by RUDAK,MATTY",1
04:14,,30 (+4),,26,"GOOD FT by RUDAK,MATTY",16BSC-M 30-26 (-4),,"GOOD FT by RUDAK,MATTY",1
04:14,"SUB IN by VACHON,DALTON",,,,,,,"SUB IN by VACHON,DALTON",1
04:14,"SUB OUT by FRANK,EVAN",,,,,,,"SUB OUT by FRANK,EVAN",1
03:56,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
03:56,"SUB IN by PATTON,ZACK",,,,,,,"SUB IN by PATTON,ZACK",1
03:56,"SUB IN by GARLAND,COLTEN",,,,,,,"SUB IN by GARLAND,COLTEN",1
03:56,"SUB OUT by EBERHARD,ALEX",,,,,,,"SUB OUT by EBERHARD,ALEX",1
03:56,"SUB OUT by RYAN,RONALD",,,,,,,"SUB OUT by RYAN,RONALD",1
03:56,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
03:56,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
03:56,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
03:56,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
03:56,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
03:56,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
03:43,"MISS LAYUP by WHITE,LOGAN",,,,,,,"MISS LAYUP by WHITE,LOGAN",1
--,,,,,"REBOUND DEF by MCLEAN,JAMES",,,"REBOUND DEF by MCLEAN,JAMES",1
03:23,,30 (+2),,28,"GOOD LAYUP by LEWIS,EVAN(in the paint)",16BSC-M 30-28 (-2),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",1
03:23,"FOUL  by WHITE,LOGAN",,,,,,,"FOUL  by WHITE,LOGAN",1
03:23,"FOUL TECH by WHITE,LOGAN",,,,,,,"FOUL TECH by WHITE,LOGAN",1
03:23,,30 (+1),,29,"GOOD FT by LEWIS,EVAN",16BSC-M 30-29 (-1),,"GOOD FT by LEWIS,EVAN",1
03:23,,30,,30,"GOOD FT by LEWIS,EVAN",16BSC-M 30-30 (0),,"GOOD FT by LEWIS,EVAN",1
03:23,"FOUL  by WHITE,LOGAN",,,,,,,"FOUL  by WHITE,LOGAN",1
03:23,,30,,31 (+1),"GOOD FT by LEWIS,EVAN",16BSC-M 30-31 (+1),,"GOOD FT by LEWIS,EVAN",1
03:23,"SUB IN by ROY,DUNCAN",,,,,,,"SUB IN by ROY,DUNCAN",1
03:23,"SUB IN by FRANK,EVAN",,,,,,,"SUB IN by FRANK,EVAN",1
03:23,"SUB OUT by VACHON,DALTON",,,,,,,"SUB OUT by VACHON,DALTON",1
03:23,"SUB OUT by WHITE,LOGAN",,,,,,,"SUB OUT by WHITE,LOGAN",1
03:23,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
03:23,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",1
03:23,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
03:23,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
03:17,"TURNOVER  by STAFFORD,ISIAH",,,,,,,"TURNOVER  by STAFFORD,ISIAH",1
03:17,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
03:17,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
03:17,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
03:17,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
03:13,,30,,33 (+3),"GOOD LAYUP by LEWIS,EVAN(in the paint)",16BSC-M 30-33 (+3),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",1
02:59,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",1
02:59,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
02:59,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
02:59,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
02:53,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",1
02:53,"GOOD FT by FRANK,EVAN",31,,33 (+2),,WABM 31-33 (+2),,"GOOD FT by FRANK,EVAN",1
02:53,"GOOD FT by FRANK,EVAN",32,,33 (+1),,WABM 32-33 (+1),,"GOOD FT by FRANK,EVAN",1
02:53,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
02:53,,,,,"SUB IN by WALDRUM,AIDAN",,,"SUB IN by WALDRUM,AIDAN",1
02:53,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
02:53,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
02:53,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
02:53,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
02:22,,,,,"MISS LAYUP by WALDRUM,AIDAN",,,"MISS LAYUP by WALDRUM,AIDAN",1
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",1
02:19,,32,,35 (+3),"GOOD LAYUP by THOM,IAN(in the paint)",16BSC-M 32-35 (+3),,"GOOD LAYUP by THOM,IAN(in the paint)",1
02:06,"GOOD LAYUP by FRANK,EVAN(in the paint)",34,,35 (+1),,WABM 34-35 (+1),,"GOOD LAYUP by FRANK,EVAN(in the paint)",1
01:48,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,"REBOUND DEF by STAFFORD,ISIAH",,,,,,,"REBOUND DEF by STAFFORD,ISIAH",1
01:44,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",1
01:44,"GOOD FT by ROY,DUNCAN",35,,35,,WABM 35-35 (0),,"GOOD FT by ROY,DUNCAN",1
01:44,"GOOD FT by ROY,DUNCAN",36 (+1),,35,,WABM 36-35 (-1),,"GOOD FT by ROY,DUNCAN",1
01:44,"SUB IN by VACHON,DALTON",,,,,,,"SUB IN by VACHON,DALTON",1
01:44,"SUB OUT by FRANK,EVAN",,,,,,,"SUB OUT by FRANK,EVAN",1
01:44,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
01:44,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",1
01:44,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
01:44,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
01:44,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
01:44,,,,,"SUB OUT by WALDRUM,AIDAN",,,"SUB OUT by WALDRUM,AIDAN",1
01:27,,,,,"MISS LAYUP by PERKINS,ALEX",,,"MISS LAYUP by PERKINS,ALEX",1
--,"REBOUND DEF by PATTON,ZACK",,,,,,,"REBOUND DEF by PATTON,ZACK",1
01:11,"MISS LAYUP by VACHON,DALTON",,,,,,,"MISS LAYUP by VACHON,DALTON",1
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",1
01:03,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",1
--,"REBOUND DEF by PATTON,ZACK",,,,,,,"REBOUND DEF by PATTON,ZACK",1
00:48,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",1
00:48,"GOOD FT by STAFFORD,ISIAH",37 (+2),,35,,WABM 37-35 (-2),,"GOOD FT by STAFFORD,ISIAH",1
00:48,"GOOD FT by STAFFORD,ISIAH",38 (+3),,35,,WABM 38-35 (-3),,"GOOD FT by STAFFORD,ISIAH",1
00:48,"SUB IN by LENKEY,JOEY",,,,,,,"SUB IN by LENKEY,JOEY",1
00:48,"SUB OUT by STAFFORD,ISIAH",,,,,,,"SUB OUT by STAFFORD,ISIAH",1
00:37,"FOUL  by VACHON,DALTON",,,,,,,"FOUL  by VACHON,DALTON",1
00:37,,38 (+2),,36,"GOOD FT by RUDAK,MATTY",16BSC-M 38-36 (-2),,"GOOD FT by RUDAK,MATTY",1
00:37,"SUB IN by FRANK,EVAN",,,,,,,"SUB IN by FRANK,EVAN",1
00:37,"SUB IN by STAFFORD,ISIAH",,,,,,,"SUB IN by STAFFORD,ISIAH",1
00:37,"SUB OUT by VACHON,DALTON",,,,,,,"SUB OUT by VACHON,DALTON",1
00:37,"SUB OUT by LENKEY,JOEY",,,,,,,"SUB OUT by LENKEY,JOEY",1
00:29,"MISS LAYUP by PATTON,ZACK",,,,,,,"MISS LAYUP by PATTON,ZACK",1
00:29,,,,,"BLOCK  by LEWIS,EVAN",,,"BLOCK  by LEWIS,EVAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:29,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
00:29,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
00:11,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",1
00:11,"GOOD FT by ROY,DUNCAN",39 (+3),,36,,WABM 39-36 (-3),,"GOOD FT by ROY,DUNCAN",1
00:11,"SUB IN by VACHON,DALTON",,,,,,,"SUB IN by VACHON,DALTON",1
00:11,"SUB IN by LENKEY,JOEY",,,,,,,"SUB IN by LENKEY,JOEY",1
00:11,"SUB OUT by FRANK,EVAN",,,,,,,"SUB OUT by FRANK,EVAN",1
00:11,"SUB OUT by STAFFORD,ISIAH",,,,,,,"SUB OUT by STAFFORD,ISIAH",1
00:11,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
00:11,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
00:10,"MISS FT by ROY,DUNCAN",,,,,,,"MISS FT by ROY,DUNCAN",1
--,"REBOUND OFF by PATTON,ZACK",,,,,,,"REBOUND OFF by PATTON,ZACK",1
00:04,"MISS 3PTR by GARLAND,COLTEN",,,,,,,"MISS 3PTR by GARLAND,COLTEN",1
