Time Remaining,EUM,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
16:58,,,,,"TURNOVER  by DENEKA,HARRISON",,,"TURNOVER  by DENEKA,HARRISON",2
16:44,"GOOD 3PTR by RAPP,WHIT",40 (+5),,35,,EUM 40-35 (-5),,"GOOD 3PTR by RAPP,WHIT",2
16:23,,,,,"MISS 3PTR by THOM,IAN",,,"MISS 3PTR by THOM,IAN",2
--,"REBOUND DEF by AVANT,DONALD",,,,,,,"REBOUND DEF by AVANT,DONALD",2
16:10,"GOOD LAYUP by GIGAX,ADAM(in the paint)",42 (+7),,35,,EUM 42-35 (-7),,"GOOD LAYUP by GIGAX,ADAM(in the paint)",2
--,"ASSIST  by RAPP,WHIT",,,,,,,"ASSIST  by RAPP,WHIT",2
15:52,,,,,"TURNOVER  by DENEKA,HARRISON",,,"TURNOVER  by DENEKA,HARRISON",2
15:52,"STEAL  by GIGAX,ADAM",,,,,,,"STEAL  by GIGAX,ADAM",2
15:52,"TURNOVER  by GIGAX,ADAM",,,,,,,"TURNOVER  by GIGAX,ADAM",2
15:52,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
15:52,"SUB IN by DAGUE,AUSTIN",,,,,,,"SUB IN by DAGUE,AUSTIN",2
15:52,"SUB OUT by TERRY,JONATHAN",,,,,,,"SUB OUT by TERRY,JONATHAN",2
15:41,,42 (+4),,38,"GOOD 3PTR by PERKINS,ALEX",16BSC-M 42-38 (-4),,"GOOD 3PTR by PERKINS,ALEX",2
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",2
15:38,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",2
15:38,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",2
15:38,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",2
15:38,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",2
15:22,"GOOD LAYUP by AVANT,DONALD(in the paint)",44 (+6),,38,,EUM 44-38 (-6),,"GOOD LAYUP by AVANT,DONALD(in the paint)",2
14:54,"FOUL  by RAPP,WHIT",,,,,,,"FOUL  by RAPP,WHIT",2
14:54,"SUB IN by BAITEY,GEBEREAL",,,,,,,"SUB IN by BAITEY,GEBEREAL",2
14:54,"SUB OUT by RAPP,WHIT",,,,,,,"SUB OUT by RAPP,WHIT",2
14:54,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",2
14:54,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",2
14:51,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",2
14:50,"STEAL  by BAITEY,GEBEREAL",,,,,,,"STEAL  by BAITEY,GEBEREAL",2
14:47,"TURNOVER  by GORDON,JIM",,,,,,,"TURNOVER  by GORDON,JIM",2
14:45,,,,,"STEAL  by PERKINS,ALEX",,,"STEAL  by PERKINS,ALEX",2
14:42,,,,,"MISS JUMPER by THOM,IAN",,,"MISS JUMPER by THOM,IAN",2
--,"REBOUND DEF by GIGAX,ADAM",,,,,,,"REBOUND DEF by GIGAX,ADAM",2
14:32,"GOOD 3PTR by GIGAX,ADAM",47 (+9),,38,,EUM 47-38 (-9),,"GOOD 3PTR by GIGAX,ADAM",2
14:17,"SUB IN by AVANT,CHRISTOPHER",,,,,,,"SUB IN by AVANT,CHRISTOPHER",2
14:17,"SUB OUT by DAGUE,AUSTIN",,,,,,,"SUB OUT by DAGUE,AUSTIN",2
14:17,,,,,"SUB IN by WALDRUM,AIDAN",,,"SUB IN by WALDRUM,AIDAN",2
14:17,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",2
14:15,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",2
--,"REBOUND DEF by AVANT,DONALD",,,,,,,"REBOUND DEF by AVANT,DONALD",2
14:02,,,,,"FOUL  by GRAHAM,CHRIS",,,"FOUL  by GRAHAM,CHRIS",2
13:47,"GOOD LAYUP by AVANT,CHRISTOPHER(in the paint)",49 (+11),,38,,EUM 49-38 (-11),,"GOOD LAYUP by AVANT,CHRISTOPHER(in the paint)",2
13:22,,,,,"TURNOVER  by GRAHAM,CHRIS",,,"TURNOVER  by GRAHAM,CHRIS",2
13:20,"STEAL  by GIGAX,ADAM",,,,,,,"STEAL  by GIGAX,ADAM",2
13:10,"MISS 3PTR by GIGAX,ADAM",,,,,,,"MISS 3PTR by GIGAX,ADAM",2
--,,,,,"REBOUND DEF by GRAHAM,CHRIS",,,"REBOUND DEF by GRAHAM,CHRIS",2
12:50,,,,,"TURNOVER  by BAK,CALVIN",,,"TURNOVER  by BAK,CALVIN",2
12:48,"STEAL  by AVANT,CHRISTOPHER",,,,,,,"STEAL  by AVANT,CHRISTOPHER",2
12:43,"TURNOVER  by BAITEY,GEBEREAL",,,,,,,"TURNOVER  by BAITEY,GEBEREAL",2
12:41,,,,,"STEAL  by LEWIS,EVAN",,,"STEAL  by LEWIS,EVAN",2
12:37,,,,,"MISS 3PTR by PERKINS,ALEX",,,"MISS 3PTR by PERKINS,ALEX",2
--,,,,,"REBOUND OFF by GRAHAM,CHRIS",,,"REBOUND OFF by GRAHAM,CHRIS",2
12:33,,49 (+9),,40,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",16BSC-M 49-40 (-9),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",2
12:31,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
12:31,"SUB IN by RAPP,WHIT",,,,,,,"SUB IN by RAPP,WHIT",2
12:31,"SUB OUT by GORDON,JIM",,,,,,,"SUB OUT by GORDON,JIM",2
12:31,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",2
12:31,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",2
12:31,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",2
12:31,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",2
12:31,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",2
12:31,,,,,"SUB OUT by WALDRUM,AIDAN",,,"SUB OUT by WALDRUM,AIDAN",2
12:31,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",2
12:31,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",2
12:07,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",2
12:01,"GOOD LAYUP by AVANT,DONALD(in the paint)",51 (+11),,40,,EUM 51-40 (-11),,"GOOD LAYUP by AVANT,DONALD(in the paint)",2
11:47,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",2
11:30,,51 (+8),,43,"GOOD 3PTR by LEWIS,EVAN",16BSC-M 51-43 (-8),,"GOOD 3PTR by LEWIS,EVAN",2
--,,,,,"ASSIST  by PERKINS,ALEX",,,"ASSIST  by PERKINS,ALEX",2
11:24,"TURNOVER  by BAITEY,GEBEREAL",,,,,,,"TURNOVER  by BAITEY,GEBEREAL",2
11:23,,,,,"STEAL  by LEWIS,EVAN",,,"STEAL  by LEWIS,EVAN",2
11:22,,,,,"TURNOVER  by LEWIS,EVAN",,,"TURNOVER  by LEWIS,EVAN",2
11:22,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
11:22,"SUB IN by TERRY,JONATHAN",,,,,,,"SUB IN by TERRY,JONATHAN",2
11:22,"SUB OUT by AVANT,DONALD",,,,,,,"SUB OUT by AVANT,DONALD",2
11:13,"TURNOVER  by GIGAX,ADAM",,,,,,,"TURNOVER  by GIGAX,ADAM",2
10:56,,,,,"TURNOVER  by RUDAK,MATTY",,,"TURNOVER  by RUDAK,MATTY",2
10:56,"STEAL  by TERRY,JONATHAN",,,,,,,"STEAL  by TERRY,JONATHAN",2
10:40,"MISS JUMPER by GIGAX,ADAM",,,,,,,"MISS JUMPER by GIGAX,ADAM",2
--,"REBOUND OFF by RAPP,WHIT",,,,,,,"REBOUND OFF by RAPP,WHIT",2
10:36,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",2
10:36,"GOOD FT by RAPP,WHIT",52 (+9),,43,,EUM 52-43 (-9),,"GOOD FT by RAPP,WHIT",2
10:36,"GOOD FT by RAPP,WHIT",53 (+10),,43,,EUM 53-43 (-10),,"GOOD FT by RAPP,WHIT",2
10:36,"SUB IN by AVANT,DONALD",,,,,,,"SUB IN by AVANT,DONALD",2
10:36,"SUB IN by BOMMARITO,BEAU",,,,,,,"SUB IN by BOMMARITO,BEAU",2
10:36,"SUB OUT by AVANT,CHRISTOPHER",,,,,,,"SUB OUT by AVANT,CHRISTOPHER",2
10:36,"SUB OUT by BAITEY,GEBEREAL",,,,,,,"SUB OUT by BAITEY,GEBEREAL",2
10:21,,,,,"MISS 3PTR by MCLEAN,JAMES",,,"MISS 3PTR by MCLEAN,JAMES",2
--,,,,,"REBOUND OFF by LEWIS,EVAN",,,"REBOUND OFF by LEWIS,EVAN",2
10:16,,53 (+8),,45,"GOOD TIPIN by LEWIS,EVAN(in the paint)",16BSC-M 53-45 (-8),,"GOOD TIPIN by LEWIS,EVAN(in the paint)",2
10:14,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",2
10:14,"GOOD FT by RAPP,WHIT",54 (+9),,45,,EUM 54-45 (-9),,"GOOD FT by RAPP,WHIT",2
10:14,"MISS FT by RAPP,WHIT",,,,,,,"MISS FT by RAPP,WHIT",2
--,,,,,"REBOUND DEF by MCLEAN,JAMES",,,"REBOUND DEF by MCLEAN,JAMES",2
10:14,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",2
10:14,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",2
09:59,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",2
--,,,,,"REBOUND OFF by PERKINS,ALEX",,,"REBOUND OFF by PERKINS,ALEX",2
09:42,,54 (+6),,48,"GOOD 3PTR by LEWIS,EVAN",16BSC-M 54-48 (-6),,"GOOD 3PTR by LEWIS,EVAN",2
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",2
09:39,"SUB IN by AVANT,CHRISTOPHER",,,,,,,"SUB IN by AVANT,CHRISTOPHER",2
09:39,"SUB OUT by AVANT,DONALD",,,,,,,"SUB OUT by AVANT,DONALD",2
09:39,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",2
09:39,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",2
09:29,"MISS 3PTR by GORDON,JIM",,,,,,,"MISS 3PTR by GORDON,JIM",2
--,"REBOUND OFF by RAPP,WHIT",,,,,,,"REBOUND OFF by RAPP,WHIT",2
09:03,"GOOD JUMPER by GIGAX,ADAM(in the paint)",56 (+8),,48,,EUM 56-48 (-8),,"GOOD JUMPER by GIGAX,ADAM(in the paint)",2
--,"ASSIST  by RAPP,WHIT",,,,,,,"ASSIST  by RAPP,WHIT",2
09:03,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",2
09:03,"GOOD FT by AVANT,CHRISTOPHER",57 (+9),,48,,EUM 57-48 (-9),,"GOOD FT by AVANT,CHRISTOPHER",2
09:03,"GOOD FT by AVANT,CHRISTOPHER",58 (+10),,48,,EUM 58-48 (-10),,"GOOD FT by AVANT,CHRISTOPHER",2
09:03,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",2
09:03,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
08:35,,,,,"MISS 3PTR by THOM,IAN",,,"MISS 3PTR by THOM,IAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
08:18,"FOUL  by GIGAX,ADAM",,,,,,,"FOUL  by GIGAX,ADAM",2
08:18,"SUB IN by AVANT,DONALD",,,,,,,"SUB IN by AVANT,DONALD",2
08:18,"SUB OUT by GIGAX,ADAM",,,,,,,"SUB OUT by GIGAX,ADAM",2
08:15,,,,,"MISS 3PTR by MCLEAN,JAMES",,,"MISS 3PTR by MCLEAN,JAMES",2
--,"REBOUND DEF by AVANT,CHRISTOPHER",,,,,,,"REBOUND DEF by AVANT,CHRISTOPHER",2
07:59,"MISS 3PTR by TERRY,JONATHAN",,,,,,,"MISS 3PTR by TERRY,JONATHAN",2
--,,,,,"REBOUND DEF by MCLEAN,JAMES",,,"REBOUND DEF by MCLEAN,JAMES",2
07:52,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",2
07:52,,,,,"TURNOVER  by MCLEAN,JAMES",,,"TURNOVER  by MCLEAN,JAMES",2
07:41,"GOOD JUMPER by AVANT,DONALD",60 (+12),,48,,EUM 60-48 (-12),,"GOOD JUMPER by AVANT,DONALD",2
07:24,,60 (+10),,50,"GOOD JUMPER by THOM,IAN",16BSC-M 60-50 (-10),,"GOOD JUMPER by THOM,IAN",2
07:16,"SUB IN by GORDON,JIM",,,,,,,"SUB IN by GORDON,JIM",2
07:16,"SUB OUT by BOMMARITO,BEAU",,,,,,,"SUB OUT by BOMMARITO,BEAU",2
07:04,"GOOD 3PTR by RAPP,WHIT",63 (+13),,50,,EUM 63-50 (-13),,"GOOD 3PTR by RAPP,WHIT",2
07:00,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",2
07:00,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",2
07:00,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
07:00,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",2
07:00,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",2
07:00,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",2
06:40,,63 (+10),,53,"GOOD 3PTR by THOM,IAN",16BSC-M 63-53 (-10),,"GOOD 3PTR by THOM,IAN",2
--,,,,,"ASSIST  by DENEKA,HARRISON",,,"ASSIST  by DENEKA,HARRISON",2
06:11,"GOOD LAYUP by AVANT,CHRISTOPHER(in the paint)",65 (+12),,53,,EUM 65-53 (-12),,"GOOD LAYUP by AVANT,CHRISTOPHER(in the paint)",2
06:00,,65 (+9),,56,"GOOD 3PTR by LEWIS,EVAN",16BSC-M 65-56 (-9),,"GOOD 3PTR by LEWIS,EVAN",2
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",2
05:33,"GOOD LAYUP by AVANT,DONALD(in the paint)",67 (+11),,56,,EUM 67-56 (-11),,"GOOD LAYUP by AVANT,DONALD(in the paint)",2
05:15,"FOUL  by RAPP,WHIT",,,,,,,"FOUL  by RAPP,WHIT",2
05:15,"SUB IN by DAGUE,AUSTIN",,,,,,,"SUB IN by DAGUE,AUSTIN",2
05:15,"SUB IN by GIGAX,ADAM",,,,,,,"SUB IN by GIGAX,ADAM",2
05:15,"SUB OUT by AVANT,DONALD",,,,,,,"SUB OUT by AVANT,DONALD",2
05:15,"SUB OUT by TERRY,JONATHAN",,,,,,,"SUB OUT by TERRY,JONATHAN",2
05:03,"FOUL  by RAPP,WHIT",,,,,,,"FOUL  by RAPP,WHIT",2
05:03,"SUB IN by BAITEY,GEBEREAL",,,,,,,"SUB IN by BAITEY,GEBEREAL",2
05:03,"SUB OUT by RAPP,WHIT",,,,,,,"SUB OUT by RAPP,WHIT",2
05:01,,67 (+8),,59,"GOOD 3PTR by MCLEAN,JAMES",16BSC-M 67-59 (-8),,"GOOD 3PTR by MCLEAN,JAMES",2
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",2
05:00,"FOUL  by DAGUE,AUSTIN",,,,,,,"FOUL  by DAGUE,AUSTIN",2
05:00,,67 (+7),,60,"GOOD FT by THOM,IAN",16BSC-M 67-60 (-7),,"GOOD FT by THOM,IAN",2
05:00,,67 (+6),,61,"GOOD FT by THOM,IAN",16BSC-M 67-61 (-6),,"GOOD FT by THOM,IAN",2
05:00,"SUB IN by AVANT,DONALD",,,,,,,"SUB IN by AVANT,DONALD",2
05:00,"SUB OUT by DAGUE,AUSTIN",,,,,,,"SUB OUT by DAGUE,AUSTIN",2
04:44,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",2
04:44,"GOOD FT by AVANT,DONALD",68 (+7),,61,,EUM 68-61 (-7),,"GOOD FT by AVANT,DONALD",2
04:44,"GOOD FT by AVANT,DONALD",69 (+8),,61,,EUM 69-61 (-8),,"GOOD FT by AVANT,DONALD",2
04:30,"FOUL  by AVANT,CHRISTOPHER",,,,,,,"FOUL  by AVANT,CHRISTOPHER",2
04:30,,,,,"MISS FT by RUDAK,MATTY",,,"MISS FT by RUDAK,MATTY",2
--,"REBOUND DEF by AVANT,CHRISTOPHER",,,,,,,"REBOUND DEF by AVANT,CHRISTOPHER",2
04:30,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",2
04:30,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
04:00,"MISS JUMPER by AVANT,DONALD",,,,,,,"MISS JUMPER by AVANT,DONALD",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
04:00,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
04:00,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",2
03:54,"FOUL  by AVANT,CHRISTOPHER",,,,,,,"FOUL  by AVANT,CHRISTOPHER",2
03:54,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
03:54,,69 (+7),,62,"GOOD FT by RUDAK,MATTY",16BSC-M 69-62 (-7),,"GOOD FT by RUDAK,MATTY",2
03:54,,69 (+6),,63,"GOOD FT by RUDAK,MATTY",16BSC-M 69-63 (-6),,"GOOD FT by RUDAK,MATTY",2
03:54,"SUB IN by TERRY,JONATHAN",,,,,,,"SUB IN by TERRY,JONATHAN",2
03:54,"SUB OUT by AVANT,CHRISTOPHER",,,,,,,"SUB OUT by AVANT,CHRISTOPHER",2
03:29,"MISS 3PTR by BAITEY,GEBEREAL",,,,,,,"MISS 3PTR by BAITEY,GEBEREAL",2
--,,,,,"REBOUND DEF by LEWIS,EVAN",,,"REBOUND DEF by LEWIS,EVAN",2
03:20,"FOUL  by GIGAX,ADAM",,,,,,,"FOUL  by GIGAX,ADAM",2
03:20,,69 (+5),,64,"GOOD FT by DENEKA,HARRISON",16BSC-M 69-64 (-5),,"GOOD FT by DENEKA,HARRISON",2
03:20,,69 (+4),,65,"GOOD FT by DENEKA,HARRISON",16BSC-M 69-65 (-4),,"GOOD FT by DENEKA,HARRISON",2
03:20,"SUB IN by AVANT,CHRISTOPHER",,,,,,,"SUB IN by AVANT,CHRISTOPHER",2
03:20,"SUB IN by RAPP,WHIT",,,,,,,"SUB IN by RAPP,WHIT",2
03:20,"SUB OUT by AVANT,DONALD",,,,,,,"SUB OUT by AVANT,DONALD",2
03:20,"SUB OUT by BAITEY,GEBEREAL",,,,,,,"SUB OUT by BAITEY,GEBEREAL",2
03:10,"GOOD JUMPER by GORDON,JIM(in the paint)",71 (+6),,65,,EUM 71-65 (-6),,"GOOD JUMPER by GORDON,JIM(in the paint)",2
02:49,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",2
--,"REBOUND DEF by TERRY,JONATHAN",,,,,,,"REBOUND DEF by TERRY,JONATHAN",2
02:18,"MISS 3PTR by AVANT,CHRISTOPHER",,,,,,,"MISS 3PTR by AVANT,CHRISTOPHER",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
02:14,,,,,"MISS 3PTR by LEWIS,EVAN",,,"MISS 3PTR by LEWIS,EVAN",2
--,"REBOUND DEF by AVANT,CHRISTOPHER",,,,,,,"REBOUND DEF by AVANT,CHRISTOPHER",2
01:40,"MISS 3PTR by GIGAX,ADAM",,,,,,,"MISS 3PTR by GIGAX,ADAM",2
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",2
01:22,"SUB IN by AVANT,DONALD",,,,,,,"SUB IN by AVANT,DONALD",2
01:22,"SUB IN by BAITEY,GEBEREAL",,,,,,,"SUB IN by BAITEY,GEBEREAL",2
01:22,"SUB OUT by RAPP,WHIT",,,,,,,"SUB OUT by RAPP,WHIT",2
01:22,"SUB OUT by GIGAX,ADAM",,,,,,,"SUB OUT by GIGAX,ADAM",2
01:16,"FOUL  by TERRY,JONATHAN",,,,,,,"FOUL  by TERRY,JONATHAN",2
01:16,,71 (+5),,66,"GOOD FT by MCLEAN,JAMES",16BSC-M 71-66 (-5),,"GOOD FT by MCLEAN,JAMES",2
01:16,,71 (+4),,67,"GOOD FT by MCLEAN,JAMES",16BSC-M 71-67 (-4),,"GOOD FT by MCLEAN,JAMES",2
01:16,"SUB IN by RAPP,WHIT",,,,,,,"SUB IN by RAPP,WHIT",2
01:16,"SUB IN by GIGAX,ADAM",,,,,,,"SUB IN by GIGAX,ADAM",2
01:16,"SUB OUT by AVANT,DONALD",,,,,,,"SUB OUT by AVANT,DONALD",2
01:16,"SUB OUT by BAITEY,GEBEREAL",,,,,,,"SUB OUT by BAITEY,GEBEREAL",2
00:46,"MISS 3PTR by TERRY,JONATHAN",,,,,,,"MISS 3PTR by TERRY,JONATHAN",2
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",2
00:36,"FOUL  by GIGAX,ADAM",,,,,,,"FOUL  by GIGAX,ADAM",2
00:36,,,,,"MISS FT by RUDAK,MATTY",,,"MISS FT by RUDAK,MATTY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:36,,71 (+3),,68,"GOOD FT by RUDAK,MATTY",16BSC-M 71-68 (-3),,"GOOD FT by RUDAK,MATTY",2
00:36,"SUB IN by AVANT,DONALD",,,,,,,"SUB IN by AVANT,DONALD",2
00:36,"SUB OUT by GIGAX,ADAM",,,,,,,"SUB OUT by GIGAX,ADAM",2
00:35,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:35,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",2
00:35,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",2
00:35,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",2
00:35,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
00:25,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",2
00:25,"GOOD FT by GORDON,JIM",72 (+4),,68,,EUM 72-68 (-4),,"GOOD FT by GORDON,JIM",2
00:25,"GOOD FT by GORDON,JIM",73 (+5),,68,,EUM 73-68 (-5),,"GOOD FT by GORDON,JIM",2
00:25,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",2
00:25,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
00:25,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",2
00:25,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",2
00:15,,73 (+3),,70,"GOOD JUMPER by THOM,IAN",16BSC-M 73-70 (-3),,"GOOD JUMPER by THOM,IAN",2
00:15,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:12,"TURNOVER  by RAPP,WHIT",,,,,,,"TURNOVER  by RAPP,WHIT",2
00:12,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:02,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:01,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",2
00:01,"GOOD FT by AVANT,DONALD",74 (+4),,70,,EUM 74-70 (-4),,"GOOD FT by AVANT,DONALD",2
00:01,"GOOD FT by AVANT,DONALD",75 (+5),,70,,EUM 75-70 (-5),,"GOOD FT by AVANT,DONALD",2
