Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
00:27,"TURNOVER  by PARKER,BRYCE",,,,,,,"TURNOVER  by PARKER,BRYCE",1
00:27,,,,,"STEAL  by THOM,IAN",,,"STEAL  by THOM,IAN",1
00:27,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
00:27,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
00:03,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,"REBOUND DEF by PARKER,BRYCE",,,,,,,"REBOUND DEF by PARKER,BRYCE",1
20:00,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",2
20:00,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",2
20:00,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",2
20:00,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",2
20:00,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",2
20:00,"SUB OUT by PARKER,BRYCE",,,,,,,"SUB OUT by PARKER,BRYCE",2
19:34,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
19:14,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",2
19:14,"GOOD FT by LITTLEFIELD,GEAREN",26,,33 (+7),,HENDRIX 26-33 (+7),,"GOOD FT by LITTLEFIELD,GEAREN",2
19:14,"GOOD FT by LITTLEFIELD,GEAREN",27,,33 (+6),,HENDRIX 27-33 (+6),,"GOOD FT by LITTLEFIELD,GEAREN",2
19:00,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",2
--,,,,,"REBOUND OFF by THOM,IAN",,,"REBOUND OFF by THOM,IAN",2
19:00,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
19:00,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",2
18:48,,,,,"MISS LAYUP by MCLEAN,JAMES",,,"MISS LAYUP by MCLEAN,JAMES",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
18:36,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",2
--,,,,,"REBOUND DEF by LEWIS,EVAN",,,"REBOUND DEF by LEWIS,EVAN",2
18:20,,,,,"MISS LAYUP by LEWIS,EVAN",,,"MISS LAYUP by LEWIS,EVAN",2
--,"REBOUND DEF by BATCHELOR,BRYCE",,,,,,,"REBOUND DEF by BATCHELOR,BRYCE",2
18:18,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",2
18:05,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",2
18:03,,,,,"STEAL  by DENEKA,HARRISON",,,"STEAL  by DENEKA,HARRISON",2
17:50,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",2
17:33,,27,,35 (+8),"GOOD LAYUP by RUDAK,MATTY(in the paint)",16BSC-M 27-35 (+8),,"GOOD LAYUP by RUDAK,MATTY(in the paint)",2
17:33,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",2
17:33,,27,,36 (+9),"GOOD FT by RUDAK,MATTY",16BSC-M 27-36 (+9),,"GOOD FT by RUDAK,MATTY",2
17:33,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",2
17:33,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",2
17:14,"MISS 3PTR by LINK,JACOB",,,,,,,"MISS 3PTR by LINK,JACOB",2
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",2
17:04,,27,,39 (+12),"GOOD 3PTR by DENEKA,HARRISON",16BSC-M 27-39 (+12),,"GOOD 3PTR by DENEKA,HARRISON",2
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",2
16:50,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",2
16:50,"GOOD FT by LITTLEFIELD,GEAREN",28,,39 (+11),,HENDRIX 28-39 (+11),,"GOOD FT by LITTLEFIELD,GEAREN",2
16:50,"GOOD FT by LITTLEFIELD,GEAREN",29,,39 (+10),,HENDRIX 29-39 (+10),,"GOOD FT by LITTLEFIELD,GEAREN",2
16:50,,,,,"SUB IN by WALDRUM,AIDAN",,,"SUB IN by WALDRUM,AIDAN",2
16:50,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",2
16:41,,,,,"TURNOVER  by BAK,CALVIN",,,"TURNOVER  by BAK,CALVIN",2
16:40,"STEAL  by ALDOUS,HANK",,,,,,,"STEAL  by ALDOUS,HANK",2
16:38,"MISS LAYUP by ALDOUS,HANK",,,,,,,"MISS LAYUP by ALDOUS,HANK",2
16:38,,,,,"BLOCK  by LEWIS,EVAN",,,"BLOCK  by LEWIS,EVAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
16:27,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",2
16:26,,,,,"STEAL  by BAK,CALVIN",,,"STEAL  by BAK,CALVIN",2
16:22,,29,,41 (+12),"GOOD JUMPER by BAK,CALVIN(fastbreak)(in the paint)",16BSC-M 29-41 (+12),,"GOOD JUMPER by BAK,CALVIN(fastbreak)(in the paint)",2
16:10,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",2
16:10,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",2
16:10,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",2
16:10,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",2
16:00,"GOOD 3PTR by STEELE,AARON",32,,41 (+9),,HENDRIX 32-41 (+9),,"GOOD 3PTR by STEELE,AARON",2
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",2
15:48,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",2
15:48,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
15:48,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",2
15:48,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",2
15:48,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",2
15:48,,,,,"SUB IN by MURPHY,JUWAN",,,"SUB IN by MURPHY,JUWAN",2
15:48,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",2
15:48,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",2
15:48,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",2
15:48,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
15:44,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
15:31,"MISS 3PTR by BATCHELOR,BRYCE",,,,,,,"MISS 3PTR by BATCHELOR,BRYCE",2
--,"REBOUND OFF by STEELE,AARON",,,,,,,"REBOUND OFF by STEELE,AARON",2
15:24,,,,,"FOUL  by WALDRUM,AIDAN",,,"FOUL  by WALDRUM,AIDAN",2
15:24,"GOOD FT by GARRETT,TRAVIS",33,,41 (+8),,HENDRIX 33-41 (+8),,"GOOD FT by GARRETT,TRAVIS",2
15:24,"GOOD FT by GARRETT,TRAVIS",34,,41 (+7),,HENDRIX 34-41 (+7),,"GOOD FT by GARRETT,TRAVIS",2
14:59,,,,,"MISS JUMPER by MURPHY,JUWAN",,,"MISS JUMPER by MURPHY,JUWAN",2
--,,,,,"REBOUND OFF by MOORE,KADEN",,,"REBOUND OFF by MOORE,KADEN",2
14:56,,,,,"MISS JUMPER by MOORE,KADEN",,,"MISS JUMPER by MOORE,KADEN",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
14:50,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
14:48,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",2
14:48,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",2
14:48,,,,,"SUB OUT by WALDRUM,AIDAN",,,"SUB OUT by WALDRUM,AIDAN",2
14:48,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",2
14:23,,34,,44 (+10),"GOOD 3PTR by MURPHY,JUWAN",16BSC-M 34-44 (+10),,"GOOD 3PTR by MURPHY,JUWAN",2
--,,,,,"ASSIST  by GRAHAM,CHRIS",,,"ASSIST  by GRAHAM,CHRIS",2
14:03,"TURNOVER  by STEELE,AARON",,,,,,,"TURNOVER  by STEELE,AARON",2
13:51,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",2
13:51,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",2
13:51,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",2
13:38,,,,,"TURNOVER  by PERKINS,ALEX",,,"TURNOVER  by PERKINS,ALEX",2
13:15,"GOOD 3PTR by STEELE,AARON",37,,44 (+7),,HENDRIX 37-44 (+7),,"GOOD 3PTR by STEELE,AARON",2
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",2
12:53,,,,,"MISS LAYUP by GRAHAM,CHRIS",,,"MISS LAYUP by GRAHAM,CHRIS",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
12:44,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",2
12:44,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",2
12:44,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",2
12:27,"FOUL  by NOTLEY,CHANDLER",,,,,,,"FOUL  by NOTLEY,CHANDLER",2
12:27,,,,,"MISS FT by MOORE,KADEN",,,"MISS FT by MOORE,KADEN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
12:27,,37,,45 (+8),"GOOD FT by MOORE,KADEN",16BSC-M 37-45 (+8),,"GOOD FT by MOORE,KADEN",2
12:01,"MISS JUMPER by STEELE,AARON",,,,,,,"MISS JUMPER by STEELE,AARON",2
--,"REBOUND OFF by NOTLEY,CHANDLER",,,,,,,"REBOUND OFF by NOTLEY,CHANDLER",2
11:58,"MISS TIPIN by NOTLEY,CHANDLER",,,,,,,"MISS TIPIN by NOTLEY,CHANDLER",2
--,"REBOUND OFF by ALDOUS,HANK",,,,,,,"REBOUND OFF by ALDOUS,HANK",2
11:58,,,,,"FOUL  by MOORE,KADEN",,,"FOUL  by MOORE,KADEN",2
11:58,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
11:58,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",2
11:58,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",2
11:58,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",2
11:58,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",2
11:58,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
11:58,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",2
11:58,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",2
11:58,,,,,"SUB OUT by MURPHY,JUWAN",,,"SUB OUT by MURPHY,JUWAN",2
11:58,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",2
11:58,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",2
11:56,"TURNOVER  by STEELE,AARON",,,,,,,"TURNOVER  by STEELE,AARON",2
11:55,,,,,"STEAL  by LEWIS,EVAN",,,"STEAL  by LEWIS,EVAN",2
11:27,,,,,"TURNOVER  by LEWIS,EVAN",,,"TURNOVER  by LEWIS,EVAN",2
11:24,"STEAL  by GARRETT,TRAVIS",,,,,,,"STEAL  by GARRETT,TRAVIS",2
11:20,"GOOD 3PTR by SMITH,PRESTON",40,,45 (+5),,HENDRIX 40-45 (+5),,"GOOD 3PTR by SMITH,PRESTON",2
11:19,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",2
11:19,"GOOD FT by SMITH,PRESTON",41,,45 (+4),,HENDRIX 41-45 (+4),,"GOOD FT by SMITH,PRESTON",2
11:04,,,,,"MISS LAYUP by LEWIS,EVAN",,,"MISS LAYUP by LEWIS,EVAN",2
--,"REBOUND DEF by NOTLEY,CHANDLER",,,,,,,"REBOUND DEF by NOTLEY,CHANDLER",2
10:40,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
10:32,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",2
--,,,,,"REBOUND OFF by RUDAK,MATTY",,,"REBOUND OFF by RUDAK,MATTY",2
10:28,,,,,"MISS LAYUP by RUDAK,MATTY",,,"MISS LAYUP by RUDAK,MATTY",2
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",2
10:11,"GOOD 3PTR by SMITH,PRESTON",44,,45 (+1),,HENDRIX 44-45 (+1),,"GOOD 3PTR by SMITH,PRESTON",2
10:00,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
09:55,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",2
09:55,,44,,46 (+2),"GOOD FT by THOM,IAN",16BSC-M 44-46 (+2),,"GOOD FT by THOM,IAN",2
09:55,,44,,47 (+3),"GOOD FT by THOM,IAN",16BSC-M 44-47 (+3),,"GOOD FT by THOM,IAN",2
09:55,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",2
09:55,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",2
09:28,"MISS 3PTR by STEELE,AARON",,,,,,,"MISS 3PTR by STEELE,AARON",2
--,"REBOUND OFF by NOTLEY,CHANDLER",,,,,,,"REBOUND OFF by NOTLEY,CHANDLER",2
09:25,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
09:16,"GOOD JUMPER by STEELE,AARON",46,,47 (+1),,HENDRIX 46-47 (+1),,"GOOD JUMPER by STEELE,AARON",2
09:05,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",2
09:05,,46,,48 (+2),"GOOD FT by DENEKA,HARRISON",16BSC-M 46-48 (+2),,"GOOD FT by DENEKA,HARRISON",2
09:05,,46,,49 (+3),"GOOD FT by DENEKA,HARRISON",16BSC-M 46-49 (+3),,"GOOD FT by DENEKA,HARRISON",2
08:43,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",2
08:33,,46,,51 (+5),"GOOD LAYUP by DENEKA,HARRISON(in the paint)",16BSC-M 46-51 (+5),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",2
08:13,"TURNOVER  by SMITH,PRESTON",,,,,,,"TURNOVER  by SMITH,PRESTON",2
08:10,,,,,"STEAL  by DENEKA,HARRISON",,,"STEAL  by DENEKA,HARRISON",2
08:09,,46,,53 (+7),"GOOD LAYUP by DENEKA,HARRISON(fastbreak)(in the paint)",16BSC-M 46-53 (+7),,"GOOD LAYUP by DENEKA,HARRISON(fastbreak)(in the paint)",2
07:57,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",2
07:57,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
07:39,,,,,"MISS JUMPER by LEWIS,EVAN",,,"MISS JUMPER by LEWIS,EVAN",2
07:39,"BLOCK  by NOTLEY,CHANDLER",,,,,,,"BLOCK  by NOTLEY,CHANDLER",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
07:30,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",2
--,,,,,"REBOUND OFF by RUDAK,MATTY",,,"REBOUND OFF by RUDAK,MATTY",2
07:30,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",2
07:30,,,,,"MISS FT by RUDAK,MATTY",,,"MISS FT by RUDAK,MATTY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:30,,,,,"MISS FT by RUDAK,MATTY",,,"MISS FT by RUDAK,MATTY",2
--,"REBOUND DEF by NOTLEY,CHANDLER",,,,,,,"REBOUND DEF by NOTLEY,CHANDLER",2
07:30,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",2
07:30,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",2
07:20,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",2
07:20,,,,,"SUB IN by WALDRUM,AIDAN",,,"SUB IN by WALDRUM,AIDAN",2
07:20,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",2
07:20,,,,,"SUB IN by MURPHY,JUWAN",,,"SUB IN by MURPHY,JUWAN",2
07:20,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",2
07:20,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",2
07:20,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",2
07:20,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",2
07:20,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
07:07,,46,,56 (+10),"GOOD 3PTR by MURPHY,JUWAN",16BSC-M 46-56 (+10),,"GOOD 3PTR by MURPHY,JUWAN",2
--,,,,,"ASSIST  by PERKINS,ALEX",,,"ASSIST  by PERKINS,ALEX",2
06:52,"MISS LAYUP by LINK,JACOB",,,,,,,"MISS LAYUP by LINK,JACOB",2
06:52,,,,,"BLOCK  by WALDRUM,AIDAN",,,"BLOCK  by WALDRUM,AIDAN",2
--,,,,,"REBOUND DEF by HARDIMAN,BEN",,,"REBOUND DEF by HARDIMAN,BEN",2
06:39,,,,,"MISS JUMPER by MCLEAN,JAMES",,,"MISS JUMPER by MCLEAN,JAMES",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
06:33,,,,,"FOUL  by MURPHY,JUWAN",,,"FOUL  by MURPHY,JUWAN",2
06:33,"GOOD FT by SMITH,PRESTON",47,,56 (+9),,HENDRIX 47-56 (+9),,"GOOD FT by SMITH,PRESTON",2
06:33,"MISS FT by SMITH,PRESTON",,,,,,,"MISS FT by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by PERKINS,ALEX",,,"REBOUND DEF by PERKINS,ALEX",2
06:33,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",2
06:33,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",2
06:18,,,,,"FOUL  by WALDRUM,AIDAN",,,"FOUL  by WALDRUM,AIDAN",2
06:18,,,,,"TURNOVER  by WALDRUM,AIDAN",,,"TURNOVER  by WALDRUM,AIDAN",2
05:46,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by HARDIMAN,BEN",,,"REBOUND DEF by HARDIMAN,BEN",2
05:24,,,,,"MISS JUMPER by PERKINS,ALEX",,,"MISS JUMPER by PERKINS,ALEX",2
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",2
05:00,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",2
--,,,,,"REBOUND DEF by WALDRUM,AIDAN",,,"REBOUND DEF by WALDRUM,AIDAN",2
04:38,,,,,"MISS 3PTR by MURPHY,JUWAN",,,"MISS 3PTR by MURPHY,JUWAN",2
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",2
04:12,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",2
04:12,"MISS FT by ALDOUS,HANK",,,,,,,"MISS FT by ALDOUS,HANK",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
04:12,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",2
04:12,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",2
04:12,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",2
04:12,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",2
04:12,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",2
04:12,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
04:12,,,,,"SUB OUT by WALDRUM,AIDAN",,,"SUB OUT by WALDRUM,AIDAN",2
04:12,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",2
04:12,,,,,"SUB OUT by MURPHY,JUWAN",,,"SUB OUT by MURPHY,JUWAN",2
04:12,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",2
03:48,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",2
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",2
03:47,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",2
03:46,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
03:46,"GOOD FT by ALDOUS,HANK",48,,56 (+8),,HENDRIX 48-56 (+8),,"GOOD FT by ALDOUS,HANK",2
03:46,"MISS FT by ALDOUS,HANK",,,,,,,"MISS FT by ALDOUS,HANK",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
03:46,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",2
03:46,"SUB OUT by NOTLEY,CHANDLER",,,,,,,"SUB OUT by NOTLEY,CHANDLER",2
03:19,,48,,58 (+10),"GOOD JUMPER by DENEKA,HARRISON",16BSC-M 48-58 (+10),,"GOOD JUMPER by DENEKA,HARRISON",2
03:07,"TURNOVER  by PARKER,BRYCE",,,,,,,"TURNOVER  by PARKER,BRYCE",2
03:06,,,,,"STEAL  by PERKINS,ALEX",,,"STEAL  by PERKINS,ALEX",2
02:39,,,,,"MISS JUMPER by THOM,IAN",,,"MISS JUMPER by THOM,IAN",2
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",2
02:34,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",2
02:34,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",2
02:34,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",2
02:34,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",2
02:34,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",2
02:34,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",2
02:17,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",2
02:17,,48,,59 (+11),"GOOD FT by THOM,IAN",16BSC-M 48-59 (+11),,"GOOD FT by THOM,IAN",2
02:17,,48,,60 (+12),"GOOD FT by THOM,IAN",16BSC-M 48-60 (+12),,"GOOD FT by THOM,IAN",2
01:56,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
01:50,"FOUL  by PARKER,BRYCE",,,,,,,"FOUL  by PARKER,BRYCE",2
01:50,,48,,61 (+13),"GOOD FT by MCLEAN,JAMES",16BSC-M 48-61 (+13),,"GOOD FT by MCLEAN,JAMES",2
01:50,,48,,62 (+14),"GOOD FT by MCLEAN,JAMES",16BSC-M 48-62 (+14),,"GOOD FT by MCLEAN,JAMES",2
01:40,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
01:11,,,,,"TURNOVER  by MCLEAN,JAMES",,,"TURNOVER  by MCLEAN,JAMES",2
01:09,"STEAL  by PARKER,BRYCE",,,,,,,"STEAL  by PARKER,BRYCE",2
01:06,"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)",50,,62 (+12),,HENDRIX 50-62 (+12),,"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)",2
01:04,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:59,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",2
00:59,,50,,63 (+13),"GOOD FT by LEWIS,EVAN",16BSC-M 50-63 (+13),,"GOOD FT by LEWIS,EVAN",2
00:59,,50,,64 (+14),"GOOD FT by LEWIS,EVAN",16BSC-M 50-64 (+14),,"GOOD FT by LEWIS,EVAN",2
00:59,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",2
00:59,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",2
00:51,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",2
00:51,"GOOD FT by STEELE,AARON",51,,64 (+13),,HENDRIX 51-64 (+13),,"GOOD FT by STEELE,AARON",2
00:51,"GOOD FT by STEELE,AARON",52,,64 (+12),,HENDRIX 52-64 (+12),,"GOOD FT by STEELE,AARON",2
00:51,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",2
00:51,,,,,"MISS FT by MCLEAN,JAMES",,,"MISS FT by MCLEAN,JAMES",2
