Time Remaining,16BSC-M,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
17:43,,4 (+3),,1,"GOOD FT by RAKES,BAILEY",CENTRE-M 4-1 (+3),,"GOOD FT by RAKES,BAILEY",1
17:35,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",1
--,"REBOUND OFF by LEWIS,EVAN",,,,,,,"REBOUND OFF by LEWIS,EVAN",1
17:20,"GOOD 3PTR by LEWIS,EVAN",7 (+6),,1,,16BSC-M 7-1 (+6),,"GOOD 3PTR by LEWIS,EVAN",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
17:19,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
17:19,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
17:00,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
16:50,"GOOD JUMPER by THOM,IAN(in the paint)",9 (+8),,1,,16BSC-M 9-1 (+8),,"GOOD JUMPER by THOM,IAN(in the paint)",1
16:50,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:32,,9 (+6),,3,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",CENTRE-M 9-3 (+6),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
16:12,"MISS JUMPER by DENEKA,HARRISON",,,,,,,"MISS JUMPER by DENEKA,HARRISON",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
15:54,,9 (+4),,5,"GOOD DUNK by BATES,JACOB(in the paint)",CENTRE-M 9-5 (+4),,"GOOD DUNK by BATES,JACOB(in the paint)",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
15:42,"GOOD 3PTR by RUDAK,MATTY",12 (+7),,5,,16BSC-M 12-5 (+7),,"GOOD 3PTR by RUDAK,MATTY",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
15:16,,12 (+4),,8,"GOOD 3PTR by GUMP,MATT",CENTRE-M 12-8 (+4),,"GOOD 3PTR by GUMP,MATT",1
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",1
15:03,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",14 (+6),,8,,16BSC-M 14-8 (+6),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
14:56,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",1
14:56,"SUB IN by GRAHAM,CHRIS",,,,,,,"SUB IN by GRAHAM,CHRIS",1
14:56,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",1
14:56,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
14:56,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
14:56,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",1
14:56,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
14:56,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
14:56,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
14:56,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
14:56,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
14:56,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
14:44,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
--,"REBOUND DEF by MOORE,KADEN",,,,,,,"REBOUND DEF by MOORE,KADEN",1
14:30,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
14:13,"MISS 3PTR by PERKINS,ALEX",,,,,,,"MISS 3PTR by PERKINS,ALEX",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
14:10,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
13:49,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",1
13:49,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
13:49,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
13:41,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,"REBOUND DEF by GRAHAM,CHRIS",,,,,,,"REBOUND DEF by GRAHAM,CHRIS",1
13:22,"MISS LAYUP by GRAHAM,CHRIS",,,,,,,"MISS LAYUP by GRAHAM,CHRIS",1
13:22,,,,,"BLOCK  by BATES,JACOB",,,"BLOCK  by BATES,JACOB",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
13:16,,14 (+4),,10,"GOOD LAYUP by WALKER,ART(fastbreak)(in the paint)",CENTRE-M 14-10 (+4),,"GOOD LAYUP by WALKER,ART(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
13:16,"FOUL  by MOORE,KADEN",,,,,,,"FOUL  by MOORE,KADEN",1
13:16,,14 (+3),,11,"GOOD FT by WALKER,ART",CENTRE-M 14-11 (+3),,"GOOD FT by WALKER,ART",1
13:16,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
13:16,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
13:16,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
13:16,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",1
13:16,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
13:16,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
13:03,"GOOD 3PTR by BAK,CALVIN",17 (+6),,11,,16BSC-M 17-11 (+6),,"GOOD 3PTR by BAK,CALVIN",1
--,"ASSIST  by LEWIS,EVAN",,,,,,,"ASSIST  by LEWIS,EVAN",1
12:40,,17 (+4),,13,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CENTRE-M 17-13 (+4),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
12:12,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",1
12:12,"GOOD FT by GRAHAM,CHRIS",18 (+5),,13,,16BSC-M 18-13 (+5),,"GOOD FT by GRAHAM,CHRIS",1
12:12,"MISS FT by GRAHAM,CHRIS",,,,,,,"MISS FT by GRAHAM,CHRIS",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
12:12,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
12:12,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
12:12,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
12:12,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
12:05,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",1
11:46,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",1
11:46,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:46,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",1
11:46,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
11:46,"SUB OUT by GRAHAM,CHRIS",,,,,,,"SUB OUT by GRAHAM,CHRIS",1
11:46,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
11:46,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
11:46,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
11:46,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
11:46,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
11:40,"GOOD 3PTR by RUDAK,MATTY",21 (+8),,13,,16BSC-M 21-13 (+8),,"GOOD 3PTR by RUDAK,MATTY",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
11:07,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:04,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
10:47,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
10:47,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
10:47,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
10:45,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",23 (+10),,13,,16BSC-M 23-13 (+10),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
10:45,,,,,"MISS LAYUP by RAKES,BAILEY",,,"MISS LAYUP by RAKES,BAILEY",1
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1
10:45,,23 (+8),,15,"GOOD TIPIN by BATES,JACOB(in the paint)",CENTRE-M 23-15 (+8),,"GOOD TIPIN by BATES,JACOB(in the paint)",1
10:45,"MISS 3PTR by LEWIS,EVAN",,,,,,,"MISS 3PTR by LEWIS,EVAN",1
--,,,,,"REBOUND DEF by GRUBER,SAM",,,"REBOUND DEF by GRUBER,SAM",1
10:45,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
09:45,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",1
09:45,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
09:45,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
09:45,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
09:45,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
09:38,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",25 (+10),,15,,16BSC-M 25-15 (+10),,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",1
09:13,,,,,"MISS 3PTR by BATES,JACOB",,,"MISS 3PTR by BATES,JACOB",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
08:59,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
08:45,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
08:16,"MISS JUMPER by RUDAK,MATTY",,,,,,,"MISS JUMPER by RUDAK,MATTY",1
08:16,,,,,"BLOCK  by BATES,JACOB",,,"BLOCK  by BATES,JACOB",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
07:57,,25 (+8),,17,"GOOD LAYUP by RAKES,BAILEY(in the paint)",CENTRE-M 25-17 (+8),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",1
07:57,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",1
07:57,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:57,,25 (+7),,18,"GOOD FT by RAKES,BAILEY",CENTRE-M 25-18 (+7),,"GOOD FT by RAKES,BAILEY",1
07:57,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",1
07:57,"SUB IN by GRAHAM,CHRIS",,,,,,,"SUB IN by GRAHAM,CHRIS",1
07:57,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",1
07:57,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
07:57,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",1
07:57,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
07:57,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
07:57,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
07:57,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
07:57,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
07:57,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
07:57,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
07:43,"MISS 3PTR by PERKINS,ALEX",,,,,,,"MISS 3PTR by PERKINS,ALEX",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
07:26,,25 (+5),,20,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",CENTRE-M 25-20 (+5),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
07:26,"FOUL  by MOORE,KADEN",,,,,,,"FOUL  by MOORE,KADEN",1
07:26,,25 (+4),,21,"GOOD FT by SPITZER,JAKOB",CENTRE-M 25-21 (+4),,"GOOD FT by SPITZER,JAKOB",1
07:22,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",1
07:22,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
07:22,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",1
07:07,"TURNOVER  by MOORE,KADEN",,,,,,,"TURNOVER  by MOORE,KADEN",1
06:54,,,,,"MISS JUMPER by SPITZER,JAKOB",,,"MISS JUMPER by SPITZER,JAKOB",1
--,"REBOUND DEF by MOORE,KADEN",,,,,,,"REBOUND DEF by MOORE,KADEN",1
06:47,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",1
06:47,"GOOD FT by THOM,IAN",26 (+5),,21,,16BSC-M 26-21 (+5),,"GOOD FT by THOM,IAN",1
06:47,"MISS FT by THOM,IAN",,,,,,,"MISS FT by THOM,IAN",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
06:47,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
06:47,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
06:33,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",1
--,"REBOUND DEF by MOORE,KADEN",,,,,,,"REBOUND DEF by MOORE,KADEN",1
06:15,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",1
06:15,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",1
06:15,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
06:15,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
06:15,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
06:15,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
06:15,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
05:52,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",1
05:52,,26 (+4),,22,"GOOD FT by AYERS,PERRY",CENTRE-M 26-22 (+4),,"GOOD FT by AYERS,PERRY",1
05:52,,26 (+3),,23,"GOOD FT by AYERS,PERRY",CENTRE-M 26-23 (+3),,"GOOD FT by AYERS,PERRY",1
05:52,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
05:52,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
05:28,"GOOD LAYUP by HARDIMAN,BEN(in the paint)",28 (+5),,23,,16BSC-M 28-23 (+5),,"GOOD LAYUP by HARDIMAN,BEN(in the paint)",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
05:28,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
05:28,"GOOD FT by HARDIMAN,BEN",29 (+6),,23,,16BSC-M 29-23 (+6),,"GOOD FT by HARDIMAN,BEN",1
05:28,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
05:28,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",1
05:28,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
05:28,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
05:16,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",1
04:55,"GOOD DUNK by GRAHAM,CHRIS(in the paint)",31 (+8),,23,,16BSC-M 31-23 (+8),,"GOOD DUNK by GRAHAM,CHRIS(in the paint)",1
--,"ASSIST  by DENEKA,HARRISON",,,,,,,"ASSIST  by DENEKA,HARRISON",1
04:54,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:34,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
04:04,"MISS 3PTR by THOM,IAN",,,,,,,"MISS 3PTR by THOM,IAN",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
03:53,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
03:46,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",1
--,"REBOUND OFF by GRAHAM,CHRIS",,,,,,,"REBOUND OFF by GRAHAM,CHRIS",1
03:42,"MISS LAYUP by GRAHAM,CHRIS",,,,,,,"MISS LAYUP by GRAHAM,CHRIS",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
03:25,,31 (+6),,25,"GOOD JUMPER by GUMP,MATT(in the paint)",CENTRE-M 31-25 (+6),,"GOOD JUMPER by GUMP,MATT(in the paint)",1
03:05,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",1
03:05,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:05,"GOOD FT by MCLEAN,JAMES",32 (+7),,25,,16BSC-M 32-25 (+7),,"GOOD FT by MCLEAN,JAMES",1
03:05,"GOOD FT by MCLEAN,JAMES",33 (+8),,25,,16BSC-M 33-25 (+8),,"GOOD FT by MCLEAN,JAMES",1
03:05,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",1
03:05,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
03:05,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
03:05,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",1
03:05,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
03:05,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
03:05,"SUB OUT by GRAHAM,CHRIS",,,,,,,"SUB OUT by GRAHAM,CHRIS",1
03:05,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
03:05,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
03:05,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
03:05,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
03:05,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
03:05,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
03:05,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
02:37,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
02:17,,33 (+6),,27,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CENTRE-M 33-27 (+6),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
02:06,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
01:53,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",1
01:51,,,,,"MISS LAYUP by SCHMUCKER,ZACH",,,"MISS LAYUP by SCHMUCKER,ZACH",1
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",1
01:48,"FOUL  by RUDAK,MATTY",,,,,,,"FOUL  by RUDAK,MATTY",1
01:48,,,,,"MISS FT by SCHMUCKER,ZACH",,,"MISS FT by SCHMUCKER,ZACH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:48,,,,,"MISS FT by SCHMUCKER,ZACH",,,"MISS FT by SCHMUCKER,ZACH",1
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",1
01:48,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
01:48,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
01:27,"TURNOVER  by MCLEAN,JAMES",,,,,,,"TURNOVER  by MCLEAN,JAMES",1
01:27,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
01:27,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",1
01:27,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
01:27,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
01:01,,33 (+3),,30,"GOOD 3PTR by RAKES,BAILEY",CENTRE-M 33-30 (+3),,"GOOD 3PTR by RAKES,BAILEY",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
00:53,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:30,"MISS JUMPER by DENEKA,HARRISON",,,,,,,"MISS JUMPER by DENEKA,HARRISON",1
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",1
00:02,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",1
00:01,,,,,"STEAL  by SINE,TUCKER",,,"STEAL  by SINE,TUCKER",1
00:01,,,,,"TURNOVER  by SINE,TUCKER",,,"TURNOVER  by SINE,TUCKER",1
19:45,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",2
--,,,,,"REBOUND OFF by SPITZER,JAKOB",,,"REBOUND OFF by SPITZER,JAKOB",2
19:42,,,,,"MISS LAYUP by SPITZER,JAKOB",,,"MISS LAYUP by SPITZER,JAKOB",2
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",2
19:23,"GOOD JUMPER by THOM,IAN",35 (+5),,30,,16BSC-M 35-30 (+5),,"GOOD JUMPER by THOM,IAN",2
