Time Remaining,BIRMINGH,Away Team Score,Play Team Indicator,Home Team Score,BEREA,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by MURPHY,JUWAN",,,,,,,"REBOUND DEF by MURPHY,JUWAN",2
00:27,,,,,"FOUL  by PARKER,RICHARD",,,"FOUL  by PARKER,RICHARD",2
00:27,"GOOD FT by LEWIS,EVAN",77 (+2),,75,,BIRMINGH 77-75 (+2),,"GOOD FT by LEWIS,EVAN",2
00:27,"GOOD FT by LEWIS,EVAN",78 (+3),,75,,BIRMINGH 78-75 (+3),,"GOOD FT by LEWIS,EVAN",2
00:27,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
00:23,"FOUL  by MURPHY,JUWAN",,,,,,,"FOUL  by MURPHY,JUWAN",2
00:23,,78 (+2),,76,"GOOD FT by MYRKS,ANTHONY",BEREA 78-76 (+2),,"GOOD FT by MYRKS,ANTHONY",2
00:23,,78 (+1),,77,"GOOD FT by MYRKS,ANTHONY",BEREA 78-77 (+1),,"GOOD FT by MYRKS,ANTHONY",2
00:23,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,2
00:23,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",2
00:23,"SUB OUT by MURPHY,JUWAN",,,,,,,"SUB OUT by MURPHY,JUWAN",2
00:21,,,,,"FOUL  by PARKER,RICHARD",,,"FOUL  by PARKER,RICHARD",2
00:21,"MISS FT by MCLEAN,JAMES",,,,,,,"MISS FT by MCLEAN,JAMES",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:21,"GOOD FT by MCLEAN,JAMES",79 (+2),,77,,BIRMINGH 79-77 (+2),,"GOOD FT by MCLEAN,JAMES",2
00:21,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",2
00:21,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
00:14,"FOUL  by MURPHY,JUWAN",,,,,,,"FOUL  by MURPHY,JUWAN",2
00:14,,79 (+1),,78,"GOOD FT by MYRKS,ANTHONY",BEREA 79-78 (+1),,"GOOD FT by MYRKS,ANTHONY",2
00:14,,79,,79,"GOOD FT by MYRKS,ANTHONY",BEREA 79-79 (0),,"GOOD FT by MYRKS,ANTHONY",2
00:14,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",2
00:14,"SUB OUT by MURPHY,JUWAN",,,,,,,"SUB OUT by MURPHY,JUWAN",2
00:09,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
00:03,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:00,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",2
00:00,,,,,"STEAL  by JACKSON,JAIR",,,"STEAL  by JACKSON,JAIR",2
00:00,,79,,82 (+3),"GOOD 3PTR by WISE,COREY",BEREA 79-82 (-3),,"GOOD 3PTR by WISE,COREY",2
